Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Bukhary
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	"And it should be left for about three hours or until the patient feels relief from the adhesion."
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	"And then put him in a bath and when his body is warm, rub that plaster on it, because the pain stops and he is healed."
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	"And know that it is not necessary to use cautery with these medicines but only the evacuation of the body."
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	"As Hippocrates says, when the vein is narrowed by a goat's split, cauterize it and profit will come to its owner. The cautery should be prepared in this manner: wool should be taken and dipped in old oil, then placed between the toes of the foot and between the bones."
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	"And next, take a dry goat's hair and inflame it with fire until it becomes carbonized. Then place it on the wool and leave it there until it cools down."
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	"And continue to do this, not ceasing until the sensation of pain reaches the ankle and then rest the limb."
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	"And this method of cautery is called the 'cautery of vultures'."
Capitol .xlii.	"Chapter XLII."
De cauterizacio de dolor de dos.	"Of cauterization for pain in two places."
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	"Sometimes pain occurs in the back due to various causes, such as by contusion or blow or excessive evacuation, and for causes similar to these, by infusion of hot and humid matter."
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	"And cautery is not used except in this single case which occurs due to the effusion of hot matter."
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	"Therefore, first perform evacuation of the disease with pills made from drugs similar to those used for cautery, and place them on the back where the pain is located. The distance between each pill should be three lines according to its latitude, and for every ten pills or more, cauterize one line according to the amount of endurance of the disease and its strength."
E sia fayta cauterizacio am cauteri de punt.	"And perform cautery with cauteries having a pointed tip."
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	"And if you wish, cauterize with three or four cauteries using the middle cautery of the keyhole shape:"
Capitol .xliii.	"Chapter XLIII."
De cauterizacio al comensament de gilbositat.	"Of cautery for the beginning of trembling (convulsions)."
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	"Very often this disease occurs in young children; the sign of its onset in children is that accidents occur on their spine with elevation and movement."
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	"And you will find inflammation in the last thoracic vertebra of the back and of the nerves that are already beginning to rise above the others."
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	"Therefore, when you see this and wish to prohibit it (i.e., prevent convulsions), immediately cauterize that area with a cautery that is circular in shape:"
que prengua le cauteri sobre tota partida del spondilh engualment.	"which should cover the entire width of the vertebra."
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	"And if you wish, cauterize around the vertebra with a pointed cautery two or three lines away."
E sian les puntz propdas entre lor.	"And let the points be close together between them."
E aprop cura le loc entro que sia sanat am aquo que havem dit.	"Then treat the wound that is healed with what we have said (i.e., dress it appropriately)."
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	"But be careful not to administer cautery in trembling caused by spasm of nerves."
Capitol .xliv.	"Chapter XLIV."
De cauterizacio de podagra e de dolor de juncturas.	"Of cautery for gout and pain in the joints."
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	"When pain in the joints is caused by hot humors which are congealed in each member of the body, then when pains occur in the feet, it is customary for physicians to call this gout properly."
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	"And therefore, when gout caused by heat has been cured with treatment and the pains are not removed, then cauterize them."
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	"And if you cauterize that area for evacuation purposes, do so around the joint of the foot with many cauteries."
E sia cauteri olivar del qual aquesta es la forma de lu:	"And let the cautery be olive-shaped, of which this is the shape:"
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	"If it is necessary that points should be made on the surface of the foot, then do so with a pointed cautery."
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	"And if the pains penetrate into the joints or other joints and this happens very often, then cauterize that area over each painful spot with three or four cauteries of the olive-shaped cautery throughout its entire width."
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	"And if many cauteries are necessary for you, then cauterize and do not press the cautery too hard beforehand, but only around the circumference of the joint."
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	"And if the pains penetrate into the joint and the bone, then administer the cautery that we have mentioned in its chapter."
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	"And if the pains are only in the muscles and it is called sciatica, then make punctures around the buttocks thus, making them two lines apart."
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	"And if the pains remain in these areas, then make punctures around the buttocks over each nerve and over the palm of the hand."
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	"And if the pains approach the hips to the loins or muscles, then cauterize each one throughout its entire length."
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	"And do not evacuate the illness through proper diet and receiving of medications, because if there is good regulation and inflammation is evacuated with this cautery without being healed, God help us."
Capitol .xlv.	"Chapter XLV."
De cauterizacio de rompeduras.	"Of cautery for fractures."
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	"When a fracture occurs in the bones of the thigh or shinbone before reaching the knee, and this is how it begins, then you should order the patient to leave off eating on that day and to use gentle ointments so that the wound may heal from his belly."
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	"And then keep the patient between your hands over his bone, and command him to hold his breath so that his belly may be full or appear the knee or shinbone."
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	"And then return that area with your hands and press it with tentatively the fracture over the bone of the thigh with the signal of the extremity which is similar to the half of a circle in its upper parts of the body."
E aprop igneys le cauteri del qual aquesta es la forma de lu:	"And then ignite the cautery, of which this is the shape:"
entro que sia mot rog e gete cintilhas.	"until it becomes very hot and emits sparks."
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	"And then reduce the shinbone or knee into its concavity, and then place your hand over that area so that the bone does not move."
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	"And you have now inserted between the patient's legs and left one of your hands resting on his leg, with another assistant serving under his buttocks, another under his thigh, which should hold his thighs."
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	"And then place the cautery on that signal with your hand and apply it correctly, and maintain it until you achieve contact with the bone of the thigh in the middle of the joint; and repeat this again if you have not achieved it on the first attempt."
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	"And carefully observe the sensation of the bone during your cautery so that you do not burn the bone and cause great harm to the patient."
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	"And know that if with the cautery you do not touch the bone, your operation is of no use."
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	"And the cautery for children should be subtle according to their size and measure."
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	"And then treat that area with bandages for three days until the burn scar is healed."
E aprop cura aquel am les autres enguentz entro que sia sanat.	"And then treat it with other remedies until it is healed."
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	"And the patient should lie on his back for forty days until the area and wound are completely healed."
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	"And it is necessary that you regulate the patient's diet according to the length of time for his cure which will empty his belly, and that the bone does not come out due to the effort of healing."
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	"And when he wants to get up after forty days, then administer a suitable plaster and keep him for another forty days."
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	"And let him be spared from work and from eating and drinking in abundance and from violent coughing, because when he uses this complete regimen of healing he will not be healed."
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	"And I will tell you the treatment for ruptures in other parts of the belly, and if they are large at the beginning, then cauterize the rupture with a round cautery according to its quantity, as much as it is protruded from the anus like the third section of it; and then treat it with what has been said, and nothing else."
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	"And some earlier authors have said that rupture should be cauterized with a triangular cautery like this figure:"
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	"And the line is placed that they pass through the width in the side up from under the rupture, and another line above; then place your hand with a pointed cautery, but the first cautery should be lighter and better."
Capitol .xlvi.	"The forty-sixth chapter"
De cauterizacio de torcio.	"Of cauterization of the groin."
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	"When pain occurs in the upper limbs due to chafing or percussion and persists for a long time without improving with treatment using medications, it is then necessary to cauterize with a pointed cautery."
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	"And the cautery should be of such size according to the magnitude and smallness of the member, and its virtue and power, and the location of the hernia and the pain."
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	"So if it is healed by the first cautery, that's good; but if not, then apply the cautery again; for those pains are usually caused by pressure on a member near the one in question, so it is necessary to reach those with cautery until the illness is healed."
Capitol .xlvii.	"The forty-seventh chapter"
De cauterizacio de lepra.	"Of cauterization of leprosy."
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	"Some lepers have been viewed as cauterized with little benefit and even harm if the type of leprosy is caused by decay of phlegm and melancholy."
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	"And therefore, when you want to cauterize that person, consider whether the leprosy is contagious and whether it has been cured with what we have said in the division above. If not, then be afraid that the corruption will spread throughout his entire body and complexion. Therefore, cauterize him on the head with five cauteries: one in the middle of the head, another towards the end of the forehead near the hair; two on both horns; and one behind, on the nape or top of the neck."
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	"Finally, press your hand with the cautery a little deeper until it impresses slightly on the bone, and remove the scabs that have formed there, so that the expiration of thick vapors may be alleviated from him; and cauterize on the chest as is necessary."
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	"And if the leprosy has already spread over the person and appears manifestly, then you must cauterize that person with those cauteries which we have mentioned for the head; and cauterize on the tip of the nose, and with two cauteries on both cheeks, and with two cauteries on both shoulder blades, and with six cauteries on the spine of the back, and with one large cautery on the spine near the buttocks, and one on the buttock itself, and with two on the ankles, and one on each ankle, and with two on the knees and one on each knee, and with two on the elbows and two on the muscles of the calves; and cauterize him on all the joints of the said limbs and feet, and on each heel of his feet, and on the hollows of his hands."
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	"And beware not to burn those nerves which are situated on the heel lest you should injure them."
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	"Sometimes it is necessary to cauterize with one cautery on the bone of the sternum and another on the mouth of the stomach and another on the liver."
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	"And know that the more closely you apply the cauteries, the greater is the benefit and efficacy; and know that the person does not feel pain from the cautery as he would from his own sores, because his body has become numb."
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	"And it is necessary that the cauteries be large or small according to the limbs and joints as is prescribed by the nature of the instruments."
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	"And afterwards, dress the wound with fine bran flour mixed with honey and with another dressing until it heals."
Capitol .xlviii.	"Chapter XLVIII"
De cauterizacio de stupor.	"Of cautery for swelling."
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	"If any limb is paralyzed or numb and is treated with medications, oils, and plasters, but does not heal, then cauterize that paralyzed limb with a cautery according to the size of the limb or its smallness."
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	"And insert your cautery into the spine through an incision."
E aprop cura aquel am enguent entro que sia sanat.	And then care for him until he is healed.
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	Sometimes, certain wounds are cauterized which affect the hands and feet, the spine of the back and waist, and the nerves that move those limbs. The wound is then healed.
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	Only let those presume to do this who are wise in anatomy of the members and in the exit of nerves that move all the body.
Capitol .xlix.	Capítulo XLIX
De cauterizacio de albaras que es morfea.	On cauterizing warts that have been removed.
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	When the ulcer is ancient and does not respond to some medical remedies, then cauterize it with a pointed cautery according to the quantity of the specificity of the cord, until its whiteness and color are removed, and its color is changed.
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	And appropriate for this is to cure it with flour of barley and lentils mixed with olive oil and leaves of sage, and with dove's blood or hen's blood, giving each one a portion and mixing all together, and then placing it on a cloth on the affected area until it is healed.
Capitol .l.	Chapter One
De cauterizacio de cranc.	On the cautery of a boil.
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	When a boil begins and you wish to open it, then cauterize around its circumference with a circular cautery in the circuit of it thus as it turns.
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	And the wise say that it should be cauterized with the last cautery in the middle of it; but I have not seen this, because I fear that it may become ulcerated, and I have seen it happen sometimes.
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	And it is more correct to cauterize around its circumference with a circular cautery as we have said above, or with several cauteries.
Capitol .li.	Chapter Two:
De cauterizacio de adubilati.	"Regarding the cautery of whitened skin."
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	"If some skin whitening is delayed in maturation, this may be due to superfluity produced by that (area), or because of the condition of the patient, who is elderly and decrepit with little blood, or because of time, and you wish to expedite the maturation of whitening; therefore cauterize around it with a small pointed cautery iron; and leave that (area) until it has matured."
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	"But if you wish to perforate with the cautery, then heat the cautery of which this is the shape: and place it in the middle of the whitening where the chain penetrates."
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	"And if you cauterize that (area) which is lower down, so that the flesh of the arm may be alleviated, and then treat it until it has healed."
Capitol .lii.	"Chapter LII."
De cauterizacio de corrodent.	"On the cautery of ulcers."
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	"Ulcers are corrupting wanderings in the member, which consume that as dry wood consumes fire."
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	"Therefore if you cauterize that ulcer where it can withstand fire cautery, then heat cautery needles few and large according to what is suitable in that place where the ulcer is."
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	"And then cauterize it from beginning to end until you have completely eradicated all corruption and there remains no cause of it."
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	"And then leave it for three days, and bathe the cauterized areas solely with olive oil mixed (with honey) until all scars are eradicated and all corruption."
E aprop cura aquel am enguentz carn engendrantz.	"And then treat it with fresh flesh-generating ointment."
Mays si aprop tres dias vezes que la carn nasca sana en la qual no es corrupcio, bo es; mays sino, lahoras itera le cauteri sobre aquo que es romas en les locs corrumputz.	"But if after three days you find that the flesh does not grow healthy where there is no corruption, then heat the cautery again on what remains in the corrupted places."
E corrodent es medicat alcunas vetz am medicina aguda, quar aquela es meza en loc de cauteri.	"And ulcers are sometimes treated with sharp medicine, because that is a halfway measure instead of cautery."
Mays empero cauteri am foc es de pus leugier juvament.	"But truly cautery with fire is the easiest remedy."
E yeu ja e dit la curacio de lu am medicina aguda en la divisio, e donc pren aquela quan de lu auras endegencia.	"And I have already spoken of the treatment of ulcers with sharp medicine in their division, and therefore take that when you begin to encounter them."
Capitol .liii.	"Chapter LIII."
De cauterizacio de claus e dels autres semblants.	"On the cautery of chilblains and similar conditions."
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	"Very often in the lower parts of the leg there appears a disease called chilblain, which is caused by cold and dampness, making the flesh numb. And it is treated in two ways: cautery with fire and cautery with hot water."
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	"But cautery with fire is done by heating the cautery concave similarly to a vulture's feather, which should be made of iron according to the quantity that the chilblain encompasses from beginning to end, and it should have thin edges."
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	"And then place that heated cautery upon the chilblain and then rotate your hand with the cautery around the circumference of the chilblain until it reaches the depth of it."
E leyssa aquel per tres dias entro que comense getar brac.	"Then leave it for three days until it begins to swell."
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	"And then apply a plaster of wild mallows pounded with salt, and leave the plaster on it overnight, because that will eradicate its roots."
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	"And then treat the place with flesh-generating ointment until it is healed."
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	"And if it is not healed, and many times this occurs on the surface of the body, more often in the thighs and legs, then you should administer cautery with hot water there. And that is done by taking a cannula of brass or iron or vulture's feather and placing it upon the chilblain; and then pour some hot water into the cannula and hold your hand, and rotate that with compression from above so that the edge of the cannula presses upon the root of the chilblain and the hot water flows to the front of the root of the chilblain. And wait for the pain of the hot water for about an hour, and then remove it, because the chilblain along with its roots will be eradicated."
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	"And do this to those likewise until all of them upon which they have appeared on the body are removed."
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	"And then treat those with ointments that cause flesh to regenerate since the roots of the chilblains have been eradicated."
Capitol .liiii.	"Chapter LIV."
De cauterizacio de tremor.	"On cautery for trembling."
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	"When trembling occurs due to chill in the nerves or fever caused by coldness, or some other similar cause, then you should cauterize it with four cauteries or five upon the vertebrae of the back, placing one cautery between each vertebra; and also cauterize its foot and over its stomach with an olive-sized cautery."
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	"And trembling will cease and the health of the cold disease will be restored."
Capitol .lv.	"Chapter LV."
De cauterizacio de albati accidentz al cors.	"Regarding the cauterization of sudden accidents in the body."
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	"When the body is suddenly afflicted with sores and pustules from which matter issues that is thick and corrupt; therefore, it is necessary at the beginning to appear promptly and cauterize the head of the fistula with a thin cautery made of myrtle wood whose end has been heated in fire or with an elongated eraser or lenticular cautery."
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	"And in subsequent sores it is cauterized again at the beginning of its expulsion according to this manner; and they are not believed, and the superfluity is disrupted making them and they heal."
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	"But it is necessary that this be done with proper evacuation through phlebotomy."
Capitol lvi.	"Chapter 60."
De cauterizacio de fluex de sanc accident per incisio de arceria.	"For cauterizing accidental bleeding from an artery by incision."
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	"And when a visible arterial hemorrhage occurs that is incised during surgery and flows abundantly, or if it's the incision of an aposteme or cautery of a limb, then seemly, and it's difficult to stop."
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	"Therefore when this happens to someone, then quickly bring your hand to the horrible wound of the artery, and press over it using the little finger first, so that you can see where the flow of blood comes from, and that it does not escape."
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	"And also press on the cauterizing olive oils, both small and large, by number, and exhale onto those until they are quite hot."
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	"And also take one of those oils, either small or large depending on the place and size of where the artery has burst, press it firmly onto that vein as soon as you have stopped the bleeding with your finger, so that the cauterizing may be complete and restrain the blood."
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	"And if the blood is still flowing from the wound of the artery when you remove your finger and apply the cautery, then quickly take another one carefully from those that are prepared in the fire, and keep doing so until the bleeding has stopped."
E guarda te que no comburas le nervi que aqui es, e que vengua sobre le malaute autra malicia.	"And be careful not to burn the nerves that are nearby, and that it does not come upon some other mischief or misfortune."
