Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Bukharī
E si vols, prengues coto e envolopes aquel sobre la extremitat del ray, e submergeys le coto en la medicina, e entrometas le ray am le coto en una canula de sobre entro que·l coto adheresca en aquela canula, e fay aquo tantas vetz entro que consiegues aquo que vols de la cauterizacio de la uva, e aprop leyssa aquela quar ela se seccara e cayra aprop tres dias o quatre.	And if you wish, take cotton and wrap it around the extremity of the ray, and immerse the cotton in the medicine, and insert the ray with the cotton into a cannula above until the cotton adheres to that cannula, and do this many times until you achieve what you want from the cauterization of the uvula, and then leave it alone for three or four days until it dries up and falls off.
E si indigeysses que iteras la medicina, itera aquela, e aprop la cauterizacio abstergeys en le circuit de la uva am coto enbegut en boder, e mondifica am aquel aquo que es en le circuit de lu de la medicina, e sia lavat am aygua frega, e sia curat deforo am embrocacio, e dedintz am guarguarismes entro que sia sanat.	And if you should need to repeat the medicine, then repeat it, and afterward cauterize around the uvula with cotton dipped in borax, and cleanse it with that of what is around it from the medicine, and wash it with warm water, and afterwards cure it abroad with embrocation, and then keep it at rest until it is healed.
E aquesta especia de curacio es pus salva que inscizio e pus long de temor.	And this kind of cure is more safe than incision, and also longer lasting without fear.
Alcunas veguadas es curada la uvuola am aquo que es pus subtil que cauteri e inscizio, quar es curat am subfumigacio en aquesta manieyra: recipe calament, ysop, origua, ruda, scicados arabic, camamilla, broyda e semblant ad aquels de las erbas, e ajusta totas aquelas causas, o alcunas de lor, en una ola, e sian submergidas am vi agre, e bulhan; e la ola sia be lutada am lut decentment, e sia en le mieg loc de la ola un trauc, sobre le qual sia pausat un instrument conquau de aram segon aquesta manieyra; sia fayt de argent o de aram.	Sometimes the uvula is cured with something more subtle than cautery and incision, for it is cured by sublimation in this manner: take calamint, hyssop, origanum, rue, saffron arabic, chamomile, betony, and similar herbs of those kinds, and adjust all those causes, or some of them, in a mortar, and let them be moistened with sour wine, and boil them; and let the mortar be well beaten with good lime, and let there be in the middle of the mortar a tube, upon which is placed a concave instrument of silver or brass thus made:
E sia entromesa la extremitat en la boca del malaute entro que la vapor poge a la uvula sobre la quanula, entro que la uvula sia mot ofuscada.	And let the extremity be inserted into the mouth of the patient so that the vapor may reach the uvula upon the uvula until the uvula is much obscured.
E aprop itera sobre aquela motas veguadas entro qu’es secca, e guarda te que no fassas aquesta curacio al comesament de l’aveniment de apostemas, quar trop ajustaria en le apostema, e no cove que tu fassas aquo, sino deves la declaracio de apostema de lu caut.	Guessed translation:
Mays si no es a tu present aquest instrument, lahoras pren una cana e compon en la extramitat de lu un clos de huou, per so que la boca del malaute sia comborida, quar le closc del huou prohibeys la vapor comburir la boca.	"However, if you do not have this instrument present, then take a reed and attach at its end a piece of hot coal, so that the patient's mouth is warmed, for the heat of the coal prevents the mouth from burning."
E aquesta curacio es bona am salut.	"And this cure is good for health."
Capitol .xxxviii.	"Chapter XXXVI."
De extraccio d’espinas e de aquo que adhereys en le golayro e de las autras causas.	"Of the removal of splinters and other things adhering in the eye, and of other causes."
Motas veguadas adhereys en le guolayro o spina de peys o alcuna autra causa.	"Many times a fly or thorn or some other thing adheres to the eye."
Adonc cove que tu extraguas aquo que de aquels es apparent, sobre le qual catz la vista, pus que tu premes la lengua am instrument denant solelh, per so que a tu sia declarat aquo que es en la guola.	"Therefore you should remove that which is visible among those [things], on which the gaze falls, because as you press your tongue against the instrument before the sun, it will be declared to you what is in the eye."
E aquo que no apar e es a tu occultat en le guolayro, cove que tu fassas vomir le malaute denant que la vianda sia degerida en l’estomac, quar fort leu la causa annexsa le golayro sira foro-getada per vomit; o que deglusia le malaute una pessa de nap o de razit de laytuga o un boci de pa sec; o prengua una pessa de sponga marina sequa leon, e lia aquela fortment am fiel, e aprop le malaute transglussia aquela, quar cum perve al loc en le qual so spinas e es extrahuda, lahoras so foro-getatz.	"And that which is not apparent and is hidden in the eye, you should make the patient vomit before food has been digested in the stomach, because very often the cause annexed to the eye will be forgotten through vomiting; or the patient could swallow a piece of dough or of fig leaf or a mouthful of dry bread; or he could take a piece of dried sea sponge and tie it strongly with flax, and appropriate it to the patient's forehead, for as soon as it arrives at the place in which the thorns are extracted, they will be forgotten."
E mays pren una anguila e be am fiel liada, e sia dedintz mesa e soptament sia extrayta; o pren un porr e soptament le metas e soptament l’en tratz.	"And more, take an eel and tie it with flax, and put it inside the bed, and suddenly extract it; or take a pot and suddenly put it on [the eye], and suddenly remove it."
Mays si no so foro-getatz am aquelas causas las quals havem ditas, lahoras husa de un instrument de plom segon aquesta forma:	"And more if they are not forgotten through those causes which we have said, then use an instrument of lead in this way:"
E sia pus gros que ray un petit, e en la extramitat de lu sia conquavitat la qual tu entrometas en la sua guola am facilitat.	"And it should be thicker than a little finger, and at the end of it there should be concavity which you will insert into his eye with ease."
E el aga le sieu cap elevat en sus, e guarda te que·l tocament del sieu os de la gola, per so que endevengua a lu cos e am aquela que enpellesca le os o la spina, o que aquel le metge am la sua ma.	"And hold his head raised up, and make sure that the contact of his forehead with his throat does not happen, so that it could go into him and with that which causes the bone or the spine, or that which the physician puts in with his hand."
Mays empero que·l malaute aquel entrometa es miels, per la sua sciencia del loc de la causa annexa e enpellisca en jos, e tira la sua ma am le instrument en sus, tot aquo segon la quantitat la qual es a lu preparada entro que sia foro-getada.	"But however that the patient himself inserts it better, by his knowledge of the place of the annexed cause and pushes it downwards, and pulls his hand with the instrument upwards, all this according to the quantity which is prepared inside him until it is forgotten."
Capitol .xxxix.	"Chapter XXXIX."
De extraccio de sancguisugua annexsa al golayro.	"Regarding the extraction of blood from the groin area."
Quan es medicada sanguisugua am aquo que havem dit en la divisio de la curacio am medicinas e no comfereys, considera lahoras en le guolayro del malaute al solelh, pus que tu aias compremuda la lengua de lu am instrument le qual a tu havem recomtat.	"When applying the leech as mentioned in the division of cure with medicines and it does not improve, consider the time when it is applied to the patient's groin area, for you have prepared the tongue of the leech using the instrument that was recommended."
Donc si tu vezes la sancguisugua, extratz aquela am onci petit o am gesti subtils decentment.	"If you wish to use the bloodletting leech, extract it gently or with subtle movements accordingly."
E si no es a tu possible estrayre am aquel, lahoras pren una canula concava e entromet aquela en lo guolayro del malaute, e aprop pausa en la concavitat de la canula un ferr ignit, e fay aquo tantas vetz (entro que la sancguisugua sia morta e se osta del guolayro) e abstengua se le malaute tot lo jorn de aygua.	"And if it is not possible to extract with that, then take a concave cannula and insert it into the patient's groin area, and properly place within the concavity of the cannula an ignited iron, and do this several times (until the leech is dead and removed from the groin area), abstain from giving the patient water all day."
E aprop prengua una veyria plena de aygua frega, e obra la boca de lu en aquela, e lava la boca am aquela; e no trasglucia de aquela alcuna causa e maugua l’aygua una hora aprop autra am la sua ma, quar la sancguisugua tantost cum sent l’aygua catz.	"Then take a vial full of water that has been warmed, and place its mouth over there, wash the mouth with it; do not let any leak from that and keep changing the water an hour at a time in your hand, for the leech immediately feels the water."
Mays si no es foro-getada am aquo que havem recomtat, lahoras subfumigua le malaute am cimetz o am assafetida per le instrument le qual havem recomtat en la sufumiguacio de uvula.	"But if it is not forgotten as mentioned earlier, then fumigate the patient with cummin or asafetida using the instrument that was recommended in the fumigation of the uvula."
Fay aquo, so en quar cayra.	"Do this, so that it may be effective."
E es un’autra manieyra de operacio en sufumiguacio de aquela, es que tu prenguas una ola en la qual sian carbos ignitz e la ola sia cuberta am una cobertora en le mieg de la qual sia un trauc, e sia compausat en aquel trauc la extremitat del instrument; e aprop dega desus la subfumigacio; e pause le malaute la sua boca en la extremitat de la canula, e claugua la sua boca per que la subfumiguacio no sia foro-getada entro que sapias que la subfumigacio es pervenguda a la sancguisugua, quar la sancguisugua tantost cayra.	"And this is another method of operation in fumigation of that area: you should take an earthenware vessel containing burning coals and cover the vessel with a lid having a hole in the middle, and place the end of the instrument through that hole; then perform the fumigation from above; and have the patient place their mouth over the end of the cannula, closing their mouth so that the fumigation is not lost until you know that the fumigation has reached the leech, for the leech will immediately fall."
E si no catz, lahoras tu itera la subfumiguacio motas vetz, e abstengua le malaute de beure, e mange causas saladas e alhs, e no begua aygua, e ayssi necessari es que am aquest regiment sia fora-getada.	"And if it does not fall, then you should repeat the fumigation many times, and prevent the patient from drinking water, and let them eat salted foods and almonds, and do not let them drink water; and thus it is necessary that with this regimen one should be forgetful."
E aquesta es la forma del instrument am le qual es trayta sancguisugua del guolayro quan es vista; e es semblant a forceps ayssi cum vezes, sino quar es en lu alcuna curvitat:	"And this is the shape of the instrument with which one draws out a leech from the groin area when it can be seen: and it resembles forceps like these, except that it has some curvature:"
le qual sia mesa al guolayro, e la extremitat de lu es semblant a bec de ciconia, que es guanta, en la qual es aspretat de lima, per so quar, quan comprem alcuna causa, aquela no leyssa.	"which is placed on the groin area, and its end resembles the beak of an ibis bird, which is broad, in which a file has been sharpened, for when it seizes something it does not let go."
Capitol .xl.	"Chapter XL."
En le qual es la suma del sermo en apercio de apostemas e en seccio de lor.	"In this chapter is the summary of the sermon on the treatment of apostemes and their incision."
Les apostemas so motas specias, de motas manieyras, segon que ve rememoracio de lor, de quascuna en aquest libre.	"Apostumes are many species with many methods, according to what is remembered about them in this book, each one being described here:"
E so diversas en perforacio e seccio de lor per doas manieyras, de las quals la una es per la specia de apostemas en si meteys; e per aquo que comprem de las humiditatz.	"And they are different in their puncture and incision methods due to two ways: one is for the species of deep apostemes; and by what is gained from humidity."
E la segonda manieyra es prop les locs en les quals accideys del cos, quar le apostema accident en le cap es autra de la apostema accident en le cul; e le apostema en le loc carnos accident es autra del apostema accident en junctura; e a quascun de lor es son juguament per operacio.	"And the second way is according to the places where accidents occur in the body, for the aposteme that occurs on the head is different from the one that occurs on the buttocks; and the aposteme that occurs on a fatty location is different from the one that occurs at a joint; and each of them has its own treatment through operation."
E mays de apostemas so alcunas las quals cove que no sian perforadas sino aprop maturacio de la sania en aquels o compliment de lor.	"And more about apostemes: some should not be punctured but rather waited until maturity or completion of them in those areas:"
So autras apostemas les quals cove que sian traucatz quan son cruzes, e no son maturatz segon lor compliment, ayssi cum apostemas que son propdas a las juncturas, quar apostema quan ve prop junctura, lo esser de lu es prolonguat entro que·s poyreys aquo que es en le circuit de lu, e fort leu son corromputz les liamentz o les nervis de aquela junctura, per que es fayta causa de contraccio de aquel membre; o es apostema prop de membre principal, e si tu tardas la perforacio de lu entro sia madurat nosira al membre principal; o es prop le cul, donc perfora aque no-madurat; e no cove que·l perforas cru, de no-complida degestio, sino aquel que es prop del cul, per so que no poyresca le preon de lu e sia elonguat a las partidas dedintz del cul, e sia fayta fistula, o que sia fayt en le terme de lu que no sia sanat.	"There are other apostemes which should be drawn out when they are hard and not mature according to their completion, such as apostemes near joints, for when an aposteme is near a joint its essence extends into what is around it, and often the ligaments or nerves of that joint are corrupted by it, causing contraction of that limb; or if it is near a main limb, if you delay its puncture until it is fully matured it may harm the main limb; or if it is near the buttocks, then pierce it immaturely; and do not pierce one that is hard due to undigested matter unless it is near the buttocks, for fear of tearing the skin of it and extending it towards the inside of the buttocks, causing a fistula."
Mays cove que tu sapias la hora de la perforacio de la apostema, e aysso es quan es maturat.	"But you should know the time of puncturing an aposteme, which is when it has matured:"
E sapias que es madurat quan es la cedacio de la dolor e la cessacio de la febre, e aprop la diminucio de la rogor e de la pulsacio, e la acuitat del cap del apostema, e les autres senhals.	"And it is matured when there is cessation of pain and fever, and around the decrease in redness and pulsation, and the sharpness of the head of the aposteme, and other signs."
E quar cove que sapias la perforacio cazer en le loc pus dejos del apostema e de pus venient de curacio de la eminencia.	"And because you should know that puncturing should be done where there is least pus: far from the aposteme and coming from its peak."
E perforacio tostemps sia per le lonc de la carn o del cors, si las apostemas son en las partidas de las mas o dels pes, e en loc dels lacertz, de las cordas dels nervis, de las arcerias; e, al derier, en totz locs enguals en les quals no es reflecio; quar en aquels que so reflectitz, usa de perforacio segon aquel membre.	"And puncturing should always be done along the length of flesh or skin if apostemes are in areas such as those around the breast or feet, and at locations of muscles, nerves, arteries; and, finally, in all places except where there is reflection; for those that are reflected use puncture according to that limb."
Mays quan le apostema es en loc carnos, lahoras miels es que leysses la perforacio de lu entro que sia confermada la digestio de lu segon compliment, ayssi quo havem dit; quar si tu perforas aquel denant aquo, es prolonguat le cors del poyre de lu e de mota sordicia, e fort leu las labias de lu so enduradas e la profunditat de lu.	"But when an aposteme is in a fatty location, it is better to leave its puncture until digestion of it has been confirmed according to its completion, as we have said; for if you pierce it before that time the skin of the hole will be extended and much matter will accumulate, and often the lips of the hole will become hardened and its depth increased."
Mays alcus apostemas so perforatz segon la latitut de la carn o del cos deves la necessitat, o segon aquo del qual lo membre indigeys.	"But some apostemes are punctured across the width of flesh or skin due to necessity, or according to what is necessary for that limb."
E cove que administres petita perforacio , e·n les apostemas grans gran perforacio e ampla o motas seccios segon la diversitat de la grandesa dels apostemas.	"And you should administer a small puncture, and in large apostemes make a large puncture and wide or many incisions according to the diversity of their size."
E autras so dels apostemas en les quals cove que la codena sia conquavada e sia encidida, quan es fayta ayssi quo pan e fayta es en terme que ja stigua, ayssi cum aquel que accideys en trops de dubelec e de bubos.	"And others are apostemes in which it is necessary to make the chain concave and cut it when it has been completed as if it were bread, and done so that it may already stick, such as those that occur in tubercle and buboes."
E de aquels so que so insciditz am seccio havent tres angles; e de aquels es en le qual es inscidit ayssi cum figura de fuelha de mirtra, ayssi cum las apostemas dels angonars.	"And of those that are incised with three angles in section; and of those in which it is cut like the figure of a mitre leaf, such as those of hermits."
E de lor so en les quals es administrada seccio redonda e seccio lunar, e semblantz ad aquels.	"And among them are those to which round incision and crescent incision are administered, similar to those."
Mays aquel al qual no es cap ayssi cum son apostemas leons superficials, cove que tu perforas aquel am perforacio superficial, o plana tant solament.	"But that one to which it is not applicable as with their superficial apostemes, you should pierce it with superficial or flat puncture alone."
E cove quant le apostema es gros e ya ha colligit mota sania, que perfores aquel e no te coytes que extraguas tot le poyre en aquela hora; habantz extratz de aquel una partida, e aprop opila le apostema entro al autre dia, e aprop extratz una partida major, e aprop fa aquo motas veguadas segon graduacio entro que sia foro-getat.	"And when an aposteme is large and has already collected much matter, you should pierce it but not remove all the pus at that time; having removed some of it, bandage the aposteme overnight, and then on the following day remove a larger portion, and continue doing so gradually until it has healed."
E majorment si·l malaute es de freol vertut, o femna prens, o enfant petit, o viel en decrepitut, quar l’esperit animal motas vetz es resolvut am la egressio de la sania, e fort leu mor le malaute, e tu operte les.	"And especially if the patient is an infant or pregnant woman or child or elderly person in decline, for the animal spirit is often resolved with the exit of matter, and sometimes the patient dies, and you operate on them."
Don guarda aquest capitol am gran cautela, e aprop la tua perforacio en la qual perforas aquestz apostemas, cove que abstergescas las plagues e consideras donc si la plagua del apostema es pauca, o es una seccio plana, lahoras tu aministra las qualguas de li o de coto antic; e si le apostema es gran, e las fissuras de la perforacio son motas, lahoras cove que tu pauses meca en quascun trauc entro que pervenguan ensemps.	"Therefore guard this chapter with great care, and especially the puncture you make in these apostemes, for you should cleanse the wound and consider whether the wound of the aposteme is small or is a flat section; then you should administer the cautery to it or ancient caustic. And if the aposteme is large and the incisions of the puncture are many, then you should pause between each pull until they converge together."
E si en le apostema es abscindit una partida de la codena o has concavada aquela en le circuit, lahoras cove que tu la complescas de coto viel o de fil fayt de drap de li, ayssi cum quan has traytz pans o razizos, ses humiditat; e strenh aquel entro al tertz dia; e aprop proceseys aquel e cura le am aquo que cove dels enguentz entro que sia sanat.	"And if in the aposteme a portion of the chain is cut off or has been made concave around its circumference, then you should fill it with old cotton or thread made from linen cloth, like when you bake bread or cakes without moisture; and strengthen it on the third day; and then proceed with it and cure it with what is needed for the dressings until it heals."
Mays si accideys flux de sanc en la hora de la operacio tua, lahoras tu aministra aygua frega e vi agre en les quals mules un drap de li, e pausa aquel sobre le loc del fluxs del sanc motas veguadas.	If blood flow occurs during your operation, then you should administer warm water and vinegar mixed in a cloth, and place that over the area of blood flow many times.
Mays si persevera le fluxs del sanc, lahoras cove que tu aministres regiment e curacio e polveras las quals he recomtadas en motz locs de aquest nostre libre e de divisio.	If bleeding persists, then you should administer remedies and care as recommended in various places of this book and its division.
Mays si es en temps de hivern, e·l loc de la apostema es loc de motz nervis, lahoras cove que tu enfundas pulvils en vi e oli caut, e pauses aquels sobre les locs.	If it is wintertime and the location of the abscess has many nerves nearby, then you should mix powder in warm vinegar and oil, and place that on those locations.
E si es en estiu, e les locs son carnoses, lahoras cove que tu pauses pulvils enbeguts am aygua e oli o am vi e oli, e tot aquo sia freg entro que sia le ters dia, ayssi cum havem dit, e lahoras cove que tu deslies le apostema e abstergescas aquel e aministres en la curacio de lu aquo que a lu conveneys entro que sia sanat.	And if it is summertime and the locations are fleshy, then you should mix powder with water and oil or vinegar and oil, and keep that warm until the third day, as we have said, and then you should drain the abscess and cleanse it, administering to it whatever is appropriate for its healing.
E aysso es aquo que es necessari de la cognicio de la curacio de apostemas universalment, mays segon la via de distinccio ja he dit de tot apostema en qual manieyra es via de la cura de lu per capitols singularment.	And this is what is necessary for the general knowledge of the treatment of abscesses, but according to the method of distinction, I have already mentioned in detail how each type of abscess should be treated in its own chapter.
Capitol .xli.	Chapter XL.
De seccio de apostemas les quals veno en la codena del cap.	Of the Incision of Abscesses Which Appear on the Neck
En la codena del cap petitz apostemas, e so de specias de nodes les quals conteno tunicas que so a lor factz ; e las specias de lor so motas.	In the neck of young children, small abscesses form, which are like glands containing sacs that are made in this way; and their varieties are many.
E de lor son pingas, e de aquelas so que conteno humiditat semblant a lima.	And among them there are pimples, and those contain a moisture similar to slime.
E de aquelas so las quals conteno humiditat semblant a pols, et asemblantz a lor; e de aquelas so que son lapideas, durs.	And those which contain moisture resembling dust also resemble them in this way; and those which are like stones, hard.
E en la seccio de totz, e en la extraccio de aquels no es temor, cum deves la exteccio de aquels no fa contrariat arceria.	"I fear not the sectioning of all things, nor the extraction thereof; for I must do that which is neither harsh nor cruel."
E la operacio en seccio de aquels es que tu esproes aquels am instrument la forma del qual ve aprop aysso, le qual es apelat entromes, entro que sapias que contengua.	"You must use an instrument shaped like this, called a 'tomes', so that you know what it contains."
Quar si aquo que conte es humiditat, lahoras scindeys aquel am seccio segon la longitut per seccio superficial segon aquesta forma:	For if what it contains is humidity, then cut it lengthwise along the surface according to this form.
E comensa en la seccio de la linha de .B. entro a la linha de .G. Donc cum la humiditat es evacuada, lahoras tu excoria aquela pel que conte aquela humiditat, e no leysses de aquela alcuna causa de tot, quar tropas veguadas retorna, si roman de aquela alcuna causa.	"And begin the section at line B, extending to line G. When the moisture has been evacuated, then peel away that which contains this moisture, leaving no cause for any recurrence of trouble."
E aprop submergeys coto en enguent egipciach, si es present, e sino, en aygua e sal; e umpleys am aquel la plagua e layssa aquel entro ad autra dia, quar am aquo corrodeys tot so que es romas de aquela pellicula.	"And immerse it in Egyptian pitch, if available, otherwise in water and salt. Fill that with the mixture and leave it for another day, as with this it will corrode all that remains of its surface."
E aprop itera sobre aquel coto am enguent egipciach segondament e tersament si indigeyses de lu, entro que·t comfides que no y haia romas alcuna causa de aquela pellicula; lahoras cura la plagua am enguent entro que sia sanada.	"And again apply Egyptian pitch to that spot a second and third time if necessary, until you are confident that there is no remaining cause of its surface. Then heal the wound with ointment until it is healed."
E si apostema conte nodi gras, lahoras tu inscideys aquel segon aquesta forma:	"And if an abcess contains hard nodes, then cut it according to this form:"
am seccio havent forma de crotz, e geta oncis entre doas labias de la seccio e scorsa aquel de tota partida, e esforsa la tua vertut en extraccio de la tunica la qual conte aquel.	"A section having the shape of a cross, and cut once between its two lips and scrape it clean from all sides, and exert your strength in removing the tunic which contains this."
Mays si a tu arceria fa contrarieta, lahoras fay aquo que yeu t’e recontat primieyrament.	"But if you encounter resistance with your scalpel, then do what I told you first."
E semblantment fay en le apostema lapificat de seccio e de curacio segon que a tu havem dit; e seccio sobre apostema lapificat es pus leugiera, quar es de pauc sanc e de pauca humiditat.	"And similarly treat the carbuncle section and cure it according to what I have told you. The section of a carbuncle is easier because it has little blood and humidity."
E alcunas vetz so alcus de aquestz apostemas les quals so en le cap en alcus homes am los quals de tot no es humiditat; la qual causa es quar yeu inscindigui sobre un apostema en le cap de una femna vielha e atrobegui le apostema ayssi cum peyra sorda, aspra, blanqua, la qual no podia esser trinquada, e si a alcu fos am aquela percussit, plaguera aquel.	"And sometimes some of these abscesses that are on the head in some men have no humidity at all. The cause is that once someone cut an abscess on the head of an old woman like a deaf stone, rough and white, which could not be opened, and if anyone were to hit it with something, it would injure him."
Mays en les autres apostemas accidentz en le cap otra aquest no es aquest capitol, ayssi cum les apostemas que veno als caps dels enfantz e deves las razitz de las aurelhas, mays la seccio de aquestz totz sia seccio superficial.	"But in other accidental abscesses on the head that are not like this one, such as those that occur on the heads of children and behind the ears, the section should be a surface section."
E pausa la perforacio de aquels de la partida pus bassa de lor per so que sia alleujat le cos de la sania a las partidas pus bassas.	"And make the incision of these as low down on them as possible, so that it alleviates the body from the lower parts of the abscess."
E aprop cura aquelas am aquo que conveneys ad aquel de curacio.	"And apply the appropriate treatment to those according to what you consider suitable for cure."
Capitol .xlii.	"Chapter XLII."
De seccio de scrophulas las quals accideyso en le col.	"On sectioning scrofulas that occur on the neck."
Motas veguadas endeveno aquestas apostemas en le colh e en las aysselhas e en les angonars; e alcunas veguadas accideyso en las autras partidas del cos.	Many times these abscesses occur in the neck, in the armpits and in the groins; sometimes they also happen in other parts of the body.
E so aquelas que accideysso en le colh, e so motas que so engendradas entre lor, e tota scrofula de aquelas es dintz la sua tunica propria, e ayssi cum en les nodis e apostema del cap, ayssi cum havem recomtat.	And those that occur in the neck are many and are generated between them, and all scrofula of these is within its own tunic, as also in the nodes and abscesses of the head, as we have said.
E las specias de aquestas scrophulas son motas, quar de aquelas so alcunas lapideas, e de aquelas so que conteno humiditatz, e de aquelas so malignas las quals no obeseysso a curacio.	And the types of these scrofula are many; for some are hard (lapideas), and others contain moisture, and some are malignant and do not respond to treatment.
Donc en aquela la qual tu vezes de bona disposicio en le Tocament, de la qual la color de aquo que es manifest es propda a la color de la codena, e es mauguda a tota partida, e no es annexsa am le nervi del colh, ni am las venas, ni am la arceria, e no es preonda, cove que tu inscidiscas aquela am siccio superficial de la partida desus a la partida dejos del cos de la linha de .G. entro la linha de .B., e scorja aquela de tota partida, e exten dos labias de la codena am onci, o am motz oncis si has necessitat de aquels, ayssi cum havem dit en las apostemas del cap, e extratz aquela petit a petit.	Therefore in that one which you feel to have good disposition upon touch, of which the color of that which is manifest is like the color of the skin (codena), and is smooth throughout, and is not annexed with the nerve of the neck, nor with the veins, nor with the artery, it is necessary that you incise it with a dry superficial cut from above to below on the line from G. to the line B., and remove all its skin, and extend the lips of the wound with forceps, or with several forceps if you have need of them, as we have said in the abscesses of the head, and extract it little by little.
E es mays cautela que no sia inscidida la vena o nervi.	And it is more cautious that neither vein nor nerve be incised.
E sia le spatum no mot agut, que no ajuste a tu la tua ma am inscizio, o que enquiete le malaute, e que inscidas aquo que no es necessari inscidir; quar si inscideysses vena o arceria e prohibeys tu de la tua operacio, lahoras pausa en la plagua vetriol trissat o autras polveras las quals ostan fluxs de sanc, e estrenh la plagua, e layssa aquel entro que·s repausa la acuitat de la apostema e sia mollificada la plagua e comense esser poyrida.	"And if the wound is not moving, do not insert your hand into it lest you injure the patient and unnecessarily incise; for if you incise a vein or artery and hinder your operation, then apply powdered vitriol or other powders that stop bleeding, cleanse the wound, and allow that which causes inflammation to rest so that the pain may be mollified and begin to suppurate."
Quan le sanc es abscindit.	"When blood is absorbed."
Donc retorna a la tua operacio entro que l’aias complida.	"And then return to your operation until it is completed."
E aprop inquireys am le tieu dit indic si es romas alcuna causa de las autras petitas scrophulas, donc inscideys aquelas e munda aquelas.	"Then inquire if there are any causes of the other small scrofulae, and if so, incise them and cleanse them."
E si es en la razit de la scrophula gran vena, cove lahoras que no inscidas aquela scrophula de la sua razitz.	"And if it is near a large vein, do not incise that scrofula at its root."
Abantz cove que lies aquela am fiel doblat fort e que leysses aquela entro que caia per si ses nocument.	"Avoid cutting it with a doubled folded blade, and allow it to fall on its own without injury."
E aprop omple la plagua de coto vielh le qual tu has ja submirgit en enguent egipciac, e aprop cura aquel.	"And then fill the wound with softened cotton which you have already immersed in Egyptian ointment, and also treat it."
E si inscides aquela scrophula tota, lahoras cove que tu ajustes las doas labias de la plagua e cuzas2 tantost pus que no y ha romasa deguna superfluitat.	"And if you incise the whole scrofula, then it is necessary that you approximate the two lips of the wound and dress it immediately so that there remains no superfuility."
Mays si tu vezes que haia romasa superfluitat per la grandeza de la scrofula, cove que tu entendas a inscidir la razit de aquela, e astrayra aquela e aministra sutura e aquo que es dit.	"But if there remains superfuility due to the size of the scrofula, then it is necessary that you incise the root of it, extract it, and administer suturing and whatever else is said."
E aquela de las scrophulas que conteno humiditatz, perfora aquela am perforacio superficial aqui la on appar a tu le loc de maturacio de lu, e pausa perforacio de aquo que siec le pus bas del cos, ayssi cum havem dit.	"And those scrofulae that contain fluid, pierce them with a superficial perforation where it appears to you the location of maturity of it, and pause the perforation until it emits purulent matter from below the skin, as we have said."
E aprop aministra perforacio, calguas am enguent e semblantz ad aquels, per so que corroda aquo que es romas de la corropcio.	"And then administer a dressing with ointment and similar substances, so that it may burn away what remains of the corruption."
E aprop quan tu vezes la plagua ja esser mundada, lahoras tu cura aquela am enguent de carn generatiu entro que sia sanada.	"And when you see that the wound is already cleansed, then treat it with a ointment for generating flesh until it heals."
Capitol .xliii.	Chapter XLIII
De seccio del pilhot del apostema accident dintz le guolayro.	Of the Incision of the Point of the Abscess Accidentally in the Groin
Diyssero les antics aquesta seccio en le epilhot, e no vist alcu hom en nostra terra que aquela aia fayta.	The ancients called this type of incision "epilhot," and there is no man known in our land who has performed it.
E aquesta es la inscriptura del sermo de aquels.	And this is the inscription of the speech of those people.
Mays en les homes haventz esquinencia, cove que sia esquivada la extraccio del epilhot, cum per aquo no sia fayt juvament per so quar totas las venas e las majors del malaute so aqui.	But in men with hip pain, it is necessary to avoid the extraction of the epilhot, because by doing so, all the veins and major vessels of the disease are opened.
Mays en aquels que han apostemas cautz en la boca o guolayro o dos aurelhas, quan la malautia no es en la cana, cove husar de la seccio de epilhot a fugir la perdicio la qual es fayta per perfocacio.	But in those who have hard abscesses in the mouth or groin or ears, when the disease is not in the canal, it is necessary to perform an incision of the epilhot to avoid the damage that is caused by perforation.
Donc cove quan volem aquo, que inscidam le epilhot dejos tres cercles dels cercles del epilhot, o quatre am petita seccio per la latitut en aquel que es entre dos cercles per quantitat, que la seccio sia en ciphac, no en la cartillage, e aquest loc es convenent a seccio, quar es privat de carn e les vayselhs de sanc de lu son luhen.	Therefore, when we want this, we should incise the epilhot around three or four circles of the epilhot's rings, or make a small incision across its width in that which is between two circles in quantity, so that the incision is made in bone, not cartilage. This location is convenient for an incision because it is devoid of flesh and the vessels of blood are distant from it.
E si le metge es pauruc, cove lahoras que extenda la codena del golayro am onci, e aprop fenda la codena entro que pervengua a la canal, mays evite les vaysels de sanc si vetz de aquelas alcuna causa.	And if the physician is fearful, then he should first extend the cord of the groin with a loop and then cut it so that it reaches the canal, but avoid the vessels of blood if one sees any cause for doing so.
E aprop inscida li ciplach segon que havem recomtat; e es significat sobre la seccio de la canal per le flacma le qual es de aquela eyssit am aquo que es de lu disromput e per la abscizio de la votz.	And then incise the hip bone as we have recommended, and it is indicated above the incision of the canal by the flap that has issued from there with what is of its disruption and by the absence of sound.
E layssa la plagua uberta per alcun temps.	Leave the wound open for some time.
Donc cum la hora es remauguda en la qual perforacio es temuda, agregua doas labias de la codena de la plagua, e cus aquela sola ses la cartillage.	Therefore, once the hour has passed in which perforation is feared, join two lips of the cord of the wound, and sew it alone without cartilage.
E aprop administra medicinas que fan naysser la carn entro que sia sanat.	And then administer medicines that promote the growth of flesh until it heals.
