Ayssi comensan las paraulas de Albucasim .	"Thus begins the words of Albohali."
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	And this form of cautery should be used only by those who have studied medicine extensively and have had experience treating many illnesses. Although someone may have tried it a few times, it is better for them to leave it to those who are more experienced.
Capitol .xxix.	Chapter XXIX
De cauterizacio de plauresi.	On the cautery of pleurisy
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	The ancients used cauteries of the liver for pleurisy in this way: you should take a long, dry cautery from the liver and insert it into the hole until it is found. It should be as thick as your finger.
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	"Then immerse this in oil and place it on the fire, then cauterize with a pointed cautery at the location between the continuation of the furcula and the collar; and with two small cauteries leave them guided, one slightly declining towards the departure that is below the beard, and with two cauteries at what declines between the fifth rib and the armpit, declining slightly towards the rear departures; and with another cautery in the middle location of the chest; and with another on the stomach, and with three cauteries on the rear departures; and with one cautery in that location which is between the two shoulders, and with two cauteries on both sides of the chest, leaving the cautery which is between two shoulders."
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	"This does not require purchasing your hand with the cautery, rather it should be in the chain of work in manifestation."
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	"And already the ancient authors said that these are the ancient people who use cauteries of iron similar to a rod and ignite that one in that location which is between the ribs, entering until reaching that aposteme and let it be purified healthy, thus as we have said in the aposteme of the liver."
Mays en aquesta perforacio am cauteri no es ses temor, quar hu mor tantost ho accideys en le loc fistula a la qual no es sanacio.	"But in this perforation with cautery there is no fear, for someone died immediately after it happened in that location called fistula which was not healed."
Capitol .xxx.	"Chapter .xxx."
De la cauterizacio de la melsa.	Of the cauterization of the melon.
Quan tu curas la malautia de la melsa am aquo que havem dit de la curacio en la divisio e no confereys la tua curacio, lahoras cauteri en lu es segon tres manieras, las quals totas son dreyturieras, de las quals la una es que fassas tres cauteris o quatre linhan segon la longitut de la melsa segon la figura dels cauteris del fietge, la figura dels quals ha precedit.	"When you treat the disease of the melon with what we have said about the cure in the division and do not confer your cure, then cauterize in it according to three manners, all of which are correct. The first is that you make three cauteries or four, following the length of the melon according to the figure of the liver cauteries, whose figure has been preceded."
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	"And let the thickness between each cautery be that of a finger or a little more, and the manner of cautery should be the same as we have said for the liver cautery equally."
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	"And do not press your hand with the cautery; and let the disease be even on its own side."
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	"And another manner of cauterizing is that you ignite the cautery having two vents, which cause we have mentioned in the chapter on dislocation of the muscle, and raise the chain which is in the direction of the melon where it reaches the location of the left disease."
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	"And let your elevation be such that when you raise the chain, it is according to the length of the body, so that cauteries are made according to the width of the body."
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	"And then insert the two vents and ignite it quickly in that place where with those you penetrate the chain from the other side."
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	"And then extract the cautery, and thus four cauteries are made."
E si voys, cauteriza am cauteri havent tres vernimentz.	"And if you wish, cauterize with a cautery having three vents."
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	"And then cure the cautery because it has remained to remove the bandage for too many days, for more is conferred that the other causes preceding in the cure."
Capitol .xxxi.	"Chapter .xxxi."
De cauterizacio de ydropici.	"On cauterization of dropsy."
Cauteri no catz en ydropici sino en alcinte3 propriament.	"No cautery is used in dropsy except in certain instances properly."
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	"When you treat the dropsical patient according to the methods of treatment mentioned in the division, if your treatment does not succeed, then cauterize with four cauteries around the navel and one on the stomach, another on the liver, another on the spleen, two between the shoulder blades of the back, one on the right side of the foot, and another on the stomach."
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	"And the quantity of the depth of the cautery should be proportional to the thickness of the skin."
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	"And also leave the cautery upright so that it gets cold slowly."
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	"And do not remove the patient from treatment immediately after the cautery with something hot, because it is necessary to add two ointments and then bandage it hurriedly with the aid of healing."
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	"The shape of the cautery with which the belly is cauterized should be like a claw according to its previous form, and that with which the back is cauterized should be olive-shaped according to its preceding form."
Capitol .xxxii.	"Chapter XXXII."
De cauterizacio de pes e de las coyssas.	"Of cautery for the feet and for the thighs."
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	"When the feet are swollen with dropsy and filled with turbid water, it is necessary to cauterize the feet on the instep of the foot near where the ear is joined, lift your hand up with the cautery but do not twist it; then lift your hand up again without returning it completely, for the turbid water will drain."
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	"A cautery is made in this way: Then place two cauteries on both thighs and make a cautery on each thigh with the point of the knife-like cautery."
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	"Make the cautery along the length of the thigh, leaving one below the knee and another at mid-thigh level. On each thigh place two cauteries."
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	"And leave the boil open without treatment for a long time until all water drains from it."
E aprop cura le am aquelas causas las quals havem ditas.	"Then treat it with those causes which we have mentioned."
Capitol .xxxiii.	Chapter 33
De cauterizacio de cos de ventre.	"On cauterization of the body below the belly."
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	"When the belly suffers from heat and excessive humidity causing weakness of the powers, so it is that the digestive and retentive powers are weakened, which reside in the stomach and intestines. It is treated by these methods of treatment without referring to them, sometimes the illness exhibits signs of cauterization, at which time cauterize with a large cautery on the top of his stomach according to what has been said previously about the cauterization of the stomach, using the circular cautery and four subtle pin-like cauteries around it, as well as cauterizing on the spleen near the left kidney using either one or two cauteries."
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	"And if sometimes there are excessive humidities and the illness tolerates it, then cauterize him on the diaphragm and on the intestines, placing two cauteries close together on the stomach near the groin, for this is a perfect cure that will not fail."
Capitol .xxxiv.	Chapter 34
De cauterizacio de emorroydas antiquas.	"Regarding the cauterization of external hemorrhoids."
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	"When there are external hemorrhoids that do not heal or one of the large veins is rubbed or corrupted by humidities, and they are cured with what we have said in the division without following this method of treatment, then cauterize them with three cauteries on each side of the anus, placed small by small triangularly, and place another cautery above the navel for two days."
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	"If the stomach is cold and the food not digested, and the face is pale or inflamed, then cauterize that area on the stomach with a large cautery as previously described; and apply another cautery to the liver and one with a pointed cautery to the spleen, leaving the cauteries in place for some time until the interior has healed."
Capitol .xxxv.	Chapter XXXV
De cauterizacio de atheyl aprop la abscizio de lor.	"Regarding cauterization after an incision of hemorrhoids."
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you excise the hemorrhoids, then ignite the cautery that is assembled like a dart.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Next, insert the ignited cautery into the excised hemorrhoid and burn the remaining tissue inside until it reaches the opening of the vein from which the blood flows.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And do this once or twice, because if there are too many hemorrhoids, then cauterize each one according to what we have described, and cure them with what is recommended for internal swellings until they are healed.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	"If you cauterize with a large cautery over any part of the anus, it will be more painful."
Capitol .xxxvi.	Chapter XXXVI
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	"Regarding the cauterization of fistulas that occur naturally in the parts of the body."
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	"When nature does not obey the work we have recommended for its place, and the patient is afraid of this, let it be healed with cautery."
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	"Therefore, when there is some fistula in the derriere that is old and corrupted by dryness and corrupt moisture, it is more appropriate to try to cure it with the aforementioned probe, carefully determining the quantity of its depth."
Aprop igneys le cauteri que es semblant a ray.	"A suitable cautery would be one resembling a ray [of light]."
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	"And apply this cauterizing iron to this fistula, according to the depth that the probe has reached."
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	"Brandish the cautery over that area until those corrupted bodies are consumed entirely in one go or two or three, according to your need."
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	"Be careful not to burn nerves and veins. If the fistula is located in the bladder or intestine, beware of all those areas. Do this only when the fistula is in a fatty location and you believe it is not penetrating."
E aprop cura le loc entro que sia sanat.	"And then treat the area that needs healing."
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	"If the location is sealed and all materials have been cut off from it, and remains that way for a long time, then you should know that it is completely healed."
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	"If the materials are not removed from it, then you should know that it is penetrating or there is corruption in its vicinity, or this occurs due to those causes which will be remembered later in its location."
Capitol .xxxvii.	Chapter XXXVII
De cauterizacio dels ronhos.	"On cauterizing wounds."
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When pain occurs in the lungs due to coldness or congestion, and because of this the patient's heart is saddened, it is necessary to cauterize that area with a pointed cautery on each lung.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And for the second cauterization make it smaller, so that three cauteries will be straight, and then use more cauteries in succession.
Capitol .xxxviii.	Chapter .xxxviii
De cauterizacio de la vesica.	Of the cautery of the bladder.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When debility and softness occur in the bladder due to coldness and humidity so that the patient cannot retain urine, cauterize it at its beginning on the right side where the pubic hair starts, and cauterize with one cautery on the right side and another on the left.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	And let the length of each cautery be according to the amount of flesh at the mouth of the bladder; and cauterize it with one cautery at its lowest part on the back, or with two cauteries if necessary.
E sia cauteri clavilh segon que es procesit.	And the cautery should be pointed depending on what is needed
Capitol .xxxix.	Chapter .xxxix
De cauterizacio de la mayra.	Of the cautery of the liver.
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	When there is coldness and humidity in the liver, which inhibits conception, corrupts menstrual flows, delays their onset, and causes pain during menstruation, then that place should be cauterized with three pointed cauteries around the navel, as we have said for the cautery of the bladder; and with one cautery on the lowest part at the back, or with two cauteries.
Capitol .xl.	De cauterizacion del coracoard.
De cauterizacio de la dislocacio de l’anqua.	"Of cautery for the dislocation of the ankle."
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	"When mucus is unduly produced at the ankle joint, and this is due to the displacement of its location, a sign of which is that one part extends over another when they are compared together."
E le loc de la dislocacio es atrobat en lu quays boyt.	"And the site of dislocation can be found in the lower leg."
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	"Then you should cauterize the patient above the ankle joint with a circular cautery device, because after having marked around the edge of the joint as it is turned, the mark will fall in the middle of the circle."
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	"And the cautery mentioned above has the same shape as that used for cauterizing the stomach."
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	"And if this cautery is not available, then cauterize it with three olive-sized cauteries."
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	"And let the cautery be according to the quantity of heat required for the whole chain [of dislocated bones]; and then carefully dress it until it is healed."
Capitol .xli.	"Chapter 41"
De cauterizacio de la vena sciatica.	"Of cauterizing the sciatic vein."
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	"When pain occurs in the ankle joint due to friction and humidity, the patient is cured with what has been said above if it is recent. However, if it is old and confirmed, then you should open the patient's flesh with fetid pills or artificial pills or similar ones; and then cauterize it."
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	"And the method of cautery in this case is according to two methods: either cautery with burning medicines or cautery with fire."
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	"Choose according to two known methods, of which one is to cauterize it above the ankle joint with three triangular cauteries arranged thus; and make them with good depth."
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	"And let the space between each cautery be equal to the thickness of a finger, if it is an olive-sized or larger cautery."
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	"But sometimes place the cauteries above the middle of the joint on top of the ankle bone because there are four cauteries."
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	"And if you wish, cauterize with the circle described in the form of cautery for dislocation of the ankle joint, which should be a continuous circle and burn the heat throughout the chain."
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	"And this is the method of cautery in sciatica when pain is adherent to the ankle and not extended within the joint capsule."
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	"But if it is extended within the joint capsule, then cauterize it with two cauteries on the capsule above the point where you feel the pain that is causing the discomfort; and one cautery on the heel about four fingers' width down from the shinbone on the outer side."
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	"And if using a cauterizing knife, let the depth of the cautery be according to the quantity of heat required for the whole chain [of dislocated bones]."
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	"And if the pain extends to the point near the said weights [ankle bones], then cauterize it there with cauteries at three or four points or more as needed."
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	"And if the pain extends to behind the capsule, then cauterize it there with one cautery using a cauterizing knife."
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	"And be careful in all cautery that you do not burn too deeply with the cautery so that you burn large nerves or arteries, and thus cause greater harm or contraction."
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	"And I have seen some of those who cauterized on the heel and burned too deeply during cautery, and the leg became so swollen that the tumor reached the foot; and it was perforated and completely corrupted [gangrenous]."
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	"And thus a frequent complication of this is a solution of continuity of the intestines, which often leads to death."
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	"And if pain is in two parts at once, then cauterize each one according to this method."
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	"And the wise have said that in cauterizing the ankle, this is the method of cautery: make it like a circular iron ring whose circumference is about half a palm; and it should be deep near its opening according to the thickness of a hazelnut kernel or somewhat less."
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	"And then draw another third circle inside that one; and let the space between them be equal to the thickness of a nut from an oak tree. And they should be open at two points, with their length being one or two nuts. Make the edges of those rings smooth with iron decently fitted into the circles."
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	"And first let it be heated in the fire until it becomes red-hot and throws sparks. And then place it on the part of the ankle where the pain is located, with the malady on its lateral side."
E donc cauteriza aquel am tres cauteris redontz en una veguada.	"And thus cauterize it with three cauteries redone in one session."
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	"And then leave that for three days; also plaster it with a border and let the plaster remain open for too many days; and also cure it with poultices until it is healed."
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	"Albucasis says: 'O son, of this kind of cautery we have used little because of the fear of causing damage to it [the ankle], and therefore few are those who dare perform it.'"
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	"But many have suffered from those cauteries that dared to apply them to that part."
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	"But cautery with adherent medicines is what you should do: make two circles, having an opening pierced in each of which you insert the tip of the iron gate. Let the thickness of their walls be equal to that of two nuts or slightly larger."
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	"And if the space between each one is equal to the thickness of a finger. And they should be open on both sides and above, and let them contain something between them in this form:"
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	"And then place it on the part of the ankle where the pain is located with the malady facing its lateral side, and press your hand firmly over the part of the ankle. And then take hot water and pour it between the two circles, and let that water be heated gradually with fire for about one hour until the heat causes a biting sensation and adheres to it — for that pain is like the bite of fire — until the biting sensation stops."
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	"And then raise your hand with the instrument and remove the hot water from all around the ankle with lukewarm water."
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	"And then leave it for three days and apply a plaster to it until the blackness of the adhering is removed. And let this remain for a few more days and then massage it gently with oil; this is the last treatment."
E aprop cura aquel am enguentz entro que sia sanat.	"And then cure it with poultices until it is healed."
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	"And if the pain extends to the foot or leg, then do to it as was done for the ankle as described above."
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	"This is the method of hot water, and I have already written about this in my treatise on the correction of medicines."
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	"Take some alkali and some unslaked lime from both parts of the anvil, crush them together, and place them in a new earthenware vessel with a small hole pierced on one side according to the amount that enters it through its mouth."
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	"And then place another earthenware vessel upside down on top of the first one. And pour over it some live water with which it is covered by about half a finger's width. Then press it firmly with your hand, and let the hot water that remains flow out through the hole pierced on its lateral side into the inverted vessel."
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	"And then adjust all that water, and pour it over more live lime and fresh alkali because its heat will be very strong at this time. It is administered in many medical operations and in the cautery of other members because it acts as fire."
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	"And some medicines with which the ankle is cauterized are thus: turmeric and honey mixed together with lime in such a way that they are well mixed."
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	"And Galen recounts an operation and cure with which he healed pain in the ankle and sciatic nerve. He greatly praises it and says that no other treatment is necessary because it heals in one application as he describes, for his experience in this matter was great."
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	"And if fresh wormwood is not available, then take a fig recently picked; grind it with a little salt and place it on the water in which the pain is located, or on the cushion, or on the bed."
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	"And let him be left like that for three hours or for the quantity that the patient feels the need to reduce the swelling."
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	"Then take him out of the bath and once his body is warm, put him on the ground for then the pain ceases and he is healed."
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	"And know that it is not necessary to use cauterization with these medicines except in cases of evacuation of the body."
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	"But already Aesculapius said that when the goat vein is cut open and cauterized, it will benefit him much. And the cauterization should be done this way: take wool, soak it in old oil, and place it between his hands and feet."
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	"And also take dry goat's hair, burn it on the fire until it becomes charcoal, and place him on the ashes so that he may rest."
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	"And repeat this process until the sensation of pain reaches the water and then stop doing it for then the pain will cease."
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	"And this method of cauterization is called cauterization of goats."
Capitol .xlii.	"Chapter XLII."
De cauterizacio de dolor de dos.	"About the cauterization of pain in the back."
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	"Sometimes pain occurs in the back due to various causes, such as from coughing or from blows or from excessive evacuation, and also for similar reasons, due to the infiltration of moist and warm matter."
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	"And cauterization is only used in this single case which occurs from an effusion of hot matter."
