Ayssi comensan las paraulas de Albucasim .	The words of Albucaisem begin thus.
Capitol .xxvi.	Chapter 26.
De sutura del nas e de las labias e de la aurelha quan la continuitat es dissolvuda per plagua o per semblantz.	On the Suture of the Nose and Lips and Ears when Continuity is Dissolved by Wound or Similarities.
Sapias que quan accideys solucio de continuitat en una de aquestas cartillages, pauc confereys en aquela operacio sino en alcus homes.	Know that when solution of continuity occurs in one of these cartilages, little confidence is given to that operation except in some men.
Donc cove, quan endeve ad alcu alcuna causa de aquelas, que consideres si es plagua fresca am le sieu sanc, e lahoras tu ajusta las doas labias de la plagua am sutura, e aprop cura aquel entro que sia sanat.	Then it is necessary, when you find any of those causes, to consider if it is a fresh wound with its own blood, and then you will adjust the two lips of the wound with suture, and then cure that until it is healed.
E si las labias de solucio de continuitat so ja separadas, e quascuna es fayta sana, lahoras cove que tu excorjes quascuna partida de la sua codena apparent entro que n’iesca sanc.	And if the lips of the solution of continuity are already separated and each is made healthy, then it is necessary that you excise each part of its own corded appearance until blood comes out.
E aprop ajusta las doas labias am sutura e strenh aquelas, e sobre aquelas pulveriza sanc de drago e enses trissat, e pausa sobre la polvera una pessa de emplaustra diafinicon, o de alcu autre dels emplastres consolidatius, e leyssa aquel liat per dos jorns o per tres, e aprop deslia aquel e permuta aquel emplaustre e leyssa aquel entro que·ls fiels per si sian abscinditz, e aprop cura am enguent entro que sia sanat.	And then adjust the two lips with suture and strengthen those, and on top of them powder blood of dragon and mixed tisane, and pause over the powder a paste of emplastrum diaphanicon or of some other consolidated plasters, and leave that tied for two days or three, and then release that and replace it with another plaster and leave that until the flesh is completely absorbed, and then cure with scabbing until it is healed.
Mays la manieyra de la sutura es que tu agregues la solucio de continuitat o am agulhas ayssi cum havem recomtat en la sutura del ventre, o agregua la solucio de continuitat am fiel ayssi cum a tu e fayt saber.	But the manner of suture is that you add the solution of continuity with threads or needles as we have recounted in the suture of the belly, or add the solution of continuity with ligature just like yours and make it known.
Capitol .xxvii.	Chapter 27.
De extraccio de aquela causas que veno en las doas labias en las partidas dedintz.	On the Extraction of those causes that come in the two lips in the back parts.
Motas veguadas endeve a motz homes en las partidas dedintz de las suas labias alcus apostemas durs semblantz a gras de errs, e alscunas de lors son mendres e alcunas son majors.	Many times it happens to many men in the back parts of their own lips that some hard and stubborn abscesses appear like grubs of errors, and some are smaller and some are larger.
Donc cove que tu convertas las labias e fendas quascuna de aquelas duricias de tota part, e aprop la abscizio umpliscas le loc de sagi trissat entro que·l sanc sia restrengut, e aprop sia lavat am vi agre e sia curat le loc am aquo que es stipticitat, entro que sia sanat.	Then it is necessary that you convert the lips and holes each of those hardnesses from all parts, and then fill the place with sagacious tisane until the blood is restrained, and then be washed with juice and be cured at the location with water that is stiptic, until it is healed.
Capitol .xxviii.	Chapter 28.
De inscizio de la carn ajustada en las gengivas.	On the Incision of the flesh adjusted in the Gingiva.
Granre de veguadas nays sobre la gengiva carn ajustada la qual les antics apelero albulus, adonc cove que tu suspendas aquela am onci o que tenguas aquela am las forfecs e inscidas aquela deves la sua razit, e leyssas la sania correr o le sanc.	Great many times nay upon the gum flesh adjusted which the ancients called albulus, therefore it is necessary that you suspend that with one or that you hold that with forceps and incise that as it should be done, and let the blood run or flow.
E aprop pausa sobre le loc sagi trissat o autra polveras stipticas o excicativas.	And then pause over the place with sagacious tisane or other powders that are stiptic or excitatory.
E si aquela carn retorna, lahoras inscideys aquela segundariament, e cauterisa aquela, quar aprop le cauteri no retornara.	And if that flesh returns, then incise it secondarily, and cauterize it, for then the cauterization will not return.
Capitol .xxix.	Chapter 29.
De razo de dentz am ferr.	On the Reason of Teeth with Iron.
Quan en la superficia de las dentz de las partidas dedintz e de las de foro e entre las gingivas so ajustadas escorsas aspras, legas, e alcunas veguadas son de nigradas e son faytas citrinas o vertz entro que a la gingiva ve per aquo corrupcio e son faytas las dentz legas.	When on the surface of the teeth in the back parts and those of the front and between the gums are adjusted rough, sharp, and some are blackened and are made citrine or green so that to the gum it goes through corruption and the teeth are made weak.
E donc cove que tu fassas sezer le malaute entre las tuas mas e pausar le cap de lu en le tieu se, e ratz las dents en las quals apareysso aquelas escorsas e causas semblantz arena entro que de lor no romangua deguna causa, e aquo fay de la negror e de la citrinitat e de las autras entro que sian mondificadas.	And therefore it is necessary that you make the malady settle between your fingers and pause at the head of it in your own seat, and extract the teeth in which those roughnesses and causes appear like sand until there remains no cause from them, and thus remove the blackness and citrinousness and other imperfections so that they are purified.
Donc si es ostat aquo que es en aquelas del comensament de la razio, bo es; e sino, lahoras tu itera la razio sobre aquelas al autra dia e al segon e al tertz entro que vengua al derier stament en aquo que tu vols.	Therefore if this is the outcome that is in those of the beginning of the reason, good; and otherwise, then you will iterate the reason over them on the second day and on the third day until it comes to the final statement as you want.
E sapias que las dentz han necessitat de motz rezoris de diversas formas e de motas figuras segon que es preparat a la tua operacio.	And know that teeth have required many receptacles of diverse forms and figures according to how it is prepared for your operation.
E per so quar le razori am le qual la dent es raza de la partida dedintz es autre del razori am le qual es ras entre las dentz segon autras formas, e aquestas formas de razoris sian deves tu preparadas las quals veyras tantost:	And therefore because the receptacles with which the tooth is removed from the back part are different from those with which it is extracted between the teeth according to other forms, and these forms of receptacles should be prepared by you as you will soon see:
Capitol .xxx.	Chapter 30.
D’eradicacio de dentz.	On the Extraction of Teeth.
Cove que tu cures la dent de la sua dolor am tot engen e tardes en tota eradicacio de lu, quar no es denguna causa que suplisqua la veguada de lu quan es eradicada, quar es sustancia sublima entro que es excusacio en la eradicacio de lu.	Take care that you extract the tooth from its pain with all gentleness and quietness in the whole extraction of it, for there is no cause that should precede the removal of it when it is extracted, for it is a subtle substance into which it is excused in the extraction of it.
Mays cove quan le malaute es forsat aquela dent eradicar, que fermament deves tu sia certificat quala es la dent dolent, quar motas veguadas la dolor descep le malaute e cuga que sia en dent sana, e tu eradicas aquela e aprop la dolor no cessa entro que la dent malauta e dolent sia eradicada, quar nos ja havem vist aquo per operacio dels barbies.	But when the malady is firmly seated in that tooth to be extracted, then you must be certain which tooth is the one that hurts, for many times pain deceives the malady and takes it to be in a healthy tooth, and you extract that one and then the pain does not cease until the sick tooth is extracted, for we have already seen this through the operation of barbers.
Donc cum deves tu es sertificat qual es la dent dolent, e que o sabes be, lahoras cove que tu scarifiques en le circuit de la dent am spatum en le qual sia alcuna vertut, entro que sia dissolvut de la dent de la gingiva de tota partida, e aprop mau aquel am les tieus ditz, o am forfexs subtils al comensament petit a petit entro que aquela concucesquas.	Therefore, when you are certain which tooth hurts, and what you know well, then it is necessary that you scrape in the circuit of the tooth with a spatula in which there is some virtue, until it is dissolved from the tooth to the gum on all sides, and then extract it with those same said instruments or with fine forceps little by little until it comes out.
E aprop alogua en lu fortz tenalhas grans per bona loquacio o estuptura fort, e pausa le cap del malaute entre les tieus denolhs que be le tengues que no·s maugua, e aprop tratz la dent segon rectitut en manieyra que no trenques aquela, ni al malaute major dolor no dones.	And then take hold of it with strong forceps that are good for speaking or extraction, and pause the head of the malady between your fingers which will keep it from hurting, and then extract the tooth according to straightness in manner so as not to break it, nor give the major malady greater pain.
E donc si no es foro-getat, lahoras pren un de aquels instrumentz, e met aquel dejos lu de tota part am facilitat e esforsa la remocio de lu ayssi que es feyt al comensament.	And therefore if it is not forgotten, then take one of those instruments and place it alongside the tooth on all sides with facility and effort the removal of it just as it was done at the beginning.
Mays si la dent es trauquada o corrosa, lahoras cove que tu comples de drap aquel trauc e estrenguas aquel am la extremitat de ray subtil per so que no sia trinquada en la hora de la tua constriccio sobre aquela am tenalas.	But if the tooth is cracked or corroded, then it is necessary that you complete with cloth that crack and strengthen it with the extremity of a subtle thread so that it will not be torn in the hour of your constriction upon it as you hold it.
E cove que tu obres exquesitament am scarificacio en le circuit de tota part de la gingiva e guarda mot la tua fortaleza que no trenques aquela e romangua partida de lu, e retorne sobre le malaute per la malicia que sia majo que la primieyra dolor de lu.	And it is necessary that you work with great care and gentleness in the circuit of all parts of the gum, and guard your strength so as not to break it and leave a part of it behind, and return upon the malady through the malice which is greater than the first pain of it.
E guarda te que no fassas aquo que fan alscus ignorantz barbiers en lor fistinacio e audacia sobre la eradicacio de lor, ses que no aministran aquo que nos havem recomtat; quar motas veguadas fan venir sobre les homes malautias grans las quals son pus dificils que sian trinquadas, e las razitz de lor remaugudas totas, o alcunas de aquelas, o que extrayguas aquela am alcus osses de la mandigula ayssi cum motas veguadas havem testificat.	And be careful that you do not do what some ignorant barbers do in their haste and audacity over the extraction of theirs, without administering what we have recommended; for many times they bring upon men great maladies which are more difficult to extract than they should be, and the roots of their mouths become all inflamed or some of those or that you extract with some bones of the jawbone just as many times we have testified.
E aprop la eradicacio de lu sia lavada la boca am vi caut o vi agre am sal.	And then the extraction of it should be washed with mouth with vinegar or juice and salt.
E si endeve fluxs de sanc per aysso, ayssi cum motas veguadas endeve, lahoras trissa alcuna quantitat de zegi e aspergeys sobre la plagua, e si no confereys aquel zegi, cauteriza.	And if it happens that fluxes of blood appear in this way, just as many times happen, then take some quantity of egg white and sprinkle it over the wound, and if you do not find that egg white to be effective, then cauterize.
La forma de las forceps e tenalas subtils am las quals es mauguda la dent al comensament sia de longua extramitat, de breu manubre e gros, per so que no sian doblatz quan am aquels deves obrar.	The shape of the forceps and fine tongs with which the tooth is extracted at the beginning should be of long extremity, short handle and thick, in order that they may not bend when you must work with them.
E sian ayssi cum vezes de gros manubre entro que quan estrenhas am aquelas no sian dobladas, sian breus extramitatz.	And be just like times of thick handle in order that when you strain with those they may not bend, and be short extremities.
E sian faytas de ferr de India descentment faytas de dreytas extramitatz, e en las extramitatz de aquelas sian dentz de las quals las unas intron en las autras e estrenhan per constriccio descent fort, e alscunas veguadas las extramitatz de aquelas sian la forma del bec d’un auzel le qual ha nom ciconia, so es guanta, e son de fort constriccio.	And be made of Indian iron with descending shape and triple extremities, and in the extremities of those some teeth are placed one within another and strain through construction descent force, and sometimes the extremities of those take the form of a bird's beak called ciconia, so it is guarded, and they are of strong constriction.
Capitol .xxxi.	Chapter 31.
De erradicacio de dentz e d‘estraccio dels osses de las mandibulas trincadas.	On the Extraction of Teeth and Removal of Bones from Mandibles Broken.
Quan deves la eradicacio de dent le qual es trinquat roman alcuna causa, lahoras cove que tu pauses sobre le loc coto am boder per un jorn o per dos entro que·l loc sia mollificat; e aprop entromet algesti o tenalhas las extramitatz de las quals so asembladas al bec de un auzel apelat ciconia o guanta, la forma de las forceps:	When you must extract a tooth that is broken into several pieces, then it is necessary that you pause over the location with border for one day or two until the location is softened; and then introduce gentle or fine tongs, whose extremities are assembled like the beak of a bird called ciconia or guanta, in the shape of the forceps:
Las extramitatz de lor sian faytas dedintz ayssi cum lima o alfagi.	Their extremities are made backwards just like a file or an alabaster.
E si no obediys a tu a eyssiment am aquestas forceps o tenalas, lahoras cove que tu caves sobre la razit e descrobas tota la carn e entrometas le instrument le qual ha nom atali, so es palanca petita del qual la forma es aquesta:	And if you do not obey to your eye with these forceps or tongs, then it is necessary that you cut over the root and remove all the flesh and introduce the instrument which has the name of atali, which is a small lever whose form is this:
E sia de breu extremitat grossa un petit, e no sia enbegut per so que no sia trinquat.	And it should be of short extremity, thick and small, and not be enveloped in such a way that it is bent.
Donc si per aquo la razit es foro-getada, bo es; e sino, ajuda te am aquestz autres instrument dels quals aquestas son las formas: la forma del primier instrument es de triangulada extramitat en la qual sia alcuna grossesa:	Therefore, if because of this the root is forgotten, good; and otherwise, help yourself with these other instruments whose forms are as follows: the form of the first instrument is a triangular extremity in which there is some thickness:
La forma del segon instrument es que sia de triangulada e de pus subtil extremitat.	The form of the second instrument is that it should be triangular and with a more subtle extremity.
E ja so ajudatz am aquest instrument havent dos ramps del qual aquesta es la forma aprop la seguent:	And then you will help yourself with this instrument having two rams, one of which is the form following:
e am autres instrumentz les quals precidero en rasura de dentz; quar juvament es fayt am aquest instrument le qual es asemblat a onci gran, e aquesta es la forma:	and with other instruments which will be mentioned in the extraction of teeth; for afterwards it is made with this instrument which is assembled with great once, and this is the form:
de la triangulada extremitat torta o curta, la qual sia alcuna grossesa, e no sia enbegut per so que no sia trinquat.	of a triangular extremity bent or short, which has some thickness, and is not enveloped in such a way that it is bent.
E otra sapias que·ls instrumentz de las dentz motz so e semblantment les autres instruments.	And other know that the instruments of teeth are many and similar to one another.
Mays le artifexs savi e subtil en l’art, atroba per si mateys segon aquo que a lu significa la operacio e las malautias diversas; quar son de las malautias a las quals les antics no diysero ni pausero propri instrument, per las formas de diversas specias.	But the skilled and subtle artisans in the art find for themselves according to this what the operation means and the various illnesses; for they are of illnesses to which the ancients did not say nor pause proper instruments, by the forms of diverse species.
Mays si es trinquat l’os de la mandibula o dels autres osses de la boca, o si poyreys, lahoras sia pes curat sobre aquel en son loc am aquo que es a lu convenient dels instrumentz e de las forceps las quals havem dit en la extraccio de las razitz de las dentz, e ajuda te am gesti del qual aquesta es la forma:	But if the bone of the mandible or of the other bones of the mouth is broken or splintered, then it is necessary that there be great care taken over that in its place where it is suitable for the instruments and forceps which we have mentioned in the extraction of the roots of teeth, and help yourself with gestures of which this is the form:
E sia en lu alcuna grosseza petit a petit, e sia instringida o tenguda am la boca per que no evasesca o fuga entro que l’os de tot sia foro-getat; e aprop restaura le loc am medicinas convenientz ad aquo.	And be of some thickness little by little, and be wrapped or held in the mouth so that it does not escape or flee until the bone is completely forgotten; and then restore the location with suitable medicines for this.
Mays si en l’os es petita poyredura, lahoras ratz aquel de aquela poyredura e de la sua negror, e cura aquel entro que sia sanat.	But if there is a small splinter in the bone, then extract that from that splinter and its blackness, and cure that until it is healed.
Capitol .xxxii.	Chapter 32.
De la cura de las dentz eminentz sobre las autras.	On the Cure of Teeth Elevated above Others.
Quan las dentz so eminentz no segon lor cors natural per aquelas la forma es laga, e majorment quan endeve a las femnas, e majorment a las piuselas venerablas; donc cove que tu consideras: si dent es nada aprop autra dent, e no es possibla sarradura ni linament de lu, lahoras radica aquela; mays que no sia annexa am autra dent, lahoras tu inscideys aquela am aquest instrument del qual aquesta es la forma; e es semblant a morr de porc, e sia feyt de ferr de India de extramitat mot aguda.	When teeth are elevated and not according to their natural form, and especially when it happens to women, and especially to venerable elderly women; therefore it is necessary that you consider: if a tooth is too close to another tooth, and it is not possible to suture or bind it with ligament, then extract that one; but if it is not joined to another tooth, then cut into that one with this instrument whose form is as follows; and it is similar to the jawbone of a pig, and is made of Indian iron with an extremely sharp extremity.
E sia la tua inscizio am la qual inscideyses aquela en trops dias per la duricia de la dent, e que no sia comauguda autra de las dentz.	And it should be your incision with which you will cut into that one over a period of several days due to the hardness of the tooth, and that it should not be like another tooth.
E si es dent eminent expausat a limadura, lahoras lima aquel am lima de ferr de India del qual aquesta es la forma:	And if an elevated tooth is exposed to decay, then grind that one with a file of Indian iron whose form is as follows:
E sia tot de ferr de India e·l margua eysament; e sia de motz menutz puntz ayssi cum lima am la qual son faytas agulhas, am la qual la dent sia limada pauc a pauc en motz dias am fecilitat, per so que no sia autra dent comauguda e caga.	And it should be entirely of Indian iron and with an edge well-made; and it should be with many small points just like a file with which needles are made, with which the tooth is ground little by little over several days in ease, so that no other tooth becomes deformed and decayed.
E aprop lineys aquela en la fi, e ratz aquela am alscus razoris.	And then line up that one at the end, and cut off that one with some razors.
E si es dent del qual una partida es trinquada e lideys la lengua, lahoras cove que tu limescas aquel entro que l’aspretat de aquela fraccio sia ostada e engualhada, e sia aplenada per so que la lengua no ledesca ni la paraula no corrumpa.	And if it is a tooth whose part is broken and irritates the tongue, then it is necessary that you grind down that one until the sharpness of that fracture is removed and equalized, and be filled so that the tongue does not irritate nor the word become corrupted.
Capitol .xxxiii.	Chapter 33.
De restauracio de dentz maugudas am fiel de aur o de argent.	On the Restoration of Damaged Teeth with Gold or Silver Fillings.
Quan accideys a las dentz devant concussio e remossio per percussio o per cazament, e le malaute no pot strenher sobre aquo que manga, e tu has curat aquel am medicinas stipticas, e no ha valgut la tua curacio, lahoras per so que no cagan es engen en aquelas que sian strengudas am fiel de aur e no de argent, quar argent se fa vert e aprop se poyreys aprop alscus dias, mays aur nul temps no es mudat.	When accidents occur to teeth before concussion and removal through percussion or chance, and the patient cannot endure over what is left, and you have cured that one with stiptic medicines, but your cure has not been effective, then it is necessary for the reason that they do not decay to be strengthened with a gold filling and not silver, because silver becomes green and soon turns black, whereas gold is never changed.
E sia le fiel en tal subtilitat e grocesa segon la quantitat que puesca entrar entre las dentz; e la forma de la reccio es que prenguas le fiel e pren lo doble de lu entre doas dentz sanas, e aprop que cresques am doas tortuositatz del fiel entre doas maugudas, o si’ una o motas, entro que pervengua la tela a la dent sana del autra partida.	And the filling should be in such subtlety and thickness according to the quantity that can enter between the teeth; and the form of the receipt is that you take the filling and take twice its amount between two healthy teeth, and then increase it by two bends of the filling between two damaged ones, or one or several, until the fabric reaches the healthy tooth on the other side.
E aprop itera le teyssiment entro a la partida de la qual comenciest, e strenh la tua ma am facilitat e savieza entro que no sia mauguda.	And then repeat the process between the party from which you began, and strengthen your work with ease and wisdom until it is not damaged.
E sia la tua striccio am la qual strenhas le fiel deves las razitz de las dentz que no evasesca.	And then take a strong hold of the filling which you should strengthen the roots of the teeth so that they do not escape.
E aprop inscindeys las extramitatz del fiel superfluens am las forceps o tosoyras, e agregua aquelas en quascun loc am gesti, e converteys aquelas e las occulta entre la dent sana e la dent mauguda, per so que no fassa lesio a la lengua.	And then cut off the superfluous extremities of the filling with forceps or pincers, and add those to each location by gesture, and convert them and conceal them between the healthy tooth and the damaged one, so that they do not cause injury to the tongue.
E aprop leyssa aquela ayssi streyta cum roman.	And then let it be as straight as possible.
Mays si es desliada o rumpuda, strenh aquela o aquelas am autra fiel en tal manieyra en tot son temps.	But if it is loose or broken, strengthen that one or those with another filling in such a way at all times.
E aquesta es la forma de las dentz e la figura de la rectacio de doas dentz sanas e de doas maugudas, ayssi cum vezes aquestas liadas:	And this is the form of the teeth and figure of the restoration of two healthy teeth and two damaged ones, just as these are linked:
E quan se fa que retorno una dent o doas aprop le cazement de quascuna en lors locs, e sian recrescutz ayssi cum havem recomtat, e que remauguan.	And when one returns or two return to their places, and are rejuvenated just as we have described, and remain.
E no fa aquo sino bo artifexs e savi.	And this is done only by good artisans and wise ones.
E alcunas veguadas es aptat alcuna causa dels osses de vaca, e es fayt de lor ayssi cum forma de dent, e es pausada en loc en le qual defayl la dent, e es strengit ayssi cum havem dit, e reman e serveys am aquel per lonc temps.	And sometimes it is suitable for some cause of cow bones, and it is made from them as the shape of a tooth, and it is placed in a location where the tooth falls out, and it is strengthened just as we have said, and remains and serves that one for a long time.
Capitol .xxxiv.	Chapter 34.
De inscizio del liament le qual ve en la lengua e prohibeys loquela.	On the Cutting of the Ligament which is found in the Tongue and prohibits Speech.
Aquest liguament le qual ve dejos la lengua alcunas veguadas o es natural am le qual hom nays, o accidental e accideys per plagua la qual ja es consolidada.	This ligament which is found behind the tongue sometimes or is natural to it which one has, or accidental and occurs by a wound which is already consolidated.
E la operacio en lu es que huobres la boca del malaute, le sieu cap existent en le tieu se; e eleva la sieua lengua, e aprop inscideys aquel liament nervos segon la latitut entro que sia solvuda la lengua de la sua recencio.	And the operation in that is that you open the mouth of the patient, and lift his tongue which exists in his own seat; and then cut into that ligament nerve according to its latitude until the tongue is released from its recent recency.
Mays si en aquela es alcuna duricia o denodacio, e aquo es stat per consolidacio de plagua, lahoras tu gieta unci e scindeys aquel per la latitut entro que aias inscindit le liament e sia dissolvuda la nodacio.	But if in that is some hardness or knotting, and this is due to the consolidation of the wound, then you must cut into it with a knife and divide it according to its latitude until you have divided the ligament and dissolved the knot.
E guarda te que no sia fayta fissura en le preon de la carn e que scindas aqui arceria e vengua flux de sanc.	And beware that no fissure is made in the flesh of the patient, and that you do not cut too deeply and cause a flow of blood.
E aprop sia lavat le vestigi de la inscisio am ayguaros o am vi agre o am aygua frega; e aprop pausa dejos la lengua licini; so es meca la qual tengua le malaute dejos la lengua en quascuna nuoyt per so que no sia consolidat autra veguada.	And then wash the vestige of the incision with warm water or with vinegar and water, and then pause and leave the tongue to lie down; this is the way that the patient should hold his tongue in each night so that it will not consolidate again.
Mays si accideys flux de sanc, pausa sobre le loc vetriol trissat; mays si le sanc ventz, lahoras cauteriza le loc am cauteri lantiginos le qual conveneys ad aquo.	But if a flow of blood occurs, pause over the location with a bandage pressed; but if the blood flows out, then it is necessary to cauterize the location with a cauterizing iron which is suitable for this.
E aprop aquel cura am las autras causas entro que sia sanat.	And then treat that one with the other causes until it is healed.
Capitol .xxxv.	Chapter 35.
De extraccio de ranula dejos la lengua.	On the Extraction of a Ranula beneath the Tongue.
Alcunas veguadas accideys dejos la lengua apostema asemblant a nomla petita prohibent la lengua de la sua operacio natural; e fort leu es magnificada entro que huempla la boca.	Sometimes beneath the tongue, an aposteme forms resembling a small tumor that prevents the tongue from performing its natural function; and it grows so large that it fills up the mouth.
E la operacio en lu es que huebras la boca del malaute sesent devant le solel e considera le apostema.	And the operation in this is that you open the patient's mouth and examine the aposteme in the light of day, considering it carefully.
E si tu le vezes de fusca color o de negra, dur, al qual le malaute no atroba sentiment, lahoras no toques aquel quar es cranc.	And if you see that it is a yellow or black, hard, and the patient does not feel any sensation, then do not touch it, for it is gangrenous.
E si es declinat a blancor, en le qual es humiditat, lahoras tu met le onci en lu, e inscideys aquel am spatum subtil, e inscindeys le de tota partida; e si sanc te ventz en la hora de la tua operacio, lahoras tu pausa desus zegi trissat, so es vetriol, entro que sia restreyt le sanc.	And if it is whitened and has moisture, then you should place the once in it, and cut into that with a fine spatula, and cut it off completely; and if blood flows out during your operation, then pause over it with a bandage pressed, so as to stop the bleeding.
E aprop retorna a la obra tua entro que lo haias trayt am compliment de lu, entro que sia lavat am vi agre e sal; e cura aquel am l’autra curacio ad aquo entro que sia sanat.	And then return to your work so that you have treated it with the complement of it, so that it is washed with vinegar and salt; and cure that one with the other cure in a similar way until it is healed.
Capitol .xxxvi.	Chapter 36.
De extraccio de apostema de doas aurelhas e de aquel que es nada en le golayro e de las autras apostemas.	On the Extraction of Apostemes from both Ears and that which is nothing in the Golauro and other Apostemes.
Quan endeveno en le golayro godat, so son glandulas las quals son asembladas algodat, las quals accideysso deforas e son nompnadas doas aurelhas, las quals quan tu las curas am aquo que havem dit en la divisio e no es sanat, lahoras tu considera si le apostema es dur, de fusca color, de pauc sentiment, lahoras no toques aquel am ferr.	When there is a growth in the Golauro which is nothing, so that the glands which are assembled together become swollen, which swells out and are called two ears, which when you cure them with what we have said in the division and it does not heal, then you should consider if the aposteme is hard, yellow-colored, without sensation, then do not touch it with iron.
E si es de roga color e la razic es grossa, lahoras no toques aquela am ferr per le flux del sanc; abantz layssa aquel entro sia madurat, e lahoras o tu trauqueras aquel, o sira romput per si.	And if it is red-colored and the root is thick, then do not touch it with iron because of the flow of blood; before that, let it be mature, and then either you will break it or it will break itself.
E si es de blanqua color, radon, e la razit de lu es subtil, lahoras aquel es que cove esser inscidit.	And if it is white-colored, rounded, and the root of it is subtle, then that one should be cut.
E la operacio en lu es que consideras, denant la tua operacio, si ja ha repausat le apostema de lu caut am repaus complit o si es deminuit am alcuna deminucio; e lahoras fay sezer le malaute denant le soleyl, e·l cap de lu sia en le tieu se, e huebre la boca de lu, e le servidor prenent entre las suas mas prema la lengua de lu dejos am instrument mot noble del qual aquesta es la forma:	And the operation in this is that you consider beforehand your operation whether the aposteme has already settled or if it is diminished by some diminution; and then make the patient sit before the sun, with his head in its proper place, and open his mouth, and take hold of his tongue with an instrument very noble of which this is the form:
E sia fayt de argent o de aram, e sia subtil cum cotel.	And it should be made of silver or iron, and be as subtle as a knife.
Donc cum tu premes am aquel la lengua e es mostrat a tu la apostema, e catz sobre aquel le tieu vezement, lahoras pren onci e fica aquel en l’amenla, e tira aquel a las partidas defora tant quant podes.	Then when you take hold of that tongue and the aposteme is shown to you, and you cut above it with the same veil, then take a once and place it in the amnella, and pull it out to the outside parts as much as you can.
Otra aquo que tiras alcuna causa de las tunicas, e aprop incideys aquela am instrument del qual aquesta es la forma:	Or another thing that pulls some cause of the tunics, and then cut into it with an instrument of which this is the form:
e es asemblat a forceps, empero las extramitatz de lu son corvadas, ayssi que l’orrifici de quascuna de aquelas es en le endreyt del autra, mot agudas, le qual sia de ferr indi enbegut.	and it is assembled with forceps, however the extremities of it are curved, so that the orifice of each of those is in the end of another, very sharp, made of Indian iron enveloped.
Mays si aquest instrument no es a tu present, lahoras inscideys aquel am spatum del qual aquesta es la forma de lu: E sia agut de la una part, no agut del autra part.	But if this instrument is not with you, then cut into it with a spatula of which this is the form of it: And be sharp on one side, not sharp on the other side.
E pus que has inscidit una mella, inscideys l’autra segon aquesta meteyssa manieyra de inscizio, e aprop la inscizio le malaute guarguarise de aygua frega	And then, after you have cut into one notch, cut into the other one in this same manner of cutting, and then let the patient gargle with vinegar water.
Mays si endeve flux de sanc, guarguarise aygua de decoccio de scorsa de milgrana o de fuelha de mirtra e semblantz ad aquel de las causas stiptiquas entro que·l flux del sanc sia restreyt, e aprop cura aquel entro que sia sanat.	But if there is bleeding, let the patient gargle with water decoction of scorsa of myrrh or fern of mirta and similar to those stiptic causes until the bleeding flux is stopped, and then cure that one until it is healed.
E alcunas veguadas naysso en le guolayro autras apostemas otra aquelas doas aurelhas, e inscideys aquelas segon que yeu e dit en la inscizio de doas mellas engualment.	And sometimes there are other apostemes in the Golauro besides those two ears, and cut into them according to what I have said in the cutting of two notches equally.
E yeu ja fu medicat una femna de apostema le qual era nat en le golayro de lu, le qual apostema tendia a color fusca, de pauc sentiment, le qual ja havia claus le golayro de lu, e la femna respirava am meat streyt, e ja havia prohibit a lu comestio e beure de aygua, e ja era pervenguda a la mort si mays agues stat per un dia o per dos.	And I have already treated a woman with an apostema which was born in her Golauro, which apostema tended towards yellow, without sensation, which had already closed the Golauro of hers, and she breathed with great difficulty, and had already prohibited herself from eating and drinking water, and was on the verge of death if I had not intervened within a day or two.
E l’apostema ja tant havia pugat que havia mezes dos ramps entro que eyssiro per dos traucs.	And the apostema had grown so much that it had eaten away two rumps and was coming out through two holes.
Donc yeu me cuytegui fisturalment e fiquegui en un de lor onci, e tiregui aquel, e atirada es de lu gran porcio, e aprop yeu incidigui aquela de on comprendegui del autre trau, e aprop yeu obrigui la boca de lu, e compremegui la sua lengua, e aprop yeu fiquegui le onci en aquela apostema.	So I cut into it forcefully and stayed in one of them once, and pulled out that thing, and it came out from the great part, and then I cut into the other notch, and then I forced her mouth open, and grasped her tongue, and then I placed the once in that apostema.
E aprop yeu abscizi gran partida de lu, e no corria de lu sino un pauc de sanc.	And then I cut off a great part of it, and only a little blood flowed from it.
Donc absolut es le guolayro de aquela femna, e comensec tantost beure aygua, e aprop presec vianda, donc yeu no cessegui inscidir de aquela apostema motas vetz per lonc temps, e succesia apostema en loc de aquel, le qual inscizia entro que es prolonguat aquel.	And then the Golauro of that woman was completely absolved, and she began to drink water and eat food again. And I did not cease cutting into that apostema many times for a long time, and successive apostemas arose in its place, which I cut into until it was prolonged.
Donc yeu engen agui e cauterizegui le guolayro de lu, donc astec de addicio; e aprop yeu perambulegui e no saubi que fec Dieus de aquela aprop mi.	And then I made it well and cauterized the Golauro of her, so that there was no addition; and then I walked around and did not know what God had done for me.
Capitol .xxxvii.	Chapter 37.
De inscizio de huvela quan es apostemada.	On the Cutting of a Hovel when it is Apostemated.
Quan catarr deysen a la huvula, e es apostemada e es longa, lahoras ela es nompnada perpendicular; e si es en la partida dejos grossa e redonda, e lahoras ela es apelada buba.	When the catarrh settles in the hovel, and it is apostemated and long, then it is called perpendicular; and if it is on the back part large and rounded, and then it is called a boil.
