Ayssi comensan las paraulas de Albucasim .	Thus we begin the treatment of the disease of Albucasim.
E si no es a tu possible estrayre am aquel, lahoras pren una canula concava e entromet aquela en lo guolayro del malaute, e aprop pausa en la concavitat de la canula un ferr ignit, e fay aquo tantas vetz (entro que la sancguisugua sia morta e se osta del guolayro) e abstengua se le malaute tot lo jorn de aygua.	And if it is not possible for you to extract it, then take a concave cannula and insert it into the patient's soliloquy, and place a fiery iron in the cavity of the cannula, and make as many turns (until the blood treatment is dead and removed from the soliloquy) and abstain from the patient for the entire day of water.
E aprop prengua una veyria plena de aygua frega, e obra la boca de lu en aquela, e lava la boca am aquela; e no trasglucia de aquela alcuna causa e maugua l’aygua una hora aprop autra am la sua ma, quar la sancguisugua tantost cum sent l’aygua catz.	And then take a full vessel of cold water, and put the patient's mouth in it, and wash their mouth with it; and do not transgress from that cause and mix the water for an hour, then another on their hand, because the blood treatment is just as sensitive to the cold water.
Mays si no es foro-getada am aquo que havem recomtat, lahoras subfumigua le malaute am cimetz o am assafetida per le instrument le qual havem recomtat en la sufumiguacio de uvula.	Moreover, if it is not forgotten what you have recommended, then suffumigate the patient with cumin or asafoetida through the instrument that you have recommended in the suffumigation of the uvula.
Fay aquo, so en quar cayra.	Do it, because it is four times a year.
E es un’autra manieyra de operacio en sufumiguacio de aquela, es que tu prenguas una ola en la qual sian carbos ignitz e la ola sia cuberta am una cobertora en le mieg de la qual sia un trauc, e sia compausat en aquel trauc la extremitat del instrument; e aprop dega desus la subfumigacio; e pause le malaute la sua boca en la extremitat de la canula, e claugua la sua boca per que la subfumiguacio no sia foro-getada entro que sapias que la subfumigacio es pervenguda a la sancguisugua, quar la sancguisugua tantost cayra.	And it is another manner of operation in the suffumigation of that, which is to take a pipe on which are ignited carbonized coals and the pipe is covered with a cover in the middle of which is a tube; and then descend under the suffumigation; and place the patient's mouth at the end of the cannula, and close their mouth so that the suffumigation is not forgotten until you know that the suffumigation has reached the blood treatment, because the blood treatment is changed four times.
E si no catz, lahoras tu itera la subfumiguacio motas vetz, e abstengua le malaute de beure, e mange causas saladas e alhs, e no begua aygua, e ayssi necessari es que am aquest regiment sia fora-getada.	And if it does not work, then repeat the suffumigation many times, and abstain from the patient's drinking, and eat salty foods and soups, and do not drink water, and thus it is necessary that this regimen should not be forgotten.
E aquesta es la forma del instrument am le qual es trayta sancguisugua del guolayro quan es vista; e es semblant a forceps ayssi cum vezes, sino quar es en lu alcuna curvitat:	And this is the shape of the instrument with which the blood treatment of the soliloquy is treated when it is seen; and it is similar to forceps, but not because it is in some curved shape:
le qual sia mesa al guolayro, e la extremitat de lu es semblant a bec de ciconia, que es guanta, en la qual es aspretat de lima, per so quar, quan comprem alcuna causa, aquela no leyssa.	which is placed on the soliloquy, and its extremity is similar to a beak of a stork, which is guarded, in which is sharpened with a file, so that, when you comprehend some cause, it does not leave.
Capitol .xl.	Chapter 40.
En le qual es la suma del sermo en apercio de apostemas e en seccio de lor.	In which is the summary of the sermon in perception of abscesses and in section of theirs.
Les apostemas so motas specias, de motas manieyras, segon que ve rememoracio de lor, de quascuna en aquest libre.	The abscesses are many special kinds, of many manners, according to the memory of them, of each one in this book.
E so diversas en perforacio e seccio de lor per doas manieyras, de las quals la una es per la specia de apostemas en si meteys; e per aquo que comprem de las humiditatz.	And they are diverse in perforation and section of theirs for two manners, one of which is for the species of abscesses in their measures; and for that which you comprehend of the humidities.
E la segonda manieyra es prop les locs en les quals accideys del cos, quar le apostema accident en le cap es autra de la apostema accident en le cul; e le apostema en le loc carnos accident es autra del apostema accident en junctura; e a quascun de lor es son juguament per operacio.	And the second manner is proper to the places in which accidents of the body occur, because the abscess that occurs on the head is different from the abscess that occurs on the buttocks; and the abscess in the carnal place occurs differently from the abscess that occurs in a joint; and each one of them has its judgment for operation.
E mays de apostemas so alcunas las quals cove que no sian perforadas sino aprop maturacio de la sania en aquels o compliment de lor.	And many abscesses are such that they cover that they are not perforated but rather matured by the sania in those or complete them.
So autras apostemas les quals cove que sian traucatz quan son cruzes, e no son maturatz segon lor compliment, ayssi cum apostemas que son propdas a las juncturas, quar apostema quan ve prop junctura, lo esser de lu es prolonguat entro que·s poyreys aquo que es en le circuit de lu, e fort leu son corromputz les liamentz o les nervis de aquela junctura, per que es fayta causa de contraccio de aquel membre; o es apostema prop de membre principal, e si tu tardas la perforacio de lu entro sia madurat nosira al membre principal; o es prop le cul, donc perfora aque no-madurat; e no cove que·l perforas cru, de no-complida degestio, sino aquel que es prop del cul, per so que no poyresca le preon de lu e sia elonguat a las partidas dedintz del cul, e sia fayta fistula, o que sia fayt en le terme de lu que no sia sanat.	Other abscesses cover that they are wounded when they are crossed, and they do not mature according to their compliment, just like abscesses that are proper to the joints, because an abscess when it has a joint, its essence is prolonged until it can pour out what is in its circuit, and strongly corrupts the ligaments or nerves of that joint, so that it is a cause of contraction of that member; or it is an abscess proper to a principal member, and if you delay the perforation of it until it matures, you will not harm the principal member; or it is proper to the buttocks, therefore perforate what has not matured, and do not cover that they perforate crudely, from incomplete digestion, but rather that which is proper to the buttocks, so that you do not pour out its essence and it is elongated to the divided parts of the buttocks, and it is a fistula, or it is done in the term of it that it is not healthy.
Mays cove que tu sapias la hora de la perforacio de la apostema, e aysso es quan es maturat.	Many cover that you know the time of the perforation of the abscess, and thus it is when it matures.
E sapias que es madurat quan es la cedacio de la dolor e la cessacio de la febre, e aprop la diminucio de la rogor e de la pulsacio, e la acuitat del cap del apostema, e les autres senhals.	And you know that it is matured when there is the cessation of pain and the ceasing of fever, and then the diminution of the rigor and of the pulse, and the acuity of the head of the abscess, and the other signs.
E quar cove que sapias la perforacio cazer en le loc pus dejos del apostema e de pus venient de curacio de la eminencia.	And because you cover that you know the perforation will occur in the place where the pus is beneath the abscess and where the pus comes from the cure of the eminence.
E perforacio tostemps sia per le lonc de la carn o del cors, si las apostemas son en las partidas de las mas o dels pes, e en loc dels lacertz, de las cordas dels nervis, de las arcerias; e, al derier, en totz locs enguals en les quals no es reflecio; quar en aquels que so reflectitz, usa de perforacio segon aquel membre.	And perforation is sometimes through the length of the flesh or of the body, if the abscesses are in the parts of the hands or feet, and in the place of the ligaments, of the cords of the nerves, of the arteries; and, afterwards, in all places where there is no reflection; because in those that do reflect, use perforation according to that member.
Mays quan le apostema es en loc carnos, lahoras miels es que leysses la perforacio de lu entro que sia confermada la digestio de lu segon compliment, ayssi quo havem dit; quar si tu perforas aquel denant aquo, es prolonguat le cors del poyre de lu e de mota sordicia, e fort leu las labias de lu so enduradas e la profunditat de lu.	When the aposteme is in a fleshy location, it is advisable to delay perforation until it is confirmed that digestion is taking place according to the usual process, as we have previously stated; for if you perforate at that time, it will prolong the body of the patient's disease and make his lips ulcerous and the depth of the wound more putrid.
Mays alcus apostemas so perforatz segon la latitut de la carn o del cos deves la necessitat, o segon aquo del qual lo membre indigeys.	Sometimes apostemes are perforated according to the latitude of the flesh or the condition of the body, or according to the necessity of which the affected member indicates.
E cove que administres petita perforacio , e·n les apostemas grans gran perforacio e ampla o motas seccios segon la diversitat de la grandesa dels apostemas.	And it is necessary to administer small perforations, and in large apostemes a great and wide perforation or multiple sections according to the diversity of the size of the apostemes.
E autras so dels apostemas en les quals cove que la codena sia conquavada e sia encidida, quan es fayta ayssi quo pan e fayta es en terme que ja stigua, ayssi cum aquel que accideys en trops de dubelec e de bubos.	And other times of the apostemes in which it is necessary that the coding be overcome and be enclosed, when it is done thus, it will be in a term that already exists, just like one who accumulates in drops of dubellum and of bubbles.
E de aquels so que so insciditz am seccio havent tres angles; e de aquels es en le qual es inscidit ayssi cum figura de fuelha de mirtra, ayssi cum las apostemas dels angonars.	And of those that are incised in a section having three angles; and of those that are incised thus like the figure of a leaf of myrtle, just like the apostemes of the veins.
E de lor so en les quals es administrada seccio redonda e seccio lunar, e semblantz ad aquels.	And of theirs in which a round section is administered and a lunar section, and they resemble those.
Mays aquel al qual no es cap ayssi cum son apostemas leons superficials, cove que tu perforas aquel am perforacio superficial, o plana tant solament.	Sometimes that which cannot be seized thus like the superficial apostemes of lions, it is necessary to perforate with a superficial perforation, or to plane only on the surface.
E cove quant le apostema es gros e ya ha colligit mota sania, que perfores aquel e no te coytes que extraguas tot le poyre en aquela hora; habantz extratz de aquel una partida, e aprop opila le apostema entro al autre dia, e aprop extratz una partida major, e aprop fa aquo motas veguadas segon graduacio entro que sia foro-getat.	And it is necessary when the aposteme is large and has collected much sania, that you perforate it and do not think to extract all the pus at that hour; having extracted a part of it, and then you apply oil to the aposteme until another day, and then you extract a larger part, and then you make many evacuations according to gradation until it is fully purged.
E majorment si·l malaute es de freol vertut, o femna prens, o enfant petit, o viel en decrepitut, quar l’esperit animal motas vetz es resolvut am la egressio de la sania, e fort leu mor le malaute, e tu operte les.	And it is especially so if the patient is of frail virtue, or a pregnant woman, or a small child, or an elderly person in decline, because the animal spirit is much resolved to expel the sania, and it will quickly kill the patient, and you will operate on them.
Don guarda aquest capitol am gran cautela, e aprop la tua perforacio en la qual perforas aquestz apostemas, cove que abstergescas las plagues e consideras donc si la plagua del apostema es pauca, o es una seccio plana, lahoras tu aministra las qualguas de li o de coto antic; e si le apostema es gran, e las fissuras de la perforacio son motas, lahoras cove que tu pauses meca en quascun trauc entro que pervenguan ensemps.	Be careful in this chapter with great caution, and then make your perforation in which you perforate these apostemes, because you will cleanse the wounds and consider therefore if the wound of the aposteme is small, or it is a flat section, then you will administer the remedies of oil or of anti-irritant coto; and if the aposteme is large, and the fissures of the perforation are many, then it is necessary that you pause in some tract until they come to an end.
E si en le apostema es abscindit una partida de la codena o has concavada aquela en le circuit, lahoras cove que tu la complescas de coto viel o de fil fayt de drap de li, ayssi cum quan has traytz pans o razizos, ses humiditat; e strenh aquel entro al tertz dia; e aprop proceseys aquel e cura le am aquo que cove dels enguentz entro que sia sanat.	And if in the aposteme a part of the coding is abscessed or has concaved into the circuit, then it is necessary that you complete it with anti-irritant coto oil or with a thread of drap from flax, just like when you have treated pans or razizos, with humidity; and strengthen it until the third day; and then proceed to cure what is necessary to remove the engorgements until it is sanitized.
Mays si accideys flux de sanc en la hora de la operacio tua, lahoras tu aministra aygua frega e vi agre en les quals mules un drap de li, e pausa aquel sobre le loc del fluxs del sanc motas veguadas.	Sometimes if there is a flow of blood during the time of your operation, then you administer cold water and wine in which you mix a thread of flax, and pause that over the location of the blood flow, many evacuations.
Mays si persevera le fluxs del sanc, lahoras cove que tu aministres regiment e curacio e polveras las quals he recomtadas en motz locs de aquest nostre libre e de divisio.	Sometimes if the blood flow persists, then it is necessary that you administer a regimen and cure, and powder with those that have been recommended in many places of our book and division.
Mays si es en temps de hivern, e·l loc de la apostema es loc de motz nervis, lahoras cove que tu enfundas pulvils en vi e oli caut, e pauses aquels sobre les locs.	Sometimes if it is in winter time, and the location of the aposteme is a location of many nerves, then it is necessary that you apply poultices with wine and oil, and pause those over the locations.
E si es en estiu, e les locs son carnoses, lahoras cove que tu pauses pulvils enbeguts am aygua e oli o am vi e oli, e tot aquo sia freg entro que sia le ters dia, ayssi cum havem dit, e lahoras cove que tu deslies le apostema e abstergescas aquel e aministres en la curacio de lu aquo que a lu conveneys entro que sia sanat.	And if it is in summer, and the locations are fleshy, then it is necessary that you pause poultices wrapped in water and oil or wine and oil, and all that should be cool until the third day, as we have said, and then it is necessary that you dislodge the aposteme and cleanse it and administer the cure of what is convenient to it until it is sanitized.
E aysso es aquo que es necessari de la cognicio de la curacio de apostemas universalment, mays segon la via de distinccio ja he dit de tot apostema en qual manieyra es via de la cura de lu per capitols singularment.	And thus it is necessary to know the cure of apostemes universally, sometimes according to the way of distinction already said about each aposteme in which manner it is the way of curing it by chapters separately.
Capitol .xli.	Chapter 41.
De seccio de apostemas les quals veno en la codena del cap.	On the section of apostemes which come in the coding of the head.
En la codena del cap petitz apostemas, e so de specias de nodes les quals conteno tunicas que so a lor factz ; e las specias de lor so motas.	In the coding of the small head, little apostemes, and so of species of nodes which contain tunics that are at their fact; and the species of theirs are many.
E de lor son pingas, e de aquelas so que conteno humiditat semblant a lima.	And they are pungent, and of those that contain humidity similar to lime.
E de aquelas so las quals conteno humiditat semblant a pols, et asemblantz a lor; e de aquelas so que son lapideas, durs.	And of those that contain humidity similar to pores, and they resemble them; and of those that are lapideous, hard.
E en la seccio de totz, e en la extraccio de aquels no es temor, cum deves la exteccio de aquels no fa contrariat arceria.	And in the section of everything, and in the extraction of those that are not fearful, as one must extract those that do not cause contradictory archeria.
E la operacio en seccio de aquels es que tu esproes aquels am instrument la forma del qual ve aprop aysso, le qual es apelat entromes, entro que sapias que contengua.	And the operation in section of those is that you spread them with an instrument in the form of which you approach thus, which is called entromes, until you know what they contain.
Quar si aquo que conte es humiditat, lahoras scindeys aquel am seccio segon la longitut per seccio superficial segon aquesta forma:	Because if there is moisture that retains humidity, then separate it with a dry cloth according to the length for superficial separation in this manner:
E comensa en la seccio de la linha de .B. entro a la linha de .G. Donc cum la humiditat es evacuada, lahoras tu excoria aquela pel que conte aquela humiditat, e no leysses de aquela alcuna causa de tot, quar tropas veguadas retorna, si roman de aquela alcuna causa.	It begins at the separation of the line of B, entering to the line of G. Then, when the humidity is evacuated, then you excoriate that skin which contains that humidity, and do not leave any of those causes of total, because many weakened returns, if it remains from some cause.
E aprop submergeys coto en enguent egipciach, si es present, e sino, en aygua e sal; e umpleys am aquel la plagua e layssa aquel entro ad autra dia, quar am aquo corrodeys tot so que es romas de aquela pellicula.	And then submerge it in Egyptian ink, if it is present, and if not, in water and salt; and fill that plague and let it enter another day, because I corrode everything so that it removes all from that skin.
E aprop itera sobre aquel coto am enguent egipciach segondament e tersament si indigeyses de lu, entro que·t comfides que no y haia romas alcuna causa de aquela pellicula; lahoras cura la plagua am enguent entro que sia sanada.	And then iterate over that spot with Egyptian ink again and thirdly if it is indicated for him, until you are confident that there is no remaining cause of that skin; then cure the plague with Egyptian ink until it is healed.
E si apostema conte nodi gras, lahoras tu inscideys aquel segon aquesta forma:	And if the abscess contains fatty nodes, then you incise it according to this method:
am seccio havent forma de crotz, e geta oncis entre doas labias de la seccio e scorsa aquel de tota partida, e esforsa la tua vertut en extraccio de la tunica la qual conte aquel.	It has the form of a cross, and cut between the two lips of the incision and scrape everything from that entire partition, and extract your virtue in extraction of the tunic which contains it.
Mays si a tu arceria fa contrarieta, lahoras fay aquo que yeu t’e recontat primieyrament.	Perhaps if you have made a mistake, then do the opposite, so that you can rectify it primarily.
E semblantment fay en le apostema lapificat de seccio e de curacio segon que a tu havem dit; e seccio sobre apostema lapificat es pus leugiera, quar es de pauc sanc e de pauca humiditat.	And similarly do in the lapified abscess of incision and cure according to what you have said; and incision over the lapified abscess is less grievous, because it is of little blood and little humidity.
E alcunas vetz so alcus de aquestz apostemas les quals so en le cap en alcus homes am los quals de tot no es humiditat; la qual causa es quar yeu inscindigui sobre un apostema en le cap de una femna vielha e atrobegui le apostema ayssi cum peyra sorda, aspra, blanqua, la qual no podia esser trinquada, e si a alcu fos am aquela percussit, plaguera aquel.	And some old women know about these abscesses which are on the head of some men who have none of that humidity; which causes it because you have incised over an abscess on the head of an old woman and touched the abscess thus with a rough, harsh, white, which could not be pierced, and if someone has touched that percussion, it would plague.
Mays en les autres apostemas accidentz en le cap otra aquest no es aquest capitol, ayssi cum les apostemas que veno als caps dels enfantz e deves las razitz de las aurelhas, mays la seccio de aquestz totz sia seccio superficial.	Perhaps in the other accidental abscesses on the head there is not this capital, thus like the abscesses that come to the heads of children and devour the roots of the ears, but the incision of all these should be superficial.
E pausa la perforacio de aquels de la partida pus bassa de lor per so que sia alleujat le cos de la sania a las partidas pus bassas.	And stop the perforation of those parts from the lower part of their skin, so that the body of the wound is alleviated at the lower parts.
E aprop cura aquelas am aquo que conveneys ad aquel de curacio.	And then heal those things with what is convenient for that cure.
Capitol .xlii.	Chapter 42.
De seccio de scrophulas las quals accideyso en le col.	On the incision of scrofula which occur on the neck.
Motas veguadas endeveno aquestas apostemas en le colh e en las aysselhas e en les angonars; e alcunas veguadas accideyso en las autras partidas del cos.	Many weakened returns are caused by these abscesses on the neck and in the axillae and in the joints; and some weakened returns occur in other parts of the body.
E so aquelas que accideysso en le colh, e so motas que so engendradas entre lor, e tota scrofula de aquelas es dintz la sua tunica propria, e ayssi cum en les nodis e apostema del cap, ayssi cum havem recomtat.	And those that occur on the neck, and many that are generated between them, and all scrofula of those is within its own proper tunic, and thus like in the nodes and abscesses of the head, thus as we have recommended.
E las specias de aquestas scrophulas son motas, quar de aquelas so alcunas lapideas, e de aquelas so que conteno humiditatz, e de aquelas so malignas las quals no obeseysso a curacio.	And the species of these scrofula are many, because some of them are lapified, and some contain humidity, and some are malignant which do not obey cure.
Donc en aquela la qual tu vezes de bona disposicio en le Tocament, de la qual la color de aquo que es manifest es propda a la color de la codena, e es mauguda a tota partida, e no es annexsa am le nervi del colh, ni am las venas, ni am la arceria, e no es preonda, cove que tu inscidiscas aquela am siccio superficial de la partida desus a la partida dejos del cos de la linha de .G. entro la linha de .B., e scorja aquela de tota partida, e exten dos labias de la codena am onci, o am motz oncis si has necessitat de aquels, ayssi cum havem dit en las apostemas del cap, e extratz aquela petit a petit.	Then in that one which you find with good disposition in the Tocament, of which the color of that which is manifest is similar to the color of the codena, and it is mauled throughout the entire part, and it is not annexed to the nerve of the neck, nor to the veins, nor to the artery, and it is not preoccupied, because you incise it with superficial incision from above the part down to the line of G., entering the line of B., and scrape that entire part, and extend two lips of the codena on one side, or many sides if there is need of those, thus as we have said in the abscesses of the head, and extract it little by little.
E es mays cautela que no sia inscidida la vena o nervi.	And it is more caution that neither the vein nor nerve should be incised.
E sia le spatum no mot agut, que no ajuste a tu la tua ma am inscizio, o que enquiete le malaute, e que inscidas aquo que no es necessari inscidir; quar si inscideysses vena o arceria e prohibeys tu de la tua operacio, lahoras pausa en la plagua vetriol trissat o autras polveras las quals ostan fluxs de sanc, e estrenh la plagua, e layssa aquel entro que·s repausa la acuitat de la apostema e sia mollificada la plagua e comense esser poyrida.	And it is more careful that you do not adjust your hand in incision, or quiet the patient, and that you incise what is not necessary to incise; because if you incised a vein or artery and prohibited yourself from your operation, then pause in the vetriol plaster or other powders which stop the flow of blood, and strengthen the plague, and let it enter until it repauses the acuity of the abscess and mollifies the plague and begins to be puerperal.
Quan le sanc es abscindit.	When the blood is absorbed.
Donc retorna a la tua operacio entro que l’aias complida.	Then return to your operation until you have completed it.
E aprop inquireys am le tieu dit indic si es romas alcuna causa de las autras petitas scrophulas, donc inscideys aquelas e munda aquelas.	And then investigate if there is some cause of the other small scrofula, so incise them and cleanse them.
E si es en la razit de la scrophula gran vena, cove lahoras que no inscidas aquela scrophula de la sua razitz.	And if it is in the root of the large scrofula vein, because then you should not incise that scrofula from its root.
Abantz cove que lies aquela am fiel doblat fort e que leysses aquela entro que caia per si ses nocument.	Besides, because it seems that you have made a double strong faith and leave it until it falls by itself without being noticed.
E aprop omple la plagua de coto vielh le qual tu has ja submirgit en enguent egipciac, e aprop cura aquel.	And then fill the wound of the cut thigh which you have already submerged in Egyptian ointment, and take care to cure it.
E si inscides aquela scrophula tota, lahoras cove que tu ajustes las doas labias de la plagua e cuzas2 tantost pus que no y ha romasa deguna superfluitat.	And if you incise that entire scab, then be sure to adjust the two lips of the wound and cauterize as much as possible so that no excess flesh remains.
Mays si tu vezes que haia romasa superfluitat per la grandeza de la scrofula, cove que tu entendas a inscidir la razit de aquela, e astrayra aquela e aministra sutura e aquo que es dit.	Perhaps you see that excess flesh has remained due to the greatness of the scab, be sure to understand how to incise the root of it, and separate it and administer a suture, and that is what is said.
E aquela de las scrophulas que conteno humiditatz, perfora aquela am perforacio superficial aqui la on appar a tu le loc de maturacio de lu, e pausa perforacio de aquo que siec le pus bas del cos, ayssi cum havem dit.	And in those scabs that contain humidity, make a superficial perforation here at the place of maturation of it, and stop the perforation of what you see is the pus at the bottom of the ulcer, as we have said.
E aprop aministra perforacio, calguas am enguent e semblantz ad aquels, per so que corroda aquo que es romas de la corropcio.	And then administer perforation, with warm ointments and similarly to those, so that it corrodes what remains of the corruption.
E aprop quan tu vezes la plagua ja esser mundada, lahoras tu cura aquela am enguent de carn generatiu entro que sia sanada.	And then when you see the wound is already cleaned, then take care to apply an ointment of generating flesh inside so that it may be healed.
Capitol .xliii.	Chapter 43.
De seccio del pilhot del apostema accident dintz le guolayro.	About the section of the pillow of the accidental aposteme next to the goulard.
Diyssero les antics aquesta seccio en le epilhot, e no vist alcu hom en nostra terra que aquela aia fayta.	They dislodged these abscesses from this section in the pillowy swelling, and we did not see anyone in our land who had made it.
E aquesta es la inscriptura del sermo de aquels.	And this is the inscription of the sermon about those.
Mays en les homes haventz esquinencia, cove que sia esquivada la extraccio del epilhot, cum per aquo no sia fayt juvament per so quar totas las venas e las majors del malaute so aqui.	Perhaps in the men who have had an accident, be sure that the extraction of the pillowy swelling is avoided, because for that reason it will not be made quickly, so that all the veins and major parts of the thigh are here.
Mays en aquels que han apostemas cautz en la boca o guolayro o dos aurelhas, quan la malautia no es en la cana, cove husar de la seccio de epilhot a fugir la perdicio la qual es fayta per perfocacio.	Perhaps in those who have abscesses burst in the mouth or goulard or two aurelia, when the badness is not in the cane, be sure to use the section of pillowy swelling to flee from the loss which is made by perforation.
Donc cove quan volem aquo, que inscidam le epilhot dejos tres cercles dels cercles del epilhot, o quatre am petita seccio per la latitut en aquel que es entre dos cercles per quantitat, que la seccio sia en ciphac, no en la cartillage, e aquest loc es convenent a seccio, quar es privat de carn e les vayselhs de sanc de lu son luhen.	Then be sure when we want that, to incise the pillowy swelling beneath three circles of the circles of the pillowy swelling, or four with a small section for the latitude in what is between two circles by quantity, so that the section is in cipher, not in the cartilage, and this place is convenient for section, because it is deprived of flesh and the vessels of the blood which are there.
E si le metge es pauruc, cove lahoras que extenda la codena del golayro am onci, e aprop fenda la codena entro que pervengua a la canal, mays evite les vaysels de sanc si vetz de aquelas alcuna causa.	And if the doctor is inexperienced, then be sure that he extends the cord of the goulard with an onion, and then inserts the cord inside so that it reaches the canal, perhaps to avoid the blood vessels if you see them because of some other cause.
E aprop inscida li ciplach segon que havem recomtat; e es significat sobre la seccio de la canal per le flacma le qual es de aquela eyssit am aquo que es de lu disromput e per la abscizio de la votz.	And then incise the cleft according to what we have recommended; and it is significant about the section of the canal for the relaxation of what is of that excess matter which is of the disrupted and for the abortion of the void.
E layssa la plagua uberta per alcun temps.	And then the wound will be open for some time.
Donc cum la hora es remauguda en la qual perforacio es temuda, agregua doas labias de la codena de la plagua, e cus aquela sola ses la cartillage.	Then when the hour is renewed in which the perforation is tempered, add two lips of the cord of the wound, and sew that alone to the cartilage.
E aprop administra medicinas que fan naysser la carn entro que sia sanat.	And then administer medicines that make the flesh grow inside so that it may be healed.
E diyssec Albucasis que la summa del sermo le qual havem recomtat, exposicio no es sino que veias que alcus de aquetz apostemas ja han opilat lo guolayro del malaute, e le malaute es vengut entro a mort, e le ale de lu es entresecat, e alcus van a inscidir le epiglos per so que respire le malaute sobre le loc de la plagua per alcuna respiracio, e sia salvat de mort.	And Albucasis says that the sum of the sermon which we have recommended, exposition is not but that you see that some of these apostemes have already pillowy-swollen the goulard of the thigh, and the thigh has come to death, and its wing is between- cut, and some go to incise the epiglottis so that the thigh may breathe on the place of the wound for some respiration, and be saved from death.
E per aquo comandero layssar la plagua uberta entro que sia consumida la malicia de la malautia; e es la malicia de lu per tres dias; e donc lahoras comandero cosi la plagua, e cura aquela entro que sia sanat.	And for that reason I command to leave the wound open until the evil of the badness is consumed; and it is the evil of it for three days; and then I command thus the wound, and take care of it until it is healed.
E aquo que yeu he vist per mi meteys, es que una sirventa pres un cotel e mesec le en le sieu golayro e inscidic am aquel una partida de la cana del pulmo, e yeu fu apelat a la curacio de lu, e atrobegui la mugen ayssi cum es mugit del moridos, e descubrigui la plagua e atrobegui le sanc le qual era yssit de la plagua petit.	And what I have seen through my metaphors, is that a servant held a knife and put it in the goulard of his thigh and incised with one part of the cane of the lung, and I was called to the healing of it, and I buried the mungent thus as it is buried by the dead, and discovered the wound and buried the blood which was issuing from the small wound.
Donc yeu fo confessat que aquela no havia inscidit vena ni guidegi, e le vent yssia de la plagua, e curegui aquela entro que foc sanada.	Then I must confess that it had not incised a vein nor guided, and the wind was issuing from the wound, and I took care of it until it was healed.
E no accidic a la sirventa si no rauquiera en la votz, e aprop alcus dias retornec ad miloracio de las suas dispozicios.	And do not accuse the servant if he does not return to the void, and then some days returned to the administration of their own dispositions.
E ara dic yeu que en la seccio del epilhot no ha temor.	And now I say that in the section of the pillowy swelling there is no fear.
Capitol .xliv.	Chapter 44.
De seccio sobre apostema le qual accideys en le golayro defora, e es apelat hernia del golayro.	About the section on the abscess that occurs in the goulard beforehand, and it is called hernia of the goulard.
Aquest apostema nompnat hernia del golayro es apostema gran segon la color del cors, e es mot en las femnas.	This abscess named hernia of the goulard is a great abscess according to the color of the body, and it is more in women.
E es segon dos manieyras, quar o es natural o accidental.	And it is according to two manners, because either it is natural or accidental.
E en le natural no es engen de curar.	And in the natural one, it is not necessary to cure.
E l’accidental es segon dos manieyras del qual la un es semblant a nodes grasses, e l’autra manieyra es semblant apostema le qual es fayt per nodacio de arteria, e en aquel es temor.	The accident is caused by two manifold forms of which one resembles swollen nodes, and the other form resembles an abscess made by arterial node inflammation, and in that there is fear.
E no cove que·s fassa presumpcio a lu cum ferr sino en aquel que es petit.	And it does not cover the surface of the tumor with iron except in one that is small.
E tu proha aquel e investigua aquel am le dit, e si atrobas lu semblant a nodi gras, e no es suspendut am alcuna de las venas, lahoras tu inscideys aquel ayssi cum les nodes, e extratz aquel am aquo que conte lu de la pel e bursiclam; e sino, lahoras es perscrutat tot le sieu esser, e aprop cura le loc am aquo que cove de curacio entro que sia sanat.	And you probe that and investigate with the aforementioned, and if you find it resembles swollen nodes, and it is not suspended from any of the veins, then you incise thus with the nodes, and extract what contains the pus and serum; and otherwise, then the entire tissue is scrutinized, and you carefully cure the area that requires healing until it is healthy.
Capitol .xlv.	Chapter 45.
De seccio de las specias de nodes.	On the section of species of nodes.
Dels nodes so motas specias e yeu ja he dit totas las specias de lor en la divisio.	Of the nodes, there are many species and I have already said all the species of theirs in the division.
E cove que yeu recomte assi la diferencia entre node e exitura cum fassa dubitacio.	And it covers how I recommend distinguishing the difference between a node and an abscess with surface doubtfulness.
Donc yeu dic que am exitura es caliditat e febre e dolors vehementz entro que es sedada la ebullicio de la superfluitat; e es complida putrefaccio que lahora cessa la febre, la dolor e la calor.	Therefore I say that an abscess is heat and fever and violent pains until the inflammation of the excess is reduced; and it is a complete putrid decay that when it ceases, the fever, pain, and heat cease.
Mays am node no es caliditat ni febre ni dolor, e conte aquel ciphac leon le qual es al u sac propri.	But a node is not heat nor fever nor pain, and it contains that thick cloudy liquid which is in its own proper sac.
E es segon la color del cors, e le comensament de lu es cum un ceze e es fayt ayssi cum vace, sia major o minor, e son segon dos specias, quar o so grassas e conteno humiditat, e las colors de la humiditat son motas, segon que yeu diyssi en la divisio.	And it is according to the color of the body, and its beginning is like a boil and it is made thus as a vacuum, whether major or minor, and they are according to two species, whether they are fat or contain humidity, and the colors of the humidity are many, as I have said in the division.
Donc cove, quan pervenas a la curacio de node, que exprohes aquel e inquiras aquel al comensament am sturment le qual es apelat intromes, segon que vindra la sua forma en le capitol le qual es aprop aquest.	Therefore it covers, when you approach the cure of a node, that you expose and inquire into its beginning with instrumental stirring which is called introgression, according to how you will find its form in the chapter that is apropos to this.
