Ayssi comensan las paraulas de Albucasim .	The words of Albuca's doctrine begin here.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	And thus do this to those and the other one until you come to all of them on whose body it is.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	And then cure those places where the roots of the knots are eradicated with this water of remedies which causes flesh to regenerate.
Capitol .liiii.	Chapter LIV.
De cauterizacio de tremor.	On Cauterization of Tremors.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	When there is a tremor due to fright in the nerves or due to fever caused by fright, or for another similar reason, then it is necessary that you cauterize that place with four or five cauteries placed between each vertebra of the back; and with one cautery on the legs and over the stomach of the patient, with an olive-shaped cautery.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	And the tremor ceases and hastens the recovery of the patient from the frightful illness.
Capitol .lv.	Chapter LV.
De cauterizacio de albati accidentz al cors.	On Cauterization of Accidental White Spots on the Body.
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	When white spots are formed on the body and pustules burst open which are made of thick corrupted matter; therefore it is necessary at first as it appears, that a subtle cautery be applied to the head of the fistula with a myrtle-shaped cauteri whose end is extended in fire; or with the roots of long-lasting erestology; or with a lentecular cautery.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	And sometimes it is necessary to cauterize again at the beginning of its expulsion according to this method; and do not believe, and the superfluity making those things ceases, and cures those.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	But however, it is necessary that this be done properly with evacuation by phlebotomy.
Capitol lvi.	Chapter LVI.
De cauterizacio de fluex de sanc accident per incisio de arceria.	On Cauterization of Accidental Bleeding due to Incision of Artery.
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	Many times there is bleeding from an artery which is cut by the wound or by the incision of apostemes or cauteries on the member, and then similar things happen, and it is difficult to stop that bleeding.
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	Therefore, as it happens with some water, then you must take your hand to the orifice of the artery and place on that the said cauteri, and apply it many times until the bleeding stops and there is no more.
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	And then pause in the fire with small and large olive-shaped cauteries, by number of points, and blow over them until they are thoroughly ignited.
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	And then take one small or one large cautery from those, according to the location and wound where the artery is broken, and place it on that vein hastening more than you have previously applied the said cautery, until the bleeding is stopped and contained.
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	And if the blood is expelled from the orifice of the artery when you remove the said cautery and extinguish it, then take another cautery carefully from among the cauteries that are prepared in the fire, and therefore do not cease to do this repeatedly until the bleeding is stopped.
E guarda te que no comburas le nervi que aqui es, e que vengua sobre le malaute autra malicia.	And beware that you do not burn the nerves which are here, and that you bring other evil upon the patient.
E sapias que quan de l’arteria flueys sanc, lahoras no es possible en aquels restrenge la sanc, e majorment quan l’arteria es gran, si no am una de quatre manieyras: o am cauteri ayssi quo dit havem, o am extraccio quan no es extrayta, quar quan es extrayta las extremitatz de lu miels son comburidas e es restreyt le sanc, o que sia liat am fiel o am liament per fort strectura, o que sian pausadas sobre lu medicinas de las quals la vertut es restringir la sanc; e sian strengudas am pulvinar am costriccio decent.	And know that when blood flows from the artery, it is not possible to stop the bleeding in those cases, and especially when the artery is large, unless by one of four methods: or with a cautery as we have said, or by extraction when it is not extracted, because when it is extracted the extremities of it are burned and the bleeding is stopped, or that it be tied with thread or ligament by strong constriction, or that medicines which have the virtue of restricting blood flow be applied to it; and they must be strengthened with a poultice and decent constriction.
Mays aquel que aministra restriccio decent de lu am liament e am strictura am draps o per posicio de causas comburentz e de semblantz, no comfereys sino tart.	But he who administers restraint by way of ligament and constriction with cloths or by position of causes that burn and similar things does not yield quickly.
Mays si aquo endeve ad alcu e no sia le metge present ni medicina, lahoras obre am pausament del dit indic sobre le orrifici de aquela vena ayssi cum havem dit, e entenda a la gran costreccio de lu entro que le sanc sia ostat de la sobirana partida de la plagua, e sobre la arceria le dit no sia remaugut; e de sobre la arceria sia aspergit am aygua frega de mot gran fregiditat entro que·l sanc sia congilat e engrossat; e mays cossire en que ha de cauteri o de medicina necessitat.	But if this happens in some place and there is no doctor present or medicine, then work with a pause of the said cautery on the orifice of that vein just as we have said, and understand the great constriction of it until the bleeding stops from the highest part of the wound, and over the artery let it not be removed; and on the artery be sprinkled with cold water of great coolness until the blood is congealed and thickened; and further in what has to do with cauteri or medicine needed.
Comensa la segonda partida.	The second part begins.
De incisio e perforacio e ventozas e de fleubotomia e de plaguas e de lor semblants.	On Incision, Perforation, Ventoses, Phlebotomy, Wounds and their Similarities.
Aquestas son paraulas de Albucazis.	These are the words of Albucasis.
Ja havem dit en le primier capitol tota malautia en la qual cauteri am foc es convenient e am medicina comburent, e las occasios e las causas de lu, e les instrumentz en aquels necessaris am las formas dels cauteris; e he ordenatz les capitols de la subiranetat del cap entro als pes.	We have already said in the first chapter about all diseases in which cautery with fire is suitable and with medicine that burns, and the occasions and causes of it, and the instruments necessary for those things in the forms of cauteries; and we have arranged the chapters of the subordination of the head to the feet.
E yeu procesire en aquest capitol per aquela meteysa guisa, per que sia alliujat lo querent aquo, lahoras sobre aquo que aura demandat.	And you will proceed in this chapter by that same manner, so that it may be helpful to the one seeking it, namely on what he has requested.
E denant que yeu comense aquo, cove, fils, que aprenguatz que en aquest capitol es per terror aquo que es en le capitol primier de cauterizacio.	And before you begin this, it is necessary, sons, that you learn that in this chapter it is about terror, which is in the first chapter of cauterization.
E per aquo que cove que sia en lu gran cautela, quar en la operacio la qual es en aquest capitol motas veguadas catz evacuacio la qual es am sanc am le qual esta la vida deves la aspersio de la vena o incisio sobre l’apostema o apercio de exsitura o puracio de la plagua o extraccio de sageta o incizio de peyra e a lor semblantz.	And therefore it is necessary that there be great caution, because in the operation which is in this chapter, many times evacuation occurs, which is with blood, and to which life belongs, and so the sprinkling of the vein or incision on the apostema or warning of existence or purification of the wound or extraction of splinter or incision of peyra and their similar things.
E de totz aquels so acompanhatz temor e tremor e en le mas de lor catz la mort.	And among all those, there is accompanied fear and trembling, and in most of them death.
E yeu amonesti vos que sobre vos no caia aquo en le qual es esitacio, quar alcunas veguadas cazo deves vos manieyras de homes am manieyras motas de malautias.	And you are warned that this should not fall on you, because sometimes the case requires the methods of men with many diseases.
E de lor es alcu que s’irays am la sua malautia e es leugiera deves lu la mort, e aysso per la vehemensia de aquo que troba de sa malautia, e per longuesa de la malautia de lu, e am la malautia es paor la qual significa mort.	And some of them flee from their disease and it is light for them to die, and thus because of the vehemence of this that they find in their disease, and due to the length of their illness, and with the disease there is fear which means death.
E de aquels es le qual dona a tu son aver e ditta, tu esperant am aquel sanetat, e la sieua malautia es perniciosa.	And one of them is the one who gives you their property and wealth, while you are expecting their health, and their disease is deadly.
E donc no cove que tu consentas en aquel que ve a vos del qual es aquesta manieyra; e la vostra cautela sia major que covesitat e la vostra rapacitat; e no presumatz alcuna causa sobre aquo sino aprop sciencia certa la qual virifica aquo deves vos, e al qual perve successio lausabla.	And therefore it is not necessary that you consent to him who comes to you with this manner; and your caution should be greater than covetousness and rapacity; and do not assume any cause about this without proper certain science which verifies what you are, and by which you will have a praiseworthy succession.
E usatz en la curacio de totz vostres malautes de pronosticacio e indicacio de lu al qual es salut convertida, quar en aquel es a vos ajutori sobre adquisicio de fama e de memoria, de lausor e de gloria.	And use in the cure of all your diseases prognosis and indication from that which is converted to health, for in that is aid to you on acquisition of fame and memory, praise and glory.
O, filhs, Dieus en vos spire le sieu entendement e no oste a vos direccio e proteccio, quar aquo es en la sua ma.	Oh, sons, God inspires his understanding in you and does not withhold direction and protection from you, for this is in his hand.
E yeu e ordenat aquest capitol distingent per capitols segon que precedit en le capitol de cauteris, de la cura del cap entro als pes, per que sia a vos alleujat aquo que demandatz de aquo e del qual havetz necessitat.	And you have arranged this chapter distinct by chapters according to what preceded in the chapter on cauteries, from the cure of the head to the feet, so that it may be helpful to you in what you request and need.
Capitol primier.	Chapter I.
De la curacio de aygua la qual es contenguda en le cap dels enfantz.	On the Cure of Water which is contained in the Head of Children.
Sapias que aquesta malautia motas veguadas endeve als enfantz deves le enfantament e quan la noyrissa estrenh le cap del enfant ses livitat.	Know that this disease often occurs in children, especially during childbirth, when the midwife tightens the child's head.
E alcunas veguadas endeve per causa amaguada la qual no es saubuda.	And sometimes it occurs due to a hidden cause which is not known.
Mays yeu no vi aquesta malautia sino en les enfantz; e a totz aquels les quals yeu vi se coytec la mort, e per ayssi es a mi vist layssada obra en aquels.	But I have not seen this disease except in children; and all those whom I have seen have been brought to the point of death, and thus it has been shown to me as a work that is left undone in them.
E yeu e vist que un enfant le cap del qual era d’aygua omplit, e·l cap de lu era totjorn ayssi magnificat entro que ceser no podia sobre si meteys per la grandesa del sieu cap, e mays que la humiditat fe aucmentada entro que foc mort.	And I have seen that a child whose head was filled with water overflowed, and the head of him was always thus magnificently swollen to the point where it could not be contained on its own, but rather increased in moisture until it became hot death.
E aquesta humiditat o es agreguada entre la codena e l’os, o es agreguada dejos le os sobre le ciphac.	And this moisture either accumulates between the vertebrae and the bone, or accumulates behind the bone above the spine.
Quar la operacio en aquel si la humiditat es entre la codena e l’os e le apostema es pauc, lahoras cove que tu fendas en le mieg loc del cap am una fissura en la latitut, e sia la longitut de la fissura cays dos notz entro que corra la humiditat, e aquesta es la forma del spatum:	For the operation in that case if the moisture is between the vertebrae and the bone and the apostema is slight, then it is necessary for you to make an incision in the middle of the head with a fissure in the latitude, and the length of the fissure should be two nights so that the moisture may flow, and this is the form of the spatum:
E donc si la humiditat es mays augmentada e l’apostema es major, lahoras son aqui dos fissuras segon aquesta manieyra:	And therefore if the moisture is further increased and the apostema is greater, then there are two incisions in this manner:
E si la humiditat es dejos le os, senhal de lu es que tu vezes la comissuras del cap ubertas de tota partida e l’aygua es spremuda quan tu compremes aquela am la tieua ma a las partidas dedintz e no es aquo a tu amaguat.	And if the moisture is behind the bone, then the sign of it is that you should cut open the commissures of the head from all sides and the water will be squeezed out when you compress that with your hand on the parts inside and it is not hidden from you.
Cove que tu fendas en le mieg loc del cap am tres fissuras segon aquesta manieyra:	It is necessary for you to make an incision in the middle of the head with three incisions in this manner:
e aprop la inscizio extratz ne tota la humiditat; e aprop strenh las fissuras am draps e plumassols; e aprop enbroca aquo de sobre am vi e oli entro al quint dia, e aprop deslia le liament e cura la plagua am tentas e enguentz, e strenh le cap am equalitat; e mange le malaute am vianda secca de pauca humiditat entro que·l membre sia confortat e sanat.	And then apply the incision and extract all the moisture; and then strengthen the incisions with cloths and poultices; and then envelop this in a wrapping of vinegar and oil for five days, and then release the ligament and cure the wound with tentas and enguentz, and strengthen the head with equality; and feed the patient with dry food with little moisture until the member is comforted and healed.
E es autra manieyra de incisio, que consideras hon apar la magnitut del apostema e la colleccio de l’aygua, quar alcunas veguadas es mays en le occipicii, o en la partida denant, o en la destra, o en la sinistra; e donc aten am la incizio on appar le apostema e la replecio de l’aygua, e fen aquo segon que a tu es miels possible.	And there is another way of incision, which you should consider according to the magnitude of the apostema and the collection of water, for sometimes it appears more in the occiput, or in the front part, or on the right side, or on the left side; and therefore attend to the incision where the apostema appears and the replenishment of water, and make it so that it is most suitable for you.
Et observa que no inscindas la arteria e endevengua flueys de sanc e mora le malaute per aquel flux de sanc am evacuacio de humiditat.	And observe that you should not incise the artery and thereby cause bleeding of blood, and let the patient die from that flow of blood with evacuation of moisture.
Capitol .ii.	Chapter II.
De inscisio de las arterias las quals so aprop las aurelhas, apeladas hilasseysse.	On the Incision of the Arteries which are near the Ears, called Hilasseysse.
Capitol segon.	Chapter III.
Quan endeveno ad alcu catars o raumas als huelhs o al pietz, e es antiquat aquo, e no confereys en aquo la curacio de las medicinas, lahoras la deriera curacio en aquest es incizio de aquelas dos arterias.	When it happens to some that they have catarrhs or wounds in the eyes or feet, and this is old-fashioned, and does not conform with the cure of medicines, then the final cure in this case is incision of those two arteries.
E donc cove quan tu vols inscidir aquelas que le malaute raza lo sieu cap, e aprop fregua le loc am drap aspre per so que aparan las arcerias, e aprop sia strengut le col del malaute am alcu drap; e aprop considera on polsa la vena; e les locs de quascuna sobre les locs les quals so aprop las aurelhas depremutz, e tant se occultan sino en alcus homes.	And therefore it is necessary when you want to incise those that the patient's head swells, and then gently rub the location with a rough cloth so that the arteries appear, and then strengthen the neck of the patient with some cloth; and then consider where the vein pulsates; and the locations of each over the locations which are near the ears, repressed, and only in some men.
E aprop senha sobre la arceria am tenta, e aprop inscideys quascuna am le spatum de quascuna partida agut am inscizio pervenient entro al os, e sia aquo per la latitut del cap.	And then sign on the artery with a tentacle, and then incise each one with the spatula of each side approaching to the bone, and be it so for the latitude of the head.
E si vols, entromet le spatum dejos la arteria e trenqua aquala a las inciden a las partidas desus.	And if you wish, enter the spatula below the artery and cut it at the incisions on each side.
E sia la longitut de la inscizio cays dos ditz ajustatz, quar quan alcuna vena es inscizida le sanc es eyssit am egressio pulsatil, le qual saut deforo per saut frequent.	And be the length of the incision about two inches adjusted, for when some vein is incised, the blood flows out with pulsatile egression, which jumps forth frequently.
Mays si la arceria no apareys al cintiment, lahoras cove que tu mesures de la aurelha la quantitat del spazi de tres ditz, e aprop senha am tenta, e fen entro al os.	But if the artery does not appear at the incision, then it is necessary for you to measure from the ear the quantity of space of three fingers, and then sign with a tentacle, and enter into the bone.
E aquo que cove getar del sanc es quantitat de vi unc., e fort leu ne geta de lu mays o mens, e tot aquo es segon la quantitat la qual appareys de la vertut del malaute e de la replecio de la arceria de lu.	And as much blood as is needed to be gotten is one vessel's worth of blood. and not too little or too much is gotten from the patient, and all this is according to the quantity which appears of the virtue of the disease and the replenishment of the artery in him.
E aprop considera la plagua, e donc si reman sobre le os alcuna causa del ciphac, lahoras inscindys aquo per so que no endevengua apostema caut.	And then consider the wound, and therefore if some cause of the spine remains on the bone, then incise this so that it does not develop into a painful apostema.
E aprop strenh la plagua am plumassols e am liamentz de drap de li, e aprop cura aquela am enguentz entro que sia sanat.	And then strengthen the wound with poultices and ligatures of linen cloth, and then cure it with ointments until it is healed.
Capitol .iii.	Chapter III.
De extraccio de las arcerias las quals so en las templas.	On the Extraction of the Arteries which are in the Temples.
Quan ad alcu accideys emigranea antiqua o catertz agutz, per humiditatz agrimonials e per qualiditat en les lacertz des templas, o sodo antiqua vehement e semblantz ad aquels, e es medicat am las manieyras de curacio de medicina e aquo no comfereys, lahoras nos hem sproatz en aquestas malautias extraccio de las arcerias en les templas, o cauterizacio de aquelas ayssi cum havem mostrat.	When to some it happens that ancient emigration or sharp catarrh occurs, due to humid and grueling conditions in the temples, or old-fashioned violent symptoms similar to those, and is medicated with the methods of medicinal cure, but this does not conform, then we have resolved to extract the arteries in the temples, or cauterize them thus as we have shown.
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	And the method of the operation and extraction is that the patient shows the arteries which are in the temples; and understand the apparent artery in the temple because it is shown to you by its pulsation, and it is hidden from most men except for a few due to the vehemence of the friction.
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	And if it is hidden from you, then the neck of the patient should be strengthened with some cloth; and then gently rub the location with a rough cloth or evaporate the location with warm water until the artery becomes manifest to you.
E lahoras tu pren le spatum del qual aquesta es la forma:	And then take the spatula of which this is the form:
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	And then gently scrape the vertebra with that spatula with ease until you reach the artery; and then get into it and extract that part above all, and extract it from the vertebra and uncover those tunics which are below it, on all sides.
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	But if the artery is fine, then wrap it around with the extremity of the onyx, and then incise one part of that according to the quantity by which its extremities are lengthened and contracted, and do not allow a flow of blood, for if they are not incised, the blood will not rise at all.
E aprop evacua del sanc de vi unc. entro a tres.	And then evacuate one vessel's worth of blood. into three.
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	And if the artery is large, then it is necessary for you to ligate that in two places with a double knot of thread or with cords as long, and do not allow putrefaction before the consolidation of the wound and prevent blood flow.
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	And then incise the superfluity which is between two ligatures; and do this at that hour or at another hour.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	And if you wish, cauterize that with a cauterizer into the bone and with a cauterizer in the shape of a knife, so that the extremities are incised, and remain in its place as an intermediate work.
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	And it is better work if the patient has fever or is of scalded complexion; for cauterization is one of those causes that helps to finish off the humidities, and therefore it is better in judgment.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	And it is necessary to carefully extract the arteries that fill up the old cut, and let them be placed on the polyps decently made, and then let it be cured with dry medicines making the flesh appear and with some ointment until it is healed.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	And if while you are working on another occasion there occurs a flow of blood from the artery, then immediately grasp to stop that blood, or with cauterization, or by filling up the old cut, and strengthen your hand until the blood is stopped.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	And if any of these causes is not present to you, then pause your hand on the location until the blood is congealed, and envelop the location with warm water of fervent heat so that the sharpness may rest, and be strengthened according to what is necessary.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	And what is easier in the extraction of the artery is that you cauterize the vein with this cauterizer having two blades, because you have marked the two locations with a tentacle, and then lay each one aside, entirely extinguished, until they reach the bone and incise the vein in two places, so that what is between its extremities may be lengthened, for it is not completely consolidated by this cauterization.
E aquesta es la forma del cauteri:	And this is the form of the cauterizer:
E sia la acuitat dels dos cotels esemps.	And the sharpness of the two blades is an example.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	But if it has less sharpness than two blades, then it is better, for if it is as sharp as two blades near each other, and does not cut the flesh with speed.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Therefore, since in those there is some thickness, it is held that the heat of the fire is kept in them and the flesh is cut away slightly.
E aquesta obra es milhor en tota obra e pus leugiera.	And this work is better than all other works and easier to accomplish.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	And the space between the two blades should be equal to the thickness of the said digit.
Capitol quart.	Chapter IV.
De la cura de cors de lagremas agudas e aciduas dels huels.	On the Cure of Corrupted Eyes with Sharp and Acid Tears from the Ears.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When there are acid tears, and the eyes of those veins which are above the forehead of the head protrude forth, and do not conform to any cause of medicinal cure, and the face of the patient is already inflamed and feels in its own forehead a wandering like that of ants, and the ears of that person are exhausted, moistened and worn out as if their skin was condensed, and the eyelids are scarred by the sharpness of the tears, those ancient agrumists mixed in the cure of these with this operation, and called it "spassa" curation.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And it is that you command the patient to tear off the skin which is on his forehead, and then incise three fissures equally distant along the length of the forehead.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	And if the length of the fissure is two fingers: one fissure should be equally distant from the length of the nose in the middle of the forehead, and the second according to the length of a little finger movement of the eyelids which are in the lacrimal, and the third on the other side.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	And beware of the incision of the arteries which are in two sides, and stretch your hand from the continuation of both jawbones.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	And if the space between each incision is equal to three fingers adjusted.
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a piece of sponge apparatus or dry cloths, moistened and saturated with which the blood is absorbed.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	And then insert the spatula of two sharp extremities, of which this is the form of the incision:
que es de la partida des templas entro a la segonda inscizio.	which is from the side of the temples to the second incision.
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	Scrape away with that all the cord which is between two incisions on the spine which is above the bone, and then make this move of the incision to migrate into the second incision.
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	And then place this spatula aside and insert another instrument called "cutellar", sharp on one side and not sharp on the other.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	And pause the blade of that cutellar so as to cut through the flesh attached to the cord, and the blade of it cuts down into the bone, and push that forward until it reaches the middle fissure, and cut away with it all the vessels that descend from the head to the ears.
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	But continue the incision up to where the cord appears, and then make this move in the middle fissure into another fissure.
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	And since there is a quantity of blood that has coagulated, express the places of the pessaries where the blood has been collected.
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	And then pause in each fissure the old cut and pause over those polyps begotten in wine and oil and vinegar, and be careful that it does not develop into a painful apostema.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	And on the third day release the ligature and administer great enthusiasm of warm water or tub, and then cure it with ointment made from basilikon oil and other things until the wounds are healed.
Capitol .v.	Chapter V.
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	On the Cure of Lagrams by Catarrh and to the Ears, which descend from the parts behind the head.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	When there occurs in some patient sharp and continuous catarrh, and the ears of that person are exhausted and small, and already the regard of them is debilitated, and the eyelids are ulcerated and their skin peeled away, and in the forehead of the head there is acute pain leading to exhaustion, then it is necessary to understand by these accidents that the matters and catarrh do not come from only a few veins but from many parts behind proceeding.
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	And the best cure for these is this: that you command the patient to scratch his forehead, and then incise a fissure in the middle of the forehead, a little bit for the latitude (and start with the fissure of the left temple into the right temple; and be the incision into the bone; and stretch your hand over the eyelids of the temples which are above the mastigatio), until the bone is uncovered.
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	Absorb all the blood with sponge or dry cloth and then fill it between the two lips of the fissure with old cut or dry cloths.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	And then strengthen above on those polyps begotten in wine and oil, so that it does not develop into a painful apostema.
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	And when you have removed that and see that the apostema has decreased, then it is necessary to rub the bone until it begins to produce flesh, and then cure it with an emollient regimen which makes the flesh appear, just as if you take two parts of wheat flour and four parts of colophony and mix them together, and from it make a poultice and administer it in these wounds for the nativity of flesh.
Capitol .vi.	Chapter VI.
De la cura de aquo que catz en las aurelhas.	On the Cure of that which catarrhous in the Ears.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	All causes that occur in the ears are one of four species, because either it is mineral or something similar to mineral, like iron and copper, or it is from plants, such as cheese or fava, or it is a fluid cause, like water and vinegar and their semblances, or some animal.
