Ayssi comensan las paraulas de Albucasim .	The words of Albucaisim begin here.
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	But if you want the perforation of it with a cautery, then ignite the cautery whose form is this: and place that in the middle location of the swelling so that it penetrates to the cord.
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	And if the cautery in that location is more behind, so that the body of the arm is alleviated; and then cure that until it is healed.
Capitol .lii.	Chapter 52.
De cauterizacio de corrodent.	Chapter 52: On Cauterization of Consumption.
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	Consumption is a corrupting wandering in the member, which corrupts it like fire consuming dry wood.
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	Therefore, if you find that consumption in a location which suffers from cautery with fire, then ignite many small point-like cauteries and great ones according to what is suitable in that location where the consumption is.
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	And then cauterize that from all sides until you eradicate all corrosion and there remains no cause of it.
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	And then loosen that for three days, and apply oil mixed with turpentine to the locations that were cauterized, so that all scars are eradicated and all corruption.
E aprop cura aquel am enguentz carn engendrantz.	And then cure that with meat-generating remedies.
Mays si aprop tres dias vezes que la carn nasca sana en la qual no es corrupcio, bo es; mays sino, lahoras itera le cauteri sobre aquo que es romas en les locs corrumputz.	But if after three days the flesh grows healthy and there is no corruption in which case it is good; but if not, then reapply the cautery to what remains in the corrupted locations.
E corrodent es medicat alcunas vetz am medicina aguda, quar aquela es meza en loc de cauteri.	And consumption is medicated with acute medicine for some days, because that is a means to locate the cautery.
Mays empero cauteri am foc es de pus leugier juvament.	But still, a cautery with fire is of greater benefit.
E yeu ja e dit la curacio de lu am medicina aguda en la divisio, e donc pren aquela quan de lu auras endegencia.	And I have already said the cure for it with acute medicine in the division, and therefore take that when you have need of it.
Capitol .liii.	Chapter 53.
De cauterizacio de claus e dels autres semblants.	Chapter 53: On Cauterization of Warts and other similar things.
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	Many times it happens that there is a lingering part of the foot disease which is called a wart, and it is a big, festering cause that spoils the foot; and cauterization in those places is done in two ways, namely by fire cautery and water-boiling cautery.
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	But fire cautery is when you ignite the concave cautery similar to a vulture's claw, which is made of iron according to the quantity that contains the wart on all sides, and has subtle edges.
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	And then pause that ignited cautery over the wart, and then revolve your hand with the cautery in the circuit of the wart until the cautery reaches the depth of the wart.
E leyssa aquel per tres dias entro que comense getar brac.	And then loosen that for three days until it begins to fall off.
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	And then apply that with wild marjoram leaves mixed with salt, and loosen the plaster over it for one night, so that it is eradicated from its roots.
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	And then cure that location with meat-generating remedies until it is healed.
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	And if it does not convert, and many times it happens on the surface of the body, mostly in the arms and legs, then you must administer cauterization with water, and it is that you take a quill or iron or vulture's claw, and place it over the wart; and then pour into the quill a small amount of boiling water, and hold your hand, and you revolve it with compression from all sides, and press the edge of the quill into the root of the wart, and let the hot water flow slowly to the depth of the cavity; and wait for the patient a little while after the injection of the hot water for one hour, and then remove that, so that the wart with its roots is eradicated.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	And thus do it to those, and then apply the other remedy until you reach all of them that are in their place on the body.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	And then cure those with pus, which is eradicated from the roots of the warts, with remedies that promote flesh growth.
Capitol .liiii.	Chapter 54.
De cauterizacio de tremor.	Chapter 54: On Cauterization of Trembling.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	When it happens that someone has a trembling due to fracture of the nerves or due to fever caused by fright, or for another similar reason, then you should cauterize that with four cauteries or five on the vertebrae of the back, between each vertebra with one cautery; and also on the legs of him, and on his stomach, with an olive-like cautery.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	And the trembling of him subsides and hastens the recovery from the frightful disease.
Capitol .lv.	Chapter 55.
De cauterizacio de albati accidentz al cors.	Chapter 55: On Cauterization of Accidental Blow to the Body.
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	When in the body are accidentally struck blows, and pustules are formed which are made of gross corrupted matter; then it is necessary at first to appear as if prepared, that a subtle cautery be applied over the entire head of the fistula with a myrtle stick whose extremity has been extended with fire; or with roots of long-estiolated herbs; or with a lentecular cautery.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	And sometimes it is necessary to cauterize the beginning of its expulsion according to this manner; and do not believe, and the excess causing those is broken up, and they are cured from those.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	But it is necessary that this be done properly with evacuation by phlebotomy.
Capitol lvi.	Chapter 56.
De cauterizacio de fluex de sanc accident per incisio de arceria.	Chapter 56: On Cauterization of Blood Flowing from an Accidental Cut by a Sword.
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	Many times it happens that blood flows from a wound caused by an accidental cut by a sword, or from the incision of apostemes or cauteries on a member, and then similar things happen, and it is difficult to stop that bleeding.
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	Therefore, when it happens that blood flows excessively, then you must quickly apply your hand to the wound of the sword, and place on top of it what I have said earlier, and strengthen that many times until the bleeding is stopped, and there will be no further flow.
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	And then place the olive-like cauteries in the fire, small and great, in many numbers, and blow on them until they are thoroughly ignited.
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	And then take from those one small or large according to the location and wound in which the artery is broken, on that vein more quickly than you have removed what I have said earlier, and apply the cautery until it is completely absorbed and restrained that blood.
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	And if the blood is expelled from the orifice of the artery when you remove what I have said and extinguish the cautery, then take another cautery carefully from the ones that are prepared in the fire, and thus do not cease to do this repeatedly until the bleeding is restrained.
E guarda te que no comburas le nervi que aqui es, e que vengua sobre le malaute autra malicia.	And be careful not to burn the nerves that are here, and that you bring another misfortune upon the patient.
E sapias que quan de l’arteria flueys sanc, lahoras no es possible en aquels restrenge la sanc, e majorment quan l’arteria es gran, si no am una de quatre manieyras: o am cauteri ayssi quo dit havem, o am extraccio quan no es extrayta, quar quan es extrayta las extremitatz de lu miels son comburidas e es restreyt le sanc, o que sia liat am fiel o am liament per fort strectura, o que sian pausadas sobre lu medicinas de las quals la vertut es restringir la sanc; e sian strengudas am pulvinar am costriccio decent.	And know that when blood flows from an artery, it is not possible to restrain the bleeding in those circumstances, and especially when the artery is large, unless by one of four methods: or by the cautery as we have said earlier, or by extraction which is not extracted, because when it is extracted, the ends of it are burned and the bleeding is restrained, or that it be tied with a thread or with a ligament through strong constriction, or that medicines be applied to it, whose virtue is to restrain the bleeding; and they should be strengthened by a pillow or by a decent constraint.
Mays aquel que aministra restriccio decent de lu am liament e am strictura am draps o per posicio de causas comburentz e de semblantz, no comfereys sino tart.	But the one who administers a decent restraint on him with a ligament and strong constriction by drapes or through position of concurring causes and similar things does not respond quickly.
Mays si aquo endeve ad alcu e no sia le metge present ni medicina, lahoras obre am pausament del dit indic sobre le orrifici de aquela vena ayssi cum havem dit, e entenda a la gran costreccio de lu entro que le sanc sia ostat de la sobirana partida de la plagua, e sobre la arceria le dit no sia remaugut; e de sobre la arceria sia aspergit am aygua frega de mot gran fregiditat entro que·l sanc sia congilat e engrossat; e mays cossire en que ha de cauteri o de medicina necessitat.	But if it happens to someone and there is no doctor present or medicine, then do the following: work slowly with the above-mentioned cautery on the orifice of that vein as we have said earlier; and understand that the great constriction of him is necessary until the bleeding is stopped from the superior part of the wound, and on the sword-cut it has not been removed; and above the sword-cut be sprinkled with boiling water of great coldness until the blood is congealed and thickened; and also consider in what kind of cauterization or medicine is needed.
Comensa la segonda partida.	Starts the second part.
De incisio e perforacio e ventozas e de fleubotomia e de plaguas e de lor semblants.	On Incision, Perforation, and Wounds, and their likenesses, including Phlebotomy and Wounds.
Aquestas son paraulas de Albucazis.	These are the words of Albucasis.
Ja havem dit en le primier capitol tota malautia en la qual cauteri am foc es convenient e am medicina comburent, e las occasios e las causas de lu, e les instrumentz en aquels necessaris am las formas dels cauteris; e he ordenatz les capitols de la subiranetat del cap entro als pes.	We have already said in the first chapter all diseases in which a cautery with fire is suitable and with medicine that concurs, and their occasions and causes, and the instruments necessary for those things, and we have arranged the chapters of this book from head to foot.
E yeu procesire en aquest capitol per aquela meteysa guisa, per que sia alliujat lo querent aquo, lahoras sobre aquo que aura demandat.	And you will proceed in this chapter by that method, so that what is sought after may be illuminated to him who asks about it, and thus over what has been asked.
E denant que yeu comense aquo, cove, fils, que aprenguatz que en aquest capitol es per terror aquo que es en le capitol primier de cauterizacio.	And before you begin this, it is necessary, dear son, that you learn that in this chapter, it is about the terrors of which we spoke in the first chapter on cauterization.
E per aquo que cove que sia en lu gran cautela, quar en la operacio la qual es en aquest capitol motas veguadas catz evacuacio la qual es am sanc am le qual esta la vida deves la aspersio de la vena o incisio sobre l’apostema o apercio de exsitura o puracio de la plagua o extraccio de sageta o incizio de peyra e a lor semblantz.	And therefore it is necessary that there be great caution in him, for in the operation which is in this chapter, many times evacuation occurs which is with blood and on which life depends; and so one must be cautious with the sprinkling of the vein or incision over the apostema or warning of exit or purgation of the wound or extraction of a sagitta or incision of a pyre, and their likenesses.
E de totz aquels so acompanhatz temor e tremor e en le mas de lor catz la mort.	And all those are accompanied by fear and trembling, and in most cases death.
E yeu amonesti vos que sobre vos no caia aquo en le qual es esitacio, quar alcunas veguadas cazo deves vos manieyras de homes am manieyras motas de malautias.	And I warn you that on you should not fall this thing in which there is occasion, for sometimes the case demands of men many manners of diseases.
E de lor es alcu que s’irays am la sua malautia e es leugiera deves lu la mort, e aysso per la vehemensia de aquo que troba de sa malautia, e per longuesa de la malautia de lu, e am la malautia es paor la qual significa mort.	And from them some go away with their disease and it is soon for him to die, and so through the intensity of what he finds in his disease, and through the length of his disease, and in the disease there is fear which means death.
E de aquels es le qual dona a tu son aver e ditta, tu esperant am aquel sanetat, e la sieua malautia es perniciosa.	And from those some receive from their son's heritage and gift, you waiting for him to be healed, and his disease is pernicious.
E donc no cove que tu consentas en aquel que ve a vos del qual es aquesta manieyra; e la vostra cautela sia major que covesitat e la vostra rapacitat; e no presumatz alcuna causa sobre aquo sino aprop sciencia certa la qual virifica aquo deves vos, e al qual perve successio lausabla.	And therefore it is not necessary that you consent to what comes to you from which this manner; and your caution should be greater than cove-ity and rapacity; and do not presume any cause over what comes to you, but rather aprop science certain which verifies what comes to you, and by which success succeeds.
E usatz en la curacio de totz vostres malautes de pronosticacio e indicacio de lu al qual es salut convertida, quar en aquel es a vos ajutori sobre adquisicio de fama e de memoria, de lausor e de gloria.	And use in the cure of all your diseases prophesying and indicating to you that which is salvation converted, for in that is aid to you over the acquisition of fame and memory, of praise and glory.
O, filhs, Dieus en vos spire le sieu entendement e no oste a vos direccio e proteccio, quar aquo es en la sua ma.	Oh, sons, God inspires His understanding in you, and does not withhold direction and protection from you, for this is in His hand.
E yeu e ordenat aquest capitol distingent per capitols segon que precedit en le capitol de cauteris, de la cura del cap entro als pes, per que sia a vos alleujat aquo que demandatz de aquo e del qual havetz necessitat.	And I have ordered this chapter to be distinguished by chapters according to what preceded in the chapter on cauteries, from head to foot, so that it may be illuminated to you what you ask about and of which you have need.
Capitol primier.	Chapter 1.
De la curacio de aygua la qual es contenguda en le cap dels enfantz.	On the Cure of Water that is contained in the Head of Children.
Sapias que aquesta malautia motas veguadas endeve als enfantz deves le enfantament e quan la noyrissa estrenh le cap del enfant ses livitat.	Know that this disease often occurs in children during childbirth and when the midwife tightens the child's head.
E alcunas veguadas endeve per causa amaguada la qual no es saubuda.	And sometimes it occurs due to a hidden cause which is unknown.
Mays yeu no vi aquesta malautia sino en les enfantz; e a totz aquels les quals yeu vi se coytec la mort, e per ayssi es a mi vist layssada obra en aquels.	But I have never seen this disease except in children; and to all those whom I have seen it has been accompanied by death, and so it is my work left undone in them.
E yeu e vist que un enfant le cap del qual era d’aygua omplit, e·l cap de lu era totjorn ayssi magnificat entro que ceser no podia sobre si meteys per la grandesa del sieu cap, e mays que la humiditat fe aucmentada entro que foc mort.	And I have seen that a child whose head was filled with water overflowed, and his head was always magnificently expanded so that it could not cease to pour forth, and more than the humidity was increased until a mortal fire.
E aquesta humiditat o es agreguada entre la codena e l’os, o es agreguada dejos le os sobre le ciphac.	And this moisture either accumulates between the skull and bone, or accumulates beneath the bone on the cranium.
Quar la operacio en aquel si la humiditat es entre la codena e l’os e le apostema es pauc, lahoras cove que tu fendas en le mieg loc del cap am una fissura en la latitut, e sia la longitut de la fissura cays dos notz entro que corra la humiditat, e aquesta es la forma del spatum:	So the operation in that case if the moisture is between the skull and bone and the apostema is small, then it is necessary to cut in the middle of the head with an incision in the latitude, and the length of the incision should be two nights so that the moisture flows out, and this is the form of the spatula:
E donc si la humiditat es mays augmentada e l’apostema es major, lahoras son aqui dos fissuras segon aquesta manieyra:	And therefore if the moisture is more increased and the apostema is greater, then there are two incisions according to this method:
E si la humiditat es dejos le os, senhal de lu es que tu vezes la comissuras del cap ubertas de tota partida e l’aygua es spremuda quan tu compremes aquela am la tieua ma a las partidas dedintz e no es aquo a tu amaguat.	And if the moisture is beneath the bone, the sign of it is that you must cut the commissures of the head on all sides and the water is squeezed out when you compress that with your hand into the partitions inside and not to be hidden from you.
Cove que tu fendas en le mieg loc del cap am tres fissuras segon aquesta manieyra:	It is necessary for you to cut in the middle of the head with three incisions according to this method:
e aprop la inscizio extratz ne tota la humiditat; e aprop strenh las fissuras am draps e plumassols; e aprop enbroca aquo de sobre am vi e oli entro al quint dia, e aprop deslia le liament e cura la plagua am tentas e enguentz, e strenh le cap am equalitat; e mange le malaute am vianda secca de pauca humiditat entro que·l membre sia confortat e sanat.	And carefully extract all the moisture from the incision; and carefully strengthen the incisions with cloths and poultices; and carefully bandage it on the fifth day, and carefully remove the ligature and care for the wound with tents and poultices, and strengthen the head with equality; and feed the patient with dry food of little moisture until the member is comforted and healed.
E es autra manieyra de incisio, que consideras hon apar la magnitut del apostema e la colleccio de l’aygua, quar alcunas veguadas es mays en le occipicii, o en la partida denant, o en la destra, o en la sinistra; e donc aten am la incizio on appar le apostema e la replecio de l’aygua, e fen aquo segon que a tu es miels possible.	And there is another method of incision, which considers how the magnitude of the apostema and the collection of water appear, for sometimes it is more in the occiput, or in the anterior part, or in the right, or in the left; and therefore attend to the incision where the apostema appears and the accumulation of water, and do so as best you can.
Et observa que no inscindas la arteria e endevengua flueys de sanc e mora le malaute per aquel flux de sanc am evacuacio de humiditat.	And observe that you do not cut the artery and thus the blood flows and the patient dies from that flow of blood with evacuation of moisture.
Capitol .ii.	Chapter II.
De inscisio de las arterias las quals so aprop las aurelhas, apeladas hilasseysse.	On the Incision of the Arteries which are near the Ears, called Hilasseyes.
Capitol segon.	Chapter 2nd.
Quan endeveno ad alcu catars o raumas als huelhs o al pietz, e es antiquat aquo, e no confereys en aquo la curacio de las medicinas, lahoras la deriera curacio en aquest es incizio de aquelas dos arterias.	When the case arises with some catarrh or rheums in the eyes or feet, and it is ancient, and does not respond to the cure of medicines, then the final cure in this case is the incision of those two arteries.
E donc cove quan tu vols inscidir aquelas que le malaute raza lo sieu cap, e aprop fregua le loc am drap aspre per so que aparan las arcerias, e aprop sia strengut le col del malaute am alcu drap; e aprop considera on polsa la vena; e les locs de quascuna sobre les locs les quals so aprop las aurelhas depremutz, e tant se occultan sino en alcus homes.	And therefore it is necessary when you wish to incise those which the patient's head becomes inflamed, and carefully palpate the location with a rough cloth so that the arteries appear, and carefully strengthen the neck of the patient with some cloth; and carefully consider where the vein pulsates; and the places of each above the places which are near the ears depressed, and they will be hidden from almost no one.
E aprop senha sobre la arceria am tenta, e aprop inscideys quascuna am le spatum de quascuna partida agut am inscizio pervenient entro al os, e sia aquo per la latitut del cap.	And carefully cut on the artery with a tent, and carefully incise each one with a spatula from each side, sharp as if to penetrate into the bone, and so that it is in the latitude of the head.
E si vols, entromet le spatum dejos la arteria e trenqua aquala a las inciden a las partidas desus.	And if you want, insert the spatula below the artery and cut it at the same spot where the incisions are made on the sides.
E sia la longitut de la inscizio cays dos ditz ajustatz, quar quan alcuna vena es inscizida le sanc es eyssit am egressio pulsatil, le qual saut deforo per saut frequent.	And the length of the incision should be about two fingers' breadth, because when any vein is cut it begins to bleed with a pulsating egression, which jumps out frequently.
Mays si la arceria no apareys al cintiment, lahoras cove que tu mesures de la aurelha la quantitat del spazi de tres ditz, e aprop senha am tenta, e fen entro al os.	But if the artery does not appear at the incision, then it is necessary that you measure from the ear the quantity of space equal to three fingers' breadth, and carefully insert with a tent, and cut into the bone.
E aquo que cove getar del sanc es quantitat de vi unc., e fort leu ne geta de lu mays o mens, e tot aquo es segon la quantitat la qual appareys de la vertut del malaute e de la replecio de la arceria de lu.	And this amount of blood that is necessary to be taken is about one ounce of wine. and not too little or too much, and all this is according to the quantity which appears of the virtue of the disease and the accumulation of the artery in him.
E aprop considera la plagua, e donc si reman sobre le os alcuna causa del ciphac, lahoras inscindys aquo per so que no endevengua apostema caut.	And carefully consider the wound, and therefore if there remains on the bone any cause of the skull, then incise this so that no apostema appears.
E aprop strenh la plagua am plumassols e am liamentz de drap de li, e aprop cura aquela am enguentz entro que sia sanat.	And carefully strengthen the wound with poultices and bandages of linen cloth, and carefully cure that with compresses until it is healed.
Capitol .iii.	Chapter III.
De extraccio de las arcerias las quals so en las templas.	On the Extraction of the Arteries which are in the Temples.
Quan ad alcu accideys emigranea antiqua o catertz agutz, per humiditatz agrimonials e per qualiditat en les lacertz des templas, o sodo antiqua vehement e semblantz ad aquels, e es medicat am las manieyras de curacio de medicina e aquo no comfereys, lahoras nos hem sproatz en aquestas malautias extraccio de las arcerias en les templas, o cauterizacio de aquelas ayssi cum havem mostrat.	When an old emigration or catarrh occurs in the temples, due to humidities and qualities of the lacertae, or an old violent and similar condition to those, and it is medicated by the methods of cure with medicine, but does not respond, then we have resolved on these diseases to extract the arteries in the temples, or cauterize them as we have shown.
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	And the method of the operation and extraction is that the patient scratches the skin where they are in the temples; and understand that the artery appears in the temple because it is shown to you by its pulsation, and is hidden from almost no one except for a few individuals due to the intensity of the pulse.
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	And if it is hidden from you, then the neck of the patient should be strengthened with some cloth; and carefully palpate the location with a rough cloth or evaporate the location with warm water until the artery appears to you in its full manifestation.
E lahoras tu pren le spatum del qual aquesta es la forma:	And then take the spatula of which this is the form:
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	And then carefully score the skull with that spatula, making it easy for you to reach the artery; and carefully cut into it on one side and extract that from the upper parts until you extract that from the skull and discover those tunics which are below it, from all sides.
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	But if the artery is slender, then carefully envelop it with the extremity of the oncus, and cut into that one side according to the quantity by which the extremities of it are lengthened and contracted, and do not let there be a flow of blood, for if they are not incised, the blood will not rise at all.
E aprop evacua del sanc de vi unc. entro a tres.	And carefully evacuate about one ounce of blood. within three.
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	And if the artery is large, then carefully divide it into two parts with a double fold of caede or with strings to a length, and do not allow the putrefaction to occur before the consolidation of the wound and the flow of blood.
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	And carefully cut away the excess which is between two bandages; and do this at that hour or approximately another hour.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	And if you wish, cauterize that with a cauterizer into the bone with a cutlery-like cauterizer until the extremities of it are incised and remain in the location of that middle work.
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	And it is better work if the patient has fever or is of scorched complexion; for cauterization is one of those causes that help to dry up the humidity, and therefore it is better in this case.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	And it is necessary to carefully extract the arteries that fill the old wound, and be paused over the powder decently made, and be cured with dry medicines that make the flesh appear and with some other remedies until it is healed.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	And if while you are working on another occasion the blood flow from the artery occurs again, then you should stop that blood flow, or with a cauterizer, or by filling the old wound, and strengthen your hand until the blood is stopped.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	And if any of these causes are not present to you, then pause your hand over the location until the blood is congealed, and envelop the location with warm water of vehement coldness until the sharpness subsides, and be strengthened according to what is necessary.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	And what is easier in the extraction of the artery is that you cauterize the vein with this cauterizer having two coats, since you have marked the two locations with a tent, and deposit each one, hot and burning, until they reach the bone and cut the vein in two places, so that what is between the extremities of it may be lengthened, because they are not completely consolidated by this cauterization.
E aquesta es la forma del cauteri:	And this is the form of the cauterizer:
E sia la acuitat dels dos cotels esemps.	And the sharpness of the two coats is an example.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	But however if there is less sharpness than two coats are better, for if they are as sharp as two coats, near each other, and do not cut the flesh with velocity.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Therefore, when in those there is some thickness, the heat of the fire is held in them and the flesh is cut off gradually.
E aquesta obra es milhor en tota obra e pus leugiera.	And this work is better than all other works and easier.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	And the space which is between two coats is the quantity of the thickness of the said.
Capitol quart.	Chapter IV.
De la cura de cors de lagremas agudas e aciduas dels huels.	On the Cure of Eyes with Sharp and Acid Tears.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When the tears are acid and it is the body of those veins which are above the forehead of the head, and do not respond to any cause of medicine, and the face of the patient becomes reddened and feels a wandering movement as if ants were marching, and the eyes of that person are exhausted, damp, and so dry that their eyelids are condensed, and the eyelids are scalded by the acidity of the tears, the old mixture of herbs in the cure of those from this operation, and name that cure with a spatula.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And it is that you command the patient to scratch the skin which is on his forehead, and carefully incise in the forehead three cuts equally distant according to the length of the forehead.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	And if the length of the cut is two fingers' breadth: one cut should be equally distant from the length of the nose in the middle of the forehead, and the second according to the length of a little movement of the lacertae which are in the lacrimal, and the third on the other side.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	And beware of the incision of the arteries which are in both sides, and stretch your hand from the continuation of both jawbones.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	And if the space of each incision is equal to three fingers' breadth.
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a sponge or cloths which are dry and rough, with which to absorb the blood.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	And carefully insert the spatula of two sharp extremities, the form of which is the incision of it:
que es de la partida des templas entro a la segonda inscizio.	which is from the part of the temples to the second incision.
