Ayssi comensan las paraulas de Albucasim .	Albucasis begins his treatise as follows: 
E es autra manieyra de incisio, que consideras hon apar la magnitut del apostema e la colleccio de l’aygua, quar alcunas veguadas es mays en le occipicii, o en la partida denant, o en la destra, o en la sinistra; e donc aten am la incizio on appar le apostema e la replecio de l’aygua, e fen aquo segon que a tu es miels possible.	There is another method of incision that considers the magnitude of the abscess and the collection of water, as some patients have more in their occipital region, or in front, on the right side, or on the left; therefore, pay attention to where the abscess appears and the accumulation of water, then proceed with the incision accordingly.
Et observa que no inscindas la arteria e endevengua flueys de sanc e mora le malaute per aquel flux de sanc am evacuacio de humiditat.	Certainly! Here is my translation of the provided text into English, line by line:
Capitol .ii.	Capitol .ii.: Here we begin chapter two. 
De inscisio de las arterias las quals so aprop las aurelhas, apeladas hilasseysse.	When it comes to incising the arteries located behind the ears, they are referred to as "hilasseysse.
Capitol segon.	Chapter 2.
Quan endeveno ad alcu catars o raumas als huelhs o al pietz, e es antiquat aquo, e no confereys en aquo la curacio de las medicinas, lahoras la deriera curacio en aquest es incizio de aquelas dos arterias.	When an old cataract or wound on the eyes or feet does not respond to medicinal treatment, the final cure in such cases is the incision of those two arteries.
E donc cove quan tu vols inscidir aquelas que le malaute raza lo sieu cap, e aprop fregua le loc am drap aspre per so que aparan las arcerias, e aprop sia strengut le col del malaute am alcu drap; e aprop considera on polsa la vena; e les locs de quascuna sobre les locs les quals so aprop las aurelhas depremutz, e tant se occultan sino en alcus homes.	And therefore, when you wish to incise those arteries while the patient is shaving their head, rub the area with rough cloth so that the veins appear, then have the patient's neck tightly wrapped in a cloth; consider where the pulse of the vein can be felt; these places, which are above the areas behind the ears, may not always be obvious.
E aprop senha sobre la arceria am tenta, e aprop inscideys quascuna am le spatum de quascuna partida agut am inscizio pervenient entro al os, e sia aquo per la latitut del cap.	Then cover the vein with a cloth and incise each one using a sharp spatula coming from either side until you reach the bone, this will be across the breadth of the head.
E si vols, entromet le spatum dejos la arteria e trenqua aquala a las inciden a las partidas desus.	And if you wish, insert the spatula under the artery and transect it at the incision made above.
E sia la longitut de la inscizio cays dos ditz ajustatz, quar quan alcuna vena es inscizida le sanc es eyssit am egressio pulsatil, le qual saut deforo per saut frequent.	Let the length of the incision be about two fingers in size because when any vein is incised blood is emitted with a pulsating ejection, leaping out with frequent bounds.
Mays si la arceria no apareys al cintiment, lahoras cove que tu mesures de la aurelha la quantitat del spazi de tres ditz, e aprop senha am tenta, e fen entro al os.	Mays si la arceria no apareys al cintiment, lahoras cove que tu mesures de la aurelha la quantitat del spazi de tres ditz, e aprop senha am tenta, e fen entro al os. 
E aquo que cove getar del sanc es quantitat de vi unc., e fort leu ne geta de lu mays o mens, e tot aquo es segon la quantitat la qual appareys de la vertut del malaute e de la replecio de la arceria de lu.	Here is the translated text: 
E aprop considera la plagua, e donc si reman sobre le os alcuna causa del ciphac, lahoras inscindys aquo per so que no endevengua apostema caut.	Under consideration is a plague where some cause of death remains in the bone, then cut away that portion before it turns into an abscess.
E aprop strenh la plagua am plumassols e am liamentz de drap de li, e aprop cura aquela am enguentz entro que sia sanat.	Then strengthen the wound with feathers and soft cloth bandages, and treat it with ointments until it is healed.
Capitol .iii.	Chapter 3.
De extraccio de las arcerias las quals so en las templas.	On the extraction of arrows that are in the temples.
Quan ad alcu accideys emigranea antiqua o catertz agutz, per humiditatz agrimonials e per qualiditat en les lacertz des templas, o sodo antiqua vehement e semblantz ad aquels, e es medicat am las manieyras de curacio de medicina e aquo no comfereys, lahoras nos hem sproatz en aquestas malautias extraccio de las arcerias en les templas, o cauterizacio de aquelas ayssi cum havem mostrat.	When someone experiences an ancient migraine or severe headaches due to moist and windy conditions in the hollows of their temples, or it is an old and similar condition that does not respond to medicinal treatments, we resort to extracting arrows from the temples, or cauterizing them as we have demonstrated.
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	The procedure for the operation and extraction of arrows is as follows: The patient shaves the hair from their temples; then locate the arrowhead, which is visible in the temple area, unless it is obscured by swelling due to the violent impact.
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	If it is obscured from view, then have the patient's neck secured with a piece of cloth; then rub the area with a rough cloth or soak it with warm water until the arrowhead becomes visibly apparent.
E lahoras tu pren le spatum del qual aquesta es la forma:	And then you take the spatula which has this shape:
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	Then you remove the thread with ease until you reach the arrow; then pull it out gently and extract the arrowhead from the upper parts, uncovering it from the layers of clothing underneath.
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	However, if the artery is delicate, you wrap it with the end of the ointment, and then cut off a portion based on the length of its extremities and how contracted they are, ensuring there is no blood flow, as without cutting them properly, the blood will not stop flowing.
E aprop evacua del sanc de vi unc. entro a tres.	Then evacuate some of the patient's blood, about one to three ounces.
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	And if the wound is large, make sure to stitch it closed in two places with strong double thread or cords, and avoid cutting any putrefied flesh before the wound has healed, as this could cause blood flow.
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	Then cut away any superfluous flesh that is between the two bindings, doing so either now or at another time.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	And if you wish, cauterize it with a cautery or use a cautery knife to cauterize the extremities after they have been cut, and this will serve the same purpose.
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	It is better if the patient has a fever or has a warm complexion; because cauterization is one of those remedies that helps to dry out the excess humidity in the body, and therefore it is more beneficial.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	Then it is necessary to extract the arrows that are stuck in the wound and clean the area thoroughly with decently prepared powder; then treat it with dry medicines to promote healing and prevent infection.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	And if while treating the wound there is an unexpected flow of blood from the arrow's entry point, then you should quickly try to stem the bleeding by either using cauterization or packing the area with a cloth; apply pressure with your hand until the bleeding stops.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	And if none of the above methods are available to you, then place your finger on the wound to let the blood clot; rinse the area with very cold water until it numbs and becomes insensitive, and apply pressure as needed.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	The easiest way to extract an arrow is to cauterize the vein with this special two-pronged cautery; mark both sides of the wound with a thread and then place several ignited pieces of wood on top until they come into contact with the bone, burning through it in two places. This will sever the vein between its extremities as they are not fully consolidated yet by the cauterization.
E aquesta es la forma del cauteri:	And this is the shape of the cautery:
E sia la acuitat dels dos cotels esemps.	Both edges should be sharp.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	However, if it has less sharpness than two edges, as it is sharp like two edges close to each part, and does not cut the flesh quickly.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Therefore, in those with some fatness, the heat of the fire is to be held back from them and the flesh should be cut lightly.
E aquesta obra es milhor en tota obra e pus leugiera.	And this work is better than any other and lighter as well.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	The space between the two edges should be equal to the thickness of your finger.
Capitol quart.	It seems that this text is divided into different sections or chapters, as indicated by "Capitol quart" which likely means Chapter 4. Would you like me to continue translating the next section?
De la cura de cors de lagremas agudas e aciduas dels huels.	On the treatment of acute and acidic sores on the heels.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When it is an acidic sore, and the affected area is on those veins that are above the crown of the head outwards, and you find no cause for its cure through medicine, and sometimes the face of the patient turns red and feels as if ants were crawling on their forehead, and the heels themselves become shrunken, moist so much that even their skin becomes noticeable, and the eyelids are scraped by the acidity of the tears, then the old remedy for this operation is now abandoned.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And you command the patient to scratch their hairline, then make three equally spaced incisions in their forehead according to its length.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	If the length of each incision is about two fingers: one incision should be equally distant to the length of the nose in the middle of the forehead; another according to the length of a small move by the corners of the eyes that are near the tear duct, and the third from there on.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	Be careful not to cut the arches that are on both sides, and extend your hand from the continuation of both jaws.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	If the space between each incision is about three fingers wide...
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a piece of sponge equipped with many dry cloths to absorb the blood...
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	Then insert the spatula of double-pointed ends into this, which has the shape of the incision...
que es de la partida des templas entro a la segonda inscizio.	...that goes from one temple to the second incision.
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	Cut out all of the tissue between the two incisions down to the bone with a chisel and then make this incision from the middle one to the second incision.
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	Then place this on the same space and insert another tool into the first incision, it is called a 'cutella', sharp on one side but not on the other.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	Place the edge of this sharp side towards the attached flesh and its other edge between the bone and soft tissue; use it to reach the median sulcus, and with it sever all vessels that descend from the brain to the hips.
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	Let the incision be continued along that which appears of soft tissue, then do this within the median cleft up to another cleft.
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	And since there is an equal quantity of blood flowing, squeeze the places where clotted blood has formed.
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	Then place on each cleft a sufficient amount of old lint, and over these apply some powder moistened with wine and oil or vinegar, ensuring it does not become infected.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	On the third day, remove all bindings and administer a large flush of warm water or decoction, then treat it with some unguent made from rose oil and others until the wounds are healed.
Capitol .v.	Capitol .v. 
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	Of the cure for tears using purgatives and other descending remedies from within the head.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	When someone experiences continuous and sharp purgatives, and the patient's eyes become weak and small, with their eyelids ulcerated and losing hair, accompanied by a severe headache and extreme exhaustion, then one should know that these symptoms indicate that the purgative substances originate from the sensitive veins within the cranial cavity.
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	And the best treatment for such cases is this: instruct the patient to press their forehead, and then make a small incision at the center of the forehead, running laterally from the left temple to the right one (starting from the left temple suture and ending at the right), ensuring it penetrates the bone; extend your hand towards the lateral ligaments of the temples which are involved in mastication. Once the bone is exposed,
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	Dry all the blood with a sponge or a dry cloth, and then fill the space between the two lips of the incision with old cotton wool or linen cloths.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	Then press down on it with powder mixed with vinegar and oil, to prevent the development of an enclosed abscess.
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	Here is my translation of the provided text:
Capitol .vi.	Capitol .vi.: Chapter 6. 
De la cura de aquo que catz en las aurelhas.	From curing what falls into the ears." 
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	Here is my translation of the provided text: 
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	Certainly! Here is my translation of the given sentence: 
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	And then place some pieces of cloth or wool in the ear canal, and gently stretch out the ear flaps (pinna), as these conditions are often forgotten due to such causes.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	And if it is not retracted (i.e., the pinna), then use an instrument called a 'gesti epicicarios' for extraction, which has this form:" [Here, a description or illustration of the instrument would be provided.]
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	If it cannot be extracted with the 'gesti', then proceed to use a thin hook with minimal curvature for extraction.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	And if that fails, make a small metal cannula and insert the tip into the ear canal, sealing around it with wax and softened oil to ensure only the cannula is exposed.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	Then extract it with strong suction (e.g., using your mouth), as such cases have been described earlier.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	But if it is still not extracted, take a bright silver coin or a similar metal object that has been used to capture birds (e.g., with a small amount of fat), place it on the end of a rod, and then wrap this assembly in cloth appropriately.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	And then gently insert [the medicated substance] into the canal of the ear, and remove moisture from the ear.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	And so if none of these causes are forgotten [and considered], then you proceed to cut away that which has become an abscess or spasm.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	The way of cutting away [the abscess or spasm] is to first bleed the patient from the cephalic vein and extract blood according to their virtue, then make that area stop bleeding between your hands, turning the ear toward the parted areas above it; ending with a small slit at the root of the ear below what was pressed by your grasp.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	And if the slit is of lunar shape and reaches bone, then you chisel away that bone once it has turned [black], using appropriate instruments; subsequently sew up the slit quickly, curing it until it heals.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	And if the cause falls in the ear as one of those greasy things that grow and become inflamed, then administer to its cure and extraction; but if it does not obey your efforts at this [extraction], then you take thin soft wax shaped like so:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	And administer to him the excision of that grain which has fallen into the ear.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	And do not do this when you think that it has already been moistened by the vapor of the ear; instead, break it into small pieces and then extract them with your fingernails or with gentle gestures, or through incision as we have said, for its extraction is alleviated.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	Moreover, when water has entered the ear, causing the patient to sneeze at first, fill their ear with some old cotton, and wipe that ear in which there is water; if it is still forgotten, then good; otherwise, take thin sticks of juniper or pine according to the length of your finger, heat them a little over the fire, and the patient should insert one of those into the hole of their ear and jump on one foot from that side and hit with a stone against the stick which is inside the ear.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	Therefore, do not stop this until all the water has been removed.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc i, e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And once the water has been removed in such a way that you take a piece of paper or cloth and place one end inside the ear while extending its other end over the fire until it is burned for the most part.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And place another sponge and do this multiple times until all the water is expelled, then remove that with a cannula as previously mentioned about extracting stones.
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	When extracting a foreign object that has entered through the ear canal, if it is a small object, push it further in and remove it as we mentioned earlier regarding dividing objects; but if it is a large object causing an abscess in the ear, then manage its extraction with twists and turns, and this cause is less severe than other causes leading to ear problems.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	In the extraction of worms born in the ear, when you treat it with what we mentioned earlier in the division and in the treatise on distillations, and if your treatment does not work, then you must observe the ear in the sunlight.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And so, if any cause of the worms appears here, then extract them with subtle twists or turns; but if no cause is apparent, take a cannula and place a narrow end inside while keeping the wide end outside, this being the shape of it:" (likely referring to drawing out the worm)
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	Insert the narrow end into the ear according to the extent that the patient can endure; then apply a strong suction with your mouth and do this multiple times until all the worms are expelled.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	Here is my translation of the provided text: 
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And for your effusion, in which you pour medicinal oils into the ear with this instrument, here is its form:
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	Make it from silver or brass, narrow, with a small hole in the middle, and flat on top.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And it should be as long as what fits in the cavity of the channel that contains it, according to what is necessary.
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	If you wish, take the rod and wrap wax around its end appropriately, then pour oil into the cavity of the implement or juice from some herb, or whatever medicine from these that you want in the channel - which is inside the ear -, and then insert the rod with the wax at its top and squeeze it gently with your hand until the oil is expelled into the cavity and the patient feels the oil within.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	What goes in the ear should be lightly scorched with fire beforehand.
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	Make sure the cause you are dripping into the ear is not too cold, as these ear medicines cannot withstand that.
Capitol .vii.	It seems this text ends with Chapter 7 indicated by "Capitol .vii.". Would you like me to translate any other part of the text?
De curacio de opilacio de aurelhas.	De curacio de opilacio de aurelhas." 
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Here is my translation of the text: 
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And in the one where you have successfully completed the procedure, it is necessary that you place the patient's ear towards the sun and look into it.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And so if you see any swelling present, open it with a thin spatula which has this shape:" (At this point the author may have inserted an illustration.)
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the end of it is small in width, with one side sharp and the other not, and the spatula has two longitudinal edges to avoid causing harm to the ear.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	And if the swelling is due to flesh growing in the ear or its canal, then take some thin scissors and cut it open vigorously until all the flesh is exposed.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	If the swelling is in the rim of the ear, then take a thin and pointed rod and warm it over fire slightly, and then insert this into the canal of the ear.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	And so if you have detected the swelling with something that the patient hears easily due to its weight, apply pressure to it with ease; and be careful not to touch the nerves of the ear.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	Under the ear, place a bandage of the second type with an amount equal to the width of the wound you have covered in Egyptian ointment. Do this for several days until you are sure the wound is healing well or take some cotton and immerse it in water then sprinkle on it finely ground starch and use that; but if you see that your ear has become gangrenous, then dig out the pus and replace with another type of poultice made from cerate oil while gently pressing upon the abscess until it bursts. And finally, cure him so that he is healed.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	If there is bleeding, then quickly soak the dressing or bandage in cold water and place it on the ear; use another cure that will stem the blood flow described in the 'treatise of distillation.'
Capitol .viii.	Chapter 8:
De cura de athezil le qual endeveno a las palpebras.	The cure for the infection that occurs on the eyelids.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	Infections of the eyelids that sometimes become moist and at other times are dry.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	Thus, you should have those infections at the sides of your face or ears and divide them with a spatula into their roots; then place them finely ground on the affected areas.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	But if pain from a blood flux occurs, then you cauterize those areas with a subtle lancet-like cautery.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	And the best cauterization method is when those incisions and punctures are carefully returned to their original position after removing any cause of their occurrence; and when they are cauterized with fire, those roots or causes are burned away and will not return.
Capitol .ix.	It seems you have provided another section from the medieval medical treatise, which I am happy to translate for you: 
Cura de grandeyssa que veno a las palpebras dels huels.	Cure for the great swelling that occurs in the eyelids of children.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	When small specks are found on the eyelids of children due to some cause resembling great strength and hardness, it is therefore called a 'great swelling'.
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	And this is an accumulation of dense moisture above and below the eyelid.
