Ayssi comensan las paraulas de Albucasim .	Here is my translation of your provided text: 
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	And if it is in the tunic of the kidney, as the pain is greatly intensified and often leaves doctors exhausted from treating him.
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	Then have the patient turned onto their side; subsequently mark the site of the abscess with a sign; and then apply the cautery that is shaped like a comb, the form of which was previously described on another page.
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	Cauterize with that same cautery until the entire chain is burnt, until you reach the root, so it does not become sick again.
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	Then treat him for the cure of other abscesses until he is healed.
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	And it is not necessary to use this form of cautery other than the one that his medical studies extend to and whose benefits for multiple diseases he has recognized; although sometimes boldness in experimenting with certain procedures is required, however you must be careful what we do here, as it is better.
Capitol .xxix.	This indicates that the previous text was Chapter 29 of some kind of medical manual or guide.
De cauterizacio de plauresi.	On the cauterization of pleurisy." 
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	Here is the translation of the provided text: 
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	Here is the translation of the provided source sentence: 
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	And you should not grasp the cautery with your hand; instead, use a clamp or forceps.
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	Some ancient doctors would use an iron cautery like a rod and ignite it; they'd place this device between the ribs to reach the abscess, causing its rupture and subsequent healing, as we mentioned in relation to liver abscesses.
Mays en aquesta perforacio am cauteri no es ses temor, quar hu mor tantost ho accideys en le loc fistula a la qual no es sanacio.	There is no fear in this type of cauterization procedure; the concern arises when it leads to accidental injury or occurs at a site where there's already an abnormal opening like a fistula, which can hinder healing.
Capitol .xxx.	Chapter 30.
De la cauterizacio de la melsa.	On the cauterization of the gums.
Quan tu curas la malautia de la melsa am aquo que havem dit de la curacio en la divisio e no confereys la tua curacio, lahoras cauteri en lu es segon tres manieras, las quals totas son dreyturieras, de las quals la una es que fassas tres cauteris o quatre linhan segon la longitut de la melsa segon la figura dels cauteris del fietge, la figura dels quals ha precedit.	When treating gum disease with the methods we've discussed for division and healing, and this treatment doesn't take effect, then perform a cauterization on them in three or four lines according to the length of the gums; these can be done using the same shapes as described previously for liver abscesses.
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	Make each interval between the cauterizations equal to a finger's width or slightly more; use the same method as we described earlier for liver abscesses.
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	And do not press your hand onto the cautery; let the patient lie on his back.
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	There is another way to cauterize, which involves igniting the cautery with two pieces of cloth (or bandages), as we mentioned in the chapter on muscle dislocation, and placing it above the spot where the patient lies on his left side.
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And make your elevation to which you raise the rod according to the length of the body, so that cauterizations are made according to the width of the torso.
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	Then insert the two cloths (or bandages), ignited quickly, into that opening where you have previously inserted the rod from the other side.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	Then withdraw the cautery; thus, four cauterizations have been made.
E si voys, cauteriza am cauteri havent tres vernimentz.	And if you wish to cauterize using a cautery with three cloths (or bandages).
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	Then take care of the cautery after it has been allowed to cool for several days, as this is more comfortable for the patient than the other methods mentioned earlier in the treatment.
Capitol .xxxi.	It seems you provided me with an already-translated text! Would you like me to retranslate it or provide a different translation?
De cauterizacio de ydropici.	Chapter .xxxi: On the Cauterization of Dropsy Patients.
Cauteri no catz en ydropici sino en alcinte3 propriament.	Cauterization should not be performed on dropsy patients directly but rather on their girdle specifically.
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you treat a dropsy patient using the methods of cure that we have mentioned in the previous chapter and it does not work, then it is necessary to cauterize them with four cauteries around the navel area, one cautery on the stomach, another on the liver, one on the spleen, two between the vertebrae of the back, one on the right side of the foot, and finally, another one on the stomach.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	The depth of each cauterization should be proportional to the intensity of their illness.
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	Then leave the cautery open for some time, allowing it to heal for as long as possible.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	Do not discharge the patient from your care after treating them with cautery; it is essential that they receive two additional treatments and rest for faster healing.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The source sentence you provided translates to: 
Capitol .xxxii.	Here is my translation of your provided text: 
De cauterizacio de pes e de las coyssas.	Here is my translation of your provided text: 
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina: When the feet are afflicted with edema and filled with yellow watery fluid, it is necessary to cauterize them on the dorsum of the foot (the back part). Do not burn that area which lies between the auricular and annular. Elevate your hand holding the cautery and do not twist [it]. Then elevate your hand, but do not remove it entirely because the yellow fluid will flow out.
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar: And then make two cauteries on both thighs, and on each thigh a cautery should be made with the curved end of the cautery.
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris: And the length of the cautery should be according to the length of the thigh. Place one below the knee and another at the middle part of the thigh, and on each thigh two cauteries are applied.
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu: And leave the wound open without any treatment for a long time to let some fluid drain from it.
E aprop cura le am aquelas causas las quals havem ditas.	E aprop cura le am aquellas causas las quals havem ditas: Then treat him with the remedies that we have mentioned earlier.
Capitol .xxxiii.	Certainly, here is my best translation of each line: 
De cauterizacio de cos de ventre.	De cauterizacio de cos de ventre.
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	When the body's abdomen is affected by cold and dampness, which weakens the internal organs, it is necessary to treat the digestive and retentive faculties found in the stomach and intestines with curative rather than harmful treatments. Sometimes patients undergoing this treatment experience a burning sensation, at which point one must cauterize those areas with a large cautery iron on their stomachs as described earlier for stomach cauterization: use an annular cautery and four fine umbilical cauteries around the navel; or else apply a fine pointed cautery or two cauteries through an aperture.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	And if you notice excessive humidity and the patient can tolerate it, then cauterize that area over the navel and intestines, firmly applying two cauteries to their stomach near the groin; this is a perfect treatment to invigorate them without causing harm.
Capitol .xxxiv.	Chapter 34: On the Cure of Sciatica in its Second Degree by Causing an Issue of Humours, either Spontaneous or Artificial.
De cauterizacio de emorroydas antiquas.	Chapter 34: On the Cauterization of Old Hemorrhoids.
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	When the nature of old hemorrhoids is such that they are caused by thick humours or corrupted moisture and do not respond to the treatments described earlier in this section due to their harmful effects, then apply three cauteries above the lowest lumbar vertebra (the smallest triangular bone) and one above the navel.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	Here is my best attempt at translating the provided text: 
Capitol .xxxv.	Here is my translation of the provided text line by line: 
De cauterizacio de atheyl aprop la abscizio de lor.	De cauterizacio de atheyl aprop la abscizio de lor.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you cut with a scalpel, you then ignite the cautery which is assembled like a ray.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Then insert that ignited cautery into the incision made by the scalpel and finally place your hand over it to prevent the cauterizing device from touching the vein where blood flows.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	Do this once or twice, for if arteries are too many, then cauterize each of them as we have explained, and finally treat them with ointment until they are healed.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	And if you use a large-sized cautery on someone, it is better to do it later when they are older.
Capitol .xxxvi.	It seems that the text you provided is not complete or might have been transcribed incorrectly as I cannot identify any meaningful patterns in the text to translate it accurately. Please provide the full text, and I'll be happy to assist you with the translation!
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	Regarding the cauterization of fistulas that form naturally in parts of the body.
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When nature does not comply with the task we have described in its place, and the patient is distressed because of it, treat them with a cautery.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	Therefore, when someone has an old fistula that is formed naturally over time and contains corrupted moisture, the most appropriate treatment is to use a thin probe, then measure its depth with the aforementioned probe.
Aprop igneys le cauteri que es semblant a ray.	Aprop igneys le cauteri que es semblant a ray.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	And then place that ignited cautery into this fistula, and adjust it according to the depth of the incision.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	Repeat this process with the cautery until those corrupted flesh parts have been burnt away once or twice or three times, depending on how much is required.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	Be careful to avoid burning the nerves and veins; or if the fistula extends towards the bladder or the intestines, then beware of those areas; do not perform this unless the fistula is located in fleshy tissue and you believe it is not penetrating.
E aprop cura le loc entro que sia sanat.	Then treat the area until it has healed.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	And if the wound is closed and all matter has been removed from it, remaining like this for a long time, then know that it is completely healed.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	If the matter has not been fully extracted from it, then know that it is either penetrating or there is corruption at its base, or this results from one of those causes which will be recalled in its place.
Capitol .xxxvii.	It seems the text you have provided is divided into chapters, with ".xxxvii." likely indicating Chapter 37. Is there another section of the text you would like me to translate or provide insight on?
De cauterizacio dels ronhos.	De cauterizacio dels ronhos. 
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When there is pain in the lungs due to congestion or excessive windiness, causing discomfort to the patient, it is advisable to cauterize those areas on the lungs with a pointed cautery for each area that needs treatment.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And it is better to first cauterize with a smaller one below, so that three lined cauteries will follow, which will be larger in size towards the back.
Capitol .xxxviii.	Chapter 38.
De cauterizacio de la vesica.	On the cauterization of the bladder.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When the bladder becomes weak and soft due to coldness and humidity, causing the patient to have difficulty retaining urine, it is necessary to cauterize that area below, starting from where the hairs of the pubic region begin, with a cautery on the right side, and another on the left.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	The length of each cautery should be according to the number of toes on the foot; cauterize that lower back area with a cautery or two if needed.
E sia cauteri clavilh segon que es procesit.	The pointed cautery should be used as required.
Capitol .xxxix.	Certainly, I'll do my best to interpret and translate each line for you:
De cauterizacio de la mayra.	De cauterizacio de la mayra." translates to "On the cauterization of hemorrhoids.
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh." translates to "When hemorrhoids become inflamed and filled with moisture, which is why pregnancy is prohibited, the patient's menstrual flow is affected, menstruation becomes delayed, and pain occurs during their cycle. In such cases, it is necessary to cauterize the area around the navel with three cautery tools (as we mentioned in the section about bladder cauterization), or apply a cautery tool directly above the lower back, using either one or two tools, ensuring they are sharp and pointed.
Capitol .xl.	It seems that "Capitol .xl." might be a chapter marker or an indicator for the forty-first chapter in this treatise. However, without further context or additional text, it is difficult to provide a more detailed translation or interpretation. Please feel free to provide me with more information so I can assist you better!
De cauterizacio de la dislocacio de l’anqua.	De cauterizacio de la dislocacio de l'anqua." translates to "On the cauterization for the dislocation of the ankle.
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor." translates to "When mucous moisture infiltrates the area of the ankle and becomes a cause for its displacement from its original position, one sign is that the leg appears longer on one side when compared to the other.
E le loc de la dislocacio es atrobat en lu quays boyt.	And the site of the dislocation is found in his groin.
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	Therefore, you need to cauterize the patient over their hip joint with a circular cautery instrument because it should be marked by a ring of smoke when heated and applied at its proper place where the hip is located within that circle.
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	And this type of cautery was previously used for stomach cauterization procedures as well.
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	If you don't have this particular type of cautery instrument available, use three large olive-shaped cauteries instead.
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	The cauterization should be performed based on the severity of the entire condition, and then ensure proper treatment until a cure is achieved.
Capitol .xli.	It seems you have provided another heading in a similar language to Latin. If you provide me with the full text, I'll be able to translate it for you!
De cauterizacio de la vena sciatica.	Regarding cautery treatment of the sciatic vein.
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	When pain occurs in the hip region and is caused by cold and moist humours, treat the patient using what we have already mentioned earlier (i.e., applying a circular cautery as previously described). If this proves ineffective for curing the disease due to its antiquity (or age), you must then purge the patient of thick humors using foul-smelling pills or artificial ones that are similar; afterward, cauterize them.
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	And the manner of using the cautery has two methods: a cautery with burning medicines or a cautery with fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	According to these two methods, one way is to cauterize that area on the patient's flank with three triangular-shaped cauteries arranged like this; make sure they are deep enough.
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	And the space between each cautery should be equal to the width of a finger, with the size of the cauteries being either olive-sized or larger.
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	In some cases, the cauteries may be placed over the middle part of the ankle since there are four cauteries.
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	If you wish, you can cauterize with a circle that has the same shape as the one used in the ankle dislocation procedure; ensure it encloses and burns the entire affected area.
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	This is the method of cautery for gout when the pain adheres to the ankle and has not extended into the thigh.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	If the pain has spread into the thigh, then use two cauteries on the thigh over the area where the patient feels the pain; and one cautery on the shin, four fingers below the tibial tuberosity.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	And if the patient indicates that the pain has spread to the area near their feet, then cauterize that spot using a pointed cautery with three or four prongs, or more if necessary.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	And if the patient complains of pain below the thigh, then cauterize that area with a knife-like cautery.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	Take caution during all cauterization procedures to avoid burning any nerves or major arteries, as this can cause harm or contraction in the patient.
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	I have seen instances where individuals cauterized the area around the ankle and subsequently suffered severe burns. As a result, the bed was inflamed due to the patient's swollen foot, which became perforated and corrupted throughout.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	Then there is a violent discharge from the stomach, and this often leads to death.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	If the pain is divided into two parts, cauterize each one accordingly following this method.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	The wise among us said about the cautery for water: it should be made like a circle of iron, with its circumference being half a palm in size; and its opening should be as wide as a date pit or slightly less.
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	Here is my translation of the provided text: 
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	And therefore cauterize that area with three round cauteries at once.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	Then leave that area for three days, apply a poultice with borax and leave the plaster open for several days, then treat it with ointment until it is healed.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Albucasis said: 'Oh, my children, we have rarely used this type of cautery due to the fear of its consequences, and because of that, few have studied it in depth.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	May the good cauterizations be upon those who endure them, and may they find their place.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	May the cautery with adhesive medicines that you perform involve two circles having brass rings in which the hinge of the iron door stands out; let the length of their wall be twice as long as the width.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	And if the space between them is equal to the thickness of your finger; and they are open below and above, and contain each other in this way:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	Then place the patient on their side over a water basin; put your hand on top of it, and take some cold water from there and pour it between two circles, letting its quality be gradually heated by fire for an hour, enduring his burning sensation (for this biting like that of fire), until the burning subsides.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	And then raise your hand with the instrument and wipe off all the dirty water with clean water.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	Then let him rest for three days and place on it a poultice until the blackness of the swelling has decreased, and leave this for some more days, running from him the redness; this is the last treatment.
E aprop cura aquel am enguentz entro que sia sanat.	And then treat him with ointment until he is healed.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	And if the pain extends to the thigh or leg, make him sit in water like it is done for the hip equally.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	This is the way of the dirty water, and I have already written about it in my treatise on medical correction.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Take a little alkali and unexhausted lime from both years parted one by one, and crush them then put them in a new pot of which the partition should be pierced by a small hole, according to the quantity that goes into the eye.
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	And place below the pot another pot overturned, and pour over that alkali and quicklime living water which covers them by one finger, and then you compress those with your hand well for good compression, and leave the hollow which descends from the sharp water in the partition to the lower pot.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	Here is the translation of the provided text: 
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	And for some medicines that are widely applied, such as tezezicum and melted honey, mix them so that they may be made more savory.
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	Wales also recounted the story of an ancient man who underwent surgery and was healed from hip pain and sciatica; he spoke highly of it, saying that no other cure was necessary, for as soon as this procedure is performed, so is the healing complete - just like this one we are about to recount now. For at once when he stepped into a bath after the operation, immediately he was cured.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	Either it should be placed near green nettle leaves or if fresh figs are not available, they may be used instead; these must be pounded with a little vinegar and applied to the hip where pain occurs, whether at the hips themselves, on the thighs, or even legs, then wrapped up.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	It should be left on for three hours or until the patient feels relief from inflammation.
