¶ De utilitate Phlebotomiae, et cautelis in ea obseruandis.	On the usefulness of bloodletting, and the precautions to observe in it.
Uentosae autem quae sunt sine scarificatione, sunt Ventosae quae ponuntur super epar, et splenem, et podagram, et super uentrem, umbilicum, et loca renum, et pixidem anchae: quoniam ista membra non sufferunt scarificationem super se.	Cups without scarification are those placed over the liver, spleen, gouty areas, stomach, navel, the regions of the kidneys, and the hip socket, because these parts do not tolerate scarification.
Et non quaeritur per eas, nisi aut attactio ex membro sanguinis ad membrum: sicut ponimus Ventosam super mammillas in aegritudine fluxus sanguinis narium.	Their purpose is to transfer the humor from one part of the body to another; as when we place a cup over the breasts in the condition of nasal blood flow.
Et utimur eis, ut soluamus a membro uentositatem frigidam inuiscatam in membro: sicut ponimus uentosam super uentrem, et umbilicum.	And we use them to release cold trapped wind in a part; as when we place a cup over the stomach and navel.
Ipsa enim rarificat membrum, et calefacit ipsum, et remouet dolorem propterea, quia resoluit illam uentositatem.	This thins and warms the part, and removes pain by resolving the trapped wind.
Etiam ponitur super renes, quando accidit in eis opilatio, aut lapis.	It is also placed over the kidneys when there is obstruction or a stone in them.
Uirtute enim attractionis suae fortasse aperit opilationem, aut eradicat lapidem ex loco suo.	By the strength of its attraction, it may open the obstruction or dislodge the stone from its place.
Et similiter facit quando ponitur super epar, et splenem apud uentositatem terendam in eis utrisque.	It works similarly when placed over the liver and spleen to dispel wind trapped in both.
Et istae Ventosae administrantur uacuae cum sectione tantum.	These cups are applied empty with section only.
Et quandoque administrantur cum igne.	And sometimes they are applied with fire.
Et quandoque administrantur plenae aqua tepida in aegritudinibus pleuresis: et illud est, ut impleatur Ventosa, et sit magna, aqua calida sola, aut aqua in qua decoctae sint herbae quae conueniunt.	And sometimes they are applied filled with warm water for conditions of pleurisy; this involves filling a large cup with hot water alone, or water in which suitable herbs have been boiled.
¶ Forma Ventosae administratae cum igne.	The form of a cupping glass applied with fire.
Sit amplitudo orificii eius duorum digitorum apertorum, secundum quod formauimus: et quantitas eius in profundo sit medietas palmi: et sit in latere eius in loco qui est circiter medium eius, foramen paruum, secundum quantitatem quod ingrediatur ipsum acus: fiat ex aere simul, aut citrino, grossorum marginum, lenium, aequalium, tersorum: ut non laedat membrum apud positionem suam super ipsum: et sit in medio eius uirga transuersa ex aere, aut ferro, ubi ponitur candela cum igne.	The opening of the cupping glass should be about the width of two open fingers, as we have specified, and its depth should be about half a palm. In the side, approximately at the middle, there should be a small hole, large enough for a needle to enter. It should be made from brass or citrine metal, with thick, smooth, and even edges so as not to injure the body when applied. In the center, there should be a crosswise rod made of brass or iron, on which a candle with a flame can be placed.
Et iam fit haec uentosa magna, maior ea quam narrauimus, et parum minor illa, secundum aegritudines et aetatem eius qui utitur.	This cup should be larger than the ones described earlier, though slightly smaller in some cases, depending on the illness and the age of the user.
Ventosae enim puerorum, et extenuatorum sunt aliae, quam uentosae uirorum, et grossorum corporum.	The cups used for children and those with thin bodies are different from those used for adults and those with larger bodies.
Qualitas autem ponendi hanc uentosam cum igne super membrum, est, ut accendas licinium cum igne ex lino decenter, aut candelam paruam ex caera: et pone eam super medium uirgae transuersae quae est in medio uentosae: ut sit accensus ignis circiter inferiorem partem uentosae, ut non comburatur corpus infirmi.	To apply this cup with fire to the body, ignite a small wick made from linen or a small wax candle, and place it in the middle of the transverse rod in the center of the cupping glass. This should produce flame near the lower part of the cupping glass, ensuring the patient’s body is not burned.
Deinde ponatur super membrum: et digitus sit super foramen quod dixi, donec quando tenemus uentosam: dum indigemus, auferamus digitum, et egredietur uapor super illud foramen, et soluetur uentosa statim.	Then place the cup on the body, keeping a finger over the small hole previously mentioned. When the cup is in position and ready, remove your finger, allowing steam to escape through the hole, and the cup will release immediately.
Deinde igni licinium secundum modum suum, et itera eam, si indiges illa.	Then, if necessary, reignite the wick as described and reapply the cup.
In Ventosa autem quae administratur in aegritudine pleuresis cum aqua, non est uirga transuersa, neque foramen: et non administratur, nisi quia impletur aqua, et ponitur super membrum tantum.	In the case of a cup applied for pleurisy and filled with water, there is no transverse rod or small hole. It is used only by filling it with water and placing it directly on the body.
Et haec est forma eius.	This is its form.
Et haec Ventosa quanto plus est magna, ut capiat aquam multam, est melior.	The larger this cup is, allowing it to hold more water, the more effective it is.
¶ De suspensione Sanguisugarum.	On the application of leeches.
Caput XCIX.	Chapter 99.
Sanguisugae non administrantur in pluribus, nisi in quibus membris non est possibilis positio uentosarum, propter paruitatem eorum, sicut labium, et gingiua, et eis similia.	Leeches are not applied in many places, except in areas where cupping is not possible due to their small size, such as the lip, gum, and similar areas.
Aut in membro denudato a carne, sicut digitus, et nasus, et eis similia.	Or in parts lacking flesh, such as the finger, nose, and similar areas.
Et qualitas utendi eis est: ut ueneris ex Sanguisugis quae sunt in aquis dulcibus, mundis a putredinibus.	The quality of leeches to be used is that they come from fresh waters, free from impurities.
Deinde dimittantur die et nocte in aqua dulci, donec famelicae sint, et non remaneat in uentre earum aliquid.	Then, let them stay day and night in fresh water, until they are hungry, and nothing remains in their stomachs.
Deinde euacuetur corpus in primis cum phlebotomia, et cum uentosis.	Then cleanse the body first with bloodletting and cupping.
Deinde absterge membrum infirmi, donec rubeat.	Then cleanse the affected area until it is red.
Postea ponantur super ipsum.	Afterwards, place them on it.
Cum ergo implentur, et cadunt, et est possibilis suctio loci cum uentosa, tunc est magis ultimum in iuuamento: et si non, tunc ablue locum cum aceto.	When they are full and fall off, if suction at the site with a cup is possible, this is more beneficial; if not, wash the site with vinegar.
Deinde cum aqua multa, et fricetur, et exprimatur.	Then with plenty of water, rub and squeeze it.
Quod si prolongatur cursus sanguinis post casum Sanguisugarum, et est illud resudando: tunc infunde pannum lini in aqua frigida, et pone ipsum desuper, donec abscindatur resudatio.	If the blood flow continues after the leeches fall off, and it seeps, then soak a linen cloth in cold water and place it on top, until the seepage stops.
Quod si multiplicatur sanguis, tunc pulueriza super ipsum zegi tritum, aut gallas, et similia eis ex stipticis: donec abscindatur sanguis.	If the blood increases, then sprinkle powdered alum or galls or similar astringents over it, until the bleeding stops.
Aut ponantur super locum medietates fabarum excorticatarum: et dimittantur, donec adhaereant fabae in loco, nam sanguis abscinditur.	Or place halves of peeled beans over the site and leave them until the beans adhere, for the bleeding will stop.
Et oportet si necessaria est iteratio Sanguisugarum, quando est possibile, mutare eas.	If the repetition of leech application is necessary, they should be changed when possible.
Si autem prohibentur Sanguisugae a suspensione, tunc abstergatur locus cum sanguine recenti.	If leeches are prevented from adhering, then clean the site with fresh blood.
Aut fige acum in locis, donec egrediatur aliquid ex sanguine.	Or insert a needle at the site until some blood flows out.
Deinde ponantur, nam ipsae quando sentiunt aliquid ex sanguine, adhaerent statim.	Then place them, for as soon as they sense some blood, they will immediately adhere.
Quando ergo uis ut cadant, pulueriza super eas aliquid ex aloe trito, aut salem, aut cinerem: et cadent statim.	When you want them to fall off, sprinkle powdered aloe, salt, or ashes over them, and they will fall off immediately.
¶ Partis Secundae Finis.	End of the Second Part.
¶ Liber Chirurgici Albucasis Pars III.	Book of Surgery by Albucasis, Part III.
¶ Sermo uniuersalis de restauratione, et dislocatione, et curatione torsionis, et similibus.	Universal treatise on restoration, dislocation, treatment of twisting, and similar matters.
Caput I.	Chapter 1.
Hoc Capitulum etiam multotiens est necessarium in arte Medicinae, et est restauratio fracturae, et dislocationis accidentium in ossibus.	This chapter is often necessary in the art of medicine and concerns the restoration of fractures and dislocations in bones.
Scitote o Filii, quia iactant se de hoc Capitulo stolidi medicorum et uulgi, et qui non inspexerunt unquam antiquorum librum, neque legerunt ex eo literam.	Know, O Sons, that foolish doctors and the common people boast of this chapter, though they have never looked into any ancient book nor read a single letter from it.
Et propter hanc caussam fit, quod iste modus ex scientiis in terra nostra est priuatus.	And for this reason, this method of knowledge is deprived in our land.
Et ego non obuiaui in eo unquam bono omnino, et non adeptus sum ex eo illud, quod sum adeptus nisi propter longitudinem lectionis librorum antiquorum, et studium super intellectum eorum, donec extraxi scientiam illius ex eis.	And I have never found anything good in it, nor did I gain anything from it except through extensive reading of ancient books and studying their understanding, until I extracted its knowledge from them.
Deinde adhaesi experimento et studio longitudine uitae meae.	Then I applied myself to experimentation and study throughout my life.
Et iam descripsi uobis ex illo in hoc Capitulo totum quod continet scientia mea: et super quod praeteriit experimentum meum, postquam abbreuiaui illud uobis, et liberaui illud ex occupatione elongationis, et abbreuiaui illud fine abbreuiationis, et ostendi illud fine declinationis: et formaui in eo formas multas ex formis instrumentorum quae administrantur in eo, cum sit ex additione declinationis, sicut feci in duobus Capitulis praecedentibus.	And now I have written for you in this chapter all that my knowledge contains on this matter, based on my experiments, after I have abbreviated it for you, freed it from unnecessary length, abbreviated it to the point of abbreviation, and demonstrated it clearly; I have also designed many forms of instruments used in it, with added details, as I did in the two preceding chapters.
¶ Summae, et collectiones ex esse fracturae ossium, ex eis quarum praemissio necessaria est, antequam incipiamus rememorationem membrorum fractorum, et diuersorum, si uniuscuiusque.	Summaries and collections on the nature of bone fractures, among those whose knowledge is necessary before we begin the discussion of fractured and various members, if of each one.
Caput II.	Chapter 2.
Oportet, ut dicamus in prologo huius Capituli, summas sermonis, et capitula, ad quarum intellectum cogitur in primis artifex ad stationem super earum ueritatem: scilicet ut uos, et qui sunt prompti, sciant, uel addiscant hanc artem nobilem, et alii a uobis.	It is necessary that we state in the prologue of this chapter the main points and headings, so that the practitioner is directed first to an understanding of their truth, so that you, and those who are eager, may know or learn this noble art, and others from you.
Dico, ergo, quod quando accidit alicui fractura, aut dislocatio, aut torsio, aut casus: tunc oportet, ut properes in primis ad phlebotomandum eum, et soluendum ipsum, aut utraque simul: si non prohibeat aliquid, sicut debilitas uirtutis: aut est ille cui accidit aliquid ex illis puer, aut senex decrepitus: aut est tempus uehementis caloris, aut uehementis frigoris ualde.	I say, therefore, that when someone suffers a fracture, dislocation, twist, or fall, it is necessary first to hasten to bloodletting and relaxing the patient, or both together, unless something prevents it, such as weakness of strength, or if the patient is a child or very old person, or if it is a time of intense heat or intense cold.
Deinde sit contentus in cibo suo, oleribus frigidis, et carnibus auium, et haedorum: et prohibe uinum, et carnes grossas, et repleri ex cibis et omni cibo qui replet uenas sanguine.	Then be moderate in food, with cool vegetables and the meats of birds and kids; prohibit wine and heavy meats and foods that fill the veins with blood.
Donec quando securus sis ex apostemate calido, et non times effusionem materiei ad membrum: tunc redeat infirmus ad regimen suum primum cum quo cucurrit consuetudo eius.	Until you are sure that there is no risk of hot swelling and do not fear the spreading of matter to a limb, then let the patient return to his original diet to which he is accustomed.
Cum ergo incipit os fractum restaurari, tunc oportet, ut cibetur infirmus cibis nutrientibus nutrimento multo, grosso, graui, in quibus sit uiscositas: sicut cibaria facta ex tritico cocto cum aqua, et rizum, et capita, et pedes, et uentres uaccarum, et oua, et pisces recentes: et uinum grossum, et similia illis.	When the broken bone begins to heal, then it is necessary to feed the patient with nourishing foods that are substantial, thick, and heavy, with a certain viscosity, such as porridge made from wheat cooked with water, rice, heads, feet, and stomachs of cows, eggs, and fresh fish, along with thick wine and similar items.
Cum hoc enim regimine fit coagulatio fracturae uelocius, et melius.	With this regimen, the bone fracture consolidates more quickly and effectively.
Et scias, quod ossa fracta, quando sunt in uiris qui sunt in prima senectute, et decrepitis, non est possibile, ut continuentur et consolidentur secundum naturam suam semper, propter exiccationem membrorum eorum: et consolidantur et continuantur quae ex eis sunt in fine lenitatis, sicut ossa puerornm paruorum.	And you should know that broken bones, when in men of advanced or very old age, cannot always rejoin and consolidate fully due to the dryness of their tissues; they consolidate and join in a less firm manner than those in young children.
Verumtamen natura annectit super os fractum ex omni parte aliquid simile glutino, in quo est grossitudo, quo adhaeret et stringit ipsum, donec conglutinantur adinuicem, et ligantur adinuicem, donec uenit in fine fortitudinis et firmitudinis, sicut fuit in primis, donec non prohibet ipsum aliquid ab operationibus suis: et propter hanc caussam est necesse, ut ponas nutrimentum infirmi cibaria, in quibus sunt grauitas, et uiscositas, et grossitudo, sicut diximus.	Yet nature attaches something like glue on all sides of the broken bone, where there is thickness, so that it adheres and holds it, until the parts coalesce and bind together, restoring it to full strength and firmness as it was initially, until nothing hinders its function. For this reason, it is necessary to provide the patient with food that is heavy, viscous, and thick, as we have said.
Et scias, quod fracturae species sunt diuersae, secundum diuersitatem membrorum: quoniam fractura cruris, est diuersa a fractura ossis capitis: et fractura ossis pectoris, est diuersa a fractura ossis dorsi: et similiter reliqua membra omnia diuersa existunt adinuicem: et ego ueni cum rememoratione omnis speciei fracturae expositae in Capitulo suo distinctae ab alia.	And know that types of fractures differ according to the diversity of body parts: a leg fracture is different from a skull fracture; a fracture of the chest bone differs from that of the spine; similarly, all remaining parts vary from one another. I will cover every type of fracture, each presented in its chapter, distinct from the others.
Et diuersificantur species fracturae ossis etiam in seipsa.	And the types of bone fractures themselves vary as well.
Quoniam fit fractura eius arcuata, praeter quod accidant in ea astellae.	For sometimes it breaks in an arched manner, in addition to splintering.
Et quandoque fit fractura eius secundum longitudinem ossis: et sunt fracturae eius satagiae, id est, astellae, et additiones procedentes, sicut sunt in calamo, cum aptatur cultello ad scribendum.	Sometimes the bone fractures along its length; and it splinters into shards and projections, as in a reed when sharpened with a knife for writing.
Et non procedentes: et est fractura cum uulnere et disruptione in capite: et est fractura fissura parua.	Others do not project outward; there is the fracture with a wound and rupture in the skull, and a small fissure fracture.
Et omni speciei est ingenium, uel instrumentum proprium in restauratione eius, secundum quod ueniet rememoratio eius, distincta in locis suis.	Each type has its own method or tool for repair, which will be discussed in detail in its respective place.
Et ex eo quo cognoscitur fractura ossis, est tortuositas eius, et ipsius eminentia: et apparitio eius sensui, et sonitus eius quando comprimis ipsum manu tua.	One way to recognize a bone fracture is by its twisting, its prominence, its perceptible appearance, and the sound it makes when you press on it with your hand.
Quando ergo non est in loco tortuositas apparens, neque sonitus apud tactum tuum cum tangis os cum agitatione, neque inuenit infirmus magnum dolorem: tunc non est illic fractura, imo possibile est, ut sit tortuositas, aut fissura parua: non ergo oportet, ut moueas ipsum cum manu et compressione omnino, imo pone super ipsum ex medicinis, quarum uenit rememoratio, post momentum illud quod conuenit loco: deinde stringatur strictura subtili.	Therefore, when there is no apparent twisting in the area, no sound at the touch when you move the bone, and the patient feels no great pain, then there is no fracture; it may be a twist or a small fissure. In such cases, avoid moving it or applying pressure at all. Instead, apply the suitable medications, which will be discussed later, and then bind it gently.
Et scias, quod locus quando arcuatur, et scinditur in duo, praeter quod accidant in eo satagiae, uerumtamen remouetur omnis pars a compari sua: tunc oportet tibi, ut incipias ab hora tua ad rectificationem eius, aequando ipsum antequam accidat ei apostema calidum.	And know that when the place curves and splits into two, even if injuries happen there, nevertheless, each part is separated from its counterpart. Then it is necessary for you to begin immediately to set it straight, aligning it before a hot abscess forms there.
Si autem accidat ei apostema calidum, tunc dimitte ipsum diebus aliquot, donec quiescat apoestema.	But if a hot abscess does form, then leave it for several days until the abscess subsides.
Deinde aequa ipsum secundum quemcunque modum potest ex lenitate et ingenio.	Then set it straight in whatever way you can, with gentleness and skill.
Et scias, quod restauratio eius, et ipsius aequatio, est facilior quam ossis, in quo accidunt satagiae.	And know that the repair and alignment of it is easier than that of bone, in which injuries occur.
Deinde stringe ipsum, secundum quod ueniet tibi rememoratio eius.	Then bind it, as it comes back to your memory.
Si uero in osse sunt satagiae, tunc necessaria est extensio huius membri fracti ex duabus partibus, si manus sit, aut pes: aut cum manu tua, si membrum est paruum: aut cum duobus funibus, aut cum fune et manu.	If, however, there are dislocations in the bone, then it is necessary to extend this broken limb from both sides, whether it be a hand or foot: with your hand if the limb is small, or with two ropes, or with a rope and a hand.
Et sit positio tua qua ponis membrum super locum aequalem, secundum figuram suam naturalem, donec quando extenduntur partes membri fracti: tunc conare, ut redire facias illas additiones omni ingenio, et secundum quemcunque modum potes in locis suis: et caue secundum fortitudinem tuam, ne accidat super infirmum per operationem tuam dolor, neque laesio: et conare secundum fortitudinem tuam, ut applices unum duorum ossium cum socio suo, secundum meliores formas.	And let your position be such that you place the limb on a level place, in its natural shape, until the parts of the broken limb are extended: then try to restore those protrusions to their places by every means you can manage: and take care, with all your strength, that neither pain nor injury falls upon the patient due to your operation: and try, to the best of your ability, to apply one of the two bones to its companion, according to the best shapes.
Et oportet in illa hora, ut tentes et tangas ipsum manu tua.	And at that time, you must test and touch it with your hand.
Si ergo uides illic aliquid diuersum, rectifica ipsum, et aequa illud per quantitatem tuae uirtutis.	If, therefore, you see something different there, set it straight and align it to the best of your ability.
Et caue extensionem uehementem, et compressionem fortem, sicut faciunt multi stolidorum.	And beware of vigorous extension and strong compression, as many fools do.
Multotiens enim faciunt accidere per operationem illam suam apostema calidum, aut contractionem in membro: sicut iam uidimus illud ex operationibus eorum multotiens.	For often they cause, by that operation of theirs, a hot abscess or a contraction in the limb, as we have already seen from their operations many times.
Deinde annecte post aequationem, et decentem operationem, et stricturam illius membri, et quietem, et tranquillitatem: et mone infirmum super ipsum.	Then, after alignment, suitable operation, and securing of that limb, and rest, and tranquility, instruct the patient concerning it.
Et fac ipsum cauere, ne moueat ipsum in hora suarum uigiliarum, et somni sui apud reuolutionem suam, et agitationem suam, et apud egestionem suam, et omnes motus suos ultima uirtute sua.	And make him be cautious, so that he does not move it during his waking hours, his sleep, his turning, his movements, his bowel movements, and all his motions, with all his strength.
Et ut caueat, ne sit positio membri positio cum qua sequatur dolor.	And let him beware, lest the position of the limb be one that leads to pain.
Quod est, quia quando sentit in dispositione positionis membri dolorem, aut laesionem: tunc oportet, ut permutes ipsum ad dispositionem aliam ab illa cum qua non sentiat dolorem.	That is, when he feels pain or injury in the positioning of the limb: then you must adjust it to another position in which he does not feel pain.
Et caue cum illo, ut sit positio eius illa aequalis, recta: ut non accidat in membro tortuositas, quando restauratur.	And beware with him, that its position is level and straight: so that there is no twisting in the limb when it heals.
Et qualitas stricturae membri fracti est, secundum quod narro.	And the nature of securing the broken limb is as I describe.
Scias, quod membra fracta diuersificantur in paruitate sua, et eorum magnitudine, et ipsorum forma.	Know that broken limbs vary in their smallness, size, and shape.
Quae ergo ex eis sunt parua, sicut brachium, et digitus, et focile, et similia eis, tunc oportet, ut sit inuolutio panni mollis, subtilis.	Those of them which are small, like the arm, finger, shoulder blade, and similar, must be wrapped in a soft, thin cloth.
Quae autem ex eis sunt grossa, sicut coxa, et crus, oportet ut sit in eis inuolutio lata, dura.	Those which are large, like the thigh and leg, must have a wide, hard wrapping.
Quoniam ligamentum latum, connectit membrum magnum, et stringit ipsum ab omni parte strictura aequali, ita quod non ingreditur ipsum macula.	For a wide bandage joins a large limb and binds it with even tightness on every side, so that no mark enters it.
Deinde incipe post euacuationem tuam ab aequatione ponere linimentum conueniens ad illud, in stuppa leni super locum fracturae ipsius.	Then begin, after your setting has been completed, to place a suitable dressing for it, in soft tow over the site of the fracture.
Deinde incipe inuoluere ligamentum super locum fracturae ipsius tribus inuolutionibus, aut quatuor, secundum quod meretur membrum: et stringe manum tuam parumper cum ligamento.	Then begin to wrap the bandage over the site of the fracture with three or four wrappings, according to what the limb deserves: and gently tighten with your hand along with the bandage.
Deinde uade cum eo ad partem superiorem a loco fracturae, et stringe minus quam fuit strictura tua, qua strinxisti locum fractum.	Then move with it to the upper part from the site of the fracture, and bind it less tightly than your binding with which you secured the fracture site.
Deinde elonga te cum inuolutione a loco fracturae parumper, et mollifica stricturam paulatim, donec capias ex loco sano rem magnam.	Then extend yourself with the wrapping slightly from the site of the fracture, and gradually loosen the binding, until you take a large section from the healthy area.
Deinde accipe uittam aliam, et inuolue eam iterum super locum fractum inuolutionibus.	Then take another band, and wrap it again over the fractured site with wrappings.
Postea uade cum inuolutione ad partem inferiorem a fractura.	Afterward, move with the wrapping to the lower part from the fracture.
Et sit operatio tua in strictura inuolutionis, et mollificatione eius, secundum quod diximus in inuolutione prima superiore.	And let your operation in binding the wrapping and loosening it be as we said in the first wrapping above.
Deinde pone inter inuolutiones ex stuppa leni, aut panno, cum quo aequetur tortuositas fracturae, si est in ea tortuositas: et si non, non ponas in ea aliquid.	Then place between the wrappings some soft tow or cloth to balance any twisting in the fracture, if there is any twisting: and if not, do not put anything there.
Deinde inuolue super ipsam uittam aliam.	Then wrap another band over it.
Postea aequa super has inuolutiones astellas decenter factas statim, si non est in loco inflatio, neque apostema calidum.	Afterward, place decently made splints over these wrappings at once, if there is no swelling or hot abscess in the area.
Si autem in ea est inflatio, aut apostema: tunc pone super eam quod sedet illud apostema, et auferat inflationem: et dimitte eam aliquot diebus.	If, however, there is swelling or an abscess: then place over it what soothes the abscess and reduces the swelling: and leave it for a few days.
Deinde stringe super ipsam tunc astellas.	Then bind the splints over it at that time.
Et sint Astellae ex medietatibus cannae latae, rasae, formatae sapienter: aut sint ex ligno unde fiunt cribra, quae fiunt ex pino, aut geraid, id est, ramis palmae, aut calingi: et sit amplitudo omnis Astellae, secundum hanc formam, et hanc eandem figuram.	And let the splints be from the halves of broad reeds, scraped and skillfully shaped: or be from wood used for making sieves, which come from pine, or geraid, that is, palm branches, or calingi: and let the size of each splint be according to this form and figure.
Verumtamen oportet, ut Astella quae ponitur super ipsam tracturam, sit grossior et latior parumper, quam reliquae Astellae: et longitudo Astellae sit secundum quod licet membro ex magnitudine et paruitate.	However, it is necessary that the splint placed over the actual fracture be somewhat thicker and wider than the other splints: and the length of the splint should be appropriate to the size and smallness of the limb.
Deinde stringe super Astellas cum uitta alia, secundum stricturam primam eandem.	Then bind over the splints with another bandage, with the same tightness as the first one.
Deinde liga desuper cum filis decenter, secundum quod diximus de strictura: et est, ut sit strictura tua super locum fracturae plus: et quanto plus elongatur a fractura sit, strictura minor.	Then tie it decently above with threads, as we said regarding the tightness: and it is such that your binding is tighter over the site of the fracture: and the farther it is from the fracture, the looser the binding should be.
Et oportet, ut sint fila media in grossitudine et subtilitate, et sint ex lino molli.	And the threads should be of medium thickness and fineness, and made of soft linen.
Quoniam si fila sunt grossa, sicut uidi ex operatione stolidorum ponentium fila sua ex chordis lini tortis, est error magnus: quoniam cadit strictura cum eis extra qualitatem.	For if the threads are thick, as I have seen in the operations of fools who place their threads of twisted linen cords, it is a grave error: for with these the binding falls outside the quality needed.
Et fila subtilia iterum non conueniunt: quoniam tu non consequeris per stricturam cum eis illud quod uis.	And very thin threads also are not suitable: for you will not achieve with them the binding you desire.
Et non oportet, ut sit inter astellam et astellam minus quam digitus.	And there should be no less than a finger's width between each splint.
Quod si laeditur infirmus per extremitates astellarum post stricturam in locis sanis: tunc pone sub eis ex stuppa leni, aut lana carminata, donec nihil laedatur ex illo.	If the patient is harmed by the ends of the splints after the binding in healthy places, then place under them some soft tow or carded wool, so that nothing is injured from it.
Quando autem est fractura cum uulnere, et accidit disruptio in cute, ego ueniam cum rememoratione eius in capitulo secundum singularitatem.	But when there is a fracture with a wound, and a rupture happens in the skin, I will address it with recollection in a specific chapter.
Et scias, quod non omne membrum fractum oportet ut stringatur cum astellis a primo die.	And know that not every broken limb must be bound with splints on the first day.
Quod est, quia membrum quando est magnum, non oportet ut ponas superipsum astellas, nisi post quinque dies, aut septem, aut plus, secundum securitatem tuam ab euentu apostematis calidi.	This is because when a limb is large, splints should not be placed on it until after five days, or seven, or more, depending on your assurance against the occurrence of a hot abscess.
Et iste est modus emplastrorum, quibus restaurabant antiqui, quae ponuntur super fracturam et dislocationem.	And this is the method of plasters by which the ancients restored fractures and dislocations.
¶ Modus Emplastri communis abbreuiati, restaurans fracturam, conueniens pluribus complexionibus, praecipue mulieribus, et pueris: quoniam est ex eo super quod non uincit calor, neque frigus.	¶ Method of the common abbreviated plaster, restoring fractures, suitable for many constitutions, especially for women and children: for it is made from a material that neither heat nor cold overpowers.
Et est, ut accipias ex puluere molendini, et est medulla farinae quae pendet in parietibus molendini apud motum molae: et conficias ipsum sicut est, praeter quod cribelles ipsum cum albugine oui: et pone confectionem eius non spissam, neque subtilem.	And it is thus: take mill dust, which is the essence of flour that clings to the walls of the mill as the wheel turns: prepare it as it is, except sift it with egg white: and make the mixture neither thick nor thin.
Deinde utere eo.	Then use it.
¶ Modus Emplastri alius, restaurantis fracturam, et dislocationem, et torsionem.	¶ Another method of plaster, restoring fractures, dislocations, and twisting.
Recipe almess, et laudani, et acaciae, et enulae, et mugath: et suc, omnium ana ʒ X myrrhae, et aloes amborum ana ʒ V et alethil ʒ XX terantur omnia, et cribellentur, et misceantur cum aqua alethil: aut cum albugine oui, si complexio infirmi est calefacta.	Take almess, ladanum, acacia, elecampane, and mugath: and resin, each 10 drachms, myrrh, and aloe, each 5 drachms, and alethil 20 drachms; grind all, sift, and mix with alethil water: or with egg white if the patient's constitution is heated.
Deinde utere hoc emplastro.	Then use this plaster.
Nam ipsum est bonae compositionis, restaurat ossa fracta uelociter, et confert pluribus hominibus.	For it is of good composition, restores broken bones quickly, and benefits many people.
¶ Modus Emplastri alius, quod etiam confert fracturae et torsioni.	¶ Another method of plaster, which also aids fractures and twisting.
Recipe mugath, et mess, et alteae albae, omnium ana ʒ X myrrhae, et aloes amborum ana ʒ V acaciae ʒ VI boli armeni ʒ XX terantur omnia contritione multa, et cribellentur, et conficiantur cum aqua, aut albugine oui: et administrentur.	Take mugath, mess, and white mallow, each 10 drachms; myrrh and aloe, each 5 drachms; acacia 6 drachms; Armenian clay 20 drachms; grind all thoroughly, sift, and mix with water or egg white: and apply.
¶ Modus Emplastri ad iuncturas, et ossa separata ex locis suis: et sedat dolorem accidentem eis, et scissuram ossis, et fracturam.	¶ Method of plaster for joints and bones displaced from their places: it soothes the pain affecting them, a bone fissure, and a fracture.
Sumatur lana succida, et submergatur in aceto, et oleo decocto: et ponatur super locum.	Take raw wool, and soak it in vinegar and cooked oil: and place it over the area.
Et in hoc quidem Emplastro non est uirtus restaurationis, sed est bonum in sedatione apostematis calidi: et expellit dolores proprie.	And indeed in this plaster there is no restoring power, but it is good for soothing a hot abscess: and it effectively relieves pain.
¶ Modus Emplastri, quod restaurat os fractum.	¶ Method of plaster, which restores broken bone.
Sume folia fici surdi, et folia papaueris syluestris: et tere omnia, et fac emplastrum ex utrisque.	Take the leaves of wild fig and wild poppy: grind all, and make a plaster from both.
¶ Modus Emplastri abbreuiati, administrati apud restaurationem fracturae ossis: et quando tu uis resolutionem residui apostematis.	¶ Method of abbreviated plaster, applied for the restoration of bone fracture: and when you want the resolution of a remaining abscess.
Recipe radicis alteae, et camomillae, et florum uiolarum, et farinae herbi, omnium ana partem unam: terantur omnia, et conficiantur cum uino, si non est membrum calefactum.	Take marshmallow root, chamomile, violet flowers, and herb flour, each one part: grind all, and mix with wine, if the limb is not heated.
Si uero est calefactum, tunc confice illud cum aqua coriandri humidi, aut cum aqua, et utere eo.	But if it is heated, then prepare it with fresh coriander water, or with water, and use it.
¶ Modus Emplastri alius fortioris in resolutione, quam istud primum, quando accidit apostema durum apud restaurationem membri.	On the method of a stronger plaster in loosening than the first one, when a hard swelling occurs at the restoration of a limb.
Recipe radicis alteae, et seminis lini, et balaustiae, et melliloti, et samsuci, et floris uiolarum, et camomillae, omnium ana, partem unam, terantur omnia, et conficiantur cum aqua salicis, aut cum aqua dulci, aut cum uino.	Take marshmallow root, linseed, pomegranate flower, melilot, elderflower, violet flowers, and chamomile, one part of each, grind them all, and prepare with willow water, or fresh water, or wine.
Totum illud secundum caliditatem membri, et quietem caloris eius.	All of this is according to the warmth of the limb and the calm of its heat.
Hippocrates uero non dixit in libro suo, quod ponatur super membrum fractum apud restaurationem eius, nisi caerotum factum ex caera, et oleo: non aliud: et narrauit, ut sit medium inter grossitudinem et subtilitatem.	Hippocrates, however, did not say in his book that anything should be applied to the fractured limb at its restoration except a caeretum made of wax and oil, nothing else, and he stated it should be of moderate thickness and thinness.
