¶ De restauratione fracturae ossium, quando est cum vulnere.	On the Restoration of Bone Fractures When There is Also a Wound
Quod si fiat hoc totum, et soluatur ligamentum post septem dies, et non confirmetur iunctura, et reducatur emplastrum et strictura super ipsum aliquotiens, et non firmetur, et cadat, et non possit eleuare ipsum ad superiora: tunc scias, quod nerui eius qui sunt ad caput humeri, iam incisi sunt, aut extensi, aut mollificati: et scias, quod iunctura nunquam figetur in loco suo.	If all this is done, and the ligament is loosened after seven days, and the joint does not become stable, and the plaster and bandage are reapplied over it multiple times, and it does not stabilize, and it falls and cannot be lifted upward, then you should know that the nerves attached to the head of the shoulder are now either severed, stretched, or softened, and know that the joint will never be fixed in its place.
Dislocationis autem quae fit uersus pectus et mammillam, aut ad posteriora reductio, fit cum impulsione et extensione cum manibus: donec redeat, et administretur in ea reliqua strictura et cura, donec sanetur.	The reduction of a dislocation that occurs toward the chest and breast or to the back is done with pressure and extension with the hands until it returns, and the remaining bandage and care is applied to it until it heals.
Quod si accidat post sanationem grauitas in membro, et tarditas in motu eius, tunc utatur infirmus balneo multotiens, donec leniatur illa grauitas, et redeat ad naturam eius primam.	If, after healing, heaviness in the limb occurs and slowness in its movement, then the patient should use the bath frequently, until that heaviness is lessened and it returns to its original nature.
¶ De curatione dislocationis Cubiti.	On the treatment of elbow dislocation.
Caput XXVIII.	Chapter 28.
Scias, quod iunctura Cubiti dislocatur cum difficultate, et similiter redit cum difficultate etiam: et ipsa quidem dislocatur ad omnes partes, et praecipue ad anteriorem, aut ad posteriorem.	Know that the elbow joint dislocates with difficulty and likewise returns with difficulty as well; and it indeed dislocates in all directions, especially to the front or to the back.
Et eius dislocatio non occultatur tibi: quoniam est cadens sub uisu, et sub tactu, secundum quamcunque figuram dislocetur.	And its dislocation is not hidden from you, for it falls within sight and touch, however it may be dislocated.
Et quando coniungis cubitum dislocatum cum sano, declaratur tibi illud manifeste.	And when you compare the dislocated elbow with the healthy one, it becomes clearly apparent to you.
Concauatur enim iunctura, et non potest duplicare brachium, neque tangere cum eo humerum suum.	For the joint is concave, and he cannot bend the arm or touch his shoulder with it.
Et oportet, ut properes, et reducas dislocationem statim, antequam accidat ei apostema calidum.	And it is necessary to act quickly and reduce the dislocation immediately, before a hot swelling occurs.
Nam si accidit ei apostema calidum, difficilis fit eius reductio: et fortasse non sanatur omnino, praecipue quando est ad posteriora.	For if a hot swelling occurs, its reduction becomes difficult, and perhaps it will not heal completely, especially when it is displaced backward.
Est enim deterior omnibus speciebus dislocationis, et uehementioris doloris eis: et multotiens descendit cum ea mors.	For it is worse than all types of dislocation, and causes more severe pain; and often death follows it.
Et restauratio eius quando est ex eis quae possibile est reducere, est, ut extendatur manus eius cum duabus manibus: et brachium eius sit expansum, et manus medici sint supra cubitum et sub eo, et ipse impellat iuncturam cum pollicibus manuum suarum simul, aut cum radice palmae suae, donec redeat ad locum suum.	And its restoration, when it is among those that can be reduced, is done by extending his hand with both hands, with his arm stretched out, and the physician’s hands placed above and below the elbow, and he presses the joint with his thumbs together or with the base of his palm until it returns to its place.
Aut uero dislocatio est ad anteriora: tunc redit ita, ut duplicet manum cum manu sua, donec percutiat cum radice palmae suae cubitum qui est dislocatus.	Or if the dislocation is to the front, then it is reduced by bending the hand with his hand, until he strikes the dislocated elbow with the base of his palm.
Quod si non obedit dislocatio ad reductionem, tunc administra extensionem uehementem, fortem ualde: et est, ut extendant brachium duo ministri: et teneant ipsum duo ministri etiam, ut non remoueatur apud extensionem.	But if the dislocation does not yield to the reduction, then apply strong, forceful traction; two assistants should extend the arm, while two others hold him in place so he does not move during the extension.
Deinde reuoluatur brachium ad omnem partem postquam inuoluitur super manum eius pannus duplicatus longus, aut ligamentum latum.	Then the arm is rotated in every direction, after a long folded cloth or wide bandage is wrapped over his hand.
Et quando tangit medicus manu sua iuncturam, inungat ipsam cum oleo: ut sit illud ex eis quae adiuuant in lubricitate iuncturae cum facilitate.	And when the physician touches the joint with his hand, he should anoint it with oil, as this aids in the lubrication of the joint, making it easier.
Deinde impellat iuncturam impulsione uehementi, donec redeat.	Then he presses the joint with strong force until it returns.
Et post reductionem eius oportet, ut ponatur super ipsam emplastrum, in quo sit stipticitas, et exiccatio cum albugine oui: et stringatur strictura decenti.	And after its reduction, it is necessary to apply a plaster to it, containing astringency and drying agents with egg white, and bind it with an appropriate bandage.
Et suspendatur brachium a collo infirmi: et dimitte diebus aliquot.	And suspend the arm from the patient's neck, and leave it for several days.
Deinde soluatur.	Then loosen it.
Si ergo firmatur iunctura in loco suo, tunc solue ligamentum ab ea, et dimitte ipsam.	If the joint is thus stabilized in its place, then release the bandage from it and leave it.
Et si uides iuncturam non bene stringi, tunc itera emplastrum, et ligamentum, et dimitte ipsam diebus aliquot, donec stringatur.	And if you see that the joint is not properly tightened, then repeat the plaster and bandage, and leave it for several days until it is secure.
Deinde solue ipsam.	Then release it.
Si autem accidit ei grauitas post reductionem iuncturae, et dispositio sit in motu: tunc administra humectationem in balneatione, et fricationem subtilem, et compressionem, donec liniatur, aut pone super iuncturam iliati, id est, natem arietis pinguem.	But if heaviness occurs after the joint reduction and there is stiffness in movement, then apply moistening in the bath, gentle rubbing, and compression until it is softened, or place the fat of a ram’s buttock over the joint.
Deinde ligetur, et dimitte ipsam super eam die et nocte.	Then bind it and leave it on there for a day and a night.
Deinde aufer eam, et intromitte ipsum in balneum.	Then remove it, and immerse him in the bath.
Cum ergo sudat, tunc frica iuncturam fricatione temperata.	When he begins to sweat, then rub the joint with moderate friction.
Deinde itera super ipsam aleliati uice una, et secunda, et tertia cum introitu balnei, donec leniatur.	Then apply the fat to it again, once, twice, and a third time with each bath entry until it is softened.
Et si uis, pone super ipsam stercus uaccinum, humidum, calefactum cum butyro, et stringe super ipsum.	And if you wish, place fresh cow dung, heated with butter, over it and bind it.
Fac illud aliquotiens.	Do this a few times.
Ipsa namque lenitur, et redit ad dispositionem suam.	For it will then be softened, and return to its natural state.
¶ De curatione dislocationis Almahassem.	On the treatment of the dislocation of the wrist.
Caput XXIX.	Chapter 29.
Mahassem manus multotiens dislocatur, id est, iunctura quae est inter brachium et manum.	The wrist is often dislocated, that is, the joint between the arm and the hand.
Et reductio dislocationis eius est facilis.	And the reduction of its dislocation is easy.
Econtrario reliquarum iuncturarum.	Unlike other joints.
Verumtamen oportet, ut uelocitas sit in reductione dislocationis eius in hora in qua dislocatur, antequam apostemetur locus: aut accidat in eo apostema calidum.	However, speed is necessary in the reduction of its dislocation at the hour it becomes dislocated, before the area swells or a warm swelling occurs there.
Et reductio dislocationis in eo est, ut ponas Mahassem manus infirmae super tabulam, et extendat minister manum eius: et ponat medicus palmam suam super eminentiam iuncturae, et impellat eam, donec redeat.	And the reduction of the dislocation is achieved by placing the wrist of the injured hand on a table, with an assistant extending the hand; and the doctor places his palm over the prominence of the joint and pushes it until it returns to position.
Verumtamen oportet, ut consyderetur, si palma iam recessit ad uentrem manus: tunc ponat infirmus dorsum manus suae super tabulam apud extensionem et reductionem: et si dislocatio est procedens ad dorsum manus, tunc sit positio manus eius intrinsece super tabulam, id est, interior pars manus eius super tabulam ponatur, ut cadat manus medici super ipsam eminentiam iuncturae.	However, it must be observed if the palm has already shifted toward the inner side of the hand: in that case, the patient places the back of his hand on the table during the extension and reduction; and if the dislocation moves toward the back of the hand, then the hand is placed with its inner side on the table, so that the doctor's hand falls on the prominence of the joint.
Si ergo redit statim, bonum est: et si non, tunc stringe eam cum emplastro sedante apostema: et dimitte ipsum, neque iteres illud.	If it immediately returns, this is good; if not, then bind it with a plaster that soothes swelling, and leave it without repeating the process.
Nam si non tolerat, neque potes super reductionem eius, postquam praetereunt ei dies, uerumtamen iunctura remanet secundum tortuositatem suam: et non nocet infirmo aliquid, nisi quod mollificatur manus, et non potest stringere aliquid: tunc scias, quod nerui sunt abscissi, aut attriti.	For if it cannot tolerate it, and you cannot complete the reduction after several days have passed, the joint will remain twisted; it does not harm the patient except that the hand becomes weak and cannot grip anything. Then you know that the nerves are severed or damaged.
Non est ergo ingenium in ea, nisi ut stringatur cum cauterio prope casum eius.	There is thus no treatment except to cauterize it near the affected area.
Et fortasse non confert illud aliquid.	And perhaps this will not help at all.
Cum ergo non redit Almahassem, tunc pone super ipsum emplastrum, quod narrauimus.	Therefore, if the wrist does not return, then place upon it the plaster we have described.
Deinde stringatur, et dimittatur quinque diebus: postea soluatur et dimittatur, et exercitetur manus.	Then bind it, and leave it for five days; afterward, unbind it and leave it, and exercise the hand.
Si autem priuatur motus eius, et accidat in ea aliquid grauitatis: tunc leni eam cum aqua calefacta, et fricatione aliquotiens, donec leniatur.	If, however, it is deprived of motion, and any heaviness occurs in it, then soften it with warm water and rub it occasionally until it softens.
¶ De curatione dislocationis Digitorum.	On the treatment of the dislocation of the fingers.
Caput XXX.	Chapter 30.
Quando dislocatur ex eis Digitus ad omnem partem, uel ex eis Digitus ad dorsum palmae, aut uentrem eius: tunc extende Digitum, et impelle dislocationem pollicibus tuis, donec redeat.	When one of the fingers is dislocated in any direction, or one of the fingers toward the back or the inner side of the hand, then extend the finger and push the dislocation with your thumbs until it returns.
Deinde sustenta caput Digiti, et suspende ipsum uersus partem ad quam dislocatur, et dimitte ipsum duobus diebus.	Then support the head of the finger, suspend it toward the side to which it was dislocated, and leave it for two days.
Deinde suspende eum, et extende ipsum, donec aequetur rectus in illo die suo.	Then suspend it, and extend it until it aligns straight on that day.
Cum ergo fuerit nox, liga ipsum secundum narrationem ipsam: et non cesses soluere ipsum in die: et exerce eum cum motu: et liga ipsum in nocte.	Then at night, bind it according to the instructions; during the day, keep unbinding it, exercise it with movement, and bind it at night.
Fac illud diebus aliquot, donec stringatur.	Do this for several days until it becomes firm.
Et similiter fac cum eo, si dislocatur ad uentrem manus: et liga eum ad partem ipsam, et fac cum eo operationem tuam primam, donec sanetur.	Similarly, if it dislocates toward the inner side of the hand, bind it toward that side, and perform the initial procedure until it heals.
Et similiter fac cum eo quando dislocatur ad reliquas partes.	And do likewise when it is dislocated toward other parts.
¶ De curatione dislocationis Spondilium dorsi.	On the treatment of dislocation of the vertebrae of the back.
Caput XXXI.	Chapter 31.
Quando accidit alicui Spondilium dorsi, aut colli dislocatio completa, aut remouentur Spondiles multae a locis suis: tunc non est in ea curatio, quoniam mors properat infirmo.	When someone experiences a complete dislocation of the vertebrae of the back or neck, or if many vertebrae are displaced from their places, then there is no treatment, as death quickly approaches the patient.
Et signum illius est, quod egestio infirmi egreditur absque uoluntate, neque potest tenere eam: et multotiens mollificantur ex eo quaedam membra eius, aut duo crura eius, aut duo brachia ipsius, aut unum eorum: aut remouetur Spondilis una de loco suo.	A sign of this is that the patient’s stool passes involuntarily, and they cannot control it; often, certain limbs are weakened as a result, or both of their legs, or both of their arms, or one of these; or a single vertebra is displaced from its place.
Multotiens enim remouetur, quod multotiens fit remotio earum ad quatuor partes.	Often it is displaced, and displacement frequently occurs in four directions.
Illa ergo quae remouetur ad posteriora, nominatur Gibbositas.	Thus, that which is displaced backward is called a hump.
Curatio uero eius est, ut consyderes tunc, si Gibbositas accidit a puericia: tunc non est in ea curatio, neque ex ea est sanatio omnino.	The treatment for this is to consider, if the hump appeared in childhood, then there is no cure, and no recovery is possible at all.
In illa autem quae accidit a casu, aut percussione, aut similibus illis, iam dixerunt antiqui modos curationis sermone prolixo.	But in cases that occur due to an accident, blow, or similar causes, the ancients have already described lengthy methods of treatment.
Cuius plurimum non redit cum proficuo.	Most often, this does not return with success.
Ego uero iam abbreuiaui ex illo, cuius parum excusat a multo eius ex propinquitate mea ad intentionem: et expositione mea qua exposui illud, et formaui instrumentum eius diuerso modo ab eo quo ostenderunt illud, et exposuerunt ipsum.	However, I have now shortened that, whose small portion excuses much of it due to my closeness to the aim; and in my explanation in which I set it forth, I have crafted its instrument differently from the way they presented and explained it.
Dico ergo, quod in gibbositate quae accidit ab anteriori parte, non est ingenium, neque sanatio ex ea.	Thus, I say that in a hump which occurs at the front, there is no treatment or recovery from it.
Et similiter in illa quae fit ad duo latera etiam.	And likewise, for one that occurs on both sides as well.
Et non curatur ex eis, nisi illa quae accidit in dorso proprie, cum eo quod ego narro: et est, ut extendatur infirmus super faciem suam super podium aequale prope parietem: et expandatur sub eo stramentum humidum, ut non laedatur pectus eius.	Of these, only the one occurring on the back itself can be treated by the method I describe: the patient is stretched face down on a level platform near a wall, with damp padding spread beneath him, so his chest is not injured.
Deinde ponatur lignum rectum fixum in fouea in terra, in extremitate podii, circiter caput eius: et lignum aliud circiter pedes eius in extremitate altera podii: et minister teneat lignum, et sit non firmatum in fouea.	Then place a straight piece of wood fixed in a hole in the ground at the end of the platform near his head, and another piece near his feet at the other end of the platform, with an assistant holding the wood without fixing it in the hole.
Et minister alter teneat alterum.	And another assistant holds the other.
Deinde inuolue super caput infirmi, et sub titillicis eius ligamentum lene, firmum: et extende extremitatem ligamenti ad lignum quod est apud caput eius: et liga ipsum in eo.	Then wrap a soft, strong bandage over the patient's head and under his chin; extend the end of the bandage to the wood near his head and tie it there.
Deinde stringe ligamentum aliud supra anchas eius, et supra genua ipsius, et apud cauillas eius.	Then fasten another bandage above his hips, above his knees, and at his ankles.
Deinde aggrega ligamenta omnia, et liga ea in ligno altero quod est apud pedes eius.	Then gather all the bandages and tie them to the other piece of wood near his feet.
Deinde extendat omnis minister ad partem ligni ligamentum, et non remoueantur duo ligna ex locis suis in quibus sunt fixa: uerumtamen non sint firmata, sicut diximus.	Then let each assistant pull their respective bandages toward the wood, and the two pieces of wood should not move from their places where they are set, although they should not be fixed, as we mentioned.
Et medicus ponat palmas suas super Spondilem cum fortitudine, donec redeat: aut ponat super eam tabulam.	And the physician should place his palms on the vertebra with strength until it returns, or place a board on it.
Deinde annectat super tabulam pedes suos, donec redeat.	Then he should press down on the board with his feet until it returns.
Si autem non redit per hanc curationem, tunc accipe tabulam cuius longitudo sit circiter tria brachia.	If it does not return with this treatment, then take a board about three arm-lengths long.
Et caua in pariete de quo diximus quod est prope infirmum, locum in quem ingrediatur extremitas tabulae.	And carve a spot in the wall, which we mentioned is near the patient, for the end of the board to fit into.
Deinde pone medium tabulae super Spondilem.	Then place the middle of the board over the vertebra.
Et ponat pedes suos medicus super extremitatem alteram.	And the physician places his feet on the other end.
Et stringat bene, donec coartetur Spondilis, et redeat ad locum suum.	And press firmly until the vertebra is compressed and returns to its place.
Deinde si uis, operare cum torno quod inuoluitur cum manu tua: et est, ut figas in terram apud caput infirmi in postremo podii duo ligna, quorum longitudo sit brachii unius: et apud caput eius in postremo podii duo ligna.	Then, if you wish, work with a winch that turns by hand: and set two pieces of wood in the ground near the patient's head at the end of the platform, each one arm-length tall; and place two pieces near his head at the end of the platform.
Et sit longitudo quae est inter omne lignum palmus unus: et iam factum est in omni loco foramen, in quo currit tornum: et firmetur lignum omne in terra multum, ne moueatur omnino.	And let the distance between each piece of wood be one palm; and a hole has been made in each place, through which the winch operates; each piece of wood should be firmly fixed in the ground so that it does not move at all.
Et intromittatur lignum rotundum: et est tornum in quo reuoluitur ligamentum in duobus foraminibus duorum lignorum.	Then insert a round rod; it is the winch on which the bandage is wound through the two holes in the two pieces of wood.
Et in extremitate eius est foramen, in quo firmatur lignum, cuius longitudo est palmus cum eo quod reuoluitur: et in duobus lignis aliis est similiter illius.	And at its end is a hole in which a piece of wood is fixed, one palm-length, and likewise in the other two pieces of wood.
Deinde stringe ligamenta quae strinxisti in pectore infirmi torno quod est apud caput eius: et ligamenta quae strinxisti in cruribus eius in torno quod est apud pedes eius.	Then tighten the bandages you fastened on the patient’s chest with the winch located near his head, and the bandages on his legs with the winch near his feet.
Deinde stet apud omne tornum minister, qui torqueat manum suam cum licinio, cum quo reuoluitur tornum: et medicus aequet Spondilem, secundum quod diximus.	Then let an assistant stand by each winch, turning it with the handle that rotates the winch, while the physician aligns the vertebra, as we have described.
Haec est forma torni, quae sequitur.	This is the structure of the winch, as follows.
Deinde postquam redit Spondilis, et aequatur locus, tunc oportet, ut ponas emplastrum exiccatiuum cum albumine oui.	Then, after the vertebra returns to place and the area is aligned, apply a drying plaster with egg white.
Deinde stuppam.	Then apply wool.
Postea pone supra emplastrum astellam ex tabula, cuius latitudo sit trium digitorum, aut circiter eos.	Afterward, place a splint of wood on top of the plaster, about three fingers in width, or around that.
Et longitudo eius quantitas quae capiat locum Gibbositatis, et super partem Spondilis sanae.	Its length should cover the area of the hump and extend over the healthy part of the vertebra.
Deinde ligetur cum ligamento quod diximus.	Then fasten it with the bandage we mentioned.
Et utatur infirmus nutrimento subtili, donec sanetur.	And let the patient consume a light diet until he is healed.
Quod si remaneat quiddam eminentiae in loco in fine sanationis: tunc oportet, ut administrentur medicinae quae mollificant, et leniunt, cum administratione tabulae quam narrauimus tempore longo.	If some prominence remains in the area at the end of healing, then softening and soothing medicines should be applied, along with the use of the board we described, for an extended period.
Et iam administratur in illo lamina plumbi.	At this point, a lead sheet is applied there.
Et quandoque accidit eminentia in postremo Spondilium dorsi: et putatur per eam dislocatio, et est illud os quod iam eminet.	Sometimes a prominence occurs at the back of the vertebrae of the spine, and it is thought to be a dislocation, but it is actually just a bone that now protrudes.
Quare non oportet, ut praesumptio fiat ei cum hac medicina: fortasse enim accidere faciet mortem.	Therefore, treatment should not be attempted with this remedy, as it may cause death.
¶ De curatione Anchae dislocatae.	On the treatment of a dislocated hip.
Caput XXXII.	Chapter 32.
Scias, quod iuncturae Anchae, et iuncturae humeri, non accidit, nisi dislocatio tantum: neque accidit eis quod accidit reliquis iuncturis ex remotione parua, et concauitate.	Know that in the joints of the hip and the shoulder, only dislocation occurs; they are not subject to the minor displacements and depressions that happen in other joints.
Et iunctura quidem Anchae dislocatur secundum quatuor partes.	And the hip joint can be dislocated in four directions.
Quod est, quia dislocatur ad anteriora, et ad posteriora.	That is, it may be dislocated forward and backward.
Et plurimum quidem dislocatur ad interiora: et parum dislocatur ad anteriora, et ad posteriora.	Most frequently, it dislocates inward; and it rarely dislocates forward or backward.
Et curatio dislocationis eius ad interiora, est: quia quando tu coniungis crus infirmi sanum cum infirmo, est longius: et est genu eius eminens plus quam sani, et non potest infirmus duplicare pedem suum apud inguen: et est locus qui sequitur inguen apostematus apostemate calido, propterea, quod caput coxae iam peruenit illic.	The treatment for an inward dislocation is this: when you place the patient's healthy leg together with the affected one, it appears longer, and the knee protrudes more than that of the healthy leg. The patient cannot bend his foot near the groin, and the area near the groin is swollen with a hot abscess because the head of the hip has already reached there.
Et signum eius cui accidit dislocatio ad exteriora est, quod sunt accidentia eius contraria istis accidentibus.	The sign of an outward dislocation is that its symptoms are the opposite of these.
Et signum eius cui accidit dislocatio ad anteriora, est, quia expandit crus sanum secundum complementum: uerumtamen non duplicat ipsum absque dolore qui est in genu: et si conatur ad ambulandum, non potest super illud ad anteriora: et retinetur urina eius, et apostematur inguen eius, et apud ambulationem est calcatio eius super calcaneum.	The sign of a forward dislocation is that the patient extends his healthy leg completely; however, he cannot bend it without pain in the knee. If he tries to walk, he cannot step forward on it; he retains urine, his groin is swollen, and while walking, he steps on his heel.
Et signum eius cui accidit dislocatio ad posteriora est, ut non expandat genu, neque possit duplicare ipsum antequam duplicet inguen: et est crus eius etiam breuius altero: et inguen est mollificatum, et est caput coxae apud locum ilii.	The sign of a backward dislocation is that he cannot extend the knee, nor bend it before bending the groin. His leg is also shorter than the other, the groin is softened, and the head of the hip is near the place of the hip bone.
Reductio uero huius dislocationis specierum est, ut consyderes tunc, si dislocatio est uetusta, quae iam antiquatur cum habente ipsam.	The reduction of each type of dislocation is to be considered if the dislocation is old and has become chronic in the patient.
Deinde si tu administres reductionem eius, et remanet secundum dispositionem suam: tunc non est in ea curatio omnino.	Then if you attempt the reduction and it stays in place, it is not in need of further treatment.
Non ergo oportet, ut praesumptio fiat ei penitus.	Therefore, it should not be presumed to require treatment at all.
In illo autem cuius dislocatio est recens, et est ex una specierum quatuor dislocationis: tunc propera ad hoc, ut uoluas iuncturam, et extendas ipsam ad interiora et ad exteriora, et moueas eam dextra et sinistra: fortasse enim redit, et non indiget alia cura.	In the case of a recent dislocation of one of the four types, proceed by rotating the joint, extending it inward and outward, and moving it right and left; it may return to place and need no further treatment.
Si autem non redit hoc modo, tunc oportet, ut praepares ministrum fortem, et extendat crus eius ab inferiori parte: aut cum manibus suis, aut cum ligamento, quod ligetur super crus eius supra genu: et minister alius extendat manum eius desuper, ita ut intromittat manus suas sub titillicis eius.	If it does not return in this way, then a strong assistant should be prepared to extend the patient's leg from below, either with his hands or with a band placed above the knee on his leg. Another assistant should extend the arm from above, inserting his hands under the patient's armpits.
Deinde stringat cum ligamento leni super radicem coxae, et teneat extremitatem ligamenti alterius.	Then he should tighten a soft band over the base of the hip and hold the other end of the band.
Et sit extensio eius aut ab anteriori parte inguinis ad partem furculae, aut a posteriori ad partem dorsi.	The extension should be either from the front part of the groin to the upper chest or from the back to the spine.
Et sit extensio eorum omnium uice una, donec eleuetur infirmus cum corpore suo a terra, et remaneat pendens.	All extensions should happen at once until the patient is lifted from the ground with his body hanging.
Et haec enim species extensionis est species communis specierum quatuor.	This type of extension is the general method for all four types.
Si ergo redit dislocatio cum eo quod diximus, est bonum: et si non, tunc necesse est omni speciei illud quod dicam de curatione propria.	If the dislocation returns in the manner described, it is good; if not, then each type will need its own specific treatment, as I will now explain.
In reductione quidem eius propria quando dislocatio est ad interiora, oportet, ut resupinetur infirmus super latus suum sanum.	In the specific reduction for an inward dislocation, the patient should lie on his healthy side.
Deinde ponat ligamentum super radicem coxae, in eo quod est inter caput coxae, et locum qui est sub inguine.	Then place a band over the base of the hip, between the head of the hip and the place under the groin.
Deinde extende ligamentum ad sursum a parte inguinis ad altiorem partem corporis, ad partem furculae.	Then extend the band upward from the groin area to the upper part of the body, toward the chest.
Deinde accipiat minister alius fortis brachia eius, et minuat locum grossum coxae infirmae, et extendat ad exteriora extensione uehementi.	Next, another strong assistant should take hold of his arms and press the thick area of the affected hip, extending it forcefully outward.
Iam enim redit ad locum suum.	For now, it returns to its place.
Et haec species est facilioris reliquis speciebus curationis, qua reducitur hoc membrum.	And this method is the easiest of the other types of treatments for returning this limb to its place.
Si autem excusatur super te, et non obedit tibi ad introitum cum hac specie curationis omnino: tunc oportet, ut ligentur duo pedes infirmi simul cum ligamento forti, leni, super duos calcaneos, et super duo genua: et sit longitudo cuiusque a compare suo quantitatis quatuor digitorum: et sit crus infirmum extensum plus altero quantitate duorum digitorum.	But if it resists you and does not yield in this way of treatment at all, then the patient's two feet must be bound together with a strong, soft band over both heels and both knees; each should be separated from the other by a length of four fingers, and the affected leg should be extended two fingers' length longer than the other.
Deinde suspendatur infirmus super caput ligni, quod sit in domo: et sit longitudo eius a terra quantitas duorum brachiorum.	Then suspend the patient over the top of a beam that is within the house, at a height of about two arm-lengths from the ground.
Deinde praecipe iuueni forti, ut muniat caput coxae: et suspendatur cum infirmo inuenis alius: et impellat iuuenis alius, muniens coxam cum fortitudine, nam iunctura redit ad locum suum cum uelocitate.	Then instruct a strong young man to support the head of the hip; another youth should be suspended with the patient, and another youth should push, pressing the hip with strength, for the joint returns to its place quickly.
In reditione autem eius propria, quando est dislocatio ad exteriora, oportet, ut iaceat infirmus super podium, secundum quod narrauimus in habente gibbositatem.	For its specific reduction when the dislocation is outward, the patient should lie on a platform, as we described for someone with a hunch.
Et stringatur ligamentum super crus eius, infirmum proprie, et super pectus eius.	And let a band be bound over his affected leg and across his chest.
Deinde ponantur duo ligna, unum apud pedes eius, et alterum apud caput ipsius.	Then place two pieces of wood, one by his feet and the other by his head.
Deinde ponatur lignum additum in medio podii, fixum bene: super quod inuoluti sint panni humidi, ut non laedat infirmum: et sit lignum inter coxas eius, ut non attrahatur ad inferiora apud extensionem.	Then place an additional wooden piece securely fixed in the middle of the platform, over which wet cloths are wrapped so it does not harm the patient; and place the wood between his thighs so that he is not pulled downward during the extension.
Deinde extendat omnis minister ad partem suam, et medicus aequet reductionem manu sua.	Then let each assistant extend in their respective direction, and the physician aligns the reduction with his hand.
Si ergo obedit ad reuersionem, erit bonum.	If it responds to the reduction, that will be good.
Et si non, pone super ipsam tabulam, et preme ipsam, sicut diximus in gibbositate, aequaliter.	And if not, place him on the board and press it, as we described for a hunch, evenly.
Verumtamen oportet, ut iaceat infirmus super latus suum sanum.	However, the patient should lie on his healthy side.
Et quando dislocatio est ad anteriora, tunc oportet, ut extendatur crus infirmi uelociter: et est secundum hanc eandem narrationem super podium: et ponat medicus palmam manus suae dextrae super inguen infirmum.	And when the dislocation is forward, the patient’s leg should be quickly extended; this follows the same procedure on the platform: and the physician places his right palm over the affected groin.
Deinde coartet ipsum cum manu altera, et cum illa coartatione pone ipsum extensum ad inferiora ad partem genu.	Then, with the other hand, compress it, and with that compression, push it downwards toward the knee.
Et si dislocatio est ad posteriora: tunc non oportet, ut extendatur infirmus ad inferiora, et sit eleuatus super terram: imo oportet, ut sit positus super rem duram, sicut oportet, ut fit etiam si dislocatur ancha eius ad exteriora, secundum illud quod diximus de accubitu eius super duas anchas: et est super faciem eius, et ligamenta extensa: secundum quod diximus nuper.	And if the dislocation is backward, then the patient should not be extended downward, but instead lifted above the ground. In this case, he should be placed on a hard surface, as should also be done if his hip dislocates outward, according to what we described about his lying on both hips: he lies face down, with the bands extended, as we recently described.
Et oportet, ut administretur compressio cum tabula etiam super locum ad quem egreditur iunctura, cum completur reductio secundum quod oportet.	And it is necessary to apply compression with a board over the area where the joint is displaced, once the reduction is completed as it should be.
Et signum reditionis eius non occultatur tibi: et est, ut extendas duo crura infirmi: et quando uides ea aequalia, et infirmus stringit crus suum, et expandit ipsum absque excusatione: tunc scias, quia iam redit membrum, secundum quod oportet: tunc coniunge duas coxas, et pone emplastrum, et stringe cum imemati, id est, rota: ita, ut non moueatur ancha ad aliquam partium: et adhaereat infirmus quieti tribus diebus, aut quatuor.	The sign that it has returned will not escape you: it is when you extend both of the patient’s legs and observe them to be equal, and the patient moves his leg and extends it without difficulty. Then you will know that the limb has returned as it should. Then join the two hips, apply a plaster, and secure it with a support, called a "wheel," so that the hip does not move in any direction. The patient should remain at rest for three or four days.
Deinde solue ligamentum, et emplastrum, et compara crus cum altero: tunc si uides ea aequalia in statu, tunc scias, quod dislocatio iam firmata est: absolue ergo infirmum ad ambulandum.	Then loosen the band and the plaster, and compare the leg with the other; if you see them equal in position, then you will know that the dislocation has been fixed: release the patient to walk.
Et si uides aliquid mollificationis: tunc redi, et emplastra illud, et stringe illud secundum stricturam tuam primam: et dimitte illud etiam tribus diebus.	And if you observe any softening, then go back, apply the plaster again, and bind it with the same tightness as before, and leave it again for three days.
Deinde solue illud et fac ipsum tardare in ambulatione super utrumque aliquot diebus, donec confortetur bene.	Then loosen it and have him walk slowly on both legs for a few days until he regains full strength.
¶ De dislocationis Genu.	On the Dislocation of the Knee.
Caput XXXIII.	Chapter 33.
Genu dislocatur secundum tres modos.	The knee is dislocated in three ways.
Dislocatur ad exteriora, ad interiora, et ad inferiora, scilicet ad posteriora.	It dislocates outward, inward, and downward, specifically backward.
Et non dislocatur ad anteriora.	And it does not dislocate forward.
Et signum dislocationis eius, est, ut praecipias infirmo, ut applicet crus suum ad coxam suam.	The sign of its dislocation is that you instruct the patient to bring his leg toward his hip.
Si autem non adhaeret cum coxa: tunc scias, quod Genu est dislocatum.	If it does not adhere to the hip, then know that the knee is dislocated.
Et restauratio omnium modorum dislocationis eius est, ut facias sedere infirmum rectum, ita ut iam extendat crus suum si potest super illud, et adhaeret dorsum tuum ad faciem eius: et pone pedem eius inter pedes tuos.	The method of restoring all types of its dislocation is to have the patient sit upright so that he can extend his leg over it if he can, and press your back against his face, placing his foot between your feet.
Deinde adhaerere fac Genu eius cum palmis tuis, et recta eas inter digitos tuos super Genu eius.	Then clasp his knee with your palms and straighten them between your fingers over his knee.
