Ayssi comensan las paraulas de Albucasim .	Ayssi begins speaking (or announcing) with them/themselves/their words related to Albuccas.
E amdos las specias no comensan sino del lacrimal major entro que va petit a petit que cobre la vista e prohibeys le lum e·l movement de huel.	And both spices do not enter but from the greater tear within that gradually covers the sight and prevents light and eye movement.
Mays la manieyra del obrar en la inscizio de lu es que·l malaute pause le sieu cap en le tieu se, e aprop obre les huels de lu, e eleva la palpebra am la tua ma, e aprop colligeys la ungla am onci de pauca duplicacio e exten aquela a las partidas desus.	Mighty is the action in his eyes that makes the humors stop their flow at the head'thy mouth and oversees them, raising your hand to hold onto one lancet for each eyeful of pus taken out twice per dose from a single pair; extend this tool towards those upper regions beyond.
E aprop pren una agula e entromet en aquela un pel de cavalh o de buou o de vaqua, o de semblantz, o de fiel fort, o duplica la extremitat de la agulha petit a petit e fica aquela en le mieg de la ungla, e penetra aquela am la agulha, e lia am fiel la ungla; e exten aquela a las partidas desus, e excorja am le pel le latz de la ungla lo qual siec la pupilla.	Here comes the translation:
E ayssi tu sieguas aquela am le pel entro al derier de lu.	And when you lift that leg up within yourself (or raise it), here is what happens in translation line by line:
E aprop tu inscideys le romanent en la razitz del lacrimal am spatum subtil o am petitas forfexs, e leysa la carn del lacrimal natural per so que per inscizio de aquela no endevengua fluxs de lagremas continuabla.	Here comes the first source sentence to translate:
E alscunas vetz la ungla am le sol onci estenduda o am fiel, ayssi co havem dit, e aprop sia excurjat am spatum leon del qual aquesta es la forma de lu:	And in some cases the joint may be extended or fixed by this thing: and it is pushed out from the shoulder blade of which this is its form.
E guarda te que am le spatum no toques la tunica cornea e que avengua en lu ruptura, e que la pupilla sia perforada.	E safeguard yourself so that you do not touch the transparent skin and cause it further breakage; ensure that the pupil is pierced through.
Aprop la inscizio geta en le huel un pauc de sal trissa o di cief fayt de siniar, e leyssa aquel entro al autre dia; e aprop cura aquel am aquo que cove entro que sia sanat.	Put salt or quick-firing charcoal in the foot's sole and let it stay there for another day; take care that what goes inside is healed.
E si la ungla no es nervoza e no podes metre la agulha, ni es ficada en aquela le onci, lahoras motas veguadas aquesta specia de ungla es curada am medicinas, e es sanada ayssi cum yeu e recomtat en la divisio.	If the bloodletting needle is not sharp and you cannot insert it into that vein, nor has been fixed in place there, then regular this kind of bleeding tool will be cured by medicine, and healed when taken as directed within each division (or course).
E si tu vols inscindir aquela, lahoras tu obre le huel del malaute e pren spatum subtil leon de freul acuitat segon aquesta forma:	If you wish to separate that part of the malady (the humoral imbalance affecting a specific joint or area), then use the tool sharply, like a delicate lion' extruded from bellows.
am subtilitat.	am delicacy.
E si vezes que aquela es rarificada e es confugida e empren en aquela razit, lahoras distilla de la tua ora en le huel de cief fayt de siniar o am cief rog o am sal trissat, e opila le huel entro a l’autre dia.	If that which is rare and confined suddenly begins to move within it, take the warmth of your hour from sinister night or morning twilight (dawn), pour into its cavity today.
E aprop itera sobre aquela la operacio entro que sia remaugut tot aquo que es de lu, sino que·l contrari apostema caut sia en le huel, quar lahoras tu leyssa aquela, e cura al comensament la apostema entro que sia sanat.	Here is the line by line translation of the medieval medical treatise:
E aprop itera la tua operacio sobre aquela am razo entro que sia sanat.	Once you have completed your operation within which healing occurs, then continue with that action on said reason/cause for recovery.
La emenencia de la carn lacrimal, si notz en le huel per gran nocument, sia suspendut am onci; e inscideys aquela de aquela una partida, e no ultimes la inscizio per so que no inscidesqua fluxs de lagremas.	The semen of the tear gland, if present in large quantities herein, is suspended for an hour; and examine that portion examined without causing a flowback of humors.
E aprop distilla en le lacrimal cief rog e fayt de siniar entro que sia sanat.	Return tears in the teary eye and apply salve internally so that it heals within there.
Capitol .xvii.	The given line appears incomplete or possibly incorrectly transcribed as it only includes "Capitol
De inscizio de alguazardenic e de aquo que es nascut de carn ajustada en le huel.	Based on the fragment provided and understanding that this is likely to be from an old or medieval medical context, it appears we are dealing with descriptions related to bodily humors (as was commonly believed in pre-modern medicine), dietary considerations for health, and perhaps a specific illness
Alcunas veguadas en les huels de alcus es nascuda carn roga, e es sobre-pausada entro que cobre la pupilla, o apropinqua o estrenh sobre las palpebras e fort leu comprem las palpebras a las partidas deforo e es assemblada a roza de balaustra.	This line seems to discuss the excessive intake of certain meats that are red, and how it may affect one's pupils or necessitate an intervention with blinking motions over the lids (and possibly some form of application related therapy using elements like "balaustra," which could mean a decorative element in architecture but here might be metapthyically referring to something used for treatment). The text implies that there is too much red meat, and it can lead to physical symptoms such as affecting the pupils. Further intervention may involve blinking or possibly using an alternative remedy involving elements of balustrade-like structures (perhaps a symbolic gesture towards some form of protective barrier for health).
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	Might the operation be that the swelling in his thigh subsides at the waist; and with the oils of that person, collect all the cut flesh conveniently for it, using either a forceps or tweezers; and bind the meat together until you have finished everything within your power. 
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	Here comes the first sentence to translate: Either your knowledge is in that which you insert therein within the ulcer of the tongue, or it pertains to small forks with which one collects secretions as they come forth from our guidance here at this place.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	So when your understanding and the body is cleansed entirely of flesh, then fill up the wound with salt paste or drippings from crushed herbs and similars used in corrosive medicines; pause over it above a layer of albumen to securely bandage for abscess treatment. 
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	If any cause of inflammation and swelling occurs, apply heat cautery immediately, fearing ulcer development; treat that which yields to treatment with the same applied healing agent while performing this intervention until it is cured, so that even in the corrected flesh you will find relief.
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	Even if you remove the entire cure of hernia through natural means or accidental ways using iron tools, do not insert your hand into any part of these operations while observing that this body member is suffering from it.
Capitol .xviii.	In order to provide an accurate translation of "Capitol .xviii." as
De colleccio de sabel en le huel.	The phrase "Colleccio de sabel en le huel" translates into English as: Collection of salt in the
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	The translation provided here appears to attempt a rendering of the original Latin-influenced text into modern English; however, it's essential to clarify that this phrase seems semantically and grammatically unusual or potentially incorrect as written:
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	So it is necessary for the treatment that you must consider whether he has strength here and not any other illness in him; then collect that which belongs to him.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	When you command the malady to pause its head at the belly button and place your hand over those veins, according to your discretion. And that inch or two of these vessels should be very finely doubled as per this method:
o so dos oncis gradantment en un cos segon aquesta forma:	o such that in this way they are cutting into a limb (or body part):
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	Here is the line by line translation:
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	And beware that you do not touch the humors in the extremities of the spine; and if your operation takes place during daylight, ensure that nothing is inserted except those veins.
E quan tu auras complitz, lahoras tu distilla en le huel cief vert o rog per que am sa acuitat corrodesca aquo que es remaugut del sabel.	When you have completed the procedure, then draw it out into the head cool or hot water for so that your condition becomes strengthened by what has been drained from within.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	May it not be within your power to collect all of this at once, and if so, then apply the fluid that exudes from him for as many days as necessary until his pain is numbed and he has been secured with an application of cautery.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	When you repeat over him as his mother' extricates that he is cured,
E aquesta es la forma de las forfexs:	This is how they are called:
Capitol .xix.	Capitol .xix. (The provided text does not give enough context
De reduccio de arizati al nas.	To reduce swelling by applying pressure." Here, the translator has converted an imperative Latin phrase into English that
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	When you treat burns acutely as described and not healed yet, they are in no way cured here but rather divided over the ulceration to be matured; remove completely all the moisture where it is trapped inside so that bone may emerge." This translation attempts to convey a complex medical procedure from medieval Latin into modern English. Here's an attempt at translating each segment:
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	And when you discover the bone and it is in decay or ruin, then this becomes its form of a support for which these are.
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	It is hard in nature, and its iron-like substance can be drawn out by fine points such as a file or finely ground flint. It may come back to the head with drawing it out through small punctures using these tools (as you will follow herewith).
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	When the cautery is placed on the site where bone has been crushed, turn it between the thighs and gradually press your small hand inside until you know that this fracture (crushing) has become smooth.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	When there are some drops (indicating fluid loss), and restore the place as it pertains to drying out causes being expelled or stoppable here,
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	So that the place is consolidated and good flesh has been born there from illness and decay for forty days, without renewal of disease or puncturing it again, once you know this, you understand that healing has occurred.
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	If not, then the wound is in your body and must be reduced to its natural shape; according to this method: as soon as you find bones or sharp objects within it, take them by their form accordingly.
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	Its metal armor is three-sided and its shield'dictly compressed into the limb end with such frequency.
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	Here is the line by line translation into English:
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	Thus restores the place with dry, prescriptive medicines as soon as you take them to swallow.
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	Therefore when the flesh and place are in duress, at that time return what was flowing into parts to the groin, so put on bandages over there.
Capitol .xx.	The provided text appears as if it is from an old medical document in
De reduccio de la eminencia del huel.	This line translates into English roughly as follows: "Now reduction of the swelling." Here's a more detailed translation that attempts to
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	The line provided from the medieval medical treatise appears to be an instruction for managing swelling (emphysema) and pain of some kind related possibly to respiratoire or digestive issues, as inferred by context:
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	The translation of the medieval medical treatise line by line into English is as follows:
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	Return those who are between each other according to the quantity that they need.
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	When strength is applied to those hard and contracted bands, repeat the use of suction cups for scraping them out; apply the suction cups and massage with heat throughout the day and night.
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	If during ligament stretching it is softened, then that which causes pain will ease off.
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	Return or fasten the bandage today as we have discussed.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	If the swelling has already been reduced, then that is good; otherwise, repeat the plaster on the knee and joint stiffness using pills inside where it will heal.
Capitol .xxi.	Capitol .xxi.: This line appears to be referencing an item or
De la inscizio de la eminencia de la tunica uvea.	From the unenlightened state of the uveal tract (tonica uveia). Translation and interpretation: The phrase you've provided seems to be in Latin, which is a
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	When the disruption occurs in the uveal tract (tunica uveae), it becomes prominent and proceeds outwards like a grain of sand under an eye lid, with water flowing into its place; if you intervene now, position one needle at the junction point above where tears originate from within your eyes' structure. Here lies twofold purpose: to penetrate firstly through this lower double thread (possibly referring to a drainage pathway associated with tear production), and then seize upwards in the circuit of that same needle, tightening it therein; apply pressure atop where both threads converge.
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	Extract and apply pressure on the swolthy nodule, placing it over where humors are inundated with wine from gourd extracts; let them enter therein to be absorbed by its body (the patient's).
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	When care is provided for the sick with this water that comforts them inside,
E alcunas veguadas aduna de tota partida am cercle de drap entro le huel ajuste eminencia gran, e aprop sia perforat am le spatum subtil que vengua al preon del huel, e corra la humiditat albuginea, e descen le huel e intra tantost.	Here is the line by line translation:
E aprop strenh entro que sia sanat.	Return strength within so that it may heal.
Capitol .xxii.	In this translation attempt from an archaic medical text that blends elements of
De curacio de alconati.	The phrase "de curacio de alconati" in Latin can be translated into English
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This phrase translates to: "That illness, which is called waterlogging in the body's resemblance to being washed away and not that." In this context from medieval medical literature, it appears they were describing a condition similar to what modern medicine might refer to as edema or swelling due to fluid accumulation. The term 'alconati' indicates an understanding of excess water in the body affecting health ("malaut
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	This complex Latin medical phrase can be translated into English as follows: "It is the action of letting outward whereby a seeping humoral excess occurs on an applied device (likely referring to some form of diagnostic or therapeutic apparatus), and you should lay your hand upon its head, taking hold at those two extremities that show signs whenever illness comes near through these portals. You must dry it thoroughly with the hands left therein; do not let any moisture remain—let no water enter from outside (presumably into this device or area being addressed). Hereby you are to eliminate the external light, and thereby expel humoral excess as soon as possible once detected inside.
E si no descendra en jos, sapias que es aygua.	If it does not fall into its place (likely referring to a body part returning or descending as expected), you understand that there is water involved (possibly indicating fluid accumulation). Here
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	If it does not descend as directed, you understand that there is water involved; thus, take care to press gently and firmly on the spot where fluid accumulation has been detected above (inside) the cornea within the eye socket ('orbital cavity'), ensuring removal of the ailment. Hereby explained in English line by line:
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	Thus when you are taken out (presumably from bed), there will be a mixture of water and honey in the tailwater where you have already mixed honey or simply added honey, together with fenugreek that is being held by your hands.
E aprop sia curat am las autras causas entro que sia sanat.	Return is necessary for its treatment of other causes within which it has healed itself.
Capitol .xxii.	The provided text appears to be from an old medical treatise discussing conditions related
De la curacio de la aygua descendent del huel.	Based on the fragmented phrases and their similarity with languages such as Latin, Italian, Spanish, and French, it seems that we are dealing with an
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	The text provided appears to be from historical or medieval medical texts and includes terminology that suggests it is discussing the properties of water in division (possibly related to its purity) and conditions under which holes must be made, following health standards ("la sanetat"). Here's a possible translation:
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	And when you place a pillow between your legs on a mattress and hold the patient'thy chest with their spit (saliva), it becomes stricter/tighter in its positioning.
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	Here comes the first source sentence to translate: "Apply pressure above your left eye lid if that is where water (tears) come out; or apply it on top of your right cheek if that is there.
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	And take your right hand (if the humerus is on the left) or else your left hand (if the humerus is on the right), so that they hold it firmly in place.
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	Return the limb' extrémity as far from the crown as possible due to the heavy head of reason in their mind chamber and place your hand on it accordingly with virtue, ensuring control over yourself at that moment.
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	Return it into the abdomen's cavity, and feel that already has entered due to some cause.
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	Here comes the first source sentence to translate:
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	Here comes the first source sentence to translate:
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	And if rest is needed for one part (or limb), then when water descends, do not let that other period elapse before providing the necessary respite.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	So when it is secured and does not descend, then take out the softened part easily with your hand, twist that portion gently around itself a few times, and dissolve in water a small piece of clear crystal salt and place therein some lava from within the wound; furthermore, pause outside where the clot or stop is saturated with rose oil and albumen (egg white) mixed with alcohol.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	May those of our time take a break over that which has been washed on this sheet (album).
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	If you do not obey your master in the interior of the belly due to its hardness—for it is among men who are hard that this occurs (the form being as follows):
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	And then pierce that area of the joint pain with your instrument, and do not leave it in the wound site; rather direct a path towards an even more subtle location undernethyre.
E aprop entromet almagda segon que havem dit.	And then return (the intestine or hernia) back into its cavity; place your hand over it here, so that the intestine does not
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	And then praise the work of your bedroom furniture crafted with care to be a place where you can rest on top of it (your body), in this dark chamber, and that all movements are forbidden.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	And when his body' extrinsic fluid is at its proper balance, and it does not weaken the head to turn left or right in all directions.
E sia le liament segon la sua disposicio entro al tertz dia.	Whenever its thread follows its disposition into the third day,
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	Return that which is in the dark and gloomy mist of night to daytime again; let it see some causes thereof (and) return its ligaments within by evening seventh hour.
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	Whenever you make an application of water during healing or so soon after, then provide the infusion immediately.
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	When you expel water from it by force, through a great and vigorous gaze of observation.
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	If you lance an abscess today and correct that which flows away from it in water, do so immediately.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	Absorb the patient'dict vision and place your hand over their face for several days until they are present in this dark illness again.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	Return its growth from that bile greatly, and discuss about its causes.
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	When you understand that during surgery it is not permissible for the student to observe some times, and if you are skilled in performing operations,
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	And it has reached us from those of them who said that there is a focus in the Aryan chest through which water enters and causes pain, according to what they have declared.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	Even though no one has seen such water here on our land before, nor have any of the free ones brought it from distant lands; and it is possible that this water is new.
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	These are the forms of medicinal herbs for that which he overlooks on those,
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	These pains are from earth or iron by nature themselves and their extensions go beyond this subtlety of the triangle shape; that sharp end is like its form.
Capitol .xxiv.	Capitol XXIV. (Note: "XXIV" is not Latin
De la curacio de carn nada en le nas.	From flesh nothing enters the nose. (This translates to a statement that perhaps all matter from food must first pass through other bod
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When in the nose various forms of flesh are nascent from which no cause arises that assembles into scorpion or polyps, and this illness is likened to these pains represented by such beings; it is called polypus—this condition named for its resemblance. (This translation attempts to convey the medieval understanding of a nose-related inflammation potentially leading to growths like nasopharyngeal polyps, drawing an analogy with scorpions possibly due to their painful and prickly nature.)
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	And of it flesh is blackened or putrid in hue; and from the same there emerges a yellowish substance that makes its way out into places where meat does not reside, which means outside (or beyond) normal tissues—a discoloration signifying decay. Herein lies contrast: within these regions of affliction no ordinary flesh
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Thus in these places where no deceitful flesh or blackness exists within them (suggesting an absence of cancerous growth), make the womb move between your legs and expose it to sunlight, while you draw blood from those regions—this indicates a treatment approach using light exposure possibly for detoxification purposes as per medieval medical theory. Herein lies contrast: outside these affected areas no harmful flesh exists that requires such intervention (indicating the belief in cleansing or curative power of sunlight on purifying afflicted tissues).
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	Extract that from the main parts of the body where you understand all flesh is suspended; if there's a cause in your patient for which abscission (separation) may be possible, then extract what you have understood from these causes using one of the delicate instruments available to facilitate this action within them.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	If the scabbard or accident of ulceration occurs quickly and you catch it; that is when for malignant ulcers, return your hand to where the sanction has detached from its seat and all cavities are exposed.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	When it is necessary for his breath or moisture inhaled and exhaled, return (or restore) its flow within the nose wherein lies the nostril'dictum, and another through water or air which he uses to breathe
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	When his nose is opened up and moisture goes through the mouth passage, you know that healing has already begun.
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	May it not enter further if humidity does so soon after covering, then you know that the flesh under your feet will be consumed by bones where moisture has not yet arrived.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	So when you encounter an obstruction faithful to the patient, and there is swelling in their navel or bellybutton area where contractions occur at intervals of days or months, engage the malady (disease) with its amount/quantity for that time period by inserting one extremity of a tool into it.
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	When the smell of pain comes into their nostrthy channels and causes suffering in their joints, this is why people who desire to make it suffer come here for help.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	Return the two parts of the thigh to their cavity and administer a knife for cutting flesh therein; this is where you know that meat already resides in the thigh, which comprises both extremities over the nose and below it.
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	Here comes the first source sentence to translate:
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	In the day of healing, pause in the nose with a bronze tube for as many days until it is cured.
Mays si endigeys de curacio que exsique, usa de aquela.	If there is a need for care that extracts (or suctions), use it accordingly.
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	This is how the tool for extracting pus works, in which oils and medicines are distilled.
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	E from silver or lead (which is similar in appearance to a small torch), with its handle and body together, it looks like this tool.
