Ayssi comensan las paraulas de Albucasim .	Ayssi begins speaking about Albuccas.
E si l’apostema es pauca, lahoras pausa le cauteri segon la quantitat del apostema, e aprop leyssa le per tres jorns e pausa sobre lu coto enfus en boder entro que sia remaugut aquo que·l foc ha comburit.	If the abscess is little, then stop and apply the points according to the quantity of the abscess; place it for three days on a heated bed within which has burnt away any moisture that was present there due to the fire'dictor (sickness).
E aprop cura aquel am enguent e tentas e draps entro que sia sanat.	And apply care for it with wax and threads and linens inside whereby it shall heal.
E la forma de la cannula o deu cauteri a tal es comveyter.	The translation of this line from medieval medical treatise is as follows (from most similar languages):
Capitol .xxiii.	Capitol .xxiii.: This line appears to be referencing an official document
De cauterizacio de rauquiera de votz e de constriccio de ale.	The phrase "de cauterizacio de rauquiera de votz" translates as "cauterization of the knee joint," while "de constriccio de ale" can be understood as referring to
Quan las humiditatz veno sobre le quanal del pulmo, e majorment quan aquo es am fregiditat de compleccio, lahoras cove que·l malaute sia evacuat al comensament am medicinas laxativas, e aprop cauteriza aquel deves la razit del golayro en le loc depremegut.	Translation: When humidity enters the lungs and mostly when there is inflammation of complexity, then it's necessary to evacuate phlegm through medicinal cathartics (laxatives), and apply hot compresses on that part where chest pain occurs. This suggests a medieval approach in which excessive moisture or humidity was believed to contribute to respiratory issues like inflammation of the lungs ("compleccio"). The remedy involves using substances known as laxatives, possibly herbal ones common during that era (medicinal cathartics), along with heat application—symbolized by "hot compresses" or direct heating to relieve pain. These interventions reflect the medical understanding and practices of their time when specific treatments were prescribed for different symptoms related to hum
E guarda te que no pervenguas am le cauteri al golayro ni no comburas de la codena de lu sino un pauc.	The translated line reads: "And only a few are allowed access to the hot compresses or those who can ignite (apply heat), not everyone." This implies that in medieval times, treatments like heated applications of cauterization for joints were reserved and possibly granted by certain practitioners—medical professionals perhaps with specific
E cauteriza aquel am autra cauteri deves la junctura del col en le derier espondil de lu.	The translated line means: "And that joint is treated differently from the other cautioners at its lower lumbar spine." Here, it refers to a specific medical intervention involving heat treatment or cauterization of certain points along the patient's back—specifically targeting an area known as the l
E·l cauteri de lu sia clavilh sego la maniera precedent.	The pointed cautery of it cuts in this manner beforehand.
E aprop cura aquel am aquo que es precedit entro que sia sanat.	Return care for that which entered before it can be healed.
Capitol .xxiiii.	Capitol .xxiiii. (Note: Without additional context or understanding of abbre
De cauterizacio de malautia del pulmo e de tos.	The phrase "de cauterizacio de malautia del pulmo e de tos" in English can be roughly translated as "treatment for the illness of the
Quan tos e malautia de pulmo so de humiditatz fregas e le malaute no ha febre ni tisic e es malautia antiqua, lahoras cauterisa aquel am dos cauteris sobre la furcula en les locz depremegutz leontz e buoytz; e am autra cauteri en le mieg loc del pietz entre dos mamillos; e sia le cauteri clavilh segon la forma precedent.	The provided text in Occitan, which is a Romance language spoken in some regions of Southern France and parts of Italy and Spain, discusses the treatment for lung disease (presumably pneumonia) without fever or coughing ("malaltia antiqua"), using caustic substances to induce localized heat on specific areas:
E si vols, sia la tua cauterizacio punctan am le cauteri que es apelat puncta, la forma del qual precedeys en la ponctacio de dolor de aurelhas.	If you wish, it is the type of cautery that you are calling for, which comes before in the point where pain from arthritis occurs.
E sian puntz entro cays ad aquels; e aprop cura aquel am aquo meteys que es precedit entro que sia sanat.	When points are inside them, and take care of that which entered before for healing purposes is taken into account.
E ya sia le cauteri haventz tres ramps quar cauterizacio es am aquel: am una veguada podes far tres cauteris segon aquesta forma:	Already, there are three ramparts where you can perform a caustic as such: for one of these, you may apply three cauterizations following this manner.
Capitol .xxv.	Capitol XXV. (This line simply seems like it might be referring
De cauterizacio de titillic que es le cap del ajutori.	The translation of "Cauterizacio de titillic que es le cap del ajutori" into English, while not perfectly precise due to the archaic and potentially mixed linguistic
Quan le cap del ajutori es dislocat per causa de humiditatz lubricas e no es fermat en la hora del sieu retornament deves la sua dislocacio entro que sia a lu aquo costuma de retornar, e aprop per un petit movement es deslocat ayssi que s’endeve, ayssi cum nos havem testificat, lahoras cove que primieyrament redusiscas la dislocacio, e aprop le malaute sia reversat sobre le sieu dos o sobre le latz sa; e aprop eleva la codena la qual es en la partida dedintz del citillic a las partidas desus am les ditz de la tua ma sinistra, si la junctura es dislocada a las partidas dedintz.	When the helper's head is dislocated due to fluid lubrication and does not rejoin during its expected return time, it must be moved carefully as we have witnessed; after reducing the displacement initially, restore the neck position which lies in between your shoulders if that’s where part of the spine (the vertebrae) has shifted outward due to injury.
E aprop igneys le cauteri havent dos caps; e aquesta es la forma de lu:	Returns the pointed cautery back up its two heads, and this is how it appears:
E aprop cauteriza la codena entro que penetre aquela entro al autre latz; e vindra la figura de cauterizacio lahoras de iv caps cauteris.	Here comes the first source sentence to translate: Return the appendix inside where that one enters from another, and there will appear the figure of cauterization for those who have stones (calculi).
e so aquel subtils segon la quantitat de tenta; e aquesta es la forma de lu:	And thus according to its quantity, this is how it should be done:
E alcunas veguadas es ajustat segon aquest comte i per que son les cauteris .viii.	E some adjustments are made according to this count and for these reasons, eight times have they been applied as cautery instruments.
E aprop pausa sobre le cauteri porys cuytz am sal, e aprop fay adherir le malaute a trenquilitat, e lo membre no sia maugut per alcun temps entro que sia confortat.	Here comes the first source sentence to translate:
E si la dislocacio es a las partidas desus e tart es fayt aquo, lahoras cauteriza sobre le muscle am cauteri clavilh o am motz cauteris puntan, quar la junctura es confermada e la humiditat es romauguda e le malaute es sanat.	If the dislocation occurs above and below these parts, then apply a caustic on the muscle or use one of the cautery points to seal it; thus confirming its position and clearing out humidity (i.dict), curing the malady.
Capitol .xxvi.	Capitol .xxvi. (The provided text does not include enough context
De cauterizacio del stomac.	From the fragment "Cauteria el estómago," it appears you're referring to a procedure involving caust
Quan veno en l’estomac freg e motas humiditatz entro que aquel extrazo de la sua compleccio e so multiplicatz raumases a lu, e si tu continuas las manieyras de curacio e no confereyso, lahoras cove que le malaute sia sobre le sieu dos ressupinat, e extenda las suas mas e las suas coysas, e aprop cauteriza aquel am tres cauteris: an un cauteri dejos le pietz per la quantitat d’un dit am cauteri clavilh, e am dos cauteris dejos del dos costatz del cauteri, entro que vengua la figura de cauteri triangulada; e elonga entre els que no sian ajustatz que faran poyredura.	When harmful humidity enters the stomach and multiplies within it, if you continue with your curative actions without ceasing them, then this will overflow onto their upper side surfaces where they lie flat (perhaps referring to abdominal skin or other body tissues), spread outwardly, and extend beyond. Here we're describing a situation of inflammation possibly related to an excessive buildup within the stomach leading to visible effects on one’s exterior appearance:
E si la profunditat del cauteri la quantitat de les dos terses de la grocesa de la codena.	If the depth of the cautery equals the quantity of both sides of the gonjals in the colon,
E sia la figura del cauteri segon aquesta forma ses addicio, E si vols, cauteriza am gran cauteri en le mieg loc del estomac segon aquesta forma; et aquest sia un cauteri segon la forma de cercle segon aquesta forma:	E should the form of the cautery be as follows, if you wish, perform a large cauterization at the stomach location according to this shape; and it is thus shaped like a circle in accordance with this design.
E sia cauterizat l’estomac punctan ad aquel que de aquest cauteri es spaventat: e es que tu senhes sobre l’estomac punt segon la quantitat que voles am tenta, e aprop cauteriza aquel am cauteri en les puntz; e aprop cura aquel am la curacio qu’es precedita entro que sia sanat.	And if the stomach has been burned with that very caustic you are afraid of, and it is up to you how much pressure to apply on those points according to what you wish to attempt; also ensure proper care for that which was previously cauterized until healed.
Capitol .xxvii.	Capitol .xxvii.: (This line does not contain any text related to
De cauterizacio del fietge fret.	The translation of "Cauterizzi il fegato fretta" from Latin-influenced medieval medical language into English,
Quan endeve en le fietge dolor per fregiditat o per humiditat o per grossa ventositat entro que de la sieua normal compleccio sia getat per egressio superflua, e es curat le malaute am aquo que havem dit e no comfereys, lahoras cove que·l malaute sia ressupinat sobre la sua cervitz, e senhes am tenta tres cauteris segon aquesta forma et aquesta quantitat meteyssa sobre le fietge dejos dels ipocondres, la hon perve le decubit de home.	This line translates into English as:  
E sia l’espazi le qual es entre quascun cauteri segon la grossetut del dit, e sia le cauteri segon la longitut del cors dreyta.	Where there are spaces between each instrument according to its size and where the instruments themselves follow the length of the body' extramainly for proper alignment during treatment procedures.
E no compremas la tua am le cauteri mot.	And do not put your hand in the lancet of the caustic.
E si la quantitat de aquo que es adhurit la quantitat de la maytat de la specitut de la codena, e no y sia pus ajustat; e si le malaute stant sobre les pes de lu; e si no es estant, lahoras sia jassent, le qual ja ha extendudas las suas coysas, e eleve les sieus brasses.	If the quantity of fluid that is retained exceeds the capacity of the collected bladder amount; and if the swelling remains on their feet; and if it does not subside naturally; then they will press (urinate), which has already extended its limbs, lifting upwards.
E es aquesta la forma del cauteri:	This is how the pointed cautery works:
E a tu es possible que cauterizes aquestz cauteris am cauteri cutellar, quan es am tu subtilitat e prudencia en l’art.	And when you have the subtlety and prudence in this art, it is possible that you will use these caulters for cauterizing the small incision wounds, which requires delicate handling.
E guarda te que trop no procesiscas en la cauterizacio, e sia adhurida la specitut de tota la codena per que sia adhurit tot le cors e pervengua entro als budels, quar la codena aqui es subtil; e sapias aquo.	Here comes the first source sentence: "E guarda te that you do not proceed with cauterization, and ensure that all of your fingers are tightened around it so that they remain within the forceps, where the finger is here present; know this.
Capitol .xxviii.	Capitol .xxviii. (The notation "Capitol" followed by
De perforacio de apostema del fietge am cauteri.	When performing a procedure on the horse's hoof with a pointed instrument, it is termed 'cauterization.' Here’s a line-byse translation into English:
Quan endeve excitura o apostema en le fietge e voles saber si aquel apostema es en le carn del fietge o en la tunica de lu, lahoras si es en la carn del fietge, le malaute atrobo gravitat e dolor ses acuitat.	When the wound in the horse's foot occurs and you wish to determine if it is within the flesh of the hoof or its outer skin (the sole), when such a wound is found on the flesh, malodorous exudation intensifies pain significantly. Here’s an English translation:
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	If it is in the hoof's skin, then pain becomes very intense and sometimes even wearies doctors attempting its cure. Here’s an English translation:
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	So that the wound is directed towards the sole; and where there's pain caused by such an apostema in the hoof, heat should be applied to it using the instrument previously described elsewhere on these pages. Here’s what this might mean when translated into modern English:
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	And anneal there and in that manner insert the cautery within so much of the spinal column as it can reach before becoming diseased or infected.
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	And take care of it with attention for healing other appliances inside that is sickened (or affected).
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	Not when using this form of cautery but only that which has been studied in the art of medicine for a long time and is known to treat diseases; perhaps we may dare some experimentation on this procedure ourselves, yet nevertheless let it be done as prescribed by them.
Capitol .xxix.	Capitol .xxix. (The provided text does not contain enough context
De cauterizacio de plauresi.	For treating ulcers, or sores in this case – the translation could be: "Concerning w
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	When treating sores according to this method – the translation could be: "Concerning cauterizing ulcers as per these traditions; herein lies your duty with dry arsenical razors for cutting out a long wound found within, and from which flesh is taken. (Note that 'arsenicale' refers to mercury-based compounds used historically in various medicinal applications.)
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	Here comes the translation of each line:
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	Whenever you cover your hand with a lump (cauterization), it appears in the symptom of the joints during work on the backbone.
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	And here they bring forth certain things that are similar to the steel wand and fire used by men in cauterization, placing it where between the ribs until they arrive at this wound there, so as its treatment may be complete just like with bandaging a wounded knight.
Mays en aquesta perforacio am cauteri no es ses temor, quar hu mor tantost ho accideys en le loc fistula a la qual no es sanacio.	May not fear in this puncture with caution, for it may soon become infected at the location of the abscess which has yet to heal.
Capitol .xxx.	The given text appears to be an excerpt from a medieval medical
De la cauterizacio de la melsa.	Regarding the treatment of ulcers (which is implied by "melsa", often referring to sores or lesions in historical
Quan tu curas la malautia de la melsa am aquo que havem dit de la curacio en la divisio e no confereys la tua curacio, lahoras cauteri en lu es segon tres manieras, las quals totas son dreyturieras, de las quals la una es que fassas tres cauteris o quatre linhan segon la longitut de la melsa segon la figura dels cauteris del fietge, la figura dels quals ha precedit.	When you treat the ulcer (implied by "malautia"), do not apply your treatment if it is what has been discussed for healing in division and restraint; otherwise, perform three to four lancets according to the length of the ulcer as shown on the figures that precede these instructions. The methods mentioned are all rightful (dreyturieras), referring here likely to proper medical procedures or approved techniques:
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	Here comes the text to translate: Between each lancet or small tool used for cupping, and their manipulation therein is also its own touch; that which we have described in our previous discussion about handling these instruments during treatment of gouty feet.
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	And do not place your hand over the caustic; and gout is above its two sides.
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	Here comes the first source sentence to translate: And another method of cauterization is that you light both ends of the lances used for this purpose, causing them here in the capitol (center) where muscle dislocation occurs, and holding down the collarbone which lies within the chest cavity near the lower part of the spleen.
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	When your lifting is according to the length of the leg, so that they are branded with cautery as prescribed by law (or physiological order).
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	Return both garments tightly and cover them with warmth so that they do not enter into the intestine of the other side within these spaces where their knots are present.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	Return (or bring back) the points of the cautery; and so they are four cautions used.
E si voys, cauteriza am cauteri havent tres vernimentz.	If you come again, then apply three layers of cautery.
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	Here comes the first source sentence to translate: And for your treatment, you have placed cauterizing tools that were set on fire overnight (for up to three days), and it may also be relevant because of other preceding causes in healing.
Capitol .xxxi.	Given that "Capitol" is not immediately translatable without additional
De cauterizacio de ydropici.	The phrase "cauterizacio de ydropici," when broken down, suggests a treatment involving some form of
Cauteri no catz en ydropici sino en alcinte3 propriament.	This line translates to: And it is not enough to perform cautioning in the foot itself but rather on its joints specifically. This implies that when treating conditions like gout, do
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you heal the foot, it is not enough to perform curing as has been declared in division and does not refer your treatment; rather that which actually performs cautioning should be four types of treatments within the boundary of the body itself – one over the stomach (a type of internal cautery), another on the leg (external cauterization, possibly through cold compress or poultice application containing herbs with astringent properties to reduce inflammation and purge excess humors from the limb affected by gout). Another is applied directly onto the chest; there should be two between the spinal vertebrae of the back (which could imply an intervention for nerve-related pain or dislocation); one at the center top part of the body, perhaps targeting a specific source of internal heat believed to exac0us inflammation and swelling in cases like gout; another over the stomach. There should be two more cauteries between spinal bones (indicating additional interventions possibly aimed at aligning or supporting affected areas), one on top of where it's applied, potentially addressing localized issues directly above that spot to mitigate pain and swelling; another over the stomach. This suggests a comprehensive treatment plan employing multiple cauterization techniques targeting different anatomical locations with specific intentions for each
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	The quantity of the depth (or degree) to which one should apply cautioning is determined by consideration due care, potentially meaning that treatment must be tailored and precise according to individual need or severity—the extent may vary based on a patient's specific condition as ass
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	Return the used points with it so that they can be tied for long periods of time using rope or cordage.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	No empty the bladder for healing using the water that flows through it so they may be added to their meals as aid in recovery.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The shape of the cautery is such that it has been used before for cauterizing the belly, and this one in particular was previously employed to cauterize both sides (of the body), each with its own distinct form:
Capitol .xxxii.	Based on my understanding of Latin-influenced languages such as Italian,
De cauterizacio de pes e de las coyssas.	When translating the line from a medieval medical treatise into English while keeping in mind its linguistic characteristics (words similar to those found in Medieval Latin texts and contemporary
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the feet are soaked in water and replete with fluid (implying they're wet), you cauterize them on top of both legs using a piece of hot water between which is found near the earlobe and little finger ring; raise your hand holding the cautery, but do not twist it there. Elevate your hand then again without returning to full position since the fluid in this context seems reluctant (it resists or does not want to drain quickly).
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	Here comes the first source sentence to translate into English line by line:
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	Here comes the sentence to translate line by line into English:
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	Lay down the patient's care for long periods so that no water returns from them.
E aprop cura le am aquelas causas las quals havem ditas.	Return care for those causes that have been mentioned.
Capitol .xxxiii.	Given that "Capitol" does not provide any textual content for
De cauterizacio de cos de ventre.	The phrase provided in Latin, which translates directly to English as:
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	When intestinal contents are mixed with moisture and expelled to purify the digestion and retention functions within the stomach and bowels, it is healed by hands of care without interference; sometimes worms cause these issues, then a large cautery will be applied directly on their stomach as previously done in abdominal cauterization. Moreover: there are also smaller caustics for the delicate interior (of the body), and fine needles to treat internal parasites; treatment is provided over great hernias or under large protrusions, using two types of cautions here within this context.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	If you see excess humors exuding from the body and affecting the intestines and swellings (which may refer to hernias or other abnormalities), then cauterize that area on the belly button and over the swellings, firmly adjusting those cauterizations above the stomach and thighs. This care is effective in restoring health without error.
Capitol .xxxiv.	Based on your provided sentences which seemingly blend elements of Latin with other
De cauterizacio de emorroydas antiquas.	The phrase "Capitol .xxxiv." appears to be referencing a section or entry in an ancient medical text, likely related to the treatment mentioned above—possibly
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	When old ulcers are caused by thick humors or corrupted moisture within the body and cannot be treated with water poured as in division therapy (likely referring to some form of hydrotherapeutic treatment), they require three types of cauterization: one above each joint between two smaller bones, a small triangle shaped area below those same points on their little bodies, and also over the belly button using two dips.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	If the patient's stomach is inflamed and their food not digested, and if at times they become constipated, then apply that great caustic upon the stomach as preceded; and on the intestines, another cauterize with a needle-like instrument, and also place one more treatment for the belly'dictor (likely referring to some form of enema or purgative), leaving it applied for some time. Afterwards ensure that they reenter their healthy state.
Capitol .xxxv.	Given that "Capitol" does not provide any textual content related
De cauterizacio de atheyl aprop la abscizio de lor.	When applying the caustic to their abdomen, it's applied with care in this context likely referring to treating an ulcer or similar condition using some form of chemical irritation for therape
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you detach the intestine (atheyl), then apply the caustic that has been prepared in advance on an implement of fire/flame (ray). This suggests using heat or some form of flame-based tool to administer treatment, possibly for a similar medical condition as mentioned
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Enter that fire into the detached intestine (ateyl abscess), and lastly place your hand inside so as to ensure the caustic reaches the opening of the vessel from which the blood flows, indicating an attempt at intervention for bleeding or inflammation caused by infection. Here a physician is using heat while applying medicine internally; this could relate historically to practices such as cauterizing with fire during surgical procedures on ancient medical texts and would suggest direct treatment of internal wounds possibly related to
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	Make an ointment or salve (medicated substance), provided they are necessary; then cauterize each one according to their treatment plan, and with care apply the ones you confer upon them in gloves until it is healed – indicating that after assessing patients' needs following contact tracing of some sort related disease transmission ('trops'), healthcare providers would use controlled application methods (cauterization) for each patient treated separately under protective measures. This reflects a standard procedure whereby treatments are individualized and protection is maintained using gloves, consistent with practices in historical medical procedures as well as modern clinical guidelines when dealing with infectious conditions or
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	If you perform a large cautery above, it may strengthen vitality.
Capitol .xxxvi.	The provided text seems like an interpretation or translation attempt of what could be medieval medical
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	When it comes to the cauterization (burning) of ulcers that are naturally formed in the flesh, specifically referring to parts like feet or legs as suggested by contextual clues ("partidas" often relates to limbs). In English: Cauterizing natural ulcers
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When the nature does not obey the work that has been recommended in its place and the patient is frightened by it (implying a situation where an ulcer or similar condition persists despite attempts at treatment), then healing can be achieved through further burning, i.e., cauterization once more. In English: When nature doesn'thy to obey our prescribed remedy in its place and the patient is distressed by it (meaning when an ul
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	So when anyone arrives and finds an ulcer in the natural way (indicating that this is not just any occurrence but one recognized by nature itself), it's ancient, corroding with both dryness and moisture—a condition deserving of our intervention. Thus we must apply a delicate touch to address how deep within these layers such an ulcer has penetrated as described here (meaning the practitioner should gauge depth carefully before proceeding). In English: So when someone discovers an ancient, corroded wound that is dry and moist by nature—a situation necessitating our attention. Therefore we must apply a gentle approach to assess how deep within these layers such a condition has spread as described here (referring to the practitioner needing careful evaluation before taking further action).
Aprop igneys le cauteri que es semblant a ray.	Apply fire-like for healing, implying that heat or cautery should be used in a manner similar to how light radiates (likely referring metaphorically
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	Return that burning cautery there and proceed according to how much it penetrates the fistula.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	Iterate within that period when the instruments have just been used for one or two days, according to your need.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	Here comes the first source sentence to translate:
E aprop cura le loc entro que sia sanat.	Return care for the place within that has healed.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	If the place is sealed and materials are removed from it, then for a long time you will understand that the patient has been fully cured.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	If the materials are not removed from under you (the patient), then know that they have been rotted or decayed in your bones or preexisting conditions, which will be recalled at this location.
Capitol .xxxvii.	The text provided appears to be instructions or observations related to medical practices from medieval times. Here
De cauterizacio dels ronhos.	When it comes to the practice of using a pointed instrument for cautery, especially on hemorrhoids (which
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When hemorrhoids cause pain due to inflammation or heavy wind (which could refer metaphorically to circulatory issues), and in order for the humors of the malady's bowel region are evacuated, it is then said that one must cauterize each clustered vein above on which remembrance takes place.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And so soon as we apply the second small burn with caution, three lines of incisions will be made, and thus they may heal quickly.
Capitol .xxxviii.	The provided medieval medical text appears fragmented; however, I will attempt an educated guess for
De cauterizacio de la vesica.	Of cauterization of the bladder." - This line suggests a historical treatment method where heat or some
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When acids are used in the bladder to debride and soothe due to froth or moisture that prevents malaute from holding urine; they perform this cauterization over the portion of pus on the bladder, using wool for one part (possibly as a padding) while another is directed towards its left side.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	Here comes the first source sentence to translate: "And according to the length of each lancet as per the number on the foot; and apply that one or two caulters in the part below the waist, or two caulters if necessary.
E sia cauteri clavilh segon que es procesit.	And when it is necessary for the pointed cautery to proceed as planned, then do so accordingly.
Capitol .xxxix.	Capitol .xxxix. (Note: Without further context or understanding of
De cauterizacio de la mayra.	From the provided text, it seems like you are referring to a line from an old medical treatise related to joint pain
