Ayssi comensan las paraulas de Albucasim .	Ayssi begins speaking (or is about to speak) with Albuccas.
E donc si al comensament del tieu cauteri perve entro al os, bo es; e sino, lahoras itera le cauteri una veguada o dos, si mestiers era; e layssa aquel ayssi per tres jorns, e aprop pausa sobre aquel coto am boder e enviro lu am enguent exsiccatiu entro que sia sanat.	And if the caustic enters into the mouth and goes down to below it (the throat), then do so; otherwise, repeat the application of the caustic once or twice a week as per medical practice requires, letting this act continue for three days, after which you should rest over that spot on the border between above and below until such time when an absorbent ointment is introduced to promote healing.
Mays si eran passatz xi dias e no es sanat, lahoras pausa sobre lu medicina aguda corrosiva entro que l’os sia descubert e sia ras segon que conveneys en le sieu capitol.	If it has been days and still not healed, then rest on this sharp acute medicine until the bone is revealed and shaved as needed for its course in one'se own court (chamber).
E es autra manieyra de cauteri de fistula la qual alscus primiers diysero: enten al loc de la fistula e fen aquela e aprop pausa en aquela fissura camaen subtil del qual es la forma de lu: E fon en aquela la quantitat de i unc de plom fundut; e te la tua ma am camaem am bona retencio, e no sia maugut le malaute per so que le plom fundut no pervengua al huel de aquel; e cove que pausas sobre le huel del malaute coto enfus en album de huou o en aygua, quar plom adhureys le loc de la fistula e sana aquela per sanacio meravilhora.	Here comes the first source sentence to translate:
E si la fistula es sanada am aquo que havem dit del cauteri e de la curacio, bo es; e sino, lahoras es necessari aministrar trauc del nas e reduzir la fistula al cors del nas segon que vindra en son loc propri.	If the fistula is healed by the water we have applied from cautery and treatment, then be; but if not, it is necessary to administer narcotic substances and reduce the fistula in its nasal position as soon as possible when it appears.
Capitol .xviii.	The given text appears to be from an old medical manuscript discussing treatments for joint pain (
De cauterizacio de la fendedura des potz.	From the fragment provided, it can be interpreted that this line refers to a specific treatment method possibly using caustic agents ("cauterize") on cuts or
Motas veguadas accideysso fissuras en las labias, e majorment en las labias dels enfantz.	This translates roughly as: "Treat recurrent cracks in the lips and mainly of children." Here it seems to be advising on treating chapped or cracked lips with some sort of caustic treatment, particularly targeting infants' delicate skin conditions. It should be noted that
Donc cum tu curas aquelas fissuras am aquo que nos havem dit en las divisios e no aprofieyta la tua cura, lahoras igneys le cauteri petit cutellar segon aquesta forma que s’ensiec:	The given text suggests that proper care of these cracks involves the use described previously. Translating into English it might read as follows: "Therefore when you treat those fissures, which we have mentioned in divisions and sections, do not neglect your treatment method; apply caustic poultices according to this form." Here, a practitioner is being advised on the application of medicinal salves (poultices) with specific instructions for addressing skin cracks or lesions. It's clear from the context that medical treatments were often complex and required careful attention by healthcare
E sia la conquavitat de lu segon la subtilitat de cotella.	This phrase translates to: "And according to its subtleness as it pertains." This line seems like an instruction related to the assessment of a patient's condition, indicating that health
Aprop pausa aquel init cuytadament en aquelas fissuras entro que·l cauteri pervengua al preon de las fissuras.	The given text indicates: "Apply pause as necessary within those cracks where the caustic treatment reaches." Here, practitioners are directed to adjust their approach (in this case applying a certain substance or medication) based on how far into the cracked area of skin they believe it is appropriate for healing. The term 'preon' might refer back in time within medical history terminology
E aprop cura aquel am cerotz entro que sia sanat.	This translates to: "And care that which has been cauterized must be observed until it is healed." This statement emphasizes the importance of monitoring and caring for
Capitol .xix.	Capitol .xix. (The provided text does not contain any understandable
De cauterizacio de fistula en la boca.	Cauterize the fistula in the mouth." - This sentence instructs to perform a medical procedure, likely using heat or another method of destruction (
Quan en la razit de uvula o en le paladar o en las razitz de las dentz endeve apostema e aprop fa brac, e aprop es rompuda, e aprop es antiquada, e corr brac e es fayta fistula, e aprop tu curas aquela e no aprofieyta a curacio, lahoras cove que tu igniscas cauteri segon la quantitat que sia receubuda en la fistula, e aprop met aquel ignit en le trauc de la fistola, e te la tua ma entro que pervengua le ferr ignit al preon de lu, e al derier de lu fazen aysso una veguada o dos; e aprop cura aquel am aquo que nos havem dit de la curacio entro que sia sanat.	When the tonsil or palate has an abscess that requires cauterization and opening, break it open, restore its function (which can be done with specific treatments as needed for the fistula), apply heat-based caustic remedies to where necessary in accordance with what was previously described about treatment; keep your hand inside until the heated substance reaches the tongue of the lesion and then make two or three passes. Afterward, provide care according to our earlier guidance on treatment while ensзуing that it becomes cured (translation provided below).
E donc si la sania es abscindita e es sanat, bo es; e sino, lahoras es necessari de descubrir le loc e hostar le os corrumput segon que vindra en son capitol.	So if the illness is removed and health returns, be well; otherwise, it's necessary to discover where it has been damaged and hold back its decay as it comes forth in its essence.
Capitol .xx.	The text provided appears fragmented and lacks context for accurate translation; however
De cauterisacio de las dentz e de mollificacio de las angivas.	From the limited excerpts, it seems like you're referring to procedures related to teeth ("cauterización del diente") and liver treatment ("molificatio hepatic"). Here is a possible
Quan las angivas son mollificadas per humiditat e las dentz son maugudas, e curas aquelas am medicinas e no confereys, lahoras pausa le cap del malaute en le tieu se, e aprop igneys le cauteri la forma del qual vindra aprop aysso, enayssi que tu pauses la quanula sobre la dent e entromet en aquela le cauteri ignit festinantment, e te la tieua ma un petit entro que·l malaute cente la calor del foc a la razit de la dent esser pervenguda.	When the liver is moistened with humidity and teeth are strengthened (which implies some form of treatment), do not consider medicines for these issues, but pause there at the foot's base in your abdomen; apply fire to this specific cautery instrumentally chosen so that you may hold it over a single tooth while inserting into its cavity. By doing so with a small space within which the liver center is heated by the focus of the flame, thereby facilitating entry and treatment for each affected molar (tooth).
E aprop leva la tua ma, e aprop itera le cauteri alcunas veguadas segon que vols.	Return your hand (and return), and apply some of the cautery several times as you wish.
E aprop le malaute huompla la sua boca de aygua de sal e tengua aquela per una hora, e pueys stupa aquela, quar la dent mauguda es fermada e la gengiva mollificada es strenguda e la humiditat corrompuda es exsiccada.	Here applies the patient's mouth with saltwater and holds it there for an hour; thus, they suck on that until the loose tooth is clamped shut and the soft gums become stiffened, removing the corrupted moisture.
Capitol .xxi.	Capitol .xxi.: This line appears incomplete or lacks context as it
De cauterisacio de dolor de dent.	From this fragment, "Caution of pain in the tooth," we can infer that perhaps a medieval medical treatise discuss
Quan dolor de dent es per fregiditat, o en lu es freg o verm, o no comfereys la curacio am medicina, lahoras cauteri en aquela es segon dos manieyras: o cauteri am boder de vacas, o cauteri am foc.	When tooth pain is due to inflammation or infection (fever), the treatment as provided by medicine might involve caustic measures such as carboload lances – one used at cattle borders and another aimed directly at the affected area, implying a form of cauterization. 
Cauteri am boder es que tu prenguas boder de vacas e bulhas aquel en culhe de ferr , e aprop pren coto e envolopa le sobre la extremitat de la tenta, e aprop enmergeys aquel am boder bulhit, e pausa aquel sobre la dent dolorosa festinantment entro que sia enfregidat.	Here comes the first source sentence to translate: "Cauteri am bord es che tu prendi bordo di vacche e bolle quel in caldo forno, e prendo coto ed envolpo la sull'estremità della tentazione, avendo il bord bollito sotto dolore festinate entro dove si infrange.
E aprop itera aquela alcunas veguadas entro que la vertut del foc pervengua a la razit de la dentz.	Return (then) adjust that thing several times until the heat from the focus reaches the root of the teeth.
E si voys, submergeys lana o coto en le boder desus dit, e pausa aquel sobre la dent dolent, e pausa sobre aquel ferr ignit entro que·l ferr pervengua al preon de la conquavitat de la dent.	If you wish to do so under the upper border of that area, immerse wool or a piece of metal therein and place it above the sore tooth until the heated iron reaches the cavity of the affected tooth'setupence.
Mays empero la cauterizacio am foc es que tu atendas a la quannula de eram o de ferr, e sia en le cor de lu alcuna grocesa e la acuitat del foc no pervengua a la boca del malaute.	When the cauterization is applied to the head (presumably of an instrument or tool), you must attend to it when there's iron ore or steel, and if any heat in the core does not reach the mouth of the patient,
E aprop igneys le cauteri la forma del qual vindra, e pausa aquel sobre la dent e te la tua ma entro que·l cauteri sia enfregidat; e fay aquo alcunas veguadas quar la dolor sira remauguda o en aquel dia o en l’autre dia.	Return the cautery to its shape, and place it over the teeth while keeping your hand inside so that the cautery becomes warm; this may occur several times during the day or on the other day when pain persists.
E cove que per empressio de aquel cauteri que·l malaute umpla la sieua boca de bon boder e tengua aquel per una hora e aprop scupa le; e aquesta es la forma del cauteri.	When the patient' extricates themselves from that caust, their mouth will be cleaned and tongue wiped for an hour, this is how one uses the caust.
E cauteriza am qual que tu voys extremittat segon que a tu es possible.	When you have cut or removed as much as is humanly possible according to your capacity.
E aquesta es la forma de la cannula:	This is how the cannula (the tube) looks like:
Capitol .xxii.	Given that "Capitol" is not an actual text but appears as a
De cauterizacio de extrophulos.	The phrase provided, "Cauterizacio de extrophulos," translates to English line by line from Latin-
Quan extrophulos so de flecma e de humors fregas e no so hobedientz a digistio per medicinas e tu voys la digistio de aquelas leugerament, lahoras tu igneys le cauteri conquau la forma del qual es aquesta seguen, havent dos extremitatz hubertas per que yesca le fum deves le cauteri per l’autra extremitat, e pausa aquel ignit sobre aquel apostema una veguada, e autre si indigeyses de aquel, entro que pervengua al preon del apostema.	When external wounds are caused by bleeding and effusion of humors outside the body as a result of medicine or illness, apply fire to these lesions using cauterization tools for their respective extremities; one must light each end with flame carefully so that it does not catch from its own nature. After igniting both ends, pause there until cooling occurs on this application site (the ulcer), and if further action is necessary involving the affected area to reach healing depths, proceed while ensthyrement continues but ensure complete penetration of treatment into wound bed for full remediation.
E si l’apostema es pauca, lahoras pausa le cauteri segon la quantitat del apostema, e aprop leyssa le per tres jorns e pausa sobre lu coto enfus en boder entro que sia remaugut aquo que·l foc ha comburit.	If the fever is slight, then use the cautions according to the quantity of the fever; apply them for three days and rest over it until such a time when the fire from the focus has subsided.
E aprop cura aquel am enguent e tentas e draps entro que sia sanat.	Return care for that which is inside him with wax and bands and cloths within so he may be cured.
E la forma de la cannula o deu cauteri a tal es comveyter.	The translation of each line is as follows:
Capitol .xxiii.	In translating this text line by line into English while considering its mix of languages that
De cauterizacio de rauquiera de votz e de constriccio de ale.	The translation for "Capitol .xxiii." given the context appears to be an instruction or statement related to medical practice, likely from a medieval treatise on medicine:
Quan las humiditatz veno sobre le quanal del pulmo, e majorment quan aquo es am fregiditat de compleccio, lahoras cove que·l malaute sia evacuat al comensament am medicinas laxativas, e aprop cauteriza aquel deves la razit del golayro en le loc depremegut.	When humidities come upon the lungs and mainly when there is congestion in the complex, it's necessary that phlegm be expelled through medicinal expectoration, and cauterize that which produces gout pain at its location before medical treatment.
E guarda te que no pervenguas am le cauteri al golayro ni no comburas de la codena de lu sino un pauc.	Guard your hand that does not come into contact with the hot iron nor touches any part of my body, but just a little bit (or "a few").
E cauteriza aquel am autra cauteri deves la junctura del col en le derier espondil de lu.	And treat that joint in his lower back with another brand of cautery.
E·l cauteri de lu sia clavilh sego la maniera precedent.	El cautery of him cuts in a manner previous.
E aprop cura aquel am aquo que es precedit entro que sia sanat.	Return that care given by water which entered before is for healing it out.
Capitol .xxiiii.	Capitol .xxiiii. (The text appears incomplete as "Capitol
De cauterizacio de malautia del pulmo e de tos.	From the incision of chest illness and coughing: This line suggests that a medical procedure or intervention related to healing lung disease involves making an incision, possibly for d
Quan tos e malautia de pulmo so de humiditatz fregas e le malaute no ha febre ni tisic e es malautia antiqua, lahoras cauterisa aquel am dos cauteris sobre la furcula en les locz depremegutz leontz e buoytz; e am autra cauteri en le mieg loc del pietz entre dos mamillos; e sia le cauteri clavilh segon la forma precedent.	When lung disease and chest illness are caused by excessive humors, which lack fever or spitting (indicating a less severe condition), then two types of cautery will be applied: one on the collarbone bone at breast-bearing places; another near the navel between breasts. These burns shall follow respective forms previously established in older times, as per tradition and medical practice guidel0bydoctors for these symptoms during medieval periods.
E si vols, sia la tua cauterizacio punctan am le cauteri que es apelat puncta, la forma del qual precedeys en la ponctacio de dolor de aurelhas.	If you wish, it is the type of cautery that you have chosen which follows in the point where pain from arthritis occurs.
E sian puntz entro cays ad aquels; e aprop cura aquel am aquo meteys que es precedit entro que sia sanat.	And if there are points inside them, take care of it with water that entered before, to make sure they heal properly.
E ya sia le cauteri haventz tres ramps quar cauterizacio es am aquel: am una veguada podes far tres cauteris segon aquesta forma:	And now, with three lances of cautery you can perform the following treatments according to this method:
Capitol .xxv.	From the provided text snippets in this medieval medical treatise combined with your English translation
De cauterizacio de titillic que es le cap del ajutori.	The line "Capitol" likely refers to a specific procedure or topic within the larger context of surgical treatment (de cauterizacio) related to joint pain caused by cold humors,
Quan le cap del ajutori es dislocat per causa de humiditatz lubricas e no es fermat en la hora del sieu retornament deves la sua dislocacio entro que sia a lu aquo costuma de retornar, e aprop per un petit movement es deslocat ayssi que s’endeve, ayssi cum nos havem testificat, lahoras cove que primieyrament redusiscas la dislocacio, e aprop le malaute sia reversat sobre le sieu dos o sobre le latz sa; e aprop eleva la codena la qual es en la partida dedintz del citillic a las partidas desus am les ditz de la tua ma sinistra, si la junctura es dislocada a las partidas dedintz.	When the helper's head (which may refer to medical staff or possibly an instrument) is dislocated due to lubricating humors and it does not return on its own during recovery time as expected, small movements might further dislocate; hence after reducing the dislocation initially done for you by a primary caregiver—actions we've witnessed ourselves —the helper should be repositioning over your upper or lower body parts that are above those of yours (i.dict to indicate proper alignment and support), elevating headrests accordingly if needed, especially when misalignment is in the cervical spine sections which may now need adjustments due to dislocation issues related to neck position as discussed by caregiver on your right side; this involves delicately moving or realigning their hand.
E aprop igneys le cauteri havent dos caps; e aquesta es la forma de lu:	Returns the lighter of the cautery has two heads; this is its form:
E aprop cauteriza la codena entro que penetre aquela entro al autre latz; e vindra la figura de cauterizacio lahoras de iv caps cauteris.	Here comes the first source sentence to translate: "Return the navel within which it enters into, and there will arise a figure of cautioning through those cupping wicks; and from these cups remove as many impure humors as possible.
e so aquel subtils segon la quantitat de tenta; e aquesta es la forma de lu:	And thus according to the quantity of effort; this is how it goes down:
E alcunas veguadas es ajustat segon aquest comte i per que son les cauteris .viii.	Some measures are adjusted according to this count, and therefore these are the number of cauterizations used. (Here "alcunas veguadas" can be understood as some therape extraditions or procedures; 'ajustat segon' suggests a methodical approach
E aprop pausa sobre le cauteri porys cuytz am sal, e aprop fay adherir le malaute a trenquilitat, e lo membre no sia maugut per alcun temps entro que sia confortat.	Then rest over the caustic wounds to allow for healing and securement of the humors within their course; thus preventing any further dislodgment or displacement until comfort is restored. (Here "adherir le malaute a trenquilitat" can be understood as securing the flow of bodily fluids, while 'no sia maugut per alcun temps entro que sia confortat' suggests that no further movement will occur so long as relief or comfort is provided to ensure proper healing.)
E si la dislocacio es a las partidas desus e tart es fayt aquo, lahoras cauteriza sobre le muscle am cauteri clavilh o am motz cauteris puntan, quar la junctura es confermada e la humiditat es romauguda e le malaute es sanat.	If the dislocation occurs below (referring to a location perhaps not specified in this sentence but possibly underneath certain body parts mentioned elsewhere or generally understood by context) and sealing is applied, then over the muscle with a pin cauterization or point-based caustic application; thus confirming joint stability and eliminating fluid accumulation while sanitizing humors. (Here "la junctura es confermada" means that proper alignment of body structures affected by dislocation is reestablished, which would help restore the normal flow within confined spaces or cavities where fluids might have collected due to injury.)
Capitol .xxvi.	Here comes another source sentence for translation: (Note that "Capitol .xx
De cauterizacio del stomac.	Of caustic treatment of the stomach. (This line translates directly to English, referring generally to an inter
Quan veno en l’estomac freg e motas humiditatz entro que aquel extrazo de la sua compleccio e so multiplicatz raumases a lu, e si tu continuas las manieyras de curacio e no confereyso, lahoras cove que le malaute sia sobre le sieu dos ressupinat, e extenda las suas mas e las suas coysas, e aprop cauteriza aquel am tres cauteris: an un cauteri dejos le pietz per la quantitat d’un dit am cauteri clavilh, e am dos cauteris dejos del dos costatz del cauteri, entro que vengua la figura de cauteri triangulada; e elonga entre els que no sian ajustatz que faran poyredura.	When humors become agitated in the stomach and are multiplied until they can be extracted, if you continue with these curative actions without ceasing them, then your malady will progress to affect both feet above ground level; extend hands and limbs outwardly while applying caustic treatment at three separate points: one cauterization on the sole of each foot using a pin for searing (possibly indicating an intentional puncture or application), two additional treatments directed towards each leg, ensuring that these are triangulated in shape; and prolong any untreated areas where they will undergo pus formation.
E si la profunditat del cauteri la quantitat de les dos terses de la grocesa de la codena.	If the depth of the caustic equals the quantity of both thresholds in the pubic bone'dictum,
E sia la figura del cauteri segon aquesta forma ses addicio, E si vols, cauteriza am gran cauteri en le mieg loc del estomac segon aquesta forma; et aquest sia un cauteri segon la forma de cercle segon aquesta forma:	Here comes the first source sentence to translate line by line into English:
E sia cauterizat l’estomac punctan ad aquel que de aquest cauteri es spaventat: e es que tu senhes sobre l’estomac punt segon la quantitat que voles am tenta, e aprop cauteriza aquel am cauteri en les puntz; e aprop cura aquel am la curacio qu’es precedita entro que sia sanat.	And if it is necessary to burn the stomach with those points you fear from this caustic: so that you rest on your belly according to what you wish to attempt, and cauterize that which has been previously cauterized at these points; care for that healing that preceded until such time as it is restored.
Capitol .xxvii.	Capitol .xxvii.: (This line does not contain any textual content from
De cauterizacio del fietge fret.	The translation for "Cauterizacio del fietge fret." into English, focusing on the context of medieval medical treatise
Quan endeve en le fietge dolor per fregiditat o per humiditat o per grossa ventositat entro que de la sieua normal compleccio sia getat per egressio superflua, e es curat le malaute am aquo que havem dit e no comfereys, lahoras cove que·l malaute sia ressupinat sobre la sua cervitz, e senhes am tenta tres cauteris segon aquesta forma et aquesta quantitat meteyssa sobre le fietge dejos dels ipocondres, la hon perve le decubit de home.	When the foot suffers pain due to dryness or humidity within where it has been stretched beyond normal comfort and when this condition causes discomfort in the womb (possibly referring herein to abdominal issues), then take care of such ailment with water that we have provided, ensuring no further distress. Following is how one should attempt treatment:
E sia l’espazi le qual es entre quascun cauteri segon la grossetut del dit, e sia le cauteri segon la longitut del cors dreyta.	Wherever there are spaces between each instrument according to the size of that body part, and where those instruments go in line with the length of the limb for four times.
E no compremas la tua am le cauteri mot.	And do not buy your own lancet for cauterization.
E si la quantitat de aquo que es adhurit la quantitat de la maytat de la specitut de la codena, e no y sia pus ajustat; e si le malaute stant sobre les pes de lu; e si no es estant, lahoras sia jassent, le qual ja ha extendudas las suas coysas, e eleve les sieus brasses.	If the amount of phlegm that is accumulated in the sinuses exceeds their quantity, and it's not adjusted; and if a blockage remains on your feet; and if they are not standing (implying discomdictio or imbalance), then they will sweat excessively, which has already extended its limbs.
E es aquesta la forma del cauteri:	This is the form of the cautery:
E a tu es possible que cauterizes aquestz cauteris am cauteri cutellar, quan es am tu subtilitat e prudencia en l’art.	And when you have the subtlety and prudence in this art, it is possible that you will perform these cautions on cutting needles.
E guarda te que trop no procesiscas en la cauterizacio, e sia adhurida la specitut de tota la codena per que sia adhurit tot le cors e pervengua entro als budels, quar la codena aqui es subtil; e sapias aquo.	Here is the line by line translation into English:
Capitol .xxviii.	Capitol .xxviii. (The ".xxviii." part may refer to
De perforacio de apostema del fietge am cauteri.	When treating the penetration of apatheia by means of a pointed instrument or cautery, it's essential first and foremost to understand that this process
Quan endeve excitura o apostema en le fietge e voles saber si aquel apostema es en le carn del fietge o en la tunica de lu, lahoras si es en la carn del fietge, le malaute atrobo gravitat e dolor ses acuitat.	When exciting or treating an apathia in the limb and wishing to determine if that apathia is within the flesh of the leg or its covering (tunic), should it be located in the flesh of the leg, then a heavy humoral imbalance occurs causing intensified pain. 
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	If it is in the breeches of the patient and the pain is great and occurs more than once during treatment by the doctors,
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	Thus when the ulcer is pressed against the sole of the foot; and its location where pus has formed therein we attempt to set it with cautery made from flakes previously described on another page.
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	And treat it with this and apply the cautery inside where all of its vertebrae will be soothed until they reach the chest cavity, up to when sickness returns on fire (i.dict that there is a return of inflammation or pain).
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	And now apply care for that which heals with the others' curatives inside where it is restored.
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	Not when using this form of cauterization but that studied in the art of medicine and which has been employed against many illnesses; perhaps some experimentation with it on this operation is allowed, but let us not deviate from what we know best, for these are our remedies.
Capitol .xxix.	Captain XXIX.
De cauterizacio de plauresi.	Of burnishing sores or scalds (literally "of burning wounds"). The phrase refers generally to a treatment
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	In the practice of treating sores or burns according to this tradition, you must grasp a dry philosophical thread (literally "thread") that has been found and take hold of it with your fingers made from thick leather. The phrase suggests an old remedy where one would use philosophy—a conceptual rather than physical tool in modern medicine—as part of the treatment process for sores or burns, which could symbolize using knowledge as a healing agent within this traditional context.
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	Here comes the translation:
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	Whenever you put your hand in for the purpose of using the cautery, it appears during an episode involving the knee joints.
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	And when those antics similar to the cauterization of iron by fire and flame are used on them, as they do with humans, placing that in the location between their backs where it has entered, until reaching there for this wound and its healing, just like we have mentioned in foot abscess.
Mays en aquesta perforacio am cauteri no es ses temor, quar hu mor tantost ho accideys en le loc fistula a la qual no es sanacio.	In this puncture there is no fear of the wound being infected at all; it heals immediately in the fistula wherein it cannot be cured.
Capitol .xxx.	Given that "Capitol" is not provided with context or additional
De la cauterizacio de la melsa.	From the lancet treatment of the womb (assuming 'melsa' refers to a type of incision used historically in
Quan tu curas la malautia de la melsa am aquo que havem dit de la curacio en la divisio e no confereys la tua curacio, lahoras cauteri en lu es segon tres manieras, las quals totas son dreyturieras, de las quals la una es que fassas tres cauteris o quatre linhan segon la longitut de la melsa segon la figura dels cauteris del fietge, la figura dels quals ha precedit.	When you care for the sickness of the womb, if you do not apply what has been said about healing during division and do not perform your treatment, then three or four lancets shall be done according to the length of the womb as per the figures that precede those used on a patient.
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	Here comes the first source sentence to translate: Between each lancet used for cupping or bloodletting, its handle is what we have described in our previous descriptions of lance handling while using it on the patient' extraneous limbs and chest where their hands are held.
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	Not put your hand in the caustics; and gout is above both of them, where it should be.
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	Here comes the first source sentence to translate: "E es autra manieyra de cauterizar, sō es que tu igniscas le cauteri habentz duo venteris, quam causat ab habitus dislocatio musculorum in capitulo, et colendas codenas cui est en duriora mensa hypochondria.
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And it is your lifting that by which you raise the penis according to the length of the body, so they become branded instruments in accordance with the law of the cosmos.
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	Return both garments into place around there where they enter each other's navel region.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	Return the points of the lancet (cauter), and so it becomes four instruments for cautery.
E si voys, cauteriza am cauteri havent tres vernimentz.	If you go, then perform three types of cautery as they have been done before.
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	Here comes the first source sentence to translate:
Capitol .xxxi.	Capitol XXVI. (The Roman numeral "XXVI" represents the
De cauterizacio de ydropici.	For the treatment of gouty areas in the foot. ("Ydropici" likely refers to a specific area affected by
Cauteri no catz en ydropici sino en alcinte3 propriament.	Not for cutting into these (gouty) areas of the foot but specifically on the joints themselves appropriately. ("Alcinte" is another term that could refer to a specific part or type
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you care for the gouty area with those mentioned in division and do not confine your treatment to it alone, then he who performs these four acts of caution within the body's circuit (likely referring to various internal organs or systems), placing a cautery on each: one over the stomach, another for the leg, yet another for the chest—and two between the vertebrae in the back and along with it an additional act upon the stomach; furthermore, he has four cautionary acts placed here as well – among them ones between spinal columns of both sides (vertebral discs), one at its center within the breastbone region.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	The quantity of the depth of the cautery is determined by the sharpness of the needle.
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	Return the hot irons used for treatment back in such a way that they are held with gloves, ensuring safe handling over long periods of use.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	No empty the bladder for healing with the water that flows down to aid their illnesses, and if they have overeaten, assist them through proper nourishment as help in recovery.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The shape of the cautery is what it' extricate beforehand and that very one whereby they are branded their abdomen, which comes after its preceding form; this same refers to both sides as olive ones according to what came first.
Capitol .xxxii.	Given that "Capitol" likely refers to an ancient Roman law or code
De cauterizacio de pes e de las coyssas.	The phrase in question appears to be related to medical treatment, specifically referring to the procedures for treating wounds on different body parts such as feet (pes) and thigh
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the feet are soaked in warm waters and filled with steam (suggesting heat application), cauterize them on both sides of the leg between the earlobe and ankle ring; raise your hand holding the lancet, but do not twist it there. Then elevate your position carefully without returning completely as if you were retreating from this warm therapy – because the water steam is still present (indicates that some heat should be retained for therapeutic purposes).
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	Here comes the text to translate line by line into English:
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	Here comes the first source sentence to translate into English line by line as follows:
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	Lay down patiently for long periods in order that no water (urine) may come out of them.
E aprop cura le am aquelas causas las quals havem ditas.	Return care for those causes that have been mentioned.
Capitol .xxxiii.	The provided text seems like it is attempting to convey information in an archaic or
De cauterizacio de cos de ventre.	It appears that you've given me a line of Latin-influenced medieval medical language which relates to the procedure for tre
