Ayssi comensan las paraulas de Albucasim .	When Albucasis speaks now.
La forma del segon instrument es que sia de triangulada e de pus subtil extremitat.	The form of the second instrument is that it'thy a triangle and has subtle extensions.
E ja so ajudatz am aquest instrument havent dos ramps del qual aquesta es la forma aprop la seguent:	And now you will help with this tool which has two levers as follows:
e am autres instrumentz les quals precidero en rasura de dentz; quar juvament es fayt am aquest instrument le qual es asemblat a onci gran, e aquesta es la forma:	And use other instruments that we prepared for shaving the teeth; it is well when you apply this same tool fashioned into an inch or so, and here's how they look like.
de la triangulada extremitat torta o curta, la qual sia alcuna grossesa, e no sia enbegut per so que no sia trinquat.	Of the twisted or shortened limb's extreme part, which is any size and not split apart by itself.
E otra sapias que·ls instrumentz de las dentz motz so e semblantment les autres instruments.	And understand that these tools of teeth movement resemble other instruments.
Mays le artifexs savi e subtil en l’art, atroba per si mateys segon aquo que a lu significa la operacio e las malautias diversas; quar son de las malautias a las quals les antics no diysero ni pausero propri instrument, per las formas de diversas specias.	May the skilled and subtle artisan understand in their craft what this means for operation and various illnesses; these are diseases that ancient healers did not address or pause to treat with specific instruments due to diverse forms of medicine.
Mays si es trinquat l’os de la mandibula o dels autres osses de la boca, o si poyreys, lahoras sia pes curat sobre aquel en son loc am aquo que es a lu convenient dels instrumentz e de las forceps las quals havem dit en la extraccio de las razitz de las dentz, e ajuda te am gesti del qual aquesta es la forma:	If the jawbone or other bones in the mouth are fractured, or if you press them, then treat that area where it is convenient for us to use our tools and forceps which we have mentioned earlier in removing teeth roots, and this helps with your handling of what matters here:
E sia en lu alcuna grosseza petit a petit, e sia instringida o tenguda am la boca per que no evasesca o fuga entro que l’os de tot sia foro-getat; e aprop restaura le loc am medicinas convenientz ad aquo.	And if there is any thickness small by small, or it's tightened in the mouth so that nothing escapes inside where all of the bone has been set, then restore the place to which medicine applies as needed.
Mays si en l’os es petita poyredura, lahoras ratz aquel de aquela poyredura e de la sua negror, e cura aquel entro que sia sanat.	If there is a fracture in the bone, take that piece and cut it out of where it came from and its blackness (referring to blood or bruising), and heal what has been injured within.
Capitol .xxxii.	Capitol .xxxii. (The given text does not provide enough context
De la cura de las dentz eminentz sobre las autras.	From this line, it seems like the subject is about how treating teeth stands out or surpasses other things in terms of importance or effectiveness. Here
Quan las dentz so eminentz no segon lor cors natural per aquelas la forma es laga, e majorment quan endeve a las femnas, e majorment a las piuselas venerablas; donc cove que tu consideras: si dent es nada aprop autra dent, e no es possibla sarradura ni linament de lu, lahoras radica aquela; mays que no sia annexa am autra dent, lahoras tu inscideys aquela am aquest instrument del qual aquesta es la forma; e es semblant a morr de porc, e sia feyt de ferr de India de extramitat mot aguda.	When teeth are esteemed above all natural parts of the body they tend to be more so in women and especially revered individuals (holy persons); thus consider this: if a dent is nothing compared with other human teeth, then it's clear that there can neither be excision nor bandaging from them. However, even when not directly related or attached as part of another structure within the body—like how our tooth shape resembles pork and its treatment seems like ironwork fabricated outside India for a sharp edge (potentially indicating specific materials used in dental work).
E sia la tua inscizio am la qual inscideyses aquela en trops dias per la duricia de la dent, e que no sia comauguda autra de las dentz.	And your understanding is that which you insert into the cavity of her mouth for up to several days due to sensitivity in the teeth and not from other sources related to the teeth.
E si es dent eminent expausat a limadura, lahoras lima aquel am lima de ferr de India del qual aquesta es la forma:	If there is an outward expansion of blood (hemorrhage), then apply the same steel from Indian iron that this one uses.
E sia tot de ferr de India e·l margua eysament; e sia de motz menutz puntz ayssi cum lima am la qual son faytas agulhas, am la qual la dent sia limada pauc a pauc en motz dias am fecilitat, per so que no sia autra dent comauguda e caga.	Here comes the first source sentence to translate:
E aprop lineys aquela en la fi, e ratz aquela am alscus razoris.	Return those lines back into position in the belly, and let them be at ease above with gentle pressure of your fingers on their skin.
E si es dent del qual una partida es trinquada e lideys la lengua, lahoras cove que tu limescas aquel entro que l’aspretat de aquela fraccio sia ostada e engualhada, e sia aplenada per so que la lengua no ledesca ni la paraula no corrumpa.	If there is something broken and the tongue speaks, then cut that which has been broken off where it hurts sharply to stop its painful sensation and ensure that neither the tongue nor speech will be damaged further.
Capitol .xxxiii.	The provided text seems like an excerpt from a medieval medical treatise written
De restauracio de dentz maugudas am fiel de aur o de argent.	When referring back to the restoration of severely damaged teeth, here is your translation into English:
Quan accideys a las dentz devant concussio e remossio per percussio o per cazament, e le malaute no pot strenher sobre aquo que manga, e tu has curat aquel am medicinas stipticas, e no ha valgut la tua curacio, lahoras per so que no cagan es engen en aquelas que sian strengudas am fiel de aur e no de argent, quar argent se fa vert e aprop se poyreys aprop alscus dias, mays aur nul temps no es mudat.	When you press on the teeth before displacement and removal through percussion or extraction, and you have cured it with your precise medicines, but there is no improvement in that which are made strong by gold (irons) and not silver—since iron becomes hard over time while gold does not change at all,
E sia le fiel en tal subtilitat e grocesa segon la quantitat que puesca entrar entre las dentz; e la forma de la reccio es que prenguas le fiel e pren lo doble de lu entre doas dentz sanas, e aprop que cresques am doas tortuositatz del fiel entre doas maugudas, o si’ una o motas, entro que pervengua la tela a la dent sana del autra partida.	E as the foot in such subtlety and fineness according to how much can enter between the teeth; and the form of care is that you grasp the nail and insert it twice into healthy teeth, or if one or more are crooked, increase until the silk reaches the other's healthy part.
E aprop itera le teyssiment entro a la partida de la qual comenciest, e strenh la tua ma am facilitat e savieza entro que no sia mauguda.	Return and apply the poultice within that section where you started, pressing your hand firmly yet gently to prevent it from becoming moistened.
E sia la tua striccio am la qual strenhas le fiel deves las razitz de las dentz que no evasesca.	When your string is where you must hold onto your teeth that do not escape,
E aprop inscindeys las extramitatz del fiel superfluens am las forceps o tosoyras, e agregua aquelas en quascun loc am gesti, e converteys aquelas e las occulta entre la dent sana e la dent mauguda, per so que no fassa lesio a la lengua.	Here you insert the excess membranes with forceps or tweezers into any location of the gesture, converting them and hiding between the healthy tooth and the decayed tooth, thus preventing damage to the tongue.
E aprop leyssa aquela ayssi streyta cum roman.	When that fluid is allowed (or permitted) therein with Roman-style stoicism or restraint,
Mays si es desliada o rumpuda, strenh aquela o aquelas am autra fiel en tal manieyra en tot son temps.	If it is detached or torn apart, keep that part of them firmly in such a manner throughout their entire time together.
E aquesta es la forma de las dentz e la figura de la rectacio de doas dentz sanas e de doas maugudas, ayssi cum vezes aquestas liadas:	This is how the teeth and the straightness of healthy as well as unhealthy teeth are connected sometimes like this:
E quan se fa que retorno una dent o doas aprop le cazement de quascuna en lors locs, e sian recrescutz ayssi cum havem recomtat, e que remauguan.	When one returns a tooth or inserts the clamp of any in various locations and they grow back as we have treated them, let them be restored (expanded).
E no fa aquo sino bo artifexs e savi.	Only when skilled craftsmen and wise people come into play does this happen.
E alcunas veguadas es aptat alcuna causa dels osses de vaca, e es fayt de lor ayssi cum forma de dent, e es pausada en loc en le qual defayl la dent, e es strengit ayssi cum havem dit, e reman e serveys am aquel per lonc temps.	Here comes the first source sentence to translate:
Capitol .xxxiv.	Given that "Capitol" likely refers to section or chapter numbering
De inscizio del liament le qual ve en la lengua e prohibeys loquela.	From the ligament which is in our tongue and forbids us from speaking.
Aquest liguament le qual ve dejos la lengua alcunas veguadas o es natural am le qual hom nays, o accidental e accideys per plagua la qual ja es consolidada.	This ligament from which the tongue occasionally tastes some flavors or is naturally there because it belongs to him, or an injury that has already been solidified by pestilence arrives here:
E la operacio en lu es que huobres la boca del malaute, le sieu cap existent en le tieu se; e eleva la sieua lengua, e aprop inscideys aquel liament nervos segon la latitut entro que sia solvuda la lengua de la sua recencio.	The operation in him is to gargle the hernia'dictum (presumably referring to an inguinal or femoral hernia), its head being within the scrotum; raise your tongue, and insert it into that nerve tract according as it will be subdued by his own recitation.
Mays si en aquela es alcuna duricia o denodacio, e aquo es stat per consolidacio de plagua, lahoras tu gieta unci e scindeys aquel per la latitut entro que aias inscindit le liament e sia dissolvuda la nodacio.	May there be any hardness or swelling in that area, and it is due to the congealment of pus within you, then take an ointment and divide this portion whereby have cut apart the ligature and its substance (the abscess).
E guarda te que no sia fayta fissura en le preon de la carn e que scindas aqui arceria e vengua flux de sanc.	Guard against not having a crack in the skin of the flesh here and splitting open blood and sanction flow nowhere near you (emphasis on prevention).
E aprop sia lavat le vestigi de la inscisio am ayguaros o am vi agre o am aygua frega; e aprop pausa dejos la lengua licini; so es meca la qual tengua le malaute dejos la lengua en quascuna nuoyt per so que no sia consolidat autra veguada.	And apply the wash of arsenic or vinegar, and pause with a tongue for each joint momentarily; this is where your tongue lingers briefly to ensure that nothing remains solidated from today onwards.
Mays si accideys flux de sanc, pausa sobre le loc vetriol trissat; mays si le sanc ventz, lahoras cauteriza le loc am cauteri lantiginos le qual conveneys ad aquo.	May you bleed the flux of putrefaction seeping through a crack in the glass vessel; may it if blood comes from there be cauterized at the place with salts intended for cauterization, which brings about its removal.
E aprop aquel cura am las autras causas entro que sia sanat.	Return that healer for other causes within which it is being cured.
Capitol .xxxv.	I apologize for any confusion, but it seems there's some critical information
De extraccio de ranula dejos la lengua.	The provided text appears to be in Latin or a related Romance language and refers to the removal of a ranula, which is a type
Alcunas veguadas accideys dejos la lengua apostema asemblant a nomla petita prohibent la lengua de la sua operacio natural; e fort leu es magnificada entro que huempla la boca.	Over some weeks, the wart is applied to an object belonging to someone small and thus prevents the tongue from its normal functioning; but it becomes magnified when inside the mouth of a person who uses or comes into contact with that object.
E la operacio en lu es que huebras la boca del malaute sesent devant le solel e considera le apostema.	In light of what has been translated so far and considering that this text is a mix of different languages with medieval medical terminology, here's an attempt to translate the given line:
E si tu le vezes de fusca color o de negra, dur, al qual le malaute no atroba sentiment, lahoras no toques aquel quar es cranc.	If you see it of a dark or black hue, hard as which does not rob the humor its sensation, do not touch that there; for it is the brain (crone).
E si es declinat a blancor, en le qual es humiditat, lahoras tu met le onci en lu, e inscideys aquel am spatum subtil, e inscindeys le de tota partida; e si sanc te ventz en la hora de la tua operacio, lahoras tu pausa desus zegi trissat, so es vetriol, entro que sia restreyt le sanc.	If it declines to whiteness, in which moisture is present, then put the onion into it gently and insert that thin sponge throughout; if you feel wind at the time of your operation, stop speaking three times saying "vaporous," so as to restrain the moisture.
E aprop retorna a la obra tua entro que lo haias trayt am compliment de lu, entro que sia lavat am vi agre e sal; e cura aquel am l’autra curacio ad aquo entro que sia sanat.	Here comes the first source sentence to translate: Return them to their work within while you have had care for them as a compliment, until they are washed and cleaned, and attend to that which has been healed by your other treatments.
Capitol .xxxvi.	Given that "Capitol" does not provide textual content for translation
De extraccio de apostema de doas aurelhas e de aquel que es nada en le golayro e de las autras apostemas.	The extraction of splinters from the fingers and those that are nothing in the palm, as well as other such foreign bodies (splinters).
Quan endeveno en le golayro godat, so son glandulas las quals son asembladas algodat, las quals accideysso deforas e son nompnadas doas aurelhas, las quals quan tu las curas am aquo que havem dit en la divisio e no es sanat, lahoras tu considera si le apostema es dur, de fusca color, de pauc sentiment, lahoras no toques aquel am ferr.	When gout attacks the joints where these gathered gold-like tendons are located (which become inflamed and known as silver hairs when treated), if healing does not occur in this division and it is a dark, hard, indurated lump that you find therein—do not touch with iron.
E si es de roga color e la razic es grossa, lahoras no toques aquela am ferr per le flux del sanc; abantz layssa aquel entro sia madurat, e lahoras o tu trauqueras aquel, o sira romput per si.	If it is desired in color and the liver' extrinsic mass is large, do not touch that with iron as the flow of bile; leave it inside to mature therein, and if you must go through it, then cut it out by yourself.
E si es de blanqua color, radon, e la razit de lu es subtil, lahoras aquel es que cove esser inscidit.	If it is of white or bluish hue and subtle in nature, then that which has entered must be considered present within.
E la operacio en lu es que consideras, denant la tua operacio, si ja ha repausat le apostema de lu caut am repaus complit o si es deminuit am alcuna deminucio; e lahoras fay sezer le malaute denant le soleyl, e·l cap de lu sia en le tieu se, e huebre la boca de lu, e le servidor prenent entre las suas mas prema la lengua de lu dejos am instrument mot noble del qual aquesta es la forma:	When performing the operation on him/her, considering that during your operation if the suppuration of his/her wound has stopped or is decreasing in any way; and while doing so press downward on the swolthy area with one hand, place the cap of his/her head at their throat level, cover their mouth, and have a servant take between their hands placing pressure close to the tongue using an instrument noble for this purpose:
E sia fayt de argent o de aram, e sia subtil cum cotel.	And whether it is caused by silver or gold, or subtly with a cautery;
Donc cum tu premes am aquel la lengua e es mostrat a tu la apostema, e catz sobre aquel le tieu vezement, lahoras pren onci e fica aquel en l’amenla, e tira aquel a las partidas defora tant quant podes.	So when you perceive that the tongue is affected and show it to me, holding onto your teeth, stay there for an instant, then pull out as much as you can manage.
Otra aquo que tiras alcuna causa de las tunicas, e aprop incideys aquela am instrument del qual aquesta es la forma:	Another cause that pulls from the tunics (the outer garments or layers of clothing), and upon which this effect occurs is due to this very tool you are holding.
e es asemblat a forceps, empero las extramitatz de lu son corvadas, ayssi que l’orrifici de quascuna de aquelas es en le endreyt del autra, mot agudas, le qual sia de ferr indi enbegut.	and they are brought together with forceps; however, the parts outside of it become crushed, some becoming acute in their own right, either made entirely or partially of iron to begin them anew.
Mays si aquest instrument no es a tu present, lahoras inscideys aquel am spatum del qual aquesta es la forma de lu: E sia agut de la una part, no agut del autra part.	If this instrument is not with you now, then incis the bone of which it forms a part; if sharp on one side and blunt on another, so be it cut (or shaped).
E pus que has inscidit una mella, inscideys l’autra segon aquesta meteyssa manieyra de inscizio, e aprop la inscizio le malaute guarguarise de aygua frega	Here comes the sentence to translate: "And you have inserted an incision, following this method of incising suggested by medicine, and remove the inflamed gouty fluid from the groin.
Mays si endeve flux de sanc, guarguarise aygua de decoccio de scorsa de milgrana o de fuelha de mirtra e semblantz ad aquel de las causas stiptiquas entro que·l flux del sanc sia restreyt, e aprop cura aquel entro que sia sanat.	May it be that the flow of bile is purified by water distilled from hops or mint and cherries among these causes which restrict the flow of bile, and take care of what heals within those constraints.
E alcunas veguadas naysso en le guolayro autras apostemas otra aquelas doas aurelhas, e inscideys aquelas segon que yeu e dit en la inscizio de doas mellas engualment.	Here comes the first source sentence to translate: And sometimes in this place other pincers come into play for those teeth that have fallen out, and they insert them as directed within the mouth'dictation of lost teeth).
E yeu ja fu medicat una femna de apostema le qual era nat en le golayro de lu, le qual apostema tendia a color fusca, de pauc sentiment, le qual ja havia claus le golayro de lu, e la femna respirava am meat streyt, e ja havia prohibit a lu comestio e beure de aygua, e ja era pervenguda a la mort si mays agues stat per un dia o per dos.	Here comes the first source sentence to translate:
E l’apostema ja tant havia pugat que havia mezes dos ramps entro que eyssiro per dos traucs.	Even an ulcer had grown so much that it was measuring six spans inside where one could walk through, having passed two fractures within those bounds.
Donc yeu me cuytegui fisturalment e fiquegui en un de lor onci, e tiregui aquel, e atirada es de lu gran porcio, e aprop yeu incidigui aquela de on comprendegui del autre trau, e aprop yeu obrigui la boca de lu, e compremegui la sua lengua, e aprop yeu fiquegui le onci en aquela apostema.	So I was fed through one of their orifices and held there, then dragged out the large portion from it, and examined that part which I understood about the other wound, sealing its mouth, cleaning his tongue, and making him hold on to that jaundice in that affliction.
E aprop yeu abscizi gran partida de lu, e no corria de lu sino un pauc de sanc.	Return now (and) take away great parts of it, and not much running blood remains in it.
Donc absolut es le guolayro de aquela femna, e comensec tantost beure aygua, e aprop presec vianda, donc yeu no cessegui inscidir de aquela apostema motas vetz per lonc temps, e succesia apostema en loc de aquel, le qual inscizia entro que es prolonguat aquel.	So this is the translation of each line:
Donc yeu engen agui e cauterizegui le guolayro de lu, donc astec de addicio; e aprop yeu perambulegui e no saubi que fec Dieus de aquela aprop mi.	So then you should engage and cauterize the swelling of it (the patient), thus cease from adding to its condition; walk around with it, but don't let any intervention occur that is beyond what God has allowed me for this treatment.
Capitol .xxxvii.	Capitol .xxxvii.: (The translation of this line is not possible due
De inscizio de huvela quan es apostemada.	Translating the given medieval medical treatise snippet into English, while considering its Latin roots and potential influences from Italian, Spanish, and French, we get
Quan catarr deysen a la huvula, e es apostemada e es longa, lahoras ela es nompnada perpendicular; e si es en la partida dejos grossa e redonda, e lahoras ela es apelada buba.	When arthritis affects the joint (presumably referring to "huvula" which may be a typographical error for 'humora' or synovial fluid), it is long and insidious; if it occurs in the thick, rounded part of the body segment, then they call it bunion.
Mays quan es curada am aquo que havem dit en la divisio, e no comfereys la tua curacio, e eyssament ja vezes que apostema caut ja es ostat de lu e es subtil, lahoras cove que tu inscidas aquela que es agreguadas redonda; e si es ad aquela longitut, e es sanguina, de fusca color o de negre, e no es a lu centiment, lahoras cove que tu temtes la inscizio de lu, quar en aquela es temor sobre le malaute.	When you are healed from the water that we have discussed in section (and your care does not hinder it), and at times you must apply hot cautery sharply and subtly; if directed to this long, red or black bloody wound which is outside of its circumference, wherein you fear inserting a needle into it – there too lies the dread in relation to the thigh.
E quan tu vezes aquela segon la manieyra que yeu he dita de la sua blancor e longuesa, que tu fassas sezer le malaute e premas la lengua de lu am instrument del qual procesic la sua forma e aprop fica le onci en la nuva, e tira aquela en jos e inscideys aquela am un de dos instrumentz les quals e ditz en la inscizio de dos mellas.	When you time that second movement he dictated about his whiteness and lengthiness (referring to the patient's body shape), make a bowel opening, press the tongue of him with an instrument through which their form is fixed in place for a moment on the navel, and pull it out either from one or two instruments used during inspection at each hip bone.
E cove que no inscidas aquela sino aquo que es ajustat sobre le terme natural ses addicio, quar si tu inscides de lu mays, lediyras le sieu parlar.	When it is not filled with that which has been adjusted to the patient' extrinsic function (natural term), but if you insert into it even a portion of what fits naturally, then speak freely about its purpose.
E aprop la inscizio, usa de aquo le qual havem recomtat en la inscizio de dos mellas, e cura aquela entro que sia sanat.	Return (or bring back) the inflammation into its cavity using this water which we have applied inside of two thighs and take care that it heals within there.
Mays si era le malaute espaventat per la inscizio de lu, cove que use de engen en la cauterizacio de lu ses temor, e la manieyra del cauteri en lu no es sino am aygua aguda, e es que tu pauses le cap del malaute en le tieu se, e aprop prem la lengua de lu am le instrument le qual havem dit, e aprop pren de l’aygua la qual havem dita en le capitol de cauterizacio, e comfeys am aquela caus viva, e pausa aquela no spessa ni subtil, e de aquela omple la concavitat de l’estrument del qual aquesta es la forma:	If the patient is terrified by his ignorance and fears during cauterization (the use of heat), then this trembling is merely water in motion, and you should pause at the top of the thigh where your hand rests on it. Place your tongue against the instrument that we have mentioned beforehand for performing cauterization, pressing with both hands into the stream of boiling water (the medium used here), ensuring a firm grip without excessive force or subtlety. By doing so, you complete the hollow shape of this particular tool:
Sia la extramitat de lu conquavitat en la qual sia pausada la medicina ayssi cum la conquavitat de culher de ray, e pausa le strument am la medicina sobre la vula, e·l malaute jagua sobre le sieu latz per so que corro saliva o musellage de la boca de aquel per la intrinscequa medicina, per so que no deyssenda de aquela deguna causa sobre le golayro de lu e que ledesca aquel.	Here comes the first source sentence to translate: In which medicine is paused as in the cavity of a needle'dictor and where the instrument rests on its hilt, so that saliva or mucus from his mouth may not enter into this intrinsic medicine, thus preventing it from affecting any cause upon their joint.
E aprop te la tua ma am la medicina, e exprem aquela sobre la uvula per l’espazi de miega hora entro que vegas aquela esser denegrada e sedada per la mordicacio de la medicina.	Here you take hold of your hand and apply it to the medicine, expressing that place on the uvula through the spaces between meals until that thing becomes darkened and numb due to medical application (the use of a cautery).
E si vols, prengues coto e envolopes aquel sobre la extremitat del ray, e submergeys le coto en la medicina, e entrometas le ray am le coto en una canula de sobre entro que·l coto adheresca en aquela canula, e fay aquo tantas vetz entro que consiegues aquo que vols de la cauterizacio de la uva, e aprop leyssa aquela quar ela se seccara e cayra aprop tres dias o quatre.	If you wish, cover and wrap that over the limb extremity, immerse it in medicine, place your ray (presumably an instrument or treatment tool) inside this covering soaked with medicinal substance, allowing as much of it to seep into the object for the equivalent amount needed for cauterization like wine, and apply a dressing. Afterward, leave that on there for three to four days.
E si indigeysses que iteras la medicina, itera aquela, e aprop la cauterizacio abstergeys en le circuit de la uva am coto enbegut en boder, e mondifica am aquel aquo que es en le circuit de lu de la medicina, e sia lavat am aygua frega, e sia curat deforo am embrocacio, e dedintz am guarguarismes entro que sia sanat.	If indigestion you are experiencing in the course of medicine, repeat that treatment and apply cauterization within the loop of the uterus at its beginning inside the boundary, cleanse whatever is present there with water rinse, wash it thoroughly with soap, treat open wounds properly using a bandage, and ensure healing occurs while monitoring for signs of gas gangrene.
E aquesta especia de curacio es pus salva que inscizio e pus long de temor.	This remedy is applied with care because of fear and has been used for a very long time.
Alcunas veguadas es curada la uvuola am aquo que es pus subtil que cauteri e inscizio, quar es curat am subfumigacio en aquesta manieyra: recipe calament, ysop, origua, ruda, scicados arabic, camamilla, broyda e semblant ad aquels de las erbas, e ajusta totas aquelas causas, o alcunas de lor, en una ola, e sian submergidas am vi agre, e bulhan; e la ola sia be lutada am lut decentment, e sia en le mieg loc de la ola un trauc, sobre le qual sia pausat un instrument conquau de aram segon aquesta manieyra; sia fayt de argent o de aram.	1. Some times it is healed by the water put undernethy that are delicate and sharp instruments or herbs, in this method: rosemary, thyme, sage, rue, Arabic scissors, chamomile, broth, and similars to those of plants; adjust all these causes, some of them perhaps, into a bath, submerged therein well-dressed, with the water being drawn up cleanly. And on this level where the water is bathed lies an obstruction (hernia), upon which rests a cautery made from silver or metal as per these instructions:
E sia entromesa la extremitat en la boca del malaute entro que la vapor poge a la uvula sobre la quanula, entro que la uvula sia mot ofuscada.	And insert the limb into the mouth of the malady until the breath rises to touch the tonsil and makes it blurred.
E aprop itera sobre aquela motas veguadas entro qu’es secca, e guarda te que no fassas aquesta curacio al comesament de l’aveniment de apostemas, quar trop ajustaria en le apostema, e no cove que tu fassas aquo, sino deves la declaracio de apostema de lu caut.	Return the wound on that dry spot repeatedly until it heals, and be careful not to perform this treatment during mealtime as it may interfthy with digestion which could complicate the application of applied pads or bandages; otherwise, you'll need to declare an abscess.
Mays si no es a tu present aquest instrument, lahoras pren una cana e compon en la extramitat de lu un clos de huou, per so que la boca del malaute sia comborida, quar le closc del huou prohibeys la vapor comburir la boca.	May it not be that you do not have this instrument with you? Then take a can and compose outside its exterior an enclosure made of hay, so that the mouth of the bladder is warmed, whereby the smoke from the hay prevents the warmth from reaching the bladder.
E aquesta curacio es bona am salut.	This treatment is good for health.
Capitol .xxxviii.	The provided text appears to be an excerpt from what seems like medieval medical or surg
De extraccio d’espinas e de aquo que adhereys en le golayro e de las autras causas.	From the extraction of thorns and waters (or other substances) that are stuck in the foot, along with other causes.
Motas veguadas adhereys en le guolayro o spina de peys o alcuna autra causa.	Movements persist in the groin or backbone of the leg, or another cause.
Adonc cove que tu extraguas aquo que de aquels es apparent, sobre le qual catz la vista, pus que tu premes la lengua am instrument denant solelh, per so que a tu sia declarat aquo que es en la guola.	Now when you extract what appears from those things above the surface where it'dicted by your sight, place your tongue on that tool before sunlight (the day), to declare whether it is within the gout.
E aquo que no apar e es a tu occultat en le guolayro, cove que tu fassas vomir le malaute denant que la vianda sia degerida en l’estomac, quar fort leu la causa annexsa le golayro sira foro-getada per vomit; o que deglusia le malaute una pessa de nap o de razit de laytuga o un boci de pa sec; o prengua una pessa de sponga marina sequa leon, e lia aquela fortment am fiel, e aprop le malaute transglussia aquela, quar cum perve al loc en le qual so spinas e es extrahuda, lahoras so foro-getatz.	Here comes the first source sentence to translate:
E mays pren una anguila e be am fiel liada, e sia dedintz mesa e soptament sia extrayta; o pren un porr e soptament le metas e soptament l’en tratz.	May take a fish and bind it with its flesh, or may place the thighs on top of each other (and fix them in this position), as well as apply pressure to remove blockages; alternatively, use a pork cutlet along with suppositories for insertion.
Mays si no so foro-getatz am aquelas causas las quals havem ditas, lahoras husa de un instrument de plom segon aquesta forma:	May it not be that these causes are brought about by an external factor as stated herein; if so, use a lead tool in this manner.
E sia pus gros que ray un petit, e en la extramitat de lu sia conquavitat la qual tu entrometas en la sua guola am facilitat.	And when a large stone enters beyond its cavity therein provided for it within the patient's body, which you introduce into their bladder with ease;
E el aga le sieu cap elevat en sus, e guarda te que·l tocament del sieu os de la gola, per so que endevengua a lu cos e am aquela que enpellesca le os o la spina, o que aquel le metge am la sua ma.	And lift the patient'se head upwards and ensure that their mouth touching is prevented from falling onto their neck or backbone, as per doctor’s commandment for such care.
Mays empero que·l malaute aquel entrometa es miels, per la sua sciencia del loc de la causa annexa e enpellisca en jos, e tira la sua ma am le instrument en sus, tot aquo segon la quantitat la qual es a lu preparada entro que sia foro-getada.	Even if the malady has entered that part of the body where it is supposed to reside according to its knowledge and nature, thereupon draws out your hand with the instrument prepared as per necessity based on how much you have readied yourself within this gate-opened space.
Capitol .xxxix.	In translating this medieval medical text line by line into English while attempting to preserve
De extraccio de sancguisugua annexsa al golayro.	The phrase "de extraccio de sancguisugua" appears to be in a language that borrows from Latin, with possible influences of Spanish or Italian given the mix and similarity
Quan es medicada sanguisugua am aquo que havem dit en la divisio de la curacio am medicinas e no comfereys, considera lahoras en le guolayro del malaute al solelh, pus que tu aias compremuda la lengua de lu am instrument le qual a tu havem recomtat.	When bloodletting is medically administered as part of the healing process in medicine and does not cause discomfort to you, consider that it may be appropriate for treating hemorrhage within an abdomen wound; thus take the tongue depressors we have provided.
Donc si tu vezes la sancguisugua, extratz aquela am onci petit o am gesti subtils decentment.	So if you experience a sankey-swallowing sensation again, extract that small or subtle movement delicately.
E si no es a tu possible estrayre am aquel, lahoras pren una canula concava e entromet aquela en lo guolayro del malaute, e aprop pausa en la concavitat de la canula un ferr ignit, e fay aquo tantas vetz (entro que la sancguisugua sia morta e se osta del guolayro) e abstengua se le malaute tot lo jorn de aygua.	If it is not possible to extract from there, then take a concave cannula and insert that into the groin of the malady, placing your pause in the indentation of the cannula with a heated iron rod (making sure that the sycgenia is dead and held within the groin for the duration of the water bath), thereby restraining it completely.
E aprop prengua una veyria plena de aygua frega, e obra la boca de lu en aquela, e lava la boca am aquela; e no trasglucia de aquela alcuna causa e maugua l’aygua una hora aprop autra am la sua ma, quar la sancguisugua tantost cum sent l’aygua catz.	Here comes the first source sentence to translate:
Mays si no es foro-getada am aquo que havem recomtat, lahoras subfumigua le malaute am cimetz o am assafetida per le instrument le qual havem recomtat en la sufumiguacio de uvula.	If there is no medicine prescribed for the moisture we have recommended (the fumes), then blow into/on their throat with an herb that was used in vaporization, to expel humidity from the mouth area where it has accumulated due to steam.
Fay aquo, so en quar cayra.	When they come here in sickness (the implication being that people arrive when ill), let it be known/understood/
E es un’autra manieyra de operacio en sufumiguacio de aquela, es que tu prenguas una ola en la qual sian carbos ignitz e la ola sia cuberta am una cobertora en le mieg de la qual sia un trauc, e sia compausat en aquel trauc la extremitat del instrument; e aprop dega desus la subfumigacio; e pause le malaute la sua boca en la extremitat de la canula, e claugua la sua boca per que la subfumiguacio no sia foro-getada entro que sapias que la subfumigacio es pervenguda a la sancguisugua, quar la sancguisugua tantost cayra.	When they come here with sickness (meaning patients arriving at the clinic or hospital), it is another aspect of suction therapy for that person which involves carbons being burned in a vessel, and within this same container there's an opening; hold below where you are performing suction. And pull their mouth back to keep suction from entering further when you know the suction has reached the wound area—where they feel pain (the specific location of the patient’n discomfort).
E si no catz, lahoras tu itera la subfumiguacio motas vetz, e abstengua le malaute de beure, e mange causas saladas e alhs, e no begua aygua, e ayssi necessari es que am aquest regiment sia fora-getada.	If not already done, then repeat the subfumigation movements, and prevent the humors in the body from drinking (absorbing liquids), eat salty and acidic foods, and do not drink water, as it is necessary that this regimen be followed.
E aquesta es la forma del instrument am le qual es trayta sancguisugua del guolayro quan es vista; e es semblant a forceps ayssi cum vezes, sino quar es en lu alcuna curvitat:	This is the form of the tool with which one extracts pus from an abscess when seen; it resembles forceps but without any curvature herein.
le qual sia mesa al guolayro, e la extremitat de lu es semblant a bec de ciconia, que es guanta, en la qual es aspretat de lima, per so quar, quan comprem alcuna causa, aquela no leyssa.	Here comes the first source sentence to translate:  
Capitol .xl.	In this line of medieval medical text translation from Latinate languages into English
