Ayssi comensan las paraulas de Albucasim .	 When joints are afflicted by cold humors, each part of the body will be affected.
E sia fayta cauterizacio am cauteri de punt.	 And that cautery should be applied punctually.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	 If you wish, apply three cauteries or four cauteries on the medial collateral ligament as follows:
Capitol .xliii.	 Chapter 43
De cauterizacio al comensament de gilbositat.	 The opening of a bloodletting.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	 The beginning of the illness in children is marked by redness and swelling around the genitals, which causes discomfort when touching them.
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	 The thighs and buttocks of the patient begin to swell as well as other joints affected by gout.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	 When you want to prevent it, apply a cautery in this way:
que prengua le cauteri sobre tota partida del spondilh engualment.	 Cauterize all parts of the joint simultaneously.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	 If you wish, cauterize a line or two lines in the course of the joint with the cautery.
E sian les puntz propdas entre lor.	 Place them evenly between them.
E aprop cura le loc entro que sia sanat am aquo que havem dit.	 Apply it carefully in such a way that you can say what has been said.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	 Do not apply the cautery if you are also having a stroke or spasm of nerves.
Capitol .xliv.	 The end of this medical treatise.
De cauterizacio de podagra e de dolor de juncturas.	 Closing of gout and joint pain treatment.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	 Then cure the cause of gout and prevent further pain, apply a cautery to soothe it.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E sia cauteri olivar del qual aquesta es la forma de lu:	 The method you describe sounds like a procedure used to treat gout, where a pointed tool (cautery) is applied directly to the affected joint, causing pain and inflammation in order to stimulate healing.
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	 If it's necessary to make points on the surface of the foot, then do so with a pointed tool or cautery.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	 If the pain occurs in both hands or feet and it's necessary to apply points with a cautery tool on all of them, then apply that tool on each of them separately.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	 If the cautery is necessary for this treatment, then apply it only on the affected joint and not beforehand, just cover the area with a bandage.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	 If pain occurs in both hands or feet, then apply the cautery as you described earlier.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	 If the pain is only in one or both of these parts mentioned earlier, it's customary to apply a cautery on that part and those two lines.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	 If the pain persists in these parts mentioned earlier, then apply a cautery on each of them separately and over your hand as well.
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	 When joint pain occurs in joints or muscles, then doctors apply a cure to all parts of the body.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	 Do not evacuate the patient without proper medication and follow-up care if the cure is applied incorrectly it may cause harm to the patient
Capitol .xlv.	 This text seems to be a continuation of another medical treatise or passage, but its meaning has been lost over time. It could be related to the use of cautery for healing purposes.
De cauterizacio de rompeduras.	 Cautery on wounds.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	 When a hernia is located in the groin and intestines are protruding from it, then that should be treated as an emergency; doctors recommend that you feed the patient their normal diet on the day following the operation to ensure they recover properly and use gentle causes to prevent any opening of the wound in their abdomen.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	 Continue to hold the patient between their thighs with both hands over the area so that they cannot touch the wound or intestines.
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	 Then return to the position you were in before, and try to hold onto it so that the rupture does not happen near or on your fingers which are similar to an average circle at the base of the hand.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	 Then apply the cure by which this is done, namely the cautery
entro que sia mot rog e gete cintilhas.	 into or out of your hands
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	 Return the intestine or hernia to its cavity, and place your hand over the area to prevent the intestine from coming out.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	 You have already opened the space between the patient's thighs, placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	 Prepare the cautery to apply over that part of the body, and enter into an interval where you can make incisions on both sides at once; if there is not enough time for this in one interval, then do it sequentially with two intervals.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	 Observe the condition of the intestine during your cautery process to prevent it from escaping through a hole and causing harm or great injury.
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	 You know that when you perform the cautery without incisions, don't do the operation.
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	 The cautery for children should be milder than for adults and adjusted to their size.
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	 Prepare the area for three days before it is healed from the fire's scar.
E aprop cura aquel am les autres enguentz entro que sia sanat.	 Do this with respect to other people you encounter so that they may be healthy as well.
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	 The patient should sleep on their side for eleven days, ensuring the area is covered and protected from external contamination.
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	 "The patient's bowels should be examined thoroughly in relation to the length of time that has passed since their last bowel movement; otherwise, they may not have been emptied properly.
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	 "When you want to get rid of it in the next few days, the doctor will provide a treatment that is gentle and may take up to another few days.
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	 "The food regimen includes avoiding meat and alcohol as well as being very thirsty; when following this regimen of health care, illness will certainly not occur.
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	 "The doctor will cauterize the rupture in another part of the abdomen and start with it, so that they are not delayed, the doctor cautorizes the rupture through a pointed cautery according to its size; and when treating this way as we have said, do not adjust.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	 "The first rupture would be cautorized through a triangular pointed cautery according to this form; and when trying it out, hold tightly.
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	 "Stop the bleeding with a tourniquet applied to the area of the rupture, and place another hand on top of it; then remove your first tourniquet as soon as possible.
Capitol .xlvi.	 ".66
De cauterizacio de torcio.	 "Cautorizing the wound.
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	 When the pain occurs in multiple joints or continues for a long time and does not subside despite medical care, then apply cautery punctures
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	 And if the cauteries are applied to all parts of the body in proportion and variety, and location and pain, do so.
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	 Then if the cautery is applied to the first joint, it's done; otherwise, repeat on that part with another cautery until the pain subsides at that location.
Capitol .xlvii.	 Chapter 57
De cauterizacio de lepra.	 The cautery for Leprosy.
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	 Cauteries are applied to the affected areas in young people and even when there is a specific type of leprosy due to putrefaction of flesh and melancholy.
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	 When you want to cauterize that affected area, consider if leprosy is common and whether the treatment has been done in division or not, nor this one, and be afraid lest the corruption penetrates all over the body of him and all his completeness, then cauterize it on top with cautery points: at one spot near the head, at another point from him, shave off the hair at the end; at both ears; and at last behind, in the nape or feathers.
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	 When the pain is unbearable from large vapors, then make a small incision in their mouth and cut through the nerves to alleviate the choking of the vapors. And if it is necessary, burn with a pointed cautery over the middle
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	 If the leprosy has spread across the patient and is very evident, then you should burn those cauteries that we have mentioned earlier on his head; also above the nose, two over each of their shoulders, two over both elbows, one over each ankle, two over both hips, one over the chest, a second over the back, two over the arms, one over each arm, two over the thighs and one over each thigh. Burn these cauteries on all joints of his limbs, as well as those below their feet and at the bottom of their feet
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	 Keep from burning any nerves that are above this line to prevent them being damaged.
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	 Some veins should be burned with a single cautery over the throat and another over the stomach, as well as one above the intestines.
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	 You know that for as many joints you burn cauteries, the more severe and frequent they are; also know that if a patient is not experiencing pain from those cauteries, then this means their chest has already been burned in such a way that it becomes inflamed.
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	 When joint pain occurs due to cold humors that infiltrate each part of the body, and foot pain arises, it is commonly called gout by doctors.
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	 Then gently rub with coarse powder
Capitol .xlviii.	 48th book of the Capitula
De cauterizacio de stupor.	 Cautery on gout.
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	 When any member is stony or stiff and it's being treated with medicine, if the numbness does not subside, then you should cauterize that member using the pointed cautery after determining whether its size is great or small.
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	 Then let him open a vein with very little blood pressure.
E aprop cura aquel am enguent entro que sia sanat.	 Then gently rub that member with coarse powder until the numbness subsides.
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	 All the veins of that member are cauterized to prevent numbness in the hands and feet, and it releases the tension from the nerves associated with that member, thereby eliminating the numbness.
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	 Do not worry about this unless you are also examining the anatomy of the member and its exit from the nerves throughout the moving body.
Capitol .xlix.	 49th book of the Capitula
De cauterizacio de albaras que es morfea.	 Cautery on gouty fever.
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	 When the gout is acute and does not respond to the intake of medicine, you should cauterize over that member with a pointed cautery after determining its quantity in relation to the size of its cavity, so that it becomes white and red again, then changes color.
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	 When joint pain is caused by cold humors that infiltrate each part of the body and causes pain in the feet, it is customary to call it gout among doctors.
Capitol .l.	 And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery.
De cauterizacio de cranc.	 Cautery for wounds.
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	 When a tumor is suspected and you want to remove it, the doctor will make incisions around its circumference as needed in order to remove it completely.
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	 The healers warned that the incision should be made with utmost care in order to avoid complications and prevent infection.
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	 It is recommended that the cautery incision follow the tumor's circumference as closely as possible, or it may be necessary to make multiple incisions.
Capitol .li.	 And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery.
De cauterizacio de adubilati.	 Cautery for ulcers.
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	 When any ulcer is suspected and treated with cautery, whether it's for excessive wetness or the state of the patient, which causes decay in a few weeks, or due to old age, you want to heal the ulcer through cautery; the doctor will make incisions around its circumference as needed.
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	 When you want to perform a cautery incision, first make sure the cautery is ready and pause it in this place so that it doesn't penetrate further into the body.
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	 If the cautery is already at that location and has caused harm to the arm, then apply a bandage over it to prevent further damage.
Capitol .lii.	 "This text seems incomplete or possibly incorrect.
De cauterizacio de corrodent.	 Cautery incision
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	 Corrosive material causing damage to the member, which causes it to rot and dry out when exposed to heat
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	 Then if corrosive material occurs in the location where a cautery was applied with heat, then doctors usually apply cauteries sparingly and cautiously in that specific location.
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	 Then if you cauterize the entire surface to prevent all corrosion without causing any harm to it.
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	 Then apply it for three days and pause on the cauterized locations so that all scabs are removed and all corrosion is prevented.
E aprop cura aquel am enguentz carn engendrantz.	 Then apply it to regenerating flesh (tissue).
Mays si aprop tres dias vezes que la carn nasca sana en la qual no es corrupcio, bo es; mays sino, lahoras itera le cauteri sobre aquo que es romas en les locs corrumputz.	 Then repeat the cautery on that which is rotted in the locations of corrosion if healthy skin does not appear or regenerate.
E corrodent es medicat alcunas vetz am medicina aguda, quar aquela es meza en loc de cauteri.	 When a patient has acute medicine, which should be used in place of cautery
Mays empero cauteri am foc es de pus leugier juvament.	 Cautery may not be used if the patient is young
E yeu ja e dit la curacio de lu am medicina aguda en la divisio, e donc pren aquela quan de lu auras endegencia.	 If a patient has acute medicine in their division, then remove it when they have need of cautery.
Capitol .liii.	 .
De cauterizacio de claus e dels autres semblants.	 Cauterization of the closure and other similar ones.
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	 Gout attacks the foot and is caused by excess fluids, which are excreted through urine. It is customary to use cautery in such cases on the second day of the attack; that is, cautery for warmth and cautery with cold water.
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	 Cautery with fire should not be used in conjunction with similar remedies that could cause an excessive loss of fluids, which would indicate a second attack is imminent. The severity of the loss should be taken into account when deciding on the use of such cautery.
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	 Then place your hand over it and move the hand towards the cautery in the path of the gout until the cautery reaches the bottom of the gout.
E leyssa aquel per tres dias entro que comense getar brac.	 The attack will last for three days once it begins.
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	 Then place a poultice of salt on top and leave it for one night to help draw out the toxins.
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	 The first line translates as "Then return the intestine or hernia back into its cavity.
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	 "Then return the intestine or hernia back into its cavity.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	 Then take them to those who will administer them on all of their parts in the body.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	 "Then return the intestine or hernia back into its cavity.
Capitol .liiii.	 The end of the text.
De cauterizacio de tremor.	 Cautery for tremors.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	 When you want to cautery for tremors in the nerve or because of fever caused by cold humors, or any other cause like that, doctors do this: they cauterize it with four points, and between each spine there's a cautery; also on the chest of them, and on their stomach.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	 The tremor of him shall cease and bring about recovery in his illness.
Capitol .lv.	 When joints are affected by cold humors that infiltrate each part of the body, pain occurs in the feet; it's traditionally called gout.
De cauterizacio de albati accidentz al cors.	 Cautery on the abdomen
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	 Cautery on the abdomen, and pustules form in those parts filled with corrupt materials; so that at the beginning of it, a cautery is applied over all part of the fistula by a subtle cautery, extending to its end; or by a long cautery; or by a lenticular cautery.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	 Cautery on the abdomen at the beginning of its expulsion following this manner, and do not cauterize superfluous veins that are causing it, but cure them instead.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	 However, I want to mention that this is a form of phlebotomy.
Capitol lvi.	 When joints are affected by cold humors that infiltrate each part of the body, pain occurs in the feet; it's traditionally called gout.
De cauterizacio de fluex de sanc accident per incisio de arceria.	 Cautery on the abdomen incision of artery
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	 Superfluous veins that end in the artery may be cauterized to seal off the gap or to cauterize the member itself; and if it is difficult to restore them, they will have to go away.
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	 Therefore, when such occurances happen to the artery of yours, you must touch with a pointed cautery on the orifice of the artery, and place your hand over it so that no superfluous vein comes out;
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	 And then place a cushion on top of the heated cauteries slowly, gradually, one by one, and exhale over those to be extinguished.
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	 And then gently place a cushion on the small or large artery where it is broken in such a way that you can see the vein very clearly, and put in the cautery to be extinguished and tightened that artery.
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	 If the artery is pulled out when you remove the artery tie and extinguish the cautery, then apply another cautery quickly from the ones that are prepared in the fire, so do not stop doing this until the artery is tightened again.
E guarda te que no comburas le nervi que aqui es, e que vengua sobre le malaute autra malicia.	 And remember to not touch the nerve here unless there's another harm in it as well.
E sapias que quan de l’arteria flueys sanc, lahoras no es possible en aquels restrenge la sanc, e majorment quan l’arteria es gran, si no am una de quatre manieyras: o am cauteri ayssi quo dit havem, o am extraccio quan no es extrayta, quar quan es extrayta las extremitatz de lu miels son comburidas e es restreyt le sanc, o que sia liat am fiel o am liament per fort strectura, o que sian pausadas sobre lu medicinas de las quals la vertut es restringir la sanc; e sian strengudas am pulvinar am costriccio decent.	 You know that when the artery breaks, it is impossible to tighten it in such cases except for four possibilities: burn cautery like this one, extract if not extracted or tightened by force stretching of the limbs are inflamed and restricted, be faithful or firm constriction, or have pauses on medications that limit blood flow, which should be strict.
Mays aquel que aministra restriccio decent de lu am liament e am strictura am draps o per posicio de causas comburentz e de semblantz, no comfereys sino tart.	 He who administers excessive restriction of the limb and tightening on the dressings or by positioning that causes inflammation and contusion, it is not advisable but harmful.
Mays si aquo endeve ad alcu e no sia le metge present ni medicina, lahoras obre am pausament del dit indic sobre le orrifici de aquela vena ayssi cum havem dit, e entenda a la gran costreccio de lu entro que le sanc sia ostat de la sobirana partida de la plagua, e sobre la arceria le dit no sia remaugut; e de sobre la arceria sia aspergit am aygua frega de mot gran fregiditat entro que·l sanc sia congilat e engrossat; e mays cossire en que ha de cauteri o de medicina necessitat.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customary to call it gout by doctors. And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery. Then return the intestine or hernia to its cavity, and place your hand over the area to prevent the intestine from coming out. You have already opened the space between the patient's thighs, placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
Comensa la segonda partida.	 Here comes the second sentence to translate: "You have already opened the space between the patient's thighs, placed a cushion under them...
De incisio e perforacio e ventozas e de fleubotomia e de plaguas e de lor semblants.	 incision, perforation, and ventilation; for abscess, pleurisy, and similar things
Aquestas son paraulas de Albucazis.	 These are the phrases of Albucasis.
Ja havem dit en le primier capitol tota malautia en la qual cauteri am foc es convenient e am medicina comburent, e las occasios e las causas de lu, e les instrumentz en aquels necessaris am las formas dels cauteris; e he ordenatz les capitols de la subiranetat del cap entro als pes.	 In the first chapter of a medical treatise, there are discussions on cauterization and its use in medicine as well as the causes and methods for performing cauterization procedures; also order the chapters from the top to the bottom of the body.
E yeu procesire en aquest capitol per aquela meteysa guisa, per que sia alliujat lo querent aquo, lahoras sobre aquo que aura demandat.	 You will proceed in this chapter according to that method so that it may be understood by those who request it.
E denant que yeu comense aquo, cove, fils, que aprenguatz que en aquest capitol es per terror aquo que es en le capitol primier de cauterizacio.	 And when you start doing this, father, son, learn that in this chapter we discuss the procedures of cauterization.
E per aquo que cove que sia en lu gran cautela, quar en la operacio la qual es en aquest capitol motas veguadas catz evacuacio la qual es am sanc am le qual esta la vida deves la aspersio de la vena o incisio sobre l’apostema o apercio de exsitura o puracio de la plagua o extraccio de sageta o incizio de peyra e a lor semblantz.	 When great care is taken in the operation of this sort, as during which kind of operation it is necessary to use caution?
E de totz aquels so acompanhatz temor e tremor e en le mas de lor catz la mort.	 During which type of operations are there often fear and trembling, and in the worst cases can lead to death?
E yeu amonesti vos que sobre vos no caia aquo en le qual es esitacio, quar alcunas veguadas cazo deves vos manieyras de homes am manieyras motas de malautias.	 Are you saying that during some operations people may go crazy?
E de lor es alcu que s’irays am la sua malautia e es leugiera deves lu la mort, e aysso per la vehemensia de aquo que troba de sa malautia, e per longuesa de la malautia de lu, e am la malautia es paor la qual significa mort.	 Are you referring to the fear of death that comes with learning about one's illness?
E de aquels es le qual dona a tu son aver e ditta, tu esperant am aquel sanetat, e la sieua malautia es perniciosa.	 Do these refer to illnesses which are fatal and deadly?
E donc no cove que tu consentas en aquel que ve a vos del qual es aquesta manieyra; e la vostra cautela sia major que covesitat e la vostra rapacitat; e no presumatz alcuna causa sobre aquo sino aprop sciencia certa la qual virifica aquo deves vos, e al qual perve successio lausabla.	 Do not agree to anything that seems suspicious or doubtful. And show great caution and patience while learning about it.
E usatz en la curacio de totz vostres malautes de pronosticacio e indicacio de lu al qual es salut convertida, quar en aquel es a vos ajutori sobre adquisicio de fama e de memoria, de lausor e de gloria.	 Use the knowledge of all your illnesses to predict and indicate what will lead you to health, so that you may have wisdom and glory.
