Ayssi comensan las paraulas de Albucasim .	 When joints are afflicted by cold humors that infiltrate into each part of the body.
Usa en aquela de causas que mollifico ayssi cum es fenugrec, e embroca am la aygua en la qual son coytz altea e semensa de li, o enguent dyaquilon, le qual sia liquefayt am alcu dels olis, e submergeys en aquel la meca, e cura am aquel.	 Use on those causes that are very cold and have a tendency to freeze, by wrapping it in the water where you find it, or wherever else, such that it becomes liquid when exposed to the air, and immerse it in that liquid.
E lo tesaur de la tua curacio es que tu perforsses am tot engen que no sia consolidat segon la forma que foc al comensament.	 When your treatment begins it should be smooth and not consolidated after its form, as you focus on the beginning
E aquesta operacio la qual havem dita, no es sino alcuna rectificacio de ehalixacrati que no retorna la forma del loc segon que foc denant.	 This operation which we call for is only a correction of this particular location that returns its form after focus
Capitol .xiiii.	 It means "This operation, known as 'the coup,' corrects the unusual shape at one point on your body when you are focused.
De la cura de ehacrati le qual es fayt en la palpebra dejos.	 The treatment of this particular location is done in the eyelid.
Aquesta alxacrati la qual es fayta en la palpebra dejos, la qual es nompnada vertadierament alxacrati; e es de lu alcuna natural, autra accidental.	 This operation known as 'the coup' can be either necessary or accidental, and is done in the eyelid of that particular location.
Mays accidental es fayta per plagua o per scissura o per cauteri o per autres semblantz.	 The accidental operation can occur through a cut, a tear, cautery, or any other way.
E la via de la operacio de lu es que tu prenguas una agula en la qual haga fil doble, e fiques aquela en la carn, e que la fassas passar del lacrimal de senestre entro al lacrimal dextre, entro que·l fil pervengua en las doas extremitatz de la carn.	 The way of the operation is to pierce a needle which has two branches, and fix that in the flesh, and then make it pass from the inner tear duct through the outer one, until the thread goes through both ends of the skin.
E aprop exten la carn a las partidas desus am la agula e cus aquela am la agula, e inscideys am spatum ample.	 After inserting the needle into the flesh and fixing it at one end, cut the other end off and extend it outwards.
E donc si retorne la figura de la palpebre segon que cove, bo es; e sino, pren le ray e pausa aquel en la figura fenduda, e am aquel converteys la palpebra, e fen las doas fissuras en le latz de la palpebra dejos.	 After you've corrected the shape of the eyelid as much as possible, or if not, take a thread and fix it in the split figure, and then attach it to the eyelid, and divide the two cuts at the bottom of the eyelid.
E sian las extremitatz de las doas fissuras de dos angles de la inscizio, la qual has fayta entro que concurren, e sia de lor fayt angle entro que quan se congreguan sia fayta figura de lor.	 "The two fractures of the two angles of the incision have been opened, so that they run together and form a figure with them.
E aquesta figura es letra greca: la landa.	 The Greek letter used for this is lambda (Λ).
E aprop osta la carn aquela per la quantitat que es le latz de lu agut dejos de lu, aquo que siec la palpebra.	 Then take that flesh on the amount as long as it takes to cover his eye, so if necessary use a bandage
E aprop ajusta las partz seperadas e cos aquelas am le fil de lana; e aprop cura aquelas am aquo que havem dit de las medicinas mollificativas e de las calguas entro que sia sanat.	 Then adjust the separate parts and combine them with wool thread; and care for those mentioned in the prescriptions of soothing medicines and waters so that health is restored.
E si alxacrati endeve per fissura o sutura o cauteri, lahoras cove que tu fendas am fissura plana sobre les pels de la palpebra segon que es precedit.	 If you need to make incisions or sutures or cauteries, the doctor will do so with a sharp blade on the edge of the eyelid after it has been mentioned.
E aprop separa am la calgua entre doas labias segon que havem dit.	 Then separate the water between two lips as indicated.
En la suma del sermo de la cura de alxacrati quan es desus o dejos, que corra en lu operacio, segon que es preparat de la forma de alxacrati, e aquela es en forma de motas diversitatz.	 In the sum of the chapter on treating wounds when they are treated or removed, that should run in their operation, after it has been prepared in a way to treat wounds, and this is in the form of various stitches.
E le artifexs savi totz temps prepara engen en quascuna manieyra la qual es possibla a lu entro que fassa retornar la figura a la forma natural, o prop de aquela, e aquel malaute segon que a lu conveneys de la operacio e dels strumentz en las majors disposicios.	 It is necessary to prepare each time that there may be an opportunity for the figure to return to its normal form or from it, and that patient after surgery and tools in larger amounts.
Capitol .xv.	 When a person has a sudden onset of severe pain in one or more joints caused by a cold humor, it is known as gout among medical practitioners.
De la adherencia de la palpebra am la conjunctiva o am la cornea.	 From the adherence of the eyelid to the conjunctiva or to the cornea
Quan accideys aquesta consolidacio a motz homes enayssi que sia solidada la palpebra pus desus am le album del huel, e sia prohibida de la facilitat del movement e de las suas obras naturals, donc cove que tu entrometas la extramitat del ray dejos la palpebra, e eleva en sus aquela, o exten aquela am le unci.	 When this adhesion occurs on the upper eyelid and is solid enough to block the passage of tears through it, and prevent natural movements as well as artificial ones, causing that eye to remain raised or extended.
E aprop tu inscideys la adherencia am spatum subtil, le qual no sia am acuitat de las inscisios, habantz obtus un petit per so que·l malaute no sia inquietat deves la operacio, e remau le spatum que no ledesca le huel am la sua acuitat.	 Then you cut a small incision in the subtle adhesion which is not too painful to perform an operation without causing distress for the patient and remove the skin as little as possible while keeping its sharpness.
E sia la tua inscizio quays excorjan aquela adherencia am facilitat entro que sia retornada la palpebra segon la sua forma natural e que sia sanada tota la adherencia.	 And after cutting through this adhesion you will return the eyelid to its normal position and heal all adhesions completely.
E aprop tu met en le huel aygua salada am la qual tu laves; o distilla en lu de zunia dissolvut en l’aygua.	 Then you rinse or distill it with salty water until dissolved in the water.
E aprop separa entre la palpebra e l’huel am calgua de li, e pausa sobre le huel lana infuza en album de huou, e aprop le tertz jorn usa de causas consolidativas entro que sia sanat.	 Then you separate it from the tear ducts and let it dry in a cool place before using causes for solidifying to ensure its safety.
Capitol .xvi.	 When there is inflammation of the eyes caused by cold humors that spread into them, causing pain and redness, doctors call it ophthalmia among medical practitioners.
De inscizio de ungla e de eminencia de carn dels lacrimals.	 From incision in the eyelid to the emergence of tears from the tear ducts.
Sapias que ungla es segon dos manieyras, quar o es nervosa, e es semblant a ciphac dur subtil; o es no-nervosa, semblant a humiditat blanca congilada, la qual quan ferr la toca, o es forsat aquela prendre am onci, es abscindida e le onci no es ficat en lu.	 "The second vein opens with a sound like that of the first one; either it is nervous and similar to a sharp pain felt when pinched or it is not-nervous, similar to dried up white moisture, which when applied causes it to be taken away by anyone nearby.
E amdos las specias no comensan sino del lacrimal major entro que va petit a petit que cobre la vista e prohibeys le lum e·l movement de huel.	 The latter vein does not run like the others, but rather it starts near to the eye and gradually moves downwards towards the forehead, preventing any light from entering or moving across its surface.
Mays la manieyra del obrar en la inscizio de lu es que·l malaute pause le sieu cap en le tieu se, e aprop obre les huels de lu, e eleva la palpebra am la tua ma, e aprop colligeys la ungla am onci de pauca duplicacio e exten aquela a las partidas desus.	 When the vein of work is inserted into the patient's body, it should be placed gently in their head and covered with a hand or glove to protect from infection.
E aprop pren una agula e entromet en aquela un pel de cavalh o de buou o de vaqua, o de semblantz, o de fiel fort, o duplica la extremitat de la agulha petit a petit e fica aquela en le mieg de la ungla, e penetra aquela am la agulha, e lia am fiel la ungla; e exten aquela a las partidas desus, e excorja am le pel le latz de la ungla lo qual siec la pupilla.	 The needle is inserted into the patient's body in any way you want - through the ear canal or nose, for example, or by making an incision near the finger and placing it there - but once inside, hold it firmly with one hand while using the other to penetrate its surface, ensuring that both are used equally.
E ayssi tu sieguas aquela am le pel entro al derier de lu.	 You place a bandage over their right shoulder.
E aprop tu inscideys le romanent en la razitz del lacrimal am spatum subtil o am petitas forfexs, e leysa la carn del lacrimal natural per so que per inscizio de aquela no endevengua fluxs de lagremas continuabla.	 You insert a bandage gently and securely on the brow to prevent sweat from entering or causing any other discomfort during this procedure.
E alscunas vetz la ungla am le sol onci estenduda o am fiel, ayssi co havem dit, e aprop sia excurjat am spatum leon del qual aquesta es la forma de lu:	 "When pain occurs in the soles of the feet when cold humors infiltrate each part of the body.
E guarda te que am le spatum no toques la tunica cornea e que avengua en lu ruptura, e que la pupilla sia perforada.	 Keep your foot away from the exposed skin and prevent tearing it. Also make sure to puncture a hole in it if necessary
Aprop la inscizio geta en le huel un pauc de sal trissa o di cief fayt de siniar, e leyssa aquel entro al autre dia; e aprop cura aquel am aquo que cove entro que sia sanat.	 Insert the incision with a small amount of salt water or vinegar, and let it heal for one day; then take care of it as it is now healed.
E si la ungla no es nervoza e no podes metre la agulha, ni es ficada en aquela le onci, lahoras motas veguadas aquesta specia de ungla es curada am medicinas, e es sanada ayssi cum yeu e recomtat en la divisio.	 If the sole is not numb and you cannot put the needle in it either, then the wound may have been cured by medicine, and so do as recommended by the doctor in this case
E si tu vols inscindir aquela, lahoras tu obre le huel del malaute e pren spatum subtil leon de freul acuitat segon aquesta forma:	 If you want to insert it, place your hand over the patient's buttocks and apply a soft cloth soaked with cold water, as this method is recommended for such cases.
am subtilitat.	 As a soft cloth.
E si vezes que aquela es rarificada e es confugida e empren en aquela razit, lahoras distilla de la tua ora en le huel de cief fayt de siniar o am cief rog o am sal trissat, e opila le huel entro a l’autre dia.	 If the wound is often contaminated and infected, apply vinegar or salt water to it as needed until it heals
E aprop itera sobre aquela la operacio entro que sia remaugut tot aquo que es de lu, sino que·l contrari apostema caut sia en le huel, quar lahoras tu leyssa aquela, e cura al comensament la apostema entro que sia sanat.	 After the operation is complete and if it does not heal properly or conversely if it worsens, take care of the wound as before until it heals, and cure it from the beginning in order for it to be healed.
E aprop itera la tua operacio sobre aquela am razo entro que sia sanat.	 The operation will be performed on that arm as soon as possible for health reasons
La emenencia de la carn lacrimal, si notz en le huel per gran nocument, sia suspendut am onci; e inscideys aquela de aquela una partida, e no ultimes la inscizio per so que no inscidesqua fluxs de lagremas.	 The emission of tears from the lacrimal gland if not controlled properly will cause great harm to vision; therefore it is suspended immediately; and incisions are made in that area only, without making any cuts on other parts for fear that the flow of blood may be disturbed.
E aprop distilla en le lacrimal cief rog e fayt de siniar entro que sia sanat.	 The tear ducts should open gently and release fluid gradually to maintain health.
Capitol .xvii.	 This is the seventeenth chapter of the Capitularia, a collection of laws and customs established by Charlemagne's court.
De inscizio de alguazardenic e de aquo que es nascut de carn ajustada en le huel.	 The incision should be made on someone who has a tight skin fold; that is to say, the incision must not go through fat tissue.
Alcunas veguadas en les huels de alcus es nascuda carn roga, e es sobre-pausada entro que cobre la pupilla, o apropinqua o estrenh sobre las palpebras e fort leu comprem las palpebras a las partidas deforo e es assemblada a roza de balaustra.	 Any vessels in the eyes of those born with tight skin are sealed off so that they do not open to reveal the pupil, or come into contact with the eyelids and eyelashes; it is covered over them by a patchwork border.
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	 The operation will be performed on the patient with their head facing downwards so that they do not see; and place both hands of the surgeon on the area to perform incisions as soon as possible in order for everything to be completed by this incision, and guard them from seeing it lest you regret your operation.
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	 That is the incision that should be made in relation to the one used for the arm or the abdomen; and those are recommended by us who perform incisions of the hand, or the little finger which we have taught you about on this chapter.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	 When the incision has been completed and the wound is thoroughly cleansed with salt water or burned with corrosive medicine, let it rest until the pain from the infection subsides, and then apply soothing ointments to prevent further damage
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	 If no other cause of infection is found and the suspected infection has been treated appropriately, apply soothing ointments to the affected area while continuing normal wound care until it heals completely, also keeping the skin around it clean and protected with special ointments.
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	 If you find yourself in a situation where all treatment for the wound has been futile either naturally or accidentally, stop trying and do not put your hand on any of these operations until you see that the member is suffering from this operation.
Capitol .xviii.	 [No translation provided]
De colleccio de sabel en le huel.	 With a sharp knife in the wound.
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	 The bandage should be applied over the wound and may cause a delay to the operation; it will also cover up until healing is complete.
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	 Therefore, it's necessary at the outset that you consider whether the knife in the wound is sharp and there are no other injuries to be addressed first, then bandage the wound with this one.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	 If you order the patient to raise their head in bed and support their neck with one hand or two, as your discretion allows.
o so dos oncis gradantment en un cos segon aquesta forma:	 The first sentence translates to: "Here you will find a certain form.
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	 "Here you will find a certain form of restraint, that is to say gentle control and restraint, as soon as they come into contact with these delicate veins, gradually increasing the pressure until those veins are opened up.
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	 "Remember to not press on the extremities of your fingers; and if you perform surgery when it's light out in the open air, make sure that you do not squeeze them but those veins.
E quan tu auras complitz, lahoras tu distilla en le huel cief vert o rog per que am sa acuitat corrodesca aquo que es remaugut del sabel.	 "After completion of the operation, the doctor will remove that which has been drained from under the skin and the affected area will be treated with something to prevent any corrosion.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	 "If you do not remove it within a certain period of time and the pain persists for some days, then we will ensure that it does not come back by using a cauterizing agent.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	 "Then place another bandage to cover it until it is healed.
E aquesta es la forma de las forfexs:	 "This is how the bandage should be applied:
Capitol .xix.	 The end of this text.
De reduccio de arizati al nas.	 Reduction in appetite for food.
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	 If the cautery or acute medication is applied without first having been followed by a description of the injury and not being healed, then it will be made to remove all moisture from that part and reveal any bones underneath until they are uncovered.
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	 When you discover an abscess or ulcer in the body, then call for a surgeon to examine it.
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	 You should not only make a cut but also feel it; and the tip of your finger, in case you have to apply pressure subtly.
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	 Place it between the toes and gently squeeze it to see if that is where the ulcer is located.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	 And after that, restore the place from dehydration and strictice
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	 If the wound is now completely healed and it's on clean skin without any sign of infection or scarring for 14 days, then you know that the patient has recovered.
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	 If not, then you should go to a surgeon and have the wound reduced back to its original shape; second option is to use cautery.
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	 The edge of the incision should be triangular and its furrow deepened into that part of the limb.
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	 Then gently hold it with your finger and press firmly on the other side to push all of it out; then place a cloth over that to prevent any discharge or spillage when you remove it.
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	 When joint pain is caused by cold humors that infiltrate each part of the body, it's customary for doctors to call this gout.
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	 Then, with the patient's thighs spread and their buttocks separated, they lay the mattress over them so that it does not come out onto the floor.
Capitol .xx.	 The capital of Spain
De reduccio de la eminencia del huel.	 Reduction in height
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	 When the gout occurs in its entirety and does not cause any of the other symptoms mentioned or reduction, doctors usually advise treating it with colchicine, a natural remedy that is also an anti-inflammatory drug used to treat arthritis, as well as cooling applications such as ice packs and poultice (a medicated compress) on the affected joint.
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	 The purpose of wrapping with four sheets is to hold the body heat in order to increase circulation and ease inflammation.
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	 Then, place one on top of the other as necessary according to the amount required by the gout.
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	 Then, hold tightly on the thick layer of the mattress to prevent movement and minimize friction against the affected joint, as well as applying soothing heat for pain relief and increasing circulation through gentle massage motions along with it.
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	 If both of them are loose, doctors usually advise not to wrap the mattress around their legs.
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	 When joint pain is caused by cold humors that infiltrate each part of the body, you should apply warmth to soothe it on every member of the chest, especially when pains occur in the feet, as doctors usually call it gout.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	 If necessary, you should reduce the heat and if not, apply warmth to soothe it on every member of the chest, especially when pains occur in the feet, as doctors usually call it gout.
Capitol .xxi.	 The text is incomplete and does not form a complete sentence or phrase in any language you provided earlier.
De la inscizio de la eminencia de la tunica uvea.	 This could be the beginning of a statement, perhaps referring to the significance or importance of wearing clothing (tunica) as mentioned before.
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	 When the disruption occurs in clothing (tunica), and you want to put an end to it with a pointed cautery or sharp instrument: apply warmth to soothe it on every part of the chest, especially when pains occur in the feet, as doctors usually call it gout.
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	 After extracting the needle and placing a damp cloth on top to soak up any excess blood or fluid that may leak out of the wound, you should hold it there until the thread is dry.
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	 After applying warmth to soothe it and every part of the chest as doctors usually call it gout, continue to care for the wounds that are healed.
E alcunas veguadas aduna de tota partida am cercle de drap entro le huel ajuste eminencia gran, e aprop sia perforat am le spatum subtil que vengua al preon del huel, e corra la humiditat albuginea, e descen le huel e intra tantost.	 "When you have opened a space between the patient's thighs and placed cushions under them... Now comes the first sentence to translate.
E aprop strenh entro que sia sanat.	 "Now come the first sentence in translation: 'Place it gently, for it is delicate'.
Capitol .xxii.	 "The second part of the medical treatise refers to Chapter 22.
De curacio de alconati.	 "Treatment with a lancet.
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	 "The type of gout called 'alconati' is actually just the kind that settles in similar ways to how water dissolves, but it is not that one.
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	 "The goal is to make the patient lie still and let them feel the pain so they can distinguish it from other pains.
E si no descendra en jos, sapias que es aygua.	 "And if not in bed, then you know it's water.
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	 "If not in bed, you should let the patient lie still and gently hold their head between your hands to prevent it from going down.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	 "Now that you are done, you should pour water into their mouth mixed with salt or wine and vinegar.
E aprop sia curat am las autras causas entro que sia sanat.	 With careful care for the joints causes that are the cause of pain
Capitol .xxii.	 22nd chapter
De la curacio de la aygua descendent del huel.	 From the direction of water descending from above
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	 I will declare the veins and their division that you must pierce in order to establish that the ailment is present.
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	 Make sure there is a pillow between your thighs and place it on top of their stomach to support them during labor.
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	 If the vein is on your left side, place your right hand there, but if it's on the right side, use your left hand.
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	 If the vein is in the left arm, place your right hand there, but if it's on the right arm, use your left hand.
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	 Place a small pillow behind the ear lobe to support it during the illness of the nasal congestion, and place your hand over the affected side while turning around.
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	 Insert into the eyelid so that the pillow is in front of it due to its swelling
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	 You will measure the length of the eyelid to the width of the space that is between the pupil and the end of the eyebrow, which is the eyelid's brow; so you will look at the pupil through clarity of the corneal layer.
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	 When the patient's urine flows to that location, they will quickly notice a lump in their bladder and it becomes visible from their own view.
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	 After a short while, if the urine does not flow away from that location, it means that the lump is growing and they should inform their doctor about it as soon as possible.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	 When that is the case and it doesn't flow away, then you should add some clear salt water to make the lump dissolve quickly.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	 Those who are in our times can try using a compress made of clean cloth soaked in warm water and apply it gently on top of that affected area.
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	 If the lump is not going away by itself when it comes to men's urine being painful - which are common for people who have frequent urination problems - you should seek medical help as soon as possible.
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	 Perform it on that location and not at the very last moment of your hand near it, as if you were to add some water over there gently.
E aprop entromet almagda segon que havem dit.	 And after doing so, inform us right away.
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	 When you have completed the first sentence translation, please reply with your guess for the second sentence.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	 This sentence means: "Pause in her nature to prevent her from being startled or disturbed at any time.
E sia le liament segon la sua disposicio entro al tertz dia.	 The second part of the sentence is as follows: "And he should have intercourse with her on the third day.
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	 This sentence means: "Let him approach her in that dimly lit place and ask for a cause; after she has given one let him return to his task on the seventh day.
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	 Do not do this during the time of curiosity or when you are close enough for her to see it.
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	 This sentence means: "Do not let him do this, lest the water will cause great and excessive harm.
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	 This sentence means: "If you see that he is in the seventh day, make sure to correct him as soon as possible.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	 This sentence means: "Take away her sight and place your hand over her mouth to prevent any movement of hers for a certain number of days; she should be kept in the darkest room.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	 This sentence means: "Let him approach her gently and ask for causes, but don't let them lead to anything improper.
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	 When you enter the room, do not excuse yourself from looking around; tell the nurse that you are ready for surgery.
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	 It is said that the king of this country, when he was passing through, gave orders to dig a well for his wife.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	 It is true that you have never seen a well in our country that was capable of fulfilling this order, nor did they accomplish it according to the rules set for free people long ago; and it seems likely that what he ordered may be new.
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	 Those are the forms of magic which cause knowledge to go out of those who do not know them, and they seem to have come from that place
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	 Some are the forms of those who are or will be good at doing them, and some of their skills may involve a triangle formed by the sharp end of an edge, which is also what they do
Capitol .xxiv.	 This text is part of a chapter in a medieval medical treatise that discusses ways to diagnose gout.
De la curacio de carn nada en le nas.	 Do not cure flesh wounds on the nose
