Ayssi comensan las paraulas de Albucasim .	 When the joints are affected by cold humors
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	 The second form of cautery is as follows: Place the two cauteries on each thigh in such a way that one cautery is applied at the end of the cautery used for cutting.
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	 The nurse should keep the patient still for a long time to prevent any blood loss from them.
E aprop cura le am aquelas causas las quals havem ditas.	 They are addressing the causes that they mentioned earlier.
Capitol .xxxiii.	 This is Chapter 33 of a work, possibly a medieval medical treatise or encyclopedia on medicine and health.
De cauterizacio de cos de ventre.	 Cautery of the abdomen.
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	 When the abdomen is perforated and infected with moisture inside causing digestive and retentive ulcers in the stomach and intestines, then doctors perform cautery to heal them by cautering around their circumference or making small cuts on it.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	 If times the humidities erupt and the ulcers worsen then doctors cauterize around their abdomen and intestines as well to heal them completely and permanently by making incisions on it near the belly button so that they can be cured without leaving any scars.
Capitol .xxxiv.	 This is Chapter 34 of a work, possibly a medieval medical treatise or encyclopedia on medicine and health.
De cauterizacio de emorroydas antiquas.	 "Ancient Cautery.
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	 "When there is a nature of ancient gout or one of the gross humors that infiltrates or becomes corrupted with humidity, and its cure has not been determined in division, the doctor will apply cautery over the surface of the patient's abdomen for two triangles; on both sides.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	 "If the stomach of him is inflamed and his veins are clogged up, and he has a face covered in sores, then the doctor will apply cautery to his stomach as large as before; on top there's one cautery over his abdomen, and another for the chest above it below. And place these cauteries onto the hand for some time so that they can cure him.
Capitol .xxxv.	 "Chapter Fifty-Five.
De cauterizacio de atheyl aprop la abscizio de lor.	 "The application of Cautery to the abdomen.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	 "When you apply Cautery to the abdomen, it's important to remove the towel that is covering it.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	 "After removing Cautery from the abdomen, put a towel over it and last cover your hand to prevent the Cautery from spreading into the vein.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	 "Do this often enough so that they become accustomed to it, and then the Cautery can be used as needed for healing.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	 When you make a big cautery on this, it may cause harm to a child.
Capitol .xxxvi.	 Chapter sixty-six of the Capitol
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	 Fistula cautery which occurs in nature or caused by it,
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	 When the nature does not follow what has been recommended as a treatment in that area, and it makes the patient anxious about this, then pain is caused by cautery.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	 Therefore when any fistula in the nature is old and infected, causing pain and moisture, so that it can be correctly diagnosed as a gout by doctors, and it is recommended to use a pointed cautery with the appropriate quantity of depth for each area.
Aprop igneys le cauteri que es semblant a ray.	 Approach them like rays.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	 Then approach the cautery that is suitable for this fistula and secondly determine the quantity in which it should be used.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	 You repeat over that cautery until these burnt parts of the body are healed from a single burn or two burns depending on your necessity.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	 And when you have burned the nerves and veins or if the fistula is in the area of the bladder or bowels, then heal all those areas; do not proceed until it is clear that the fistula has been penetrated.
E aprop cura le loc entro que sia sanat.	 Approach to cure the location as soon as possible.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	 When the location becomes sealed off due to separation from the patient's body parts and long time has passed, doctors understand that it is incurable
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	 If the body parts are not there due to a blockage or corruption of the veins leading into the location where it occurs, doctors understand that this is one of the causes for which remembrance will come in that location
Capitol .xxxvii.	 Chapter xxxvii
De cauterizacio dels ronhos.	 Cautery on the nose
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	 When pain occurs in the nostrils due to cold or strong windiness and affects both nostrils of a patient, doctors recommend cautery on one nostril to relieve that specific memory.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	 After the first cautery is applied to the second nostril for a short time so that three cauteries will come in total, and therefore it becomes easier over time.
Capitol .xxxviii.	 Chapter xxxviii
De cauterizacio de la vesica.	 Cautery on the bladder
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	 When a bladder ailment occurs and urination becomes blocked due to cold or humidity that prevents the patient's urine from being retained, doctors recommend cautery on one side of the urethra, near where it enters the body, with another cautery above the bladder itself.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	 The length of each cautery should be determined by the number of blows required to strike it off, and if necessary, cautery may be applied on both sides of a smaller area or two cauteries if needed.
E sia cauteri clavilh segon que es procesit.	 When it has been done, then...
Capitol .xxxix.	 Then do this
De cauterizacio de la mayra.	 Cautery of the vein.
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	 When a vein becomes swollen and humidified, this is prohibited in any way, and the veins become corrupted by them, it delays their maturation, and occasions pain in the feet as well, therefore the places where they are applied should be cauterized with three cauteries in the circuit of the abdomen, similarly to what has been said for the cautery of the bladder; and also on the lower part of the belly or two cauteries, and one on each knee.
Capitol .xl.	 After that, you need to...
De cauterizacio de la dislocacio de l’anqua.	 Cautery for dislocation of the shoulder joint.
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	 When the muscles of the arm weaken and cause paralysis in its part, it is customary to prolong it on the other side when comparing them together.
E le loc de la dislocacio es atrobat en lu quays boyt.	 The place of dislocation should be immobilized as described.
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	 After you have cauterized the shoulder joint as described, make sure to try and turn it in its circuit similarly when it is flexed, so that the arm falls into place of the circle.
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	 The cautery you mentioned before should be used for the cautery of the stomach.
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	 Then return the intestine or hernia to its cavity, and place your hand over the area to prevent the intestine from coming out.
Capitol .xli.	 And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery.
De cauterizacio de la vena sciatica.	 The cautery for sciatica.
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	 When joint pain occurs in the part affected by coldness and humidity, it is customary to treat with this method that we have spoken of and not confer your confidence or advice, and customarily do you drain the gouty humors from pills, fat ones or artificial ones, and apply a cautery.
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	 The cautery on the hand is used in two ways: to cauterize with medical remedies or fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	 The other is to cauterize it in a triangle shape on the affected part of the body, making sure it has good depth.
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	 The space between the points should be equal in size and if a large or small cautery is used.
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	 You might make some cuts at the top of the head to remove four points, so that it looks like this.
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	 This is how to perform cauterization when pain adheres to the intestines and does not extend into the cavity.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	 If the pain extends into the cavity, burn two points on the thigh to where the patient feels the pain; and apply another cautery over the groin for four or five days depending on which leg it is affecting.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	 If the thigh cautery, then consider the depth of the cautery in relation to the amount of pain from the bowels.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	 If the patient feels pain in both legs below their thighs, then burn a cautery here and another one three or four or more points depending on which leg it is affecting.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	 If the patient feels pain coming from below their ribs or back, then burn a thigh cautery.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	 Preserve the cauterization until nerves or great arteries are involved, and as long as the patient is not suffering from pain of some kind or another.
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	 Burn another cautery on the thigh after a while, and if you observe any unusual signs such as a swelling or perforation of the leg into the tumor, burn it off quickly with fire to prevent infection of all parts of the body.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	 "First aid for stomach pain, place your hand over.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	 If the pain is in two separate parts, cautery should be applied to each separately.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	 The savis should be inserted into the cautery of one kind, as follows: first make a circle with iron such that its diameter is equal to the width of an index finger; and second, remove it from its socket after a short time, depending on how big the blade is or how many times you have inserted it.
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	 After making the first circle and the second one, count how many spaces there are between them. Then divide this number by two; if you have a pair of circles that is less than or equal to 2, put both of them on the same side (on the left). And it should look like this:
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	 After the cautery is applied and you feel stinging or burning sensation, it should be placed over the affected area.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	 Then cautery should be applied in a single dose.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	 Apply it for three days, apply it to the back and cover with a bandage that covers up completely; and keep treating until it is healed.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	 Albucasis is: oh, friends, this kind of small cautery that many people used to remove the fear from it and for which few people found effective on treatment.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	 When the patient is in pain from the joints, then bind them firmly to prevent their movement
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	 When you go to perform a surgical operation, first make two circles with a sharp instrument in the shape of a hoop that goes through the door's keyhole; and when entering or leaving put both feet inside those hoops.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	 If the space between is proportional to the length of that thing, then bind them and tie them so that they are in this form.
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	 Then put your hand over the opening of the abscess and press it gently so that its size becomes smaller by small portions, until you reach a quantity equal to an hour; then make sure it is closed.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	 Then lift your hand onto the instrument and remove all of the abscess's contents with a second one, making sure it is completely removed.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	 Then leave it for three days and wait until the redness of the discharge is gone, then do this every other day and continue cleaning her with a cloth soaked in warm water to prevent future infections.
E aprop cura aquel am enguentz entro que sia sanat.	 Then take care of him while he is still sick.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	 "When joint pain extends into the thigh or leg cavity," you will place something in it that contains water so as to keep it from being opened.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	 The method of applying water cure is mentioned in the treatise on the treatment of diseases (of unknown author).
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	 The recipe for alkali and sulfur does not remove all marks but leaves a new one that is pierced by a small tool after the quantity of it runs through it.
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	 After the bottom of one oily cloth is changed for another, apply the alkali and sulfur mixture live with water two times as you would to good compresses; and let it be that if there should be any water in the oily cloth, then use a new oily cloth soaked in water to cover it
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	 After the water is applied and another cause revived with alkali, then wait for it to become strong enough so that when administered in operations of medicine or cauterization on other members, a fire will be made.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	 The medicines of which there is much talk and discussion, such as alcohol and sulfur, are mixed in various ways so that they may be applied to cauterize and treat wounds
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	 The remedy for the operation and treatment of which condition is cured with pain in the ankles or veins sciatica? Magnify this to be necessary
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	 "The pain in the joints is caused by cold humors that infiltrate each part of the body, and if it occurs in the feet, it is called gout. And if it's necessary to make points on the surface of the foot, then do so with a pointed cautery.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	 "The pain lasts for three hours or as long as the patient feels it necessary to continue holding his hands.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	 "Then return the intestine back into its cavity and place your hand on top of it to prevent it from coming out.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	 "You know that using a cautery with these medicines is not recommended, but rather the evacuation of the bowels is preferred.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	 "If you burn the vein of a rabbit with a cautery, after doing so, treat them as follows: first apply oil and then bandage the burned part in such a way that there is space between your toes and between the heel.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	 "If you burn the vein of a rabbit, after doing so, then treat it with care to prevent any infection and bandage it in such a way that there is space between your hand and its surface.
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	 "Continue with this treatment until the itchiness of the cautery fades away and relief is felt.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	 This text describes a medical procedure or treatment for pain relief related to a specific body part (the groin), using various tools such as cushions, hands, etc., possibly performed by multiple servants or assistants.
Capitol .xlii.	 It's not clear what the sentence "Et aquesta manieyra de cauteri es apelat cauteri de vaquas" means in the context of this medieval medical treatise. The word "manieyra" seems to be a misspelling or an unusual term for something related to cautery, which is a surgical procedure using hot metal tools to cause pain as part of treatment. However, I'm not sure how that relates to the previous description of various tools being used on different parts of the body in relation to joint pain relief.
De cauterizacio de dolor de dos.	 This sentence suggests a second medical procedure related to the first one performed by doctors or servants, perhaps as an alternative treatment for joint pain caused by cold humors infiltrating each part of the body and causing pain in the feet. The phrase "de cauterizacio" implies that this is another form of cautery, which was mentioned earlier in the text.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	 Joint pain can be caused by cold humors infiltrating each part of the body and causing pain in the feet or toes; it may also occur due to pressure on certain parts of the body, such as squeezing them too tightly, pressing against a hard surface excessively, or from fluids being held within (perhaps from swelling).
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	 Cautery should not be used in this specific situation where the release of cold humors is required by discharge or evacuation, as mentioned earlier in the text.
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	 Therefore, apply the recommended medication and similar remedies to relieve the pain as described in previous lines; make sure that you place them on top of the two parts where the pain is felt most acutely, depending on their latitude (i.e., height up or down from horizontal) and according to the amount of tolerance for pain reduction by the patient's nature and condition.
E sia fayta cauterizacio am cauteri de punt.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	 If you wish to perform a cautery on three or four points located at one inch apart from each other like this:
Capitol .xliii.	 53
De cauterizacio al comensament de gilbositat.	 Cautery is to begin the incision.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	 When treating a hernia in children, it is customary to first make an incision on their abdomen and allow the intestine to protrude slightly while lifting and moving them.
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	 Then tighten the lower ends of both legs that have been previously tightened on the other vertebrae.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	 And when you come to this and wish to prevent it, the pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, do so with a pointed cautery.
que prengua le cauteri sobre tota partida del spondilh engualment.	 Perform the cautery on all parts of the spine simultaneously.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	 If you wish to perform a cautery in the spinal cord's circuit with three points or two lines:
E sian les puntz propdas entre lor.	 The points should be placed equidistant from one another.
E aprop cura le loc entro que sia sanat am aquo que havem dit.	 Then place the cautery over that area where you mentioned it.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	 Do not perform a cautery in cases of pain caused by spasms of nerves.
Capitol .xliv.	 54
De cauterizacio de podagra e de dolor de juncturas.	 The first sentence translates to: "Regarding gout and joint pain.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	 "When joint pain is caused by cold humors that infiltrate each part of the body and pain occurs in the feet, it is customarily called gout by doctors.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	 "And if you can not cure it with the remedies mentioned above and pain persists, then doctors recommend cautery.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	 "When performing cautery on a gouty joint of the foot, make sure to open up an incision in the vein near the affected joint and perform it.
E sia cauteri olivar del qual aquesta es la forma de lu:	 The cautery procedure itself is as follows:
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	 "And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	 "If the pains enter into the thighs or buttocks and it is necessary to perform cautery on a joint of the three or four cuts depending on this cautery procedure.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	 "If you need to perform cautery and it is necessary, then perform it without delay. However, if the area of cautery has already been prepared beforehand, just apply a bandage over it.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	 "If the pains enter into the second joint as well, then provide the cautery that was mentioned in its capital.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	 When joint pain is severe only in the hands and feet, it's called gouty arthritis, and doctors mark its location by pointing to two lines on a diagram of the body.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	 If joint pain persists in the fingers and toes, doctors mark its location by pointing to each finger and toe on a diagram of the body.
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	 If joint pain occurs in joints or muscles, doctors burn all parts of them off with a pointed cautery.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	 If the patient is not receiving good treatment or medication regimen, if it's a bad regimen and vomiting occurs as a result of this cautery, then the doctors will be unable to help you in that situation.
Capitol .xlv.	 The final sentence does not make sense as written, but I assume there might have been an error during translation or transcription. Could you please provide me with the correct version?
De cauterizacio de rompeduras.	 Cautery of the forehead.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	 If you have a hernia in the groin and pushing it towards the anus is uncomfortable, that's what doctors call for, to apply gentle pressure to prevent its passage from the abdomen.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	 Continue to hold your hand over the patient's abdomen and tell them to try to feel for any signs of passage or protrusion through their groin.
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	 "The first servant returns to the patient's thigh, and then tries to break over their leg so that it resembles the shape of a circle at the top of the part.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	 "The cautery is applied in the form below:
entro que sia mot rog e gete cintilhas.	 "Make a fist and put your hands together.
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	 "Then return the intestine or hernia to its cavity, and place your hand over the area to prevent the intestine from coming out.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	 "You have already opened the space between the patient's thighs, placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	 "Then apply the cautery in the shape below, and try to break over their leg so that it resembles the form of a circle at the top of the part.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	 "Observe carefully during the cautery procedure that you do not crush the bowel so that it does not come out dead or cause any great harm.
