Ayssi comensan las paraulas de Albucasim .	 When joint pain is caused by cold humors that infiltrate each part of the body,
La forma del segon instrument es que sia de triangulada e de pus subtil extremitat.	 The second tool is also triangular but even more subtle in its extremity.
E ja so ajudatz am aquest instrument havent dos ramps del qual aquesta es la forma aprop la seguent:	 "Use this tool with two ramps, where the following shape is correct:
e am autres instrumentz les quals precidero en rasura de dentz; quar juvament es fayt am aquest instrument le qual es asemblat a onci gran, e aquesta es la forma:	 "Use this tool for shaving with razors. Originally it was assembled into one large piece, and the shape is:
de la triangulada extremitat torta o curta, la qual sia alcuna grossesa, e no sia enbegut per so que no sia trinquat.	 The triangular extremity should be long or short but never too thick to prevent it from being cramped.
E otra sapias que·ls instrumentz de las dentz motz so e semblantment les autres instruments.	 "Other tools for shaving your face are similar, just not razors.
Mays le artifexs savi e subtil en l’art, atroba per si mateys segon aquo que a lu significa la operacio e las malautias diversas; quar son de las malautias a las quals les antics no diysero ni pausero propri instrument, per las formas de diversas specias.	 "The subtle art of shaving and the different types of cuts mean that other tools are needed to perform these various operations on the face which previous instruments could not handle or predict.
Mays si es trinquat l’os de la mandibula o dels autres osses de la boca, o si poyreys, lahoras sia pes curat sobre aquel en son loc am aquo que es a lu convenient dels instrumentz e de las forceps las quals havem dit en la extraccio de las razitz de las dentz, e ajuda te am gesti del qual aquesta es la forma:	 "If the jaw or any of the bones in your mouth are cramping, then hold this tool on that location as you did for pulling out razor blades and help with the following procedure:
E sia en lu alcuna grosseza petit a petit, e sia instringida o tenguda am la boca per que no evasesca o fuga entro que l’os de tot sia foro-getat; e aprop restaura le loc am medicinas convenientz ad aquo.	 When pain comes from cold humors that infiltrate the body part by part, and when it occurs in the feet, then it is customarily called gout by doctors.
Mays si en l’os es petita poyredura, lahoras ratz aquel de aquela poyredura e de la sua negror, e cura aquel entro que sia sanat.	 If there's a small puncture wound on the nose and it is bleeding heavily, then do so with this cautery to close that hole or bleedhole.
Capitol .xxxii.	 The end of the text.
De la cura de las dentz eminentz sobre las autras.	 Care for teeth is important above all else.
Quan las dentz so eminentz no segon lor cors natural per aquelas la forma es laga, e majorment quan endeve a las femnas, e majorment a las piuselas venerablas; donc cove que tu consideras: si dent es nada aprop autra dent, e no es possibla sarradura ni linament de lu, lahoras radica aquela; mays que no sia annexa am autra dent, lahoras tu inscideys aquela am aquest instrument del qual aquesta es la forma; e es semblant a morr de porc, e sia feyt de ferr de India de extramitat mot aguda.	 When teeth are important enough to override natural functions of those teeth the way they were meant to be used, and more so when there is an issue with the front or back teeth, as well as with the bottom lip; it means that you should consider removing them both if one cannot be saved, unless otherwise instructed by a doctor. It's important not to remove any other tooth without consulting this instrument which identifies whether they can be removed at all.
E sia la tua inscizio am la qual inscideyses aquela en trops dias per la duricia de la dent, e que no sia comauguda autra de las dentz.	 And if the incision is made in such a way as to save that tooth for many days due to its importance and not another one's, it means
E si es dent eminent expausat a limadura, lahoras lima aquel am lima de ferr de India del qual aquesta es la forma:	 And if the prominent tooth is lost in battle, the doctor will sew that back on by using this instrument which identifies whether it can be put back at all.
E sia tot de ferr de India e·l margua eysament; e sia de motz menutz puntz ayssi cum lima am la qual son faytas agulhas, am la qual la dent sia limada pauc a pauc en motz dias am fecilitat, per so que no sia autra dent comauguda e caga.	 When the first tooth is extracted due to pain and swelling of the gums near where it was extracted from, there will be little or no other teeth like it in motion days that follow, for fear that another tooth may come out as well.
E aprop lineys aquela en la fi, e ratz aquela am alscus razoris.	 Then return the intestines to their cavity and place your hand over the area to prevent the intestine from coming out.
E si es dent del qual una partida es trinquada e lideys la lengua, lahoras cove que tu limescas aquel entro que l’aspretat de aquela fraccio sia ostada e engualhada, e sia aplenada per so que la lengua no ledesca ni la paraula no corrumpa.	 If the tongue is injured and torn off its root, then place it back in place so that it does not fall out or get damaged due to speaking.
Capitol .xxxiii.	 The thirty-third chapter of Capitulum
De restauracio de dentz maugudas am fiel de aur o de argent.	 To restore a missing tooth with gold or silver.
Quan accideys a las dentz devant concussio e remossio per percussio o per cazament, e le malaute no pot strenher sobre aquo que manga, e tu has curat aquel am medicinas stipticas, e no ha valgut la tua curacio, lahoras per so que no cagan es engen en aquelas que sian strengudas am fiel de aur e no de argent, quar argent se fa vert e aprop se poyreys aprop alscus dias, mays aur nul temps no es mudat.	 When an injury occurs on a tooth due to concussion or bruising from impact, and the patient cannot withstand it anymore, you should seek immediate medical attention, as your care was not taken properly, so that they may not lose their wisdom teeth made of gold but not silver, because silver may break easily.
E sia le fiel en tal subtilitat e grocesa segon la quantitat que puesca entrar entre las dentz; e la forma de la reccio es que prenguas le fiel e pren lo doble de lu entre doas dentz sanas, e aprop que cresques am doas tortuositatz del fiel entre doas maugudas, o si’ una o motas, entro que pervengua la tela a la dent sana del autra partida.	 The manner in which to restore the missing tooth is by placing it between two healthy teeth, and cutting it so that half of its length lies between them; or if there are only one or three parts, then you should place the fabric over both of the teeth on the side where the other part is.
E aprop itera le teyssiment entro a la partida de la qual comenciest, e strenh la tua ma am facilitat e savieza entro que no sia mauguda.	 The first sentence in English is "You have already prepared the space between their thighs...
E sia la tua striccio am la qual strenhas le fiel deves las razitz de las dentz que no evasesca.	 "...and strained your hand to facilitate and ensure it does not cause harm.
E aprop inscindeys las extramitatz del fiel superfluens am las forceps o tosoyras, e agregua aquelas en quascun loc am gesti, e converteys aquelas e las occulta entre la dent sana e la dent mauguda, per so que no fassa lesio a la lengua.	 "Add those in any location you choose, and close them between the healthy tooth and the one that is damaged to ensure there's no injury to the tongue.
E aprop leyssa aquela ayssi streyta cum roman.	 "...and straighten it as before with a Roman.
Mays si es desliada o rumpuda, strenh aquela o aquelas am autra fiel en tal manieyra en tot son temps.	 "If the patient is on their side or stomach, keep them in place and support them gently to prevent any harm coming from a change of position.
E aquesta es la forma de las dentz e la figura de la rectacio de doas dentz sanas e de doas maugudas, ayssi cum vezes aquestas liadas:	 "...this is the shape of the teeth and figure for two healthy teeth and two damaged ones, like this...
E quan se fa que retorno una dent o doas aprop le cazement de quascuna en lors locs, e sian recrescutz ayssi cum havem recomtat, e que remauguan.	 "When returning a tooth or two to their place in these locations, it is recommended that you use the same way and remove them.
E no fa aquo sino bo artifexs e savi.	 "This isn't just any tool; it serves a purpose.
E alcunas veguadas es aptat alcuna causa dels osses de vaca, e es fayt de lor ayssi cum forma de dent, e es pausada en loc en le qual defayl la dent, e es strengit ayssi cum havem dit, e reman e serveys am aquel per lonc temps.	 "Some vegetables are good for cow bones and it's used in the same way as a tooth, with its surface smoothened off at an angle to prevent slipping of the tooth, and tightened like that which was mentioned earlier.
Capitol .xxxiv.	 The passage describes a method for treating various medical conditions using cautery points on specific parts of the body in order to prevent them from causing pain or damage when they occur.
De inscizio del liament le qual ve en la lengua e prohibeys loquela.	 To slit an ulcer that is located in the tongue and prohibit it speaking.
Aquest liguament le qual ve dejos la lengua alcunas veguadas o es natural am le qual hom nays, o accidental e accideys per plagua la qual ja es consolidada.	 The ligament of which part of the body can cause some swelling or is normally found in that part where people speak, or accidentally occur due to a previous solidification.
E la operacio en lu es que huobres la boca del malaute, le sieu cap existent en le tieu se; e eleva la sieua lengua, e aprop inscideys aquel liament nervos segon la latitut entro que sia solvuda la lengua de la sua recencio.	 The operation is to remove the tongue of the patient from its place and elevate it, so that the nerve ligament is cut after a certain length has been reached which can be solved by the tip of the tongue touching the palate of his reception.
Mays si en aquela es alcuna duricia o denodacio, e aquo es stat per consolidacio de plagua, lahoras tu gieta unci e scindeys aquel per la latitut entro que aias inscindit le liament e sia dissolvuda la nodacio.	 If there is no pain or injury and it was only meant for the formation of fluid, then you should cut through the ligament at that point where you first cut through it in order to dissolve the knot.
E guarda te que no sia fayta fissura en le preon de la carn e que scindas aqui arceria e vengua flux de sanc.	 And remember not to make a tear in his forehead, and that you will cause bleeding if you split through here.
E aprop sia lavat le vestigi de la inscisio am ayguaros o am vi agre o am aygua frega; e aprop pausa dejos la lengua licini; so es meca la qual tengua le malaute dejos la lengua en quascuna nuoyt per so que no sia consolidat autra veguada.	 And make sure that the vestige of the incision is covered or wet, and pause from allowing the tongue to lick it; otherwise, make sure that the tongue does not become solidified or swollen in any way.
Mays si accideys flux de sanc, pausa sobre le loc vetriol trissat; mays si le sanc ventz, lahoras cauteriza le loc am cauteri lantiginos le qual conveneys ad aquo.	 If bleeding occurs, put a bandage over the bruised area; if an injury is about to occur, then burn it with cautery points in order for that to happen.
E aprop aquel cura am las autras causas entro que sia sanat.	 When health fails due to the presence of certain causes between the thighs, this ailment becomes gout.
Capitol .xxxv.	 Chapter fifty-five
De extraccio de ranula dejos la lengua.	 You remove a bandage from your tongue.
Alcunas veguadas accideys dejos la lengua apostema asemblant a nomla petita prohibent la lengua de la sua operacio natural; e fort leu es magnificada entro que huempla la boca.	 Some of the symptoms that happen to you when your tongue is bandaged are: it becomes swollen, and it hurts due to being pushed away from its normal position inside your mouth.
E la operacio en lu es que huebras la boca del malaute sesent devant le solel e considera le apostema.	 The operation involves holding the patient's mouth open for several minutes, and considering a bandage placed over it.
E si tu le vezes de fusca color o de negra, dur, al qual le malaute no atroba sentiment, lahoras no toques aquel quar es cranc.	 If you notice that the color or blackness of your feet becomes painful and unbearable to bear without causing pain in others nearby, then stop doing so immediately.
E si es declinat a blancor, en le qual es humiditat, lahoras tu met le onci en lu, e inscideys aquel am spatum subtil, e inscindeys le de tota partida; e si sanc te ventz en la hora de la tua operacio, lahoras tu pausa desus zegi trissat, so es vetriol, entro que sia restreyt le sanc.	 If the whiteness of your feet becomes damp and uncomfortable to handle, then you must soak them in something warm; and if they start to swell during the operation time, stop using any sharp objects that may cause further swelling; this is very dangerous as it restricts blood flow
E aprop retorna a la obra tua entro que lo haias trayt am compliment de lu, entro que sia lavat am vi agre e sal; e cura aquel am l’autra curacio ad aquo entro que sia sanat.	 Return to your work and try various remedies such as water, salt, and vinegar. If this does not help for the health of the foot itself, then proceed with other solutions.
Capitol .xxxvi.	 Chapter sixty
De extraccio de apostema de doas aurelhas e de aquel que es nada en le golayro e de las autras apostemas.	 You remove the bandage from both thighs and also from any other area that is not on top of your groin.
Quan endeveno en le golayro godat, so son glandulas las quals son asembladas algodat, las quals accideysso deforas e son nompnadas doas aurelhas, las quals quan tu las curas am aquo que havem dit en la divisio e no es sanat, lahoras tu considera si le apostema es dur, de fusca color, de pauc sentiment, lahoras no toques aquel am ferr.	 When the gout comes from the glands that are assembled together and those cause sores and are called urates, when you apply it to the section mentioned earlier and is not healthy, then consider if the treatment is needed, of a purplish color, with little feeling, do not touch or use it
E si es de roga color e la razic es grossa, lahoras no toques aquela am ferr per le flux del sanc; abantz layssa aquel entro sia madurat, e lahoras o tu trauqueras aquel, o sira romput per si.	 If the treatment is of a purplish color and has large veins, do not use it to apply to the affected area as soon as possible; stop using that immediately if you notice
E si es de blanqua color, radon, e la razit de lu es subtil, lahoras aquel es que cove esser inscidit.	 If it is of a whitish color and its veins are small, then do not use this one; rather apply the following one.
E la operacio en lu es que consideras, denant la tua operacio, si ja ha repausat le apostema de lu caut am repaus complit o si es deminuit am alcuna deminucio; e lahoras fay sezer le malaute denant le soleyl, e·l cap de lu sia en le tieu se, e huebre la boca de lu, e le servidor prenent entre las suas mas prema la lengua de lu dejos am instrument mot noble del qual aquesta es la forma:	 Before your operation, consider if the bandage to be used has already been removed completely or if it is necessary to remove some of it; and then apply ointment between the patient's thighs, place a cushion under them, another servant on their legs, and another on their chest, holding their hands.
E sia fayt de argent o de aram, e sia subtil cum cotel.	 It should be light or dark in color, subtle as cotton.
Donc cum tu premes am aquel la lengua e es mostrat a tu la apostema, e catz sobre aquel le tieu vezement, lahoras pren onci e fica aquel en l’amenla, e tira aquel a las partidas defora tant quant podes.	 When you place it in the mouth and show it to the patient, cover it over your own hand; then put it into the affected area, wipe it off frequently as much as possible.
Otra aquo que tiras alcuna causa de las tunicas, e aprop incideys aquela am instrument del qual aquesta es la forma:	 The initial sentence seems to imply that the medical treatment involves an instrument of some kind.
e es asemblat a forceps, empero las extramitatz de lu son corvadas, ayssi que l’orrifici de quascuna de aquelas es en le endreyt del autra, mot agudas, le qual sia de ferr indi enbegut.	 The initial sentence seems to imply that the medical treatment involves a pair of forceps. However, the extramitaz (what I assume is an error for extramità) of them are broken, so none of those can be used in its place, but it's suggested that we use another instrument instead.
Mays si aquest instrument no es a tu present, lahoras inscideys aquel am spatum del qual aquesta es la forma de lu: E sia agut de la una part, no agut del autra part.	 If this instrument is not available at the moment, then please indicate which one of these tools it should be replaced with: And that tool shall act as if it were in its place on one side only; do not use it for the other side.
E pus que has inscidit una mella, inscideys l’autra segon aquesta meteyssa manieyra de inscizio, e aprop la inscizio le malaute guarguarise de aygua frega	 If you have used a spoon, then please indicate which of the following utensils should be used instead: And apply this cooking utensil to protect the patient's mouth from being washed out.
Mays si endeve flux de sanc, guarguarise aygua de decoccio de scorsa de milgrana o de fuelha de mirtra e semblantz ad aquel de las causas stiptiquas entro que·l flux del sanc sia restreyt, e aprop cura aquel entro que sia sanat.	 If the patient is suffering from bleeding or spitting blood, please use the following utensils to protect its mouth: And apply this cooking utensil to ensure that no external fluids enter it during bleeding, and treat it as soon as possible if needed.
E alcunas veguadas naysso en le guolayro autras apostemas otra aquelas doas aurelhas, e inscideys aquelas segon que yeu e dit en la inscizio de doas mellas engualment.	 The last sentence seems to imply that you should indicate which of the two spoons listed below should be used together with one another for this procedure:
E yeu ja fu medicat una femna de apostema le qual era nat en le golayro de lu, le qual apostema tendia a color fusca, de pauc sentiment, le qual ja havia claus le golayro de lu, e la femna respirava am meat streyt, e ja havia prohibit a lu comestio e beure de aygua, e ja era pervenguda a la mort si mays agues stat per un dia o per dos.	 The female patient had been treated with an ointment that was not in her stomach, the ointment tended to cause a violent color change and few feelings, as it closed off her stomach, she was unable to eat or drink water, and was likely dying if left untreated for one day or two.
E l’apostema ja tant havia pugat que havia mezes dos ramps entro que eyssiro per dos traucs.	 The steward has already prepared that there were two steps inside, so I had to pass through two doors.
Donc yeu me cuytegui fisturalment e fiquegui en un de lor onci, e tiregui aquel, e atirada es de lu gran porcio, e aprop yeu incidigui aquela de on comprendegui del autre trau, e aprop yeu obrigui la boca de lu, e compremegui la sua lengua, e aprop yeu fiquegui le onci en aquela apostema.	 Then you should first remove the first door completely and take that one away, after which there will be a large hole through which you have to pass, so I had to go through two doors.
E aprop yeu abscizi gran partida de lu, e no corria de lu sino un pauc de sanc.	 Then remove the large part of it and only leave behind a small one
Donc absolut es le guolayro de aquela femna, e comensec tantost beure aygua, e aprop presec vianda, donc yeu no cessegui inscidir de aquela apostema motas vetz per lonc temps, e succesia apostema en loc de aquel, le qual inscizia entro que es prolonguat aquel.	 Absolutely remove the large part of that thing and then start to drink water, so you shouldn't keep putting in a needle until long after it has been inserted into that place for a while, and finish it off at that place where it was inserted, which is inside somewhere for quite some time.
Donc yeu engen agui e cauterizegui le guolayro de lu, donc astec de addicio; e aprop yeu perambulegui e no saubi que fec Dieus de aquela aprop mi.	 Then you should engrave and cauterize the large part of it, so attach to that; after which you should prepare a meal with something edible near it.
Capitol .xxxvii.	 Chapter 70
De inscizio de huvela quan es apostemada.	 The moment the needle was inserted
Quan catarr deysen a la huvula, e es apostemada e es longa, lahoras ela es nompnada perpendicular; e si es en la partida dejos grossa e redonda, e lahoras ela es apelada buba.	 When the cold sore occurs on the eyelid and it is large and round, then doctors call it a canker sore.
Mays quan es curada am aquo que havem dit en la divisio, e no comfereys la tua curacio, e eyssament ja vezes que apostema caut ja es ostat de lu e es subtil, lahoras cove que tu inscidas aquela que es agreguadas redonda; e si es ad aquela longitut, e es sanguina, de fusca color o de negre, e no es a lu centiment, lahoras cove que tu temtes la inscizio de lu, quar en aquela es temor sobre le malaute.	 When you have already opened the space as mentioned in the division and it doesn't cause any discomfort, and every time that is repeated, the pain will become more subtle, so that you notice that which are added to its roundness; and if it is of a long length and bloodiness, that is an issue of black or white color, but not at center, then be aware of the incision in the thigh, for from this point there is fear about the patient.
E quan tu vezes aquela segon la manieyra que yeu he dita de la sua blancor e longuesa, que tu fassas sezer le malaute e premas la lengua de lu am instrument del qual procesic la sua forma e aprop fica le onci en la nuva, e tira aquela en jos e inscideys aquela am un de dos instrumentz les quals e ditz en la inscizio de dos mellas.	 When you do it for the second time with a hand that is of the patient's whiteness and length, make sure to hold back the intestine or hernia from coming out, place your hand over the area to prevent it from exiting, and cut off that in two pieces using one of the two instruments mentioned in the incision of the thigh.
E cove que no inscidas aquela sino aquo que es ajustat sobre le terme natural ses addicio, quar si tu inscides de lu mays, lediyras le sieu parlar.	 And when you don't cut it but instead adjust it over the natural addition of its circumference, as if you cut off from it more, then lead it to speak louder.
E aprop la inscizio, usa de aquo le qual havem recomtat en la inscizio de dos mellas, e cura aquela entro que sia sanat.	 After the incision is done, use one of those that we recommended in the division of two thighs and sew it up so as to be healthy
Mays si era le malaute espaventat per la inscizio de lu, cove que use de engen en la cauterizacio de lu ses temor, e la manieyra del cauteri en lu no es sino am aygua aguda, e es que tu pauses le cap del malaute en le tieu se, e aprop prem la lengua de lu am le instrument le qual havem dit, e aprop pren de l’aygua la qual havem dita en le capitol de cauterizacio, e comfeys am aquela caus viva, e pausa aquela no spessa ni subtil, e de aquela omple la concavitat de l’estrument del qual aquesta es la forma:	 If the patient feels nervous during the incision of the thigh and the cautery instrument water causes pain and trembling, place your hand over its head to prevent it from moving and quickly take hold of the tongue with the recommended instrument, push down on it and let a sharp stream of water come out.
Sia la extramitat de lu conquavitat en la qual sia pausada la medicina ayssi cum la conquavitat de culher de ray, e pausa le strument am la medicina sobre la vula, e·l malaute jagua sobre le sieu latz per so que corro saliva o musellage de la boca de aquel per la intrinscequa medicina, per so que no deyssenda de aquela deguna causa sobre le golayro de lu e que ledesca aquel.	 "The space between the patient's legs is prepared with a cushion and another servant on their legs; an additional one is placed over them to hold their hands in place while administering medicine, which may include applying it directly into the mouth or onto the chest.
E aprop te la tua ma am la medicina, e exprem aquela sobre la uvula per l’espazi de miega hora entro que vegas aquela esser denegrada e sedada per la mordicacio de la medicina.	 "After placing the medicine on their chest and into the mouth/throat area (not specifying how), it is necessary to prevent any saliva or mucus from getting in, as this may cause irritation.
E si vols, prengues coto e envolopes aquel sobre la extremitat del ray, e submergeys le coto en la medicina, e entrometas le ray am le coto en una canula de sobre entro que·l coto adheresca en aquela canula, e fay aquo tantas vetz entro que consiegues aquo que vols de la cauterizacio de la uva, e aprop leyssa aquela quar ela se seccara e cayra aprop tres dias o quatre.	 "If desired, you may also place a cotton ball on the affected extremity and submerge it in the medicine; insert this into an intravenous cannula so that the cotton adheres to its interior walls, ensuring continuous exposure for 24-72 hours or more depending on the severity of the burn.
E si indigeysses que iteras la medicina, itera aquela, e aprop la cauterizacio abstergeys en le circuit de la uva am coto enbegut en boder, e mondifica am aquel aquo que es en le circuit de lu de la medicina, e sia lavat am aygua frega, e sia curat deforo am embrocacio, e dedintz am guarguarismes entro que sia sanat.	 "If you do not wish to administer the medicine directly into the vein of the affected extremity using a cannula: instead, continue to bathe it with warm water and apply creams containing moisture, emollients, and disinfectants in order to protect and maintain the integrity of the skin.
E aquesta especia de curacio es pus salva que inscizio e pus long de temor.	 "This specific care is recommended for those who have been exposed to long periods of fear or terror.
Alcunas veguadas es curada la uvuola am aquo que es pus subtil que cauteri e inscizio, quar es curat am subfumigacio en aquesta manieyra: recipe calament, ysop, origua, ruda, scicados arabic, camamilla, broyda e semblant ad aquels de las erbas, e ajusta totas aquelas causas, o alcunas de lor, en una ola, e sian submergidas am vi agre, e bulhan; e la ola sia be lutada am lut decentment, e sia en le mieg loc de la ola un trauc, sobre le qual sia pausat un instrument conquau de aram segon aquesta manieyra; sia fayt de argent o de aram.	 When you have removed the clothing and exposed the body to air, apply a cold cautery and incision gently over it so that it is not painful for the patient.
E sia entromesa la extremitat en la boca del malaute entro que la vapor poge a la uvula sobre la quanula, entro que la uvula sia mot ofuscada.	 Insert one end into the patient's mouth and apply heat to the uvula so that it is covered over the vulva
E aprop itera sobre aquela motas veguadas entro qu’es secca, e guarda te que no fassas aquesta curacio al comesament de l’aveniment de apostemas, quar trop ajustaria en le apostema, e no cove que tu fassas aquo, sino deves la declaracio de apostema de lu caut.	 Then gently remove the pad that you have placed there and do not apply this treatment immediately after inserting it because it might be uncomfortable for the patient, so only declare that the pad has been applied to prevent anything coming out through the urethra.
Mays si no es a tu present aquest instrument, lahoras pren una cana e compon en la extramitat de lu un clos de huou, per so que la boca del malaute sia comborida, quar le closc del huou prohibeys la vapor comburir la boca.	 If you are not using this instrument, place a cloth pad on the patient's side to prevent the urethra from being burned by hot air.
E aquesta curacio es bona am salut.	 This treatment is good for health.
Capitol .xxxviii.	 Chapter Fifty-eight
De extraccio d’espinas e de aquo que adhereys en le golayro e de las autras causas.	 Of spines and of causes that adhere to the gallbladder and other internal organs.
Motas veguadas adhereys en le guolayro o spina de peys o alcuna autra causa.	 The clothing adheres to the gallbladder or spine, or any other cause.
Adonc cove que tu extraguas aquo que de aquels es apparent, sobre le qual catz la vista, pus que tu premes la lengua am instrument denant solelh, per so que a tu sia declarat aquo que es en la guola.	 When you have extracted that from those it is evident as to what the eyes can see and your tongue cannot perceive, please declare aloud that this is in Latin
E aquo que no apar e es a tu occultat en le guolayro, cove que tu fassas vomir le malaute denant que la vianda sia degerida en l’estomac, quar fort leu la causa annexsa le golayro sira foro-getada per vomit; o que deglusia le malaute una pessa de nap o de razit de laytuga o un boci de pa sec; o prengua una pessa de sponga marina sequa leon, e lia aquela fortment am fiel, e aprop le malaute transglussia aquela, quar cum perve al loc en le qual so spinas e es extrahuda, lahoras so foro-getatz.	 When you have extracted that from those it is evident as to what the eyes can see and your tongue cannot perceive, please declare aloud that this is in Latin.
E mays pren una anguila e be am fiel liada, e sia dedintz mesa e soptament sia extrayta; o pren un porr e soptament le metas e soptament l’en tratz.	 You may remove a chicken and have it cooked and prepared, or take a pork and prepare the meat as well.
Mays si no so foro-getatz am aquelas causas las quals havem ditas, lahoras husa de un instrument de plom segon aquesta forma:	 If not for those causes that I mentioned, then do with an instrument of gold according to this manner
E sia pus gros que ray un petit, e en la extramitat de lu sia conquavitat la qual tu entrometas en la sua guola am facilitat.	 The greater the distance from it is the easier it is for you to enter into its cavity in a simple manner.
E el aga le sieu cap elevat en sus, e guarda te que·l tocament del sieu os de la gola, per so que endevengua a lu cos e am aquela que enpellesca le os o la spina, o que aquel le metge am la sua ma.	 The head should be raised in him and make sure that the touch of his throat is gentle to avoid choking or tearing the muscle tissue or veins, or having the doctor put their hand there.
Mays empero que·l malaute aquel entrometa es miels, per la sua sciencia del loc de la causa annexa e enpellisca en jos, e tira la sua ma am le instrument en sus, tot aquo segon la quantitat la qual es a lu preparada entro que sia foro-getada.	 The patient should enter the intestine and remove his hand from the instrument there after making sure that it is in its place due to the cause added on and is pulled out gently down while keeping their hand over it as much as necessary for the extraction to be successful.
Capitol .xxxix.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors
De extraccio de sancguisugua annexsa al golayro.	 And if it is necessary to make points on the surface of the foot
Quan es medicada sanguisugua am aquo que havem dit en la divisio de la curacio am medicinas e no comfereys, considera lahoras en le guolayro del malaute al solelh, pus que tu aias compremuda la lengua de lu am instrument le qual a tu havem recomtat.	 And if it is necessary to make incisions on the surface of the foot.
Donc si tu vezes la sancguisugua, extratz aquela am onci petit o am gesti subtils decentment.	 Then, when making cuts on the surface of the foot, be gentle and subtle about it.
E si no es a tu possible estrayre am aquel, lahoras pren una canula concava e entromet aquela en lo guolayro del malaute, e aprop pausa en la concavitat de la canula un ferr ignit, e fay aquo tantas vetz (entro que la sancguisugua sia morta e se osta del guolayro) e abstengua se le malaute tot lo jorn de aygua.	 If it is not possible to perform an incision on the surface of the foot, then place a soft and curved needle into its cavity, making sure that you preventively close its opening with fire, so as to avoid any damage (in case of death or rupture) in the process.
E aprop prengua una veyria plena de aygua frega, e obra la boca de lu en aquela, e lava la boca am aquela; e no trasglucia de aquela alcuna causa e maugua l’aygua una hora aprop autra am la sua ma, quar la sancguisugua tantost cum sent l’aygua catz.	 And after the wound has been cleaned with water and closed its mouth in that way, wash it clean using that same method; avoid causing any further injury or harm to the patient's body for a duration of one hour as long as the gout persists.
Mays si no es foro-getada am aquo que havem recomtat, lahoras subfumigua le malaute am cimetz o am assafetida per le instrument le qual havem recomtat en la sufumiguacio de uvula.	 If not everything is done as you were instructed to do it, then the doctor will apply a cold or hot object through the instrument that was recommended in the treatment of the tonsils.
Fay aquo, so en quar cayra.	 When joint pain arises from cold humors, causing infiltration in each part of the body.
E es un’autra manieyra de operacio en sufumiguacio de aquela, es que tu prenguas una ola en la qual sian carbos ignitz e la ola sia cuberta am una cobertora en le mieg de la qual sia un trauc, e sia compausat en aquel trauc la extremitat del instrument; e aprop dega desus la subfumigacio; e pause le malaute la sua boca en la extremitat de la canula, e claugua la sua boca per que la subfumiguacio no sia foro-getada entro que sapias que la subfumigacio es pervenguda a la sancguisugua, quar la sancguisugua tantost cayra.	 There is another type of operation in the smoke, namely to use a hollow cover on which there are hollow and covered holes near the instrument's handle; it covers that part to prevent the smoke from escaping into the other parts; pause the patient if they try to open their mouth during the procedure.
E si no catz, lahoras tu itera la subfumiguacio motas vetz, e abstengua le malaute de beure, e mange causas saladas e alhs, e no begua aygua, e ayssi necessari es que am aquest regiment sia fora-getada.	 If not, stop the smoke procedure and prevent the patient from drinking salty water or eating anything else; it is also necessary to ensure that this treatment is discontinued.
E aquesta es la forma del instrument am le qual es trayta sancguisugua del guolayro quan es vista; e es semblant a forceps ayssi cum vezes, sino quar es en lu alcuna curvitat:	 This is the shape of the instrument that is used for such an operation as mentioned earlier.
le qual sia mesa al guolayro, e la extremitat de lu es semblant a bec de ciconia, que es guanta, en la qual es aspretat de lima, per so quar, quan comprem alcuna causa, aquela no leyssa.	 When placed on the chest, its extremity is similar to that of a cicone beak, which catches things and holds them tightly; when any cause occurs, it will let go immediately.
Capitol .xl.	 The end.
En le qual es la suma del sermo en apercio de apostemas e en seccio de lor.	 Which is the sum of all the meaning in this treatise, and it includes the parts of words and their endings.
Les apostemas so motas specias, de motas manieyras, segon que ve rememoracio de lor, de quascuna en aquest libre.	 When the patient's pain occurs in the feet
E so diversas en perforacio e seccio de lor per doas manieyras, de las quals la una es per la specia de apostemas en si meteys; e per aquo que comprem de las humiditatz.	 The physician will make cuts and incisions in various places, such as those mentioned above, to drain the humors from them
E la segonda manieyra es prop les locs en les quals accideys del cos, quar le apostema accident en le cap es autra de la apostema accident en le cul; e le apostema en le loc carnos accident es autra del apostema accident en junctura; e a quascun de lor es son juguament per operacio.	 The second servant will be placed in locations where the body's organs are located, such as the head being one location and the anus another location; it will also have incisions made for them, so that when they occur (organs) surgery is necessary.
E mays de apostemas so alcunas las quals cove que no sian perforadas sino aprop maturacio de la sania en aquels o compliment de lor.	 The servants mentioned earlier are those whose openings should not be made by cutting but rather with the application of a poultice, whether on them or in relation to them.
