Ayssi comensan las paraulas de Albucasim .	 In English this means: Here come the words from Albucasis
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	 "The operation and extraction of these are done to the patient's extremities where they appear in the temples; and understand that the artery appears in the temple if it is visible on your own hand, but hidden from most people due to its faintness.
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	 "If the artery is hidden, doctors apply pressure to the patient's groin with any cloth or similar material; and then apply heat on the area until the artery becomes visible.
E lahoras tu pren le spatum del qual aquesta es la forma:	 When you have opened up this space, which is its form
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	 You will remove the cordage from this form, and place it in an arrangement such that when you pass through to the other side, you can extract what is on that part of the body, and uncover what is on the parts below
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	 If the artery is subtle, it wraps around that part of the body from both sides and goes down to below the ankle, so if you don't cover it adequately, there will be flow downwards towards your feet, meaning that the blood flow downwards towards your feet may increase if not covered
E aprop evacua del sanc de vi unc. entro a tres.	 Remove the wound from here to three
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	 If the artery is large, it wraps around and goes from here to under the arm on both sides tightly closed or cords at its length, so if not covered properly there will be a buildup of putrefaction inside the cavity and may cause blood flow blockage
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	 You take away the excess which is between two sheets, or you do this at that time, or another way.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	 If you want to, cauterize that with a pointed cautery on the cheek next to where the arteries are cut into the skin, and leave it open where it is
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	 "The patient has been suffering from fever or a scalding sensation of the entire body.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	 "The doctor applies the lancet to cut into a small part of the patient's skin near their elbow, and then places it on the palm gently.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	 "If you find any other vein that is bleeding and needs to be closed, or if the lancet penetrates too much into the skin of the arm, then gently pull your hand away from it.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	 "If the reason for that is not your fault, pause the lancet over the location where it has entered, and then gently pull away from the area as if you were going to wet it with hot water so that its sharpness fades, in order to prevent any damage.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	 "The reason for that is to cauterize the vein with two lancets, and then place them on both sides in order to try to seal it off completely, so that it prevents any leakage into both locations at once, preventing any damage.
E aquesta es la forma del cauteri:	 "This is how to perform a cauterization:
E sia la acuitat dels dos cotels esemps.	 "Both lancets are used together.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	 "When two sharp objects are put together when they are close to each other and not covered with flesh quickly causes pain.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	 If there is no room between them, heat from the fire is applied to those parts and the skin is removed temporarily.
E aquesta obra es milhor en tota obra e pus leugiera.	 This work is the most useful in all works and easy to read
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	 The space between two objects should be proportional to their thickness.
Capitol quart.	 Quarter
De la cura de cors de lagremas agudas e aciduas dels huels.	 Treatment for sharp and acid-related burns on the hands.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	 When acid-related burns occur on the face veins and do not require medical attention, they are treated by rinsing with water until there is no more pain.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	 And you command the patient to close their eyes and place three incisions equally spaced along the length of their forehead.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	 If the length of each incision is two fingers: one incision should be equally spaced from the tip of the nose to the end of the forehead, and the second along a small distance from the corner of the eyes where they are located on the face.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	 When you have opened up a space between the patient's thighs and placed a cushion beneath them, continue holding their hands.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	 Make sure that the distance from each incision to its corresponding suture is three centimeters adjusted.
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	 Ensure you have applied a dressing or dry cloth to any wounds that may become infected.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	 Then place two sharp instruments at an angle between the patient's legs; this is called a midline incision
que es de la partida des templas entro a la segonda inscizio.	 The first incision runs from the temples to the second incision.
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	 Then remove the tape between those two incisions and place it over the nose; then stitch up both incisions to close them.
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	 Then place the first incision and follow it with another instrument called a scalpel, one of which you will use on one side and the other not.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	 Then place the tape on both sides of the first incision and pull it tight to seal off any wounds that may occur in between; then stretch it across the nose towards the center of your face, so that when you pull it forward, its tension will push any wounds down towards the corners of the mouth.
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	 Continue stitching up as you go along the incision and then follow that with a second stitch across the wound to close it off completely.
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	 When the quantity of blood flowing through a limb exceeds that which is necessary for life support to be maintained in that part of the body
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	 In order to prevent any cuts on the body while performing it, place a cushion underneath and over those powders in order to keep them from touching you or your eyes, ensuring that nothing will fall into them.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	 In the third day of the treatment, and as long as you do not have any severe burns or wounds on your hands, apply this ointment generously to them
Capitol .v.	 The text is a medieval medical treatise discussing the treatment of gout.
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	 From treating the gums to the heels descending from the head downwards.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	 When the gout has already spread and continues to cause pain in the patient's heels, it is customary that the ulcers of the foot are treated with cautery, and if there is a severe headache as well, then the treatment may be necessary for this accident, because the materials and gouty veins of the part descending towards the head have arrived.
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	 The best cure for these is as follows: command the patient to raise their head, and then make a small cut at the location of the forehead, one on each side (and starting from the left temple towards the right). Insert it into the eye socket; and stretch out your hand with your thumb pointing upwards. Inside that place where the eye was removed.
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	 The patient's anus is dry, or covered in a damp cloth, and it is placed between the two buttocks of the wound opening to prevent further leakage from the anus.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	 The patient's bowels are loosened gently, and oil is applied over them in order that they do not drip on to a pointed instrument.
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	 When you are sure that the abscess has been diminished, then apply oil over it and begin to clean around it with warm water; if necessary use a mixture of two parts flour and one part colophonia, mix well, and place it in these wounds made by nature.
Capitol .vi.	 Capitol
De la cura de aquo que catz en las aurelhas.	 From the cure of that which is inside the ear canal.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	 The reason that causes the ear canal is one of four types: either it could be mineral in nature or similar to a stone, just as with fire and water, or it could be from a plant such as ivy, or it could be caused by fluctibula (a type of worm) like air, water, and their similarity, or any other beast.
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	 Then when you think that the cause of the ear canal is one of those causes not fitting or believing in the ear canal, put a cloth over it and if times come to pain, the doctors distil oil from that cause by boiling it gently, place the extract on them, spread with it, and apply the compress as directed for the cure.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	 When pains in the groin are caused by cold humors infiltrating into the parts of the body, and when pain occurs on the feet, it is customary to call gout to doctors.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	 If not, the doctor will prescribe a cautery with a pointed tip used in this manner
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	 And if it is not enough to do so, the doctor will prescribe a cautery with a less pointed tip
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	 If not enough, the doctor will insert a catheter with its tip into the vein at the back of the thigh and secure it in place to prevent leakage either way or from being pulled out
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	 You should apply a hot compress with a towel around your arm tightly bound so that the pain comes down faster.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	 If not enough in this way, the doctor will apply a poultice with a mixture of alum and vinegar to the affected area on the limb, place it gently on the part being treated.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	 Once inserted into the back of the thigh and secured in place, apply heat to the affected area with a towel around your arm tightly bound.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	 If all other causes that you've mentioned haven't been enough to alleviate the pain or spasms, then doctors will prescribe a remedy like a cure for gout or muscle spasms.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	 When the veins of the thigh are opened by a servant, and the second servant opens up the veins in the chest; fasten them together with small sutures on the side of the breast, so that it will heal properly at its place
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	 If the tear in the breast occurs while sleeping or when it is covered up with a bandage, then immediately attend to it with an appropriate instrument and sew it quickly, and treat it so that it may heal.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	 If the cause of the tear is one of those fat cells that burst and flow out, then treat it with care as well as removal. However, if you suspect that this is an accident, take a soft substance to cover it in order to prevent further injury.
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	 Treat the burst fat cell from the breast.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	 Do not do this when you suspect that it is already dried out by breast milk or moisture in the breast area, and stop touching it with gentle touches, or inserting a needle to extract it, as all of these methods are risky for removal.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	 When you suspect that the tear is caused by breast milk, gently pull on it with your thumb and forefinger to bring it out of place as quickly as possible; if this fails then try pulling from different parts of the breast in a similar manner until you succeed or fail.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	 Therefore, do not cease until all the water has been collected
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc i, e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	 And once all the water has been collected, you will proceed to remove paper or cloth and place one end of it in a container and stretch the other into a rope until its length matches that of the person
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	 And once you have completed collecting all the water, proceed to remove any remaining paper or cloth and stretch it into a siphon hose with an outlet large enough for the water collection machine
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	 And as for the outlet of the beast entering that chamber, if it is small, you must stretch and make it like this, and should be as long as shown in division; but if it is a large opening which causes trouble when inserting, then insert an additional cause along with it to prevent any other cause from affecting the hose.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	 And for the outlet of a worm entering that chamber when you stretch it as shown in division and treatment of distillation but does not interfere with your care, make sure to examine the hose in sunlight.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	 And if any worm causes appear here, stretch that outlet or make a subtle one instead, but should nothing else appear, take a siphon hose and remove its excess width so it is the same shape as this one.
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	 "Within the delicate area of the patient's thighs after measuring a certain extent to which pain occurs in the man, apply this method strongly and remove those parts that have become swollen, until all worms are removed.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	 "If not to administer the remedy at that time, place them in a circuit of the needle as mentioned before; and treat them with a distillation treatment.
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	 "Its effusion is at that which effaces the medicines in the thigh by this instrument, which is its form:
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	 "If it's made of silver or gold, do not strain yourself when placing them, as they are light.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	 "And if they should be placed in the cavity of the continent catheter where it is necessary to do so:
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	 "If you wish, take the needle and place it gently in the extremity of the urethra as before, and apply oil into the cavity of the anus or any other herb or that which you want to put these medicines into the catheter - that is into the thigh-and place it inside gently compressing until the oil is expelled out from the cavity of the anus and the patient feels pain due to its removal.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	 When it has infiltrated into the head, it can be very painful
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	 If you know that what is causing an inflammation of the ear is not due to cold humors, then the medications for the ears will not help with this issue.
Capitol .vii.	 Seven
De curacio de opilacio de aurelhas.	 Examination of the ears
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	 The examination of the ears may not be carried out if perforations occur in the meat or flesh around it; and this examination is only done before a specific time period, unless otherwise specified.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	 If perforations occur at the base of it when one cannot understand what has happened, then this is a very difficult medical condition.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	 When you find out about the situation, cover it up with something like clothing or towels and guard against accidents.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	 If once perforation appears, this is what to do instead of using a sharp instrument that can cause further damage to the ear canal
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	 If the part of it where small in circumference and one side has a sharp angle while the other does not; and if the lining is two thicknesses long to prevent touching the ear canal.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	 If the examination is being carried out with a blunt instrument on or in the flesh around it; then take extra care to avoid accidentally touching any of it.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	 "When an ulcer occurs on the glans of a penis, pain is felt by the patient very strongly and intensely, so that he cannot stand it anymore.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	 "And if there is a pain caused by an ulcer of the glans on such a patient who is in distress due to its severity, make sure that pressure or any other type of treatment is not applied to the glans itself.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	 "After applying the ointment made of Egyptian honey to the ulcerated glans that is stretched beyond its initial size and has been causing distress for some time now, you should wait until it has fully healed - or remove any other ointments applied on top of it and apply a new one with fresh powder, gently wiping away the crust as it forms. And if times have come to pass where the glans has become hardened, be sure to use a pointed cautery to cut through it.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	 "If the ulcer is caused by a flow of cold humors and you want to suppress or treat it with ointments soaked in fresh water, use another treatment that is described in the treatise on distillation.
Capitol .viii.	 "Chapter VIII
De cura de athezil le qual endeveno a las palpebras.	 "Of curing those who become blind due to cataracts.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	 When dry heat enters into the body, it produces blisters on the palms of hands that are soon to burst.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	 Then put it in a hot bath for the affected part of your body, and apply a poultice with warm water over the blisters to prevent them from bursting.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	 If joint pain is caused by an influx of cold humors that enter through veins, you burn it with a subtle lancelet to treat gout.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	 The milder burning is applied to the affected areas and blisters return when there is no cause for their appearance; and after they are treated with heat, these blisters will burn off and not reappear.
Capitol .ix.	 Caput.
Cura de grandeyssa que veno a las palpebras dels huels.	 Treat the large blisters on the hands.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	 The blisters that are caused by a cause of great strength and hardness, which is called the 'great blister,' because it's large in size
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	 Apply a thick layer of wet poultice to it.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	 Then the treatment is to consider if it's caused by great blisters that spread over multiple parts of the body and are painful in all areas; and its cause may be mild.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	 Then seal the wound by cutting off its skin and spreading it out flat to make it easier for removal; and cover it with a poultice over that.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	 When you have opened up the space between the patient's thighs and placed cushions under them, another servant should go on their legs, and another one on their chest while holding their hands; this is the first sentence to translate.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	 If the patient's figure is large, adjust it with stitches; and care for that which has been injured.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	 And if they are small, you won't cause harm by removing the one from the leg and replacing it with another one.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	 If the figure is declining in appearance to that of the eyelid itself, you should remove it and replace it with another one; start by removing this one from its place, placing that one all over, and if it were broken, do nothing about it.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	 Then apply the salty water to the incision; care for the place where it was applied and treated.
Capitol .x.	 Farewell
De la cura axcirnah en la palpebra desus del huel.	 From now on, let's focus on treating the eyelid itself.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	 Treat the eyelid itself from now on, but also pay attention to those which are generated in its lining and more especially attend to children's eyes, worsen their eyesight by these and apply them with care as a lens; do not look at the sun for fear of burning it
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	 When the joints become cold and harden, over time they lose their flexibility, making it difficult to move them.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	 If a hernia is to be reduced or corrected (not sure about the meaning of "cercle"), it must first have its head lowered into a tube, and then the strangulation cord wrapped around both legs in order for the correction process to begin successfully.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	 This sentence means that when you are trying to remove the cause of pain caused by a hernia, whether it be inside or outside of the body, in order for the process to begin successfully, you should first make an incision around the hernia so as to open up space for the hernia to come out.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	 Then, remove those strips that you have wrapped around the fingers and thumbs on both hands in order to open up space between them.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	 And make sure not to adjust the incision so that fluid does not leak out of it and cause further harm.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	 When you first make the incision, it's important not to adjust its size too much, and afterwards remove any excess strips or tape that may have been applied to close up the wound and prevent further infection of the area with pus; after that, place a dressing over the incision area so as to keep it clean.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customary for doctors to call this gout.
E aprop cura aquel entro que sia sanat.	 And if necessary to make a point on the surface of the foot, then do so with a pointed cautery.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	 When pain occurs in any part of the body and is caused by cold humors that infiltrate each part of the body, it is customary for doctors to call this gout.
