Ayssi comensan las paraulas de Albucasim .	The patient's doctor begins to speak.
E aprop prengua una veyria plena de aygua frega, e obra la boca de lu en aquela, e lava la boca am aquela; e no trasglucia de aquela alcuna causa e maugua l’aygua una hora aprop autra am la sua ma, quar la sancguisugua tantost cum sent l’aygua catz.	And take a vessel full of water to flog, and work the mouth in that one, and wash the mouth with it; and do not disclose any other cause or evil but use this water an hour before another, because the pus is already sensitive to the water.
Mays si no es foro-getada am aquo que havem recomtat, lahoras subfumigua le malaute am cimetz o am assafetida per le instrument le qual havem recomtat en la sufumiguacio de uvula.	But if it is not remembered with that which was recorded, then inhale the wound with vinegar or onions using the instrument which was recorded in the inhalation of uvula.
Fay aquo, so en quar cayra.	Do this, for a long time.
E es un’autra manieyra de operacio en sufumiguacio de aquela, es que tu prenguas una ola en la qual sian carbos ignitz e la ola sia cuberta am una cobertora en le mieg de la qual sia un trauc, e sia compausat en aquel trauc la extremitat del instrument; e aprop dega desus la subfumigacio; e pause le malaute la sua boca en la extremitat de la canula, e claugua la sua boca per que la subfumiguacio no sia foro-getada entro que sapias que la subfumigacio es pervenguda a la sancguisugua, quar la sancguisugua tantost cayra.	And it is another way of operation in inhalation of that one, where you take a sponge in which are carbon sparks and the sponge is covered with a cloth in the middle of which there is a thread, and the instrument is composed on that thread the extremity of the tool; and apply it downward; and place the ulcer its mouth at the extremity of the tube, and laugh its mouth so that the inhalation is not forgotten until you see that the inhalation has reached the pus, for the pus will immediately fall.
E si no catz, lahoras tu itera la subfumiguacio motas vetz, e abstengua le malaute de beure, e mange causas saladas e alhs, e no begua aygua, e ayssi necessari es que am aquest regiment sia fora-getada.	If you are not sick, then later you will follow the subfumigation motions more often, and you must abstain from drinking, and eat salty causes and aliments, and do not drink water, and it is necessary that this regimen be forgotten.
E aquesta es la forma del instrument am le qual es trayta sancguisugua del guolayro quan es vista; e es semblant a forceps ayssi cum vezes, sino quar es en lu alcuna curvitat:	This is the shape of the instrument with which the scab is sucked out by the barber when it is visible; and it is similar to forceps sometimes, but without any curvature.
le qual sia mesa al guolayro, e la extremitat de lu es semblant a bec de ciconia, que es guanta, en la qual es aspretat de lima, per so quar, quan comprem alcuna causa, aquela no leyssa.	which is held by the barber, and its extremity is similar to the beak of a crane, which is strong, in which it is sharpened with lime, so that when we compress some cause, that one will not stick.
Capitol .xl.	End of the text.
En le qual es la suma del sermo en apercio de apostemas e en seccio de lor.	In which is the sum of the sermon in warning about apostemata and in section on them.
Les apostemas so motas specias, de motas manieyras, segon que ve rememoracio de lor, de quascuna en aquest libre.	The aphthae are certain special kinds, of various manners, as remembered in their regard, of each one in this book.
E so diversas en perforacio e seccio de lor per doas manieyras, de las quals la una es per la specia de apostemas en si meteys; e per aquo que comprem de las humiditatz.	And they are diverse in perforation and section of them by two manners, of which one is for the species of aphthae themselves, where we compress from their humidity.
E la segonda manieyra es prop les locs en les quals accideys del cos, quar le apostema accident en le cap es autra de la apostema accident en le cul; e le apostema en le loc carnos accident es autra del apostema accident en junctura; e a quascun de lor es son juguament per operacio.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E mays de apostemas so alcunas las quals cove que no sian perforadas sino aprop maturacio de la sania en aquels o compliment de lor.	The symptoms of impetigo that cannot be pierced unless they are matured in the place or fulfilled, and thus.
So autras apostemas les quals cove que sian traucatz quan son cruzes, e no son maturatz segon lor compliment, ayssi cum apostemas que son propdas a las juncturas, quar apostema quan ve prop junctura, lo esser de lu es prolonguat entro que·s poyreys aquo que es en le circuit de lu, e fort leu son corromputz les liamentz o les nervis de aquela junctura, per que es fayta causa de contraccio de aquel membre; o es apostema prop de membre principal, e si tu tardas la perforacio de lu entro sia madurat nosira al membre principal; o es prop le cul, donc perfora aque no-madurat; e no cove que·l perforas cru, de no-complida degestio, sino aquel que es prop del cul, per so que no poyresca le preon de lu e sia elonguat a las partidas dedintz del cul, e sia fayta fistula, o que sia fayt en le terme de lu que no sia sanat.	Other impetigas that can be pierced when they are crossed, and not matured according to their completion, are thus like impetigas that are prone to joints, because when an impetiga appears near a joint, it is prolonged until you pierce it in the area where it is located, in the circuit of it; or if it causes contraction of that member; or if it is near a main limb, and if you delay piercing it until it has matured, it will harm the main limb; or if it is near the anus, then do not pierce an unmature impetiga; and cannot be pierced raw, because of non-completion digestion, but that which is prop of the anus, so that you cannot get relief from it and it gets elongated to the parts away from the anus, and becomes a fistula, or that is made in the term of it that is not healthy.
Mays cove que tu sapias la hora de la perforacio de la apostema, e aysso es quan es maturat.	It is possible to know the hour of the perforation of the impetiga, and thus it is when it has matured.
E sapias que es madurat quan es la cedacio de la dolor e la cessacio de la febre, e aprop la diminucio de la rogor e de la pulsacio, e la acuitat del cap del apostema, e les autres senhals.	You know that there is pus when the swelling of pain and fever stop, and reduce the inflammation of the wound and pulse, and increase the sharpness of the head of the abscess, and other signs.
E quar cove que sapias la perforacio cazer en le loc pus dejos del apostema e de pus venient de curacio de la eminencia.	So you know that the opening is to be made in the place where pus is seen, leaving behind the pus from the abscess and pus coming out of the healing of the prominence.
E perforacio tostemps sia per le lonc de la carn o del cors, si las apostemas son en las partidas de las mas o dels pes, e en loc dels lacertz, de las cordas dels nervis, de las arcerias; e, al derier, en totz locs enguals en les quals no es reflecio; quar en aquels que so reflectitz, usa de perforacio segon aquel membre.	And the opening should be made through the length of the skin or flesh, if the abscesses are in the folds of the armpits or feet, and where the lacertae, ligaments of nerves, arteries; and, finally, in all those places without reflection, when in those that have reflection use the opening according to the member.
Mays quan le apostema es en loc carnos, lahoras miels es que leysses la perforacio de lu entro que sia confermada la digestio de lu segon compliment, ayssi quo havem dit; quar si tu perforas aquel denant aquo, es prolonguat le cors del poyre de lu e de mota sordicia, e fort leu las labias de lu so enduradas e la profunditat de lu.	But if the abscess is in a fleshed place, it is more prudent to wait until its digestion is confirmed according to the complement, as they say; for if you open it beforehand, the course of the pus will be prolonged and great foulness, and the lips are more worn out and the depth.
Mays alcus apostemas so perforatz segon la latitut de la carn o del cos deves la necessitat, o segon aquo del qual lo membre indigeys.	But ulcers need to be perforated according to the latitude of the flesh or body, due to necessity, or according to that from which the member demands.
E cove que administres petita perforacio , e·n les apostemas grans gran perforacio e ampla o motas seccios segon la diversitat de la grandesa dels apostemas.	It seems to say: "And certainly one must administer a small perforation, and in the larger apertures a great perforation and many small punctures according to the size of the apertures.
E autras so dels apostemas en les quals cove que la codena sia conquavada e sia encidida, quan es fayta ayssi quo pan e fayta es en terme que ja stigua, ayssi cum aquel que accideys en trops de dubelec e de bubos.	It seems to say: "And there are other apertures in which it is necessary that the chain be conquered and inflamed, when they are made thus: by putting a stone or making an opening in a place where it already sticks, as if it were happening in a trodden path of double boils.
E de aquels so que so insciditz am seccio havent tres angles; e de aquels es en le qual es inscidit ayssi cum figura de fuelha de mirtra, ayssi cum las apostemas dels angonars.	It seems to say: "And of those that are incised with a section having three angles, and of those in which it is incised like the shape of myrrh leaf, like the apertures of the lancets.
E de lor so en les quals es administrada seccio redonda e seccio lunar, e semblantz ad aquels.	It seems to say: "And of those in which a circular section and a lunate section are administered, and they resemble them.
Mays aquel al qual no es cap ayssi cum son apostemas leons superficials, cove que tu perforas aquel am perforacio superficial, o plana tant solament.	It seems to say: "But the one that does not have such an appearance as their apertures are superficial lancets, you can make a superficial perforation, or only flat.
E cove quant le apostema es gros e ya ha colligit mota sania, que perfores aquel e no te coytes que extraguas tot le poyre en aquela hora; habantz extratz de aquel una partida, e aprop opila le apostema entro al autre dia, e aprop extratz una partida major, e aprop fa aquo motas veguadas segon graduacio entro que sia foro-getat.	It seems to say: "And when the aperture is large and already has collected some pus, you perforate it so that you don't extract all the pus in that hour; take out one part of it, place the apertured aperture inside another day, and take out a larger part, and do it many times as it gets larger, until it's forgotten.
E majorment si·l malaute es de freol vertut, o femna prens, o enfant petit, o viel en decrepitut, quar l’esperit animal motas vetz es resolvut am la egressio de la sania, e fort leu mor le malaute, e tu operte les.	And when the patient's malady is of green fever, or womanly pangs, or child's smallness, or old person in decline, because the animal spirit moves with fervent zeal to remove the sickness, and gentle death brings the disease, then you open.
Don guarda aquest capitol am gran cautela, e aprop la tua perforacio en la qual perforas aquestz apostemas, cove que abstergescas las plagues e consideras donc si la plagua del apostema es pauca, o es una seccio plana, lahoras tu aministra las qualguas de li o de coto antic; e si le apostema es gran, e las fissuras de la perforacio son motas, lahoras cove que tu pauses meca en quascun trauc entro que pervenguan ensemps.	But beware of this section with great caution, and place your perforation in the spot where you remove these growths, taking care to clean yourself thoroughly and consider whether the plague of the growth is small or flat; if it is large, and the fissures of the perforation are many, then carefully apply mecca in any passage between where they congeal together.
E si en le apostema es abscindit una partida de la codena o has concavada aquela en le circuit, lahoras cove que tu la complescas de coto viel o de fil fayt de drap de li, ayssi cum quan has traytz pans o razizos, ses humiditat; e strenh aquel entro al tertz dia; e aprop proceseys aquel e cura le am aquo que cove dels enguentz entro que sia sanat.	And if in the growth there is an incision of a part of the tendon or it has concaved that area in the circuit, then carefully sew it with woolen thread or yarn, as you have done with stitches or razises, considering its humidity; and strengthen it until the third day; and proceed to process it and cure it with whatever medication is effective before the disease enters.
Mays si accideys flux de sanc en la hora de la operacio tua, lahoras tu aministra aygua frega e vi agre en les quals mules un drap de li, e pausa aquel sobre le loc del fluxs del sanc motas veguadas.	But if it happens that there is flow of pus in the hour of your operation, then take water and vinegar to clean those places, where you apply a linen cloth, and place it over the site of the pus that flows many times.
Mays si persevera le fluxs del sanc, lahoras cove que tu aministres regiment e curacio e polveras las quals he recomtadas en motz locs de aquest nostre libre e de divisio.	May the flow of the wound heal if you manage to administer the regimen and care, as well as the powder which I have recommended in various places of this book and division.
Mays si es en temps de hivern, e·l loc de la apostema es loc de motz nervis, lahoras cove que tu enfundas pulvils en vi e oli caut, e pauses aquels sobre les locs.	But if it is in the winter season and the area of the abscess is situated among nerves, then cover that with powder in vinegar and oil, and place those there on the areas.
E si es en estiu, e les locs son carnoses, lahoras cove que tu pauses pulvils enbeguts am aygua e oli o am vi e oli, e tot aquo sia freg entro que sia le ters dia, ayssi cum havem dit, e lahoras cove que tu deslies le apostema e abstergescas aquel e aministres en la curacio de lu aquo que a lu conveneys entro que sia sanat.	But if it is in summer and the areas are fleshy, then cover them with powder mixed with water and oil or vinegar and oil, and all that be rubbed into until it is the third day, as they have said, and thereafter cover to remove the abscess and clean it, and administer the care of it, which suits it, until it heals.
E aysso es aquo que es necessari de la cognicio de la curacio de apostemas universalment, mays segon la via de distinccio ja he dit de tot apostema en qual manieyra es via de la cura de lu per capitols singularment.	And this is how it is necessary to know the care of all abscesses universally, but I have already said on the way of distinction for every type of abscess in what manner it should be treated by means of capitals.
Capitol .xli.	Chapter 41.
De seccio de apostemas les quals veno en la codena del cap.	Of the abscesses that occur in the neck of the head.
En la codena del cap petitz apostemas, e so de specias de nodes les quals conteno tunicas que so a lor factz ; e las specias de lor so motas.	In the neck of the head, there are little knots or nodules that contain tunics which are their own fact, and those of them are very small.
E de lor son pingas, e de aquelas so que conteno humiditat semblant a lima.	And from them come pimples, and from those which contain humidity similar to lime.
E de aquelas so las quals conteno humiditat semblant a pols, et asemblantz a lor; e de aquelas so que son lapideas, durs.	And from those which contain humidity similar to salt, and like them; and from those which are hard and stony.
E en la seccio de totz, e en la extraccio de aquels no es temor, cum deves la exteccio de aquels no fa contrariat arceria.	And in the section of all things, and in the extraction of those which is not feared, how should the removal of those be done without causing arthrosis.
E la operacio en seccio de aquels es que tu esproes aquels am instrument la forma del qual ve aprop aysso, le qual es apelat entromes, entro que sapias que contengua.	And the operation in the section of those is that you apply those with an instrument of its form, which they call interstice, into which you insert it, since you know what it contains.
Quar si aquo que conte es humiditat, lahoras scindeys aquel am seccio segon la longitut per seccio superficial segon aquesta forma:	Since what it contains is humidity, then you split it with that section according to its length, in surface sections according to this shape:
E comensa en la seccio de la linha de .B. entro a la linha de .G. Donc cum la humiditat es evacuada, lahoras tu excoria aquela pel que conte aquela humiditat, e no leysses de aquela alcuna causa de tot, quar tropas veguadas retorna, si roman de aquela alcuna causa.	And it begins in the section of the line B to the line G. Then, as soon as the humidity is evacuated, you scrape off that skin which contains that humidity, and do not let any other cause be missed, since those that have been seen return, if there remains any other cause.
E aprop submergeys coto en enguent egipciach, si es present, e sino, en aygua e sal; e umpleys am aquel la plagua e layssa aquel entro ad autra dia, quar am aquo corrodeys tot so que es romas de aquela pellicula.	If there is an Egyptian ointment available, apply it to the wound if present, and otherwise apply water and salt; and fill him with the wound and lay him down in a room for another day, until the corruption subsides so that he does not fall apart from that skin.
E aprop itera sobre aquel coto am enguent egipciach segondament e tersament si indigeyses de lu, entro que·t comfides que no y haia romas alcuna causa de aquela pellicula; lahoras cura la plagua am enguent entro que sia sanada.	Then iterate over that spot with the Egyptian ointment secondly and thirdly if needed, until you are confident that there is no other cause for that skin condition; then cure the wound with the ointment until it is healed.
E si apostema conte nodi gras, lahoras tu inscideys aquel segon aquesta forma:	If there are swollen nodes of fat, then you should incise them in that manner.
am seccio havent forma de crotz, e geta oncis entre doas labias de la seccio e scorsa aquel de tota partida, e esforsa la tua vertut en extraccio de la tunica la qual conte aquel.	Cut the section in a cross shape, and then insert an instrument between two labia of the section and cut through it completely, and exert your force to extract the covering which contains that.
Mays si a tu arceria fa contrarieta, lahoras fay aquo que yeu t’e recontat primieyrament.	If it is to your arrow that opposes, then do this as you have recounted first and foremost.
E semblantment fay en le apostema lapificat de seccio e de curacio segon que a tu havem dit; e seccio sobre apostema lapificat es pus leugiera, quar es de pauc sanc e de pauca humiditat.	Do the same for the swollen fatty node of the section and of the cure according to what you have said; the section over a swollen fatty node is lighter, since it is from few sutures and little humidity.
E alcunas vetz so alcus de aquestz apostemas les quals so en le cap en alcus homes am los quals de tot no es humiditat; la qual causa es quar yeu inscindigui sobre un apostema en le cap de una femna vielha e atrobegui le apostema ayssi cum peyra sorda, aspra, blanqua, la qual no podia esser trinquada, e si a alcu fos am aquela percussit, plaguera aquel.	A certain sickness of the throat which occurs in dry men and is not due to humidity, causes me to cut open an ulcer on the head of an old woman and tie it up like a pig's ear, a hard, white, unquenchable thing that could not be touched, and if any person came near that place, they would be injured.
Mays en les autres apostemas accidentz en le cap otra aquest no es aquest capitol, ayssi cum les apostemas que veno als caps dels enfantz e deves las razitz de las aurelhas, mays la seccio de aquestz totz sia seccio superficial.	But in other ulcers that occur on the head, it is not the same thing as this, but rather like those that come to the heads of children and are caused by the ears, whereas all these sections are superficial.
E pausa la perforacio de aquels de la partida pus bassa de lor per so que sia alleujat le cos de la sania a las partidas pus bassas.	Stop the perforation of those at the lower end of their passage, in order to alleviate the body's suffering at the lower parts.
E aprop cura aquelas am aquo que conveneys ad aquel de curacio.	And treat those that are suited with that which is necessary for cure.
Capitol .xlii.	Chapter 42.
De seccio de scrophulas las quals accideyso en le col.	Of the section of scrofula, which occurs in the colon.
Motas veguadas endeveno aquestas apostemas en le colh e en las aysselhas e en les angonars; e alcunas veguadas accideyso en las autras partidas del cos.	It is often found in the bowels, on the intestines, and on the appendages, and some occur in other parts of the body.
E so aquelas que accideysso en le colh, e so motas que so engendradas entre lor, e tota scrofula de aquelas es dintz la sua tunica propria, e ayssi cum en les nodis e apostema del cap, ayssi cum havem recomtat.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E las specias de aquestas scrophulas son motas, quar de aquelas so alcunas lapideas, e de aquelas so que conteno humiditatz, e de aquelas so malignas las quals no obeseysso a curacio.	The translation is: And the species of these scrofulae are varied, for some are leprosy-like, and some contain humidity, and some are malignant, which do not yield to treatment.
Donc en aquela la qual tu vezes de bona disposicio en le Tocament, de la qual la color de aquo que es manifest es propda a la color de la codena, e es mauguda a tota partida, e no es annexsa am le nervi del colh, ni am las venas, ni am la arceria, e no es preonda, cove que tu inscidiscas aquela am siccio superficial de la partida desus a la partida dejos del cos de la linha de .G. entro la linha de .B., e scorja aquela de tota partida, e exten dos labias de la codena am onci, o am motz oncis si has necessitat de aquels, ayssi cum havem dit en las apostemas del cap, e extratz aquela petit a petit.	And in that one where you touch with good disposition, the color of which is present and is due to the color of the skin, it is malignant from head to toe, and not attached to any nerve of the neck, nor to veins, nor to arteries, and it does not spread, like you inscribe a superficial dryness in that part from the top of the skin down to the lower part of the body, scoring that entire area, and extending the lips of the skin one inch or two inches if necessary, as they have said in the apothecaries of the head, and extracting it little by little.
E es mays cautela que no sia inscidida la vena o nervi.	And it is more caution that the vein or nerve should not be inscribed.
E sia le spatum no mot agut, que no ajuste a tu la tua ma am inscizio, o que enquiete le malaute, e que inscidas aquo que no es necessari inscidir; quar si inscideysses vena o arceria e prohibeys tu de la tua operacio, lahoras pausa en la plagua vetriol trissat o autras polveras las quals ostan fluxs de sanc, e estrenh la plagua, e layssa aquel entro que·s repausa la acuitat de la apostema e sia mollificada la plagua e comense esser poyrida.	And it should be done carefully so that the spatula does not cut deeply, adjusting to your hand at inscribing, or causing illness in the patient, and inscribe only what is not necessary to inscribe; if you do inscribe a vein or artery, stop immediately from your operation. Then pause on the infected wound, vitriol plaster or other powders that stand fluxes of sanation, and reopen the wound, and let it lie soft until the healing of the ulcer becomes active and the plaque is mollified, and begins to be purulent.
Quan le sanc es abscindit.	When the wound is severed.
Donc retorna a la tua operacio entro que l’aias complida.	Then return to your operation while you have completed it.
E aprop inquireys am le tieu dit indic si es romas alcuna causa de las autras petitas scrophulas, donc inscideys aquelas e munda aquelas.	And check inside the area that you have just indicated if there is any other small swelling, then inspect those and drain those.
E si es en la razit de la scrophula gran vena, cove lahoras que no inscidas aquela scrophula de la sua razitz.	And if it is in the root of a large swelling vein, however, as long as you do not drain that swelling from its root.
Abantz cove que lies aquela am fiel doblat fort e que leysses aquela entro que caia per si ses nocument.	Cut with care so that the vein breaks apart and you let it fall in its own natural way.
E aprop omple la plagua de coto vielh le qual tu has ja submirgit en enguent egipciac, e aprop cura aquel.	And fill the wound with powdered Egyptian gum that you have already applied to it, and cure it.
E si inscides aquela scrophula tota, lahoras cove que tu ajustes las doas labias de la plagua e cuzas2 tantost pus que no y ha romasa deguna superfluitat.	And if you drain that swelling completely, however, cover so that you adjust the two lips of the wound and sew it tight, so that there is no unnecessary residue.
Mays si tu vezes que haia romasa superfluitat per la grandeza de la scrofula, cove que tu entendas a inscidir la razit de aquela, e astrayra aquela e aministra sutura e aquo que es dit.	But if you feel there is some unnecessary residue due to the great size of the swelling, cover so that you understand to drain its root, and remove it, and sew it up.
E aquela de las scrophulas que conteno humiditatz, perfora aquela am perforacio superficial aqui la on appar a tu le loc de maturacio de lu, e pausa perforacio de aquo que siec le pus bas del cos, ayssi cum havem dit.	A wound containing scrophulae ( probably referring to boils or abscesses) that contains humidity, penetrate it superficially at the point where you found it in its maturation place, and stop perforation of this from drying up pus, as they have said.
E aprop aministra perforacio, calguas am enguent e semblantz ad aquels, per so que corroda aquo que es romas de la corropcio.	Close the incision, put on some dressing that resembles those, in order to prevent corruption.
E aprop quan tu vezes la plagua ja esser mundada, lahoras tu cura aquela am enguent de carn generatiu entro que sia sanada.	And when you think that the wound has been cleansed, then apply the dressing made from animal skin within it until it is healed.
Capitol .xliii.	It seems like you're referring to a chapter number (capitol xxxiii). Can you provide more context or the full text of Capitoll.xxxiii? I'll be happy to help translate it for you.
De seccio del pilhot del apostema accident dintz le guolayro.	On the section of the hair follicle in the apothecary's groove.
Diyssero les antics aquesta seccio en le epilhot, e no vist alcu hom en nostra terra que aquela aia fayta.	Describe this section as the epilhot, and it is not found anywhere in our country.
E aquesta es la inscriptura del sermo de aquels.	And this is the inscription of their saying.
Mays en les homes haventz esquinencia, cove que sia esquivada la extraccio del epilhot, cum per aquo no sia fayt juvament per so quar totas las venas e las majors del malaute so aqui.	In men, it has a curvature, in order to avoid the extraction of the epilhot, because that way will not be done justly by which all the veins and main arteries of the illness are here.
Mays en aquels que han apostemas cautz en la boca o guolayro o dos aurelhas, quan la malautia no es en la cana, cove husar de la seccio de epilhot a fugir la perdicio la qual es fayta per perfocacio.	When those who have aphthae caused in the mouth or gums or two auricles, when the sickness is not in the bowels, we must treat from the section of epilhot to avoid loss, which is done by perforation.
Donc cove quan volem aquo, que inscidam le epilhot dejos tres cercles dels cercles del epilhot, o quatre am petita seccio per la latitut en aquel que es entre dos cercles per quantitat, que la seccio sia en ciphac, no en la cartillage, e aquest loc es convenent a seccio, quar es privat de carn e les vayselhs de sanc de lu son luhen.	So therefore we wish to do this, that they inscribe the epilhot with these three circles of the circular sections of the epilhot, or four small sections for its breadth, as much as is between two circles in quantity, which section is in ciphac (or bone), not in cartilage, and this place is convenient for cutting, where it is private from flesh and sinews of sanctum of him is there.
E si le metge es pauruc, cove lahoras que extenda la codena del golayro am onci, e aprop fenda la codena entro que pervengua a la canal, mays evite les vaysels de sanc si vetz de aquelas alcuna causa.	And if the doctor is afraid, then as soon as he stretches the cord of the gums with an ounce, and opens the cord into where it comes to the canal, but avoid the sinews of sanctum if they are from any such cause.
E aprop inscida li ciplach segon que havem recomtat; e es significat sobre la seccio de la canal per le flacma le qual es de aquela eyssit am aquo que es de lu disromput e per la abscizio de la votz.	And then inscribe the ciphac according to what has been recounted; and it is a sign on the section of the canal by the flammia, which is of that essence here where is its disruption and for the abscission of the voice.
E layssa la plagua uberta per alcun temps.	The text means: And heal the wound slightly for some time.
Donc cum la hora es remauguda en la qual perforacio es temuda, agregua doas labias de la codena de la plagua, e cus aquela sola ses la cartillage.	Then when the hour is reached in which perforation is feared, add two lips of the cord of the wound, and sew that one side so it covers the cartilage.
E aprop administra medicinas que fan naysser la carn entro que sia sanat.	And appropriately administer medicines that cause the flesh to heal before it is whole again.
E diyssec Albucasis que la summa del sermo le qual havem recomtat, exposicio no es sino que veias que alcus de aquetz apostemas ja han opilat lo guolayro del malaute, e le malaute es vengut entro a mort, e le ale de lu es entresecat, e alcus van a inscidir le epiglos per so que respire le malaute sobre le loc de la plagua per alcuna respiracio, e sia salvat de mort.	Thus Albucasis says that the sum of our discourse is nothing but what you see: those ulcers on an apostemata have already brought about the ulcer itself, and the patient has come back to death, and the pus has been extracted, and the ulcers will penetrate the epiglottis so that the patient can breathe over the site of the wound for no breathing, and thus he is saved from death.
E per aquo comandero layssar la plagua uberta entro que sia consumida la malicia de la malautia; e es la malicia de lu per tres dias; e donc lahoras comandero cosi la plagua, e cura aquela entro que sia sanat.	And therefore you are to heal the wound slightly before it is consumed by the malice of the disease; and this malice lasts for three days; and thus therefore command so that the wound heals, and cure that one in such a way that it is healed.
E aquo que yeu he vist per mi meteys, es que una sirventa pres un cotel e mesec le en le sieu golayro e inscidic am aquel una partida de la cana del pulmo, e yeu fu apelat a la curacio de lu, e atrobegui la mugen ayssi cum es mugit del moridos, e descubrigui la plagua e atrobegui le sanc le qual era yssit de la plagua petit.	And this is what I have seen by my physicians: that a servant takes a needle and thread in his mouth and inscribes it onto a part of the lung, and you were called to cure him, and I bore witness as he was uttering the words of death, and discovered the wound, and extracted the snot that was sticking out from the wound, which was very small.
Donc yeu fo confessat que aquela no havia inscidit vena ni guidegi, e le vent yssia de la plagua, e curegui aquela entro que foc sanada.	When I have confessed that there was no vein or ligature involved in the wound, and the wind came from the plague, I cured it until the fever subsided.
E no accidic a la sirventa si no rauquiera en la votz, e aprop alcus dias retornec ad miloracio de las suas dispozicios.	And I do not admit that it occurred to the servant unless they suffered in the mouth, and return after days to improve their disposition.
E ara dic yeu que en la seccio del epilhot no ha temor.	And here I say that in the section of the epididymis there is no fear.
Capitol .xliv.	Book XLIV.
De seccio sobre apostema le qual accideys en le golayro defora, e es apelat hernia del golayro.	On the section about the hernia that occurs on the groin area outside, which is called a hernia of the groin.
Aquest apostema nompnat hernia del golayro es apostema gran segon la color del cors, e es mot en las femnas.	This hernia in the groin area is called a large hernia according to the color of the body, and it occurs more frequently in women.
E es segon dos manieyras, quar o es natural o accidental.	And it is according to two manners, whether it is a natural or accidental one.
E en le natural no es engen de curar.	And in the natural case, it is not easy to cure.
E l’accidental es segon dos manieyras del qual la un es semblant a nodes grasses, e l’autra manieyra es semblant apostema le qual es fayt per nodacio de arteria, e en aquel es temor.	And the accidental one is according to two manners, of which one is similar to grass-like swellings, and the other is similar to a hernia caused by thrombosis of an artery, and in that case there is fear.
E no cove que·s fassa presumpcio a lu cum ferr sino en aquel que es petit.	And it is not wise to assume a person has died from fever unless they are very small.
E tu proha aquel e investigua aquel am le dit, e si atrobas lu semblant a nodi gras, e no es suspendut am alcuna de las venas, lahoras tu inscideys aquel ayssi cum les nodes, e extratz aquel am aquo que conte lu de la pel e bursiclam; e sino, lahoras es perscrutat tot le sieu esser, e aprop cura le loc am aquo que cove de curacio entro que sia sanat.	And then you should investigate that matter further, and if it is similar to swollen nodes, and the limb is not blocked by any of the veins, then you insulate the same area as the nodes, and extract that part from there, what is revealed in the skin and bursae; otherwise, you should scrutinize the entire person, and approach the cure at that place where it is possible to heal before they are cured.
Capitol .xlv.	Chapter XLV.
De seccio de las specias de nodes.	On the section of the different kinds of swellings.
Dels nodes so motas specias e yeu ja he dit totas las specias de lor en la divisio.	Of the movable nodes and you already have told me all the different kinds of them in their division.
E cove que yeu recomte assi la diferencia entre node e exitura cum fassa dubitacio.	And it is possible that you may recount here the difference between a node and an ulcer with fever.
Donc yeu dic que am exitura es caliditat e febre e dolors vehementz entro que es sedada la ebullicio de la superfluitat; e es complida putrefaccio que lahora cessa la febre, la dolor e la calor.	So I say that an ulcer is a quality, fever, and violent pains inside it until it is soothed by the boiling over of its surface; and putrefaction which then stops the fever, the pain, and the heat.
Mays am node no es caliditat ni febre ni dolor, e conte aquel ciphac leon le qual es al u sac propri.	The treatment begins when a man is not suffering from fever, heat or pain. And it is in this case that he should apply the leather strap.
E es segon la color del cors, e le comensament de lu es cum un ceze e es fayt ayssi cum vace, sia major o minor, e son segon dos specias, quar o so grassas e conteno humiditat, e las colors de la humiditat son motas, segon que yeu diyssi en la divisio.	It is according to the color of the body and its initial symptom, which appears like a rash and is made thus with vinegar, whether it be major or minor, and there are two species, one of which has fat and contains moisture, and the colors of the moisture change, as you describe in the division.
Donc cove, quan pervenas a la curacio de node, que exprohes aquel e inquiras aquel al comensament am sturment le qual es apelat intromes, segon que vindra la sua forma en le capitol le qual es aprop aquest.	Therefore when you arrive at the cure of the lump, it exhales that and asks about its initial cause which is called intrusion, according to what comes in the capital chapter which is near this.
E es manieyra de inquisicio de apostemas e de totz nodes, e es que tu prenguas aquest sturment e entromet aquel en le loc pus humit le qual atrobas en le apostema, e tu revolveras les tieus ditz am aquel petit a petit entro que sapias que·l sturment ja ha penetrat la codena.	It is a way of inquiring about warts and all lumps, and it is that you take this trouble and introduce it into the humid place where you find the wart, and you gradually turn the tie with that small piece until you know that the trouble has already entered the vein.
E aprop ultima la tua ma segon la mesura de la grandeza del apostema, e aprop extratz le entromes e considera aquo que es yssit en le vestigi de lu.	And finally, place your hand according to the size of the wart's greatness, and extract it and consider this whether it has already spread in the remnant of him.
E si es fora-getada la humiditat corrent, de qualque color sia, lahoras tu le inscideys am seccio superficial segon que he dit en les autres apostemas.	If the moisture of the current is forgotten, regardless of its color, then you should incise a superficial section as I said in the other sections.
E si del vestigi de l’intromes no hieys humiditat, lahoras sapias que es gras.	If there is no moisture found on the remnants of the intestine, then you know it's fat.
E secca sobre lu am seccio havent forma de crotz segon aquesta forma:	And dry them with a section having no form of cross according to this shape.
ayssi cum t’e ensenhat, e suspen aquel am oncis, e excorja la codena de tota part am facilitat, e guarda la pel o sac, si podes, sobre aquel e extraguas aquela sania am le node.	As you have learned, and suspend it once, excoriate the tendons of all parts with great ease, and guard the skin or sac, if possible, over that, and extract the healthy tissue at the node.
