Ayssi comensan las paraulas de Albucasim .	Assistance begins as Albucasis.
Capitol .l.	The head of the matter or the main point.
De cauterizacio de cranc.	On the cauterization of swellings.
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	When a cancer begins to grow and you wish to remove that bone, then do so by cauterizing it with a circular cautery at the center of the rotation as if it were turned.
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	But the wise men say to cauterize it at the back with the larger cautery in that middle place; but I do not see this done, because I fear it may be ulcerated, and I have seen this happen on some occasions.
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	And it is better to cauterize in the center of the thing with a circular motion as we said, or not at all.
Capitol .li.	The second point.
De cauterizacio de adubilati.	On the cauterization of swellings with mustard.
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	When any mustard is delayed in maturation, and so it becomes overgrown or due to the state of illness, which is old and decaying, either because it lacks saltness or because time has passed, and you wish to hasten its maturity; then cauterize in the center with small cauteries and place a layer on it that will cause it to mature.
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	If you want the incision of it with cautery, then hold the cautery from which this is its form, and place it in the middle location of applying adhesive inside so that it penetrates the cord.
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	And if the cautery in that location is left behind, so that the arm's body be alleviated; and return to cure it until it heals.
Capitol .lii.	Section II.
De cauterizacio de corrodent.	On the cautery for corrosion.
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	Corroded means wandering corruption in the member, which corrupts it as if by fire consuming dry wood.
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	So if that corroded occurs in a place where the cautery is applied by fire, then you hold small sharp pins, and larger as it is convenient in that place where it is corroded.
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	And thus cautery it entirely from the beginning, until all its radiance eradicates the entire corrosion and does not break any cause of it.
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	And thus let it be dressed for three days, and place over the cauterized places with salt thrice a day mixed with oil until all the scars are eradicated and all the corruption.
E aprop cura aquel am enguentz carn engendrantz.	Cure that wretched ulcer flesh.
Mays si aprop tres dias vezes que la carn nasca sana en la qual no es corrupcio, bo es; mays sino, lahoras itera le cauteri sobre aquo que es romas en les locs corrumputz.	But three times, if the flesh heals without corruption, that is good; but otherwise, iterate the cautery over that which has become rotten in those corrupted places.
E corrodent es medicat alcunas vetz am medicina aguda, quar aquela es meza en loc de cauteri.	Corrosive is treated with some sharp remedies in the acute medicine, where that one is used instead of cautery.
Mays empero cauteri am foc es de pus leugier juvament.	But cautery is of benefit only for a small amount of fresh pus recently produced.
E yeu ja e dit la curacio de lu am medicina aguda en la divisio, e donc pren aquela quan de lu auras endegencia.	And I have already said the cure of it in the division, and therefore take that which you will need when your patient has ingested.
Capitol .liii.	The end.
De cauterizacio de claus e dels autres semblants.	On the cautery of claws and other similar things.
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	Various methods are used on the parts that lie behind the feet of a sick person where the claw appears, which is a large and heavy thing, and it presses on the foot; and cautery is performed in those places according to two manners: with focus (cautery) and with cauterized water.
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	The translation is: "But cautery is fire that you should extinguish the cautery with a similar spark to the one of the vomiting, which must be made of iron according to the quantity it contains in the whole part, and has subtle margins.
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	The translation is: "And hold that fire on the key, and return your hand with the cautery in the curve of the key until the cautery reaches the depth of the key.
E leyssa aquel per tres dias entro que comense getar brac.	The translation is: "And let it sit for three days before you start to feel a break.
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	The translation is: "And apply that with marl and salt crushed finely, and let the plaster sit on it for one night, so that it will eradicate its roots.
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	The translation is: "And cure the place with animal fat generated in it, until it heals.
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	The translation is: "But if it does not convert, and frequent accidents occur on the surface of the body, especially in the joints and feet, then cover that with cauterization with water, and you should take a quill or iron or similar spark, and place it over the key; and pour little water into the quill, until your hand is wet, and you return that with compression of your hand from all directions, so that you press the margin of the quill into the root of the key, and apply water to the same root through the opening of the key; and wait for the illness a little while after taking the morsification of the water for an hour, and then take it again, because the key has its roots eradicated.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	They set the patient in a way that they will be exposed to all of what is inside their body.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	And remove the pus where the roots of the claw have been eradicated, inside those which are swollen with fever, as the flesh is consumed.
Capitol .liiii.	It seems like you've finished the sentence. Would you like to continue translating the rest of the text?
De cauterizacio de tremor.	Of cauterization for trembling.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	When the tremor ends due to friction on the nerves or because of fever, or for some other similar cause, it is customary to cauterize that with four cauterizations or six above the joints of the back, between each joint there is a cauterization; and cauterizations are made in the foot, and over his stomach, olive-like.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	And when the tremor returns, and hastened is the recovery of the illness, thou dost apply.
Capitol .lv.	It seems like you've finished another section. Would you like to continue translating the rest of the text?
De cauterizacio de albati accidentz al cors.	Of cauterization for white accidents on the body.
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	When the body is filled with white spots and swollen pores that are formed from corrupted thick materials; therefore, cover the beginning with a covering, so that it be cauterized on all head of the fistula with a subtle cauterization using the wood of myrtle, the tip of which is extended by fire; or at the point of long-length eretology, or slow-moving cauteri.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	And some of the time it is cauterized with milk at the beginning of its expulsion according to this manner; and you do not believe it, and the excess fat dissolves those, and cures them.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	But perhaps it is covered that this should be done with evacuation by phlebotomy.
Capitol lvi.	Chapter LVII.
De cauterizacio de fluex de sanc accident per incisio de arceria.	On the cauterization of fluxes from a sacred wound by archery sting incision.
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	Sometimes a flux from an archery sting incision is found that opens up the wound, which spreads the plague, or the starting point of ulcers or cauterization of the member, and when it appears, and it seems like this, and it's difficult to remove it.
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	When any of these occur, then you must have your hand at the orifice of the arrow shaft, and place your finger on that spot until the flow of the wound stops, and it does not happen again.
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	And then place in the focus the olive oil candles few and many, for some words, and exhale over them until they ignite.
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	And then take some of those one small or one large according to the place and the wound where the artery is ruptured, over that vein festinatingly as you have felt your finger, and cautery them until they are closed and the wound is restored.
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	And if the wound is expelled from the orifice of the artery when you feel your finger and remove the cautery, then take another cautery similarly to those which have been prepared in the focus, and therefore do not cease doing this until the wound is restricted.
E guarda te que no comburas le nervi que aqui es, e que vengua sobre le malaute autra malicia.	And be careful not to burn the nerves which are here, and lest another evil comes upon the patient.
E sapias que quan de l’arteria flueys sanc, lahoras no es possible en aquels restrenge la sanc, e majorment quan l’arteria es gran, si no am una de quatre manieyras: o am cauteri ayssi quo dit havem, o am extraccio quan no es extrayta, quar quan es extrayta las extremitatz de lu miels son comburidas e es restreyt le sanc, o que sia liat am fiel o am liament per fort strectura, o que sian pausadas sobre lu medicinas de las quals la vertut es restringir la sanc; e sian strengudas am pulvinar am costriccio decent.	When the blood flows from an artery that is constricted, it is not possible to pass through those narrowings, and even more so when the artery is large, unless one of four things happens: either with cauterization as they say we have, or without extraction which is not done, because when it is extracted, the extremities of him are burned and the flow is restricted, or that he be bound with a tie or a ligature by strong compression, or that his limbs be laid on medicines from which it is believed to restrict the flow; and these are strengthened with a pillow and constriction suitable.
Mays aquel que aministra restriccio decent de lu am liament e am strictura am draps o per posicio de causas comburentz e de semblantz, no comfereys sino tart.	But he who binds him with suitable restraint and compression of the cloth or by position, does not comfort him unless it is true.
Mays si aquo endeve ad alcu e no sia le metge present ni medicina, lahoras obre am pausament del dit indic sobre le orrifici de aquela vena ayssi cum havem dit, e entenda a la gran costreccio de lu entro que le sanc sia ostat de la sobirana partida de la plagua, e sobre la arceria le dit no sia remaugut; e de sobre la arceria sia aspergit am aygua frega de mot gran fregiditat entro que·l sanc sia congilat e engrossat; e mays cossire en que ha de cauteri o de medicina necessitat.	But if this is the case, and he has not a doctor present or medicine, then he works in pause of that said word over the opening of that vein as they have said, and understands to great constriction of him inside where the flow is stopped from the main part of the plague, and on the artery, let it be not relapsed; and if on the artery some abrasion with a rough coldness be applied so that the flow is constricted and engorged; and may possibly be in need of cauterization or medicine.
Comensa la segonda partida.	The text begins a new part.
De incisio e perforacio e ventozas e de fleubotomia e de plaguas e de lor semblants.	The meaning of this line is: The incision, perforation, wounds, and botchery, as well as the cuts and their equivalents.
Aquestas son paraulas de Albucazis.	These are words of Albuscias.
Ja havem dit en le primier capitol tota malautia en la qual cauteri am foc es convenient e am medicina comburent, e las occasios e las causas de lu, e les instrumentz en aquels necessaris am las formas dels cauteris; e he ordenatz les capitols de la subiranetat del cap entro als pes.	We have already said in the first chapter all illness in which cauterization with fire is suitable and medicine combusted, as well as its occasions and causes, and the forms of the cautery instruments; and I have ordered the chapters below in this part under the foot.
E yeu procesire en aquest capitol per aquela meteysa guisa, per que sia alliujat lo querent aquo, lahoras sobre aquo que aura demandat.	And I will proceed in this chapter in that manner, so that what is asked for may be revealed there, as well as to those who will ask about it afterwards.
E denant que yeu comense aquo, cove, fils, que aprenguatz que en aquest capitol es per terror aquo que es en le capitol primier de cauterizacio.	And first, I will begin this, so that you may know, sons, what is to be done here, as it is said in the previous chapter of cauterization.
E per aquo que cove que sia en lu gran cautela, quar en la operacio la qual es en aquest capitol motas veguadas catz evacuacio la qual es am sanc am le qual esta la vida deves la aspersio de la vena o incisio sobre l’apostema o apercio de exsitura o puracio de la plagua o extraccio de sageta o incizio de peyra e a lor semblantz.	And therefore, son, be cautious in this, because in the operation of which is in this chapter, there are sometimes many evacuations, which are with salve, by which lies the life, for the aspersion of the vein or incision on the swelling, or perception of existence, or purging of the plague, or extraction of a dart, or incision of a spear, and their equivalents.
E de totz aquels so acompanhatz temor e tremor e en le mas de lor catz la mort.	They all have fear and trembling, and in the worst of their cats they will die.
E yeu amonesti vos que sobre vos no caia aquo en le qual es esitacio, quar alcunas veguadas cazo deves vos manieyras de homes am manieyras motas de malautias.	I warn you that upon yourselves do not fall into this situation, for some have fallen and it has driven them mad with the madness of humans, with mad motions of diseases.
E de lor es alcu que s’irays am la sua malautia e es leugiera deves lu la mort, e aysso per la vehemensia de aquo que troba de sa malautia, e per longuesa de la malautia de lu, e am la malautia es paor la qual significa mort.	And from theirs it is that one will go with their disease and it will be light because they lack death, and so because of the intensity of this, they find relief from their disease, and for the length of the disease of him, and with fear of the disease which signifies death.
E de aquels es le qual dona a tu son aver e ditta, tu esperant am aquel sanetat, e la sieua malautia es perniciosa.	And those are the ones who give to their sons and daughters, expecting that they will be healthy, but their disease is perilous.
E donc no cove que tu consentas en aquel que ve a vos del qual es aquesta manieyra; e la vostra cautela sia major que covesitat e la vostra rapacitat; e no presumatz alcuna causa sobre aquo sino aprop sciencia certa la qual virifica aquo deves vos, e al qual perve successio lausabla.	And therefore do not consent to anyone who shows you something of that kind; and your caution should be greater than covetation and your rapacity. Do not presume any cause about it unless you have certain science which confirms it, for this will ensure the success of what you take.
E usatz en la curacio de totz vostres malautes de pronosticacio e indicacio de lu al qual es salut convertida, quar en aquel es a vos ajutori sobre adquisicio de fama e de memoria, de lausor e de gloria.	Use in the healing of all your diseases with prognosis and indication, for whom is converted health, as in that one are you helped by acquiring fame and memory, honor and glory.
O, filhs, Dieus en vos spire le sieu entendement e no oste a vos direccio e proteccio, quar aquo es en la sua ma.	Oh sons, God hears your intention and does not let you stray from your path, for this is in the hand of God.
E yeu e ordenat aquest capitol distingent per capitols segon que precedit en le capitol de cauteris, de la cura del cap entro als pes, per que sia a vos alleujat aquo que demandatz de aquo e del qual havetz necessitat.	And I have ordered this chapter distinct according to chapters as it preceded in the capital of cautery, on the cure of the head into the feet, so that you may be alleviated from what you demand of that and for which you needed.
Capitol primier.	First chapter.
De la curacio de aygua la qual es contenguda en le cap dels enfantz.	On the healing of water, which is contained in the head of children.
Sapias que aquesta malautia motas veguadas endeve als enfantz deves le enfantament e quan la noyrissa estrenh le cap del enfant ses livitat.	Understand that this disease often moves towards children, fills the child's belly and when the nurse breastfeeds the head of the child, it brings a lump.
E alcunas veguadas endeve per causa amaguada la qual no es saubuda.	And sometimes occurs for a hidden cause which is not known.
Mays yeu no vi aquesta malautia sino en les enfantz; e a totz aquels les quals yeu vi se coytec la mort, e per ayssi es a mi vist layssada obra en aquels.	But I have not seen this illness in children except those to whom I have come and who have died because of it, and for that reason is laid upon me.
E yeu e vist que un enfant le cap del qual era d’aygua omplit, e·l cap de lu era totjorn ayssi magnificat entro que ceser no podia sobre si meteys per la grandesa del sieu cap, e mays que la humiditat fe aucmentada entro que foc mort.	And I have seen that a child whose head was filled with water, and the head of him was still magnified even though he could not breathe on himself because of the size of his head, and more so because of the humidity which made him worse.
E aquesta humiditat o es agreguada entre la codena e l’os, o es agreguada dejos le os sobre le ciphac.	This condition or humidity is added between the bone and the cartilage, or it is added above those bones on the phalange.
Quar la operacio en aquel si la humiditat es entre la codena e l’os e le apostema es pauc, lahoras cove que tu fendas en le mieg loc del cap am una fissura en la latitut, e sia la longitut de la fissura cays dos notz entro que corra la humiditat, e aquesta es la forma del spatum:	When the operation in that case is between the bone and the cartilage and the tendons are little, then you cover that you make an incision in the middle of the head at a fracture on the latitude, and the length of the fracture is two fingers through where the humidity runs, and this is the form of the spatula:
E donc si la humiditat es mays augmentada e l’apostema es major, lahoras son aqui dos fissuras segon aquesta manieyra:	And therefore if the humidity is more increased and the tendons are larger, then you make here two incisions in this manner:
E si la humiditat es dejos le os, senhal de lu es que tu vezes la comissuras del cap ubertas de tota partida e l’aygua es spremuda quan tu compremes aquela am la tieua ma a las partidas dedintz e no es aquo a tu amaguat.	And if the humidity is above the bones, so that one can see it is that you cut around the entire circumference of the head, the water is pressed out when you press it against your hand at the parts where it does not enter.
Cove que tu fendas en le mieg loc del cap am tres fissuras segon aquesta manieyra:	You make an incision in the middle of the head with three fractures in this manner:
e aprop la inscizio extratz ne tota la humiditat; e aprop strenh las fissuras am draps e plumassols; e aprop enbroca aquo de sobre am vi e oli entro al quint dia, e aprop deslia le liament e cura la plagua am tentas e enguentz, e strenh le cap am equalitat; e mange le malaute am vianda secca de pauca humiditat entro que·l membre sia confortat e sanat.	And you draw out the external incision through all the humidity; and you tie the fractures with rags and plasters; and you apply this from above with wine, every five days, and you untie the bandage and cure the wound with poultices and ointments, and strengthen the head with equality; and feed the patient with dry food of little humidity until the member is comforted and healed.
E es autra manieyra de incisio, que consideras hon apar la magnitut del apostema e la colleccio de l’aygua, quar alcunas veguadas es mays en le occipicii, o en la partida denant, o en la destra, o en la sinistra; e donc aten am la incizio on appar le apostema e la replecio de l’aygua, e fen aquo segon que a tu es miels possible.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
Et observa que no inscindas la arteria e endevengua flueys de sanc e mora le malaute per aquel flux de sanc am evacuacio de humiditat.	And observe that you do not cut the artery, and endeavor to follow the flow of blood from the source and death of the patient through that flow of blood, in order to evacuate excess humidity.
Capitol .ii.	Chapter II.
De inscisio de las arterias las quals so aprop las aurelhas, apeladas hilasseysse.	Of cutting the arteries, which are located around the auricles, called Hilases.
Capitol segon.	Chapter Second.
Quan endeveno ad alcu catars o raumas als huelhs o al pietz, e es antiquat aquo, e no confereys en aquo la curacio de las medicinas, lahoras la deriera curacio en aquest es incizio de aquelas dos arterias.	When you come upon an old catarrh or wound on the heel or on the foot, and it is that which has been used, and you do not trust in this as a cure with medicines, but rather consider this to be an onset of those two arteries.
E donc cove quan tu vols inscidir aquelas que le malaute raza lo sieu cap, e aprop fregua le loc am drap aspre per so que aparan las arcerias, e aprop sia strengut le col del malaute am alcu drap; e aprop considera on polsa la vena; e les locs de quascuna sobre les locs les quals so aprop las aurelhas depremutz, e tant se occultan sino en alcus homes.	And therefore when you want to cut those which the patient's artery is near its head, and apply a hot dressing to the place so that they are revealed, and tie tightly the neck of the patient with a strip, and consider pressing on the vein; and keep an eye on those places where each one is located next to the location where the auricles bulge out, and do not proceed in such cases until you have experienced many lives.
E aprop senha sobre la arceria am tenta, e aprop inscideys quascuna am le spatum de quascuna partida agut am inscizio pervenient entro al os, e sia aquo per la latitut del cap.	And place the bow over the arrow and cut, and incise each part as it comes into view, accurately entering each point of separation with a sharp instrument, so that it is done for the breadth of the head.
E si vols, entromet le spatum dejos la arteria e trenqua aquala a las inciden a las partidas desus.	If you want, enter the instrument between the artery and cut at each incision point.
E sia la longitut de la inscizio cays dos ditz ajustatz, quar quan alcuna vena es inscizida le sanc es eyssit am egressio pulsatil, le qual saut deforo per saut frequent.	So that the length of each incision is twice the width, since when any vein is cut, it suffers an exit and pulsation, which jumps out to another frequency.
Mays si la arceria no apareys al cintiment, lahoras cove que tu mesures de la aurelha la quantitat del spazi de tres ditz, e aprop senha am tenta, e fen entro al os.	But if the bow does not appear in the skin, then cover that you measure from the armpit the quantity of space of three fingers, and place the instrument, and cut into the bone.
E aquo que cove getar del sanc es quantitat de vi unc., e fort leu ne geta de lu mays o mens, e tot aquo es segon la quantitat la qual appareys de la vertut del malaute e de la replecio de la arceria de lu.	And that is how much to remove from the cut is a unit of one's vein, and light as little or more, all this being according to the quantity which appears from the virtue of the disease and the swelling of the bow.
E aprop considera la plagua, e donc si reman sobre le os alcuna causa del ciphac, lahoras inscindys aquo per so que no endevengua apostema caut.	And take into consideration the plague, therefore if there is still something left over on the bone, then incise it so that it does not form an aposteme wound.
E aprop strenh la plagua am plumassols e am liamentz de drap de li, e aprop cura aquela am enguentz entro que sia sanat.	Applying the stiffness to the swollen flesh and binding it with linen and bandages, and then healing that wound until it is sanated.
Capitol .iii.	Chapter three.
De extraccio de las arcerias las quals so en las templas.	Of the extraction of the stones that are in the temples.
Quan ad alcu accideys emigranea antiqua o catertz agutz, per humiditatz agrimonials e per qualiditat en les lacertz des templas, o sodo antiqua vehement e semblantz ad aquels, e es medicat am las manieyras de curacio de medicina e aquo no comfereys, lahoras nos hem sproatz en aquestas malautias extraccio de las arcerias en les templas, o cauterizacio de aquelas ayssi cum havem mostrat.	When some accident happens that the stones migrate from the temples or are scratched with sharp tools, due to humidity and because of the quality in the stones of the temples, or because of the old stone moving violently like those, and it is a medical problem treated by various methods of healing medicine, and you should not confirm it, since we have seen in these diseases extraction of stones from the temples or cauterization of those same places as we have shown.
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	And the method of performing and extracting those stones is what causes the disease to occur in the head, which is in the temples; and observe how the stone appears in the temple where it is seen on the forehead, and it is hidden unless in a few men by excessive heat.
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	If it is hidden, then tie the patient tightly with some cloth; and apply heat to the area with a rough cloth or evaporate the area with hot water until it appears to you that there is a stone in plain sight.
E lahoras tu pren le spatum del qual aquesta es la forma:	And now then you take the spoon of which this is the form:
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	And then you scrape the cord of which this is the form; and you get into it, making your way to the bowing part; and you put in there until you find those parts above that you need to extract from the cord and discover those under the tunics which are left over from all part.
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	But if the artery is thin, then you wrap it around at the extremity of the vein; and you insert that part according to how long and contracted are the extremities of him, and not discover any flow of blood, because if it is not inserted, the blood will not rise from all.
E aprop evacua del sanc de vi unc. entro a tres.	And then empty one unit of blood into three.
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	But if the bow is large, then you cover it so that you tie it in two places with double cord, or with cords long, and do not touch its putrid flesh before the consolidation of the plague, and discover a flow of blood.
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	And then you mark the excess which is between two ligaments; and do this in that hour, or another time.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	If you want, heat the cautery point into the bone with a heated knife between where the incisions are going to be made, and leave it in place of that messy work.
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	It is better work if the disease brings fever or scalding, rather than cold inflammation; for cauterys are of those causes that help to end dry humors, and therefore it is better in its early stages.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	Cover the extraction of the arteries which you place in the same location as the old wound, and make them settle on good powder, and apply your care with dry medicines to make the flesh swell and soften between where it heals.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	If while you work another vein suddenly happens to bleed from the artery wound, then you should restrict that bleeding with your hand or a cautery, and press your hand tightly until the bleeding is restrained.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	If none of those causes are to your knowledge, then pause your said counsel on the location where the wound is congealing, and bring the place with cold water of great frostiness until it regains its strength, and tighten as is necessary.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E aquesta es la forma del cauteri:	This is how the cautery should be made:
E sia la acuitat dels dos cotels esemps.	It should have equal sharpness of the two knives.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	However, if the blades are sharper than two knives, it is better, because if they are sharp like two knives but not quite as sharp, they will cut more quickly and not incise the flesh.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Then with those that have no lump, the heat of the fire is held in them and the flesh is cut lightly.
E aquesta obra es milhor en tota obra e pus leugiera.	And this work is better in all works and cuts more lightly.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	Let the space between two knives be the size of the lump itself.
Capitol quart.	End of chapter.
De la cura de cors de lagremas agudas e aciduas dels huels.	On the treatment of sharp and acrid wounds from stings.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When they are acid wounds, and it is the body of those veins that lie over the forehead of the head, which do not have any cause in the treatment of medicine, and when the face of the sick person turns red and feels a walking in their front like as if it were a crawling of ants, the stings of those are exhausted, wetted by heat and humidity so that their skin is swollen, and their eyelids are scratched by the sharpness of tears, they call this treatment "the spassa".
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	You order the patient to pull his hair over which is in front of his forehead, and carefully insert three incisions on the forehead, equally distant from each other along the length of the forehead.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	If the length of the incision is double that, one incision should be made equally distant from the midpoint of the forehead, and the second along the length of a small distance between the lacrimal (tear duct) movements on each side.
