Ayssi comensan las paraulas de Albucasim .	Assessors begin to speak of Albucasis.
Capitol .vi.	Chapter VI.
De la cura de aquo que catz en las aurelhas.	Of the cure for what is applied to the ears.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	All the cause that is applied to the ears is one of four kinds: either it is a mineral stone or a similar stone, just like iron and vinegar, or it is from a plant, such as thyme or fava, or it is a fluid cause, just like water and vinegar, and to their likeness.
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	When pain occurs in the ear or another cause similar to those that do not fit or believe in the ear, and pause the ear to the sun, sometimes the pain, then distill in that one cause of oil violating or being like this, and place administration of removal, and make him sneeze with the condition, and observe carefully the signs of sneezing.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	And place pause in the ear's circuit some pounds of cloth or wool, and extend the ear to its parts downward, where many times it is forgotten with these causes.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	And if it is not forgotten, then administer removal of him with the instrument called gestic epicyclic subtle, whose this is the form:
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	And if it is forgotten with gestic, so be it; otherwise, then administer removal of him with an onion subtle made from double duplication of wood.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	And therefore if it is not forgotten by this, then make a cannula of horn and insert the extremity of the cannula into the tract of the ear and close with wax in the interior of the cannula softened with oil so that there be no blockage but the cannula.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	Appropriate remove the tumor from the inside of the vein, because many times seen with it that has returned.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	But if it is not forgotten in this way, take some hot salt or vinegar in which the onions are immersed, and place that on the end of the toe, and wrap around that area suitably placed.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	And wrap it in the track of the armpit with ease, and wipe the armpit dry from humidity.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	And therefore if it is not forgotten all the causes that have been mentioned, then it is necessary to cut that immediately in front of you to discover a cauter or spasm.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	And the way to cut it is that you first sanctify the patient's vein and extract the sinew according to the manner of virtue, and then place that cauter between your fingers and convert the armpit into parts previously, and make a small fissure in the center of the armpit where the grease of him before used.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	If there is a crescent-shaped crack in the heel that becomes inflamed, and the heel is swollen, try to put an instrument into it if possible, and fix the crack at that moment with great speed, and cure that place before it gets sick.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	If the cause is a lump in the ear that grows and becomes inflamed, then administer treatment and removal of it; but if you do not obey to your suggestion, then put a subtle substance like this into your ear.
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	administer the removal of that lump which has fallen into the ear.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	Do not do this when you think that it already is moistened by the vapor of the ear, and pause for a while in thick masses, and carefully extract it there with stitches or subtle gesture, as if to say "as we have said", because relief comes from its removal.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	But if the water which is inserted into the ear is covered with mucus at the beginning, and fills up the inner ear with salt, and pours it onto that ear where the water is, and if by this means it is forgotten, then so be it; but if not, then put pepper powder or lemons according to its length, and heat them a little, and let the patient insert one of those into the track of his ear and shake over that side, and strike with another stone onto the bone which is inside the ear.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	Then do not cease this operation until all of the water has been drained.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc i, e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And then take the water away from your ear so that you can take a piece of paper or cloth, and place one end in your ear and extend the other end to burn the skin on it.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And put the other cloth in and do this many times until all of the water has been drained, and tie off that ear canal as it is said to relieve an extradural pressure.
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	But if the extraction of the beast enters that ear, if it is small, then apply pressure and put something similar to a plaster, as they have said in the division; but if it's large and causes an appearance on the skin, how often to administer the extraction with gestures and incisions, and its cause becomes lighter than all other causes that fall into the ear.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	But if the extraction of a worm is born in the ear, when you cure that area as they have said in the division and treatment of dilations, and do not confirm your cure, how often to cover the ear with the sun.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And therefore, if here appears any cause of the disease, then extract that particular gesture or subtle action, but if no cause appears, then take a tube made straight and wide from which this is the form.
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	Enter the subtle extremity into the armpit according to the quantity that suffices to cure the disease; and draw up that one by sucking strong, doing it many times, until all the veins are contracted.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	But if you do not obey to the application, then your opila and claus will be closed in the circuit of the tube with wax as we have said; then administer diuretics which have already been tried for the treatment of veins, and find this in the treatise on diuretics.
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And this is the manner of your effusion, with which you pour medicinal oils into the armpit with that instrument, from which we have stated the form.
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	And make that one of silver or of horn, straight, with a small prick and a plaque underneath.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And therefore it should be pushed into the cavity of the continent tube here, because it must proceed.
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	If you wish, take the bandage and wrap it around the extremity of him properly bound, and put oil in the cavity of the swelling, or the juice of some herb, or whatever water you want from these medicines into the tube— and that is under the armpit —, and then wrap the bandage with a cut on top and press down with your hand until the oil is expelled into the cavity of the swelling and the illness feels the oil dissolving.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And that which is poured into the armpit is already scaled with a small fire.
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	And be careful that the cause which you will drain from the armpit is not too cold, because the medicines of the armpit do not suffice for this.
Capitol .vii.	Chapter VII.
De curacio de opilacio de aurelhas.	Of treatment for opacification of armpits.
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	There are some cases where it is found in the bellies of young girls who do not have perforated wombs, and this happens also in some men, opacification of the meat of the armpit due to plague or no injury at all in that area; and sometimes this opacification occurs on the preon of the armpit tube which is not perceived until the swelling, and sometimes it occurs outside.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	The patient will experience a severe case of illness in their groin area, which they cannot comprehend, leading to the most difficult recovery.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And in that case where they can comprehend the movement, cover your armpit with a cloth and observe in that area.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And therefore if obstruction is apparent, open the small stick under which this lies, as it is the form of it:
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the limb of him in which it is small and has a wide length, where one part is acute and the other not; and the stick is placed with two handles so that it does not disturb the armpit.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	And therefore if the obstruction is due to a born in the armpit or in the flesh of him, then take that stick and gently pierce it into the softness where it is hidden completely in the flesh.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	And if the obstruction is in the groin area of the armpit, then take a small stick and heat it up slightly, and place it into the flesh of the armpit.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	If there is a suffocation of the body where the disease occurs with great difficulty, through the weight of it being difficult to overcome, then exert the force of overcoming it; and be careful not to torture the nerves of the neck.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	Pause in the neck with a cloth of linen according to the size of the wound which you have wrapped around the neck; and do this for three days until you are certain of the consolidation of the plague, or if you take wine and pour it into that place, mix it with triphala and use it on him; and if the neck is sometimes swollen, then cover that with a cloth soaked in vinegar and powder it so that it may be cauterized and allow the swelling to subside; and cure that until the healing takes place.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	But if the wound occurs a bloody flux, then submerge a sponge or cloth in water and wipe it over the neck, and use another treatment which restricts the flow of the blood, which is said in the treatise on distillation.
Capitol .viii.	Chapter VIII.
De cura de athezil le qual endeveno a las palpebras.	Healing of atezil which involves the eyelids.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	Atezil which involves the eyelids of the black person have no veins, and sometimes they are dry.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	Then cover those with gauze or cloth, and insert them into the wounds using a spatula, and place your hand over the affected area well covered.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	But if there is a flow of dark venous blood, then you cautery those with a subtle cauteric.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	And the best cautery is to insert and apply pressure to those wounds previously opened, when the wound closes again due to lack of any cause for the veins; and when they are cautered with fire, those veins are burned and do not return.
Capitol .ix.	Conclusion.
Cura de grandeyssa que veno a las palpebras dels huels.	Treatment for giantism that affects the eyelids of black people.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	Sometimes they occur in the eyelids of black people without any cause, which is assembled to giantism in strength and hardness, and for that reason giantism is called.
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	There's an excess of humidity in the eyelids of both the left and right eyes.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	So, the operation for them is that you consider that if the size is coming from what appears in the eyelid and it's mild all over the part; and the cause of this is light.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	Therefore sew over that wound with the length, and take it out of all part with ease, and suspend it with oil and cut it.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	But if to you is not fitting the beginning of it, so that when you penetrate the eyelid with starting point little by little, there is nothing noticed in any cause.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	And if the figure is large, so you adjust it with a suture; and cure that inside until it is healed.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	And if it's small, so to you it will not overcome the bad because that the blood of it restores and revives.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	And if the size is declining at the parts near the eyelid, so then cover that area near the eyelid, for it suspends the size with oil, other than what you suspect as starting point; and press that all part, and if the eyelid by starting point is stretched, there will be nothing noticed in any cause.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	Open the beginning, wash the heel with salty water, and treat the area there as long as it is covered before it heals.
Capitol .x.	This appears to be an abbreviation or symbol used in the text, but without further context, it's difficult to determine its exact meaning. It may be a letter or symbol from the original language that has been adapted or modified for translation purposes. Without more information, it's not possible to provide a definitive translation for this section.
De la cura axcirnah en la palpebra desus del huel.	From the cure of the eyelids above the heel.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	The cause of axcirnath is born in the tunics of the eyelids above, and especially in children, it worsens the heels of those who have it and leads to their major catarrh; and because they cannot see the brightness of the sun due to these tears, they become sad.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	And so you should make those patients talk on their faces all the time, and on their faces they sleep; and by putting their eyelids together over their eyes, which are already swollen from inflammation, and with the appearance of a severe eruption is impending in the heel; and when you press on that area with your fingers, you will feel an eruption inside those.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	There is no operation to be done on the patient when they place their head in your lap, and you wrap a cloth of linen and wool around it, and make a circle according to the quantity that contains artherosclerotic matter from all parts; and you apply pressure over that area with your fingers on both sides so that an eruption is accumulated in the middle of the circle, and then cover with humid warmth with spatum inserted through the fissure at its latitude, so that the fissure is not greater than the one made in flabotomia.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	When you enter the patient's room, carefully break the chain all the way into the area where you will meet the archer, because in this case the process occurs through a fissure according to the shape of the white flesh.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	Then take off the bandages which you have wrapped around your arms, between your hands forward and backward, until it is spread out.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	And be careful not to adjust in the fissure, lest you fall into the hollow and make a mess there.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	But if you do not appear at your archer in the beginning of the fissure, but rather adjust in the fissure a small amount of ease while you process it; and take off that assistance which we have said; and place drapes made of linen in water, vinegar, and powder on the area and press those with your hands.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	And so apply salt and stop it in the cavity of the fissure, so that what is removed from that humidity.
E aprop cura aquel entro que sia sanat.	And treat it until it is healed.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	In cases that occur in the swollen area of the cauterized wound, it is customary to treat them with caustic dressings until they heal.
Capitol .xi.	Chapter XL.
De manieyras de tactimi del huel.	Of the ways of treating wounds from a blow.
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	When in the eyelids of the wound there is navel, those parts are tied with natural strings and sealed, in order to stop the flow of liquids such as tears, and to soften the eyelids and the skin inside so that this may cause destruction of the wound that requires treatment of the wound, and cure in four ways: either by applying cauterization with fire; or with sharp medicine according to what is said in the chapter on cauterization; or done with stitches for excision and suture; or by cannas as you have told me.
E donc cove que tu pauses le cap del malaute en le tieu se; aprop converteys la palpebra del uelh am la tua ma sinistra, e si es convertida, bo es; e sino, entromet agulha en aquela en la qual sia fiel de la partida pus dejos de la palpebra, e fay penetrar la agulha am fiel desus, e aquo sia — prop del marge de la palpebra en le qual naysso les pels — prop dels pels, e tira le fiel a las partidas desus am la palpebra, e converteys aquela am le ray.	And therefore you should bind the head of the patient with yourself; place the eyelid of the wound with your left hand, and if it is bound, then so is it; and if not, pierce an arrow in that part where it is true from the beginning to the edge of the eyelid, and let the arrow penetrate into the true part above, precisely at the edge of the eyelid, right on the skin, and pull the thread to the parts below at the eyelid, and place it with the ray.
E aprop fen en la partida dedintz de la palpebra dejos les pels ajustatz am spatum inscidentz del lacrimal major entro al lacrimal mendre; e aprop extratz le fiel e pausa dejos la palpebra polvilhs petitz de coto o de drap, e aprop senha sobre la palpebra am tenta, e sia ayssi cum figura de fuelha de mirt.	Open the passage at the beginning of the eyelid's corner, placing those lashes in contact with the spatula incident to the lacrimal major into the smaller lacrimal; and open the bowels and pause those eyelashes covered with small pieces of cotton or wool, and place a shield on the eyelash like a leaf of myrtle.
Mays empero cove que sia la figura segon la quantitat de helevacio de la palpebra, quar aquo ja es diversificat en les homes, quar de aquels es le quals indigeys que sia inscidit de la palpebra gran quantitat segon la quantitat per la qual la palpebra es mollificada.	But it is however true that the figure changes according to the amount of swelling in the eyelid, since this has been diversified among men, so that those for whom the incision should be made according to the quantity by which the eyelid becomes softened.
E aprop fen am le spatum sobre las doas linhas las quals has senhadas, e comensa del lacrimal major entro al lacrimal menor.	Open the spatula on both lines that you have marked, and start from the lacrimal major into the smaller lacrimal.
E si’ la tua fissura prop dels pels naturals ayssi cum es la grossetut del rey.	If your tear duct's split is similar to the natural split of the lashes, as is the thickness of a king.
E aprop met le onci en un dels dos angles de la codena, e aprop excoria aquela tota, e aprop ajusta am la scitura las doas labias am gula o fiel de lana subtil, e abstergeys le sanc, e fay adherir aquo que superflueys dels fiels sobre dos sobrecils am alcunas causas enviscans, si voles far aquo, e sino, non cures.	Put the needle in one of the two angles of the cord, and put excoriating that whole, and adjust it to the split between the two lips at the gum or with a thin woolen thread, and wash out the splinter, and adhere what surplus thread of threads above to two eyebrows on certain occasions, if you wish to do so, otherwise, do not treat.
E aprop leyssa la sutura dels fiels entro a tres dias o quatre, e aprop cura aquo.	Appropriately, let the suture of the wounds be made within three days or four.
E si vols, layssa la plagua ses sutura, e cura aquela am aquo que exsicca e constrenh, quar la palpebra es alevada deves la sigillacio de la plagua e la agreguacio de lu; mays sutura es milor E donc aysso diysso les antics de taxanir.	If you wish, let the wound be sutured over and healed at the same time, and cure it with that which dries up and constricts, because the eyelid is lifted due to the blocking of the wound and its addition; but suturing is better. Therefore do so these old customs for measuring.
Mays empero en lu sia sollicitut sobre le malaute, e es de bona operacio, e no es en lu temor.	But perhaps in him it is solicited over the illness, and this is of good operation, and not out of fear.
E es autra manieyra en taxmir, e es que senhes sobre la palpebra figura ayssi cum fuelha de mirt, e aprop eleva la palpebra am tres uncis segreguatz e congreguatz segon aquesta forma:	And there is another manner in measuring, and it is that one feels on the eyelid like a leaf of myrtle, and lift up the eyelid with three fingers separated and gathered according to this shape:
Mays si no es possible aquo, tener les uncis, e aquo no es engualhat, lahoras pren una agula en la qual haia fil e met aquela en le mieg de la figura, e entromet le autre fiel prop le lacrimal major, e·l fiel segon prop le lacrimal mendre, e ajusta entre les tieus ditz les fiels am equalitat, e aprop am aquels eleva la tua ma am elevacio engual, eleva tota la codena sobre la qual es senhat ayssi cum havem recomtat.	But if this is not possible there, place the fingers, and it is not grasped, because then take an arrow with a thread in it and put that into the middle of the figure, and introduce the other thread close to the lacrimal major, and the second thread close to the lacrimal minor, adjusting between the two threads, the needles with equality, and lift up your hand with elevation grasped, raise all the cord on which is felt like a leaf of myrtle.
E aprop ajusta las doas labias de la plagua am sutura, e cura aquel entro que sia sanat.	Appropriate adjustment of the two lips of the wound with suture, and healing in that place so that it is sound.
Mays si accideys apostema deves la tua inscizio o la tua fissura, seda aquel apostema am cerot e a lu semblantz, e am enguentz.	But if an apsytma occurs because of your incision or your fissure, then that apsytma is put with tar and looks like it does.
E alcunas veguadas endeve a la palpebra que·ls sieus pels sian convertitz, adonc cove que tu uses en aquela de aquo que havem dit de inscizio; mays sutura en quascus es mays artificial.	And sometimes they affect the eyelid, as if it was attached to their own skin, so that you may use in that one what has been said about incision; but suture in some places is more artificial.
Ataxinir am cannas es segon aquesta forma:	 Tie the cannas (likely a reference to a bandage or dressing) according to this form:
e es que tu convertas la palpebra e scindas la figura qu’es dedintz segon que he recontat; e aprop per art fay doas cannas o doas astelas subtils de las quals longitut sia segon la longitut de la palpebra e la latitut de lor sia mendra de la latitut del spatum.	And it is that you convert the eyelid and cut off the figure as described in this recount; and tie two cannas or two thin sticks, of which length is according to the length of the eyelid, and width is near half the width of the spatulum.
E tu ja has inscidit en las extremitatz de quascunas partidas, la on tenes les fils.	And you already have incised at the ends of those parts that are separated, where you hold the threads.
Aprop agregua quascuna am subtilitat subre aquo que superflueys de la palpebra del huel, e constres las cannas de quascunas partidas am fort strictura, e layssa aquela per alcus jorns, quar la codena per la strictura morira e sira denegada e se poyrira entro que per si meteyssa cayra.	And appropriate adding some over that which exceeds the eyelid of the wound, and tie those threads with a firm structure, and loosen it for several days, so that the cord may die and be rejected, and fall in place by itself.
Mays si es tardat, lahoras trenca la am las toroyras, e aprop cura la plagua entro que sia sanat.	If it is late, then break open the swelling of the tonsils, and cure the plague within until it is healed.
Donc cum es solidada, la palpebra es elevada e les pels no pungo.	But when there is solidity, the eyelid is lifted and the hair does not prick.
E aquesta es la forma de doas cannas las quals faras segon aquesta forma:	And this is how you will make two incisions, which you will follow according to this form.
e haia la quantitat de la longitut e de la latitut ni mays ni mens.	and has the same quantity as the length and width, neither more nor less.
Capitol .xii.	Chapter 12.
De elevacio de pels pungentz en le huel am agula quan le pel es dur.	Of the elevation of prickly hair on the navel when the skin is thick.
Quan son pels no-naturals, durs e aspres e pungentz les huels, lahoras la operacio en lu es que tu prenguas agula subtil e pauses en aquela fiel de ceda subtil e leon, e aprop que tu ajustes las extremitatz de lu e nozes quascu en manieyra mot subtil.	When the hair is unnatural, hard, and prickly, and the skin has an ulcer, then the operation is to take a small needle and press into that soft, fine flesh, and adjust the extremities of it as much as possible in a subtle manner.
E sia la longitut dels fiels de quantitat de una palma.	And be the length of the incisions equal to one palm.
E aprop tu compon2 autre fiel subtil dejos lu en breu, e nuza las extremitatz de aquel si tu·t vols.	And then compose another subtle incision on it in brief, and tighten the extremities of that one if you wish.
E aprop pause le malaute le sieu cap en le tieu se, e sia prop del solelh per que la tua obra sia declarada, quar es operacio subtil e menuda.	Place the patient's stomach in your chest, so that it is under your shoulder for the sun to be on top of it, because this operation is subtle and small.
E aprop intromet la agulha en la razit del pel ajustat la qual ha necessitat de engen, e fay aquela penetrar en la palpebra festinantment entro que extraguas aquela desus le pel natural.	Insert the needle into the tight skin of the vulva which had become engorged, and make it penetrate swiftly through the eyelid as you extract it from its natural place.
E aprop tire le pel entro desus e intromet aquel en alixati, e sian les pels un o dos o tres e no mays.	Pull the vulva under and insert it into the canal, with one or two hairs at most.
E aprop tira la tua ma am aquel entro que·l pel sia fora-gitat am alixolati en la palpebra am le pel natural.	Pull your hand into that canal so that the vulva is taken out and placed in the eyelid its natural place.
Mays si es atirat alixalati e non es gitat le pel, atiraras alixati a las partidas dejos am le fiel le qual tu has compost am aquela, entro qu’en sia gitat alixalati del trau sobira.	But if it is placed in the canal and not out through the vulva, pull the canal to the left side as far as you have sewn it into the area where it was originally located.
E vegas aquela am la visio del huel, quar lahoras tu gitaras alixati e lo fiel, e grotan quascu e clautz le huel, e laysse le claus per dos dias o tres, entro que·l pel adheresca al sieu loc e nasque sobre aquel bona carn.	And thus it will be seen with the eye, because when you sew the canal and thread, and girdle as much as can be bound around the heel, let loose the clasp for two days or three, until the vulva adheres to its place and grows over that good skin.
E si es mays breu le pel, lahoras tu ajusta un pel lonc dels pels naturals, e es elevat am aquel, o que·l leysses entro que sia alonguat aprop alcu spazi, e lehoras tu eleva aquel.	If the belly is shorter, then you adjust a long pelvet of the natural hairs, and elevate it, or hold it until it becomes elongated in a certain space, and then elevate it further.
