Ayssi comensan las paraulas de Albucasim .	A cure begins with the words of Albucasis.
E si tu vols inscindir aquela, lahoras tu obre le huel del malaute e pren spatum subtil leon de freul acuitat segon aquesta forma:	If you want to separate that one, then first cut off the belly of the sick person and take a small stick from the flax with fine sharpness in the shape of this.
am subtilitat.	with subtlety.
E si vezes que aquela es rarificada e es confugida e empren en aquela razit, lahoras distilla de la tua ora en le huel de cief fayt de siniar o am cief rog o am sal trissat, e opila le huel entro a l’autre dia.	and if it is rarefied and hidden deep into it, then distill your orde (or oil) in the head of the chief made with sinew or chief rope or chief salt, and place the head inside on another day.
E aprop itera sobre aquela la operacio entro que sia remaugut tot aquo que es de lu, sino que·l contrari apostema caut sia en le huel, quar lahoras tu leyssa aquela, e cura al comensament la apostema entro que sia sanat.	And then iterate on that the operation while all of that is renewed in him, if his counter-vein is placed in the head, because then you will see it, and cure the ulcer at first, until it heals.
E aprop itera la tua operacio sobre aquela am razo entro que sia sanat.	And then iterate your operation on that according to reason until it is healed.
La emenencia de la carn lacrimal, si notz en le huel per gran nocument, sia suspendut am onci; e inscideys aquela de aquela una partida, e no ultimes la inscizio per so que no inscidesqua fluxs de lagremas.	The lacrimal mucous membrane protrusion is noted in the foot for great harm, suspend it at an inch; then cut off that one part and do not finish the incision so that you don't let out tears.
E aprop distilla en le lacrimal cief rog e fayt de siniar entro que sia sanat.	Appropriate draw in the lacrimal chief rock and do an incision inward so that it is healed.
Capitol .xvii.	Chapter XVII.
De inscizio de alguazardenic e de aquo que es nascut de carn ajustada en le huel.	On the opening of a gallstone and of that which is born from tightened flesh in the heel.
Alcunas veguadas en les huels de alcus es nascuda carn roga, e es sobre-pausada entro que cobre la pupilla, o apropinqua o estrenh sobre las palpebras e fort leu comprem las palpebras a las partidas deforo e es assemblada a roza de balaustra.	Some cases are found in the heels of alums where red flesh is born, and it is overlapped until it covers the pupil, or placed near the eyelids and lightly pressed over the eyelids towards the parts outside and assembled with a rough rose of bruise.
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	Perhaps the operation on it is that the sickness pauses its head in your shoulder; and open the heels of that one and collect all that flesh as needed to it, and take from there a force or a basket; and cut off the flesh at the beginning until all is finished with the knife, and be careful not to damage the heel which you should leave for your own operation.
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	And it is your incision with which you make those or with the spatula of which we have recounted in the incision of the nail, or with small stitches with which you collect them according to what comes to mind as it approaches this chapter.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	When the incision is completed and all that flesh is pulled out, then fill the wound with salted thread, or pour it into the powder red and resembling medicine corrosive, and pause over the wound before cutting with an album of wool until you are assured of the apothecary's caution.
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	If there is still some residue of the alchemical substance and you are assured of the apothecary's caution, then let go of the wound and cure that ulcer with it, as soon as the ulcer yields to it, and repeat over that again with this operation until it heals, and do the same in the tight flesh which occurs at the wound of this kind.
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	But however you are sure that all healing of the foot is done by natural means or by accident, and not through iron, and do not put your hand into any of these operations until you see that the member is strong enough for that operation.
Capitol .xviii.	Chapter 18.
De colleccio de sabel en le huel.	On the collection of gravel in the foot.
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	Graul is a bad vein that is thick on the foot and prohibits its operation, and it constricts the foot with days of length.
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	When necessity arises that you consider whether the thing in which is situated a humors is strong and there is no other illness than the one found.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	And that you command the illness to hold its head in your side, and suspend those veins with an ounce or two, according to your prudence; and let that ounce be of subtle duplication in this form:
o so dos oncis gradantment en un cos segon aquesta forma:	or two ounces graduated in one body according to this form:
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	And let those veins be tied with small forces, subtlety, and strip away the scab hour by hour, until those veins are retracted from the humors and turned.
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	And beware that you do not give the humors to the extremities of the patient; and if your operation is in the middle of the day in the sun, and you make a firm movement in your operation so as not to incise but those veins.
E quan tu auras complitz, lahoras tu distilla en le huel cief vert o rog per que am sa acuitat corrodesca aquo que es remaugut del sabel.	When you have completed, then take out and distill in the humors chief, green or red, because of this subtlety corroding what is retracted from the humors.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	May it not be possible to collect all the humors at that hour, and in that time also lay out all that causes the pain of him, and let him rest for several days until his pain is calmed down and he is assured of a safe cauterization.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	And go back over him on the second method until he is healed.
E aquesta es la forma de las forfexs:	This is how one handles the abscesses:
Capitol .xix.	Chapter XIX.
De reduccio de arizati al nas.	On the reduction of swellings at the nose.
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	When you cure swellings with cauterization or with sharp medicine, follow the story of them if they are not healing, for then it is not a matter of poisoning them with something in their substance, but rather there are wounds on the swollen area because of its maturity, and that you extract all the humidity which is inside it and the pus, until the bone is uncovered.
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	And therefore when the bone is uncovered and in some cases it has corrosion or blackening, then you treat him with a strong instrument of which this is the method:
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	A disease of the hard head is mentioned and it must be made from iron, and the head must be red with the same sauce as was done on the body, in order to puncture it by puncturing lime or alisalfati with subtle points.
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	Pause on that over the corrupted place of the bone, and return it between your thumbs, and press your hand gently until you know that corruption is thin.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	And this should be done some times, and restore the place with dry and suppurating causes.
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	So if the place is consolidated and it has good flesh in its native spot, and the course of the body is freed from the sickness and remains for forty days without being renewed or forming ulcers or accidents, then you know that it is healing.
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	But if not, then you must reduce the fissure to the shape of the nose, and following this manner: and it is that you take out from second bones with iron or with sharp medicine, and as soon as you expose the bone, then you press thix into that form.
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	The pain of the joints is caused by cold humors that infiltrate each part of the body, and when pain occurs in the feet, it is customarily called gout by doctors.
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	Now pause on the bone, and let it be near the lacrimal; and along with your hand a little of the heel, and apply your hand around the joint so that the bone may penetrate completely into the joint, and thus he will feel the malady because of which he is troubled when wind enters through his nose.
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	Therefore, restore the place with medicinal plasters, applied with styptic to stop the bleeding.
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	Therefore, since the skin and the place have hardened, afterwards restore the material which seeps into the parts before to return it to the nose, therefore this is lighter on the illness.
Capitol .xx.	End of chapter XX.
De reduccio de la eminencia del huel.	Of the reduction of the heel's prominence.
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	When the heel protrudes completely and does not cause any discomfort or diminishment, then loosen the gout, and follow that, and pause airbag-like in the neck, scarsificating, succuring for good success; and pause a liniment on the heel made of acacia, aloes, enshe, and sarcocolla, and strengthen the plaster over the heel with powdered mortar.
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	The method of powders is that you take the wool from the lion's fur, and each cloth is duplicated in four folds; and you make those folds.
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	And place them one over the other according to the amount of which it has the patient's need.
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	And apply strength over those, with a strong cloth and firm structure; iterate the poultices with sweetened scabs; and remove the poultices and let the swollen straighten itself by day and night.
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	But if meanwhile the ligament is softened, it is necessary to cover that it straightens.
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	And pull the ligament with the day and night as we have said.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	If the swelling is reduced sometimes, but if not, then it is necessary to iterate the plaster with powders and structure into which it heals.
Capitol .xxi.	Book XXI.
De la inscizio de la eminencia de la tunica uvea.	On the mark of the swelling of the membrane covering the eye.
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	When disruption occurs in the tunica uteva, and you apply force and proceed outward from the eyelids as if with a cut of razor, and it is drawn into the shape of man thus, and you want to insert, then so is the operation like having counted, that you insert the needle into the root of the uteva, leaving in the beginning of the start, and placing another needle where the double of the lacrimal is, and making it penetrate and letting loose the first needle according to its disposition; and inserting the location of the double-pointed needle and lifting from that point of the uteva towards the circuit of the needle, and straining that motion.
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	And then remove the needle and place it on the heel of the hand, infused in alum of honey, and let it fall into where the thread goes down to the grape.
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	And cure the heel at this point, that it may strengthen and support where the wound is healed.
E alcunas veguadas aduna de tota partida am cercle de drap entro le huel ajuste eminencia gran, e aprop sia perforat am le spatum subtil que vengua al preon del huel, e corra la humiditat albuginea, e descen le huel e intra tantost.	And some times (you) bind the whole part with a circle of linen around the heel, tightening it to its utmost point, and then perforating it with a subtle lancet that comes into play at the prominence of the heel, and running with humidity subcutaneous, and descending the heel, and entering into its depths.
E aprop strenh entro que sia sanat.	Place your strength inside so that it may heal.
Capitol .xxii.	Section 22.
De curacio de alconati.	On the treatment of cataracts.
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This disease, which is called cataract, is not but the inflammation of that eye that is similar to water descending and is not (that).
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	Therefore, the method of treating it is to close the wound over the prepared and clean instrument, and put your hand on its surface two fingers deep into the part where you saw the healing start, and hold it dry so that it does not descend, and keep the light in there, and thus see if those causes are removed just as it was.
E si no descendra en jos, sapias que es aygua.	If it does not come down into the joint, you know that it is water.
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	But if the descent to healing is not prepared, as we have said, then you close the joint with your hands and take a subtle spatum and fan it onto the linen, taking care that a little of the conjunctiva is preserved over the cornea on the crown (inside where), while the wound is forgotten, so that the healing comes out.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	When it is forgotten, then you must dissolve in the heel of hot water the mixture in which you have mixed honey or water in which you already built a fennel and honey.
E aprop sia curat am las autras causas entro que sia sanat.	And now see if there is another cause inside that it should be healed.
Capitol .xxii.	Book XXII.
De la curacio de la aygua descendent del huel.	On the healing of water from the heel.
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	They have already stated the species of the water in the division and what is suitable for perforating the vein declaring, then according to the health.
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	Then cover what you have done between your hands on a cushion and lie the patient's heel flat.
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	And place your left hand near the eyelid of his heel if the heel with water is the left; or with your right hand if it is the right.
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	And take hold of your right hand if the heel is left; or with your left hand if it is right.
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	Place the extremity of the little finger close to the crown of the head due to its thickness in the corner of the little eye's cartilage, and place the same hand inwards and turn your palm towards it.
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	Insert into the space of the little finger and feel that it has already been pushed through due to pressure.
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	Cover the length of the little finger from the beginning to the end of the space between the pupil and the black part, which is the crown of the finger; for you will see that pupil with the view of the finger due to the clarity of the corneal transparency.
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	Place the little finger into the space where it is wet, and place another over it on top, so that when the water descends, you will put the patient above the part of which he suffers soon, and the little finger in its own heel.
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	Place yourself for a moment; so when the water has descended, you will place another space above it where the little finger does not get wet.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	The text means: And therefore, when it is fully dried and does not descend, then you extract the marrow with great ease, and roll it up with your hand little by little, and dissolve in warm water a small amount of clear salt of gemstone and with that wash the wound; and then put outside the foot cloth or stopper or wool infused in oil rose and album of honey and tie to it the foot.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	The text means: But now, as for those who are from our time, they put on the wound a covering made of wool and album of honey.
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	The text means: And if it does not obey to your marrow in the application of the wound through its hardness – because it is hard from the kind of man whose foot is hard –, then cover that you will take which is named alum of alum, and this is the form:
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	The text means: And therefore pierce in that same conjoinure, and do not press the marrow too much on it, and neither cut nor press more than you would if you were doing the subtle place.
E aprop entromet almagda segon que havem dit.	The text means: And return to the marrow as they have said.
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	The patient must be well-received with your work, so prepare the sleeping chamber with a dark room where he will lie on his back on two pillars, and is prohibited from all movements.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	Pause in the nature of this person so that his nature may be purified, and do not direct his head towards the left or right side at the beginning.
E sia le liament segon la sua disposicio entro al tertz dia.	And let him fast according to his disposition on the third day.
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	And let him lie in that dark and dismal place and exhale the foul breath, and show him some causes, and then let him fast again on the 7th day.
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	Do not cover it in the hour of purging or shortly before administering the infusion.
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	Be cautious that you isolate him so that the water may pour in quietly, without great and violent turmoil.
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	But if it happens that apostema occurs, then be cautious and let him lie on his left side for the 7th day, and rectify that condition with him by allowing apostema.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	When you have finished examining the eyes and paused over the mouth of the patient, then observe the area around their oral cavity, so that the movement of the left side can be regulated for several days, because in most cases it is darkening.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	And now let us speak of the darkness, and discuss its causes in detail.
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	You know that in a bath there is no excuse for not covering the eyes some times, and therefore you should be careful about performing the operation.
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	And it has already been passed down to us from those who are from Artaç, and one of them said that you should make a fire in the Ayrac madama, perforated by which water is succeeded.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	However, I have not seen anyone in our land who has performed this, nor is it found in any of the old books; and it is possible that it is new.
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	And these are the forms of the species of madama for which it is about that person who is unaware of them:
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	And they are pains of heat or of fire properly, and the extremities of its form are like this subtle triangle, the sharp edge being as that is the shape.
Capitol .xxiv.	Chapter 24.
De la curacio de carn nada en le nas.	There is no cure for skin ulcers.
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When skin ulcers appear on the nose, they are diverse in shape and form, none of which is caused by a single reason, which is assembled like an arrowhead or a spear weighing much, or a polyp. This illness is called polypus, resembling that of a foot represented.
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	And if it is a cancerous skin, black as coal, and from that one, the flesh is pale; and like the color of a lion's fur.
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Therefore, in the one that is neither yellow nor cancerous, cover with your hands and place the afflicted area under the sun, and brush away its nails, and prick it with a needle in those parts.
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	And take that part out to the front, and apply this that you have understood from that spot with a sharp, subtle knife on one side until you knew that all of its skin has been removed; if it remains from him because of some cause, then touch this one with one of the subtle instruments available so that no other cause remains.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	If the lord has a swelling or an abscess, then pause over it so that the cover; or if it is a malignant abscess, then cut and cautery it until the wound is closed and all the holes are shut.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	And place gauze near the nose, over the entry point where blood and pus come out.
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	But if the nose is swollen and there are humors proceeding into the palate, then it is clear that the disease has already taken hold.
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	But if the humors do not penetrate as they should, then you will know that it is a malignant process in the flesh over the bones of the nose, where the abscess has not been reached.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	Therefore you will cover that which is swollen with a layer of fat, and numb it in that place with needles, and pause between each needle the quantity of the said or month, and apply the sickness and introduce an extremity of the fat into the nose either on the ray or on another cause by which it may be possible.
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	And if that should happen, then put the patient's odorant into his nostrils so that it may penetrate the canals of the nose, and let it fall upon his gullet, for which many are seen to do this at schools, and it is a very easy cause for those who wish to do so.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	Place the two extremities of the bowels closed one that comes out on the nose and the other that remains in the nose, and take care to cut the flesh at the knots that are in the bowels, doing it until you know that the flesh is already tied to the knots of the bowels.
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	Take out the bowels, and place in the nose, along with the abstraction of a poultice a wet cloth, doing it for three days or more until the intestine is completely rotted through what remains of the flesh.
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	Place at the end of the cause, in the nose, a lead pipe for to extract juices for three days until it is healed.
Mays si endigeys de curacio que exsique, usa de aquela.	If the disease has ended in cure that remains, use that.
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	This is the form of the instrument to cuppurate, maker with which oils and medicines are distilled in the nose:
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	It is made of silver or of mercury, which is similar to a small lantern open, like a little shell, and the meat resembles it.
E si vols, fay una canula clausa ayssi cum cana, e la cancula del estrument a capipurge fazedor e sia plana, descuberta; a la qual sia manubre en lo derier de lu, am le qual tenguas aquela quan escaufas en lu oli o aquo que tu vols dels sucs e de las causas suctiblas.	If you want, make a closed tube with the skin and can, and the tube of the instrument must be made so that it can purgative maker flat, discovered; to which should be attached in the back of the.
E aquestz capipurgi es precios: recipe de enforbi de castor, de balayra blanc, de giengiebre, e piletre de safra, de pebre lonc, de escafragia, de epetum de spic ana unc. vi cumfizeys am suc de bleda e de caul, e sian faytas pillulas, e sia destemprada una pillula am aygua tebeza, e sia gitat en las nars del malaute jasent envers.	These purgatives are precious: recipe of castor oil, white birch, ginger, and sumac salt, long pepper, escharot, epetum from the spicana onion, with which you make a bleeding juice, and it is made into pills, and one pill is dried with vinegar, and is placed in the nostrils of the sick person facing them.
Capitol .xxv.	Chapter XXV.
De theyls natz en las extramitatz del nas.	That they may not protrude at the extremities of the nose.
Motas veguadas es nat theyl en las extramitatz del nas, e es magnificat e omentat en alscus dias entro en que mot es leg le reguardament de lu.	Small protrusions are also found at the extremities of the nose, and it is magnificent and enlarged in one to four days before when it is kept under observation.
E per aquo cove que tu inscidas aquel en le comensament de la apparissio de lu, e erediques tot aquel.	And therefore you should prick it at the beginning of its appearance, and bleed all that.
E aprop pausa sobre le loc o cauteri o medicina comburent la qual estia en loc de lu.	Place your hand over the area or apply cautery or medicine that was in place there.
Mays si es tardada la sua inscizio entro que sia magnificat, lahoras considera si es lapificat, dur, de fusca color e de pauc sentiment, lahoras no toques aquel am ferr quar es apostema crancos; quar motas veguadas ad aquel que inscideys aquesta apostema endeve per lu granda malicia sobre aquel le qual aquel havia.	If the opening is delayed until it becomes more inflamed, then consider whether it has become infected, hard, of dusky color and lacking sensation; never touch that area with iron because it appears hardened with black spots; for many times it has been seen to be a sign of great malice against him on whom it has pierced.
E si le apostema es de leon tocament e no es de fosca color, e vezes que inscizio es possibla en tot aquel, lahoras evacua le malaute e inscideys aquel senes temor, e cura le loc am aquo que exsique e costrenh entro que sia sanat.	If the swelling is soft and not of dark color, and if it's possible to open him completely, then evacuate the illness and make the opening without fear, and cure the area with what is needed and constrain (it) tightly until he is healed.
Capitol .xxvi.	It seems like a chapter break or a division in the text, rather than an actual translation.
De sutura del nas e de las labias e de la aurelha quan la continuitat es dissolvuda per plagua o per semblantz.	Of the suture of the nose, lips, and ear when continuity is dissolved by plague or simulant.
Sapias que quan accideys solucio de continuitat en una de aquestas cartillages, pauc confereys en aquela operacio sino en alcus homes.	Be aware that when continuity is solved in one of these cartilages, few confer on such an operation except for skilled men.
Donc cove, quan endeve ad alcu alcuna causa de aquelas, que consideres si es plagua fresca am le sieu sanc, e lahoras tu ajusta las doas labias de la plagua am sutura, e aprop cura aquel entro que sia sanat.	When the wound is caused by some external factor to that part, consider if it is a fresh plague on its own health, and then tie up both lips of the wound with stitches, and close the cure into which it should heal.
E si las labias de solucio de continuitat so ja separadas, e quascuna es fayta sana, lahoras cove que tu excorjes quascuna partida de la sua codena apparent entro que n’iesca sanc.	If the lips of the solution of continuity are already separated, and some part is healthy, then cover that each separation from its own cord in such a way that it does not come out.
