Ayssi comensan las paraulas de Albucasim .	Assistance begins for Albuçates.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	If you wish, cut in the circle of the spinal joint with a pointed cautery two lines or three.
E sian les puntz propdas entre lor.	They are applied between them.
E aprop cura le loc entro que sia sanat am aquo que havem dit.	Let it be cured in the place where that has been said.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	But beware that cautery should not be administered in coldness, which is made by the spasm of nerves.
Capitol .xliv.	Chapter XLIV.
De cauterizacio de podagra e de dolor de juncturas.	On the cautery for gout and joint pain.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	Therefore it is cured by the method of cure and not by means that do not relieve pain, as often do cauterization.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	And that's because you cauterize where there is evacuation in the circuit of the joint of the foot with a pointed cautery.
E sia cauteri olivar del qual aquesta es la forma de lu:	And it's olive wood cautery, whose form is this:
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	If the pains rise into the left or right joints and it becomes clear that it must be cut away, then do so with an olive oil cautery on any swelling.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	If it seems that the cauteries are too much for you, then do so and don't press too hard on your hand with the cautery before, only around the edge of the wound.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	If the pains rise into one of the swellings and so it has been stated in your chapter.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	If the pains are in the upper part only, then it is called supra-gastric, and so puncture in the area where the focus revolves as if you were rolling it, puncturing in those two lines.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	If the pains still remain in the joints, then puncture in the area of any node and on the finger of the hand.
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	If the pains rise from around the same joints as the kidneys or muscles, then cut away all of those parts of the assistance.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	The first line translates to: "Do not evacuate the disease without proper treatment and reception of medicines, because if it is done well, with this cautery, the sickness will be cured.
Capitol .xlv.	It seems like a section title or chapter number. Translating to English, it would be "Chapter Forty-Five".
De cauterizacio de rompeduras.	The translation is: "On the cautery of fractures.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	When the fracture occurs in the joints and you place the intestine inside the abdominal cavity, then begin by closing, as you instructed to the patient to lay down their meal on that day and using gentle causes so that the wound of his belly closes.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	And then follow the patient between your hands over their body, and command him to hold his belly until it is filled out or the intestine appears.
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	And then return that to the thigh, and stitch it up tightly, securing it over the bone of the femur, so that the extension of the limb is similar to that of a circle, starting from the lower parts of the body.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	And take out the pointed cautery from which this is the form of it:
entro que sia mot rog e gete cintilhas.	That being said, put in some sparks.
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	And return the intestine or hernia to its cavity, and place your hand over the area to prevent it from coming out.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	You have already opened the space between the patient's thighs, placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	And place the cautery on that spot with your hand holding the cauteried, and enter into it as much as you can see the bone of the knee joint, and then again in another place if at first you do not succeed in the first place in the bone.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	Observe wisely the size of the intestine in the hour of your cautery, that you do not burn that intestine lest the patient come into mortal danger or another great malady.
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	Be aware that when you have the cautery and do not touch the bone, do not perform the operation.
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	The cauterization of children should be subtle according to their size and measure.
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	Keep the wound of the cauterization clean for three days before it is healed and the char of fire falls off.
E aprop cura aquel am les autres enguentz entro que sia sanat.	Keep that wound closed, along with others that are infected, until healing occurs.
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	The patient should lie on their back for forty days, until the wound is sealed and the plague is cured.
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	It is necessary to pause the nutrition of him according to the length of time of his recovery, lest he waste his stomach, and that the intestine does not come out because of his effort to heal.
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	And after forty days, he should be taken out and given food decently made, and kept for another forty days.
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	He should be reduced to rest and work, and filled with food and drink, and gentle voices, for when he uses this regimen of healing, his entire body will be healthy.
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	And you should direct the healing of ruptures in other parts of the belly, and at first, let it be so that they do not bleed, then cauterize the rupture of that affected arm around according to its size, so that it is exhaled from the cord like the other part of him; and let heal that place as we have said, and if it does not adhere.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	They said that the first thing to be cauterized is rupture by triangular cautery, since it is marked with intent:
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	It is paused a line that stretches from the latitude on the left side above the rupture, and another line below; and then place your hand with a pointed cautery, but the first cautery is lighter and better.
Capitol .xlvi.	Chapter 46.
De cauterizacio de torcio.	On the cautering of knots.
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	When you are in a swollen limb due to falling or percussion, and the pain persists for a long time, and you do not relieve it with medicine, then cover the wound with a pointed cautery.
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	And it should be the cautery of the entire limb according to its size and diminution, virtue, and form, and location of the knot and pain.
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	So if the healing occurs with the first cautery, good; but if not, then repeat it over that limb again; because it is customary for those pains to be punctures on a nearby limb to which you approach, so that you may gain access to them with the cautery before the disease gets worse.
Capitol .xlvii.	Chapter 47.
De cauterizacio de lepra.	Cauterization of leprosy.
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	Some lepers are treated with cautery because of a great wound from childhood, but only if the leprosy is made by the putrefaction of flesh and melancholy.
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	And therefore, if you want to cauterize that person, consider whether the leprosy is common and if it has been cured in the same way as what we have said in division, do not do so, and beware of the malady that the corruption will comprehend all the body of him and all his complexity, whereas when you cauterize on the head above the ears: one in the middle of the forehead, and the second just behind it, and above the hair; and two on the temples; and one behind, over the nape or ear.
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	And finally, after placing the cautery a little inside before it takes hold on the bone a small impression, and from that the sores are displaced, because the expulsion of great vapors is alleviated from him; and cauterize on the skin according to what is required.
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	And if the leprosy is already expanded over the malady and manifests itself, you must cover yourself from cauterizing that one with those same cauterizations in the head; and cauterize on the extremity of the nose, and two cauterizations on each earlobe, and two cauterizations on the neck vertebrae, and six on the lower neck vertebrae, and a large one near the knee, and one over the knee, and two on the ankles, and one on each ankle bone, and two on the knees, and one on each tendon of his foot; and cauterize that person on all the joints of the head and feet, and on any toe of his feet, and on the heel of his feet, and on the flesh of his limbs.
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	Guard yourself from the nerves that are over the heel, do not burn them.
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	And sometimes it is cauterized with a heated instrument on the toenail bone and another on the mouth of the stomach, and another on the intestines.
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	You know that the more you apply the cauterization, the greater the youth and vitality will be; and you know that a disease does not have pain in the cauterized part, just like it does elsewhere, therefore the body of the patient becomes stunned.
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	And consider that the cauterizations can be large or small depending on the members and joints according to what is preceded by the special instruments.
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	And cure the cauterization with flour of burnt barley, with oil and with another treatment until it heals.
Capitol .xlviii.	Chapter 48.
De cauterizacio de stupor.	On the treatment of stupor through cauterization.
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	When a limb is frozen or numb and is treated with medicines, oils, and dressings, but does not heal, then you cauterize that limb with heated instruments according to the size of the limb or its smallness.
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	The cauterization enters the skin of the cord a little.
E aprop cura aquel am enguent entro que sia sanat.	Appoint some poultice inside where it is healing.
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	And sometimes the cauterization applied to some stoma which causes swelling and pain in the joints of both feet and also inflammation of the nerves which affect that member, and it is cured.
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	And do not treat this but the one who is wise in the anatomy of limbs and the exit of nerves throughout the whole body moving.
Capitol .xlix.	Chapter 49.
De cauterizacio de albaras que es morfea.	On the cauterization of warts that are a mole.
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	When warts are old and do not benefit from the poultice of medicine, then you cauterize over that wart a little before making it into a pustule according to the quantity of the cord's substance within which it is healing, and until its whiteness and color change, and its color changes.
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	And then cure that wart with flour of turmeric and lentils mixed with olive oil and the leaves of arnica, either with the powder of dove or with the powder of rose, each one is a part and all are mixed, and it should be wrapped in cloth and placed on the spot until healing.
Capitol .l.	A collection of medical procedures.
De cauterizacio de cranc.	The cauterization of warts.
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	When cancer begins to form and one wants that bone, then often cauterize it with a circular cautery in the orbit around it as it is turned.
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	And the wise men say that it should be cauterized at the lower cautery in the same place; but I have not seen this done, because I fear it may be ulcera.
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	And it is more prudent to be cauterized in the orbit with a circular cautery as we have said, or with multiple cauteries.
Capitol .li.	The end of Book I.
De cauterizacio de adubilati.	Of the cauterization of swellings.
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	When any swelling is delayed in maturation, and so it is because of excess or because of the disease, which is old and decaying, with little strength, or because of time, and you wish to hasten its maturity; then cauterize it in the orbit with small cauteries, and cut it lightly that it may mature more quickly.
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	If you want to make the perforation with the cautery, then first ignite the cautery of which this is the form: and place it in my middle location so that it penetrates the cord.
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	If the cautery in that location is left on it, in order to alleviate the body of the arm; and cure it until it heals.
Capitol .lii.	Chapter the twelfth.
De cauterizacio de corrodent.	On the cautery of corrosion.
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	Corrode is a wandering corruption in the limb, which corrodes that surface as if it were a burning fire consuming dry wood.
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	So when that corrosive is in the place where it suffers from cautery by fire, then you ignite small, pointed cauteries, and larger according to what is convenient in that place in which the corrosive is.
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	And then cauterize that of complete separation until it radiates the whole corruption and does not leave any cause of it.
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	And then dress that for three days, and place your hand on the cauterized locations every third time anointed with oil mixed with it until all the scars are eradicated and the whole corruption.
E aprop cura aquel am enguentz carn engendrantz.	 Cure that wound which is causing the consumption of flesh.
Mays si aprop tres dias vezes que la carn nasca sana en la qual no es corrupcio, bo es; mays sino, lahoras itera le cauteri sobre aquo que es romas en les locs corrumputz.	But if for three days the flesh has not healed in which there is no corruption, but rather it has become rotten in those affected areas.
E corrodent es medicat alcunas vetz am medicina aguda, quar aquela es meza en loc de cauteri.	It is treated with some sharp points in the medicine of acuteness, because that is half in place of cauterization.
Mays empero cauteri am foc es de pus leugier juvament.	But cauterization is of use for the focus of lighter pus recently.
E yeu ja e dit la curacio de lu am medicina aguda en la divisio, e donc pren aquela quan de lu auras endegencia.	I already told you the cure of him with the medicine of acuteness in the division, and therefore take that which he has taken when he begins to have some indigestion.
Capitol .liii.	Chapter LIII.
De cauterizacio de claus e dels autres semblants.	On the cautering of nails and other similar things.
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	Small, thin things that enter the affected areas of the foot, which cause inflammation, are called nails, and are a great cause. Cauterizing in these places is done according to two methods: with focus (i.e., burning) or with cauterization by hot water.
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	Cautery is a fire that should be extinguished in the shape of a nail of thunder, which is made of iron according to the quantity it contains of the key to the whole part, and should have subtle margins.
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	Place the fire on the key, and place your hand over the cautery in the circular path of the key while the cautery spreads to the depth of the key.
E leyssa aquel per tres dias entro que comense getar brac.	Let it rest for three days before starting to scratch the arm.
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	Apply to the arm a plaster made of wild marl crushed with salt, and let it rest on that for one night, so that it will eradicate its roots.
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	Cure the spot with a balm of meat generated inside until it is healed.
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	If not converted, and frequent accidents occur on the surface of the body, particularly in the joints and feet, then cover that with cautery water, and place a quill made of iron or lead or nail of thunder over the key; and prick into the quill with a little quantity of watery juice, and let your hand rest, and you turn it with compression of your hand in all directions, so that the margin of the quill is pressed against the root of the key, and push the water to the bottom of the root with the quill; and wait for the patient for a little time after the prick of the watery juice by one hour, and then remove it, because the key has its roots eradicated.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	It appears that pain in joints is caused by cold humors that infiltrate various parts of the body, leading to discomfort in the feet. The custom term used by doctors to describe this condition is "gout". To treat gout, points are made on the surface of the foot using a pointed cautery, and the area is then protected.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	The cure for the pus that appears in those areas, where the claws of the disease are eradicated, through the consumption of remedies, is to eliminate these purulent diseases from inside the body, causing the flesh to be irritated.
Capitol .liiii.	It seems like there was a line break in your original text and it cut off. Would you like to continue with the translation?
De cauterizacio de tremor.	About the cautery for trembling.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	When the endeva (a person suffering from) trembling is caused by friction on the nerves or fever due to cold, or another similar cause, then cover yourself with four cauteries or five over the spondils (spinal vertebrae) of the back, between each spondilh (vertebra), and a cauteri (cautery) on each foot, and an olive-shaped cauteri on the stomach.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	And the trembling of him (the patient) returns and brings speed to the healing of the illness through friction.
Capitol .lv.	The capital letter "C" in Latin translates to "Capitol" which seems out of place as a medical treatise title.
De cauterizacio de albati accidentz al cors.	Treatment of burns caused by accidents in the body.
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	When in the body, there is an ulceration of burns, and pus-filled wounds caused by corrupted gross materials; therefore, cover at the beginning with a preparation, that it be cauterized all over the head of the fistula with a subtle cautery made from wood, the end of which is stretched over a fire; or in the shape of an ellipse.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	And sometimes it is cauterized at the same time as its expulsion, according to this method; and you do not believe it, because the superficiality of those things is broken down, and it heals from those.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	But however, cover that this is done in conjunction with an evacuation by leucotomy.
Capitol lvi.	Chapter 56.
De cauterizacio de fluex de sanc accident per incisio de arceria.	On the treatment of burns caused by splinter injuries through archery.
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	Sometimes the wounds caused by arrows are infected with pus which is a plague that destroys the flesh, or the onset of gangrene or cauterization of the limb, and as a result, it seems like, and it is difficult to remove that.
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	When difficulties occur to this, then put your hand in the orifice of the bowels and pause on that place until you stretch out that particular tissue before the blood stops flowing into your said, and do not let it.
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	Put pause in the fire and apply olive oil cautery few and many times, by name, and exhale over them until they are set on fire.
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	Put a small one or a large one according to the place and the wound in which the artery is ruptured, on that vein festinatingly as much as you have renewed your said, and cautery it until it is closed and restored that wound.
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	But if the wound is expelled from the orifice of the artery when you renew your said and exert the cautery, then take another cautery accordingly as those which in the fire are prepared, and therefore do not cease doing this until the wound is closed.
E guarda te que no comburas le nervi que aqui es, e que vengua sobre le malaute autra malicia.	Be careful not to burn the nerves that are here, and that other evil comes upon the sick person.
E sapias que quan de l’arteria flueys sanc, lahoras no es possible en aquels restrenge la sanc, e majorment quan l’arteria es gran, si no am una de quatre manieyras: o am cauteri ayssi quo dit havem, o am extraccio quan no es extrayta, quar quan es extrayta las extremitatz de lu miels son comburidas e es restreyt le sanc, o que sia liat am fiel o am liament per fort strectura, o que sian pausadas sobre lu medicinas de las quals la vertut es restringir la sanc; e sian strengudas am pulvinar am costriccio decent.	Here is the translation:
Mays aquel que aministra restriccio decent de lu am liament e am strictura am draps o per posicio de causas comburentz e de semblantz, no comfereys sino tart.	You should not put too much restriction on the patient, nor do you tie them up with tight bandages or cover them for the sake of appearances, but rather as a matter of fact.
Mays si aquo endeve ad alcu e no sia le metge present ni medicina, lahoras obre am pausament del dit indic sobre le orrifici de aquela vena ayssi cum havem dit, e entenda a la gran costreccio de lu entro que le sanc sia ostat de la sobirana partida de la plagua, e sobre la arceria le dit no sia remaugut; e de sobre la arceria sia aspergit am aygua frega de mot gran fregiditat entro que·l sanc sia congilat e engrossat; e mays cossire en que ha de cauteri o de medicina necessitat.	But if this is due to a lack of skill, and neither the physician nor their medicine are present, then put still, for a moment, on the wound indicated by that vein as we have said, and understand how much pain they enter into before the disease is stopped from its main departure from the plague, and regarding the arrow [i.e., the point or needle] do not apply again; and if it is necessary to cauterize or administer medicine, take care first of applying a great cold wetness inside where the wound is congealed and thickened; and maybe consider whether there should be cauterization or medicine.
Comensa la segonda partida.	Begin the second part.
De incisio e perforacio e ventozas e de fleubotomia e de plaguas e de lor semblants.	On the incision and perforation of boils and on flebotomy and on wounds and their similarities.
Aquestas son paraulas de Albucazis.	These are words of Albuquérques (or Albucasis), a famous Arab physician.
Ja havem dit en le primier capitol tota malautia en la qual cauteri am foc es convenient e am medicina comburent, e las occasios e las causas de lu, e les instrumentz en aquels necessaris am las formas dels cauteris; e he ordenatz les capitols de la subiranetat del cap entro als pes.	We have already discussed in the first chapter all illnesses in which it is convenient to apply fire and medicine together, as well as their occasions and causes, and the instruments needed for them, with the forms of cauterizations; and I have ordered the chapters below the foot.
E yeu procesire en aquest capitol per aquela meteysa guisa, per que sia alliujat lo querent aquo, lahoras sobre aquo que aura demandat.	I will try to guess the meaning of each line.
E denant que yeu comense aquo, cove, fils, que aprenguatz que en aquest capitol es per terror aquo que es en le capitol primier de cauterizacio.	When you start this procedure, my son, learn that in this chapter it is about fear because it is in the first chapter of cauterization.
E per aquo que cove que sia en lu gran cautela, quar en la operacio la qual es en aquest capitol motas veguadas catz evacuacio la qual es am sanc am le qual esta la vida deves la aspersio de la vena o incisio sobre l’apostema o apercio de exsitura o puracio de la plagua o extraccio de sageta o incizio de peyra e a lor semblantz.	And therefore, my son, be cautious in this great procedure, because in this chapter there are often times evacuation which is amiss, and it is on the sain of life, from the splashing of the vein or incision over the apothema or suspicion of existence or purulence of the plague or extraction of a splinter or incision of an arrow, just like that.
E de totz aquels so acompanhatz temor e tremor e en le mas de lor catz la mort.	And with all those things it is accompanied by fear and trembling, and in the most of their cases death.
E yeu amonesti vos que sobre vos no caia aquo en le qual es esitacio, quar alcunas veguadas cazo deves vos manieyras de homes am manieyras motas de malautias.	And I warn you, do not fall into this in which is the situation, for sometimes it happens that you will be driven by madness of men to madness, and with many irregularities of diseases.
E de lor es alcu que s’irays am la sua malautia e es leugiera deves lu la mort, e aysso per la vehemensia de aquo que troba de sa malautia, e per longuesa de la malautia de lu, e am la malautia es paor la qual significa mort.	And of this it is often that he will fall into his illness and becomes lighter because of him, the death, and so with the fervor of being in his sickness, and with the length of the sickness of him, and with the fear of which means death.
E de aquels es le qual dona a tu son aver e ditta, tu esperant am aquel sanetat, e la sieua malautia es perniciosa.	And of those who give you their son's fever and illness, you expect to have them recover, and their disease is mortal.
E donc no cove que tu consentas en aquel que ve a vos del qual es aquesta manieyra; e la vostra cautela sia major que covesitat e la vostra rapacitat; e no presumatz alcuna causa sobre aquo sino aprop sciencia certa la qual virifica aquo deves vos, e al qual perve successio lausabla.	So therefore do not consent to anyone who is coming towards you from whom this manner of disease comes about; and your caution should be greater than your desire, and your greed; and do not presume any cause for this but with the certain science that proves it to be so, which will bring success and praise upon you.
