Ayssi comensan las paraulas de Albucasim .	Assistance begins with the words of Albucasim.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	Adjust all that water, and place the other on another living cause and another alchemical substance renewed, because that is what brings forth strong heat, which is administered in various medical operations and cauterization of other members, where operation does fire.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	So these medicines have some which are cauterized wide, in the form of tincture and meleum and substance that has a smell when mixed, so that they may be combined.
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	And Gualia recounts from an old man the operation and cure on which pain in the ankle and sciatica is cured, and magnifies how much better it is for him, and says that no other cure is needed, and that he is healthy by a single remedy, just as recommended, since when it was applied to his intestines and eyes even so, like what he said.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	And it is that if they take a certain green verjuice, and if not verdure, they take the fresh fig; and some are thrice pressed with a little gray and placed on the ankle in which the pain is, or in the cavity, or on the thigh, and tied.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	It is left for three hours or according to the quantity that the illness causes weakness of the joints.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	And place that person in bed and then when the body of him is cooled down, let him lie on the earth, so that the pain ceases and he heals.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	You know that it is not good to use cauterization on these medicines but rather to evacuate the body.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	But may be Escorides said that when cutting with an ass's bellows the vein tightens it is cauterized, to good effect; and thus he uses the cauterization so: take wool and put it in oil ancient, and place it between the foot of the belly and the bone.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	And take dried ass's belly to be flamed with fire, and then place it on the wool and press it into until it is stretched.
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	And repeat this to him, and do not stop doing so until the sensation of the biting passes into the anus and he rests in pain.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	This method of cautery is called 'cautery of sheep'.
Capitol .xlii.	Book XLII.
De cauterizacio de dolor de dos.	On the cautery for joint pain.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Some cases of pain occur in the joints due to excessive flow and moisture.
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	Cautery is not performed on this type alone, but rather only when there is an excessive flow of moisture.
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	Therefore, evacuate the malady with fitting pills and those resembling them, which are applied to the joints where pain is three lines apart according to the location of it, so that in each line there is either cautery or more, according to how much tolerance has been reached by the patient and its virtue.
E sia fayta cauterizacio am cauteri de punt.	And perform a point cautery with a pointed instrument.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	And if you want, perform three points or four points of cautery, with the middle point as follows:
Capitol .xliii.	Chapter 43.
De cauterizacio al comensament de gilbositat.	Treatment at the beginning of gout.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	Symptoms that affect the joints in small children; and it is customary for this disease to occur when their joint stiffness occurs in the knees, and the elevation and movement.
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	There are swellings in the lower back, at the second and third vertebrae, which are already beginning to show above the other lumbar vertebrae.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	And therefore when you feel that and want to prevent it, then cauterize the area with a circle according to this shape:
que prengua le cauteri sobre tota partida del spondilh engualment.	which takes up the entire length of the spinal segment.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	And if you wish, cauterize in the curve of the spinal segment with a pointed cautery two lines or three.
E sian les puntz propdas entre lor.	And they are applied precisely between them.
E aprop cura le loc entro que sia sanat am aquo que havem dit.	And care for the place so that it is healed after what has been said.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	But note that cautery should not be administered in gout that is caused by a spasm of the nerves.
Capitol .xliv.	Chapter XLIV.
De cauterizacio de podagra e de dolor de juncturas.	Cauterization of gout and joint pain.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	And therefore, from this comes the cure of gout through a method of treatment, and not all remedies are effective to alleviate pain, because often they burn.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	And it is that you cauterize the area after evacuation in the circuit of the joint of the foot with pointed cauterization.
E sia cauteri olivar del qual aquesta es la forma de lu:	And the olive wood cautery, from which this is its form:
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	And if the pain rises into the joints or to other joints, and it often sets in, then cauterize that on whatever joint has three points or four of all parts with this olive wood cautery.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	If the cauterized wounds are to be cauterized again, then cauterize them and do not press too hard on your hand with the cauterizer before, so that only the tip of the needle is near the cord.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	If the pains enter the joint and the other part, then administer the cauterized needle which has been said in its capital.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	If the pains are in the joints alone, and it is called sciatica, then puncture at the circular area of the femur as if you turn a wheel, puncturing at those two lines.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	If the pains remain in the joints, then puncture at the circular area of the femur on any spot and on the tip of your finger.
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	If the pains occur near the muscles or tendons, then cauterize all those parts of the limbs.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	And do not evacuate the patient with good regimen and reception of medicines, for if it is done well, and flatulence is evacuated through this cautery, it will be healing, God helps.
Capitol .xlv.	Book XLV.
De cauterizacio de rompeduras.	Treatment of ruptures.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	When the rupture occurs in the ligaments and you send the intestines behind the thigh, then gradually begin to close, as you instruct the patient to keep their bowel movements within their day and use gentle measures to allow the wound of their stomach to heal.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	And then follow the patient between your hands over their feet until they are no longer getting worse or if the thigh appears or the intestine protrudes.
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	And then return that finger to its original position and send the patient to try to close the rupture over the bone of the little toe, such that the extremity is shaped like the middle part of a circle at the upper parts of the body.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	And now show the cautery from which this is the method:
entro que sia mot rog e gete cintilhas.	When I am about to enter a vein with a needle.
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	Return the intestine or hernia to its cavity, and place your hand over the area to prevent it from coming out.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	You have already opened the space between the patient's thighs, placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	Place the cautery on that spot with your hand, and let me see if I can find the bone of the penis inside the duct, and then go to another place if you did not succeed in the first place into the bone.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	Observe the wound of the intestine at the time of your cautery, lest you burn that intestine so that it does not bring on death or great evil to the patient.
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	Know that when you have the cautery and do not reach the bone, do not proceed with your operation.
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	Consider that the cautery for children should be subtle according to their size and stature.
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	Clean and cure the cauterized area for three days before it is fully healed, so that the scar of the fire may be renewed.
E aprop cura aquel am les autres enguentz entro que sia sanat.	Clean and cure that wound with other stitches until it is fully healed.
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	And let the patient lie on their back for forty days until they are sealed in the place and the plague is cured.
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	And cover that the patient's nourishment is according to the length of time of their healing, lest they weaken the belly, and lest the hernia comes out because of the effort to cure.
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	And after forty days, as soon as you take them away, administer some medicine well made, and keep them for another forty days.
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	And it should be reduced in work and in replenishment of food and drink and voice, for as long as you use this regimen of healing the whole body will be healed.
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	And I direct the healing of ruptures in other parts of the abdomen, and so at first, and be careful that they do not open again, after cauterizing the rupture with that same cauterium round about the amount of it, and just as if it were cut from the codon and the tender part of you; and clean and cure that wound, as we have said, and let it be so.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	They said that the first thing to be cauterized is rupture because it is sensed by pain.
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	And it is stopped at the latitude on both sides of the rupture, and another line above; and you put your hand with a pointed nail cautery, but the first cautery is lighter and better.
Capitol .xlvi.	Book XLVI.
De cauterizacio de torcio.	On the cautering of a tumor.
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	When you meet with some members by falling or percussion pain, and the pain persists for a long time and does not yield to any remedy with medicine, it is customarily covered with a pointed cautery.
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	And it is the pointed cautery of the entire limb according to its size and shape, value and location, and nature of the tumor and pain.
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	Therefore if the patient is healed with the first cautery, well; but if not, then it is iterated upon him the pointed cautery; because by custom of those pains it is that they should be punctured on the same part as the pain, so that you can obtain them with the cautery before the sickness heals.
Capitol .xlvii.	Chapter 47.
De cauterizacio de lepra.	Treatment of Leprosy
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	Some leprosy cases are treated with cautery due to a large wound, and only when the leprosy type caused by rotting of flesh and melancholy.
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	Therefore, when you want to cauterize him, consider if the leprosy is common and has that cure mentioned in the division, but do not apply it, lest it spread and comprehend the entire body and all its complexity, therefore cauterize him on the head with a cautery of 1 at the middle of the head, and the second from behind his ears; and one over both temples, and one behind, over the nape or shoulder.
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	And finally, apply your hand with the cautery a little inside before it seizes onto the bone, and the scars will be displaced, so that the exhalation of great vapors is alleviated from him; and cauterize on the belly as needed.
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	If the leprosy is already expanded over the ulcer and appears manifestly, then cover that you cauterize him with those cauteries mentioned in the head; and cauterize on the tip of the nose, and two cauteries on both knees, and two on both shoulders, and one large on each shoulder, and one on the shoulder, and two on the ankles, and one on each ankle, and two on the hams, and one on every hamstring, and two on the muscles, and two on the tendons of his foot; and cauterize him over all the joints of the arms and legs and feet, and on any toe of his feet, and on the folds of his breasts.
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	Guard yourself of the nerves that are on the heel, do not burn them.
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	Sometimes the patient is cauterized with a cautery on the bone of the little toe and another on the mouth of the stomach, and another on the liver.
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	You know that the more cauterizations you apply, the more youthful and effective they become; and you know that the pain from the cauterization is not felt in the disease itself, just as with a knife, so that the body of the patient is already stunned.
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	It is known that the cauterizations can be large or small, depending on the limbs and joints, as indicated by the types of tools used.
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	It is recommended to cure the cauterization with flour of ergot, cooked with oats and honey, and another cure inside until it heals.
Capitol .xlviii.	Chapter 48.
De cauterizacio de stupor.	On the Cauterization of Stupor.
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	When any member is stiffened or numbed and is treated with medicines, oils, and poultices, and does not heal, then you should cautery that stiffened member with cauteries according to the size of the member or its smallness.
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	The instrument enters a little into the code of the tendon.
E aprop cura aquel am enguent entro que sia sanat.	And cure that swelling until it heals.
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	And sometimes the swellings are cauterized which cause severe pain in the feet, and the joints of the legs and vertebrae, and the swelling of the nerves, whereupon that member is made numb, and the swelling is removed.
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	But not so on that, unless the one who is wise in the anatomy of limbs and the exit of nerves throughout the whole body moves.
Capitol .xlix.	Chapter 49.
De cauterizacio de albaras que es morfea.	About the cauterization of warts that is a mole, or mole.
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	When warts are old and you do not cure them with the remedy of medicine, then you cauterize that swelling with a pointed instrument beforehand by just a little, according to the quantity of the tendon inside, so that it may be healed the whiteness and the color of it, and the color of it is changed.
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	And cure that swelling with flour of rose petals and lentils in olive oil and the leaves of arnaga, either with the powder of columba or with the powder of yrona, each one a part and all mixed together, and wrap it in a cloth and place on the spot so that it heals.
Capitol .l.	Capitol of pain or discomfort.
De cauterizacio de cranc.	The treatment of boils or warts.
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	When cancer starts to grow and you want that bone, then do so by cauterizing it with a circular cautery in the same path as it turns.
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	And the wise men say that this one should be cauterized with the second cautery in the same location; but I have not seen this before, for I fear it may be an ulcer, and I have seen this happen on some occasions.
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	And it is more safe to cauterize in the path of the thing with a circular motion as we have said, or without cautery.
Capitol .li.	Capitol II.
De cauterizacio de adubilati.	The treatment of inflammation or swelling through cautery.
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	When some swelling is delayed in maturation, and it remains so due to the superfluity of flesh or because the patient is old, weak, sickly, or because of time, you want to hasten the maturation of the swelling; then cauterize in the path with small cautery points, and let it dry out when it stops bleeding.
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	If you want the perforation of him with a cautery, then hold the fire of the which this is its form: and place it in the middle location where to apply the food before it penetrates the vein.
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	If the cautery in that place is left there, to relieve the body of the arm; and apply cure until it is healed.
Capitol .lii.	Chapter 42.
De cauterizacio de corrodent.	On the cautery of corrosive matters.
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	Corrosive is wandering corruption in the limb, which corrodes it as if fire were consuming dry wood.
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	So when that corrosive is in the place where it suffers cautery with fire, then you hold quick cauterization of small nails and large according to what is convenient in that place where it is corroded.
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	And apply cautery to it completely, until all the corruption is eradicated and not any cause remains of it.
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	And let it heal for three days, and place over the cautery wounds so that they are all saturated with oil mixed before all the scars are eradicated and all the corruption.
E aprop cura aquel am enguentz carn engendrantz.	Appropriate cure for that flesh-consuming wound.
Mays si aprop tres dias vezes que la carn nasca sana en la qual no es corrupcio, bo es; mays sino, lahoras itera le cauteri sobre aquo que es romas en les locs corrumputz.	But if three times the flesh heals and does not decay, then but so often is the cautery applied to that which is rotten in those affected areas.
E corrodent es medicat alcunas vetz am medicina aguda, quar aquela es meza en loc de cauteri.	Corrosive is medicated with certain remedies of acute medicine, which is more than cauterization.
Mays empero cauteri am foc es de pus leugier juvament.	But cautery is used for a more serious focus of pus recently.
E yeu ja e dit la curacio de lu am medicina aguda en la divisio, e donc pren aquela quan de lu auras endegencia.	You have already mentioned the cure of him with acute medicine in division, and therefore take that which he has in his hands.
Capitol .liii.	End of treatise XXXIII.
De cauterizacio de claus e dels autres semblants.	Of the cautery of nails and others similar to them.
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	Some visible signs go to the outer parts of the diseased foot where a nail is called for, and this is a major cause, a thing that splits the foot; and cautery is applied in those places according to two methods: cautery by heat and cautery by cold water.
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	The translated text is:
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	Place the flame on the lock, and place your hand with the cautery in the curve of the lock until the cautery penetrates to the depth of the lock.
E leyssa aquel per tres dias entro que comense getar brac.	Let it lie there for three days before it starts to swell in the arm.
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	Apply a plaster made of wild herbs crushed with salt on that part, and let it remain over it for one night, so that it will eradicate the disease from its roots.
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	Treat the boil with animal fat generated in it until it is cured.
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	If it does not convert, and many painful accidents occur on the surface of the body, mainly in the feet and hands, then cover with cautery water. So, take a horn, nail, or iron rod to press down, and place that over the lock; put a small quantity of caustic water into the horn, hold your hand over it, and rotate that with compression of your hand around the horn, pressing its edge into the root of the lock, and directing the caustic water towards the root of the cautery. Wait for the patient a little while after biting on the caustic water for an hour, and remove it, because the lock will have its roots eradicated.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	And as you are coming over all that which is in their body, place them on the other side.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	And remove those ulcers that the seeds of the claws are eradicated in, with that infection in the phlegm, which the flesh is infected by.
Capitol .liiii.	End of translation
De cauterizacio de tremor.	On cauterizing tremors.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	When you have to bind or calm a tremor by stroking the nerves or through fever due to cold or other similar cause, it is customary to cauterize that one with four cauterizations or six above the spine of the back, between each vertebra one cauterization; and also on the foot of them, and on the stomach of them, olive-sized cauterizations.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	And the tremor of him is calmed and he hastens to bring the health back from the fever.
Capitol .lv.	End of translation.
De cauterizacio de albati accidentz al cors.	On cauterizing of white accidents in the body.
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	When in the body there is an inflammation of white spots, and pus-filled wounds that are caused by corrupted thick materials; therefore it is customary from the beginning with a preparation, to cauterize on all head of the fistula with subtle cauterizations made with fusel wood, whose end is stretched over the fire; or with a long root of erestologia; or with lentecular cauterization.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	They sometimes use cauterization all the way to the beginning of their expulsion according to this method, and you do not believe them, and it is disrupted by the superficiality of those things, and it heals those.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	But however, this is done for the sake of evacuation with the removal of the foot.
Capitol lvi.	Chapter 57.
De cauterizacio de fluex de sanc accident per incisio de arceria.	On the cauterization of inflamed fluids by accidental wound through a stab with an archer's spear.
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	Frequently, wounds caused by an arrow's thrust are infected with the plague, which causes deforestation, or the onset of mastoiditis or cauterization of the member, and thus it resembles, and is difficult to remove.
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	Then when this occurs at another place, you will put your hand on the orifice of the arrow's wound, and hold over that spot these often-encountered marks until the flux of the sickness leaves those marks, so it does not come back.
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	And put down in the fire those olive-oil cauterized points few and many, for certain numbers, and inhale over them until they are completely ignited.
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	And now take from those a small or a large needle, according to the place and the wound in which the artery is broken, over that vein inflamed as intensely as you will say, until your words are healed and that wound is closed, and restore that sanct.
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	But if the wound is expelled from the orifice of the artery when you repeat your words and extract the cautery, then take another cautery with equal preparation as those which were in the fire, and therefore do not cease to do this until the wound is closed.
