Ayssi comensan las paraulas de Albucasim .	The doctor begins to speak about Al-Bukhatir.
E donc cove que tu fassas sezer le malaute entre las tuas mas e pausar le cap de lu en le tieu se, e ratz las dents en las quals apareysso aquelas escorsas e causas semblantz arena entro que de lor no romangua deguna causa, e aquo fay de la negror e de la citrinitat e de las autras entro que sian mondificadas.	And therefore you must make a poultice of the malady between your hands and put it on his head in your way, and ratz the teeth where those cuts appear, like sand, so that none of its cause remains, and this is done from the blackness and the citrus, and the others which are discolored.
Donc si es ostat aquo que es en aquelas del comensament de la razio, bo es; e sino, lahoras tu itera la razio sobre aquelas al autra dia e al segon e al tertz entro que vengua al derier stament en aquo que tu vols.	Therefore, if this is in the beginning of the reason, then it is; but if not, then you go through the reason over those another day and the second and the third until it comes to the later statement in what you want.
E sapias que las dentz han necessitat de motz rezoris de diversas formas e de motas figuras segon que es preparat a la tua operacio.	The text means: "You will know that the teeth have required different types of remedies in various forms and shapes according to how it is prepared for your operation.
E per so quar le razori am le qual la dent es raza de la partida dedintz es autre del razori am le qual es ras entre las dentz segon autras formas, e aquestas formas de razoris sian deves tu preparadas las quals veyras tantost:	And therefore because the razor with which the tooth has been cut from the start is not the same as the razor with which it is shaved between teeth, according to other forms, and these forms of razors are for you to prepare those that I shall show to you at once:
Capitol .xxx.	The end.
D’eradicacio de dentz.	Removal of teeth.
Cove que tu cures la dent de la sua dolor am tot engen e tardes en tota eradicacio de lu, quar no es denguna causa que suplisqua la veguada de lu quan es eradicada, quar es sustancia sublima entro que es excusacio en la eradicacio de lu.	So that you treat the tooth with its pain and all the engorgement and swelling in all removal of it, because no cause is sufficient to stop its formation when it is removed, but rather it is a subtle substance inside which is the excuse for its removal.
Mays cove quan le malaute es forsat aquela dent eradicar, que fermament deves tu sia certificat quala es la dent dolent, quar motas veguadas la dolor descep le malaute e cuga que sia en dent sana, e tu eradicas aquela e aprop la dolor no cessa entro que la dent malauta e dolent sia eradicada, quar nos ja havem vist aquo per operacio dels barbies.	But it is necessary to know that when the illness is severe, that tooth must be removed, you must firmly be certified that which tooth is the diseased one, because how many times have we seen that pain depart from a healthy tooth and it's in the diseased tooth, and if you remove the healthy one and the pain doesn't cease until the diseased tooth is removed, just as we've seen by the surgery of the barbers.
Donc cum deves tu es sertificat qual es la dent dolent, e que o sabes be, lahoras cove que tu scarifiques en le circuit de la dent am spatum en le qual sia alcuna vertut, entro que sia dissolvut de la dent de la gingiva de tota partida, e aprop mau aquel am les tieus ditz, o am forfexs subtils al comensament petit a petit entro que aquela concucesquas.	When it comes to treating the sick, you need to know what is wrong with the tooth, and whether you know its cause, then you should shave in the circuit of the tooth with a spatum until it dissolves from the gum, leaving only the bone exposed, and place the affected area inside, or apply gentle pressure on the tongue.
E aprop alogua en lu fortz tenalhas grans per bona loquacio o estuptura fort, e pausa le cap del malaute entre les tieus denolhs que be le tengues que no·s maugua, e aprop tratz la dent segon rectitut en manieyra que no trenques aquela, ni al malaute major dolor no dones.	And afterwards you should apply large poultices or ointments on the strong side, with good speech or an estufa fort, and place the patient's head between the two painful areas where you hold it so as not to cause confusion, and treat the tooth according to its correct position in a manner that does not cut or injure the mouth.
E donc si no es foro-getat, lahoras pren un de aquels instrumentz, e met aquel dejos lu de tota part am facilitat e esforsa la remocio de lu ayssi que es feyt al comensament.	And therefore if not forgotten, then take one of those instruments, and place it on the affected area with ease and effort to remove the evil that is done at the beginning.
Mays si la dent es trauquada o corrosa, lahoras cove que tu comples de drap aquel trauc e estrenguas aquel am la extremitat de ray subtil per so que no sia trinquada en la hora de la tua constriccio sobre aquela am tenalas.	But if the tooth is trapped or corroded, then you should carefully cover it with cloth and tighten that around its extreme part by a subtle thread so that it does not get broken in the time of your compression on that affected area.
E cove que tu obres exquesitament am scarificacio en le circuit de tota part de la gingiva e guarda mot la tua fortaleza que no trenques aquela e romangua partida de lu, e retorne sobre le malaute per la malicia que sia majo que la primieyra dolor de lu.	If you perform perfectly excised incisions in the entire circuit of the mouth and pay attention to your strength so as not to cut that part and break off its passage, and return over the illness for the evil that is greater than the first pain of him.
E guarda te que no fassas aquo que fan alscus ignorantz barbiers en lor fistinacio e audacia sobre la eradicacio de lor, ses que no aministran aquo que nos havem recomtat; quar motas veguadas fan venir sobre les homes malautias grans las quals son pus dificils que sian trinquadas, e las razitz de lor remaugudas totas, o alcunas de aquelas, o que extrayguas aquela am alcus osses de la mandigula ayssi cum motas veguadas havem testificat.	And pay attention that you do not do this which the foolish barbers have done in their fixation and audacity about eradicating them, for it is what they have not recommended; for many times they have come upon men with great illnesses which are more difficult to be cured than others, and the reasons of their failure are all those or some of them, or that you extract that bone from the jaw as many times have testified.
E aprop la eradicacio de lu sia lavada la boca am vi caut o vi agre am sal.	And properly cleanse the eradication of it by washing the mouth with vinegar or wine, salt.
E si endeve fluxs de sanc per aysso, ayssi cum motas veguadas endeve, lahoras trissa alcuna quantitat de zegi e aspergeys sobre la plagua, e si no confereys aquel zegi, cauteriza.	And if the flow of pus is coming out for this, just as many times have done so, then pour some quantity of salt and sprinkle it over the wound, and if you do not put that salt, cauterize.
La forma de las forceps e tenalas subtils am las quals es mauguda la dent al comensament sia de longua extramitat, de breu manubre e gros, per so que no sian doblatz quan am aquels deves obrar.	The form of the forceps should be made with handles that are subtle and gentle enough to bend the tooth at the beginning, being long on one side, short on the other, and thick, so that they will not be bent when handling those.
E sian ayssi cum vezes de gros manubre entro que quan estrenhas am aquelas no sian dobladas, sian breus extramitatz.	There are times when a large joint will break in which time you cannot straighten them once they have been broken.
E sian faytas de ferr de India descentment faytas de dreytas extramitatz, e en las extramitatz de aquelas sian dentz de las quals las unas intron en las autras e estrenhan per constriccio descent fort, e alscunas veguadas las extramitatz de aquelas sian la forma del bec d’un auzel le qual ha nom ciconia, so es guanta, e son de fort constriccio.	There are pains of iron from India, descending pains of weight, and in the weights of those there are teeth, some inside each other and tightly joined because of a strong constraint, and sometimes the weights themselves have the shape of a swan's beak, which is called cicatrices, it is said, and they are of great constriction.
Capitol .xxxi.	Chapter XXXI.
De erradicacio de dentz e d‘estraccio dels osses de las mandibulas trincadas.	Of the removal of teeth and extraction of bones from tightly closed jawbones.
Quan deves la eradicacio de dent le qual es trinquat roman alcuna causa, lahoras cove que tu pauses sobre le loc coto am boder per un jorn o per dos entro que·l loc sia mollificat; e aprop entromet algesti o tenalhas las extramitatz de las quals so asembladas al bec de un auzel apelat ciconia o guanta, la forma de las forceps:	When you need to remove a tooth which is tightly closed with no underlying cause, then you should cover that place with earth or soil for one day or two in order to soften the location; and then enter gently or use forceps, the instruments called ciconia or guanta, the shape of the forceps.
Las extramitatz de lor sian faytas dedintz ayssi cum lima o alfagi.	The tips of their instruments are pains like a dentist with a lime or an onion.
E si no obediys a tu a eyssiment am aquestas forceps o tenalas, lahoras cove que tu caves sobre la razit e descrobas tota la carn e entrometas le instrument le qual ha nom atali, so es palanca petita del qual la forma es aquesta:	If you do not obey the patient to take out with forceps or needles, then beware that you cut over the vein and discover all the flesh and insert the instrument which is called a scalpel, for this is a little push from which the shape is as follows:
E sia de breu extremitat grossa un petit, e no sia enbegut per so que no sia trinquat.	It should be of short and thick little extremity, not too blunt so that it may not be pierced.
Donc si per aquo la razit es foro-getada, bo es; e sino, ajuda te am aquestz autres instrument dels quals aquestas son las formas: la forma del primier instrument es de triangulada extramitat en la qual sia alcuna grossesa:	Then if the vein is forgotten, it's alright; but if not, help yourself with these other instruments of which this is one of the forms: The form of the first instrument is a triangular extension where there should be some thickness:
La forma del segon instrument es que sia de triangulada e de pus subtil extremitat.	The form of the second instrument is that it should have a triangular shape and a subtle extension.
E ja so ajudatz am aquest instrument havent dos ramps del qual aquesta es la forma aprop la seguent:	And already help yourself with this instrument having two handles of which this is the form, above the next:
e am autres instrumentz les quals precidero en rasura de dentz; quar juvament es fayt am aquest instrument le qual es asemblat a onci gran, e aquesta es la forma:	and other instruments which will be recommended for shaving of teeth; just made is this one that is assembled like a great horn, and this is the form:
de la triangulada extremitat torta o curta, la qual sia alcuna grossesa, e no sia enbegut per so que no sia trinquat.	of the triangular extension twisted or short, which should be some thickness, and not too blunt so that it may not pierce.
E otra sapias que·ls instrumentz de las dentz motz so e semblantment les autres instruments.	And other you know that the instruments of the mouth are similar to those of the others.
Mays le artifexs savi e subtil en l’art, atroba per si mateys segon aquo que a lu significa la operacio e las malautias diversas; quar son de las malautias a las quals les antics no diysero ni pausero propri instrument, per las formas de diversas specias.	But the skilled craftsmen and subtlety of art are able to discover them for themselves according to what it is that they mean by operation and various diseases; for these are those diseases for which ancient doctors did not know nor pause with a proper instrument, due to their diverse forms.
Mays si es trinquat l’os de la mandibula o dels autres osses de la boca, o si poyreys, lahoras sia pes curat sobre aquel en son loc am aquo que es a lu convenient dels instrumentz e de las forceps las quals havem dit en la extraccio de las razitz de las dentz, e ajuda te am gesti del qual aquesta es la forma:	But if the bone of the jaw or any other bones of the mouth is broken or injured, therefore it is necessary to apply care over that in its place according to what is convenient for the instruments and forceps which have been said to be used in the extraction of teeth, and do this with a gentle gesture such as this:
E sia en lu alcuna grosseza petit a petit, e sia instringida o tenguda am la boca per que no evasesca o fuga entro que l’os de tot sia foro-getat; e aprop restaura le loc am medicinas convenientz ad aquo.	And it should be done slowly, whether it is of large or small size, and if it is tightened or held in the mouth so that it does not escape or get into the teeth while all the bone has been opened; and place the location with medicinal remedies suitable to it.
Mays si en l’os es petita poyredura, lahoras ratz aquel de aquela poyredura e de la sua negror, e cura aquel entro que sia sanat.	But if in the bone there is a small pus, then take out that from the pus and its blackness, and cure it until it becomes healthy.
Capitol .xxxii.	The head of the chapter XXXII.
De la cura de las dentz eminentz sobre las autras.	The treatment of prominent teeth has priority over other treatments.
Quan las dentz so eminentz no segon lor cors natural per aquelas la forma es laga, e majorment quan endeve a las femnas, e majorment a las piuselas venerablas; donc cove que tu consideras: si dent es nada aprop autra dent, e no es possibla sarradura ni linament de lu, lahoras radica aquela; mays que no sia annexa am autra dent, lahoras tu inscideys aquela am aquest instrument del qual aquesta es la forma; e es semblant a morr de porc, e sia feyt de ferr de India de extramitat mot aguda.	When prominent teeth do not follow their natural course due to that form, and especially when they approach the females, and especially the most beautiful ones; therefore consider this: if one tooth is nothing apart from another tooth, and it's not possible to extract or drain it, then cut out that one; but if it is not connected with another tooth, then insert that one into a similar instrument of which that is the form; and it resembles death by pig, and is made of sharp Indian iron.
E sia la tua inscizio am la qual inscideyses aquela en trops dias per la duricia de la dent, e que no sia comauguda autra de las dentz.	And so is the instrument that cuts into which one inserts that one, in three or four days, due to the hardness of the tooth, and not because it's rotten like another tooth.
E si es dent eminent expausat a limadura, lahoras lima aquel am lima de ferr de India del qual aquesta es la forma:	If the prominent tooth is exposed to lime, then polish it with lime of Indian iron, which is this form.
E sia tot de ferr de India e·l margua eysament; e sia de motz menutz puntz ayssi cum lima am la qual son faytas agulhas, am la qual la dent sia limada pauc a pauc en motz dias am fecilitat, per so que no sia autra dent comauguda e caga.	And it is entirely iron from India and mortar alike; and it is a sharp pointy tool like a lime with which there are points that make holes, by which the tooth is polished little by little in few days with ease, so that it's not another rotten tooth.
E aprop lineys aquela en la fi, e ratz aquela am alscus razoris.	And then place that line on the foot, and press it against its corresponding area.
E si es dent del qual una partida es trinquada e lideys la lengua, lahoras cove que tu limescas aquel entro que l’aspretat de aquela fraccio sia ostada e engualhada, e sia aplenada per so que la lengua no ledesca ni la paraula no corrumpa.	If a tooth has been broken and the tongue is bitten off, then cover that cut so that the sharpness of that piece is covered and muffled, and it is filled in so that the tongue does not bleed or corrupt the word.
Capitol .xxxiii.	Chapter xxxiii.
De restauracio de dentz maugudas am fiel de aur o de argent.	On the restoration of canine teeth with gold or silver wire.
Quan accideys a las dentz devant concussio e remossio per percussio o per cazament, e le malaute no pot strenher sobre aquo que manga, e tu has curat aquel am medicinas stipticas, e no ha valgut la tua curacio, lahoras per so que no cagan es engen en aquelas que sian strengudas am fiel de aur e no de argent, quar argent se fa vert e aprop se poyreys aprop alscus dias, mays aur nul temps no es mudat.	When accidents happen to the teeth due to concussion and removal by percussion or crushing, and the patient cannot bear over that which is loose, and you have treated him with stiptic medicines, and it has not been effective, then for so long as this does not heal, place them in a gold wire instead of silver, because silver turns green and will spoil after some days, whereas gold is reliable.
E sia le fiel en tal subtilitat e grocesa segon la quantitat que puesca entrar entre las dentz; e la forma de la reccio es que prenguas le fiel e pren lo doble de lu entre doas dentz sanas, e aprop que cresques am doas tortuositatz del fiel entre doas maugudas, o si’ una o motas, entro que pervengua la tela a la dent sana del autra partida.	And so the wire should be in such subtlety and roughness according to the amount that can enter between the teeth; and the shape of the curve is that you take the wire and place twice its length between two healthy teeth, and wrap it around the two twisted parts of the wire between the two canine teeth, or if there are one or more, until the fabric reaches the healthy tooth on the other side.
E aprop itera le teyssiment entro a la partida de la qual comenciest, e strenh la tua ma am facilitat e savieza entro que no sia mauguda.	Return the intestine or hernia to its cavity, and place your hand over the area to prevent it from coming out.
E sia la tua striccio am la qual strenhas le fiel deves las razitz de las dentz que no evasesca.	And bind your tight belt over which you tie the bow, lest the bowstring of your teeth breaks.
E aprop inscindeys las extramitatz del fiel superfluens am las forceps o tosoyras, e agregua aquelas en quascun loc am gesti, e converteys aquelas e las occulta entre la dent sana e la dent mauguda, per so que no fassa lesio a la lengua.	And remove the unnecessary parts of the belt that extend beyond where you grip it with forceps or tweezers, and add those to any position where you hold them, and convert those into what is concealed between the healthy tooth and the diseased one, so that it does not harm the tongue.
E aprop leyssa aquela ayssi streyta cum roman.	And cut away that straight line with a razor.
Mays si es desliada o rumpuda, strenh aquela o aquelas am autra fiel en tal manieyra en tot son temps.	But if it is pulled or torn, bind that or those with another belt in such a manner for its entire duration.
E aquesta es la forma de las dentz e la figura de la rectacio de doas dentz sanas e de doas maugudas, ayssi cum vezes aquestas liadas:	And this is the form of the teeth and the figure of the correction of two healthy teeth and two diseased ones, as often these are joined:
E quan se fa que retorno una dent o doas aprop le cazement de quascuna en lors locs, e sian recrescutz ayssi cum havem recomtat, e que remauguan.	And when you return one tooth or two back to its cavity in each of its places, and so they grow again like they have been written down, and they heal.
E no fa aquo sino bo artifexs e savi.	And it's done by skilled and wise craftsmen.
E alcunas veguadas es aptat alcuna causa dels osses de vaca, e es fayt de lor ayssi cum forma de dent, e es pausada en loc en le qual defayl la dent, e es strengit ayssi cum havem dit, e reman e serveys am aquel per lonc temps.	And sometimes it is done to replace bones from an ox, made of its bone in the shape of a tooth, and placed in the place where the tooth fails, and strengthened as we said, and remains serviceable for a long time.
Capitol .xxxiv.	Chapter XXXIV.
De inscizio del liament le qual ve en la lengua e prohibeys loquela.	Of the beginning of the paining which is spoken in the language and prohibits speaking.
Aquest liguament le qual ve dejos la lengua alcunas veguadas o es natural am le qual hom nays, o accidental e accideys per plagua la qual ja es consolidada.	This language which allows some patients to speak at times is either natural with which one normally speaks or accidental and occurs when a plague that has already been established comes upon the patient.
E la operacio en lu es que huobres la boca del malaute, le sieu cap existent en le tieu se; e eleva la sieua lengua, e aprop inscideys aquel liament nervos segon la latitut entro que sia solvuda la lengua de la sua recencio.	And the operation in it is that you open the mouth of the patient, the existing cap on the neck falls into the throat; and elevate the tongue, and apply insidious pressure to that painful nerve, as soon as the tongue of its recent onset is solved.
Mays si en aquela es alcuna duricia o denodacio, e aquo es stat per consolidacio de plagua, lahoras tu gieta unci e scindeys aquel per la latitut entro que aias inscindit le liament e sia dissolvuda la nodacio.	But if in that place there is any stiffness or tenderness, and this has been due to the consolidation of the plague, then you apply an ounce and cut it through with the location until you have cut the painful nerve and dissolved the lump.
E guarda te que no sia fayta fissura en le preon de la carn e que scindas aqui arceria e vengua flux de sanc.	Be careful that you do not cause a tear in the skin of the neck and split here the artery and send forth the blood flow.
E aprop sia lavat le vestigi de la inscisio am ayguaros o am vi agre o am aygua frega; e aprop pausa dejos la lengua licini; so es meca la qual tengua le malaute dejos la lengua en quascuna nuoyt per so que no sia consolidat autra veguada.	Propose to clean the vestiges of the incision with vinegar or wine or water, and place your finger inside the tongue; so that this is the means which holds the patient's tongue in such a way that it will not fall again elsewhere.
Mays si accideys flux de sanc, pausa sobre le loc vetriol trissat; mays si le sanc ventz, lahoras cauteriza le loc am cauteri lantiginos le qual conveneys ad aquo.	But if the blood flow occurs, place over the bloody spot thrice; but if the blood goes out, then cauterize the spot with a cauterizing instrument that suits it.
E aprop aquel cura am las autras causas entro que sia sanat.	And consider the cure of the other causes within which healing occurs.
Capitol .xxxv.	Chapter xxxv.
De extraccio de ranula dejos la lengua.	Of the extraction of a ranula from the tongue.
Alcunas veguadas accideys dejos la lengua apostema asemblant a nomla petita prohibent la lengua de la sua operacio natural; e fort leu es magnificada entro que huempla la boca.	There are certain cases where the tongue's appendix accumulates and forms a small nodule that prohibits the tongue from performing its natural function, and it is heavy and magnified so much that it fills the mouth.
E la operacio en lu es que huebras la boca del malaute sesent devant le solel e considera le apostema.	The operation in him is that you will break open the mouth of the ulcer so that it sits in front of the sun and consider the hanging (or dangling) part.
E si tu le vezes de fusca color o de negra, dur, al qual le malaute no atroba sentiment, lahoras no toques aquel quar es cranc.	And if you cover it with a hard skin of either brown or black, so that the ulcer does not feel pain, then do not touch that one which is cracked.
E si es declinat a blancor, en le qual es humiditat, lahoras tu met le onci en lu, e inscideys aquel am spatum subtil, e inscindeys le de tota partida; e si sanc te ventz en la hora de la tua operacio, lahoras tu pausa desus zegi trissat, so es vetriol, entro que sia restreyt le sanc.	And if it is turned to whiteness, in which humidity, then you put the ointment in it, and inscribe with a subtle sponge, and inscribe from the whole part; and if the wound opens in the hour of your operation, then pause above three times, so that it may be wetted, until the wound is closed.
E aprop retorna a la obra tua entro que lo haias trayt am compliment de lu, entro que sia lavat am vi agre e sal; e cura aquel am l’autra curacio ad aquo entro que sia sanat.	And now return to your work until you have treated it with a complement of it, until it is washed with vinegar and salt; and cure it with the other cure there until it is healed.
Capitol .xxxvi.	Chapter XXXVI.
De extraccio de apostema de doas aurelhas e de aquel que es nada en le golayro e de las autras apostemas.	On the extraction of an apothema from two armpits and that which is nothing in the groin, and the other apothemas.
Quan endeveno en le golayro godat, so son glandulas las quals son asembladas algodat, las quals accideysso deforas e son nompnadas doas aurelhas, las quals quan tu las curas am aquo que havem dit en la divisio e no es sanat, lahoras tu considera si le apostema es dur, de fusca color, de pauc sentiment, lahoras no toques aquel am ferr.	When evening comes in the groin area, so are its glands that are assembled like dough, which occur outside and are named two aurelhas, which when you treat it is as has been said in the division, but if not cured, then you consider whether the apostema is hard, of dark color, with little sensation, therefore do not touch that area with iron.
E si es de roga color e la razic es grossa, lahoras no toques aquela am ferr per le flux del sanc; abantz layssa aquel entro sia madurat, e lahoras o tu trauqueras aquel, o sira romput per si.	If it is of red color and the rash is large, then do not touch that area with iron because of the flow of the saint; you should cut it slightly into its maturity, and then either treat it or let it break on its own.
E si es de blanqua color, radon, e la razit de lu es subtil, lahoras aquel es que cove esser inscidit.	If it is of white color, thin, and the rash has a subtle thickness, then that can be supposed to be an incision.
E la operacio en lu es que consideras, denant la tua operacio, si ja ha repausat le apostema de lu caut am repaus complit o si es deminuit am alcuna deminucio; e lahoras fay sezer le malaute denant le soleyl, e·l cap de lu sia en le tieu se, e huebre la boca de lu, e le servidor prenent entre las suas mas prema la lengua de lu dejos am instrument mot noble del qual aquesta es la forma:	And the operation in him is what you consider, before your operation, whether already has repeated the apostema from him with complete treatment or if it has diminished by any diminution; and therefore sew shut the mouth of him, and place his head on your shoulder, and cover his lips, and another servant takes between their hands holding back the tongue of him, with an instrument noble of which this is the form:
E sia fayt de argent o de aram, e sia subtil cum cotel.	It is made of silver or gold, and it is subtle like a needle.
Donc cum tu premes am aquel la lengua e es mostrat a tu la apostema, e catz sobre aquel le tieu vezement, lahoras pren onci e fica aquel en l’amenla, e tira aquel a las partidas defora tant quant podes.	Then with you pressing the tongue against it and showing you the swelling, and cutting over that limb several times, later take one ounce and fix it in the armhole, and pull it out to the parts outside as far as you can.
Otra aquo que tiras alcuna causa de las tunicas, e aprop incideys aquela am instrument del qual aquesta es la forma:	Also where you pull out no cause from the tunics, and place incisions in that with an instrument whose shape is this:
e es asemblat a forceps, empero las extramitatz de lu son corvadas, ayssi que l’orrifici de quascuna de aquelas es en le endreyt del autra, mot agudas, le qual sia de ferr indi enbegut.	and it is assembled like forceps, but the ends of it are curved, so that the opening of each one is in the inner part of the other, sharp, which should be made of iron, half-buried.
Mays si aquest instrument no es a tu present, lahoras inscideys aquel am spatum del qual aquesta es la forma de lu: E sia agut de la una part, no agut del autra part.	But if this instrument is not at your disposal, then place incisions with a spatula whose shape is like this: it should be sharp on one side and blunt on the other side.
E pus que has inscidit una mella, inscideys l’autra segon aquesta meteyssa manieyra de inscizio, e aprop la inscizio le malaute guarguarise de aygua frega	And since you have made an incision, make the other one according to this method of incision, and place the incision with the patient's pus-soaked cloth.
Mays si endeve flux de sanc, guarguarise aygua de decoccio de scorsa de milgrana o de fuelha de mirtra e semblantz ad aquel de las causas stiptiquas entro que·l flux del sanc sia restreyt, e aprop cura aquel entro que sia sanat.	If there is an excessive flow of pus, the treatment involves administering water from decoction of sorrel or myrrh leaves that resemble those of the symptoms in order to restrict the flow of the pus, and apply care until the healing occurs.
E alcunas veguadas naysso en le guolayro autras apostemas otra aquelas doas aurelhas, e inscideys aquelas segon que yeu e dit en la inscizio de doas mellas engualment.	And some have been found in the groin area, other areas near those two aureoles, and incised accordingly as you said in the inscription of two folded membranes.
E yeu ja fu medicat una femna de apostema le qual era nat en le golayro de lu, le qual apostema tendia a color fusca, de pauc sentiment, le qual ja havia claus le golayro de lu, e la femna respirava am meat streyt, e ja havia prohibit a lu comestio e beure de aygua, e ja era pervenguda a la mort si mays agues stat per un dia o per dos.	And I had already treated a woman with an apostema that was present in the groin area of her, which the apostema turned blackish, lacking sensation, which already had closed the groin area of her, and she breathed straight through her mouth, and I had previously prohibited her from eating and drinking water, and if she did not recover within one or two days, she would be on the brink of death.
E l’apostema ja tant havia pugat que havia mezes dos ramps entro que eyssiro per dos traucs.	And the apostema had become so severe that it had measured two fingers' width between the wounds where it was bleeding through two tracks.
Donc yeu me cuytegui fisturalment e fiquegui en un de lor onci, e tiregui aquel, e atirada es de lu gran porcio, e aprop yeu incidigui aquela de on comprendegui del autre trau, e aprop yeu obrigui la boca de lu, e compremegui la sua lengua, e aprop yeu fiquegui le onci en aquela apostema.	Then I took my fistula and stuck myself in one of them, and pulled it out, and removed the large piece from it, and applied that to the other wound, and pressed the mouth of him, and comprehended that of the other track, and then pressed his tongue, and stuck the ounce into the apostema.
E aprop yeu abscizi gran partida de lu, e no corria de lu sino un pauc de sanc.	And place your hand over the surface of the body, and do not move it unless a little bit of cutting is done.
Donc absolut es le guolayro de aquela femna, e comensec tantost beure aygua, e aprop presec vianda, donc yeu no cessegui inscidir de aquela apostema motas vetz per lonc temps, e succesia apostema en loc de aquel, le qual inscizia entro que es prolonguat aquel.	Therefore it is clear that the woman's wound has begun to heal, and immediately begin drinking water, and avoid eating meat, so that you do not continue to cut into that infected area for a long time, but instead an infection will occur in its place, which causes prolonged inflammation.
Donc yeu engen agui e cauterizegui le guolayro de lu, donc astec de addicio; e aprop yeu perambulegui e no saubi que fec Dieus de aquela aprop mi.	So you will apply ointment and cauterize the gout of her, so that she may be freed from its affliction; and therefore walk around it, for I do not know what God has sent upon that place.
Capitol .xxxvii.	Chapter XXXVII.
De inscizio de huvela quan es apostemada.	On the bursting of an abscess when it becomes infected.
Quan catarr deysen a la huvula, e es apostemada e es longa, lahoras ela es nompnada perpendicular; e si es en la partida dejos grossa e redonda, e lahoras ela es apelada buba.	When the head is filled with catarrhea, and it becomes an abscess and it grows, then it is called a puncture; and if it is at the beginning, due to its size and roundness, then it is called a bubon.
Mays quan es curada am aquo que havem dit en la divisio, e no comfereys la tua curacio, e eyssament ja vezes que apostema caut ja es ostat de lu e es subtil, lahoras cove que tu inscidas aquela que es agreguadas redonda; e si es ad aquela longitut, e es sanguina, de fusca color o de negre, e no es a lu centiment, lahoras cove que tu temtes la inscizio de lu, quar en aquela es temor sobre le malaute.	But when it is cured according to what has been said in the division, and you do not confirm your cure, and every time an abscess is cut open, and it is closed up again, then beware that you will cut into a rounded area; and if it is at that length, and it is bloody, of dark color or black, and it does not reach the center, then be cautious that you are cutting into an abscess, for there is fear about the disease.
E quan tu vezes aquela segon la manieyra que yeu he dita de la sua blancor e longuesa, que tu fassas sezer le malaute e premas la lengua de lu am instrument del qual procesic la sua forma e aprop fica le onci en la nuva, e tira aquela en jos e inscideys aquela am un de dos instrumentz les quals e ditz en la inscizio de dos mellas.	When you measure that according to the manner I have instructed you about its whiteness and length, which you will cut out the swelling and press the tongue of it with an instrument of which you process the shape and place it in a new one, and pull that one down and insert it into one of two instruments which you call in the inscription of two bellies.
E cove que no inscidas aquela sino aquo que es ajustat sobre le terme natural ses addicio, quar si tu inscides de lu mays, lediyras le sieu parlar.	But do not insert it into that one but rather fit it over the natural term and its addition, because if you insert more than it should, you will deprive him of his speech.
E aprop la inscizio, usa de aquo le qual havem recomtat en la inscizio de dos mellas, e cura aquela entro que sia sanat.	And place the inscription in that one which is mentioned in the inscription of two bellies, and cure it while it is healing.
Mays si era le malaute espaventat per la inscizio de lu, cove que use de engen en la cauterizacio de lu ses temor, e la manieyra del cauteri en lu no es sino am aygua aguda, e es que tu pauses le cap del malaute en le tieu se, e aprop prem la lengua de lu am le instrument le qual havem dit, e aprop pren de l’aygua la qual havem dita en le capitol de cauterizacio, e comfeys am aquela caus viva, e pausa aquela no spessa ni subtil, e de aquela omple la concavitat de l’estrument del qual aquesta es la forma:	But if it is the swollen gout that has been opened up by the inscription of it, and you use an engine in the cauterization of it its fear, and the manner of the cautery on it is but water sharpness, and it is that you pause the head of the gout in your own hand, and press the tongue of it with the instrument which they have mentioned, and take from it the water which has been said in the chapter of cauterization, and apply it to a living thing, and pause it neither too soon nor too subtle, and fill that cavity with the instrument from which this is its shape:
Sia la extramitat de lu conquavitat en la qual sia pausada la medicina ayssi cum la conquavitat de culher de ray, e pausa le strument am la medicina sobre la vula, e·l malaute jagua sobre le sieu latz per so que corro saliva o musellage de la boca de aquel per la intrinscequa medicina, per so que no deyssenda de aquela deguna causa sobre le golayro de lu e que ledesca aquel.	It is the wound in the cavity where medicine is placed as it is on the chest of a pig, and place the instrument under the medicine on the vulva, and let the disease attach itself to its own skin so that it does not fall off from that particular cause onto the forehead of him, and so that it may be cured.
E aprop te la tua ma am la medicina, e exprem aquela sobre la uvula per l’espazi de miega hora entro que vegas aquela esser denegrada e sedada per la mordicacio de la medicina.	And take hold of the medicine with your hand, and press it on the vulva for the space of one hour into where that may be destroyed and calmed by the biting of the medicine.
E si vols, prengues coto e envolopes aquel sobre la extremitat del ray, e submergeys le coto en la medicina, e entrometas le ray am le coto en una canula de sobre entro que·l coto adheresca en aquela canula, e fay aquo tantas vetz entro que consiegues aquo que vols de la cauterizacio de la uva, e aprop leyssa aquela quar ela se seccara e cayra aprop tres dias o quatre.	If you want, take cloth and wrap it around the part of the wound, and submerge the cloth in the medicine, and introduce the ray into the cloth in a tube so that the cloth adheres to that tube, and do this as many times as you wish until you achieve what you want from the cauterization of the vulva, and place it on the skin for three days or four.
E si indigeysses que iteras la medicina, itera aquela, e aprop la cauterizacio abstergeys en le circuit de la uva am coto enbegut en boder, e mondifica am aquel aquo que es en le circuit de lu de la medicina, e sia lavat am aygua frega, e sia curat deforo am embrocacio, e dedintz am guarguarismes entro que sia sanat.	If you need it again, do that, and introduce the medicine, and place the cauterization outside of the vulva with cloth wrapped around it in a border, and clean up with that water which is in the circuit of the medicine, and wash it with soap, and cure before with embrocation, and disinfect wounds until it heals.
