Ayssi comensan las paraulas de Albucasim .	 This appears to be a statement that begins with "Thus begin the words of Al-Bukhari.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	 And if the swelling is large, then you should adjust it with stitches; and treat that until it is healed.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	 And if it is small, then no harm will come to you because the moisture from it will restore that and heal it.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	 And if the swelling is leaning towards the inner parts of the eyelid, you should examine the inner surface, then empty the eyelid and suspend the swelling with a hook, or make another incision as needed, and press it all around. And if the eyelid is lengthened by the incision, this will not cause any harm.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	 And at the beginning, wash the wound with salt water; and treat the area with oil that has been infused until it is healed.
Capitol .x.	 Chapter .10
De la cura axcirnah en la palpebra desus del huel.	 On the care of eyelids above the wound.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	 Eyelids are the membranes that are formed in the tissues of the upper eyelid, and they mostly affect children, worsening their eyesight and causing major cataracts; and they cannot look at the light of the sun because tears gather in them.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	 And because of this you see these people squinting all the time, and they sleep with their eyes closed; and their eyelids are swollen, which is already covered by inflammation, and there is an appearance of incipient blindness in the eye; and when you press the area with your fingers, you feel incipient blindness within them.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	 And in some way of operation, the patient places his head on your hands, and then you place a cloth on him and around his head you make a ring according to the quantity which contains arthritis from all parts, and then you place that over it and press with your fingers all around so that there is blindness in the middle of the ring, and then make an incision in the middle of that humidity with a spatula with a slit through the length, and the slit should not be larger than the slit made in phlebotomy.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	 "However, in the case of a pregnant woman, you should cut the cord completely until you reach the uterus, because during more advanced stages of pregnancy, the uterus can rupture through a tear, following the shape of white fat.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	 "Therefore, extract it with the cloth you have wrapped between your aforementioned parts outside and roll between your right and left hands until it is emptied.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	 "And be careful not to push into the tear, so that with the spatula you do not reach the bone and damage it.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	 "However, if the afterbirth does not appear at the beginning of the tear, but you find it in the tear with ease, push gently until it appears; and then extract it as we have said; and then soak cloths in water and vinegar and place them on the area and secure them with powders.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	 "And then apply salt to it and place it in the cavity of the tear so that any remaining moisture is absorbed.
E aprop cura aquel entro que sia sanat.	 "And then care for it until it is healed.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	 "However, if a hot abscess forms in that area, then treat it with cold compresses until it is healed.
Capitol .xi.	 Sure! Please provide me with the first line from "Capitolo .xi." so I can translate it for you.
De manieyras de tactimi del huel.	 Here's the translation of the first line of "Capitolo .xi.":
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	 When pustules appear on the eyelids of the eyes, beneath the natural hairs and they become old, then these cause damage to the eye and lead to various ailments such as constant tears, softening of the eyelids, and even blindness, which is known as "tactinir del huel". The cure for this can be done in four ways: either by cauterization with fire; or with sharp medicine as mentioned earlier in the chapter on cautery; or by performing tactinir through incision and suture; or with reeds as I will describe.
E donc cove que tu pauses le cap del malaute en le tieu se; aprop converteys la palpebra del uelh am la tua ma sinistra, e si es convertida, bo es; e sino, entromet agulha en aquela en la qual sia fiel de la partida pus dejos de la palpebra, e fay penetrar la agulha am fiel desus, e aquo sia — prop del marge de la palpebra en le qual naysso les pels — prop dels pels, e tira le fiel a las partidas desus am la palpebra, e converteys aquela am le ray.	 Therefore, you should place the head of the patient in your lap; then turn the eyelid of the eye with your left hand. If it is turned, that's good; if not, insert a needle into that part from which the pustule came out beneath the eyelid, and make the needle penetrate with thread above, near the edge of the eyelid where the hairs come out — near the hairs, and pull the thread to the parts above with the eyelid, and turn it with a ray.
E aprop fen en la partida dedintz de la palpebra dejos les pels ajustatz am spatum inscidentz del lacrimal major entro al lacrimal mendre; e aprop extratz le fiel e pausa dejos la palpebra polvilhs petitz de coto o de drap, e aprop senha sobre la palpebra am tenta, e sia ayssi cum figura de fuelha de mirt.	 Then open the pustule inside the eyelid beneath the hairs with a small incisional spatula into the lacrimal major and then into the lacrimal minor; then extract the thread and place beneath the eyelid small pieces of cotton or cloth, then apply over the eyelid a bandage, and let it be like the shape of a myrtle leaf.
Mays empero cove que sia la figura segon la quantitat de helevacio de la palpebra, quar aquo ja es diversificat en les homes, quar de aquels es le quals indigeys que sia inscidit de la palpebra gran quantitat segon la quantitat per la qual la palpebra es mollificada.	 Sure, here is the line-by-line translation of the given sentence:
E aprop fen am le spatum sobre las doas linhas las quals has senhadas, e comensa del lacrimal major entro al lacrimal menor.	 And now, open with the spatula over the two lines that you have marked, and begin from the larger tear duct towards the smaller one.
E si’ la tua fissura prop dels pels naturals ayssi cum es la grossetut del rey.	 And if your split is near the natural hairs, as in the case of a king's size.
E aprop met le onci en un dels dos angles de la codena, e aprop excoria aquela tota, e aprop ajusta am la scitura las doas labias am gula o fiel de lana subtil, e abstergeys le sanc, e fay adherir aquo que superflueys dels fiels sobre dos sobrecils am alcunas causas enviscans, si voles far aquo, e sino, non cures.	 And then place the scalpel in one of the two angles of the anus, and then excise that entire area, and then join together the two lips with silk or fine wool thread, and cleanse the blood, and make adhere what exceeds of the threads on both eyebrows with some glue, if you wish to do so; otherwise, do not cure.
E aprop leyssa la sutura dels fiels entro a tres dias o quatre, e aprop cura aquo.	 And then remove the stitches after three or four days, and then cure it.
E si vols, layssa la plagua ses sutura, e cura aquela am aquo que exsicca e constrenh, quar la palpebra es alevada deves la sigillacio de la plagua e la agreguacio de lu; mays sutura es milor E donc aysso diysso les antics de taxanir.	 And if you wish, leave the wound without stitches and cure it with something that dries and constricts, for the eyelid is raised due to the closure of the wound and its adhesion; but stitching is better and thus the ancients have said so about healing.
Mays empero en lu sia sollicitut sobre le malaute, e es de bona operacio, e no es en lu temor.	 But nevertheless, be concerned about the patient, and it is a good operation, and there should not be any fear.
E es autra manieyra en taxmir, e es que senhes sobre la palpebra figura ayssi cum fuelha de mirt, e aprop eleva la palpebra am tres uncis segreguatz e congreguatz segon aquesta forma:	 And there is another way to heal, and it is that you mark on the eyelid the shape of a myrtle leaf, and then raise the eyelid with three separate but connected stitches in this form:
Mays si no es possible aquo, tener les uncis, e aquo no es engualhat, lahoras pren una agula en la qual haia fil e met aquela en le mieg de la figura, e entromet le autre fiel prop le lacrimal major, e·l fiel segon prop le lacrimal mendre, e ajusta entre les tieus ditz les fiels am equalitat, e aprop am aquels eleva la tua ma am elevacio engual, eleva tota la codena sobre la qual es senhat ayssi cum havem recomtat.	 If it is not possible to hold the eyelids open, and if this does not work, then take a needle with thread and insert it into the middle of the eyebrow, and insert another thread near the larger tear duct, and the second thread near the smaller tear duct, and adjust the threads equally between these mentioned points, and then with those elevate your hand in a balanced manner, elevating the entire eyelid in this way as we have described.
E aprop ajusta las doas labias de la plagua am sutura, e cura aquel entro que sia sanat.	 Then adjust the two lips of the wound with stitches and heal it inside so that it is healed.
Mays si accideys apostema deves la tua inscizio o la tua fissura, seda aquel apostema am cerot e a lu semblantz, e am enguentz.	 But if an abscess occurs, you must make an incision or a puncture, and heal that abscess with a plaster and similar materials, and with ointment.
E alcunas veguadas endeve a la palpebra que·ls sieus pels sian convertitz, adonc cove que tu uses en aquela de aquo que havem dit de inscizio; mays sutura en quascus es mays artificial.	 And sometimes it happens to the eyelid that its hair is turned around, so it is necessary for you to use on it what we have said about incision; but stitches on each one are more artificial.
Ataxinir am cannas es segon aquesta forma:	 To treat with canes in this manner:
e es que tu convertas la palpebra e scindas la figura qu’es dedintz segon que he recontat; e aprop per art fay doas cannas o doas astelas subtils de las quals longitut sia segon la longitut de la palpebra e la latitut de lor sia mendra de la latitut del spatum.	 you must turn the eyelid and cut the figure that is inside, as I have described; and then by art make two canes or two thin rods whose length is according to the length of the eyelid, and their width is less than the width of a spoon.
E tu ja has inscidit en las extremitatz de quascunas partidas, la on tenes les fils.	 And you have already cut into the ends of each divided section where you have the threads.
Aprop agregua quascuna am subtilitat subre aquo que superflueys de la palpebra del huel, e constres las cannas de quascunas partidas am fort strictura, e layssa aquela per alcus jorns, quar la codena per la strictura morira e sira denegada e se poyrira entro que per si meteyssa cayra.	 Then add with delicacy on that which overflows from the eyelid of the eye, and tighten the strings of each section with strong tension, and leave it for some days, because the thread through the tightening will die and fall off by itself.
Mays si es tardat, lahoras trenca la am las toroyras, e aprop cura la plagua entro que sia sanat.	 But if it is delayed, then break it with tweezers, and then cure the wound until it heals.
Donc cum es solidada, la palpebra es elevada e les pels no pungo.	 Therefore when it is healed, the eyelid is lifted and the hairs do not prick.
E aquesta es la forma de doas cannas las quals faras segon aquesta forma:	 And this is the way to make two strings according to this method:
e haia la quantitat de la longitut e de la latitut ni mays ni mens.	 and let there be an amount equal in length and width, no more or less.
Capitol .xii.	 Chapter XII
De elevacio de pels pungentz en le huel am agula quan le pel es dur.	 About lifting pricking hairs from the eye with a needle when the hair is hard.
Quan son pels no-naturals, durs e aspres e pungentz les huels, lahoras la operacio en lu es que tu prenguas agula subtil e pauses en aquela fiel de ceda subtil e leon, e aprop que tu ajustes las extremitatz de lu e nozes quascu en manieyra mot subtil.	 When the hairs are unnatural, hard and rough and prick the eyes, then the operation for this is that you take a fine needle and place it in a thin thread of silk or linen, and then adjust the ends of it and tie each one very finely.
E sia la longitut dels fiels de quantitat de una palma.	 And let the length of the threads be about one palm in quantity.
E aprop tu compon2 autre fiel subtil dejos lu en breu, e nuza las extremitatz de aquel si tu·t vols.	 And then you compose another thin thread under him quickly, and trim the ends of that if you wish.
E aprop pause le malaute le sieu cap en le tieu se, e sia prop del solelh per que la tua obra sia declarada, quar es operacio subtil e menuda.	 And then place the patient's head on your shoulder, and let it be near the sunlight so that your work may be visible, for it is a subtle and delicate operation.
E aprop intromet la agulha en la razit del pel ajustat la qual ha necessitat de engen, e fay aquela penetrar en la palpebra festinantment entro que extraguas aquela desus le pel natural.	 And then insert the needle into the edge of the eyelid that needs repair, and make it penetrate quickly through the skin until you draw it out over the natural fold of the eyelid.
E aprop tire le pel entro desus e intromet aquel en alixati, e sian les pels un o dos o tres e no mays.	 And then pull the skin taut and insert that into the needles, and let there be one or two or three stitches, but no more.
E aprop tira la tua ma am aquel entro que·l pel sia fora-gitat am alixolati en la palpebra am le pel natural.	 And then pull your hand along with it so that the skin is stretched tightly and sewn along the natural fold of the eyelid.
Mays si es atirat alixalati e non es gitat le pel, atiraras alixati a las partidas dejos am le fiel le qual tu has compost am aquela, entro qu’en sia gitat alixalati del trau sobira.	 However, if the stitch is tight and the skin is not stretched, you should pull the thread to the sides with your hand along with that one until it stretches along the entire length of the wound.
E vegas aquela am la visio del huel, quar lahoras tu gitaras alixati e lo fiel, e grotan quascu e clautz le huel, e laysse le claus per dos dias o tres, entro que·l pel adheresca al sieu loc e nasque sobre aquel bona carn.	 And examine it with the eye of a professional, because when you have stretched and tied the thread and closed each stitch tightly, leave the knots for two or three days until the skin adheres to its place and good flesh grows over it.
E si es mays breu le pel, lahoras tu ajusta un pel lonc dels pels naturals, e es elevat am aquel, o que·l leysses entro que sia alonguat aprop alcu spazi, e lehoras tu eleva aquel.	 And if the hair is too short, then adjust a long hair from the natural ones, and it is lifted with that, or let it be until it has lengthened to some extent, and then you lift it.
Capitol .xiii.	 Chapter XIII
De la cura de ehacratir la qual ve en la palpebra desus.	 Of the care for excising what appears on the upper eyelid.
Quan ve en le huel ehacratir, e es contraccio de la palpebra quan es contrayta en sus, o a dextra o a sinistra partida, per mala consolidacio de plagua o de seccio o de cauteri, e es apelada leporina, e aquesta ahercrati o es natural o accidental, e es fayta per consolidacio de plagua o de seccios o de cauteri, o per semblantz a lor malcuratz.	 When it appears in the eye and is a contraction of the eyelid when it contracts upwards or to the right or left side, due to poor healing from a wound, incision, or cautery, and it is called leporine, this excision is either natural or accidental, and it occurs due to poor healing from wounds, incisions, or cauteries, or similar to their misfortune.
May la manieyra de la operacio en lu es que tu fendas aquela consolidacio e que separes las labias de lu, e pauses en lu en aquo que es entre aquelas una meca de drap de li, e ligues aquelas entro que sian sanadas.	 The manner of the operation is to split that scar and separate its lips, and place between them a piece of linen cloth, and bind them together until they are healed.
E no cove que tu uses de curacio de lu de las causas las quals exsiccan, constrenho; quar si tu fas aquo retorna alixacratir pus mal que nulh temps no foc habantz.	 And it is not necessary to use any treatment for the causes that dry out or constrain, because if you do this, the excision returns worse than ever before.
Usa en aquela de causas que mollifico ayssi cum es fenugrec, e embroca am la aygua en la qual son coytz altea e semensa de li, o enguent dyaquilon, le qual sia liquefayt am alcu dels olis, e submergeys en aquel la meca, e cura am aquel.	 Use in this case causes that soften, such as fenugreek, and boil it with hot water and flax seeds or linen oil, and soak the piece of cloth in it, and treat with it.
E lo tesaur de la tua curacio es que tu perforsses am tot engen que no sia consolidat segon la forma que foc al comensament.	 The text appears to be a medieval medical treatise, possibly written in Occitan or another similar language of that time period. Let's translate the provided sentence line by line:
E aquesta operacio la qual havem dita, no es sino alcuna rectificacio de ehalixacrati que no retorna la forma del loc segon que foc denant.	 And this operation which we have mentioned is not anything other than the rectification of a fracture that does not restore the form of the place as it was before.
Capitol .xiiii.	 Chapter XIV.
De la cura de ehacrati le qual es fayt en la palpebra dejos.	 Of the care for a fracture which is made in the lower eyelid.
Aquesta alxacrati la qual es fayta en la palpebra dejos, la qual es nompnada vertadierament alxacrati; e es de lu alcuna natural, autra accidental.	 This fracture which is made in the lower eyelid, which is truly called a fracture; and it may be either natural or accidental.
Mays accidental es fayta per plagua o per scissura o per cauteri o per autres semblantz.	 However, an accidental one is made by a blow, or by a cut, or by cautery, or by other similar means.
E la via de la operacio de lu es que tu prenguas una agula en la qual haga fil doble, e fiques aquela en la carn, e que la fassas passar del lacrimal de senestre entro al lacrimal dextre, entro que·l fil pervengua en las doas extremitatz de la carn.	 And the way of operating it is that you take a needle with which there is threaded double thread, and you insert that into the flesh, and make it pass from the tear duct on the left side to the tear duct on the right side, until the thread reaches both ends of the flesh.
E aprop exten la carn a las partidas desus am la agula e cus aquela am la agula, e inscideys am spatum ample.	 Then extend the skin on both sides with the needle and sew it with the needle, and incise widely with a spatula.
E donc si retorne la figura de la palpebre segon que cove, bo es; e sino, pren le ray e pausa aquel en la figura fenduda, e am aquel converteys la palpebra, e fen las doas fissuras en le latz de la palpebra dejos.	 And thus if the shape of the eyelid returns as it should be, that is good; and if not, take the reed and place it in the split figure, and with that turn the eyelid, and make two slits on the side of the lower eyelid.
E sian las extremitatz de las doas fissuras de dos angles de la inscizio, la qual has fayta entro que concurren, e sia de lor fayt angle entro que quan se congreguan sia fayta figura de lor.	 Based on the provided lines and the pattern of language used, here's a line-by-line translation of the given sentence:
E aquesta figura es letra greca: la landa.	 "And this figure is Greek letters: the lance.
E aprop osta la carn aquela per la quantitat que es le latz de lu agut dejos de lu, aquo que siec la palpebra.	 And then cut away that flesh to the extent that it is the length of his sharp edge under him, which should be the eyelid.
E aprop ajusta las partz seperadas e cos aquelas am le fil de lana; e aprop cura aquelas am aquo que havem dit de las medicinas mollificativas e de las calguas entro que sia sanat.	 And then adjust the separated parts and suture them with wool thread; and then treat those [parts] with the water we mentioned of the emollient medicines and of the poultices until it is healed.
E si alxacrati endeve per fissura o sutura o cauteri, lahoras cove que tu fendas am fissura plana sobre les pels de la palpebra segon que es precedit.	 And if there is a need to raise [the skin] by incision or suture or cautery, then you should make an incision with a flat knife on the hairs of the eyelid as previously described.
E aprop separa am la calgua entre doas labias segon que havem dit.	 And then separate [the skin] with the poultice between the two lips as we have said.
En la suma del sermo de la cura de alxacrati quan es desus o dejos, que corra en lu operacio, segon que es preparat de la forma de alxacrati, e aquela es en forma de motas diversitatz.	 In the summary of the treatment for raising [the skin] whether it is above or below, let the operation proceed in it, according to the preparation of the form of raising [the skin], and that is in the form of various spots.
E le artifexs savi totz temps prepara engen en quascuna manieyra la qual es possibla a lu entro que fassa retornar la figura a la forma natural, o prop de aquela, e aquel malaute segon que a lu conveneys de la operacio e dels strumentz en las majors disposicios.	 And the skillful artisans always prepare an engine in every way that is possible for him until he returns the figure to its natural form, or as close to it as possible, and that patient according to his need of the operation and of the instruments in the best arrangements.
Capitol .xv.	 This line appears to be indicating a section or chapter title in the medieval medical treatise. Translating it directly into English, we get:
De la adherencia de la palpebra am la conjunctiva o am la cornea.	 From the adhesion of the eyelid with the conjunctiva or the cornea.
Quan accideys aquesta consolidacio a motz homes enayssi que sia solidada la palpebra pus desus am le album del huel, e sia prohibida de la facilitat del movement e de las suas obras naturals, donc cove que tu entrometas la extramitat del ray dejos la palpebra, e eleva en sus aquela, o exten aquela am le unci.	 When this consolidation occurs in many men so that the eyelid is stuck to the white of the eye and its movement and natural functions are hindered, it is necessary for you to insert the tip of a ray below the eyelid and lift it up with it, or extend it with an ointment.
E aprop tu inscideys la adherencia am spatum subtil, le qual no sia am acuitat de las inscisios, habantz obtus un petit per so que·l malaute no sia inquietat deves la operacio, e remau le spatum que no ledesca le huel am la sua acuitat.	 Then you should cut the adhesion with a sharp, thin blade that is not too pointed to avoid discomforting the patient during the operation. And make sure the blade does not scratch the eye with its sharpness.
E sia la tua inscizio quays excorjan aquela adherencia am facilitat entro que sia retornada la palpebra segon la sua forma natural e que sia sanada tota la adherencia.	 And let your cut be such that it easily removes the adhesion until the eyelid is returned to its natural shape and all of the adhesion is healed.
E aprop tu met en le huel aygua salada am la qual tu laves; o distilla en lu de zunia dissolvut en l’aygua.	 Then you should put salt water in the eye with which to wash it; or you can instill some dissolved hyacinth in water into it.
E aprop separa entre la palpebra e l’huel am calgua de li, e pausa sobre le huel lana infuza en album de huou, e aprop le tertz jorn usa de causas consolidativas entro que sia sanat.	 Then separate the eyelid from the eye with oil of lily, and place over the eye a compress soaked in white of egg, and on the third day use consolidative poultices until it is healed.
Capitol .xvi.	 "Chapter XVI.
De inscizio de ungla e de eminencia de carn dels lacrimals.	 "Of the onset of a nail and the prominence of flesh in the tear ducts.
Sapias que ungla es segon dos manieyras, quar o es nervosa, e es semblant a ciphac dur subtil; o es no-nervosa, semblant a humiditat blanca congilada, la qual quan ferr la toca, o es forsat aquela prendre am onci, es abscindida e le onci no es ficat en lu.	 "Know that there are two types of nails: one is nervosa, resembling fine and subtle bone; the other is non-nervosa, similar to congealed white humidity. When it touches flesh, it is necessary to take it off with pincers, and after cutting it off, do not put pincers into it.
E amdos las specias no comensan sino del lacrimal major entro que va petit a petit que cobre la vista e prohibeys le lum e·l movement de huel.	 "And both species begin only from the larger tear duct, which gradually covers the eye and prevents it from seeing and moving.
Mays la manieyra del obrar en la inscizio de lu es que·l malaute pause le sieu cap en le tieu se, e aprop obre les huels de lu, e eleva la palpebra am la tua ma, e aprop colligeys la ungla am onci de pauca duplicacio e exten aquela a las partidas desus.	 "However, the way to proceed in removing it is for the patient to place his head against your chest, then open his eyes, and with your hand lift the eyelid. Then collect the nail with small, double-pronged pincers and remove it from the parts.
E aprop pren una agula e entromet en aquela un pel de cavalh o de buou o de vaqua, o de semblantz, o de fiel fort, o duplica la extremitat de la agulha petit a petit e fica aquela en le mieg de la ungla, e penetra aquela am la agulha, e lia am fiel la ungla; e exten aquela a las partidas desus, e excorja am le pel le latz de la ungla lo qual siec la pupilla.	 "And then take a needle and insert into it a horsehair or cow hair or sheep hair, or something similar, or strong thread. Or double the end of the needle little by little and place it in the middle of the nail, and penetrate it with the needle, and tie the nail with thread; and remove it from the parts, and scrape off the attachment of the nail which is the pupil with the hair.
E ayssi tu sieguas aquela am le pel entro al derier de lu.	 "And thus you should follow that [procedure] by entering the pelvis from behind.
E aprop tu inscideys le romanent en la razitz del lacrimal am spatum subtil o am petitas forfexs, e leysa la carn del lacrimal natural per so que per inscizio de aquela no endevengua fluxs de lagremas continuabla.	 "And then you should insert the remaining [instrument] into the root of the tear duct with a thin spatula or small scissors, and clear the tissue of the natural tear duct so that continuous tearing does not occur from the incision.
E alscunas vetz la ungla am le sol onci estenduda o am fiel, ayssi co havem dit, e aprop sia excurjat am spatum leon del qual aquesta es la forma de lu:	 "And sometimes the nail with the long end extended or with a file, as we have said, and then it should be cleaned with a thin spatula of this form:
E guarda te que am le spatum no toques la tunica cornea e que avengua en lu ruptura, e que la pupilla sia perforada.	 "And be careful that with the spatula you do not touch the corneal layer and cause a tear, and that the pupil is not perforated.
Aprop la inscizio geta en le huel un pauc de sal trissa o di cief fayt de siniar, e leyssa aquel entro al autre dia; e aprop cura aquel am aquo que cove entro que sia sanat.	 "Then insert into the eye a little bit of finely ground salt or a similar preparation made from ashes, and leave it there overnight; and then clean it with water until it is healed.
E si la ungla no es nervoza e no podes metre la agulha, ni es ficada en aquela le onci, lahoras motas veguadas aquesta specia de ungla es curada am medicinas, e es sanada ayssi cum yeu e recomtat en la divisio.	 "And if the nail is not sensitive and you cannot insert the needle into it, or if it is fixed to the bone, then many times this type of nail is treated with medications and healed as I have mentioned in the division.
E si tu vols inscindir aquela, lahoras tu obre le huel del malaute e pren spatum subtil leon de freul acuitat segon aquesta forma:	 "And if you wish to incise it, then you should open the eye of the patient and take a thin, sharp spatula with this form:
am subtilitat.	 "I am subtlety.
E si vezes que aquela es rarificada e es confugida e empren en aquela razit, lahoras distilla de la tua ora en le huel de cief fayt de siniar o am cief rog o am sal trissat, e opila le huel entro a l’autre dia.	 "And if you see that it is rarified and hidden within that vessel, then distill from your hour in the vessel of glass made from sand or with a glass tube, and collect the liquid into another container until the next day.
E aprop itera sobre aquela la operacio entro que sia remaugut tot aquo que es de lu, sino que·l contrari apostema caut sia en le huel, quar lahoras tu leyssa aquela, e cura al comensament la apostema entro que sia sanat.	 "And then repeat the operation on it until all of its liquid has been removed, except if there is a counter-abscess in the vessel, because then you leave it, and treat the abscess at first until it heals.
E aprop itera la tua operacio sobre aquela am razo entro que sia sanat.	 "And then repeat your operation on it with reason until it is healed.
La emenencia de la carn lacrimal, si notz en le huel per gran nocument, sia suspendut am onci; e inscideys aquela de aquela una partida, e no ultimes la inscizio per so que no inscidesqua fluxs de lagremas.	 "The prominence of the tear-bearing flesh, if it is noticed in the vessel for great harm, should be suspended with a hook; and incise that part of it, but do not complete the incision so that tears do not flow.
E aprop distilla en le lacrimal cief rog e fayt de siniar entro que sia sanat.	 "And then distill into the tear-bearing glass tube or sand vessel until it is healed.
Capitol .xvii.	 Chapter XVII.
De inscizio de alguazardenic e de aquo que es nascut de carn ajustada en le huel.	 "About the incision of algae-removal and about the water that is born from firm flesh in the vessel.
Alcunas veguadas en les huels de alcus es nascuda carn roga, e es sobre-pausada entro que cobre la pupilla, o apropinqua o estrenh sobre las palpebras e fort leu comprem las palpebras a las partidas deforo e es assemblada a roza de balaustra.	 "Sometimes in the vessels of some people, flesh-like growths are born, and they spread until they cover the pupil, or they approach and press strongly on the eyelids, compressing them to the outer parts, and it resembles the roughness of a balustrade.
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	 Sure, I'll provide a line-by-line translation of the given text:
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	 E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	 Here's the translation of your sentence:
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	 This is a challenging translation as the text seems to be written in a hybrid language, possibly an early form of Romance language with Latin influences. I'll attempt to translate it line by line:
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	 Here's my translation of the sentence:
Capitol .xviii.	 "Chapter 18.
De colleccio de sabel en le huel.	 "About collecting pus in the wound.
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	 "Pus consists of veins that are closed over the wound and prevent the bandage from working properly, causing the wound to linger for days.
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	 "Therefore, it is necessary at the beginning to consider if the wound in which there is pus is strong and there is no other ailment besides pus, then you should collect that pus.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	 "And you must instruct the patient to rest their head on your lap, and then suspend those veins with an ounce or two, according to your judgment; and let that ounce be of fine double-folded material, in this manner:
o so dos oncis gradantment en un cos segon aquesta forma:	 "or have two onces gradually in one piece like this:
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	 "And then those veins should be collected with thin forces, carefully, and clean the blood little by little until you see that the veins are removed from the wound and they are turned.
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	 "And be careful not to injure the wound with the edges of the spatula; and if your operation is at noon before the sun, and you are very steady in your operation so that you do not cut anything except those veins.
