Ayssi comensan las paraulas de Albucasim .	 Here begins the treatise of Al-Bucasis.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	 And do this for each affected area until you have treated all such areas on the body.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	 Then care for those pustules whose root hairs have been eradicated with the waters of ointments that stimulate flesh growth.
Capitol .liiii.	 Chapter 3
De cauterizacio de tremor.	 On the Cauterization of Tremors.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	 When someone experiences tremors due to nerve damage or fever of the same cause, or for a similar reason, it is necessary that you cauterize them with four cauteries or five on the vertebrae of the back, one between each vertebra; and with cautery on their feet, and on their stomach, using olive oil cautery.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	 And the tremor will subside, hastening the healing of the diseased condition.
Capitol .lv.	 Chapter 50.
De cauterizacio de albati accidentz al cors.	 On the cauterization of white (leukoderma) lesions on the body.
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	 When white spots appear on the body and become pustules or cracks formed from thick, corrupt materials, it is necessary at the beginning of their appearance to cauterize over each lesion with a subtle cautery made of myrtle stalk, the tip of which is extended with fire; or with a long surgical needle; or with a lenticular cautery.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	 And sometimes it is necessary to cauterize these lesions at the beginning of their emergence in this manner; and they are not aggravated, and the excess causing them is dispersed, and they heal from them.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	 However, it is necessary to do this after bloodletting.
Capitol lvi.	 Capitulo LVI.
De cauterizacio de fluex de sanc accident per incisio de arceria.	 De la cauterización del flujo de sangre causado por un corte con un arco.
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	 Here's a line-by-line translation of the given text:
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	 When this happens to someone, then you take the arrow with your hand at the opening of the wound, and press over it with your thumb until the flow of blood stops under your thumb, and it does not come out.
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	 Then place in the fire the olive-wood cauteries, both small and large, by the count of twelve, and blow on them until they are all ignited.
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	 Then take one of them, either small or large, according to the location and the wound where the artery has been cut; quickly apply it to that vein after you have removed your thumb, and hold the cautery until the blood is sealed and constrained.
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	 And if the blood is still coming out of the artery's opening when you remove your thumb and take out the cautery, then take another cautery carefully from those that have been prepared in the fire, and continue doing this with one after another until the bleeding is stopped.
E guarda te que no comburas le nervi que aqui es, e que vengua sobre le malaute autra malicia.	 And be careful not to burn the nerve that is here, lest another ailment come upon the patient.
E sapias que quan de l’arteria flueys sanc, lahoras no es possible en aquels restrenge la sanc, e majorment quan l’arteria es gran, si no am una de quatre manieyras: o am cauteri ayssi quo dit havem, o am extraccio quan no es extrayta, quar quan es extrayta las extremitatz de lu miels son comburidas e es restreyt le sanc, o que sia liat am fiel o am liament per fort strectura, o que sian pausadas sobre lu medicinas de las quals la vertut es restringir la sanc; e sian strengudas am pulvinar am costriccio decent.	 Know that when blood flows from the artery, it is not possible to stop the bleeding in those cases, especially when the artery is large, unless by one of four methods: either by cautery as we have said, or by extraction if it has not been extracted, for when it has been extracted, its extremities are burnt and the blood is stopped. Or let it be tied with thread or a ligature by strong pressure, or medicines should be applied to them which have the virtue of constricting the blood; and they should be strengthened with a cushion by decent compression.
Mays aquel que aministra restriccio decent de lu am liament e am strictura am draps o per posicio de causas comburentz e de semblantz, no comfereys sino tart.	 It seems like you're trying to translate a medieval medical text. Here's my attempt at translating the given sentence:
Mays si aquo endeve ad alcu e no sia le metge present ni medicina, lahoras obre am pausament del dit indic sobre le orrifici de aquela vena ayssi cum havem dit, e entenda a la gran costreccio de lu entro que le sanc sia ostat de la sobirana partida de la plagua, e sobre la arceria le dit no sia remaugut; e de sobre la arceria sia aspergit am aygua frega de mot gran fregiditat entro que·l sanc sia congilat e engrossat; e mays cossire en que ha de cauteri o de medicina necessitat.	 Here's a line-by-line translation of the given text:
Comensa la segonda partida.	 Based on the pattern you've provided, I would translate "Comensa la segonda partida" as:
De incisio e perforacio e ventozas e de fleubotomia e de plaguas e de lor semblants.	 Of cutting and piercing and cupping and of phlebotomy and of wounds and their likenesses.
Aquestas son paraulas de Albucazis.	 These are the words of Al-Zahrawi.
Ja havem dit en le primier capitol tota malautia en la qual cauteri am foc es convenient e am medicina comburent, e las occasios e las causas de lu, e les instrumentz en aquels necessaris am las formas dels cauteris; e he ordenatz les capitols de la subiranetat del cap entro als pes.	 We have already said in the first chapter everything about illnesses in which it is appropriate to use a hot iron or cautery and combustible medicine, and the occasions and causes of this, and the instruments necessary for it with the shapes of the cauteries; and I have ordered the chapters from the superior part of the head down to the feet.
E yeu procesire en aquest capitol per aquela meteysa guisa, per que sia alliujat lo querent aquo, lahoras sobre aquo que aura demandat.	 And I will proceed in this chapter in the same way, so that the seeker may find relief for what he has asked about.
E denant que yeu comense aquo, cove, fils, que aprenguatz que en aquest capitol es per terror aquo que es en le capitol primier de cauterizacio.	 And before I begin this, it is important, my son, that you learn that in this chapter, it is about the second part of what was in the first chapter on cautery.
E per aquo que cove que sia en lu gran cautela, quar en la operacio la qual es en aquest capitol motas veguadas catz evacuacio la qual es am sanc am le qual esta la vida deves la aspersio de la vena o incisio sobre l’apostema o apercio de exsitura o puracio de la plagua o extraccio de sageta o incizio de peyra e a lor semblantz.	 And because it is necessary to have great caution in this, since in the operations which are frequently carried out in this chapter, which involve evacuation with blood (which contains life), you must be careful not to pierce a vein or make an incision on an abscess or open an ulcer or clean a wound or extract an arrowhead or remove a stone and similar procedures.
E de totz aquels so acompanhatz temor e tremor e en le mas de lor catz la mort.	 And of all those is accompanied by fear and trembling, and in most cases death.
E yeu amonesti vos que sobre vos no caia aquo en le qual es esitacio, quar alcunas veguadas cazo deves vos manieyras de homes am manieyras motas de malautias.	 And I warn you that this should not happen to you, for sometimes a person with mild symptoms may have many serious illnesses.
E de lor es alcu que s’irays am la sua malautia e es leugiera deves lu la mort, e aysso per la vehemensia de aquo que troba de sa malautia, e per longuesa de la malautia de lu, e am la malautia es paor la qual significa mort.	 And of them there are some who will go away with their illness and it will be light for him, the death, because of the severity of what he finds in his illness, and because of the length of his illness, and with the illness is fear which signifies death.
E de aquels es le qual dona a tu son aver e ditta, tu esperant am aquel sanetat, e la sieua malautia es perniciosa.	 And among them is one who gives you his possessions and goods, for whom you are waiting in good health; but his illness is pernicious.
E donc no cove que tu consentas en aquel que ve a vos del qual es aquesta manieyra; e la vostra cautela sia major que covesitat e la vostra rapacitat; e no presumatz alcuna causa sobre aquo sino aprop sciencia certa la qual virifica aquo deves vos, e al qual perve successio lausabla.	 Therefore, it is not wise to agree with someone who comes to you in this manner; and your caution should be greater than your generosity and greed; do not assume any cause without proven knowledge that confirms what is best for you, and to whom a praiseworthy succession will come.
E usatz en la curacio de totz vostres malautes de pronosticacio e indicacio de lu al qual es salut convertida, quar en aquel es a vos ajutori sobre adquisicio de fama e de memoria, de lausor e de gloria.	 And use in the care of all your sick patients prognosis and diagnosis to guide you towards health, for in that lies your help in gaining fame, memory, praise, and glory.
O, filhs, Dieus en vos spire le sieu entendement e no oste a vos direccio e proteccio, quar aquo es en la sua ma.	 "Oh, children, may God inspire in you his understanding and not remove your direction and protection, for that is in his hands.
E yeu e ordenat aquest capitol distingent per capitols segon que precedit en le capitol de cauteris, de la cura del cap entro als pes, per que sia a vos alleujat aquo que demandatz de aquo e del qual havetz necessitat.	 "And I have organized this chapter, distinguishing it into sections following the previous chapter on cautery, from the care of the head to the feet, so that what you ask for and need may be made easier for you.
Capitol primier.	 "First Chapter.
De la curacio de aygua la qual es contenguda en le cap dels enfantz.	 "On the treatment of water contained in a child's head.
Sapias que aquesta malautia motas veguadas endeve als enfantz deves le enfantament e quan la noyrissa estrenh le cap del enfant ses livitat.	 "Know that this illness, which is often seen in children, comes from birth and when the nurse tightly holds the child's head without loosening it.
E alcunas veguadas endeve per causa amaguada la qual no es saubuda.	 "And sometimes it happens due to an unknown cause that is not understood.
Mays yeu no vi aquesta malautia sino en les enfantz; e a totz aquels les quals yeu vi se coytec la mort, e per ayssi es a mi vist layssada obra en aquels.	 "However, I have only seen this illness in children; and in all of those whom I have seen, death has followed, and thus it seems to me that their fate is sealed.
E yeu e vist que un enfant le cap del qual era d’aygua omplit, e·l cap de lu era totjorn ayssi magnificat entro que ceser no podia sobre si meteys per la grandesa del sieu cap, e mays que la humiditat fe aucmentada entro que foc mort.	 "And I have seen that a child whose head was full of water had their head continually enlarged until they could not bear themselves because of the size of their head, and moreover, the moisture increased until death by fire.
E aquesta humiditat o es agreguada entre la codena e l’os, o es agreguada dejos le os sobre le ciphac.	 And this moisture is accumulated either between the tendon and the bone or beneath the bone on the hip.
Quar la operacio en aquel si la humiditat es entre la codena e l’os e le apostema es pauc, lahoras cove que tu fendas en le mieg loc del cap am una fissura en la latitut, e sia la longitut de la fissura cays dos notz entro que corra la humiditat, e aquesta es la forma del spatum:	 Because the operation in that case, if the moisture is between the tendon and the bone and the abscess is small, it is necessary for you to cut in the middle of the head with a slit in the length, and let the length of the slit be two nights until the moisture runs out, and this is the form of the spatula.
E donc si la humiditat es mays augmentada e l’apostema es major, lahoras son aqui dos fissuras segon aquesta manieyra:	 And therefore if the moisture is more abundant and the abscess is larger, then there are two slits in this manner:
E si la humiditat es dejos le os, senhal de lu es que tu vezes la comissuras del cap ubertas de tota partida e l’aygua es spremuda quan tu compremes aquela am la tieua ma a las partidas dedintz e no es aquo a tu amaguat.	 And if the moisture is beneath the bone, the sign of it is that you see the commissures of the head open on all sides and the water is pressed out when you press it with your hand from within and nothing is hidden from you.
Cove que tu fendas en le mieg loc del cap am tres fissuras segon aquesta manieyra:	 It is necessary for you to cut in the middle of the head with three slits in this manner:
e aprop la inscizio extratz ne tota la humiditat; e aprop strenh las fissuras am draps e plumassols; e aprop enbroca aquo de sobre am vi e oli entro al quint dia, e aprop deslia le liament e cura la plagua am tentas e enguentz, e strenh le cap am equalitat; e mange le malaute am vianda secca de pauca humiditat entro que·l membre sia confortat e sanat.	 And then extract all the moisture at the incision; and then strengthen the slits with cloths and plasters; and then pour water on it from above with wine and oil for five days, and then remove the bandages and treat the wound with compresses and ointments, and bind the head evenly; and let the patient eat dry food of little moisture until the limb is comforted and healed.
E es autra manieyra de incisio, que consideras hon apar la magnitut del apostema e la colleccio de l’aygua, quar alcunas veguadas es mays en le occipicii, o en la partida denant, o en la destra, o en la sinistra; e donc aten am la incizio on appar le apostema e la replecio de l’aygua, e fen aquo segon que a tu es miels possible.	 And there is another way of making an incision, which considers where the abscess appears and the collection of water, because sometimes it is more in the occipital region, or in the frontal area, or on the right side, or on the left side; therefore, you should make the incision where the abscess and the water collection appear, and do so as best as possible.
Et observa que no inscindas la arteria e endevengua flueys de sanc e mora le malaute per aquel flux de sanc am evacuacio de humiditat.	 And observe that you do not cut the artery, lest blood flow out and cause the patient to die from loss of blood and moisture.
Capitol .ii.	 Chapter II
De inscisio de las arterias las quals so aprop las aurelhas, apeladas hilasseysse.	 On the incision of the arteries near the ears, known as temporal arteries.
Capitol segon.	 Chapter Two
Quan endeveno ad alcu catars o raumas als huelhs o al pietz, e es antiquat aquo, e no confereys en aquo la curacio de las medicinas, lahoras la deriera curacio en aquest es incizio de aquelas dos arterias.	 When there is some catarrh or pain in the eyes or feet, and it is persistent and does not respond to medication, then the final treatment for this is the incision of those two arteries.
E donc cove quan tu vols inscidir aquelas que le malaute raza lo sieu cap, e aprop fregua le loc am drap aspre per so que aparan las arcerias, e aprop sia strengut le col del malaute am alcu drap; e aprop considera on polsa la vena; e les locs de quascuna sobre les locs les quals so aprop las aurelhas depremutz, e tant se occultan sino en alcus homes.	 Therefore, when you want to incise those [arteries], the patient should raise their head and you should rub the area with rough cloth until the arteries are visible. Then tighten the patient's neck with some cloth; consider where the vein pulses, and on each side of the temples near the ears, press firmly until they disappear in some people.
E aprop senha sobre la arceria am tenta, e aprop inscideys quascuna am le spatum de quascuna partida agut am inscizio pervenient entro al os, e sia aquo per la latitut del cap.	 And then you should sign on the bowstring with a marker, and then make an incision in each [place?] with the sharp end of each blade, so that it penetrates into the bone, and this should be done according to the width of the head.
E si vols, entromet le spatum dejos la arteria e trenqua aquala a las inciden a las partidas desus.	 And if you wish, insert the blade under the artery and cut it at the incisions on top of the areas [affected].
E sia la longitut de la inscizio cays dos ditz ajustatz, quar quan alcuna vena es inscizida le sanc es eyssit am egressio pulsatil, le qual saut deforo per saut frequent.	 And let the length of the incision be equal to two fingers' breadths, because when a vein is cut, blood exits with pulsating ejection, which jumps out frequently with each jump.
Mays si la arceria no apareys al cintiment, lahoras cove que tu mesures de la aurelha la quantitat del spazi de tres ditz, e aprop senha am tenta, e fen entro al os.	 But if the bowstring does not appear at the incision, then you should measure from the ear the quantity of space equal to three fingers, and then sign with a marker, and go into the bone.
E aquo que cove getar del sanc es quantitat de vi unc., e fort leu ne geta de lu mays o mens, e tot aquo es segon la quantitat la qual appareys de la vertut del malaute e de la replecio de la arceria de lu.	 And the amount of blood that should be removed is one-sixth of a measure, and it should be removed from him more or less, and all this is according to the quantity that appears from the strength of the patient and the fullness of his bowstring.
E aprop considera la plagua, e donc si reman sobre le os alcuna causa del ciphac, lahoras inscindys aquo per so que no endevengua apostema caut.	 And then consider the wound, and therefore if something remains on the bone that looks like a chip, then incise it so that it does not become an infected abscess.
E aprop strenh la plagua am plumassols e am liamentz de drap de li, e aprop cura aquela am enguentz entro que sia sanat.	 And then strengthen the wound with bandages and cloth bindings of linen, and then care for it with ointments until it is healed.
Capitol .iii.	 Chapter 3:
De extraccio de las arcerias las quals so en las templas.	 On the removal of arrowheads that are in the temples.
Quan ad alcu accideys emigranea antiqua o catertz agutz, per humiditatz agrimonials e per qualiditat en les lacertz des templas, o sodo antiqua vehement e semblantz ad aquels, e es medicat am las manieyras de curacio de medicina e aquo no comfereys, lahoras nos hem sproatz en aquestas malautias extraccio de las arcerias en les templas, o cauterizacio de aquelas ayssi cum havem mostrat.	 When someone suffers from an ancient or acute migraine due to moisture and quality in the temples of the head, or a very intense old swelling similar to these, and it is not cured with the usual medical treatments, then we use in these cases the removal of arrowheads from the temples, or cauterization as we have shown.
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	 And the way to perform this operation and removal is that the patient shaves the hair from their temples; and direct your attention to the apparent arrowhead in the temple because it is shown to you by its own pulse, and it is hidden except in a few people due to intense cold.
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	 And if it is hidden from you, then strengthen the patient's neck with some cloth; and then rub the area with a rough cloth or evaporate the area with hot water until the arrowhead appears clearly to you.
E lahoras tu pren le spatum del qual aquesta es la forma:	 And then you take the spatula which has this form:
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	 And then you strip the ligament with that instrument until you reach the artery; and then pour oil on it and extract it from the superior parts until you remove it from the ligament and discover it from under the tunics, from every side.
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	 But if the artery is thin, then wrap it with the tip of the instrument, and then cut off a piece according to the length by which its extremities are lengthened and narrowed, and there will be no blood flow, because if they are not cut off, the blood will not rise completely.
E aprop evacua del sanc de vi unc. entro a tres.	 And then evacuate some blood, one to three times.
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	 And if the artery is large, then you should tie it in two places with a double strong silk thread or long cords, and do not cut off the putrefaction before the healing of the wound so that there will be blood flow.
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	 And then you cut the excess which is between two ligaments; and do this at that time or about another hour later.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	 And if you wish, cauterize it with a cautery to the bone with a scalpel cautery until its extremities are cut, and it will remain in place for that same work.
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	 And it is better that the patient has fever or is of inflamed complexion; because cautery is among those causes that help the drying humors, and therefore it is better in assistance.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	 And it is necessary to remove the arrowheads that have lodged in the ancient parts of the body, and then place them on cleanly made pillows, and then treat with dry medicines so that the flesh grows and bandages until it heals.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	 And if during this operation there is bleeding from the arrow wound, then quickly use cautery or apply something to stop the bleeding, and hold it firmly until the bleeding stops.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	 And if none of these causes is present, then place your finger on the wound until the blood clots, and rinse the wound with very cold water until the pain subsides, and bandage it as necessary.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	 And this is easier for the removal of an arrow: you should cauterize the vein with this double-edged cautery, having first tested both spots with a probe, and then place each, very hot, until it reaches the bone and cuts the vein in two places, so that what is between them is lengthened, because they are not completely healed by this cautery. ➤
E aquesta es la forma del cauteri:	 And this is the form of the cautery:
E sia la acuitat dels dos cotels esemps.	 And it should be the sharpness of two identical needles.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	 However, if they have less sharpness than two needles, it is better, because if they are as sharp as two needles, you may cut the flesh too quickly.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	 Therefore, since in those (instruments) there is some thickness, the heat of the fire is retained within them and the flesh is cut more gently.
E aquesta obra es milhor en tota obra e pus leugiera.	 And this work is better for all works and lighter too.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	 And let the space be between two needles the quantity of the thickness of a finger.
Capitol quart.	 Chapter Four.
De la cura de cors de lagremas agudas e aciduas dels huels.	 On the care for bodies with sharp and acid tears from the eyes.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	 When the tears are acidic, and it is the body of those veins which are on the forehead outside the head, and there is no reason to apply any medical treatment in this case, sometimes the face of the patient becomes red, and they feel a crawling sensation on their forehead as if it were ants walking, and the eyes of such patients become exhausted and wet to the point that their eyelashes are stuck together, and the eyelids are scratched by the sharpness of the tears. The ancients used to treat this condition with surgery, and they called this treatment "spassa.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	 And it is that you order the patient to shave the hairs that are on their forehead, and then make three equally spaced incisions in the forehead according to the length of the forehead.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	 And if the length of the incision is two digits: let the first incision be equally distant to the length of the nose in the middle of the forehead, and the second according to the length a little from the movement of the eyelids that are on the lacrimal gland, and the third on the other side.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	 And beware of the incisions of the arteries that are in two places, and extend your hand from the continuation of both jaws.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	 And if the space of each incision is three digits wide.
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	 And if you have a sponge or very dry cloth with which to dry the blood.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	 Then insert the spatula of two pointed ends, and this is how its incision will be:
que es de la partida des templas entro a la segonda inscizio.	 which begins at the temples and goes to the second incision.
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	 Then draw back with it all the skin that is between the two incisions up to the bone on top of which it lies, and then do this from the middle incision down to the second incision.
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	 And then approach this space and insert into the first incision another time an additional instrument, which is called a scalpel, sharp on one side and not sharp on the other.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	 And place the edge of that sharp instrument against the flesh next to the vein, and the other edge into the bone, and use this to reach the urethral fissure, and cut with it all the vessels that descend from the head to the heels.
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	 But let the incision continue until it reaches the vein, and then make this in the urethral fissure into another fissure.
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	 And after a quantity of blood has flowed out, squeeze the places of the frozen blood clots.
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	 Then place in each incision a piece of old cotton cloth, and place on those poultices soaked in wine and oil and vinegar, and see that it does not become an abscess cautiously.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	 And on the third day, remove the bandages and administer a large infusion of hot water or tea, and then treat it with an ointment made from basil, rose oil, and others until the wounds are healed.
Capitol .v.	 Chapter V
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	 "On the care of tears through catharsis and the flow from the inner parts of the head.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	 "When someone has sharp and persistent catharsis, and the eyes of the patient are sometimes exhausted to the point of being small, and their attention is weakened, and the eyelids have ulcers with hair loss, and there is a sharp pain in the front of the head with consequent outflow, then you should know that these substances and catharsis come from small veins originating from within.
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	 "And the best cure for this is as follows: command the patient to shave their forehead, and then make an incision in the middle of it, a small one in length (and begin with the left temple incision towards the right; and let the incision go into the bone; and extend your hand from the temples' sides which are good for chewing), until the bone is exposed.
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	 "Dry all the blood with a sponge or dry cloth, and then fill between the two lips of the incision with old cloth or linen bandages.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	 "And then secure it on top with powder mixed in wine and oil, so that it does not become a cautious abscess.
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	 This text seems to be describing the care for an ulcer or wound where pus (apostema) has already started to form and reduce. Here's a line-by-line translation:
Capitol .vi.	 Chapter VI
De la cura de aquo que catz en las aurelhas.	 Of the care of those who have cataracts in the ears.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	 Every cause that affects the ears is one of four kinds, for it can be a mineral substance such as stone or something similar to stone, like iron and glass, or it can be from a plant such as sesame or bean, or it can be a fluid substance such as water and vinegar or their likenesses, or some animal.
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	 Therefore, when a stone or another cause similar to those mentioned above affects the ear and does not fit or grow in the ear, place the ear toward the sun, and if you see the stone, then drip onto it some oil of violets or sesame, and administer the extraction of it, and make the person sneeze with condiments, and open the nostrils for the occurrence of sneezing.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	 Then place around the edge of the ear some weights made of cloth or wool, and extend the ear to its original position above, because many times it has been expelled by these means.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	 And if it is not expelled, then administer the extraction of it with an instrument called "gesti epicicarios subtil," which has this form:
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	 And if it is forgotten with a gesture, good; and if not, then administer the extraction of it with a subtle ounce, repeated twice.
