Ayssi comensan las paraulas de Albucasim .	And here is the translation of the given line:
Quan endeve excitura o apostema en le fietge e voles saber si aquel apostema es en le carn del fietge o en la tunica de lu, lahoras si es en la carn del fietge, le malaute atrobo gravitat e dolor ses acuitat.	When there is an excrescence or abscess in the liver and you want to know if that abscess is in the flesh of the liver or in its membrane, then if it is in the flesh of the liver, the patient will experience heaviness and pain which is intensified.
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	And if it is in the membrane of the liver, then the pain is greatly intensified and often even exhausts the doctors' efforts to cure it.
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	Therefore, the patient should be turned over on their back; then examine the site of the abscess with a probe; then heat the cautery which is shaped like a rod, the form of which was described on the previous page.
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	And cauterize with that cautery until all the pus is drained, until it reaches the core, until it no longer discharges pus.
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	Then treat it in the same way as other abscesses until it is healed.
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	And this form of cautery should only be used by those whose study in the art of medicine is extensive, and who have knowledge of many illnesses; however, one might sometimes dare to attempt this operation with experience, but it is better to leave it to those who are skilled.
Capitol .xxix.	Capitol .xxix.
De cauterizacio de plauresi.	From the text provided and the structure of the language used, it seems like an old form of Romance languages mixed with medieval medical terminology. The phrase "De cauterizacio de plauresi" can be broken down as follows:
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor,
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	And then submerge it in oil and dry it by the fire; then cauterize with a cautery at that place which is between the continuation of the collarbone and the neck; and with two small cauters guide them, slightly inclining towards the part below the beard; and with two cauters on that which declines between the fifth rib and the spine, slightly inclined to the parts behind; and with another cautery in the middle of the foot; and with another over the stomach, and with three cauters at the parts behind; and with one cautery at that place which is between the two shoulders, and with two cauters on each side of the foot, placing the cautery which is between both shoulders.
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	And you do not need to hold the cautery with your hand, but rather apply it at the site of the wound itself.
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	And the ancients have also said that some people use an iron cautery resembling a ray and heat it, then apply it to the area between the ribs, until they reach the abscess and the pus is evacuated, just as we have described for the abscess of the liver.
Mays en aquesta perforacio am cauteri no es ses temor, quar hu mor tantost ho accideys en le loc fistula a la qual no es sanacio.	And in this perforation with cautery there is no fear, for one dies as soon as you intervene at the site of the fistula which cannot be healed.
Capitol .xxx.	The text provided seems to be in a medieval Romance language with similarities to Latin, Italian, Spanish, and French. However, the line you've asked for translation is simply "Capitul .xxx." which appears to be indicating the beginning of chapter 30 (".xxx" being Roman numerals for thirty). 
De la cauterizacio de la melsa.	Regarding the cauterization of the tonsils. 
Quan tu curas la malautia de la melsa am aquo que havem dit de la curacio en la divisio e no confereys la tua curacio, lahoras cauteri en lu es segon tres manieras, las quals totas son dreyturieras, de las quals la una es que fassas tres cauteris o quatre linhan segon la longitut de la melsa segon la figura dels cauteris del fietge, la figura dels quals ha precedit.	When you treat the disease of the armpit with what we have said about treatment in the division and if your treatment does not achieve results, then cauterize it according to three methods, all of which are correct. One of these is to make three or four linear cauteries along the length of the armpit according to the shape of the cautery for fat, the shape of which has preceded [been previously described].
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	And there should be the thickness of a finger or a little more between each cautery, and the method of the cautery should be the method we have mentioned for fat cauterization as well.
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	And do not move your hand during the cautery; and the patient should be lying on their back.
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	And another method of cauterization is to burn the cautery very intensely, the cause of which we have mentioned in the chapter on muscle dislocation, and lift the chain that is along the armpit towards the side where the patient lies on their left side.
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And let your elevation, with which you lift the chain, be according to the length of the body, so that cauteries are made according to the width of the body.
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	And then insert the two burning cauterizing agents into that area where you penetrate with them from one side to the other.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	And then remove the cautery; and thus four cauteries are made.
E si voys, cauteriza am cauteri havent tres vernimentz.	And if you want, cauterize with a cautery having three vents.
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	And then you treat the cautery after it has stopped bleeding for several days, because it is more convenient than other preceding causes in the treatment. 
Capitol .xxxi.	Capitol .xxxi.
De cauterizacio de ydropici.	From the cautery of dropsy.
Cauteri no catz en ydropici sino en alcinte3 propriament.	Cauteri no catz en ydropici sino en alcinte3 propriament.
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you treat the dropsical with the methods of cure which we have mentioned in the division and do not achieve your treatment, then it is necessary to cauterize using four cauteries around the navel and one cautery on the stomach, and another cautery on the spleen, and another cautery on the liver, and two cauteries between the vertebrae of the back, and a cautery at the center of the foot, and another cautery on the stomach.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	And the depth of the cautery should be determined according to the sharpness of the instrument.
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	Then leave the cautery open so that it burns for a long time.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	And do not evacuate the patient from treatment immediately after the cautery because it is necessary for two intentions to be added to it, and thus it will quickly aid in their recovery.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The shape of the cautery with which the abdomen is cauterized should be claw-like, according to the previously described form, and the shape of the cautery with which the back is cauterized should be olive-shaped, according to its previously described form.
Capitol .xxxii.	Capitol .xxxii.
De cauterizacio de pes e de las coyssas.	Of cautery of feet and of the thighs.
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the feet are inflamed with dropsy and filled with watery fluid, you should cauterize the feet on the sole of the foot near what is between the thumb and the little finger, lift your hand with the cautery without twisting it; then raise your hand, but do not completely return it, because the watery fluid subsides.
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	The cautery should be in this form: Then make two cauteries on both thighs, and on each thigh a cautery should be made with the blade end of the knife-shaped cautery.
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	And the cautery should be according to the length of the thigh: place one at the top and the other at the middle of the thigh; and on each thigh, two cauteries.
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	And leave the wound open for a long time so that some water may drain from it.
E aprop cura le am aquelas causas las quals havem ditas.	Then treat it with those causes which we have mentioned.
Capitol .xxxiii.	Chapter XXXIII.
De cauterizacio de cos de ventre.	Of the cautery of the abdominal area.
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	When the abdominal area is weakened by cold and moisture that debilitate its functions, those being digestive and retentive which are in the stomach and intestines, it should be treated with curative methods and not through confusion, and sometimes patients may suffer from a cautery to exhibit strength, then you should cauterize that area with a large cautery on their stomach according to the previous cautery of the stomach, using a circular cautery and four small subtle cauteries around the navel, with a subtle claw-shaped cautery; and also use a cautery on the alcatin over aloes gran, or with two cauteries. 
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	And if you remove the excessive humidity and the patient tolerates it, then cauterize that on the penis and on the intestines, and strongly apply two cauteries over the stomach and near the groin, for this is a perfectly effective cure which cannot be wrong.
Capitol .xxxiv.	Capitol .xxxiv.
De cauterizacio de emorroydas antiquas.	Of the cauterization of old hemorrhoids.
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	When it is in the nature of old hemorrhoids or one of thick humors infiltrating or corrupted humidities, and they are treated with what we have said in the division and you do not agree with your own treatment, then cauterize with three cauteries on the pus near the lower spine and small triangular area, and with a cautery above the navel by two fingers.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	And if you suspect that the stomach of the patient is chilled and their food is not digested, and their face sometimes becomes inflamed, then cauterize that area over the stomach with a large cautery as previously indicated; and with one cautery on the spleen, and another cautery on their liver with a claw-shaped cautery, and leave the cautery open for some time, and then treat them internally so that they may be healed.
Capitol .xxxv.	Chapter XXXV.
De cauterizacio de atheyl aprop la abscizio de lor.	On the cauterization of the throat near the removal of them (the tonsils).
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you cut away the tonsils, then heat the cautery that resembles a ray.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	And introduce that fire into the severed artery, and finally place your hand inside so that the cautery reaches the opening of the vein from which the blood comes.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And do this once or twice, for if they are too many [points], then cauterize each of them as we have recounted, and afterwards treat those with whatever ointment you deem appropriate until it is healed.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	And if you cauterize with a large cautery over an ulcer, it is more delayed in healing.
Capitol .xxxvi.	The given text appears to be in an archaic or constructed language that has elements of Latin, Italian, Spanish, and French. The term "Capitol" followed by ".xxxvi." seems like it might indicate a chapter number (Chapter 36). Here is my attempt at translating this particular line:
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	Of the cautery of fistulas that are formed naturally in the regions of the body.
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When nature does not obey the treatment we have recommended for it, and the patient is frightened by this, they should be treated with cautery.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	When someone has an old fistula in the natural posterior region, and it discharges pus and corrupted moisture, what is most appropriate to do is to probe it with a fine needle, and then determine the depth of it with the aforementioned needle.
Aprop igneys le cauteri que es semblant a ray.	Then heat the cautery that resembles a ray.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	Then apply the heated cautery to this fistula according to the depth measured by the probe.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	And repeat the cautery on that area until those corrupted tissues are thoroughly burned, once or two or three times, according to the extent of your need.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	And be careful not to burn the nerves and veins; or if the fistula extends to the body of the bladder or the intestines, be cautious around all those areas; do not do this unless the fistula is in a fleshy area and you think it is not penetrating deeply.
E aprop cura le loc entro que sia sanat.	And then treat the area so that it may heal.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	And if the area is sealed, and its materials are cut off from it, and remains this way for a long time, then you know that it is entirely cured.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	And if the materials are not removed from it, then you know that they are penetrating either into the marrow of the corrupted bone or that this comes from those causes which will lead to a recurrence in its place.
Capitol .xxxvii.	Chapter XXXVII.
De cauterizacio dels ronhos.	On the cauterization of hemorrhoids.
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When hemorrhoids cause pain due to cold or excessive wind (gas), and because of this, the sitting of the patient is hindered, then it is necessary to cauterize those areas over the hemorrhoids with a cautery, applying a nail-shaped cautery specifically to each hemorrhoid to prevent recurrence.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And strongly cauterize them with the second one slightly apart, so that three linear cauteries will result, and thus they will be more effective in healing.
Capitol .xxxviii.	Capitol .xxxviii.
De cauterizacio de la vesica.	Of the cautery of the bladder.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When you encounter a bladder that is weakened and softened by cold and moisture to the point where the patient cannot retain urine, then cauterize it in the part just below the bladder, where the pubic hair begins. Cauterize with one cautery on the right side, and with another on the left side of it.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	And the length of each cautery should be according to the number of stones in the bladder; cauterize that with a cautery on the lower part of the back, or with two cauters if necessary.
E sia cauteri clavilh segon que es procesit.	And let the cautery be in the shape of a clamp according to how it is processed. 
Capitol .xxxix.	The line "Capitol .xxxix." appears to be an indication of a chapter or section number in Roman numerals. In English, this can be translated as:
De cauterizacio de la mayra.	Of the cauterization of the thigh.
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	When cold and humidity come to the thigh, and for this reason impregnation is prohibited, and the menstrual flow of women is corrupted, and the provocation of it is delayed, and pain occurs due to the retention of it, then the area must be cauterized with three cauteries around the navel, as we have said in the cauterization of the bladder; and with a cautery on the most affected side, or with two cauteries, and let the cautery be like a claw.
Capitol .xl.	Chapter XL.
De cauterizacio de la dislocacio de l’anqua.	On the cauterization of the dislocation of the ankle.
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	When cold and moist humors are infused into the area of the ankle, and they cause it to slip out of its proper place, a sign of this is that one leg appears longer than the other when compared.
E le loc de la dislocacio es atrobat en lu quays boyt.	And the site of the dislocation is identified where there is pain.
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	Then it is necessary to cauterize the patient on the area of the ankle with a circular cautery, after you have marked the site with your finger around the dislocated area as it has turned, and in such a way that the dislocation falls at the center of the circle.
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	And here is the translation of the given line:
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	And if this cautery is not available to you, then cauterize that area with three olive-sized large cauteries.
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	And let the cautery be performed according to the extent of the spread throughout the entire chain; then treat that which needs healing within.
Capitol .xli.	It appears you've provided a chapter or section heading, "Capitul .xli.", which translates to "Chapter XLII" in English, assuming the Roman numeral ".xli." refers to 41 and is followed by the next sequential number. If this is part of a larger text or if you need further assistance with translation or context related to this chapter heading, feel free to ask!
De cauterizacio de la vena sciatica.	On the cautery of the sciatic vein.
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	When pain comes to the upper part of the body and is caused by cold and moisture, the patient is treated with what we have said and do not add anything else, for this is outdated. Now you must purge the patient of thick humors with foul pills or artificial pills or similar ones; then cauterize that area.
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	And the method of cautery in this case is according to two methods: either cautery with burning medicines, or cautery with fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	It is done according to two known methods, one of which is to cauterize that area on the broad part of it with three triangular cauteries in this form; and make a good depth with those.
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	And the space between each cautery should be the quantity of the thickness of a finger, and the cautery should be olive or grain-shaped.
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	Sometimes the cautery should be placed directly on the top of the ankle, making four cauteries in total.
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	And if you wish, cauterize with a circle, which precedes the form in the cautery of the dislocation of the ankle, where the circle should contain and burn the entire length of the tendon.
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	And this is the method of cautery for gout when pain is attached to the ankle and does not extend into the thigh.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	But if the pain extends into the thigh, then cauterize it with two cauteries on the thigh at the location where you ask the patient where the pain is; and with one cautery on the calf, about four fingers away from the outer part.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	And if the cautery is knife-like, and the depth of the cautery should be according to the degree of protrusion of the chain.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	And if the patient tells you that the pain is spreading around the area near the toes of the feet, then cauterize that area where they indicate with a cautery using three points or four or more if needed from there.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	And if the patient tells you that the pain is moving from the knee to the thigh, then cauterize that area with a blade-shaped cautery.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	And be careful in all cauterizations that you do not use the cautery so much that you burn nerves or major arteries, and by this means, you do not harm the patient or cause contraction.
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	And I have seen some who cauterized on the ankle and continued the cauterization so excessively that the burning heat swelled until it reached the foot, and the fire penetrated and corrupted the entire foot.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	Then a strong discharge from the stomach occurs, and as a result, death may follow.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	And if the pain is in two separate parts, cauterize each one according to this method.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	And the wise ones said thus in the cauterization with this type of cautery, of which this is the method: make a circle of iron whose circumference is half a palm; and its hole should be as wide as a date bone or slightly less.
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	And within that circle there is another third; and the space between them is the width of a thumb; and those circles are opened from both sides; and the length of those rods is one or two thumbs, and make on those edges of iron decently arranged in the circles; and this is the form of it:
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	And it should be ignited in the fire until it reddens and sparks, and then it should be placed on the affected area of the ankle, with the patient lying on their side.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	And therefore, cauterize that area with three round cauteries at once.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	Then leave that for three days; then treat that with a plaster and leave the wound open for several days; then cure that with ointments until it is healed.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Diet of Albucasis: oh, sons, we have rarely used this kind of cautery due to the fear of its appearance, and because few have found it worth looking into.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	However, for those who have suffered well from it, apply it to the affected area with that cautery.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	However, for cauterization with adhering medicines, you should make two circles using a perforated armula similar to the keyhole of an iron door; let the length of the walls be such that they are about two nuts or keys in size.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	And if the space between each of these is equal to the thickness of a finger; and they should be placed below and above, and they should contain each other in this form:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	And then place your hand over the area of the ankle while the patient is lying on their side, and press your hand firmly on the part of the ankle; then take warm water and pour it between two circles, and the quality of that should be close to a small fire little by little, and keep that for about an hour, and the patient must endure the burning and adjustment — for this treatment causes such burning as if from fire — until the burning subsides.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	And then lift your hand with the instrument and clean the entire ankle with warm water.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	And then let that rest for three days and place something over it until the blackness from the burning is gone, and leave it like that for several more days, and pus will flow out of it; this is the final stage of healing.
E aprop cura aquel am enguentz entro que sia sanat.	And then treat that with ointments until it is healed.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	And if the pain spreads to the thigh or the abdomen, apply the same treatment as was done for the ankle, ensuring it contains water accordingly.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	And this is the method of hot water, and I have already written about it in the treatise on the rectification of medicines.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Take an equal part of alkali and unextinguished wood ash, mix them together, and place the mixture in a new bowl, one part of which should be pierced with a small hole according to the amount that can fit inside. 
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	And place the bottom of the wound over another inflamed ulcer, and pour on it an alkaline substance and hot water that covers them to a finger's depth, and then compress them with your hand for good compression, and let the sharp water that flows from it descend into the part of the inflamed ulcer.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	And then mix all that water, and pour it over another living cause and another renewed alkaline, because at that time it will have strong acidity, which is administered in many medical operations and in the cauterization of other members, as this operation is done with fire.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	And among some of the medicines with which a broad cautery is performed, thus as with sulfur and honey and soap mixed in this way.
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	And Gualia recounts of an ancient man's operation and cure with which pain in the ankle and sciatic vein is treated, and he greatly praises that method, saying that no other cure is necessary, and that one is healed by doing it once as recommended, for he puts that joint in a bath and is already free from that.
