Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucaсим.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	And it is that fresh vetch should be taken, and if vetch is not found, a recent fig should be taken; and it should be crushed with a little grease and placed on the ankle where there is pain, or on the thigh, or on the chest, and it should be bandaged.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	And it should be left for a quantity of three hours or for the amount of time that the patient feels relief from the adjustment.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	And then place him in a bath and when his body is warmed, immerse him in the sun, for the pain ceases and he is healed.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	And know that it is not necessary for anyone to use cautery with these medicines until the body is purged.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	But Escorides says that when the vein is cauterized with a goat's horn, it greatly benefits him; and the cautery should be applied in this second manner: wool should be soaked in old oil and placed between the toes of the foot and the stone.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	And then take dried goat's horn and ignite it with fire until it turns into charcoal; then place it on the wool and heat it until it spreads.
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	And then repeat this process, and do not stop until the sting of the bite reaches the ankle and the pain is relieved.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	And this method of cautery is called cattle cautery.
Capitol .xlii.	Chapter XLII.
De cauterizacio de dolor de dos.	From the cautery of foot pain.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Here is the translation of the given sentence:
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	And cautery is only applied in this single condition which is caused by an effusion of cold matter.
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	Therefore, after evacuating the patient with fitting pills and similar ones, which are made on the back where the pain is, three lines according to the width of it, using ten cauteries or more in each line, depending on the tolerance of the patient and their strength.
E sia fayta cauterizacio am cauteri de punt.	And the cautery should be done with a pointed cautery.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	And if you want, cauterize with three or four cauteries using a median claw-shaped cautery in the following manner:
Capitol .xliii.	Chapter XLIII.
De cauterizacio al comensament de gilbositat.	On cautery at the onset of rheumatism.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	This disease often appears in small children; and the sign of its onset in children is that it affects their structure, causing elevation and movement in the eyes. 
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	And you will find in the lowermost vertebra of the spine and of the bones of the tail that it begins to protrude over the other vertebrae.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	And therefore when you see this and wish to prevent it, then cauterize that area with a circular cautery according to this form:
que prengua le cauteri sobre tota partida del spondilh engualment.	and apply the cautery evenly over all parts of the vertebra.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	And if you wish, cauterize around the circumference of the vertebra with a pointed cautery, making two lines or three.
E sian les puntz propdas entre lor.	And let the points be close to each other.
E aprop cura le loc entro que sia sanat am aquo que havem dit.	Then treat the area until it heals using the methods we have described.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	But be careful not to apply the cautery in cases of swelling caused by nerve spasms.
Capitol .xliv.	Chapter XLIV.
De cauterizacio de podagra e de dolor de juncturas.	On the cautery treatment for gout and joint pain.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	And therefore when gout caused by cold is treated with a method of cure and the pains are not alleviated, then they should be treated with cautery.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	And it is that you cauterize that area near the evacuation in the circle of the joint of the foot with multiple cauteries.
E sia cauteri olivar del qual aquesta es la forma de lu:	And it is an olive-shaped cautery, of which this is the form:
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	And if the pain rises into the tendons or other joints, and this often happens, then cauterize each tendon with three or four cauteries all around using this olive-shaped cautery.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	And if more cauteries than these are necessary for you, then cauterize accordingly but do not press your hand too hard with the cautery beforehand; just enough around the size of a chain link.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	And if the pain rises into the tendon and bone, then apply the cautery that we have described in its chapter.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	And if the pain is in the hands alone, and it is called suagra (possibly referring to a type of swelling or arthritis), then puncture around the fingers as they curve, along those two lines.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	And if the pain remains in the hands, then puncture around the fingers on each knuckle and along the palm of the hand.
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	And if the pains approach after several days in the joints or muscles, then cauterize them all around with the help of instruments.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	And do not evacuate the patient without proper treatment and reception of medicines, for if good treatment is administered and phlegm is evacuated with this cautery, they will be healed, God helps.
Capitol .xlv.	Capitol .xlv.
De cauterizacio de rompeduras.	Of the cauterization of wounds.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	When there is a wound in the knee area and the intestines are protruding before the hernia at the groin, and this condition begins to worsen, then you must order the patient to leave their food for that day and use laxative causes so that the waste leaves from their abdomen.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	Then hold the patient between your hands on their back, and command them to keep their leg inside until it is healed or the hernia or intestines no longer appear. 
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	And then return it with your fingers and carefully examine the rupture over the bone of the ankle, marking the end which should resemble half of a circle on the lower parts of the body.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	And then heat the cautery of which this is the form:
entro que sia mot rog e gete cintilhas.	Until it becomes red hot and gives off sparks.
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	Then return the intestine or hernia to its cavity, and then place your hand over the area so that the intestine does not come out.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	You have already opened the space between the patient's thighs and placed a cushion under them, with one servant on their chest, another on their legs, who holds their hands.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	And then place the cautery on that mark with your hand, holding the cautery straight, and do so until you reach the bone of the finger within the middle joint; repeat with that another time if you have not succeeded in reaching the bone in the first attempt.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	And carefully observe the condition of the intestine during your cautery, so that you do not burn it, which could cause death or another serious harm to the patient.
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	And know that when you do not reach the bone with the cautery, your operation is not successful.
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	And it is necessary that the cautery for children be subtle according to their size and measure.
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	And then treat the area of the cautery for three days with ointment until the scar from the fire is healed.
E aprop cura aquel am les autres enguentz entro que sia sanat.	And then treat that area with other ointments until it is healed.
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	And the patient should lie on their back for forty days until the area and the wound are fully healed.
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	And it is necessary to regulate the patient's diet according to the length of their healing time, so that their stomach diminishes, and to prevent the intestine from coming out due to the effort of healing.
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	And then, when it is time to remove [the treatment] after forty days, administer a properly prepared medicine, and let the patient take it for another forty days.
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	And let the patient reduce work and overindulgence in food and drink, and loud voices, for when one follows this regimen of complete healing, they will be healed.
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	And I will speak of the treatment for ruptures in other parts of the abdomen, and at the beginning, and if they do not want to heal, then cauterize the rupture with a round cautery according to its size, and let what is protruding from the wound be about one-third of it; then treat that as we have said, and it should not be tightened.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	And some of the first ones have already said that a rupture should be cauterized with a triangular cautery according to this form, since it is marked out with a probe.
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	And a line is placed horizontally across the upper part of the rupture, and another line above it; then place your hand with a claw cautery, but the first cautery should be lighter and better.
Capitol .xlvi.	Chapter XLVI.
De cauterizacio de torcio.	On the cauterization of sprains.
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	When pain occurs in the limbs due to a fall or percussion and that pain persists for a long time and does not improve with medical treatments, then it is necessary to cauterize with a pointed cautery.
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	And let the cautery be applied to the entire limb according to its size and smallness, and its strength and weakness, and the location of the twist and pain in it.
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	Therefore, if it is healed by the first cautery, that is good; and if not, then apply the cautery again to it; for it is customary with those pains to puncture the limb near the affected area, because you must achieve this with a cautery before the patient is healed.
Capitol .xlvii.	Chapter XLVII.
De cauterizacio de lepra.	On the cautery of leprosy.
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	Some lepers see great benefit from being treated with cautery, especially if the type of leprosy is caused by the putrefaction of blood and melancholy.
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	And when you want to cauterize the patient, consider if the leprosy is common and can be cured with what we have said in the division and does not remain, and fear that the corruption may spread throughout the body and all its composition, then cauterize the patient on the head with five cauteries: one in the middle of the head, and the second slightly below it, at the forehead where the hair ends; two on both temples; and one behind, on the nape or neck.
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	And place your hand with the cautery slightly inside so that it presses on the bone slightly, and from there displace the scales, so that the expiration of large vapors is alleviated in them; and cauterize on the thigh as necessary.
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	And if leprosy has already spread over the patient and appears manifestly, then you must cauterize those areas with the cauteries which we have mentioned above; and with a cautery on the tip of the nose, and with two cauteries on both cheeks, and with two cauteries on two vertebrae of the neck, and with six cauteries on the vertebrae of the back, and with one large cautery on the vertebrae near the hip, and one on the ribs, and with two on the knees, and one on each knee, and with two on the elbows and one on each elbow joint, and with two on the hips, and with two on the thighs, and with two on the tendons of his foot; cauterize those areas over all the joints of his fingers and toes, and on each heel of his feet, and on the armpits.
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	And be careful of the nerves that are on the heel so as not to burn those.
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	And sometimes it is cauterized with a cautery on the bone of the hip and with another on the mouth of the stomach, and another on the spleen.
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	And know that the more you adjust the cauteries, the more beneficial and effective it is; and know that the patient does not feel pain in the cautery, just as they do not feel it on their skin, because the body of the patient is already numbed.
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	And it is necessary that the cauteries be large or few according to the members and the joints, depending on the specifications of the tools.
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	Then treat the cautery with flour of iris mixed with honey and with other treatments until it is healed.
Capitol .xlviii.	Chapter XLVIII.
De cauterizacio de stupor.	On the Cauterization of Stupor.
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	When any member is numb or asleep and is treated with medicines, oils, and plasters, and it does not heal, then you should cauterize that numbed member with cauteries according to the size of the member or its smallness.
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	And let your cautery enter the opening of the wound a little.
E aprop cura aquel am enguent entro que sia sanat.	Then treat it with an ointment that will heal it.
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	And sometimes a cautery is applied to a numb area that affects the hands and feet, and the vertebrae of the back, in order to clear the discharge of nerves which move that limb, and the numbness is reduced.
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	But do not presume on this unless one is knowledgeable in the anatomy of the limbs and the distribution of nerves that move throughout the body.
Capitol .xlix.	Chapter XLIX.
De cauterizacio de albaras que es morfea.	On the cautery of ulcers that are malignant.
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	When an ulcer is old and does not respond to any of the medicinal ointments, then you should apply a cautery over it with a hot iron slightly according to the size of the wound, so that the whiteness and discoloration are reduced, and its color changes.
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	Then treat it with flour of ashes and lentils mixed with olive oil and rose leaves, and with the blood of a dove or pigeon, where each is one part and all are mixed together. Then spread this mixture on a cloth and place it over the area until it heals.
Capitol .l.	The text provided seems to be in an old Romance language that combines elements of Latin, Italian, Spanish, and French. However, the given line "Capitul .l." appears to be a section or chapter heading rather than part of the treatise itself. It likely means:
De cauterizacio de cranc.	Of the cauterization of the neck.
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	When cancer begins and you wish to remove it, then cauterize it with a circular cautery around it just as it appears.
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	And the wise say that it should be cauterized with the latter cautery in the middle place; but I have not seen this, for I fear that it may become ulcerated, and I have already seen this happen several times.
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	And it is better that it be cauterized around it with a circle as we have said, or with multiple cauteries.
Capitol .li.	Chapter II. 
De cauterizacio de adubilati.	From the context provided by your example translations, it seems that the language is a mixture of medieval Latin and Romance languages. Given this, let's attempt a translation for the given line:
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	When some wound is delayed in maturation, and this is due to excess moisture or the condition of the patient, who is old and frail, with little blood, or by time, and you want to hasten the maturation of the wound; then cauterize around it using small cautery points; and afterwards leave it so that it will mature faster.
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	And if you want to perforate it with a cautery, then heat the cautery, which has this shape: and place it in the middle of the wound until the tip penetrates.
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	And if the cautery in that spot where the pus is left causes the arm's flesh to be relieved; then treat it until it is healed.
Capitol .lii.	Chapter II.
De cauterizacio de corrodent.	On the cauterization of corrosive agents.
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	Corrosive agent is a moving corruption in the limb, which corrodes it as fire consumes dry wood.
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	Therefore, if you find the corrosive agent in a place that can tolerate cautery with fire, then heat a few small, and large enough nails for cautery, according to what is appropriate in the place where the corrosion is.
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	And then cauterize that area entirely until you eliminate all corrosion and leave no cause of it behind.
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	And then leave that for three days, and place over the cauterized areas a dressing mixed with oil until all the scars are completely removed and all the corruption is gone.
E aprop cura aquel am enguentz carn engendrantz.	And then treat that with flesh-generating ointments.
Mays si aprop tres dias vezes que la carn nasca sana en la qual no es corrupcio, bo es; mays sino, lahoras itera le cauteri sobre aquo que es romas en les locs corrumputz.	But if after three days you see that the flesh grows healthy with no corruption, good; but if not, then repeat the cautery on those areas that are damaged and corrupted.
E corrodent es medicat alcunas vetz am medicina aguda, quar aquela es meza en loc de cauteri.	And corrosive areas should be treated several times with sharp medicine, for that is a substitute for cautery in those areas.
Mays empero cauteri am foc es de pus leugier juvament.	However, cautery with fire is still the more reliable method.
E yeu ja e dit la curacio de lu am medicina aguda en la divisio, e donc pren aquela quan de lu auras endegencia.	And I have already described the treatment with sharp medicine in the section, so use that method when you need to apply it.
Capitol .liii.	Chapter LIII.
De cauterizacio de claus e dels autres semblants.	Of cautery for claws and of the other similar parts.
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	Spots of whiteness found in the areas affected by foot disease that is called gout, and it is a major cause, an incision, which deforms the foot; and cautery on those [spots] is done in two ways, one with fire cautery and the other with hot water cautery.
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qualisia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	And then place that heated instrument on the shoulder, and then rotate your hand with the cautery around the shoulder until the cautery reaches the depth of the shoulder.
E leyssa aquel per tres dias entro que comense getar brac.	And leave that for three days until it begins to sweat [or drain] from the arm. 
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	And then apply a plaster made with crushed wild mallows mixed with salt, and leave the plaster on that area for one night, because this will root out its roots.
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	And then treat the area with an ointment made from generative flesh until it is healed. 
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	And if it does not convert, and you often find occurrences on the surface of the body, particularly in the hands and feet, then you must administer those cauterizations with water. Take a quill made of horn or iron or reed, and place that over the claw; then pour into the quill a small amount of hot water, and withdraw your hand, and rotate it with the compression of your hand all around, pressing the edge of the quill against the root of the claw; you will find that the hot water finds its way to the veins at the root of the claw. The patient should endure for an hour the bite of the hot water, and then remove it, as the claw with its roots will be eradicated.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	And do this with those that are close to each other until you cover all of them on the body.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	And then treat those pus areas where the roots of the claws have been eradicated with ointments that cause the flesh to regenerate.
Capitol .liiii.	Chapter XLIV.
De cauterizacio de tremor.	On the cauterization for trembling.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	When there is a tremor due to cold in the nerves or from a cold fever, or for some similar reason, then you must cauterize that area with four cauteries or five on the vertebrae of the back, placing one cautery between each vertebra; and also apply a cautery on their feet, and on their stomach, using an olive-shaped cautery.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	And the tremor of the patient subsides and hastens the health from the cold disease.
Capitol .lv.	Chapter V. 
De cauterizacio de albati accidentz al cors.	Of the cauterization of accidental injuries to the body.
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	When in the body there are eruptions and pustules that split open, which are made of thick corrupted materials; therefore, at the beginning when they appear, it should be cauterized all over the head of the fistula with a subtle cautery using myrtle wood, the end of which is extended by fire; or with shards of long glass; or with a lentil-shaped cautery.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	And sometimes the cautery is also applied at the beginning of its expulsion according to this method; and they are not believed to be harmful, and the excess is disrupted by doing these things, and it heals from them.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	However, this should be done before evacuation with phlebotomy.
Capitol lvi.	Chapter LVI.
De cauterizacio de fluex de sanc accident per incisio de arceria.	On the cauterization of accidental blood flow due to an artery cut.
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	Often, an artery that is cut causes the wound to swell where it protrudes, or at the beginning of abscesses or cautery of the limb, and similar situations, making it difficult to remain in place.
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	Therefore, when this happens to someone, then you cover the artery's opening with your hand, and press on it with your finger to firmly hold those particles within until the blood flow stops, and that it does not come out.
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	And then place in the fire the small and large olive-shaped cautery tools in great number, and blow on them until they become very hot.
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	And then take one of those, either small or large depending on the location and the severity of the wound where the artery is broken, and quickly place it over that vein after you have cleaned your finger, and hold the cautery until it seals and constricts the bleeding.
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	And if blood is expelled from the opening of the artery when you remove your finger and extract the cautery, then take another heated cautery from those that are prepared in the fire, and continue to do this one after the other until the bleeding is stopped.
E guarda te que no comburas le nervi que aqui es, e que vengua sobre le malaute autra malicia.	And be careful not to burn the nerves that are there, and ensure no other harm comes to the patient.
