Ayssi comensan las paraulas de Albucasim .	Here is the translation of the given line:
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	And if more cauteries than these are necessary for you, then cauterize accordingly but do not press your hand too hard with the cautery beforehand; just enough around the area of the spot.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	And if the pain rises into the toe and foot, then apply the cautery that we have described in the previous chapter.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	And if the pain is in the hands only, and it is called suagra (a type of ailment), then puncture around the fingers as they curve, puncturing along those two lines.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	And if the pain remains in the thumbs, then puncture around each thumb and along the palm of the hand.
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	And if the pains approach over several days in the joints or muscles, then cauterize them all around with the help of instruments.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	And you do not evacuate the patient of good regimen and reception of medicines, for if a good regimen is done and phlegm is evacuated with this cautery, he will be healed, God helping.
Capitol .xlv.	Capitol .xlv.
De cauterizacio de rompeduras.	Of cautery of ruptures.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	When there is a rupture in the knees and hernias appear before the groin, and this begins to happen close by, then you must order the patient to leave their food for that day and use laxative causes so that the swelling descends from their belly.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	Then guide the patient between your hands on their back, and command them to keep their belly inside so that nothing is thrown out or the hernia or the intestines appear.
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	Then return and, with your words and care, examine the rupture over the bone of the pelvis and mark the end which should resemble half a circle at the upper parts of the body.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	Then prepare the cautery, which should have the following form:
entro que sia mot rog e gete cintilhas.	until it becomes red hot and emits sparks.
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	Then return the intestine or hernia to its proper cavity, and place your hand over the area to prevent the intestine from coming out.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	You have already opened the space between the patient's thighs and placed a cushion underneath. Another servant should be on their chest, and another on their feet, holding their hands.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	And then place the cautery over that mark with your hand, holding the cautery straight, and aim to reach inside so that you can touch the bone of the heel within the middle of the wound; and repeat with that another time if in the first attempt you have not managed to reach the bone.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	And carefully observe the condition of the intestine during your cautery, so that you do not burn the intestine, which could lead to the death of the patient or another serious harm.
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	And know that when you do not reach the bone with the cautery, your operation is not successful.
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	And it is necessary that the cautery for children be delicate according to their size and proportion.
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	And then treat the area of the cautery for three days with ointment until the burn scar is healed.
E aprop cura aquel am les autres enguentz entro que sia sanat.	And then treat that area with other ointments until it is healed.
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	And the patient should lie on their back for forty days until the area and the wound are fully healed.
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	And it is necessary to pause the nourishment of the patient according to the length of time of their treatment, which reduces their belly, and to ensure that the intestine does not come out due to the effort of healing.
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	And then when it is about forty days, administer a properly prepared medicine, and keep that treatment for another forty days.
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	And let him be reduced in work and the excess of food and drink, and loud voices, for when he follows this regimen of complete healing, he will be healed.
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	And I will describe the treatment of ruptures in other parts of the abdomen, and at the beginning, if they do not want to heal, then cauterize the rupture with a round cautery according to its size, and let what is protruding from the hernia be reduced as much as one-third; then treat it as we have said, and it should not be adjusted.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	And some of the earlier writers have said that a rupture should be cauterized with a triangular cautery in this form, since it is marked out with a template.
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	And it is a paused line that you place across the widest part of the rupture, and another line above it; then apply your hand with a claw cautery, but the first cautery should be lighter and better.
Capitol .xlvi.	Capitol .xlvi.
De cauterizacio de torcio.	From the cauterization of torsion.
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	When pain occurs in higher limbs due to a blow or impact and that pain persists for a long time without showing signs of healing even with medical treatments, then you must cauterize using a pointed cautery.
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	And the cautery should be applied to the entire limb according to its size and smallness, strength and weakness, and the location of the twist and pain.
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	Therefore, if it is healed by the first cautery, that is good; and if not, then repeat the cautery on it. For such pains are usually punctuated along the limb to the part nearest the heart, so you must continue with the cautery until the patient is healed.
Capitol .xlvii.	Chapter XLVII.
De cauterizacio de lepra.	On the cautery of leprosy.
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	Some lepers see great improvement with cautery, especially if the type of leprosy is caused by the putrefaction of blood and melancholy.
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	And when you wish to cauterize the patient, consider if the leprosy is common and can be treated as we have said in the division [of the text], and do not proceed if it has already spread or you fear that the corruption will encompass the whole body and all of its composition. Then cauterize on the head with five cauteries: one at the middle of the head, another slightly below, just above the forehead where the hair ends; two on both temples; and one behind, on the nape or neck area.
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	And finally place your hand with the cautery slightly inside so that it presses on the bone with a slight pressure, and from there displace the scales, so that the expiration of thick vapors is alleviated in them; and cauterize on the shoulder as needed.
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	And if leprosy has already spread over the patient and is clearly manifest, then it is necessary that you cauterize those areas with the cauteries we have mentioned; and with a cautery on the tip of the nose, and with two cauteries on both eyelids, and with two cauteries on two vertebrae of the neck, and with six cauteries on the vertebrae of the back, and with one large cautery on the vertebrae near the hip, and one on the hip itself, and with two on the knees, and one on each knee, and with two on the ankles, and one on each ankle, and with two on the elbows, and one on each elbow, and with two on the wrists, and one on each wrist; and cauterize those areas over all the joints of the fingers of the hands and feet, and over each heel of his feet, and over the knuckles of his hands.
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	And be careful of the nerves that are on the heel so you do not burn those.
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	And sometimes it is cauterized with one cautery on the bone of the palate and another on the mouth of the stomach, and another on the spleen.
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	And know that the more precisely you apply cauteries, the more beneficial and effective it is; and know that the patient does not feel pain from the cautery, just as they do not feel it from their clothes, because their body has already been numbed.
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	And it is necessary that the cauteries be large or few according to the limbs and joints, depending on the specifications of the tools. 
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	And then treat the cautery with flour cooked with honey and apply another treatment until it is healed.
Capitol .xlviii.	Chapter XLVIII.
De cauterizacio de stupor.	Of cautery for stupor.
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	When any member is numb or asleep and is treated with medicines, oils, and plasters, but it is not healed, then you should cauterize that numb member with cauteries according to the size of the member or its smallness.
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	And let your cautery enter the incision of the cord a little.
E aprop cura aquel am enguent entro que sia sanat.	Then treat that area with ointment until it is healed.
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	And sometimes a stupor (numbness) that affects the hands and feet, and the vertebrae of the back, is cauterized to address the irritation of the nerves which cause that numbness in the member, and the stupor is thus alleviated.
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	But do not undertake this without being knowledgeable about the anatomy of the members and the distribution of the nerves throughout the moving body.
Capitol .xlix.	Chapter XLIX.
De cauterizacio de albaras que es morfea.	On the cauterization of ulcers that are malignant.
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	When an ulcer is old and does not respond to any of the medicinal ointments, then you should cauterize it with a cautery applied slightly according to the amount of the incision until the whiteness and color of it are reduced, and its color changes.
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	And then treat it with flour of ashes and lentils mixed with anointed oil and leaves of arnica, and with the blood of a dove or the blood of a swallow, each in equal parts and all well mixed together, and then spread a cloth over it and place it on the area until it is healed.
Capitol .l.	It seems like you've indicated the start of a new section or chapter, possibly ".l." which might be a numeral or an identifier in whatever text or document you're referring to. If you need further assistance with translation, explanation, or any other content related to this section, please provide more details or context so I can better assist you.
De cauterizacio de cranc.	This line appears to be the title or heading of a section in an old medical text. Here is its translation into English:
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	When cancer begins and you wish to remove it, then cauterize it with a circular cautery around it as it has spread.
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	And the wise say that it should be cauterized with the latter cautery in the middle of the area; but I do not see this as advisable, for I fear it might become ulcerated, and I have seen this happen several times.
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	And it is better that it be cauterized around it in a circle as we have said, or with multiple cauteries.
Capitol .li.	Chapter II.
De cauterizacio de adubilati.	On the cauterization of hernias.
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	When some hernia is delayed in maturation, and this is due to an excess of moisture or the condition of the patient, who is old and frail, with little blood, or due to time, and you wish to hasten the maturation of the hernia; then cauterize around it with small pointed cauteries; and afterwards leave it so that it may hasten in maturing.
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	If you want to make a perforation with a cautery, then ignite the cautery, which has this shape: and place it in the appropriate location for piercing until it penetrates the skin.
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	And if the cautery in that place where it is left helps to alleviate the body of the arm; then care for it until it heals.
Capitol .lii.	Chapter II.
De cauterizacio de corrodent.	Of corrosive cauterization.
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	Corrosive corruption is moving within the limb, which corrodes it just as fire consumes dry wood.
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	Therefore, if you find that corrosive in the place where a cautery with fire has been suffered, then you apply a few small, and large clavus cauterizations according to what is suitable for that corroded area.
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	And then cauterize that area completely until you eliminate all the corruption and leave no cause of it remaining.
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	And then leave that for three days, and place over the cauterized areas a dressing soaked in oil mixed until all the scars are completely removed and all the corruption is gone.
E aprop cura aquel am enguentz carn engendrantz.	And then treat that with flesh-generating ointments.
Mays si aprop tres dias vezes que la carn nasca sana en la qual no es corrupcio, bo es; mays sino, lahoras itera le cauteri sobre aquo que es romas en les locs corrumputz.	And if after three days the flesh grows healthy in which there is no corruption, that is good; but if not, then repeat the cautery on those areas that are raw and corrupted.
E corrodent es medicat alcunas vetz am medicina aguda, quar aquela es meza en loc de cauteri.	And corrosive medicine is sometimes treated with sharp medication, for that serves as a substitute for cautery.
Mays empero cauteri am foc es de pus leugier juvament.	However, cauterization with fire is generally more reliable.
E yeu ja e dit la curacio de lu am medicina aguda en la divisio, e donc pren aquela quan de lu auras endegencia.	And I have already described the treatment with sharp medication in the section, so use that when you need to apply it.
Capitol .liii.	Chapter LIII.
De cauterizacio de claus e dels autres semblants.	Of the cautery of claws and of other similar things. 
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	Motu viguado in various places of the affected foot part known as claw, and it is a gross cause, an entry that bends the foot; and cautery on those is done in two ways, which are cautery with fire and cautery with hot water.
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	And then place that heated object on the shoulder, and then rotate your hand with the cautery around the circumference of the shoulder until the cautery reaches the depth of the shoulder.
E leyssa aquel per tres dias entro que comense getar brac.	And leave that for three days until it begins to sweat (or drain) from the arm. 
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	And then apply a plaster made with crushed wild mallows mixed with salt, and leave the plaster on that area for one night, because it will help root out its foundations.
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	And then treat the area with an ointment made from generative flesh until it is healed. 
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	And if it does not subside and often occurs on the surface of the body, especially in the hands and feet, then you must administer these treatments with water. Take a quill from an eagle or iron or horn, and place that over the claw; then pour into the quill some hot water in small quantity, and hold your hand, and you should rotate that with compression by your hand all around, pressing the edge of the quill against the nail bed; the hot water will find its way through the pores of the nail bed. Let the patient endure the burn of the hot water for about an hour, and then remove it, as the claw along with its roots will be eradicated.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	And in this way, they should be placed one next to the other until they cover all of those that are in the body.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	And then treat those pus areas where the roots of the claws have been eradicated with ointments that cause flesh to regenerate.
Capitol .liiii.	The text provided seems to be in an archaic or constructed language resembling Latin, Italian, Spanish, and French. However, "Capitul .liii." appears to be a section heading rather than a full sentence from a medical treatise. It likely means:
De cauterizacio de tremor.	Of cautery for trembling.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	When there is a tremor due to cold in the nerves or from a cold fever, or for some similar reason, then you must cauterize that with four cauteries or five on the vertebrae of the back, placing one cautery between each vertebra; and with cauteries on their feet, and over their stomach, using olive oil-based cauteries.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	And the trembling of the patient subsides and hastens the healing of the cold disease.
Capitol .lv.	Chapter .5.
De cauterizacio de albati accidentz al cors.	From the cautery of white accidents to the body.
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	When in the body there are whitish spots, and pustules that break open which are made of thick corrupted matter; therefore at the beginning when it appears, it must be cauterized over all the head of the fistula with a subtle cautery with myrtle sticks whose end is extended by fire; or with splinters of long rue; or with lentil-shaped cauteries.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	And sometimes the cautery is also applied at the beginning of its expulsion according to this method; and they are not considered dangerous, and the excess is disrupted by doing these things, leading to healing from them.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	However, it is necessary that this be done before evacuation with phlebotomy.
Capitol lvi.	Chapter LVII.
De cauterizacio de fluex de sanc accident per incisio de arceria.	Of cautery for accidental blood flow due to artery incision. 
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	Therefore, when this happens to someone, then you cover with your hand the opening of the artery and press with your finger on those points intermittently until the flow of blood stops, and it does not continue.
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	And then place in the fire the small and large olive-shaped cauteries, many in number, and blow on those until they become hot.
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	And then take one of those, small or large depending on the location and the wound where the artery is broken, over that vein quickly after you have cleaned your finger, and hold the cautery until it seals and constricts the blood.
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	And if the blood is expelled from the opening of the artery when you remove your finger and extract the cautery, then take another prepared cautery from those that are ready in the fire, and continue doing this one after another until the blood is constricted.
E guarda te que no comburas le nervi que aqui es, e que vengua sobre le malaute autra malicia.	And be careful not to burn the nerves that are here, and that no other harm comes to the patient.
E sapias que quan de l’arteria flueys sanc, lahoras no es possible en aquels restrenge la sanc, e majorment quan l’arteria es gran, si no am una de quatre manieyras: o am cauteri ayssi quo dit havem, o am extraccio quan no es extrayta, quar quan es extrayta las extremitatz de lu miels son comburidas e es restreyt le sanc, o que sia liat am fiel o am liament per fort strectura, o que sian pausadas sobre lu medicinas de las quals la vertut es restringir la sanc; e sian strengudas am pulvinar am costriccio decent.	And know that when blood flows from an artery, it is not possible to constrict the blood in those areas, especially when the artery is large, unless by one of four methods: either by cautery as we have said, or by extraction when it cannot be extracted, for when it is extracted, the ends are burned and the blood is constricted, or it should be tied with a thread or with a ligature through strong constriction, or medicaments that have the power to constrict the blood should be placed on it; and they should be tightened with a pillow with appropriate constriction.
Mays aquel que aministra restriccio decent de lu am liament e am strictura am draps o per posicio de causas comburentz e de semblantz, no comfereys sino tart.	And here is the translation of the given line:
Mays si aquo endeve ad alcu e no sia le metge present ni medicina, lahoras obre am pausament del dit indic sobre le orrifici de aquela vena ayssi cum havem dit, e entenda a la gran costreccio de lu entro que le sanc sia ostat de la sobirana partida de la plagua, e sobre la arceria le dit no sia remaugut; e de sobre la arceria sia aspergit am aygua frega de mot gran fregiditat entro que·l sanc sia congilat e engrossat; e mays cossire en que ha de cauteri o de medicina necessitat.	And if this happens to someone and the doctor is not present nor medicine, then open with gentle pressure of the index finger over the opening of that vein as we have said, and apply strong pressure inside so that the blood may stop from the most critical part of the wound, and do not remove the finger from the artery; and above the artery sprinkle cold water of great chilliness until the blood coagulates and thickens; and more importantly, consider whether there is a need for cautery or medicine.
Comensa la segonda partida.	Begin the second part.
De incisio e perforacio e ventozas e de fleubotomia e de plaguas e de lor semblants.	About incision and puncture and bloodletting and phlebotomy and wounds and their similarities.
Aquestas son paraulas de Albucazis.	These are the words of Albucasis.
Ja havem dit en le primier capitol tota malautia en la qual cauteri am foc es convenient e am medicina comburent, e las occasios e las causas de lu, e les instrumentz en aquels necessaris am las formas dels cauteris; e he ordenatz les capitols de la subiranetat del cap entro als pes.	We have already said in the first chapter about all illnesses in which cautery with fire is appropriate and with combustible medicine, as well as the occasions and causes of it, and the instruments necessary for them along with the forms of the cauterizations; and I have ordered the chapters from the highest part of the head down to the feet.
E yeu procesire en aquest capitol per aquela meteysa guisa, per que sia alliujat lo querent aquo, lahoras sobre aquo que aura demandat.	And I proceed in this chapter by that same method, so that the seeker of this may be relieved, now concerning what they have requested.
E denant que yeu comense aquo, cove, fils, que aprenguatz que en aquest capitol es per terror aquo que es en le capitol primier de cauterizacio.	And before I begin this, son, you must learn that in this chapter it deals with fears, which are the same as those in the first chapter on cautery.
E per aquo que cove que sia en lu gran cautela, quar en la operacio la qual es en aquest capitol motas veguadas catz evacuacio la qual es am sanc am le qual esta la vida deves la aspersio de la vena o incisio sobre l’apostema o apercio de exsitura o puracio de la plagua o extraccio de sageta o incizio de peyra e a lor semblantz.	And for this great caution is needed, because in the operations described in this chapter, one often encounters evacuations involving blood, which is essential to life. This includes procedures such as venesection, incision of an abscess or pus discharge, extraction of foreign objects or arrows, removal of stones, and similar actions.
E de totz aquels so acompanhatz temor e tremor e en le mas de lor catz la mort.	And with all of these accompanies fear and trembling, and in most of them, death can occur.
E yeu amonesti vos que sobre vos no caia aquo en le qual es esitacio, quar alcunas veguadas cazo deves vos manieyras de homes am manieyras motas de malautias.	And I warn you that this should not happen to you in which there is hesitation, because sometimes your methods with people can turn into methods of various diseases. 
E de lor es alcu que s’irays am la sua malautia e es leugiera deves lu la mort, e aysso per la vehemensia de aquo que troba de sa malautia, e per longuesa de la malautia de lu, e am la malautia es paor la qual significa mort.	And of them, there are some who will go with their illness and death is near due to it, and this because of the intensity of what they find in their sickness, and due to the length of their illness, and with the illness comes fear which signifies death.
E de aquels es le qual dona a tu son aver e ditta, tu esperant am aquel sanetat, e la sieua malautia es perniciosa.	And among those is the one who gives you his possessions and says, you hoping with that person for health, and his sickness is perilous. 
E donc no cove que tu consentas en aquel que ve a vos del qual es aquesta manieyra; e la vostra cautela sia major que covesitat e la vostra rapacitat; e no presumatz alcuna causa sobre aquo sino aprop sciencia certa la qual virifica aquo deves vos, e al qual perve successio lausabla.	And therefore you should not consent to what comes to you in this manner; and your caution should be greater than your desire and greed; and do not presume any reason for this without certain knowledge that confirms what you owe, and which leads to praiseworthy success.
E usatz en la curacio de totz vostres malautes de pronosticacio e indicacio de lu al qual es salut convertida, quar en aquel es a vos ajutori sobre adquisicio de fama e de memoria, de lausor e de gloria.	And it is used in the cure of all your illnesses for prognosis and indication to which health is restored, because in that lies your assistance towards acquiring fame and memory, praise and glory.
O, filhs, Dieus en vos spire le sieu entendement e no oste a vos direccio e proteccio, quar aquo es en la sua ma.	O, sons, may God inspire in you His understanding and not remove His direction and protection from you, for that is in His hands.
E yeu e ordenat aquest capitol distingent per capitols segon que precedit en le capitol de cauteris, de la cura del cap entro als pes, per que sia a vos alleujat aquo que demandatz de aquo e del qual havetz necessitat.	And I have ordered this chapter separately into sections following the chapter on cauterization, for the treatment from head to foot, so that it may ease what you seek from this and of which you have need.
Capitol primier.	First chapter.
De la curacio de aygua la qual es contenguda en le cap dels enfantz.	On the treatment of water that is contained in the head of children.
Sapias que aquesta malautia motas veguadas endeve als enfantz deves le enfantament e quan la noyrissa estrenh le cap del enfant ses livitat.	Know that this disease often occurs due to childbirth and when the wet nurse tightly binds the child's head with cloth.
E alcunas veguadas endeve per causa amaguada la qual no es saubuda.	And sometimes it occurs due to hidden causes that are not known.
