Ayssi comensan las paraulas de Albucasim .	The text means: "Thus Commences the speech of Albucasim."
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	And rest that part over the corrupted part of the bone, and with your thumb and fingers press gently until you see that that corruption is gone.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	And if there are some veins, restore the limb with drying and astringent substances.
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	Therefore if the limb is consolidated and there is good flesh in it and the wound is closed and the limb is kept for forty days, and it is not renewed and is not washed and there is no accident, you know that it is healed
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	Or if not, then you must fear to reduce the fracture to the form of the nose, and do it in this manner: if you discover the bone with sharp instruments or acute medicine, and when you have discovered the bone, grasp it with this clamp in this manner:
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	The triangular part of the instrument is placed over the limb as sometimes in this way
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	And rest that part over the bone, and that near the lacrimal; extend your hand a little further, and with your thumb and fingers grasp the limb until you have penetrated the whole bone, and you will feel the pain disappear as soon as you remove your hand
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	Therefore restore the limb with astringent and drying medicines in this way as if you had taken away the inflammation.
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	When the flesh and the limb are hardened, the matter which was flowing to the outside returns to the nose, so that the pain is diminished.
Capitol .xx.	Capital letter XX
De reduccio de la eminencia del huel.	Of the reduction of the prominence of the head
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	When the head is prominent in its entirety and does not happen to decrease or abate at night, you must loosen the pain and follow it, and keep the patient still by blowing on his neck and giving him good support; then rest a liniment over the head which is made of beeswax, aloe, henbane and chamomile, and put on a thick dressing over the head with powdered herbs
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	And the way of the herbs is that you take lion’s mane cloth and each fold is doubled four times; make of these folds
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	And rest them one over the other according to the amount of which the head needs
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	And press over those with a strong hand and firm structure; keep blowing on it with care and let the head rest straight day and night
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	Maybe while the ligament is softened, you must keep it straight
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	And keep the ligament still day and night as we have said.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	And if sometimes the head has already been reduced, good; if not, repeat the dressing with the herbs and the structure and the blowing until it is healed
Capitol .xxi.	Capital letter XXI
De la inscizio de la eminencia de la tunica uvea.	From the beginning of the elevation of the urethral tunic.
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	When there is disruption in the urethral tunic, and it is eminent and proceeds outside the eyelids like a grain of sand, and it is recommended to ligate it like a man in this way, so that when you enter the needle at the radix of the urethral orifice from the outside, and you place the needle again where the lacrimal ligament is doubled, and make that penetrate and read the first needle according to its position; and then ligate the place of the doubled ligament and bring the part of the urethral orifice to the circumference of the needle, and tighten that loop.
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	And then extract the needle and hold over the bloody lancet infused in albumin and read until the thread comes out at the root of the suture.
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	And then care for the wound so that it heals comfortably.
E alcunas veguadas aduna de tota partida am cercle de drap entro le huel ajuste eminencia gran, e aprop sia perforat am le spatum subtil que vengua al preon del huel, e corra la humiditat albuginea, e descen le huel e intra tantost.	And many women take one part all around the circle of the wound so that the wound is firmly held in place, and make a hole with the pointed spatula that comes to the root of the wound, and run the albumin moisture, and let the wound go down and enter immediately.
E aprop strenh entro que sia sanat.	And then tighten until it is healed
Capitol .xxii.	End of text
De curacio de alconati.	Treatment of colic pain.
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This ailment which is called colic is nothing but a spasm which is adjusted in the gut like descending water and is not that.
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	More useful is the work of the servant who makes the pain lie on the saddle-shaped prominence and grasps it with two hands and that one which enters sees that the pain remains behind, and let it dry and do not let it go down, and keep it firm, for the pain sees its remedy just as before.
E si no descendra en jos, sapias que es aygua.	And if it does not go down, know that it is water
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	More if it is not prepared for the descent of the pain as we have said, for then make the pain lie between your knees and take a spatula and burn that over the caruncle that is between the continuation of the conjunctiva and the cornea in the crown (in the middle of the eye), so that the pain is expelled.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	Therefore when it is expelled, then take cold water in which you have mixed honey or water in which you have already boiled fennel and honey.
E aprop sia curat am las autras causas entro que sia sanat.	And let it be treated with the other causes until it is healed
Capitol .xxii.	End of text
De la curacio de la aygua descendent del huel.	Treatment of descending water from the gut
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	We have already said the species of water in the division and what is necessary to perforate it as we have declared
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	Therefore keep the pain between your knees on a cushion and hold the wound tight
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	And put your left hand under the left eyelid if the water is in the left eye; or with your right hand if the water is in the right eye
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	And with your right hand take vinegar, if the water is left; or with your left hand if the water is right.
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	And hold the limb of vinegar from the crown because of the thickness of the ray in the albumin of the eye from the tear duct, and remove the vinegar with your hand over it
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	And then penetrate the albumin of the eye and sit that the vinegar has already arrived because of the weight.
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	And keep that the measure of the limb of vinegar to the pupil is equal to the measure of the space from the pupil to the end of the black of the eye, which is the crown of the eye; so that you see through that pupil with the vision of the eye for the clarity of the cornea tunica
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	And remove the vinegar from the place where it is in the water, and put another pad under it, and thus if the water descends immediately, the pain that was over it has been relieved, and the vinegar in the eye.
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	And rest a while; therefore if the water has descended, then remove that other pad so that the vinegar is not left.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	And when it is dry and does not descend, then easily extract the vinegar and move your hand slowly, and dissolve in the water a little clear salt of gemma and with that rinse the eye thoroughly; and then remove the eye patch or bandage or wet cloth and soak in water infused with honey and albumin and mix with water the eye water.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	The greatest part of those who are from our time pause over that which has been eaten with bread and broth.
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	If you do not obey your medicine at the entrance of the heel due to its hardness — for some men whose heel is hard like a stone —, then you must take for it the sponge which is called alberid, for this is its form:
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	Therefore prick in that joint, and do not remove your hand from the wound, and do not do so until the medicine has reached the bone marrow
E aprop entromet almagda segon que havem dit.	And then introduce the medicine as we have said.
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	And you must praise your work, whether you prepare the patient for sleep by making them lie down in a dim-lit room, and prohibit any movement.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	And rest in the nature of things so that its nature is calmed, and do not make them move from the place where they are burnt or towards the side where they are not burnt
E sia le liament segon la sua disposicio entro al tertz dia.	And the dressing should be according to its disposition within three days.
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	And then remove that from the dim-lit room and expel the cold sight, and do some things for it, and then return the dressing within seven days.
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	And do not make them do anything during the time of treatment or at any other time
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	There must be some nourishment for them so that the water does not irritate them greatly and fiercely in respect of their custom
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	And if the crisis subsides after the cautery, then you must remove the heel for seven days, and rectify that which was caused by the crisis which appeared after the cautery.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	Then you will see their face and rest over their oral cavity for which reason you must regulate their food for several days, because they exist in the dim-lit room.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	And do the same with that dim-lit room gradually and speak to them about their causes
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	And know that in no way is the disciple of vision excused for some herbs, and when you are sitting above the operation.
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	And it has already reached us from some of those who are learned, and some have said that fire is applied to the radix of the magdala which is pierced by the needle from which the water is sucked up.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	However, we have not seen in our land anything like this, nor have we read of anything like this among the free men of the ancients; and it is possible that this is new
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	These are the forms of magdalans so that whoever does not know those will be about those:
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	And they can be made of lead or iron properly, and their extremities should be like this triangular shape, with the acute angle like this.</start_of_turn>
Capitol .xxiv.	Chapter XXV.</start_of_turn>
De la curacio de carn nada en le nas.	Of the care of wounds nothing new has been said.</start_of_turn
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When there are various wounds which have arisen together whose cause is not known, and which resemble a scorpion's tail or many heads of a serpent; and this disease is called polipus which is like that head which is represented.</start_of_turn
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	And it is a foul wound, ulcerous, of yellow color; and it is not like that of a lion but of a tawny color.</start_of_turn
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Therefore in those wounds which are neither fraudulent nor cancerous, you must make the patient lie between your thighs and place him in the sun, and uncover the parts of the wound, and prick them once in those wounds.</start_of_turn
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	And then extract that from the other parts, and then cauterize what you have understood of those with the pointed cautery until you know that all the wound has been evacuated; for if there remains any cause of the abscess which is possible, then you must repeat the cautery until no cause remains.</start_of_turn
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	However, if the master suffers from a wound or crisis after the cautery, then you must stop for him; or if it is a malignant abscess, you must cover it and cauterize until it is evacuated and all the cavities are healed.</start_of_turn
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	And do the same with the wound in the nose, with vinegar or wine or both.</start_of_turn
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	However, if the nose is opened and humidity proceeds into the palate, then you know that it is already healed.</start_of_turn
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	If the humidity does not penetrate as far as the covering, then you must know that it is not in the pus surrounding bones that the disease originates, but rather in the parts that have not received any nourishment.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	Therefore you must cover that area faithfully where any swelling exists, do not move it, and leave between each part the quantity of liquid or medicine that is necessary. Then you must apply the illness and introduce a limb of the body into the area where there is pain or for another cause which makes it possible
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	And when that has happened, that is to say when the odor has vanished from the channels of the nerves, and when it appears on the surface of the skin, troops that are going in this way resemble the girls at school, and it is a light cause of this which makes people do it.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	Then take two limbs of the body, one that goes over the nose and the other that remains in the nose, and give support to the bones that are in the limb, and do this until you know that the bones are already in the limb itself
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	Then withdraw the limb, and leave in the nose the abstraction of the saint with a bandage, and do this for three days or more until the ulcer has healed all the damage that was done to the flesh
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	And at the end of the treatment, leave in the nose a lead cannula for several days until it is healed.</start_of_turn>
Mays si endigeys de curacio que exsique, usa de aquela.	If you finish the treatment, use this one too.
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	This is the way the instrument for capturing vapor is made, which is used to distill oils and medicines into the nerves.</start_of_turn>
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	And make it of silver or of gold, which is similar to a small lamp with a wick, like a little candle, and the meat should resemble something like that.</start_of_turn
E si vols, fay una canula clausa ayssi cum cana, e la cancula del estrument a capipurge fazedor e sia plana, descuberta; a la qual sia manubre en lo derier de lu, am le qual tenguas aquela quan escaufas en lu oli o aquo que tu vols dels sucs e de las causas suctiblas.	And if you wish, make a closed cannula like this, with a tube, and put the cannula of the vapor capturing instrument inside and make it flat, uncovered; to which you must hold at the back with your hand the amount that escapes from the oil or from the substances that you wish from the juices and from the causes themselves.</start_of_turn
E aquestz capipurgi es precios: recipe de enforbi de castor, de balayra blanc, de giengiebre, e piletre de safra, de pebre lonc, de escafragia, de epetum de spic ana unc. vi cumfizeys am suc de bleda e de caul, e sian faytas pillulas, e sia destemprada una pillula am aygua tebeza, e sia gitat en las nars del malaute jasent envers.	This vapor capturing is precious: recipe of beeswax of castor, white balam, ginger, saffron root, long pepper, mastic, chamomile, and angelica root.</start_of_turn Mix with the juice of blood and of broth, and make pills, and let one pill be dissolved in lukewarm water, and give it to the patient in the areas of the disease just as soon as possible.</start_of_turn>
Capitol .xxv.	End of treatment.
De theyls natz en las extramitatz del nas.	From their stays in the limbs of the nose.
Motas veguadas es nat theyl en las extramitatz del nas, e es magnificat e omentat en alscus dias entro en que mot es leg le reguardament de lu.	The girls who are going in like this are naturally stupid in the limbs of the nose, and this is magnified and praised for several days until it is finally cured as regards them.</start_of_turn
E per aquo cove que tu inscidas aquel en le comensament de la apparissio de lu, e erediques tot aquel.	And for this reason you must instill that in the beginning of the appearance of the disease, and you will inherit all that.</start_of_turn
E aprop pausa sobre le loc o cauteri o medicina comburent la qual estia en loc de lu.	And so pause over the wound or cautery or medicine that is in the place of it.</start_of_turn
Mays si es tardada la sua inscizio entro que sia magnificat, lahoras considera si es lapificat, dur, de fusca color e de pauc sentiment, lahoras no toques aquel am ferr quar es apostema crancos; quar motas veguadas ad aquel que inscideys aquesta apostema endeve per lu granda malicia sobre aquel le qual aquel havia.	And even if it is delayed until it is magnified, know that it must be considered if it is watery, dark, of a brown color and with little sensation; for girls who are going in like this will do great harm to him on account of his great malice towards the one to whom this has happened.</start_of_turn
E si le apostema es de leon tocament e no es de fosca color, e vezes que inscizio es possibla en tot aquel, lahoras evacua le malaute e inscideys aquel senes temor, e cura le loc am aquo que exsique e costrenh entro que sia sanat.	If the ulcer is of a tawny color and not of a dark color, and when the beginning is possible in all of them, then you must evacuate the patient and order that treatment which has been said, and care for the wound as much as it is necessary until it is healed.</start_of_turn
Capitol .xxvi.	End of treatment.
De sutura del nas e de las labias e de la aurelha quan la continuitat es dissolvuda per plagua o per semblantz.	Of suture of the nose and of the lips and of the ear when the continuity is dissolved by plague or by similarity.</start_of_turn
Sapias que quan accideys solucio de continuitat en una de aquestas cartillages, pauc confereys en aquela operacio sino en alcus homes.	Know that when continuity is dissolved in one of these cartilages, little confidence is had in that operation except in the case of the humble.</start_of_turn
Donc cove, quan endeve ad alcu alcuna causa de aquelas, que consideres si es plagua fresca am le sieu sanc, e lahoras tu ajusta las doas labias de la plagua am sutura, e aprop cura aquel entro que sia sanat.	Therefore, when you must do something for some cause of these, know that you must consider if it is fresh plague on the skin and that you must adjust the two lips of the plague with a suture, and take care of that until it is healed.</start_of_turn
E si las labias de solucio de continuitat so ja separadas, e quascuna es fayta sana, lahoras cove que tu excorjes quascuna partida de la sua codena apparent entro que n’iesca sanc.	And if the lips of continuity are already separated and some part is well, then you must know that you must scrape away some part of the apparent edge until it is healed.</start_of_turn
E aprop ajusta las doas labias am sutura e strenh aquelas, e sobre aquelas pulveriza sanc de drago e enses trissat, e pausa sobre la polvera una pessa de emplaustra diafinicon, o de alcu autre dels emplastres consolidatius, e leyssa aquel liat per dos jorns o per tres, e aprop deslia aquel e permuta aquel emplaustre e leyssa aquel entro que·ls fiels per si sian abscinditz, e aprop cura am enguent entro que sia sanat.	And so adjust the two lips towards the suture and tighten those, and upon those sprinkle holy chalk and sprinkle three times, and place over the chalk a pad of plaster of Paris, or of some other firm plaster, and leave that for two days or three, and then remove that and exchange it for another, and leave that until the wounds are healed.
Mays la manieyra de la sutura es que tu agregues la solucio de continuitat o am agulhas ayssi cum havem recomtat en la sutura del ventre, o agregua la solucio de continuitat am fiel ayssi cum a tu e fayt saber.	May the manner of the suture be that you add the solution of continuity or with needles as we have recommended in the suture of the belly, or add the solution of continuity with a thread as well as you do and make known.
Capitol .xxvii.	Chapter XXVII.
De extraccio de aquela causas que veno en las doas labias en las partidas dedintz.	Of the extraction of that which causes pain in the two lips in the parts around the teeth
Motas veguadas endeve a motz homes en las partidas dedintz de las suas labias alcus apostemas durs semblantz a gras de errs, e alscunas de lors son mendres e alcunas son majors.	Move slowly toward the home of the persons in the parts around the teeth of their lips some afterimages remain like grass seeds, and some of them are smaller and some are greater.<end_turn>
Donc cove que tu convertas las labias e fendas quascuna de aquelas duricias de tota part, e aprop la abscizio umpliscas le loc de sagi trissat entro que·l sanc sia restrengut, e aprop sia lavat am vi agre e sia curat le loc am aquo que es stipticitat, entro que sia sanat.	Therefore cover that you convert the lips and wounds each of which should be softened throughout their entirety, and then apply the incision filled with sage three times until the holy chalk is relaxed, and then let it be washed with wine and let it be cured with what is astringent, until it is healed.<end_turn>
Capitol .xxviii.	Chapter XXVIII
De inscizio de la carn ajustada en las gengivas.	Of the incision of the skin adjusted in the gums<end_turn>
Granre de veguadas nays sobre la gengiva carn ajustada la qual les antics apelero albulus, adonc cove que tu suspendas aquela am onci o que tenguas aquela am las forfecs e inscidas aquela deves la sua razit, e leyssas la sania correr o le sanc.	Great care must be taken not to cut the adjusted gum skin which they formerly called albulus, where you must suspend that or that you have the forceps and make an incision there, and leave the wound to drain or let the chalk go.<end_turn
E aprop pausa sobre le loc sagi trissat o autra polveras stipticas o excicativas.	And so pause over the area of chalk three times or another powder astringent or excitative.</start_turn>
E si aquela carn retorna, lahoras inscideys aquela segundariament, e cauterisa aquela, quar aprop le cauteri no retornara.	And if the skin returns, when you have finished incisions, then cauterize that, so that it does not return again.</start_turn
Capitol .xxix.	Chapter XXIX
De razo de dentz am ferr.	Of the reason for teeth with iron.</start_turn><end_turn>
Quan en la superficia de las dentz de las partidas dedintz e de las de foro e entre las gingivas so ajustadas escorsas aspras, legas, e alcunas veguadas son de nigradas e son faytas citrinas o vertz entro que a la gingiva ve per aquo corrupcio e son faytas las dentz legas.	When on the surface of the teeth in the parts around the teeth and those of the cheek and between the gums are adjusted rough scales, legs, and some are black and are faytas citrinas or vertiginous until the gum sees for what corruption is made and the teeth become loose.</start_turn><end_turn
E donc cove que tu fassas sezer le malaute entre las tuas mas e pausar le cap de lu en le tieu se, e ratz las dents en las quals apareysso aquelas escorsas e causas semblantz arena entro que de lor no romangua deguna causa, e aquo fay de la negror e de la citrinitat e de las autras entro que sian mondificadas.	Therefore you must remove the evil between your teeth and stop their heads in the gut if necessary, and scratch the teeth in which these scales appear and which cause a resemblance to sand until no harmful cause remains, and what causes the blackness and the citrine color and the others that remain must be modified.</start_turn><end_turn
Donc si es ostat aquo que es en aquelas del comensament de la razio, bo es; e sino, lahoras tu itera la razio sobre aquelas al autra dia e al segon e al tertz entro que vengua al derier stament en aquo que tu vols.	Therefore if it is not at the end of the reason that remains, do not do it; but if so, when you have repeated the reason three times in the morning and evening and afternoon until it comes to the fourth time that you wish.</start_turn><end_turn
E sapias que las dentz han necessitat de motz rezoris de diversas formas e de motas figuras segon que es preparat a la tua operacio.	And know that teeth have required various forms of support and figures according to how you prepare for your operation.</start_turn><end_turn
E per so quar le razori am le qual la dent es raza de la partida dedintz es autre del razori am le qual es ras entre las dentz segon autras formas, e aquestas formas de razoris sian deves tu preparadas las quals veyras tantost:	And so that the razor with which the tooth is shaved from the part around the teeth is different from the razor with which it is shaved between the teeth according to other forms, and these forms of shaving must be prepared by you which you will see for the most part.</start_turn><end_turn
Capitol .xxx.	Chapter XXX
D’eradicacio de dentz.	Of the extirpation of teeth.</start_turn><end_turn
Cove que tu cures la dent de la sua dolor am tot engen e tardes en tota eradicacio de lu, quar no es denguna causa que suplisqua la veguada de lu quan es eradicada, quar es sustancia sublima entro que es excusacio en la eradicacio de lu.	Therefore you must care for the tooth from its pain with all ingenuity and afterwards in the total extirpation of it, for there is no cause that replaces the absence of it when it is extirpated, for it is a sublimated substance except in the extirpation of it.</start_turn><end_turn
Mays cove quan le malaute es forsat aquela dent eradicar, que fermament deves tu sia certificat quala es la dent dolent, quar motas veguadas la dolor descep le malaute e cuga que sia en dent sana, e tu eradicas aquela e aprop la dolor no cessa entro que la dent malauta e dolent sia eradicada, quar nos ja havem vist aquo per operacio dels barbies.	Moreover, when the patient is forced to eradicate that tooth, you must certainly confirm that it is the painful tooth, for many things can deceive the patient concerning the pain and cause him to think that it is in a sound tooth, and you eradicate that and only then does the pain cease until the painful and diseased tooth is eradicated, for we have already seen concerning the operation of the barbers.</start_turn><end_turn
Donc cum deves tu es sertificat qual es la dent dolent, e que o sabes be, lahoras cove que tu scarifiques en le circuit de la dent am spatum en le qual sia alcuna vertut, entro que sia dissolvut de la dent de la gingiva de tota partida, e aprop mau aquel am les tieus ditz, o am forfexs subtils al comensament petit a petit entro que aquela concucesquas.	Therefore when you must confirm that it is the painful tooth, and you know well, when you have confirmed that, then cover that you scarify around the tooth with the palm of your hand in the area where there is any power, until it is dissolved from the tooth and the gum of the whole part, and take away that which is in the ties or with fine forceps from the beginning gradually until that is consumed.</start_turn><end_turn
E aprop alogua en lu fortz tenalhas grans per bona loquacio o estuptura fort, e pausa le cap del malaute entre les tieus denolhs que be le tengues que no·s maugua, e aprop tratz la dent segon rectitut en manieyra que no trenques aquela, ni al malaute major dolor no dones.	And so hold something firm in their force that is good for speaking or great stupor, and stop the head of the patient between the painful teeth that you must hold that do not hurt, and gently extract the tooth in the manner that you do not break that, nor does greater pain arise from it.</start_turn><end_turn
E donc si no es foro-getat, lahoras pren un de aquels instrumentz, e met aquel dejos lu de tota part am facilitat e esforsa la remocio de lu ayssi que es feyt al comensament.	Therefore, if it is not forgotten, take one of those instruments and put it on all parts so as to facilitate and expedite the evacuation of the matter as it is done at the beginning.
Mays si la dent es trauquada o corrosa, lahoras cove que tu comples de drap aquel trauc e estrenguas aquel am la extremitat de ray subtil per so que no sia trinquada en la hora de la tua constriccio sobre aquela am tenalas.	If the tooth is fractured or rotten, take care that you cover that cavity with wax and compress it with the edge of a sponge so that it is not fractured during the constriction at that point where you hold it.</end_of_turn>
