Ayssi comensan las paraulas de Albucasim .	The sentence translates to: "Thus begins the speech of Albucasim."
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And let your elevation be such as to lift the heel according to the length of the limb, so that the cautery is made according to the breadth of the body.</start_of_turn
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	And bring together the two supports, ignite once, in that place where we have pierced the heel of the other side.</start_of_turn
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	And then take out the cautery; and thus there are four cautery needles.</start_of_turn
E si voys, cauteriza am cauteri havent tres vernimentz.	Or if you wish, cauterize with three supports.</start_of_turn
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	And keep your care of the cautery longer than it has lain without moving for a few days, because it is different from the other preceding causes in the treatment.</start_of_turn
Capitol .xxxi.	Chapter XXXI.</start_of_turn
De cauterizacio de ydropici.	Of the cautery of the heel of the Achilles.</start_of_turn
Cauteri no catz en ydropici sino en alcinte3 propriament.	The cautery is not done in ydropici but in alcinte properly.</start_of_turn
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you have cured the hydropic swelling by the methods of treatment which we have said in the division, and you do not fear the treatment, then you must know that he should cauterize four cauteries on the circumference of the abdomen and one on the stomach, and one on the heel, and one on the spleen, and two between the vertebrae of the two, and one in the middle of the foot, and one on the stomach.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	And the quantity of the depth of the cautery should be in proportion to the spiciness of the wound
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	And then apply oil to the cautery so that it does not burn for a long time
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	And do not evacuate the patient from treatment until after the cautery has closed so that they do not become infected, and give them food to eat with the help of the healer.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The form of the cautery which should be used to cauterize the abdomen is the claw, according to the shape of that which is precedent, and that which is precedent to its form is the olive
Capitol .xxxii.	End of text
De cauterizacio de pes e de las coyssas.	Of cautery of feet and of the thighs.
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the feet are swollen with hydrosis and are filled with sour urine, know that you must cauterize the feet over the two toes without neglecting the area between the heel and the ankle; raise your hand over the cautery and do not touch it again; and raise your hand again, and do not take it away, because the sour urine remains.
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	It is cauterized thus: and make two cauteries on each side of the thigh, and in each part make a cautery at the extremity of the cautery cut
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	And the cautery must be of the length of the thigh: leave the nail on the upper part and the other put the middle of the foot in the place of the thigh; and make two cauteries on each thigh
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	And keep the wound open for a long time so that any urine does not remain in it
E aprop cura le am aquelas causas las quals havem ditas.	And take care of those causes which we have mentioned
Capitol .xxxiii.	End of treatise
De cauterizacio de cos de ventre.	Of cautery of the body of the abdomen
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	When the body of the abdomen is hot and humid due to excessive vomiting, it is the digestive and retaining virtue which is in the stomach and the intestines, and it is cured by the methods of treatment and you do not fear them, and sometimes the patient suffers from a discharge of virtue showing that it is necessary to cauterize, and then make a large cautery on the flank of the stomach as it has been said previously in the cautery of the stomach, and over the circle and four cauteries on the circumference of the abdomen below the navel, and one over the spleen, or two.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	And if sometimes the external humors and the patient tolerate it, then you must cauterize over the pelvis and over the intestines, and firmly apply two cauteries on the stomach and near the groin, which is a perfect cure for the benefit of which you will not err
Capitol .xxxiv.	End of treatise
De cauterizacio de emorroydas antiquas.	Of cautery of ancient hemorrhoids
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	When there are in nature behind hemorrhoids ancient or from gross cold humors or corrupted humidity, and they are cured by the methods which we have said in the division and you do not fear the treatment, then you must cauterize with three cauteries over the base of the two small vertebrae and small triangular, and remove the navel cord by two cuts
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	And if you think that the stomach of them is inflamed and their food is not digested, and their face is sometimes pale, then you must cauterize that one over the stomach with a large cautery as it has been said previously; and one on the heel and one on the spleen, and keep the cautery for some time open, and then care for them until they are healed
Capitol .xxxv.	End of treatise
De cauterizacio de atheyl aprop la abscizio de lor.	Of cautery of the thigh near the abscess of their loin
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When your thigh abscesses, then you must cauterize that which is like a ray.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	And put out the fire in that thigh abscess, and finish the hand until the cautery reaches the opening of the vein from which the healing comes.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And make water or two, for if they are of a large size, then you must cauterize each one of them as we have recounted, and take care of them with that which we have said is good for them until they are healed
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	If you burn with a large cautery on something, it is more dangerous in judgment.
Capitol .xxxvi.	If you burn with a large cautery on something, it is more dangerous in judgment.</start_of_turn>
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	When you burn fistulas that are useful in nature, it makes them worse in the parts of the body.</start_of_turn
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When nature does not obey the work that we have recommended in its place, and the patient is terrified by it, whether he is healthy or sick.</start_of_turn
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	Therefore, when one sees a fistula in nature that is old, corroded by blood and corrupted humors, and it is more deserving than anything else to be treated with caution, and it is to be performed with great care.</start_of_turn
Aprop igneys le cauteri que es semblant a ray.	Therefore, use the cautery that is similar to a ray.</start_of_turn
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	And use that cautery ignited in this fistula, according to the amount with which the tenta is intertwined.</start_of_turn
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	And repeat over that until those corrupted parts are burned to a reddish hue, two or three times, according to the amount of your need.</start_of_turn
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	And beware of the burning of nerves and veins; or if the fistula is in the area of the bladder or the belly, then beware of all those areas; and do not proceed until the fistula is in a fleshy place and you think that it is not penetrating.</start_of_turn
E aprop cura le loc entro que sia sanat.	And take care of the area until it is healthy.</start_of_turn
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	And if the area is sealed, and so removed from it the matter, and remains quiet for a long time, then know that it is already completely healed.</start_of_turn
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	And if the matter is not removed from it, then know that it is penetrating or in the vicinity of the corruption, or that it proceeds from those causes from which it will remind you in its place.</start_of_turn
Capitol .xxxvii.	End of Document.</start_of_turn
De cauterizacio dels ronhos.	On cautery of the humors.</start_of_turn
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When in the humors there is pain due to cold or excessive wind, and in order to help relieve the patient's suffering, it is customary to cauterize over the humors with a pointed cautery, over each of the humors that precedes the memory.</start_of_turn
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And so perform the cauterization three times in a row, so that they will be more effective in judgment.</start_of_turn
Capitol .xxxviii.	End of Document.</start_of_turn
De cauterizacio de la vesica.	On cautery of the bladder.</start_of_turn
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When the bladder suffers from inflammation and softening due to cold and humidity, so that the patient does not retain urine, it is customary to cauterize in the lower part above the bladder, at the start of the fifth finger, and cauterize with a cautery on the right and left sides.</start_of_turn
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	And the length of each cautery is according to the quantity of the patient's urine; and cauterize with two cauteries if necessary.</start_of_turn
E sia cauteri clavilh segon que es procesit.	And let the cautery be pointed as it is performed.</start_of_turn
Capitol .xxxix.	End of Document.</start_of_turn
De cauterizacio de la mayra.	On cautery of the uterus.</start_of_turn
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	When there is cold and humidity in the uterus, and to prevent excessive inflammation, and when the menstrual blood is corrupted, and when it is delayed in its appearance, and when there is pain that comes from it, it is customary to cauterize the area around the navel with three cauteries, as we have said concerning the cautery of the bladder; and with a cautery over the lower part of the abdomen, or with two cauteries. And let the cautery be pointed.</start_of_turn
Capitol .xl.	End of Document.</start_of_turn
De cauterizacio de la dislocacio de l’anqua.	On cautery for dislocation of the ankle.</start_of_turn
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	When there is mucous humidity in the ankle, and when there is an excessive pressure on the limb due to the dislocation, and when it is an indication that the swelling is prolonged over the other when compared to each other.</start_of_turn
E le loc de la dislocacio es atrobat en lu quays boyt.	And the area of dislocation is grasped in it where it hurts.</start_of_turn
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	Therefore, cover that the patient with the area of the ankle with a circular cautery, as you have seen in the circle of the limb when it is rotated, and so that the part falls in the middle of the circle.</start_of_turn
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	The cautery which precedes this formation is the stomach.
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	If this cautery is not at hand, then cauterize with three cauteries, with an olive oil cautery.
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	And the cautery should be performed according to the quantity of spiciness of the whole codena; and take care that it is not damaged
Capitol .xli.	End of document
De cauterizacio de la vena sciatica.	On the cautery of the sciatic vein.
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	When there is pain in the ankle area, caused by cold and humidity, the disease is cured with what has been said and not confirmed, and when it is old, then you must keep the patient away from humors which come from solid pills or artificial pills or something similar; and then cauterize that.</end_of_turn>
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	And the manner of cautery in this case is according to two manners: either with medicinal substances that burn, or with fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	The second manner is as follows: you make three triangular cauteries on the ankle area according to this form; and do it with good depth.</end_of_turn
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	And the space between each cautery should be the quantity of the thickness of the toe, and if the cautery is of olive oil or great.</end_of_turn>
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	Many people say that the cautery should be made over the middle of the ankle for that there are four cauteries.</end_of_turn
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	And if you wish, cauterize around the circle which precedes the formation of the dislocation of the ankle, which is a continuous circle and burns the spiciness of the whole codena.</end_of_turn
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	This is the manner of cautery in sciatica when the pain is attached to the ankle and does not extend into the thigh.</end_of_turn
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	If it extends into the thigh, then cauterize with two cauteries on the surface of the thigh over the area where the pain is felt; and one on the hip for four fingers a little beyond the navel.</end_of_turn>
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	If the cautery is to be repeated, and the depth of the cautery is according to the quantity of spiciness of the codena.</end_of_turn
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	If the patient reports that the pain extends to the area below the toes, then cauterize here where you made the cautery for three points or four or more if you desire.</end_of_turn
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	If the patient reports that the pain is still there despite the previous treatment, then cauterize here with one repeated cautery.</end_of_turn
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	And keep this in mind in all cauterizations that you do not finish with the cautery while you burn nerves or great vessels, and that for this reason it is over the patient neither damage nor contraction.</end_of_turn
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	And I have seen others who have cauterized on the hip and finished with the cautery, and the limb was so swollen that the tumor reached the foot, and the limb was perforated and corrupted throughout.</end_of_turn
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	And give a strong solution of vinegar, and do the same with death.</end_of_turn
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	And if the pain is in two parts simultaneously, cauterize each according to this manner.</end_of_turn
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	And the wise people say concerning the cautery of the ankle that the cautery which is like a circle of iron whose circumference is the length of a palm; and be deep enough to reach the marrow according to the thickness of a date seed or less.</end_of_turn
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	And draw that circle a third time; and let the space between them be the quantity of the nail of the thumb; and let those circles be closed with two fingers; and let the length of those strokes be a nail or two nails, and make in those grooves of iron properly placed in the circles; and this is the form of them.</end_of_turn
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	And let the fire be lit in the firebox until it is covered in smoke and sparks, and let it be covered over the ankle area, the patient resting on his side.</end_of_turn
E donc cauteriza aquel am tres cauteris redontz en una veguada.	And so cauterize with three cauteries around in one go.</end_of_turn
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	And so keep this for three days; then apply a plaster to the border and leave the wound open for several days; and take care that there is no inflammation until it is healed.</end_of_turn
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Doctors say: or, children, of this kind of cautery few have used for the terror of the patient, and for that reason few have found that which please them concerning it.</end_of_turn
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	May these burns be applied to those who suffer from it, and find relief at that very place.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	May the cautery be performed with two circles having an opening pierced in them, through which the fat should be squeezed out like the seeds from a pomegranate; let the length of the incision be as big as two hazelnuts or as many as those seeds.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	And if the space between their thighs is of such a quantity as to contain the thickness of a finger; cover them with cushions and support them, so that they rest against each other in this way:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	Then place your hand over the ankle and support the limb over the bone, compress your hand over the ankle; take cold water and pour it between two circles, and let the heat gradually decrease. The quality of that should be like that of a small flame. Keep it like that for the quantity of an hour, and endure the pain of the disease and the swelling of the limb — for indeed every other pain is like fire — until the pain ceases.</end_of_turn>
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	Then raise your hand towards the instrument and wipe away the cold water from the entire ankle with clean water.</end_of_turn>
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	Then leave it like that for three days and support the limb until the swelling of the limb has subsided; leave it like that for several days, and when the swelling has gone down; this is the end of the treatment.</end_of_turn>
E aprop cura aquel am enguentz entro que sia sanat.	And take care of those who are suffering from it until they are healed.</start_of_turn>
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	And if the pain extends to the thigh or the hip, make them sit in a position where they can contain water as is done for the ankle swelling.</start_of_turn>
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	This is the method of cold water, and I have already written about it in the treatise on the rectification of medicines.</start_of_turn
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Recipe for alkali and caustic not extinguished of both parts, take one part each, grind them and suspend them in a new liquid from which the part remaining is pierced with a small hole according to the quantity that enters into it.</start_of_turn
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	Then suspend the remaining liquid in another liquid and pour it over that alkali and caustic alive. Take hold of those with the thumb of your hand and compress them well, and see what comes out of the acute water in the limb towards the sent liquid.</start_of_turn
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	And adjust all that water, and take another live caustic and another renewed alkali, for that every hour that this is not done will cause great acute suffering, which is administered in surgical operations of medicine and in cauterization of the other members, for that operation is like fire.</start_of_turn
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	And so of many medicines which are cauterized widely, some are quick and coarse and others are slow and gentle, and caus with sulfur added to them are more effective.</start_of_turn
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	And this is the story of an ancient man who underwent an operation for ankle and sciatica pain, and who praised the treatment, saying that no other treatment was necessary, and that he was healed by a mere glance as recommended, for that he recognized that this treatment was of great efficacy.</start_of_turn
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	And it is necessary to have certain herbs green, and if they are not found green, take fresh figs; take some of them crushed with a little gray and apply it to the ankle where the pain is, or in the thigh or hip, and bind it.</start_of_turn
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	And leave it on for the quantity of three hours or for the quantity that the disease allows before the swelling subsides.</start_of_turn
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	Then put it in water and when the limb is inflamed, take it out into the sun, for the pain will cease and it will be healed.</start_of_turn
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	Remember that no one should use these medicines without first evacuating the limb.</start_of_turn
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	Indeed I say that when a goat has a wound of the vein of the heel that is cauterized, take advantage of that opportunity; and perform the cautery in this manner: take wool and soak it in oil against the cold, and apply it between the toes of the foot and between the heel bones.</start_of_turn
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	Then take dry goat hair and burn it with fire until it is black; then place it on the wool and leave it until it is extended.</start_of_turn
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	And repeat this process, and do not stop until the sensation of pain disappears and the pain is relieved.</start_of_turn
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	This method of cautery is called cautery of calves.</start_of_turn
Capitol .xlii.	Chapter 52.</start_of_turn>
De cauterizacio de dolor de dos.	From cautery of pain in two.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Some veins cause pain in the two limbs due to various causes, such as inflammation or bruising or excessive evacuation, and for such causes, by infusion of hot and wet matter.</end_of_turn>
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	And do not burn except in this single kind which is useful for the emission of hot matter.</end_of_turn>
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	Therefore cover, immediately evacuate the disease with small pills fixed and similar to them, that they are useful over the two limbs in which the pain is three lines according to their breadth, because if you have to burn in any line or cauterize or massage, according to the quantity that comes from the patient's tolerance and the virtue of the disease.</end_of_turn
E sia fayta cauterizacio am cauteri de punt.	And let the cautery be useful with the pointed cautery.</end_of_turn
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	And if you wish, cauterize with three cauteries or four with a median claw in this way:</end_of_turn
Capitol .xliii.	Capitol XLI.</end_of_turn>
De cauterizacio al comensament de gilbositat.	From the beginning of the inflammation of the joints.</end_of_turn>
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	These veins cause this disease in small children; and a sign of the beginning of the disease in children is that they cause swelling in their limbs and impede elevation and movement.</end_of_turn
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	And others in the rear respond to the two limbs and their bones that already begins to dominate over the other bones.</end_of_turn
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	And therefore when you see that it is necessary and you wish to forbid, then cauterize that which is circular according to this form:</end_of_turn
que prengua le cauteri sobre tota partida del spondilh engualment.	that it surrounds the cautery over the entire part of the bone equally.</end_of_turn
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	And if you wish, cauterize around the bone with pointed cautery two lines or three.</end_of_turn
E sian les puntz propdas entre lor.	And let the points be close together.</end_of_turn
E aprop cura le loc entro que sia sanat am aquo que havem dit.	And take care of the area inside that it is healthy with that which we have said.</end_of_turn
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	Beware that the cautery is not administered in inflammation that is useful for spasm of nerves.</end_of_turn
Capitol .xliv.	Capitol XLIV.</end_of_turn
De cauterizacio de podagra e de dolor de juncturas.	Of cautery for gout and joint pain.</end_of_turn
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.</end_of_turn
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	And therefore gout caused by excessive cold is cured with management and not by remaining idle, for the pain will remain until the cautery is made.</end_of_turn
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	And that you cauterize immediately the evacuation in the circuit of the foot bone with more than one cautery.</end_of_turn
E sia cauteri olivar del qual aquesta es la forma de lu:	And let the cautery be olive oil in which this is the form:
