chapter ninety-five .	de fleubotomia de las venas .	0.975
you should do this after the blood has gone out altogether from the same vessel or from another one .	e cove que fassa aquo aprop le yssiment del sanc de aquela vena am compliment de lu o de autra vena .	0.721164
if there remain after some days some discoloration or greenness at the site it will not hurt ; if you like , apply some solution of myrrh and aloes , or juice of penny-royal or something similar .	e si roman en le loc per alcus dias alcuna negror o viriditat , no notz aquo ; e si voles , pausa sobre aquel alcuna causa de aloen e de mirra dissolvut , o alcuna causa de suc de mentastre o de calament o semblant de lu .	0.964183
often in section of the basilic vein there occurs tumour and swelling .	e motas veguadas accideysso apostemas e eminencias deves fleubotomia de la basilica .	1.08714
put your hand upon it , and if you find that it sinks when pressed then it is a harmful swelling ; be careful not to apply to it any of the things we have told you ; for often arterial blood comes from it .	e donc pausa la tua ma sobre aquela , e si lahoras tu atrobas mollicia deves la tua compressio sobre aquela , lahoras aquela eminencia es malvada e mala ; e adonc guarda te que pauses sobre aquela alcuna causa de aquo que havem dit , quar fort leu fluira de la arteria sanc .	1.08251
but apply a poultice with some styptic qualities , to harden the place ; then treat in the usual way until healed .	e fay emplaustre am aquo en que es stipticitat , per que le loc sia endurat , e aprop cura aquel am l’autra curacio entro que sia sanat .	1.12394
now in each case you should extract blood in proportion to the person's strength and to the prevailing colour of the blood .	e cove que extraguas del sanc a tot hom segon la quantitat de la sua vertut e segon la color vencent sobrc le sanc segon que appar .	0.791262
if the blood be black , let it flow until it becomes red ; in the same way , if you see it is thick , let it run until it is thin ; and again , if it be sharp , until its sharpness is gone .	quar si le sanc es negre , lahoras tu le layssa yssir entro que sia rog ; e semblantment si tu le vezes gros , lahoras tu le layssa yssir entro que sia subtiliat ; e semblantment si es agut , entro que sia ostada la acuitat de lu .	0.892219
in the case that is plethoric , robust , and requiring venesection just the once , the incision should be wide and the knife should be broad .	e cove ad aquel que es ple e fort e ha necessitat de extraccio de sanc en una veguada , que sia amplificada la fleubotomia de la vena e le fleubotomi sia lat .	0.892241
and on the contrary for the debilitated person , in whose case you should venesect several times and the opening should be small .	e en aquel que es freul , sia fayt le contrari de aquel , e cove que extragua aquel en tropas veguadas , e que le trauc sia streyt .	0.888462
the best method in venesecting is if the incision be at an angle , oblique , cutting , not piercing .	e le milhor que es administrat en fleubotomia de vena es que sia la seccio transversa , no punctura .	0.86777
this manner of venesecting is safe from haemorrhage and from cutting the nerve ; it is better and safer than cutting straight across or straight along .	e aquesta manieyra de fleubotomia es salva de flux de sanc e de inscizio de nervi , e es pus lausabla e pus salva que fleubotomia segon latitut e longitut .	1.26429
to the patient who habitually faints during venesection you should give to eat beforehand a little bread macerated in the juice of unripe pomegranates or oxymel , if he be of a warm temperament ; and draw off the blood in three or four instalments .	e a la qual es acostumat sobrevenir sincopi deves la fleubotomia , e cove que tu cures aquel denant la fleubotomia am un petit de pa infus en vi de milgranas o de oximel simple scalfat ; e extratz a l u del sanc en tres veguadas o quatre .	0.852479
and if he be of a cold temperament let him take beforehand bread macerated in syrup of quinces or in aromatic syrup of honey or in fragrant syrup of basil .	e si es enfregiditat de compleccio , lahoras prengua denant la fleubotomia pa infus en eyssarop de mirra o en eyssarop de mel aromatizat am specias ayssi cum am pebre , canela , gingiebre e semblantz , o en eyssarop aromatizat e mot odorant .	0.692421
if the patient faints during venesection and the cause is great loss of blood , then be should be given to drink meat-juice and thin syrup of basil ; and he should perfume himself with galia moschata and anoint his chest with it .	e si accideys sincopi deves la fleubotomia , e es causa de lu issiment de mot sanc , lahoras cove que prengua en beure aygua de carn e eyssarop mot odorant subtil ; e use de aromaticitat am algualea , e sia linit le sieu pietz am aquela .	0.895213
and for the rest , use what we have spoken of in its place in the chapter dealing with fainting due to evacuation .	e usa de las autras causas que havem ditas en la divisio en le capitol de sincopi per evacuacio .	0.675407
as for him who wishes to ease his arm and draw off blood a second time , when he is undergoing the venesection on account of great evacuation and the lowness of his strength , you should let the blood slowly , in proportion to his strength , on successive days .	e qui vol eventar le sieu bras e dissolver le sieu sanc segonda veguada , cove a lu del qual la fleubotomia es per mota evacuacio , e la vertut de lu es freol , que evacue le sanc petit a petit , so es segon la quantitat de la vertut en les dias continuables .	1.02711
for him who wishes to ease his arm and draw off blood a second time , being of robust body , it must be done seven or nine hours from the first venesection .	mays qui vol eventar le sieu bras , e gitar lo sieu sanc segonda vetz , e le sieu cors es fort , lahoras fassa aquo aprop vii horas o ix de la primieyra fleubotomia .	0.968914
he who wishes to draw blood from his body to the side opposite to that toward which it tends , should be eased on the second or third day .	mays qui vol atirar le sanc del cors sieu al contrari de la partida a la qual declina , cove que sia eventat en le segon dia o le tertz .	0.775538
he who has abundant blood that has become hot and sharp and has produced fever should be bled at one time , and a large amount should be taken with a wide opening , until he faints ( all the rules of venesection having been observed by you ) ; but you should keep your finger on the pulse while the blood flows lest death take the place of fainting , for that often happens when the venesector is ignorant and there is carelessness .	mays aquel cors en le qual es mot sanc ja scalfat e es acuit e fa accidir febre , cove que sia gitat de lu sanc en una veguada e sia de lu gitada gran cantitat e sia amplificada la apercio entro que accidesca sincopi , pus que tu auras conservadas totas las condicios de fleubotomia ; e que pauses la tua ma sobre le pols de lu deves le cors del sanc , per que no endevengua mort en loc de sincopi , quar motas veguadas endeve aquo quan le fleubotomador es ignorant e negligent .	1.17783
if you wish to loosen the arm and let blood a second time and you find that the opening of the vein is now closed up and the outflow of blood is difficult , you should not press hard upon it nor twist the arm violently , for that is very harmful .	e no cove quan tu voles desliar le bras e evacua le sanc segonda veguada , cum ja sia claus le orrifici de la vena e sia fayt difficil issiment del sanc , que tu premas subre aquel am vehemencia e encurvat sia extendut leugierament , quar aquo es trop mal .	0.849201
either you must leave him a while and then bleed him again ; or the clot of blood can be removed from the opening of the vein by using the blade of the scalpel , or by applying some salt dissolved in water ; or apply some of the great theriac or shakhzanaya ; and put light pressure upon it until the blood comes out .	habantz le layssa entro que sia fleubotomat segondament ; o remau aquo am la acuitat del fleubotomi que es coagulat del sanc en le orrifici de la vena ; o pausa sobre aquel de tyriaca alfarach , o de sagzenea , e comprem aquel am compressio leugiera entro que·l sanc sia fora yssit .	1.03377
but if the vein has begun to swell , leave it and do not touch it until the swelling has subsided .	e si la vena es apostemada , lahoras layssa aquela e no la toques entro que·l apostema sia sedat .	1.15335
and if you are unavoidably called to let blood again , venesect either above the place or in the other arm or another vessel .	e si necessitat te provoca a evacuar le sanc segondament , e no es excusacio , lahoras tu sagna aquel sobre aquel loc o en l’autre bras en autra vena .	1.28312
section of the cord of the arm : this is cut in place of the median and basilic veins when these are not to be found or are hidden ; for this vein is composed of those two .	e la vena apelada “funis del bras” es fleubotomada en loc de la fusca o de la basilica , quan no so atrobadas o so amaguadas , quar es composta de aquelas .	0.979482
the way to venesect it is for the patient to dip his hand in hot water until the forearm is red from the warmth and the vessel stands out distinctly .	e la qualitat de la fleubotomia de lu es que·l malaute intrometa la sua ma en aygua cauda entro que·l focil se enrogezesca e que la vena apparia manifestament .	0.853372
then bandage a little above it with a moderate pressure , and then cut the vein a little obliquely , neither transversely nor longitudinally .	e aprop sia strengut sobre aquel am liament am strictura migana ; e aprop fleubotoma segon le tranvers petit , no latitudinalment ni segon la longitut .	0.856755
the incision should be broad , and you should make the cut a little above the wrist .	e sia la apercio ampla e sia la tua fleubotomia am la qual tu fleubotomas aquela sobre la junctura de la ma un petit .	0.97643
if the blood does not flow easily , have the hand again put into the vessel of hot water and let the blood flow into the water until you have extracted what is needed .	e si es prohibit le fluxs del sanc , lahoras tu itera la ma en l’aygua cauda e layssa le sanc correr en la aygua entro que consieguas la tua necessitat .	0.725277
if it be in the summer time you may be able to dispense with putting the hand back into the hot water ; it is mainly in winter that you let the blood flow into hot water .	mays si tu eras en les dias d’estiu , lahoras tu yest excusat de la iteracio de la ma en l’aygua cauda , e le mes es pausat le cors del sanc en aygua cauda en temps de yvern .	0.680171
venesection of this vessel is safer than all others for beneath it there is neither artery nor nerve .	e la fleubotomia de aquesta vena es pus salva que de totas las autras venas , quar dejos lu no ha vena pulsatil , ni nervi .	0.850588
section of the salvatella of the right hand is efficacious in case of diseases of the liver .	e la fleubotomia de la savatella de la ma dreyta es conferent a las malautias del fetge .	0.915141
the method of venesecting it is to tie a band round the wrist or grip it with your hand , after you have put it in hot water until the vein is swollen up and is plainly to be felt ; then cut it somewhat obliquely ; if you cut it right through that will not matter at all .	e la qualitat de la fleubotomia de lu es que tu strenguas la ma am liament o am la tua ma , pus que tu l’as mesa en ayga cauda , entro que la vena sia imflada e sia be demostrada al vezement ; e aprop fleubotoma aquela transversan ; e si inscidas aquela de tot no nozera aquo en re .	0.975908
but be careful not to go too far with the knife , for underneath there are the tendons of the fingers and the place is bare of flesh .	e conserve que no ultimes la tua ma am la fleubotomi , quar dejos lu so les nervis dels ditz denudatz de carn .	0.959326
then put the hand again into hot water and let the blood flow ; for if you do not put it into hot water again the blood will clot in the opening and will be prevented from flowing .	e aprop itera la ma en l’aygua cauda e laysse correr le sanc en aquela , quar si tu no iteras aquela en l’aygua cauda , le sanc sira coagulat en lo orrifici de la vena , e es prohibit de flux .	0.808333
when you have extracted the required quantity of blood , put oil and salt on the vein so that it does not heal too quickly . ~~~ you should act thus with every narrow branch .	e cum es extrayt le sanc segon la quantitat de necessitat , lahoras tu pausa sobre la vena oli e sal , per que no sia consolidada coytadament ; e semblantment cove que tu fassas en tot ram streyt .	0.424087
incision of the salvatella of the left hand is of value in diseases of the spleen .	mays le juvament de la fleubotomia de aquela de la ma senestra , es que es conferent a las malautias de la melsa .	0.694118
venesection of it should be carried out in the same manner as you did in the other .	e fay semblantment en la fleubotomia de lu ayssi cum has fayt en l’autra .	0.828074
venesection of the saphena is beneficial in diseases of the lower part of the body , such as afflictions of the uterus and retention of the menses , and for diseases of the kidneys , and for chronic ulcers of the hips and legs , and similar diseases .	e le juvament de la vena sephena de la fleubotomia es a las malautias que so en la partida dejos del cos , ayssi cum so malautias de la mayre , e a retencio de mestruas , et a las malautias dels ronhos e ulceracios de coyssas e de cambas antiquas , e a lor semblantz de las malautias .	0.986176
now the manner of venesection is for the patient to put his foot in hot water , then friction should be applied to it until the veins fill up ; then bind a thong over the joint of the foot ; then the site of the vein at the ankle is shown up running toward the big toe and forming many branches on the surface of the foot .	e la qualitat de la fleubotomia de lu es que·l malaute entrometa lo sieu pe en aygua cauda e fassa sobre aquel fricacio entro que be apparen las venas ; e lia sobre la junctura del pe am correia ; e le loc de la vena le talo apparent deves le dit pous , e de aquela so ramificatz en la facia del pe motz ramps .	0.861334
then make your incision either in the broadest branch or at the ankle before it ramifies , for that is better and safer .	e donc fleubotoma le pus ample ram o dejos la camba deves le talo deves la agreguacio de lu , quar es milhor e pus sal .	1.24737
if you venesect it on the surface of the foot , be careful of the tendons that are beneath on the surface of the foot . ~~~ make the incision obliquely as though you were cutting the vein through .	e si fleubotomas aquela en la facia del pe , lahoras tu te guarda dels nervis que so dejos aquela sobre la facia del pe , e pausa la tua fleubotomia am la qual tu fleubotomas per le travers , quays cum si tu la volias inscidir .	0.254993
the knife should be a lancet .	e sia le fleubotomi vosil .	1.55963
if the flow of blood be impeded , put the foot back again into hot water and let the blood flow out into it until it is evacuated .	mays si es prohibit le issiment del sanc ; lahoras tu itera le pe de lu en l’aygua cauda e layssa correr le sanc en aquela entro que sia evacuat .	0.6625
if the venesector makes a mistake the first time in the vein to be cut , let him repeat the section a little higher up , for the . place is safe ; you need fear no mischief as long as you are careful of the tendons , as we said before .	e si le fleubotomador erra en la primieyra veguada , lahoras itera am le fleubotomi en sus un pauc , quar le loc es sal ; e no temes de lu malician , mays que te guardes dels nervis ayssi cum havem dit .	1.05528
in the same way you may deal with the saphena of the other foot .	e semblantment fay de la sophena del autre pe engualment .	0.781633
now the position of the sciatic vein is , as we said , on the outside near the heel .	e de la vena sciatica , le loc ayssi cum havem dit es deves le talo dejos la cavilha de la partida silvestra .	0.634542
section of it is effective in pain in the hip when it arises from hot blood .	e le juvament de la fleubotomia de lu es a dolo de anca quan es per sanc caut .	0.8
the way to venesect it is to make the patient get into the bath . ~~~ then hasten and bandage his leg from the hip to a distance of four fingers above the heel , with a long narrow bandage ; for only this will cause it to appear .	e la qualitat de la fleubotomia de lu es que·l malaute intre en banh , e festine e strenha la cueyssa de lu del latz de la ancha entro desus le talo desus quatre ditz an una benda longua subtil , quar no appar sino per aquo .	0.477404
when it has appeared then open it in whatever way you can ; at an angle , which is best , or right through , or only cut it open , for it is a safe place .	e donc quan appar , lahoras tu fleubotoma aquela segon cascun engen que es a tu possible e segon le tranvers , e es milhor ; o inscidas aquela per inscizio o secces aquela per seccio , quar le loc de lu es sal .	1.09955
but in many people it is very hard to find ; and if you do not find it or it is in no way palpable , then venesect one of its branches , which will be seen on the surface of the foot towards the fourth toe and the little toe .	e ela es en motz homes mot ameguada ; e si atrobas aquela , e no appar al sentiment de tot , lahoras fleubotoma alcun ram de lu , e es aquel que appar en le dos del pe enves le dit auricular e le anular .	0.955425
be careful of the tendons , and let the amount of blood you require .	e guarda te dels nervis , e fay correr del sanc la quantitat que voles .	1.03929
then loosen the bandage and apply cotton wool to the site of the section and bandage the place ; it will heal quickly .	e aprop deslia la strictura e pausa sobre le loc de la fleubotomia coto e strenh le loc , quar leugierament es sanat .	1.37688
		0.3
