Ayssi comensan las paraulas de Albucasim .	Thus we begin with the remedies of Albucazim.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	And if you suspect that their stomach is inflamed and their food is not digested, and their face sometimes appears apostemed, then cauterize it over the stomach with a large cautery according to what has been described; and with one cautery on the arm, and another cautery on their waist with a clave-shaped cautery, and leave the cauteries for some time open, and afterwards take care that they are healed inside.
Capitol .xxxv.	Chapter 35.
De cauterizacio de atheyl aprop la abscizio de lor.	On the cauterization of athelia, suitable for their removal.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you remove athelia, then you ignite the cauteries that are assembled in a row.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Then insert the ignited cautery into that removed athelia, and finally touch the hand inside so that you bring the cautery to the orifice of the vein from which the blood flows.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And make that an option or two, because if the achievements are tropes, then cauterize some of them according to what we have recounted, and afterwards take care of those who confer benefits to their joints until they are healed.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	And if you cauterize with a large cautery on the buttocks, it is more beneficial in youth.
Capitol .xxxvi.	Chapter 36.
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	On the cauterization of fistulas that are formed in the nature of the patient's parts.
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When the nature does not obey the work that we have recommended in its place, and the patient is desperate for it, then heal with a cautery.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	Then when you have a fistula in the patient's nature, and it is ancient, corroding their sanity and corrupted humors, then that which is more worthy to be covered is that which proceeds with a subtle thread, and afterwards you will know the quantity of the depth of the said thread according to the previously mentioned subtlety.
Aprop igneys le cauteri que es semblant a ray.	Then ignite the cauteries that are assembled in a row.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	And then insert that ignited cautery into this fistula, and according to the quantity in which you introduce the thread.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	And iterate over that cautery until those corrupted bodies are completely burned, one or two or three times, according to the quantity of your necessary need.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	And beware of combustion of nerves and veins; or if the fistula goes to the body of the bladder or to the body of the intestine, then beware of all those places; and do not do it unless the fistula is in a fleshy place and you think that it does not penetrate.
E aprop cura le loc entro que sia sanat.	And afterwards take care of the place until it is healed.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	And if the place is sealed, and you have removed from it the materials, and it remains like that for a long time, then you will know that it is entirely cured.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	And if the materials are not removed from it, then you will know that it is penetrating or in the process of corrupting their bone, or it falls into those causes of which there will be remembrance in its place.
Capitol .xxxvii.	Chapter 37.
De cauterizacio dels ronhos.	On the cauterization of the kidneys.
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When in the kidneys there is pain due to cold or gross ventosity, and therefore the coyt of the patient's hip is weakened, then it is necessary that you cauterize that over the kidneys with a cautery on each kidney with a clave-shaped cautery from which proceeds the remembrance.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And strongly cauterize them according to the second small indication, so that three lined cauteries will come, and then they will be more beneficial in youth.
Capitol .xxxviii.	Chapter 38.
De cauterizacio de la vesica.	On the cauterization of the bladder.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When there is debilitation and mollification in the bladder due to cold and humors, so that the patient's urine does not retain, then cauterize that in the part below the bladder, where the skin of the perineum begins, and cauterize with one cautery on the right side, and another on the left side of it.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	And let the length of each cautery be according to the quantity of the notes of the pulse; and cauterize that with a cautery in the part below the lower back, or with two cauteries if it is necessary.
E sia cauteri clavilh segon que es procesit.	And let it be a clave-shaped cautery according to what has been described.
Capitol .xxxix.	Chapter 39.
De cauterizacio de la mayra.	On the cauterization of the matrix (or womb).
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	When the matrix is humid and swollen, and for this reason it is prohibited to take action, and the muscles are corrupted, and the provocation of it is delayed, and it causes pain in the joints, then it is necessary that the area be cauterized with three cauteries in the circuit of the navel, as we have said in the cautery of the bladder; and do cautery on the area above the back, or use two cauteries, and let the cautery be clavicular.
Capitol .xl.	Chapter 40.
De cauterizacio de la dislocacio de l’anqua.	On the cauterization of the dislocation of the ankle.
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	When humidity accumulates and is deposited in the ankle joint, and it causes effusion of the fluid in that place, and it is signified by the fact that the thigh is prolonged over the other when they are compared between them.
E le loc de la dislocacio es atrobat en lu quays boyt.	And the place of the dislocation is touched in the boy's thigh.
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	Then it is necessary to cauterize the patient's ankle joint with a circular cautery, because you will have signified in the circuit of the joint similarly as it is revolved, and for this reason the joint falls into its proper place within the circle.
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	And let the cautery be the one that precedes the form in the cauterization of the stomach.
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	And if this cautery is not present to you, then cauterize with three cauteries in the olive-shaped great cautery.
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	And let the cautery be made according to the quantity of the inspection of the entire code; and properly cure that which enters, so that it may be healthy.
Capitol .xli.	Chapter 41.
De cauterizacio de la vena sciatica.	On the cauterization of the sciatic vein.
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	When pain occurs in the ankle joint, and its cause is cold and humidity, the patient is cured with that which we have said and does not contradict, and that which is ancient, then it is necessary to free the patient from gross humors with foul-smelling pills or artificial ones or similar; and then cauterize accordingly.
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	And the manner of the cautery in that is according to two manners: either cautery with burning medications, or cautery with fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	It will be according to two scientific manners, one of which is that which cauterizes the area above the ankle joint with three triangular cauteries according to this form; and do so with good depth.
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	And let the space be between each cautery the quantity of the thickness of the said and if the olive-shaped or large cautery.
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	Some well-placed cauteries should be on the middle place above the head of the ankle because there are four cauteries.
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	And if you wish, cauterize with the circle that precedes the form in the cauterization of the dislocation of the ankle, there where the circle contains and burns the inspection of the entire code.
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	And this is the manner of cautery in every case when pain adheres to the ankle and does not extend into the thigh.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	But if it is extended into the thigh, then cauterize with two cauteries on the thigh above the place where the patient's pain environs; and with one cautery on the hip for four fingers' width below the most tender part.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	And if the cautery is cutting, and let the depth of the cautery be according to the quantity of the inspection of the code.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	And if the patient environs that the pain is extended into the place near the fingers of the feet, then cauterize there where it environs with three points or four, or more if it is necessary for that.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	And if the patient environs pain being below the knee towards the thigh, then cauterize there with a cutting cautery.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	And beware in all cauterization that you do not ultimately use the cautery so much that it burns nerves or great arteries, and that for this reason you are above the patient's bad nuisance or contradiction.
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	And you have already seen one and another of those who cauterized on the hip and ultimately in the cauterization, and the burnt focus inflamed within so that the tumor reached the foot, and burnt and corrupted the entire foot.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	And then a strong solution of wine, and then death.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	And if the pain is in two parts together, cauterize each one according to this manner.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	And I will describe the wise men in the cauterization of ankle joint cauteries, of which this is the manner: make it similar to a circle of iron wire, whose circumference is the size of one palm; and let it be of seven orifices according to the thickness of one finger's bone or almost a little.
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	And let that circle be another third; and let the space between them be the quantity of the nail of the thumb; and those circles are used for two parts; and let their length be one nail or two nails, and make them decently appareled in iron margins fitting to the circles; and this is their form.
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	Then let it be ignited in the fire until it is red-hot and gives sparks, and then let it be placed above the ankle joint, the patient seated on a mat.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	Then burn with three red-hot cauteries in one go.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	And leave it like that for three days; then plaster it with bandages and leave the open wound to suppurate for several days; and then heal it from the inside out so that it becomes healthy.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Disciples of Albucasis: oh, sons, we have used this type of cautery little, for fear of the regard of the ruler, and because we have rarely found those who regard it above him.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	May the good cauteries be applied to him who suffers, and may they pierce the area of his pain.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	May cauteries be medicines that adhere, so you make two circles having an armored perforation in which the iron point of the door's hinge is inserted; it is the length of the wall in the nudity of their sign, two nodes or those irons.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	And if the space which is between almost the quantity of the thickness of the finger; and it is opened below and above, and it is that they contain themselves among their following this form:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	And then stop on the partition of the water where the patient lies on the mattress, and comprehend your hand on the partition of the water; and then take hot water and pour it between two circles, and the quality of that water should be warm little by little, and hold it for the quantity of an hour, and suffer the patient to feel the burning and the adjustment of it — because that burning feels like fire — until the burning ceases.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	And then lift your hand with the instrument and abstract the hot water from all the water in the water doucette.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	And then leave it like that for three days and stop on that bandage until the blackness of the adjusted remedy remains, and leave it like that for several days, and correct his purging; this is the last stage in the treatment.
E aprop cura aquel am enguentz entro que sia sanat.	And then heal it from the inside out so that it becomes healthy.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	And if the pain is extended into the thigh or leg, make a statue of him in which he contains water according to what is done in the bathing tank.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	And this is the method of hot water, and I have already written that in the treatise on the rectification of medicines.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Recipe for alkaline and non-extinguished burning of both hands, and truss them and stop in a new bowl of which the partition below is perforated by a small hole, according to the quantity that enters into his vein.
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	And stop below the bottom of another bowl enveloped, and gather above that alkaline and non-extinguished burning of warm water which covers them for a finger, and then you comprehend them with the good compression of your hand, and leave the hole that descends from his warm water in the partition below to the enveloped bowl.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	And then adjust all that water, and gather it above another non-extinguished burning and other alkaline renovating, because at that time it will be of much stronger acuity, which is administered in many operative actions of medicine and in the cauterization of the other members, because that operation makes fire.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	And thus of the medicines some are those which are cauterized often, like this you will find and mix and burn with a wise art, and thus they are mixed.
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	And Gualia recounts of a man of the ancients the operation and the cure in which he was cured of pain from water and sciatic vein, and magnified much to be that of him, and says that there is no need for another cure, and because he is healthy for one go, thus I strongly recommend, because he was inserted in bath and thus he knew of that.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	And it is that he took certain green certarragi, and if not found green, take fresh figs recently; and much was trussed with a few gray hairs and placed under the water where the pain is, or in the thigh, or in the leg, and so be laid.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	And it was left for a duration of three hours or for the quantity that the patient feels comfort from the adjustment.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	And then put him in bath and then when his body is relaxed, insert it into the soil, because the pain ceases and he becomes healthy.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	And you know that one should not cover how to use these medicines with cauteries unless it is for the evacuation of the body.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	May I, Escorides, say that when the vein of the goat's head is cauterized, it is good for him; and it is the cautery in his following manner: take wool and soak it in ancient oil, and place it between the toes of the foot and between the fossils.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	And then take dry goat's head and inflame it with fire until it becomes carbonized; and then stop it on the wool and leave it until it is stretched out.
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	And then iterate this, and do not cease doing this until the sensation of the burning reaches into the water and relieves the pain.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	And this method of cautery is called cautery of cowpox.
Capitol .xlii.	Chapter 42.
De cauterizacio de dolor de dos.	On the cauterization of pain in toes.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Some toe pains are caused by many reasons, such as by injury or percussion or excessive evacuation, and for similar causes, by infusion of cold and humid matter.
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	And cautery is not used except in this one special case which is made for the effusion of cold matter.
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	Therefore, cover, then evacuate the patient with small, fitted pillows and similar to theirs, which are made for the toes where the pain is three lines according to the width of them, because you will have a tent in each line or cauteries, more or less, according to the quantity that comes from the tolerance of the patient and the strength of it.
E sia fayta cauterizacio am cauteri de punt.	And make a pointed cauterization with a pointed cautery.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	And if you want, cauterize with three cauteries or four at the middle of the clave-shaped cautery, according to this form:
Capitol .xliii.	Chapter 43.
De cauterizacio al comensament de gilbositat.	On the cauterization at the beginning of gout.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	Many times this disease begins in small children; and the sign of its beginning in children is that they stumble upon their structure, with elevation and limitation of movement.
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	And it starts in the back of the spine of the toes and fingers, which then begins to rise above the other vertebrae.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	And so when you see this and want to prohibit it, then cauterize with that cautery which is circular in shape according to this form:
que prengua le cauteri sobre tota partida del spondilh engualment.	that takes the cautery over the entire affected part of the spine, including.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	And if you want, cauterize around the circle of the spine with a pointed cautery two lines or three.
E sian les puntz propdas entre lor.	And the points are properly placed between them.
E aprop cura le loc entro que sia sanat am aquo que havem dit.	And then cure the place inward so that it is healthy with what we have said.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	Be careful that cautery is not administered in gout that is made by spasm of nerves.
Capitol .xliv.	Chapter 44.
De cauterizacio de podagra e de dolor de juncturas.	On the cauterization of gout and joint pain.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	And so how gout caused by cold is cured in many ways of cure and the pains are not removed, then they remain and need cauteries.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	And it is that you should cauterize with evacuation around the circle of the joint of the foot with many cauteries.
E sia cauteri olivar del qual aquesta es la forma de lu:	And make an olive-shaped cautery, of which this is the form:
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	And if the pains penetrate into the teeth or other joints, and many times it begins there, then cauterize with three cauteries or four from the entire affected part with this olive-shaped cautery.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	And if many cauteries are needed, which these cauteries are necessary for you, then cauterize with them and do not press too hard on your hand with the cautery beforehand, but only surround the specific area of the code.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	And if the pains penetrate into the teeth and toes, then administer the cautery which we have said in the seventh chapter.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	And if the pains are only in the hands as much, and it is called sciatica, then prick around the circle of the ankles thus as they revolve, prick in those two lines.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	And if the pains remain in the fingers, then prick around the circle of the ankles above each finger and on the edge of the hand.
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	And if the pains penetrate deeply into the joints or muscles, then cauterize the affected areas of the entire joint.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	And do not evacuate the patient from good regimen and reception of medicines, because if it is made with good regimen and the weakness is evacuated with this cautery, it will be healthy, God helping.
Capitol .xlv.	Chapter 45.
De cauterizacio de rompeduras.	On the cauterization of fractures.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	When a fracture occurs in the limbs and the intestines are torn apart from the cavity to the genitals, and this is the beginning of evacuation, then it is necessary that you instruct the patient to rest his consumption for seven days and use gentle causes so that the wound heals in the seventh day.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	And then follow the patient between your hands above the seventh toes, and command him to hold the seventh wing inward so that it is not torn or separated from the cavity or intestines.
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	And then return that to the ties of the fingers and sew with thread the rupture above the bone of the thumb, signaling the extremity of which it is similar to the circle of the sub-branches of the body.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	And then ignite the cauteries of which this is the form:
entro que sia mot rog e gete cintilhas.	until it is very red and has many sparks.
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	Then return the intestine or hernia to its cavity, and place your hand over the area to prevent the intestine from coming out.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	You have already opened the space between the patient's thighs, placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	Then place the cautery on that sign at your hand, making sure to hold it straight, and apply it to those parts of the pentaghnel joint within the middle of the duodenum; and if you do not succeed in the first application, try again with the other vein if you have not succeeded in the first attempt.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	And observe carefully the movement of the intestine during your cautery, so that you do not burn the intestine, lest it causes death or another great evil.
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	And know that when you apply the cautery, do not touch the bones, as this does not contribute to your operation.
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	And take care that the cautery for children is subtle according to their age and measure of theirs.
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	Then take care to dress the area of the cautery for three days with a bandage, until the scab from the burn is removed.
E aprop cura aquel am les autres enguentz entro que sia sanat.	And then take care of those who have other wounds until they are healed.
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	The patient should sit on their back for 40 days, until the area is sealed and the plague is purged.
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	And take care to adjust the nourishment of the patient according to the length of time of their cure, which will strengthen their stomach, and ensure that the intestine does not come out due to the effort of healing.
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	And then when it is desired to get up after 40 days, administer decently made liniment, and keep that for another 40 days.
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	And avoid excessive labor and replenishment of food and drink, and violent vomiting, because when one uses this entire regimen of healing, they will be entirely healthy.
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	And you will direct the healing of ruptures in other parts of the belly, and so from the beginning, and you want that it does not become worse, then cautery the rupture with a red-hot iron according to its quantity, and it is that which is expelled from the codena thus like the third part of it; and then take care of what we have said, and do not adjust.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	And you will discover some first principles that the rupture is cautered with a triangular iron according to this form, because it is marked on the tender part:
