Ayssi comensan las paraulas de Albucasim .	Thus begin the remedies of Albucazim.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And so if any cause of the worms appears here, then extract it with gestures or subtle nails, but if no cause appears, then take a cannula straight and wide, of which this is the form.
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	And insert the subtle extremity into the ear according to the quantity that the patient can suffer; and then suck with force, and make many turns, until all the worms are forgotten.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	But if you do not obey your own judgment, then stop and close the circuit of the cannula with wax as we have said; then administer the distillations which have already been experienced by the ancients in the cure of worms, and you will find it in the treatise on distillations.
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And it is your effusion which you infuse with medicinal oils in the ear with this instrument of which this is the form.
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	And make that of silver or of copper, straight, in which there is a small channel, and with a plate on top.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And so it is how they fill what is in the cavity of the cannula, to be necessary here onwards.
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	And if you want, take the rod and envelop it decently in the extremity of the cannula, and then pour oil into the cavity of the instrument, or juice of some herb, or whatever medicine you want to put in the cannula — and that is in the ear —, and then insert the rod with warmth above and express your hand, which has compression tempered until the oil is expelled from the cavity of the instrument and the patient feels the oil dripping.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And it is necessary that what has infiltrated in the auricle be scraped off at the focus with a small flame.
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	And beware that the cause which you have distilled in the auricle is not too frequent, for ear medicines do not suffer what is there.
Capitol .vii.	Chapter 7.
De curacio de opilacio de aurelhas.	On the treatment of obstructions of the ears.
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Some blocked passages in the ears of those who are not pierced, and it happens to some people, obstruction in the middle of the ear due to a plague or flesh growing there; and this obstruction is made in the precipice of the ear canal which does not allow the evacuation, and some blocked passages are in the fore-part.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	And that which happens in its precipice, which does not allow evacuation, is among the major dispositions of difficult healing.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And in that one where you achieve evacuation, it is necessary that you apply the ear of the patient to the sun and observe it carefully.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And so if an apparent obstruction occurs, open that with a subtle spatula of which this is the form.
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the extremity of it is where the latitude is small, of which one part is acute and the other not; and the spatula should be of two gentle lions so that it does not cause lesion to the ear.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	And so if the obstruction is due to flesh born in the ear or in its middle, then you should cut subtly and incise vigorously to facilitate entry so that all the flesh is removed.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	And if the obstruction is in the precipice of the ear, then take a subtle lion's root and scrape that with a small flame, and place it in the middle of the ear.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	And so if you feel an obstruction there, which the patient feels bothered by, due to the gravity of the humor, it forces the oppression there; and beware that you do not harm the nerves of the ear.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	And then place a dressing on the ear, wrapped with linen according to the quantity of the width of the canal which you have enveloped in the Egyptian ointment; and do this for several days until you are sure of the consolidation of the plague; or take some water and pour it into a saucepan and pulverize over the ground tristan and use it; and if the ear is already apostemed, then it is necessary that you extract the water and permute it with another water which you have enveloped in wax that has been roasted, until it is the aposteme carefully heated; and then cure it until it is healed.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	Moreover if there occurs a flow of blood, then submerge a sponge or cloth in cold water and place it on the ear, and use another remedy that restrains the flow of blood, which is mentioned in the treatise on distillation.
Capitol .viii.	Chapter 8.
De cura de athezil le qual endeveno a las palpebras.	On the treatment of atrophies which occur in the eyelids.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	Atrophies that occur in the eyelids of those who have some blocked passages, some blocked passages are dry.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	Then it is necessary that you hold those in a warm place or in a bath, and soak them in their own roots, and then place a dressing on the affected areas, well ground.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	Moreover if there is pain with a flow of blood coming, then you should cauterize those areas with a subtle lancet-like cautery.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	And the best cauterization is when the incisions and blocked passages return when some cause of their roots remains; and when they are cauterized with fire, those roots are burned and do not return.
Capitol .ix.	Chapter 9.
Cura de grandeyssa que veno a las palpebras dels huels.	Treatment of cataracts that come to the eyelids of the eyes.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	Some blocked passages occur in the eyelids of the eyes due to some cause which is assembled with cataract in its strength and hardness, and therefore it is called cataract.
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	And it is an addition of thick humidity in the upper and lower eyelids.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	Then the operation in them is that you should consider then if the cataract is proceeding in it from what appears on the eyelid and is manifest to the entire part; and the cause of it is sluggishness.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	Then make an incision above it with a width, and then scrape off the entire affected part to facilitate evacuation, and then suspend it in a warm bath and separate it.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	Moreover if you do not make the incision of it properly, then you will not be able to penetrate the eyelid with an incision little by little, and then that will not be noticed in any case.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	And if the figure is large, then you adjust it with a suture; and cure that until it is healed.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	And if it is small, you will not overcome evil through that because the anguish of it restores and incarnates.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	And if the cataract is declining to the deep parts of the eyelid from the inner surface, then you remove the eyelid and suspend the cataract in a warm bath, otherwise you indicate an incision, and prepare that for the entire part, and if the eyelid by incision is lengthened, that will not be noticed in any case.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	And at the beginning, wash the wound with salt water; and take care of the area where it becomes enclosed so that it heals.
Capitol .x.	Chapter 10.
De la cura axcirnah en la palpebra desus del huel.	About the treatment of abscesses under the eyelid from the wound.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	Abscesses are greyish in color which are generated in the membranes of the eyelid, and they greatly affect children, aggravate the wounds of those who have them, and cause their eyes to itch; and they cannot gaze at the clarity of the sun because of the bitterness that is caused by them.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	And so you should often wash their faces all the time, and their faces sleep; and so under their eyelids you will find humid membranes, which have already covered inflammation, and imminence of apparent ulcers in the wound; and when you press the area with your fingers, you feel apparent ulcers.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	And some manner of operation is in that which the patient pauses his evil humor in the finger, and then pauses a drop of liquid from it and of the warm water, and makes a circle according to the quantity that contains arthritic matter from the whole affected part, and then places it on that and presses with fingers all around so that ulcers are aggregated in the middle of the circle, and then feels in the middle of that humidity incident in the fissure through the latitude, and the fissure is not larger than the one made in phlebotomy.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	You should rather cover the whole wound with a bandage so that you prevent ulcers from forming, because in the aforementioned processes ulcers form through fissures according to the shape of white greyish matter.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	Then extract that matter with drops which you have enveloped between the fingers and parts of the fore and turn between the right and left hand so that it is dispersed.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	And beware that you do not touch the fissure so that the spatula does not reach the wound and touches only that.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	But if your ulcers do not appear at the beginning of the fissure, but rather you touch the fissure with a small facilitated instrument so that it processes the ulcers; and then extract that matter as we have said; and then mix drops of liquid in water and wine and place them on the area and strengthen those powders.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	And thus you will find that they draw out salt and place it in the cavity of the fissure so that what remains of that humidity is removed.
E aprop cura aquel entro que sia sanat.	And then heal it until it is healthy.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	But if there are aposteme boils on the spot, then treat them with cold emplasters until they are healthy.
Capitol .xi.	Chapter 11.
De manieyras de tactimi del huel.	On methods of touching wounds.
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	When in the eyelids of wounds there are natural pustules and so antiquated, then those wounds do not heal and become ways of evil humors thus with assiduous tears and mollification of eyelids and skin until it is cause of destruction of the wound that is called touching of the wound, and it is treated in four ways: either by cautery with fire; or with acute medicine according to what has been said in the chapter on cautery; or it is touched through incision and suture; or with canes as you have already said.
E donc cove que tu pauses le cap del malaute en le tieu se; aprop converteys la palpebra del uelh am la tua ma sinistra, e si es convertida, bo es; e sino, entromet agulha en aquela en la qual sia fiel de la partida pus dejos de la palpebra, e fay penetrar la agulha am fiel desus, e aquo sia — prop del marge de la palpebra en le qual naysso les pels — prop dels pels, e tira le fiel a las partidas desus am la palpebra, e converteys aquela am le ray.	And then cover the head of the evil humor in your finger; then convert the eyelid of the wound with your left hand, and if it is converted, good is; and if not, insert a needle in that part where there are pustules under the eyelid, and make the needle penetrate under the pustule, and it will be — near the edge of the eyelid where the pustules are — near the pustules, and pull the thread to the upper parts above the eyelid, and convert it into a ray.
E aprop fen en la partida dedintz de la palpebra dejos les pels ajustatz am spatum inscidentz del lacrimal major entro al lacrimal mendre; e aprop extratz le fiel e pausa dejos la palpebra polvilhs petitz de coto o de drap, e aprop senha sobre la palpebra am tenta, e sia ayssi cum figura de fuelha de mirt.	And then feel in the affected part of the eyelid under the pustules with a spatula incident to the large lacrimal duct up to the smaller one; and then extract the thread and place it under the eyelid with small powders of cotton or drops, and then sew above the eyelid with a tent, and it will be thus like the figure of a myrtle leaf.
Mays empero cove que sia la figura segon la quantitat de helevacio de la palpebra, quar aquo ja es diversificat en les homes, quar de aquels es le quals indigeys que sia inscidit de la palpebra gran quantitat segon la quantitat per la qual la palpebra es mollificada.	But however it is necessary that the figure be according to the quantity of elevation of the eyelid, because that has been diversified in humans, because of those it is indicated that a large quantity should be incised from the eyelid according to the quantity for which the eyelid is mollified.
E aprop fen am le spatum sobre las doas linhas las quals has senhadas, e comensa del lacrimal major entro al lacrimal menor.	And then feel with the spatula on the two lines which have been marked, and begin from the large lacrimal duct up to the smaller one.
E si’ la tua fissura prop dels pels naturals ayssi cum es la grossetut del rey.	And if your fissure is near the natural pustules thus like the largest tumor of the king.
E aprop met le onci en un dels dos angles de la codena, e aprop excoria aquela tota, e aprop ajusta am la scitura las doas labias am gula o fiel de lana subtil, e abstergeys le sanc, e fay adherir aquo que superflueys dels fiels sobre dos sobrecils am alcunas causas enviscans, si voles far aquo, e sino, non cures.	And then place the onion on one of the two angles of the wound, and then excoriate that entire area, and then adjust with a scalpel the two labial lips with a subtle thread or wool, and remove the blood, and make it adhere so that what is superfluous of the threads above the eyelids in some envisioning causes, if you want to do that, and if not, do not cure.
E aprop leyssa la sutura dels fiels entro a tres dias o quatre, e aprop cura aquo.	And you should leave the stitches on the fields for three or four days, and then take care of it.
E si vols, layssa la plagua ses sutura, e cura aquela am aquo que exsicca e constrenh, quar la palpebra es alevada deves la sigillacio de la plagua e la agreguacio de lu; mays sutura es milor E donc aysso diysso les antics de taxanir.	If you want, leave the wound with its stitches, and take care of it so that it dries and contracts, because the eyelid is lifted from the sealing of the wound and its aggregation; but the stitch is better. Therefore, you should not touch the taxes of the surrounding skin.
Mays empero en lu sia sollicitut sobre le malaute, e es de bona operacio, e no es en lu temor.	You will find that it is solicitous above the patient, and it is a good operation, and it is not in fear.
E es autra manieyra en taxmir, e es que senhes sobre la palpebra figura ayssi cum fuelha de mirt, e aprop eleva la palpebra am tres uncis segreguatz e congreguatz segon aquesta forma:	And it is another manner of examining, and it is that you sense above the eyelid figure thus as a mirror of the eye, and then lift the eyelid by three inches separate and congregate according to this form:
Mays si no es possible aquo, tener les uncis, e aquo no es engualhat, lahoras pren una agula en la qual haia fil e met aquela en le mieg de la figura, e entromet le autre fiel prop le lacrimal major, e·l fiel segon prop le lacrimal mendre, e ajusta entre les tieus ditz les fiels am equalitat, e aprop am aquels eleva la tua ma am elevacio engual, eleva tota la codena sobre la qual es senhat ayssi cum havem recomtat.	But if it is not possible to do so, hold the inches, and it is not bent, then take a needle in which there is a thread and put it in the middle of the figure, and introduce the other end near the larger lacrimal duct, and the other end near the smaller lacrimal duct, and adjust between the tendons of the two eyes equally, and then elevate your hand in elevation, elevate the entire code above which you sense thus as having recommended.
E aprop ajusta las doas labias de la plagua am sutura, e cura aquel entro que sia sanat.	And then adjust the two lips of the wound to stitches, and take care that it is healthy inside.
Mays si accideys apostema deves la tua inscizio o la tua fissura, seda aquel apostema am cerot e a lu semblantz, e am enguentz.	But if you find an abscess from your incision or your fissure, then that abscess is with wax and it resembles it, and it is enswaddled.
E alcunas veguadas endeve a la palpebra que·ls sieus pels sian convertitz, adonc cove que tu uses en aquela de aquo que havem dit de inscizio; mays sutura en quascus es mays artificial.	And some vegetables are applied to the eyelid that the wise men convert, then you should use in that of it which we have said about incision; but the stitch is sometimes more artificial.
Ataxinir am cannas es segon aquesta forma:	To examine with a candle as follows:
e es que tu convertas la palpebra e scindas la figura qu’es dedintz segon que he recontat; e aprop per art fay doas cannas o doas astelas subtils de las quals longitut sia segon la longitut de la palpebra e la latitut de lor sia mendra de la latitut del spatum.	and it is that you convert the eyelid and divide the figure that is hidden according to what has been recounted; and then by artful skill do two candles or two subtle astrolabes of which the longitude will be according to the longitude of the eyelid and the latitude of theirs will be smaller than the latitude of the spatium.
E tu ja has inscidit en las extremitatz de quascunas partidas, la on tenes les fils.	And you have made incisions in the extremities of certain divided parts, where you hold the threads.
Aprop agregua quascuna am subtilitat subre aquo que superflueys de la palpebra del huel, e constres las cannas de quascunas partidas am fort strictura, e layssa aquela per alcus jorns, quar la codena per la strictura morira e sira denegada e se poyrira entro que per si meteyssa cayra.	Then add certain subtleties under that which superfluously flows from the eyelid of the wheel, and construct the candles of certain divided parts with a strong structure, and leave it for some days, because the code for the morbid structure will be denied and it will be poured in until you measure yourself falling.
Mays si es tardat, lahoras trenca la am las toroyras, e aprop cura la plagua entro que sia sanat.	But if it is delayed, then cut the skin with the scissors, and then take care of the wound until it is healthy.
Donc cum es solidada, la palpebra es elevada e les pels no pungo.	Since it is consolidated, the eyelid is elevated and the wise men do not puncture.
E aquesta es la forma de doas cannas las quals faras segon aquesta forma:	And this is the method of two candles which you will make according to this form:
e haia la quantitat de la longitut e de la latitut ni mays ni mens.	and it has the quantity of longitude and latitude neither more nor less.
Capitol .xii.	Chapter 12.
De elevacio de pels pungentz en le huel am agula quan le pel es dur.	On the elevation of piercing wise men in the wheel with a needle when the wise man is hard.
Quan son pels no-naturals, durs e aspres e pungentz les huels, lahoras la operacio en lu es que tu prenguas agula subtil e pauses en aquela fiel de ceda subtil e leon, e aprop que tu ajustes las extremitatz de lu e nozes quascu en manieyra mot subtil.	When they are unnatural wise men, hard and asperous and piercing the wheels, then the operation in it is that you take a subtle needle and pause on that delicate thread of silk and lion, and then adjust the extremities of it and make some subtle movement in a subtle manner.
E sia la longitut dels fiels de quantitat de una palma.	And it is the longitude of the threads of the quantity of one palm.
E aprop tu compon2 autre fiel subtil dejos lu en breu, e nuza las extremitatz de aquel si tu·t vols.	And then you combine another subtle thread below it in brief, and knot the extremities of that if you want.
E aprop pause le malaute le sieu cap en le tieu se, e sia prop del solelh per que la tua obra sia declarada, quar es operacio subtil e menuda.	And then pause the patient's head in the tendon, and it is proper of the sun for your work to be declared, because it is a subtle and minute operation.
E aprop intromet la agulha en la razit del pel ajustat la qual ha necessitat de engen, e fay aquela penetrar en la palpebra festinantment entro que extraguas aquela desus le pel natural.	And then introduce the needle into the root of the adjusted wise man which has need of ingenuity, and make it penetrate the eyelid firmly until you extract it beneath the natural wise man.
E aprop tire le pel entro desus e intromet aquel en alixati, e sian les pels un o dos o tres e no mays.	And then pull the wise man from beneath and introduce it into alignment, and be the wise men one or two or three and no more.
E aprop tira la tua ma am aquel entro que·l pel sia fora-gitat am alixolati en la palpebra am le pel natural.	And then pull your hand so that the wise man is dislocated from alignment in the eyelid with the natural wise man.
Mays si es atirat alixalati e non es gitat le pel, atiraras alixati a las partidas dejos am le fiel le qual tu has compost am aquela, entro qu’en sia gitat alixalati del trau sobira.	But if it is dislocated from alignment and the wise man is not guided, you will dislocate alignment at the divided parts below with the thread which you have composed in that, until it is guided to alignment of the upper trajectory.
E vegas aquela am la visio del huel, quar lahoras tu gitaras alixati e lo fiel, e grotan quascu e clautz le huel, e laysse le claus per dos dias o tres, entro que·l pel adheresca al sieu loc e nasque sobre aquel bona carn.	And you will see that in the vision of the wheel, because then you will guide alignment and the thread, and you will bind some and close the wheel, and leave the closure for two days or three, until the wise man adheres to his place and is born above good flesh.
E si es mays breu le pel, lahoras tu ajusta un pel lonc dels pels naturals, e es elevat am aquel, o que·l leysses entro que sia alonguat aprop alcu spazi, e lehoras tu eleva aquel.	And if it is more brief the wise man, then you adjust a long wise man of the natural wise men, and it is elevated in that, or that it remains until it is aligned properly with some space, and then you elevate that.
Capitol .xiii.	Chapter 13.
De la cura de ehacratir la qual ve en la palpebra desus.	On the care of evacuating the humor which is seen in the eyelid beneath.
Quan ve en le huel ehacratir, e es contraccio de la palpebra quan es contrayta en sus, o a dextra o a sinistra partida, per mala consolidacio de plagua o de seccio o de cauteri, e es apelada leporina, e aquesta ahercrati o es natural o accidental, e es fayta per consolidacio de plagua o de seccios o de cauteri, o per semblantz a lor malcuratz.	When the vein in the eyelid is constricted, and it is opposed to the eyebrow when it is contracted on either side, right or left, for bad consolidation of plague or of section or of cautery, and it is called leprosy, and this constriction is natural or accidental, and it is done for consolidation of plague or of sections or of cautery, or for semblance to their evil habit.
May la manieyra de la operacio en lu es que tu fendas aquela consolidacio e que separes las labias de lu, e pauses en lu en aquo que es entre aquelas una meca de drap de li, e ligues aquelas entro que sian sanadas.	Maybe the manner of the operation is that you perform that consolidation and separate the lips from it, and pause in it what is between them a kind of drawing of liquid, and bind them together so they are healthy.
E no cove que tu uses de curacio de lu de las causas las quals exsiccan, constrenho; quar si tu fas aquo retorna alixacratir pus mal que nulh temps no foc habantz.	And do not cover that you use for the cure of it from the causes which are exhausted, constricting; because if you do so returns to the bad state worse than never having had health.
Usa en aquela de causas que mollifico ayssi cum es fenugrec, e embroca am la aygua en la qual son coytz altea e semensa de li, o enguent dyaquilon, le qual sia liquefayt am alcu dels olis, e submergeys en aquel la meca, e cura am aquel.	Use in that of causes which soften thus with fenugrec, and imbue water in which are cooked altea and essence of it, or inject dyaquilon, which is liquefied at the alcove of the joints, and submerge in that measure, and cure in that.
E lo tesaur de la tua curacio es que tu perforsses am tot engen que no sia consolidat segon la forma que foc al comensament.	And the treasure of your cure is that you pierce totally into a whole that is not consolidated according to the form that you began with.
E aquesta operacio la qual havem dita, no es sino alcuna rectificacio de ehalixacrati que no retorna la forma del loc segon que foc denant.	And this operation which we have described, is not but some rectification of bad alignment that does not return the form of the place according to what was beforehand.
Capitol .xiiii.	Chapter 13.
De la cura de ehacrati le qual es fayt en la palpebra dejos.	About the cure of bad alignment which is done on the eyelid below.
Aquesta alxacrati la qual es fayta en la palpebra dejos, la qual es nompnada vertadierament alxacrati; e es de lu alcuna natural, autra accidental.	This bad alignment which is done on the eyelid below, which is naturally called bad alignment; and it is either a natural one or an accidental one.
Mays accidental es fayta per plagua o per scissura o per cauteri o per autres semblantz.	Bad alignment caused accidentally by plague or by section or by cautery or by other similar things.
E la via de la operacio de lu es que tu prenguas una agula en la qual haga fil doble, e fiques aquela en la carn, e que la fassas passar del lacrimal de senestre entro al lacrimal dextre, entro que·l fil pervengua en las doas extremitatz de la carn.	And the method of operation is that you take a needle in which you make a double filament, and fix it in the flesh, and make it pass from the left lacrimal to the right lacrimal, until the filament penetrates into the two extremities of the flesh.
E aprop exten la carn a las partidas desus am la agula e cus aquela am la agula, e inscideys am spatum ample.	And then stretch the flesh to the upper parts above with the needle and sew it with the needle, and insert it into a spatium of ample size.
E donc si retorne la figura de la palpebre segon que cove, bo es; e sino, pren le ray e pausa aquel en la figura fenduda, e am aquel converteys la palpebra, e fen las doas fissuras en le latz de la palpebra dejos.	And then if it returns to the shape of the eyelid as it should be; otherwise, take the thread and pause it in the figured end, and with that convert the eyelid, and make the two fissures on the side of the lower eyelid.
E sian las extremitatz de las doas fissuras de dos angles de la inscizio, la qual has fayta entro que concurren, e sia de lor fayt angle entro que quan se congreguan sia fayta figura de lor.	And they are the extremities of the two fissures at two angles of the incision, which have been made so that they converge, and they are of their made angle until when they gather together they form the figure of theirs.
E aquesta figura es letra greca: la landa.	And this figure is a Greek letter: lambda.
E aprop osta la carn aquela per la quantitat que es le latz de lu agut dejos de lu, aquo que siec la palpebra.	And then lift the flesh for the quantity that is the width of the lower eyelid below it, so that you see the eyelid.
E aprop ajusta las partz seperadas e cos aquelas am le fil de lana; e aprop cura aquelas am aquo que havem dit de las medicinas mollificativas e de las calguas entro que sia sanat.	And then adjust the separated parts and sew them with the thread of wool; and then cure it with what we have said about the softening medications and poultices until it is healthy.
E si alxacrati endeve per fissura o sutura o cauteri, lahoras cove que tu fendas am fissura plana sobre les pels de la palpebra segon que es precedit.	And if bad alignment occurs through fissure or suture or cautery, then it is necessary that you make a flat fissure on the skin of the eyelid according to what has been described.
E aprop separa am la calgua entre doas labias segon que havem dit.	And then separate the poultice between two lips according to what we have said.
En la suma del sermo de la cura de alxacrati quan es desus o dejos, que corra en lu operacio, segon que es preparat de la forma de alxacrati, e aquela es en forma de motas diversitatz.	In the summary of the sermon on the cure of bad alignment when it is above or below, that runs in the operation, according to what is prepared in the form of bad alignment, and that is in various forms of diverse motivations.
E le artifexs savi totz temps prepara engen en quascuna manieyra la qual es possibla a lu entro que fassa retornar la figura a la forma natural, o prop de aquela, e aquel malaute segon que a lu conveneys de la operacio e dels strumentz en las majors disposicios.	And the skilled craftsmen always prepare everything in whatever manner is possible to return the figure to its natural form, or near it, and that evil according to what is convenient for the operation and of the instruments in the major dispositions.
Capitol .xv.	Chapter 15.
De la adherencia de la palpebra am la conjunctiva o am la cornea.	About the adhesion of the eyelid to the conjunctiva or to the cornea.
Quan accideys aquesta consolidacio a motz homes enayssi que sia solidada la palpebra pus desus am le album del huel, e sia prohibida de la facilitat del movement e de las suas obras naturals, donc cove que tu entrometas la extramitat del ray dejos la palpebra, e eleva en sus aquela, o exten aquela am le unci.	When this consolidation happens to many homes in such a way that the eyelid is solidified above the album of the eye, and it is prohibited from the facilitation of movement and of its natural works, therefore it is necessary that you insert the extremity of the thread below the eyelid, and elevate it in its own, or stretch it to the nail.
E aprop tu inscideys la adherencia am spatum subtil, le qual no sia am acuitat de las inscisios, habantz obtus un petit per so que·l malaute no sia inquietat deves la operacio, e remau le spatum que no ledesca le huel am la sua acuitat.	And then you insert the adhesion into a subtle spatium, which is not at the point of the incisions, having obtained an obtuse little hole so that the evil is not disturbed by the operation, and remaining with the spatium that does not lead to the eye in its acuity.
E sia la tua inscizio quays excorjan aquela adherencia am facilitat entro que sia retornada la palpebra segon la sua forma natural e que sia sanada tota la adherencia.	And it is your incision that excavates that adhesion to facilitate until the eyelid returns to its natural form and all the adhesion is healed.
E aprop tu met en le huel aygua salada am la qual tu laves; o distilla en lu de zunia dissolvut en l’aygua.	And then you put in the eye salty water in which you wash; or dissolve zinc oxide in the water.
