Ayssi comensan las paraulas de Albucasim .	Thus we begin to read the paragraphs of Albucasim.
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	And then when peyra falls into the ear or another similar cause among those causes that do not adjust in the ear, and stop the ear from the sun, and if it is peyra, then distill in some cause of violet oil or sizami, and then administer the extraction of it, and make a snuff with conditi, and open the nostrils to receive the benefit of the snuff.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	And then stop in the circle of the ear with some pieces of cloth or wool, and extend the ear to the parts below, because many evacuated matters are forgotten in these causes.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	And if it is not evacuated, then administer extraction of it with the instrument called gesti epicicarios subtle of which this is the form:
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	And if it is forgotten in gesti, good; and if not, then administer the extraction of it with an instrument subtle of little duplication.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	And then if it is not forgotten for that, then make a tube of iron and insert the extremity of the tube into the tract of the ear and close the environment of the tube with wax and oil mollified so that nothing gets in except the tube.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	And then extract it from the tender vein with strong attraction, because many evacuated matters are gathered together as if they had been recounted.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	It is better if it is not forgotten in this manner, then take alum water or prepared vessel according to which the wings of a small quantity are pressed, and stop that at the extremity of the ray, and then wrap around it with hot decoction paused decently.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	And then insert the instrument into the tract of the ear to facilitate, and then extract the ear from humidity.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	So then if not all the causes that we have recounted are forgotten, then you should touch the tooth with your finger to detect whether there is an abscess or spasm.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	And the manner of touching it is that you at the beginning sense the patient's vein pulse and extract the blood according to the manner of their vertigo, and then make a circle between your fingers and convert the ear to the lower parts, and find a small fissure in the root of the ear where the veins of it are premised.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	And it is the lunar-shaped fissure that leads to the stone, and, the stone being obstructed, you can use an appropriate instrument there; and then close the fissure at that hour with velocity, and cure it so that it may be healthy.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	And if the cause resides in the ear is one of the fats that grows and becomes inflamed, then administer the cure and extraction of it; but if you do not obey your own judgment, then take a subtle spatula tuned according to this form:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	and administer to that the abscession of that fat which has fallen into the ear.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	And do not do that when you think that it has already been moistened by the vapor of the ear, and pause in many places, and prepare to extract them with the fingers or gestures subtly, or without incision as we have said, because the extraction of it is alleviated.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	But in the water that has entered into the ear, because the patient uses sternutation at the beginning, and fills the entire ear with a lot of fluid, and pours over that ear where the water is, and if it is forgotten, well; and otherwise, then take three or four fingers' length according to the longitude of the finger, and heat them in a focus for a short time, and the patient inserts one of those into the tract of their ear and sounds above one side of that part and percusses with another stone on the stone that is inside the ear.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	So, do not cease until all the water has been forgotten.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc .i., e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And then the water will be forgotten in this way that you take pieces of paper or of cotton. and place one end of it in the ear and extend the other end to the focus until it is burned by the bad humor of it.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And then put another cotton and do it so many times until all the water is forgotten, and remove that with a cannula as was said about the extraordanary stone.
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	But in the extraction of beast that enters into that ear, if it is a small thing, thus pierce and to its likeness, cure it as we have said in the division; but if it is of great size which causes pain at the time of movement, then administer the extraction of it with gestures and fingers, and the cause of it is put less serious than all the other causes that occur in the ear.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	But in the extraction of worm engendered in the ear, when you cure it with water that we have said in the division and in the treatise on distillations and do not confuse your cure, then it is necessary that you expose the ear to sunlight.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And then if any cause of worms appears here, then extract it with gestures or subtle fingers, but if no cause appears, then take a cannula straight and descending from the width of which this is the form of it:
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	And insert the subtle extremity into the ear according to the quantity that the patient can suffer; and then suck it with strong suction, and do it many times, until all the worms are forgotten.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	But if you do not obey your own judgment, then operate and close in the circuit of the cannula with wax as we have said; then administer distillations which have already been experienced by the ancients in the cure of worms, and you will find it in the treatise on distillations.
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And it is your effusion which you pour out the medicinal oils into the ear with this instrument of which this is the form:
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	And make that of silver or of bronze, straight, in which there is a small hole, and place it thus.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And then it is as they fill what is in the cavity of the cannula, to continue here where it will be necessary.
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	And if you want, take the rod and envelop it decently in the extremity of it, and then put oil in the cavity of the instrument, or juice of some herb, or whatever you want of these medicines in the cannula — and that is in the ear —, and then insert the rod with a warm compress of it until the oil is expelled from the cavity of the instrument and the patient feels the oil dripping.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And what is poured into the ear is already scaled in a focus for a short time.
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	And beware that the cause which you distilled in the auricle is not too frequent, for auricular medicines do not suffice for this.
Capitol .vii.	Chapter 7.
De curacio de opilacio de aurelhas.	On the treatment of obstruction of the ears.
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Some blocked veins in the belly of the mother are not perforated, and that is why it happens in some homes, an obstruction in the middle of the ear due to a plague or carnation in that; and this obstruction occurs in the prominence of the ear canal which does not receive the transmission, and some blocked veins are in the partitions before.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	And that which happens in its prominence, which does not receive the transmission, is in the major dispositions of difficult healing.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And in that which receives the transmission, you should hold the ear of the patient to the sun and gaze into it.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And thus if an apparent obstruction occurs, observe that with a subtle spatulum of which this is the form.
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the extremity of it is where the latitude is small, of which one part is acute and the other not; and the spatulum should be of two soft leon layers so that it does not cause harm to the ear.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	And thus if the obstruction is due to a birthmark in the ear or in its middle, then you should use subtle and vigorous incisions to facilitate the entry of the instrument so that all the flesh is removed.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	And if the obstruction is in the prominence of the ear, then take a subtle iron rod and heat it over fire for a little while, and then place it into the middle of the ear.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	And thus if you have felt an obstruction in that which the patient has facilitated, due to the gravity of the humor, it forces out the oppression of it; and beware that you do not harm the nerves of the ear.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	And then stop in the ear a drop of the oil according to the quantity of the width of the tube which you have involved in the Egyptian ointment; and do it for several days until you are sure of the consolidation of the plague; or take some water and infuse it into a saucepan, and pulverize over the already tritured and use it; and if the ear has been apostemated, then you should extract the water and permute it with another water which you have enveloped in wax that is well-roasted, until it is an apostema-free cauterized spot; and then cure it until it is healed.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	Moreover, if a flow of blood occurs, then submerge a sponge or cloth in cold water and apply it to the ear, and use another remedy that restricts the flow of blood, which is described in the treatise on distillation.
Capitol .viii.	Chapter 8.
De cura de athezil le qual endeveno a las palpebras.	On the treatment of athelial ulcers that occur in the eyelids.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	Athelial ulcers which occur in the eyelids of the eyes, some blocked veins are humid, some blocked veins are dry.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	Then you should hold those with tenacious or onion-like medications, and anoint them with their root extracts, and then apply it to the affected areas thoroughly triturated.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	Moreover, if pain occurs with a flow of blood, then you should cauterize those with a subtle lancet-like cautery.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	And the best cauterization is to return the incisions and many blocked veins when some cause of their roots remains; and when they are cauterized by fire, those roots are burned and do not return.
Capitol .ix.	Chapter 9.
Cura de grandeyssa que veno a las palpebras dels huels.	Treatment of cataracts that occur in the eyelids of the eyes.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	Some blocked veins occur in the eyelids of the eyes due to some cause which is assembled with greatness in its strength and hardness, and thus it is called cataract.
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	And it is an addition of thick humidity in the upper eyelid and underneath.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	Then the operation on them is that you should consider then if the cataract is proceeding in it from what appears on the eyelid and is moved to the entire part; and the cause of it is laziness.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	Then make an incision above it with a width, and then scrape off the entire affected part to facilitate evacuation, and then suspend it with an onion-like medication and absolve it.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	Moreover, if you do not prepare the incision of it, then you should not push so that it penetrates the eyelid with an incision little by little, then it will not be noticed in any case.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	And if the figure is large, then you adjust it with a suture; and cure it until it is healed.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	And if it is small, you will not overcome evil through that which the anguish of it restores and incarnates.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	And if the cataract is declining to the deep parts of the eyelid from the superficial deep parts, then remove the eyelid and suspend the cataract with an onion-like medication, unless you indicate an incision, and prepare it for the entire part, and if the eyelid by incision is elongated, then it will not be noticed in any case.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	And apply the treatment, wash the wound with salt water; and care for the area in which it becomes enclosed so that it may be healthy.
Capitol .x.	Chapter 10.
De la cura axcirnah en la palpebra desus del huel.	About the treatment of abscesses under the eyelid.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	Abscesses are grayish in color, which are generated in the membranes of the eyelid, and worsen especially in children, aggravate the eyes of those who have it, and cloud their clarity of vision; and they cannot gaze at the brightness of the sun because of the great pain that afflicts them.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	And thus you find that they often shut their eyes during the day, and sleep with their eyelids half-closed, which have covered the inflamed membranes, and imminent danger of approaching cataract appears in the eye; and when you press on the place where the veins are, you feel an encroaching abscess.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	And a certain method of operation is in that patient who pauses his evil humor in the vein where it is, and then pause to draw out the fluid and its warmth, and make a circle according to the quantity that contains the entire affected part, and then pause on that area and press on the veins of the entire circle so that an abscess may be gathered in the middle of the circle, and then finish in the middle of that humidity at the spot incident on the fissure, and the fissure is not greater than the one made in phlebotomy.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	You will find in the preceding cavity that you close the entire code entirely so that you may reach the abscess, because in the most disposed processes an abscess forms through a fissure according to the form of white grayness.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	Then extract that fluid which you have enveloped between the veins of the affected parts before and revolves between the right and left hand so that it may be dispersed.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	And beware that you do not adjust on the fissure so that the spatula does not reach the eye and damages it.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	But if the abscess does not appear at the beginning of the fissure, but you adjust on the fissure with a small facilitating instrument so that it may process the abscess; and then extract that fluid as we have said; and then submerge the fluid in water and vinegar and place them over the area and strengthen those poultices.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	And thus you will find that they draw out salt and pause on the cavity of the fissure so that what remains of that humidity is removed.
E aprop cura aquel entro que sia sanat.	And then heal it so that it may be healthy.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	But if there is a post-apostemic ulcer, then treat it with applied poultices so that it may be healthy.
Capitol .xi.	Chapter 11.
De manieyras de tactimi del huel.	About the methods of touching the eye.
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	When the eyelids of the eyes are naturally naked and antique, then they are close to the eye and become accustomed to methods of evil habits such as excessive tears and mollification of the eyelids and webbing, so that it is a cause of destruction of the eye which is called touching of the eye, and it is treated in four ways: either by cauterizing with a focus; or by acute medicine according to what has been said in the chapter on cauterizing; or by making an incision and suturing; or by cantharides as you have heard.
E donc cove que tu pauses le cap del malaute en le tieu se; aprop converteys la palpebra del uelh am la tua ma sinistra, e si es convertida, bo es; e sino, entromet agulha en aquela en la qual sia fiel de la partida pus dejos de la palpebra, e fay penetrar la agulha am fiel desus, e aquo sia — prop del marge de la palpebra en le qual naysso les pels — prop dels pels, e tira le fiel a las partidas desus am la palpebra, e converteys aquela am le ray.	And then you pause the head of the evil humor in the vein where it is; then convert the eyelid of the eye with your left hand, and if it is converted, well; and otherwise, insert a needle in that place where the faith of the affected part is beneath the eyelid, and make the needle penetrate into the faith underneath, and that is — near the edge of the eyelid where the hairs are — near the hairs, and pull the faith to the upper parts beneath the eyelid, and convert it into a ray.
E aprop fen en la partida dedintz de la palpebra dejos les pels ajustatz am spatum inscidentz del lacrimal major entro al lacrimal mendre; e aprop extratz le fiel e pausa dejos la palpebra polvilhs petitz de coto o de drap, e aprop senha sobre la palpebra am tenta, e sia ayssi cum figura de fuelha de mirt.	And then finish in the affected part beneath the eyelid, adjusting with a spatula incident on the major lacrimal into the minor lacrimal; and then extract the faith and pause beneath the eyelid with small poultices of cotton or cloth, and then place a bandage over the eyelid, taut, so that it may be like a figure of a myrtle leaf.
Mays empero cove que sia la figura segon la quantitat de helevacio de la palpebra, quar aquo ja es diversificat en les homes, quar de aquels es le quals indigeys que sia inscidit de la palpebra gran quantitat segon la quantitat per la qual la palpebra es mollificada.	But it is necessary to make the figure according to the quantity of elevation of the eyelid, because that has been diversified in many ways, so that it is the one which indicates that a great quantity should be incised from the eyelid according to the quantity for which the eyelid is mollified.
E aprop fen am le spatum sobre las doas linhas las quals has senhadas, e comensa del lacrimal major entro al lacrimal menor.	And then finish with the spatula over the two lines which have been marked, and begin from the major lacrimal to the minor lacrimal.
E si’ la tua fissura prop dels pels naturals ayssi cum es la grossetut del rey.	And if the fissure is near the natural hairs, thus it is like the largest root of the king.
E aprop met le onci en un dels dos angles de la codena, e aprop excoria aquela tota, e aprop ajusta am la scitura las doas labias am gula o fiel de lana subtil, e abstergeys le sanc, e fay adherir aquo que superflueys dels fiels sobre dos sobrecils am alcunas causas enviscans, si voles far aquo, e sino, non cures.	And then place the ounce in one of the two angles of the code, and then excise all of it, and then adjust with a suture the two labial lips with thread or fine wool, and remove the blood, and make adhere what is superfluous of the lips above the two eyelids for some envisioning causes, if you want to do so, and otherwise, do not cure.
E aprop leyssa la sutura dels fiels entro a tres dias o quatre, e aprop cura aquo.	And you should leave the stitching of the wounds for three or four days, and then take care to heal it.
E si vols, layssa la plagua ses sutura, e cura aquela am aquo que exsicca e constrenh, quar la palpebra es alevada deves la sigillacio de la plagua e la agreguacio de lu; mays sutura es milor E donc aysso diysso les antics de taxanir.	If you want, leave the wound's stitching, and take care to dry and constrict it, because the eyelid is elevated from the sealing of the wound and its aggregation; a better stitching is thus achieved by avoiding the toxins.
Mays empero en lu sia sollicitut sobre le malaute, e es de bona operacio, e no es en lu temor.	It is more often solicited on the patient, and it is a good operation, and it is not in fear.
E es autra manieyra en taxmir, e es que senhes sobre la palpebra figura ayssi cum fuelha de mirt, e aprop eleva la palpebra am tres uncis segreguatz e congreguatz segon aquesta forma:	And it is another manner in taxation, and it is that you sense on the eyelid figure thus as a mirror of myrt, and then elevate the eyelid by three inches separated and gathered according to this form:
Mays si no es possible aquo, tener les uncis, e aquo no es engualhat, lahoras pren una agula en la qual haia fil e met aquela en le mieg de la figura, e entromet le autre fiel prop le lacrimal major, e·l fiel segon prop le lacrimal mendre, e ajusta entre les tieus ditz les fiels am equalitat, e aprop am aquels eleva la tua ma am elevacio engual, eleva tota la codena sobre la qual es senhat ayssi cum havem recomtat.	If it is not possible otherwise, take the inches, and it does not get entangled, then take a needle in which there is thread and place it in the middle of the figure, and enter the other vein near the larger lacrimal, and the vein according to the smaller lacrimal, and adjust between the tissues of the veins equally, and then elevate your hand with elevation, elevate the entire code above which it is sensed thus as I have recommended.
E aprop ajusta las doas labias de la plagua am sutura, e cura aquel entro que sia sanat.	And then adjust the two lips of the wound to stitching, and take care that it enters so that it may be healthy.
Mays si accideys apostema deves la tua inscizio o la tua fissura, seda aquel apostema am cerot e a lu semblantz, e am enguentz.	But if there is an abscess from your incision or your fissure, then that abscess is to be removed and it seems similar, and it is of the same nature.
E alcunas veguadas endeve a la palpebra que·ls sieus pels sian convertitz, adonc cove que tu uses en aquela de aquo que havem dit de inscizio; mays sutura en quascus es mays artificial.	And some veins are seen on the eyelid that seem to be converted, so cover them with something of what we have said about incision; but stitching is sometimes more artificial.
Ataxinir am cannas es segon aquesta forma:	To avoid toxins in this manner:
e es que tu convertas la palpebra e scindas la figura qu’es dedintz segon que he recontat; e aprop per art fay doas cannas o doas astelas subtils de las quals longitut sia segon la longitut de la palpebra e la latitut de lor sia mendra de la latitut del spatum.	and it is that you convert the eyelid and dissect the figure that is deeply seated according to what I have recommended; and then by skillful art make two channels or two subtle threads of which the longitude is according to the longitude of the eyelid and the latitude of theirs is smaller than the latitude of the spatium.
E tu ja has inscidit en las extremitatz de quascunas partidas, la on tenes les fils.	And you have already made incisions in the extremities of certain divided parts, where you hold the threads.
Aprop agregua quascuna am subtilitat subre aquo que superflueys de la palpebra del huel, e constres las cannas de quascunas partidas am fort strictura, e layssa aquela per alcus jorns, quar la codena per la strictura morira e sira denegada e se poyrira entro que per si meteyssa cayra.	Then add subtlety under what superfluously flows from the eyelid of the wheel, and constrict the channels of certain divided parts with strong structure, and leave it for some days, because the code for the strict morbid structure will be denied and will be buried until it is seen that it will collapse.
Mays si es tardat, lahoras trenca la am las toroyras, e aprop cura la plagua entro que sia sanat.	But if it is delayed, then break the crust of the tumors, and then take care to heal the wound until it is healthy.
Donc cum es solidada, la palpebra es elevada e les pels no pungo.	Then when it is consolidated, the eyelid is elevated and the skin does not puncture.
E aquesta es la forma de doas cannas las quals faras segon aquesta forma:	And this is the method of making two channels which you will do according to this form:
e haia la quantitat de la longitut e de la latitut ni mays ni mens.	and it has the quantity of longitude and latitude neither more nor less.
Capitol .xii.	Chapter 12.
De elevacio de pels pungentz en le huel am agula quan le pel es dur.	On the elevation of punctured skin on the wheel with a needle when the skin is hard.
Quan son pels no-naturals, durs e aspres e pungentz les huels, lahoras la operacio en lu es que tu prenguas agula subtil e pauses en aquela fiel de ceda subtil e leon, e aprop que tu ajustes las extremitatz de lu e nozes quascu en manieyra mot subtil.	When the skin is unnatural, hard and rough and punctures the wheels, then the operation on it is that you take a subtle needle and pause in that vein of cedar subtle and lion, and then adjust the extremities of it and move subtly in some manner.
E sia la longitut dels fiels de quantitat de una palma.	And it is the longitude of the veins of a quantity of one palm.
E aprop tu compon2 autre fiel subtil dejos lu en breu, e nuza las extremitatz de aquel si tu·t vols.	And then you compose another subtle vein below it briefly, and numb the extremities of that if you want.
E aprop pause le malaute le sieu cap en le tieu se, e sia prop del solelh per que la tua obra sia declarada, quar es operacio subtil e menuda.	And then stop the patient's blood flow in the vein there, and it is proper of the sun for which your work is declared, because it is a subtle and minute operation.
E aprop intromet la agulha en la razit del pel ajustat la qual ha necessitat de engen, e fay aquela penetrar en la palpebra festinantment entro que extraguas aquela desus le pel natural.	And then introduce the needle into the root of the adjusted skin which has need of ingenium, and make it penetrate the eyelid firmly until you extract it from under the natural skin.
E aprop tire le pel entro desus e intromet aquel en alixati, e sian les pels un o dos o tres e no mays.	And then pull the skin until underneath and introduce it into the alloy, and they are one or two or three skins and no more.
E aprop tira la tua ma am aquel entro que·l pel sia fora-gitat am alixolati en la palpebra am le pel natural.	And then pull your hand until the skin is separated from the alloy in the eyelid with the natural skin.
Mays si es atirat alixalati e non es gitat le pel, atiraras alixati a las partidas dejos am le fiel le qual tu has compost am aquela, entro qu’en sia gitat alixalati del trau sobira.	But if it is stuck to the alloy and the skin is not freed, you will stick the alloy to the divided parts below with the vein which you have composed in that, until it is freed from the alloy of the superior trauma.
E vegas aquela am la visio del huel, quar lahoras tu gitaras alixati e lo fiel, e grotan quascu e clautz le huel, e laysse le claus per dos dias o tres, entro que·l pel adheresca al sieu loc e nasque sobre aquel bona carn.	And look at it in the vision of the wheel, because then you will free the alloy and the vein, and cleanse something and lock the wheel, and leave the lock for two days or three, until the skin adheres to its own place and grows over that good flesh.
E si es mays breu le pel, lahoras tu ajusta un pel lonc dels pels naturals, e es elevat am aquel, o que·l leysses entro que sia alonguat aprop alcu spazi, e lehoras tu eleva aquel.	And if it is shorter the skin, then you adjust a long skin of natural skins, and it is elevated in that, or it remains until it is lengthened then to some space, and then you elevate it.
Capitol .xiii.	Chapter 13.
