Ayssi comensan las paraulas de Albucasim .	The words of Albuquisim begin thus.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	Therefore, extract that with cloths which you have wrapped between the said ties to the outer parts and roll back and forth with your right hand and left hand until it is dispersed.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	And beware that you do not adjust the incision because with the spatula you will not reach the eye and it will be lost.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	But if no suppuration appears to you at the beginning of the incision, but rather that you adjust the incision a little with facility so that it may proceed with suppuration; and properly extract that as we have said; and properly submerge cloths in water, vinegar, and poultice and apply them over the place and strengthen those with powders.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	And thus, some that are salty, pause it in the concavity of the incision because this is what remains of that humidity.
E aprop cura aquel entro que sia sanat.	And properly cure that until it is healed.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	But if there is a painful abscess in the place, then properly cure that with soft poultices until it is healed.
Capitol .xi.	Chapter XI.
De manieyras de tactimi del huel.	On the Manners of Testing the Eye.
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	When in the eyelids of men there are born natural and ancient folds, then those do not belong to the eye and cause to appear mannerisms of illnesses such as constant tears and softening of eyelids and skin until that becomes a cause of destruction of the eye which is called testing the eye, and it is cured in four manners: either by cauterization with fire; or by acute medicine according to what is said before in the chapter on cauterization; or made by atactination through incision and suture; or by canals as you will say.
E donc cove que tu pauses le cap del malaute en le tieu se; aprop converteys la palpebra del uelh am la tua ma sinistra, e si es convertida, bo es; e sino, entromet agulha en aquela en la qual sia fiel de la partida pus dejos de la palpebra, e fay penetrar la agulha am fiel desus, e aquo sia — prop del marge de la palpebra en le qual naysso les pels — prop dels pels, e tira le fiel a las partidas desus am la palpebra, e converteys aquela am le ray.	And therefore, it is necessary that you place the patient's head in the top; properly convert the eyelid of the eye with your left hand, and if it is converted, then it is well; and if not, insert a needle into that which has faith on the part most distant from the eyelid, and make the needle penetrate the faithful one above, and this will be - near the edge of the eyelid where there are no hairs - next to the hairs, and pull out the needle towards the upper parts with the eyelid, and convert it with the ray.
E aprop fen en la partida dedintz de la palpebra dejos les pels ajustatz am spatum inscidentz del lacrimal major entro al lacrimal mendre; e aprop extratz le fiel e pausa dejos la palpebra polvilhs petitz de coto o de drap, e aprop senha sobre la palpebra am tenta, e sia ayssi cum figura de fuelha de mirt.	And properly find yourself at the outer part of the eyelid below the hairs, with a spatula incised by latitude into the lacrimal major towards the lacrimal minor; and properly extract the needle and pause beneath the eyelid with small powder or cloth, and properly send your hand over the eyelid with caution, and it will be as if it were a figure of a myrtle leaf.
Mays empero cove que sia la figura segon la quantitat de helevacio de la palpebra, quar aquo ja es diversificat en les homes, quar de aquels es le quals indigeys que sia inscidit de la palpebra gran quantitat segon la quantitat per la qual la palpebra es mollificada.	But it is necessary that the figure be according to the quantity of elevation of the eyelid, for this is diversified in men, for some of them require that a great quantity of the eyelid be incised according to the quantity by which the eyelid is softened.
E aprop fen am le spatum sobre las doas linhas las quals has senhadas, e comensa del lacrimal major entro al lacrimal menor.	And properly find yourself with the spatula on the two lines which you have marked, and begin from the lacrimal major towards the lacrimal minor.
E si’ la tua fissura prop dels pels naturals ayssi cum es la grossetut del rey.	And if your incision is near the natural hairs like it is the greatest part of the king.
E aprop met le onci en un dels dos angles de la codena, e aprop excoria aquela tota, e aprop ajusta am la scitura las doas labias am gula o fiel de lana subtil, e abstergeys le sanc, e fay adherir aquo que superflueys dels fiels sobre dos sobrecils am alcunas causas enviscans, si voles far aquo, e sino, non cures.	And properly place the onyx in one of the two angles of the cord, and properly excise that whole, and properly adjust with a suture the two lips with a gullet or fine wool, and wash away the blood, and make adhere what is superfluous from the threads to the upper lids with some causes observing, if you wish to do so; otherwise, do not cure.
E aprop leyssa la sutura dels fiels entro a tres dias o quatre, e aprop cura aquo.	And properly loosen the suture of the threads in three or four days, and properly cure that.
E si vols, layssa la plagua ses sutura, e cura aquela am aquo que exsicca e constrenh, quar la palpebra es alevada deves la sigillacio de la plagua e la agreguacio de lu; mays sutura es milor E donc aysso diysso les antics de taxanir.	And if you wish, leave the wound without suture and cure that with something that dries and constrains, for the eyelid is lifted from the sealing of the wound and the accumulation of pus; but suture is better. And thus, those who are wise will not tax you.
Mays empero en lu sia sollicitut sobre le malaute, e es de bona operacio, e no es en lu temor.	But in this case, there is solicitude about the patient, and it is of good operation, and not in vain.
E es autra manieyra en taxmir, e es que senhes sobre la palpebra figura ayssi cum fuelha de mirt, e aprop eleva la palpebra am tres uncis segreguatz e congreguatz segon aquesta forma:	And there is another manner in taxing, and it is that you mark on the eyelid a figure like a myrtle leaf, and properly lift the eyelid with three separate and gathered threads according to this form:
Mays si no es possible aquo, tener les uncis, e aquo no es engualhat, lahoras pren una agula en la qual haia fil e met aquela en le mieg de la figura, e entromet le autre fiel prop le lacrimal major, e·l fiel segon prop le lacrimal mendre, e ajusta entre les tieus ditz les fiels am equalitat, e aprop am aquels eleva la tua ma am elevacio engual, eleva tota la codena sobre la qual es senhat ayssi cum havem recomtat.	But if it is not possible to take three threads, and this is not equivalent, then you should take a needle with thread and put that in the middle of the figure, and insert another thread on the lacrimal major, and the second thread on the lacrimal minor, and adjust between the said ties the threads with equality, and properly, with those, lift your hand with equal elevation, lift all the cord above which is marked as we have recounted.
E aprop ajusta las doas labias de la plagua am sutura, e cura aquel entro que sia sanat.	And properly adjust the two lips of the wound with suture, and cure that until it is healed.
Mays si accideys apostema deves la tua inscizio o la tua fissura, seda aquel apostema am cerot e a lu semblantz, e am enguentz.	But if there is an abscess from your incision or your wound, settle that abscess with cerote and similar powder, and with gentle touches.
E alcunas veguadas endeve a la palpebra que·ls sieus pels sian convertitz, adonc cove que tu uses en aquela de aquo que havem dit de inscizio; mays sutura en quascus es mays artificial.	And sometimes the eyelid becomes converted to its own hairs, then it is necessary that you use in that what we have said about incision; but suture in any case is more artificial.
Ataxinir am cannas es segon aquesta forma:	Atactination by canals is according to this form:
e es que tu convertas la palpebra e scindas la figura qu’es dedintz segon que he recontat; e aprop per art fay doas cannas o doas astelas subtils de las quals longitut sia segon la longitut de la palpebra e la latitut de lor sia mendra de la latitut del spatum.	and it is that you convert the eyelid and cut out the figure which is below according to what I have recounted; and properly by art, make two canals or two fine tubes from which the length is according to the length of the eyelid and the width is smaller than the width of the spatula.
E tu ja has inscidit en las extremitatz de quascunas partidas, la on tenes les fils.	And you have already incised at the ends of each part, where you have the threads.
Aprop agregua quascuna am subtilitat subre aquo que superflueys de la palpebra del huel, e constres las cannas de quascunas partidas am fort strictura, e layssa aquela per alcus jorns, quar la codena per la strictura morira e sira denegada e se poyrira entro que per si meteyssa cayra.	And properly add each one with subtlety above that which is superfluous from the eyelid of the eye, and constrict the canals of each part with a strong stricture, and leave it for some days, for the cord will die and be separated and will sink in until it falls by itself.
Mays si es tardat, lahoras trenca la am las toroyras, e aprop cura la plagua entro que sia sanat.	But if it is delayed, then properly break the threads with tornoras, and properly cure the wound until it is healed.
Donc cum es solidada, la palpebra es elevada e les pels no pungo.	Therefore, when it is solidified, the eyelid is lifted and the hairs do not prick.
E aquesta es la forma de doas cannas las quals faras segon aquesta forma:	And this is the form of two canals which you will make according to this form:
e haia la quantitat de la longitut e de la latitut ni mays ni mens.	and it has the quantity of length and width neither more nor less.
Capitol .xii.	Chapter XII.
De elevacio de pels pungentz en le huel am agula quan le pel es dur.	On the Lifting of Pricking Hairs in the Eye with a Needle when the Hair is Hard.
Quan son pels no-naturals, durs e aspres e pungentz les huels, lahoras la operacio en lu es que tu prenguas agula subtil e pauses en aquela fiel de ceda subtil e leon, e aprop que tu ajustes las extremitatz de lu e nozes quascu en manieyra mot subtil.	When the hairs are unnatural, hard and rough and prickly to the eyes, then the operation in that case is that you take a fine needle and pause it on that thread of fine and subtle wool, and properly adjust the ends of it and notice all things in a manner quite subtle.
E sia la longitut dels fiels de quantitat de una palma.	And be the length of the threads of the quantity of one palm.
E aprop tu compon2 autre fiel subtil dejos lu en breu, e nuza las extremitatz de aquel si tu·t vols.	And properly you compose another fine thread below it in brief, and knot the ends of that one if you wish.
E aprop pause le malaute le sieu cap en le tieu se, e sia prop del solelh per que la tua obra sia declarada, quar es operacio subtil e menuda.	And properly place the patient's head in the top and be next to the sun so that your work is declared, for it is a subtle and small operation.
E aprop intromet la agulha en la razit del pel ajustat la qual ha necessitat de engen, e fay aquela penetrar en la palpebra festinantment entro que extraguas aquela desus le pel natural.	And properly insert the needle into the root of the adjusted hair which has required engineering, and make it penetrate into the eyelid hastening until you extract that above the natural hair.
E aprop tire le pel entro desus e intromet aquel en alixati, e sian les pels un o dos o tres e no mays.	And properly pull out the hair above and insert it into its place, and be the hairs one or two or three, but not more.
E aprop tira la tua ma am aquel entro que·l pel sia fora-gitat am alixolati en la palpebra am le pel natural.	And properly pull out your hand with that until the hair is outside and in its place in the eyelid with the natural hair.
Mays si es atirat alixalati e non es gitat le pel, atiraras alixati a las partidas dejos am le fiel le qual tu has compost am aquela, entro qu’en sia gitat alixalati del trau sobira.	But if it is attracted to the eyelid and not removed the hair, then you will pull out the eyelid from the parts below with the thread which you have composed in that, until it is removed from above.
E vegas aquela am la visio del huel, quar lahoras tu gitaras alixati e lo fiel, e grotan quascu e clautz le huel, e laysse le claus per dos dias o tres, entro que·l pel adheresca al sieu loc e nasque sobre aquel bona carn.	And look at that with the vision of the eye, because then you will remove the eyelid and the thread, and all the hair and skin around the eye, and leave the clamps for two or three days until the hair adheres to its place and grows well on top of it.
E si es mays breu le pel, lahoras tu ajusta un pel lonc dels pels naturals, e es elevat am aquel, o que·l leysses entro que sia alonguat aprop alcu spazi, e lehoras tu eleva aquel.	And if the hair is too short, then you will adjust one long hair from the natural hairs, and it will be lifted with that, or let it grow until it becomes approximately as long as the space between them, and then you will lift that.
Capitol .xiii.	Chapter XIII.
De la cura de ehacratir la qual ve en la palpebra desus.	On the Cure of Echacration which appears on the Eyelid above.
Quan ve en le huel ehacratir, e es contraccio de la palpebra quan es contrayta en sus, o a dextra o a sinistra partida, per mala consolidacio de plagua o de seccio o de cauteri, e es apelada leporina, e aquesta ahercrati o es natural o accidental, e es fayta per consolidacio de plagua o de seccios o de cauteri, o per semblantz a lor malcuratz.	When it appears on the eye echacration, and it is contraction of the eyelid when it is contracted in its own direction, or to the right or left side, due to bad consolidation of wound or scarring or cauterization, and it is called leporina, and this echacration is either natural or accidental, and is caused by consolidation of wound or scarring or cauterization, or by resemblance to their maladies.
May la manieyra de la operacio en lu es que tu fendas aquela consolidacio e que separes las labias de lu, e pauses en lu en aquo que es entre aquelas una meca de drap de li, e ligues aquelas entro que sian sanadas.	The manner of the operation in this case is that you will cut through that consolidation and separate the lips of it, and pause in it where there is a piece of cloth between them, and tie those together until they are healed.
E no cove que tu uses de curacio de lu de las causas las quals exsiccan, constrenho; quar si tu fas aquo retorna alixacratir pus mal que nulh temps no foc habantz.	And it is not necessary that you use a cure for this from the causes which dry up and constrict; for if you do so, it will return to echacration even worse than at any time without fire.
Usa en aquela de causas que mollifico ayssi cum es fenugrec, e embroca am la aygua en la qual son coytz altea e semensa de li, o enguent dyaquilon, le qual sia liquefayt am alcu dels olis, e submergeys en aquel la meca, e cura am aquel.	Use in that from causes which soften as is fenugreek, and infuse with water in which are cooked high and scented leaves of it, or gentle aquilon, which is liquefied with some of the oils, and immerse the piece in it, and cure with that.
E lo tesaur de la tua curacio es que tu perforsses am tot engen que no sia consolidat segon la forma que foc al comensament.	And the treasure of your cure is that you pierce through all the way that is not consolidated according to the form that was at the beginning.
E aquesta operacio la qual havem dita, no es sino alcuna rectificacio de ehalixacrati que no retorna la forma del loc segon que foc denant.	And this operation which we have described is nothing but some correction of echacration that does not return to the form of the place as it was before.
Capitol .xiiii.	Chapter XIV.
De la cura de ehacrati le qual es fayt en la palpebra dejos.	On the Cure of Echacration which is made in the Eyelid below.
Aquesta alxacrati la qual es fayta en la palpebra dejos, la qual es nompnada vertadierament alxacrati; e es de lu alcuna natural, autra accidental.	This echacration which is made in the Eyelid below, which is truly called vertaderament echacration; and it is of some natural, other accidental.
Mays accidental es fayta per plagua o per scissura o per cauteri o per autres semblantz.	But accidental is made by wound or by scarring or by cauterization or by other similar things.
E la via de la operacio de lu es que tu prenguas una agula en la qual haga fil doble, e fiques aquela en la carn, e que la fassas passar del lacrimal de senestre entro al lacrimal dextre, entro que·l fil pervengua en las doas extremitatz de la carn.	And the way of the operation is that you take a needle with double thread, and insert it into the flesh, and make it pass from the left lacrimal to the right lacrimal, until the thread reaches both ends of the flesh.
E aprop exten la carn a las partidas desus am la agula e cus aquela am la agula, e inscideys am spatum ample.	And properly extend the flesh to the parts above with the needle and cut it with the needle, and incise with a spatula wide.
E donc si retorne la figura de la palpebre segon que cove, bo es; e sino, pren le ray e pausa aquel en la figura fenduda, e am aquel converteys la palpebra, e fen las doas fissuras en le latz de la palpebra dejos.	And therefore, if the figure of the eyelid returns as it should be, then it is good; and if not, take the ray and pause it in the split figure, and with that convert the eyelid, and close the two fissures on the left side of the eyelid below.
E sian las extremitatz de las doas fissuras de dos angles de la inscizio, la qual has fayta entro que concurren, e sia de lor fayt angle entro que quan se congreguan sia fayta figura de lor.	And be the ends of the two fissures at two angles of the incision which you have made so that they converge, and be the angle of their union such that when they come together, a figure is formed from theirs.
E aquesta figura es letra greca: la landa.	And this figure is Greek letter: lambda (λ).
E aprop osta la carn aquela per la quantitat que es le latz de lu agut dejos de lu, aquo que siec la palpebra.	And properly remove the flesh that much as is the length of the eyelid below, which is the thickness of it.
E aprop ajusta las partz seperadas e cos aquelas am le fil de lana; e aprop cura aquelas am aquo que havem dit de las medicinas mollificativas e de las calguas entro que sia sanat.	And properly adjust the separated parts and sew them with wool thread; and properly cure those with what we have said of softening medicines and cauls until it is healed.
E si alxacrati endeve per fissura o sutura o cauteri, lahoras cove que tu fendas am fissura plana sobre les pels de la palpebra segon que es precedit.	And if echacration develops through fissure or suture or cauterization, then it is necessary that you cut with a flat incision on the hairs of the eyelid as was previously said.
E aprop separa am la calgua entre doas labias segon que havem dit.	And properly separate with a caulus between two lips, according to what we have said.
En la suma del sermo de la cura de alxacrati quan es desus o dejos, que corra en lu operacio, segon que es preparat de la forma de alxacrati, e aquela es en forma de motas diversitatz.	In the sum of the sermon on the cure of echacration when it is above or below, that runs in the operation, according to what was prepared for the form of echacration, and that is in the form of various movements.
E le artifexs savi totz temps prepara engen en quascuna manieyra la qual es possibla a lu entro que fassa retornar la figura a la forma natural, o prop de aquela, e aquel malaute segon que a lu conveneys de la operacio e dels strumentz en las majors disposicios.	And the skilled artisan has always prepared engineering in any manner possible to it so that it may return the figure to its natural form or almost that, and this patient according to what is suitable for it from the operation and instruments in the greatest dispositions.
Capitol .xv.	Chapter XV.
De la adherencia de la palpebra am la conjunctiva o am la cornea.	On the Adhesion of the Eyelid to the Conjunctiva or Cornea.
Quan accideys aquesta consolidacio a motz homes enayssi que sia solidada la palpebra pus desus am le album del huel, e sia prohibida de la facilitat del movement e de las suas obras naturals, donc cove que tu entrometas la extramitat del ray dejos la palpebra, e eleva en sus aquela, o exten aquela am le unci.	When this consolidation occurs in some men, it is as if the eyelid were solidified above the album of the eye, and prohibited from the facility of movement and its natural works, therefore it is necessary that you insert the extremity of the ray below the eyelid, and lift it up or stretch it with an uncial.
E aprop tu inscideys la adherencia am spatum subtil, le qual no sia am acuitat de las inscisios, habantz obtus un petit per so que·l malaute no sia inquietat deves la operacio, e remau le spatum que no ledesca le huel am la sua acuitat.	And properly you incise the adhesion with a spatula that is not sharp in its inscriptions, having obtuse a little bit so that the patient is not troubled during the operation, and remove the spatula that does not scratch the eye with its sharpness.
E sia la tua inscizio quays excorjan aquela adherencia am facilitat entro que sia retornada la palpebra segon la sua forma natural e que sia sanada tota la adherencia.	And be your incision such that it excoriates that adhesion with ease, so that the eyelid returns to its natural form and all the adhesion is healed.
E aprop tu met en le huel aygua salada am la qual tu laves; o distilla en lu de zunia dissolvut en l’aygua.	And properly you put in the eye salty water with which you wash; or distillate it from zest dissolved in water.
E aprop separa entre la palpebra e l’huel am calgua de li, e pausa sobre le huel lana infuza en album de huou, e aprop le tertz jorn usa de causas consolidativas entro que sia sanat.	And properly separate between the eyelid and the eye with a caulus of linen, and pause over the eye wool infused in album of oil, and properly use for four days causes consolidative until it is healed.
Capitol .xvi.	Chapter XVI.
De inscizio de ungla e de eminencia de carn dels lacrimals.	On the Incision of the Nail and Eminence of Flesh of the Lacrimal.
Sapias que ungla es segon dos manieyras, quar o es nervosa, e es semblant a ciphac dur subtil; o es no-nervosa, semblant a humiditat blanca congilada, la qual quan ferr la toca, o es forsat aquela prendre am onci, es abscindida e le onci no es ficat en lu.	Know that the nail is according to two manners, for either it is nervous, and is similar to a hard and subtle ciphac; or it is non-nervous, similar to white congealed humidity, which when iron touches it, or is forced to take with an ounce, it is abscinded and the ounce is not placed in it.
E amdos las specias no comensan sino del lacrimal major entro que va petit a petit que cobre la vista e prohibeys le lum e·l movement de huel.	And both species do not begin except from the lacrimal major, until it gradually covers the vision and prohibits light and movement of the eye.
Mays la manieyra del obrar en la inscizio de lu es que·l malaute pause le sieu cap en le tieu se, e aprop obre les huels de lu, e eleva la palpebra am la tua ma, e aprop colligeys la ungla am onci de pauca duplicacio e exten aquela a las partidas desus.	But the manner of working in this incision is that the patient puts their head in its place, and properly opens the eyes of it, and lifts the eyelid with your hand, and properly collects the nail with an ounce or two of duplication and stretches it to the upper parts.
E aprop pren una agula e entromet en aquela un pel de cavalh o de buou o de vaqua, o de semblantz, o de fiel fort, o duplica la extremitat de la agulha petit a petit e fica aquela en le mieg de la ungla, e penetra aquela am la agulha, e lia am fiel la ungla; e exten aquela a las partidas desus, e excorja am le pel le latz de la ungla lo qual siec la pupilla.	And properly take a needle and insert into that a piece of horse or ox or cow hair, or something similar, or a strong thread, and duplicate the end of the needle little by little and put it in the middle of the nail, and penetrate it with the needle, and tie it to the nail; and stretch it to the upper parts, and excise on the side of the nail which is opposite the pupil.
E ayssi tu sieguas aquela am le pel entro al derier de lu.	And thus you follow that with hair until the end of it.
E aprop tu inscideys le romanent en la razitz del lacrimal am spatum subtil o am petitas forfexs, e leysa la carn del lacrimal natural per so que per inscizio de aquela no endevengua fluxs de lagremas continuabla.	And properly you incise the remainder in the root of the lacrimal with a spatula or small forceps, and let the natural flesh of the lacrimal be seen so that through the incision of it there is no continuous flow of tears.
E alscunas vetz la ungla am le sol onci estenduda o am fiel, ayssi co havem dit, e aprop sia excurjat am spatum leon del qual aquesta es la forma de lu:	And sometimes the nail is extended or tied with an ounce or thread, as we have said, and properly it is excised with a spatula like this:
E guarda te que am le spatum no toques la tunica cornea e que avengua en lu ruptura, e que la pupilla sia perforada.	And beware that with the spatula you do not touch the tunic of the cornea and that there is a rupture in it, and that the pupil be perforated.
Aprop la inscizio geta en le huel un pauc de sal trissa o di cief fayt de siniar, e leyssa aquel entro al autre dia; e aprop cura aquel am aquo que cove entro que sia sanat.	And properly the incision gets in the eye a little bit of salted or made from sinew, and let it stay there until another day; and properly cure that with what is needed until it is healed.
E si la ungla no es nervoza e no podes metre la agulha, ni es ficada en aquela le onci, lahoras motas veguadas aquesta specia de ungla es curada am medicinas, e es sanada ayssi cum yeu e recomtat en la divisio.	And if the nail is not nervous and you cannot put the needle in it, nor is the ounce tied to that, then many times this species of nail is cured with medicines, and is healed thus as you and recounted in the division.
E si tu vols inscindir aquela, lahoras tu obre le huel del malaute e pren spatum subtil leon de freul acuitat segon aquesta forma:	And if you want to incise it, then you will open the eye of the patient and take a spatula with a subtle edge, lion-like in sharpness, according to this form:
am subtilitat.	with subtlety.
E si vezes que aquela es rarificada e es confugida e empren en aquela razit, lahoras distilla de la tua ora en le huel de cief fayt de siniar o am cief rog o am sal trissat, e opila le huel entro a l’autre dia.	And if at times it is rarefied and is confused and taken in its root, then distill from your hour into the eye made of sinew or with rough silk or with salted, and anoint the eye until another day.
E aprop itera sobre aquela la operacio entro que sia remaugut tot aquo que es de lu, sino que·l contrari apostema caut sia en le huel, quar lahoras tu leyssa aquela, e cura al comensament la apostema entro que sia sanat.	And properly iterate over that operation until all that is of it is removed, except that the contrary aposteme be in the eye, because then you will leave it, and cure at first the aposteme until it is healed.
E aprop itera la tua operacio sobre aquela am razo entro que sia sanat.	And properly iterate your operation over that with reason until it is healed.
La emenencia de la carn lacrimal, si notz en le huel per gran nocument, sia suspendut am onci; e inscideys aquela de aquela una partida, e no ultimes la inscizio per so que no inscidesqua fluxs de lagremas.	The emminence of the lacrimal flesh, if noted in the eye with great inconvenience, be suspended with an ounce; and incise it from that part, and do not finish the incision so that you do not excite a flow of tears.
E aprop distilla en le lacrimal cief rog e fayt de siniar entro que sia sanat.	And properly distill into the lacrimal rough silk and made from sinew, until it is healed.
Capitol .xvii.	Chapter XVII.
De inscizio de alguazardenic e de aquo que es nascut de carn ajustada en le huel.	On the Incision of Algae and the Water that is born from Adjusted Flesh in the Eye.
Alcunas veguadas en les huels de alcus es nascuda carn roga, e es sobre-pausada entro que cobre la pupilla, o apropinqua o estrenh sobre las palpebras e fort leu comprem las palpebras a las partidas deforo e es assemblada a roza de balaustra.	Some times in the eyes of some people is born red flesh, and it is over-paused until it covers the pupil, or approaches or stretches above the eyelids and strongly compresses the eyelids to the outer parts and is assembled like a rose of balustrade.
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	But the operation in this case is that the patient puts their head in its place; and properly opens the eyes of it and collects all that red flesh with suitable ounces, and take that with a forceps or with a basket; and properly incise the flesh at first until everything is finished with the encisor, and beware of the eye that you do not scratch it with your operation.
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	And be your incision with which you cut those or with spatula which we have recounted in the incision of the nail, or with small forceps with which it is gathered according to what will come as the form of it approaches this chapter.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	Therefore, when your incision is completed and all that red flesh is removed, then fill the eye with salted, or distill into it a reddish powder and similar to that of corrosive medicines, and pause over the eye outside covered with album of oil until you are assured of the contrary aposteme.
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	And if there remains some cause of algae and is seized by a contrary aposteme, and you fear the contrary aposteme, then leave the eye and cure that aposteme with what brings that aposteme, and properly iterate over that with operation until it is healed, and similarly do in the adjusted flesh which occurs in the eye of this species.
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	But however you must know that you should alienate all cure of the eye from its natural or accidental course, and work with iron, and not put your hand on any of these operations until you see that member is sufficient for that operation.
Capitol .xviii.	Chapter XVIII.
De colleccio de sabel en le huel.	On the Collection of Scales in the Eye.
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	Scales that come red and are thickened over the eye and prevent it from performing its function, and reveal the eye with length of days.
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	Therefore it is necessary at first that you consider whether the eye in which there are scales is strong and in it there is no other disease than scales, then you collect those scales.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	And it is that you command the patient to put their head in its place, and properly suspend those veins with one ounce or two according to your prudence; and let that ounce be of subtle duplication, according to this form:
o so dos oncis gradantment en un cos segon aquesta forma:	or two ounces gradually in one mass, according to this form:
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	And properly are collected those veins with subtle forces, with subtlety, and wash away the blood hour by hour, until you see those veins to be removed from the eye and turned around.
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	And beware that you do not scratch the eye with the extremities of the spatula; and if your operation is at midday before the sun, and be very firm in your operation so that you do not incise anything but those veins.
E quan tu auras complitz, lahoras tu distilla en le huel cief vert o rog per que am sa acuitat corrodesca aquo que es remaugut del sabel.	And when you have completed, then you distill into the eye green or red powder so that with its sharpness it corrodes the water that is removed from the scales.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	But if it is not possible for you to collect all at that hour, then you anoint all with the water that brings relief to the eye, and leave it for some days until the pain of the eye is assuaged and is assured of the contrary aposteme.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	And properly iterate over that according to the same manner, until it is healed.
E aquesta es la forma de las forfexs:	And this is the form of the forceps:
Capitol .xix.	Chapter XIX.
De reduccio de arizati al nas.	On the Reduction of Deformities at the Nose.
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	When you cure deformities with cauterization or with acute medicine, as it is preceded by the narration of it and not healed, then do not make an opening in it but rather open over the aposteme of the maturity of it, and extract all the humidity that is in it and pour it into the bone.
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	And therefore when the bone is uncovered and corruption or blackness appears in it, then you scrape it with an instrument of which this is the form:
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	And it is named the "aspre cap", and is made of iron, and has a red head like that which is made pointed by the punctation of lime or alkali, with subtle punctation (such as is in the following form).
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	And pause that over the rotten part of the bone, and properly revolve it between the two said, and press your hand little by little until you know that the corruption is clean.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	And this will be done some times, and properly restore the place with drying and astringent causes.
