Ayssi comensan las paraulas de Albucasim .	The opening words of the treatise begin: "Thus begins the words of Albucaisem."
Motas veguadas endeve a motz homes en las partidas dedintz de las suas labias alcus apostemas durs semblantz a gras de errs, e alscunas de lors son mendres e alcunas son majors.	Many times it happens that certain men in the Parts Behind of their Lips have some hard and stubborn apostemas resembling errors, and some are smaller and others are larger.
Donc cove que tu convertas las labias e fendas quascuna de aquelas duricias de tota part, e aprop la abscizio umpliscas le loc de sagi trissat entro que·l sanc sia restrengut, e aprop sia lavat am vi agre e sia curat le loc am aquo que es stipticitat, entro que sia sanat.	Therefore you must convert the lips and fissures each of those hardnesses of all parts, and immediately fill the location with sagacious fat until the blood is restrained, and then be washed with vinegar and be cured the location with what exists and is stiptic, until it is healed.
Capitol .xxviii.	Chapter XXVIII.
De inscizio de la carn ajustada en las gengivas.	On the Insertion of Adjusted Flesh into the Gums.
Granre de veguadas nays sobre la gengiva carn ajustada la qual les antics apelero albulus, adonc cove que tu suspendas aquela am onci o que tenguas aquela am las forfecs e inscidas aquela deves la sua razit, e leyssas la sania correr o le sanc.	Great many times they have said over the gum adjusted flesh which the ancients called albulus, therefore you must suspend that with a needle or that you take that with forceps and insert it as it should be, and let the blood flow or run.
E aprop pausa sobre le loc sagi trissat o autra polveras stipticas o excicativas.	And immediately pause over the location with sagacious fat or other powders that are stiptic or excitant.
E si aquela carn retorna, lahoras inscideys aquela segundariament, e cauterisa aquela, quar aprop le cauteri no retornara.	And if the flesh returns, then immediately reinsert it secondarily, and cauterize it, for immediately after cauterization it will not return.
Capitol .xxix.	Chapter XXIX.
De razo de dentz am ferr.	On the Reason of Teeth with Iron.
Quan en la superficia de las dentz de las partidas dedintz e de las de foro e entre las gingivas so ajustadas escorsas aspras, legas, e alcunas veguadas son de nigradas e son faytas citrinas o vertz entro que a la gingiva ve per aquo corrupcio e son faytas las dentz legas.	When on the surface of the teeth of the parts behind and those of the front and between the gums, there are adjusted rough, sharp, and some blackened, and some yellowed or greenish, so that the gum is corrupted by it, and the teeth become loosened.
E donc cove que tu fassas sezer le malaute entre las tuas mas e pausar le cap de lu en le tieu se, e ratz las dents en las quals apareysso aquelas escorsas e causas semblantz arena entro que de lor no romangua deguna causa, e aquo fay de la negror e de la citrinitat e de las autras entro que sian mondificadas.	And therefore you must make the malady cease between your hands and pause the head of it in its own place, and ratify the teeth on which those roughnesses and causes similar to sand appear, until there is no longer any cause remaining, and do this with the blackness and yellowness and other things so that they are purified.
Donc si es ostat aquo que es en aquelas del comensament de la razio, bo es; e sino, lahoras tu itera la razio sobre aquelas al autra dia e al segon e al tertz entro que vengua al derier stament en aquo que tu vols.	Therefore, if this is the beginning of the reason, good is; and if not, then you must iterate the reason on those for another day and second and third until it reaches the final statement in what you desire.
E sapias que las dentz han necessitat de motz rezoris de diversas formas e de motas figuras segon que es preparat a la tua operacio.	And know that teeth have needed many remedies of diverse forms and figures according to how it is prepared for your operation.
E per so quar le razori am le qual la dent es raza de la partida dedintz es autre del razori am le qual es ras entre las dentz segon autras formas, e aquestas formas de razoris sian deves tu preparadas las quals veyras tantost:	And therefore, because the remedies with which the tooth is rased from the part behind are different from those with which it is rasped between teeth according to other forms, and these forms of remedies must be prepared by you which you will see at once:
Capitol .xxx.	Chapter XXX.
D’eradicacio de dentz.	On the Extraction of Teeth.
Cove que tu cures la dent de la sua dolor am tot engen e tardes en tota eradicacio de lu, quar no es denguna causa que suplisqua la veguada de lu quan es eradicada, quar es sustancia sublima entro que es excusacio en la eradicacio de lu.	Therefore you must cure the tooth of its pain with all care and attention in every extraction of it, because there is no cause that surpasses the frequency of its occurrence when it is extracted, for it is a subtle substance entering into excuse in the extraction of it.
Mays cove quan le malaute es forsat aquela dent eradicar, que fermament deves tu sia certificat quala es la dent dolent, quar motas veguadas la dolor descep le malaute e cuga que sia en dent sana, e tu eradicas aquela e aprop la dolor no cessa entro que la dent malauta e dolent sia eradicada, quar nos ja havem vist aquo per operacio dels barbies.	But when the malady is firmly seated in that tooth to be extracted, then you must be certain that it is a painful tooth, because many times the pain deceives the malady and claims to be in a healthy tooth, and you extract that one and immediately the pain does not cease until the sick and painful tooth is extracted, for we have already seen this through the operation of barbers.
Donc cum deves tu es sertificat qual es la dent dolent, e que o sabes be, lahoras cove que tu scarifiques en le circuit de la dent am spatum en le qual sia alcuna vertut, entro que sia dissolvut de la dent de la gingiva de tota partida, e aprop mau aquel am les tieus ditz, o am forfexs subtils al comensament petit a petit entro que aquela concucesquas.	Therefore, since you must be certain which is the painful tooth, and when you know well, then it is necessary that you scarify in the circuit of the tooth with spatula in the place where there is some virtue, so that it dissolves from the tooth to the gum of all parts, and then immediately remove it with those said ditz, or with fine forceps little by little until it is extracted.
E aprop alogua en lu fortz tenalhas grans per bona loquacio o estuptura fort, e pausa le cap del malaute entre les tieus denolhs que be le tengues que no·s maugua, e aprop tratz la dent segon rectitut en manieyra que no trenques aquela, ni al malaute major dolor no dones.	And immediately grasp in it with great forceps for good speaking or strong extraction, and pause the head of the malady between those said ditz that hold you not to be mauled, and then extract the tooth according to rectitude in a manner that does not break it, nor give greater pain to the malady.
E donc si no es foro-getat, lahoras pren un de aquels instrumentz, e met aquel dejos lu de tota part am facilitat e esforsa la remocio de lu ayssi que es feyt al comensament.	And therefore, if it is not forgotten, then take one of those instruments and place it deep into the tooth from all parts with facility and effort the removal of it as was done at the beginning.
Mays si la dent es trauquada o corrosa, lahoras cove que tu comples de drap aquel trauc e estrenguas aquel am la extremitat de ray subtil per so que no sia trinquada en la hora de la tua constriccio sobre aquela am tenalas.	But if the tooth is bruised or corroded, then it is necessary that you wrap with cloth that bruise and strengthen it with a thin thread at the extremity of a subtle ray so that it is not torn in the hour of your constriction upon it when you take hold.
E cove que tu obres exquesitament am scarificacio en le circuit de tota part de la gingiva e guarda mot la tua fortaleza que no trenques aquela e romangua partida de lu, e retorne sobre le malaute per la malicia que sia majo que la primieyra dolor de lu.	And it is necessary that you work with great exactness with scarification in the circuit of all parts of the gum and guard your strength so that you do not break it and leave a part of it, and return to the malady for the maliciousness which is greater than the first pain of it.
E guarda te que no fassas aquo que fan alscus ignorantz barbiers en lor fistinacio e audacia sobre la eradicacio de lor, ses que no aministran aquo que nos havem recomtat; quar motas veguadas fan venir sobre les homes malautias grans las quals son pus dificils que sian trinquadas, e las razitz de lor remaugudas totas, o alcunas de aquelas, o que extrayguas aquela am alcus osses de la mandigula ayssi cum motas veguadas havem testificat.	And beware that you do not do as some ignorant barbers do in their recklessness and audacity in the extraction of their teeth, without administering what we have recommended; for many times they bring upon men great illnesses which are more difficult to be torn out, and the roots of their remaugudas all or some of those, or that you extract it with some bones from the jawbone just as many times we have testified.
E aprop la eradicacio de lu sia lavada la boca am vi caut o vi agre am sal.	And immediately after extraction, wash the mouth with vinegar or lemon juice and salt.
E si endeve fluxs de sanc per aysso, ayssi cum motas veguadas endeve, lahoras trissa alcuna quantitat de zegi e aspergeys sobre la plagua, e si no confereys aquel zegi, cauteriza.	And if there is bleeding after this, just like many times there has been, then immediately sprinkle some quantity of rose water and apply it to the wound, and if that rose water does not concur, cauterize.
La forma de las forceps e tenalas subtils am las quals es mauguda la dent al comensament sia de longua extramitat, de breu manubre e gros, per so que no sian doblatz quan am aquels deves obrar.	The form of the forceps and fine tongs with which the tooth is mauled at the beginning should be one of long extremity, short handle and thick, so that they are not doubled when you must work with them.
E sian ayssi cum vezes de gros manubre entro que quan estrenhas am aquelas no sian dobladas, sian breus extramitatz.	And should be like times of thick handle so that when you strain with those, they are not doubled, having short extremities.
E sian faytas de ferr de India descentment faytas de dreytas extramitatz, e en las extramitatz de aquelas sian dentz de las quals las unas intron en las autras e estrenhan per constriccio descent fort, e alscunas veguadas las extramitatz de aquelas sian la forma del bec d’un auzel le qual ha nom ciconia, so es guanta, e son de fort constriccio.	And should be made of Indian iron with descending shapes and right angles, and in the extremities of those, there are teeth which fit into each other and strain by construction descent strong, and some times the extremities of those are in the shape of a bird's beak called ciconia, so it is guarded, and they are of strong constriction.
Capitol .xxxi.	Chapter XXXI.
De erradicacio de dentz e d‘estraccio dels osses de las mandibulas trincadas.	On the Extraction of Teeth and Dislocation of the Bones of the Mandibles Broken.
Quan deves la eradicacio de dent le qual es trinquat roman alcuna causa, lahoras cove que tu pauses sobre le loc coto am boder per un jorn o per dos entro que·l loc sia mollificat; e aprop entromet algesti o tenalhas las extramitatz de las quals so asembladas al bec de un auzel apelat ciconia o guanta, la forma de las forceps:	When you must extract the tooth which is broken due to some cause, then it is necessary that you pause over the location with border for one day or two until the location is mollified; and immediately introduce algid or tongs into the extremities of those which are assembled at the beak of a bird called ciconia or guard, the shape of the forceps:
Las extramitatz de lor sian faytas dedintz ayssi cum lima o alfagi.	The extremities of them are made behind like a file or alfalfa.
E si no obediys a tu a eyssiment am aquestas forceps o tenalas, lahoras cove que tu caves sobre la razit e descrobas tota la carn e entrometas le instrument le qual ha nom atali, so es palanca petita del qual la forma es aquesta:	And if you do not obey your eye to these forceps or tongs, then it is necessary that you dig into the root and uncover all the flesh and introduce the instrument which has the name of atali, so it is a small lever whose form is this:
E sia de breu extremitat grossa un petit, e no sia enbegut per so que no sia trinquat.	And be short with a large extremity and a little one, and not entangled, so that it is not broken.
Donc si per aquo la razit es foro-getada, bo es; e sino, ajuda te am aquestz autres instrument dels quals aquestas son las formas: la forma del primier instrument es de triangulada extramitat en la qual sia alcuna grossesa:	Therefore, if by this the root is forgotten, good is; and otherwise, help yourself with these other instruments of which these are the forms: the form of the first instrument is a triangular extremity in which there is some thickness:
La forma del segon instrument es que sia de triangulada e de pus subtil extremitat.	The form of the second instrument is that it be triangular and with a more subtle extremity.
E ja so ajudatz am aquest instrument havent dos ramps del qual aquesta es la forma aprop la seguent:	And already help yourself with this instrument having two prongs of which this is the form approaching the next:
e am autres instrumentz les quals precidero en rasura de dentz; quar juvament es fayt am aquest instrument le qual es asemblat a onci gran, e aquesta es la forma:	and with other instruments which precede in scraping of teeth; for already it is made with this instrument which is similar to once great, and this is the form:
de la triangulada extremitat torta o curta, la qual sia alcuna grossesa, e no sia enbegut per so que no sia trinquat.	of a triangular extremity bent or short, which has some thickness, and not entangled, so that it is not broken.
E otra sapias que·ls instrumentz de las dentz motz so e semblantment les autres instruments.	And also know that the instruments of teeth many are so and similar to other instruments.
Mays le artifexs savi e subtil en l’art, atroba per si mateys segon aquo que a lu significa la operacio e las malautias diversas; quar son de las malautias a las quals les antics no diysero ni pausero propri instrument, per las formas de diversas specias.	But the skilled and subtle artisans in the art find for themselves by trial and error according to what each operation and diverse illnesses mean; for they are of illnesses to which the ancients did not say nor pause with proper instruments, due to the forms of various species.
Mays si es trinquat l’os de la mandibula o dels autres osses de la boca, o si poyreys, lahoras sia pes curat sobre aquel en son loc am aquo que es a lu convenient dels instrumentz e de las forceps las quals havem dit en la extraccio de las razitz de las dentz, e ajuda te am gesti del qual aquesta es la forma:	But if the bone of the mandible or of other bones in the mouth is broken, or if it becomes disjointed, then immediately apply gentle pressure on that place where it is convenient for instruments and forceps which we have mentioned in the extraction of tooth roots, and help yourself with gestures such as this form:
E sia en lu alcuna grosseza petit a petit, e sia instringida o tenguda am la boca per que no evasesca o fuga entro que l’os de tot sia foro-getat; e aprop restaura le loc am medicinas convenientz ad aquo.	And be in that place some thickness gradually, and be strung or held with the mouth so that it does not escape or flee until the bone of all is forgotten; and then restore the place with medicines suitable for this.
Mays si en l’os es petita poyredura, lahoras ratz aquel de aquela poyredura e de la sua negror, e cura aquel entro que sia sanat.	But if in the bone there is a small fracture, then immediately break that into pieces and cure it with its blackness, and heal that until it is well.
Capitol .xxxii.	Chapter XXXII.
De la cura de las dentz eminentz sobre las autras.	On the Cure of Teeth Elevated above Others.
Quan las dentz so eminentz no segon lor cors natural per aquelas la forma es laga, e majorment quan endeve a las femnas, e majorment a las piuselas venerablas; donc cove que tu consideras: si dent es nada aprop autra dent, e no es possibla sarradura ni linament de lu, lahoras radica aquela; mays que no sia annexa am autra dent, lahoras tu inscideys aquela am aquest instrument del qual aquesta es la forma; e es semblant a morr de porc, e sia feyt de ferr de India de extramitat mot aguda.	When the teeth are elevated and not according to their natural form, and more so when they involve women, and most especially venerable girls; therefore it is necessary that you consider: if a tooth is very close to another tooth, and there is no possibility of suture or ligament of it, then immediately remove that one; but if it is attached to another tooth, then you must insert it with this instrument which has the form of a pig's jawbone, made of Indian iron with an extremely sharp extremity.
E sia la tua inscizio am la qual inscideyses aquela en trops dias per la duricia de la dent, e que no sia comauguda autra de las dentz.	And be your insertion with which you insert it in many days due to the hardness of the tooth, and that it is not like another tooth.
E si es dent eminent expausat a limadura, lahoras lima aquel am lima de ferr de India del qual aquesta es la forma:	And if the elevated tooth is exposed to erosion, then immediately file it with a file made of Indian iron which has this form:
E sia tot de ferr de India e·l margua eysament; e sia de motz menutz puntz ayssi cum lima am la qual son faytas agulhas, am la qual la dent sia limada pauc a pauc en motz dias am fecilitat, per so que no sia autra dent comauguda e caga.	And be all of Indian iron and its margin well-shaped; and be with many small points like a file which is made of hairpins, by which the tooth is filed little by little in many days with ease, so that it is not another tooth deformed and spoiled.
E aprop lineys aquela en la fi, e ratz aquela am alscus razoris.	And then line it up at the end, and break it off with some rasors.
E si es dent del qual una partida es trinquada e lideys la lengua, lahoras cove que tu limescas aquel entro que l’aspretat de aquela fraccio sia ostada e engualhada, e sia aplenada per so que la lengua no ledesca ni la paraula no corrumpa.	And if a tooth is broken and the tongue lies on it, then it is necessary that you file it down until the sharpness of that fracture is removed and smoothed, and filled in so that the tongue does not lie on it nor corrupt the word.
Capitol .xxxiii.	Chapter XXXIII.
De restauracio de dentz maugudas am fiel de aur o de argent.	On the Restoration of Deformed Teeth with Gold or Silver Wire.
Quan accideys a las dentz devant concussio e remossio per percussio o per cazament, e le malaute no pot strenher sobre aquo que manga, e tu has curat aquel am medicinas stipticas, e no ha valgut la tua curacio, lahoras per so que no cagan es engen en aquelas que sian strengudas am fiel de aur e no de argent, quar argent se fa vert e aprop se poyreys aprop alscus dias, mays aur nul temps no es mudat.	When accidents happen to teeth before concussion and removal by percussion or falling, and the malady cannot be strengthened over that which remains, and you have treated it with stiptic medicines, and your treatment has not been effective, then because they do not decay immediately, it is necessary to strengthen them with a gold wire and not silver, for silver becomes green and soon becomes loose, but gold never changes.
E sia le fiel en tal subtilitat e grocesa segon la quantitat que puesca entrar entre las dentz; e la forma de la reccio es que prenguas le fiel e pren lo doble de lu entre doas dentz sanas, e aprop que cresques am doas tortuositatz del fiel entre doas maugudas, o si’ una o motas, entro que pervengua la tela a la dent sana del autra partida.	And the wire is in such subtlety and thickness according to the quantity that can enter between the teeth; and the form of the recitation is that you take the wire and take double its length between two healthy teeth, and then increase it with two turns of the wire between two deformed ones, or if only one or many, until the thread reaches the healthy tooth on the other side.
E aprop itera le teyssiment entro a la partida de la qual comenciest, e strenh la tua ma am facilitat e savieza entro que no sia mauguda.	And then repeat the treatment until you reach the part where you began, and strengthen your hand with ease and wisdom until it is not deformed.
E sia la tua striccio am la qual strenhas le fiel deves las razitz de las dentz que no evasesca.	And be your traction by which you tighten the wire on the roots of the teeth that do not decay.
E aprop inscindeys las extramitatz del fiel superfluens am las forceps o tosoyras, e agregua aquelas en quascun loc am gesti, e converteys aquelas e las occulta entre la dent sana e la dent mauguda, per so que no fassa lesio a la lengua.	And then insert the superfluous extremities of the wire with forceps or tweezers, and add them to each place with gestures, and convert them and conceal them between the healthy tooth and the deformed one, so that it does not cause injury to the tongue.
E aprop leyssa aquela ayssi streyta cum roman.	And then loosen it just as stretched tight.
Mays si es desliada o rumpuda, strenh aquela o aquelas am autra fiel en tal manieyra en tot son temps.	But if it is loosened or broken, strengthen that one or those with another wire in such a manner for all its time.
E aquesta es la forma de las dentz e la figura de la rectacio de doas dentz sanas e de doas maugudas, ayssi cum vezes aquestas liadas:	And this is the form of teeth and the figure of the recitation of two healthy teeth and two deformed ones, just as these linked:
E quan se fa que retorno una dent o doas aprop le cazement de quascuna en lors locs, e sian recrescutz ayssi cum havem recomtat, e que remauguan.	And when one returns or two nearby the falling of each in its place, and are reborn just as we have recounted, and remain.
E no fa aquo sino bo artifexs e savi.	And only skilled artisans can do this.
E alcunas veguadas es aptat alcuna causa dels osses de vaca, e es fayt de lor ayssi cum forma de dent, e es pausada en loc en le qual defayl la dent, e es strengit ayssi cum havem dit, e reman e serveys am aquel per lonc temps.	And sometimes it is suitable for some cause of cow bones, and is made from them in the form of a tooth, and is placed in a location where the tooth falls out, and is strengthened just as we have said, and remains and serves that one for a long time.
Capitol .xxxiv.	Chapter XXXIV.
De inscizio del liament le qual ve en la lengua e prohibeys loquela.	On the Insertion of the Ligament Which is in the Tongue and Prohibits Speech.
Aquest liguament le qual ve dejos la lengua alcunas veguadas o es natural am le qual hom nays, o accidental e accideys per plagua la qual ja es consolidada.	This ligament which is left behind the tongue sometimes or is natural to it and which one has not, or accidental and occurs by injury that is already consolidated.
E la operacio en lu es que huobres la boca del malaute, le sieu cap existent en le tieu se; e eleva la sieua lengua, e aprop inscideys aquel liament nervos segon la latitut entro que sia solvuda la lengua de la sua recencio.	And the operation in it is that you open the mouth of the malady, its own head being situated in your tongue; and raise your tongue, and then insert that nervous ligament according to the latitude until the tongue is freed from its recency.
Mays si en aquela es alcuna duricia o denodacio, e aquo es stat per consolidacio de plagua, lahoras tu gieta unci e scindeys aquel per la latitut entro que aias inscindit le liament e sia dissolvuda la nodacio.	But if in that there is some hardness or nodulation, and this is fixed by the consolidation of injury, then you must gently loosen it and cut through with latitude until you have dissected the ligament and dissolved the nodulation.
E guarda te que no sia fayta fissura en le preon de la carn e que scindas aqui arceria e vengua flux de sanc.	And beware that there is not a fissure made in the forehead of the flesh, and that you do not cut here archery and bring forth a flow of blood.
E aprop sia lavat le vestigi de la inscisio am ayguaros o am vi agre o am aygua frega; e aprop pausa dejos la lengua licini; so es meca la qual tengua le malaute dejos la lengua en quascuna nuoyt per so que no sia consolidat autra veguada.	And then be washed the vestige of the incision with warm water or vinegar, or with lukewarm water; and then pause for a moment after the tongue is freed; thus is the manner which holds the malady from the tongue in every night so that it will not consolidate again.
Mays si accideys flux de sanc, pausa sobre le loc vetriol trissat; mays si le sanc ventz, lahoras cauteriza le loc am cauteri lantiginos le qual conveneys ad aquo.	But if there is a flow of blood, pause over the location with a poultice made from vinegar; but if the blood flows, then immediately cauterize the location with a caustic lint which corresponds to this.
E aprop aquel cura am las autras causas entro que sia sanat.	And then treat that one with the other causes until it is healed.
Capitol .xxxv.	Chapter XXXV.
De extraccio de ranula dejos la lengua.	On the Extraction of Ranula Left Behind the Tongue.
Alcunas veguadas accideys dejos la lengua apostema asemblant a nomla petita prohibent la lengua de la sua operacio natural; e fort leu es magnificada entro que huempla la boca.	Sometimes a swelling appears behind the tongue, resembling a small tumor that prevents the tongue from performing its natural operation; and very little is magnified until it fills up the mouth.
E la operacio en lu es que huebras la boca del malaute sesent devant le solel e considera le apostema.	And the operation in it is that you open the mouth of the malady, sitting in front of the sun and considering the swelling.
E si tu le vezes de fusca color o de negra, dur, al qual le malaute no atroba sentiment, lahoras no toques aquel quar es cranc.	And if it is a dark or black, hard lump that the malady does not sense, then do not touch it because it is cancerous.
E si es declinat a blancor, en le qual es humiditat, lahoras tu met le onci en lu, e inscideys aquel am spatum subtil, e inscindeys le de tota partida; e si sanc te ventz en la hora de la tua operacio, lahoras tu pausa desus zegi trissat, so es vetriol, entro que sia restreyt le sanc.	And if it is declined to whiteness, in which there is moisture, then you must put the once into it, and insert that with a subtle spatula, and dissect all around; and if blood flows on the hour of your operation, then pause for a moment above a poultice made from vinegar, so that the blood may be restrained.
E aprop retorna a la obra tua entro que lo haias trayt am compliment de lu, entro que sia lavat am vi agre e sal; e cura aquel am l’autra curacio ad aquo entro que sia sanat.	And then return to your work until you have treated it in its entirety, so that it is washed with vinegar and salt; and cure that one with the other cure corresponding to this, until it is healed.
Capitol .xxxvi.	Chapter XXXVI.
De extraccio de apostema de doas aurelhas e de aquel que es nada en le golayro e de las autras apostemas.	On the Extraction of Swellings from Two Ears and that which is nothing in the Groin and other Swellings.
Quan endeveno en le golayro godat, so son glandulas las quals son asembladas algodat, las quals accideysso deforas e son nompnadas doas aurelhas, las quals quan tu las curas am aquo que havem dit en la divisio e no es sanat, lahoras tu considera si le apostema es dur, de fusca color, de pauc sentiment, lahoras no toques aquel am ferr.	When there is a swelling in the groin, so are the glands which are assembled together, which swell up and are named two ears, which when you treat them with what we have said in the division and they do not heal, then you must consider whether the swelling is hard, of dark color, and of little sensation, then do not touch it with iron.
E si es de roga color e la razic es grossa, lahoras no toques aquela am ferr per le flux del sanc; abantz layssa aquel entro sia madurat, e lahoras o tu trauqueras aquel, o sira romput per si.	And if it is of red color and the root is thick, then do not touch it with iron for the flow of blood; before let that one ripen, and then either you will break it or it will burst on its own.
E si es de blanqua color, radon, e la razit de lu es subtil, lahoras aquel es que cove esser inscidit.	And if it is of white color, rounded, and the root of it is subtle, then that one must be dissected.
E la operacio en lu es que consideras, denant la tua operacio, si ja ha repausat le apostema de lu caut am repaus complit o si es deminuit am alcuna deminucio; e lahoras fay sezer le malaute denant le soleyl, e·l cap de lu sia en le tieu se, e huebre la boca de lu, e le servidor prenent entre las suas mas prema la lengua de lu dejos am instrument mot noble del qual aquesta es la forma:	And the operation in it is that you consider, before your operation, if the swelling of it has rested or not, and whether it has rested completely or diminished by some diminution; and then make the patient sit down before the sun, with his head in its own place, and open his mouth, and the servant takes between his hands the tongue of it, left behind an instrument very noble which is as follows:
E sia fayt de argent o de aram, e sia subtil cum cotel.	And be made of silver or iron, and be subtle like a knife.
Donc cum tu premes am aquel la lengua e es mostrat a tu la apostema, e catz sobre aquel le tieu vezement, lahoras pren onci e fica aquel en l’amenla, e tira aquel a las partidas defora tant quant podes.	Therefore, when you take the tongue and it is shown to you the swelling, and gaze upon that with your own eyesight, then take the once and place that in the amnion, and pull that out as far as you can.
Otra aquo que tiras alcuna causa de las tunicas, e aprop incideys aquela am instrument del qual aquesta es la forma:	Or else, another cause that pulls some of the tunics, and then insert it with an instrument which has this form:
e es asemblat a forceps, empero las extramitatz de lu son corvadas, ayssi que l’orrifici de quascuna de aquelas es en le endreyt del autra, mot agudas, le qual sia de ferr indi enbegut.	and is assembled like forceps, but the extremities of it are curved, so that the orifice of each one is in the end of the other, very sharp, made of Indian iron well-enough.
Mays si aquest instrument no es a tu present, lahoras inscideys aquel am spatum del qual aquesta es la forma de lu: E sia agut de la una part, no agut del autra part.	But if this instrument is not at your disposal, then insert it with a spatula which has this form of it: And be sharp on one side, not sharp on the other side.
E pus que has inscidit una mella, inscideys l’autra segon aquesta meteyssa manieyra de inscizio, e aprop la inscizio le malaute guarguarise de aygua frega	And after you have dissected one notch, then insert the other in the same manner of insertion, and immediately apply the insertion to the malady with lukewarm water.
Mays si endeve flux de sanc, guarguarise aygua de decoccio de scorsa de milgrana o de fuelha de mirtra e semblantz ad aquel de las causas stiptiquas entro que·l flux del sanc sia restreyt, e aprop cura aquel entro que sia sanat.	But if there is bleeding, apply lukewarm water of decoction of scorzonera or myrtle leaves and similar to that of the stiptic causes until the flow of blood is restrained, and then cure that one until it is healed.
E alcunas veguadas naysso en le guolayro autras apostemas otra aquelas doas aurelhas, e inscideys aquelas segon que yeu e dit en la inscizio de doas mellas engualment.	And sometimes you find other swellings in the groin besides those two ears, and dissect those according to what I have said in the dissection of two notches with a spatula.
E yeu ja fu medicat una femna de apostema le qual era nat en le golayro de lu, le qual apostema tendia a color fusca, de pauc sentiment, le qual ja havia claus le golayro de lu, e la femna respirava am meat streyt, e ja havia prohibit a lu comestio e beure de aygua, e ja era pervenguda a la mort si mays agues stat per un dia o per dos.	And you have already treated a woman who had a swelling in her groin which was turning black, of little sensation, which had closed up the groin of hers, and the woman was breathing with great difficulty, and had already prohibited herself from eating and drinking water, and was on the point of death if you had not acted within a day or two.
E l’apostema ja tant havia pugat que havia mezes dos ramps entro que eyssiro per dos traucs.	And the swelling had grown so much that it had opened up two holes, through which pus was flowing through two channels.
Donc yeu me cuytegui fisturalment e fiquegui en un de lor onci, e tiregui aquel, e atirada es de lu gran porcio, e aprop yeu incidigui aquela de on comprendegui del autre trau, e aprop yeu obrigui la boca de lu, e compremegui la sua lengua, e aprop yeu fiquegui le onci en aquela apostema.	Therefore you must proceed fisturally and get stuck in one of them once, and pull that out, and as it comes forth with a great piece, and then you insert the other once into the understanding of the other channel, and then you force the mouth open, and grasp its tongue, and then you place the once in that swelling.
E aprop yeu abscizi gran partida de lu, e no corria de lu sino un pauc de sanc.	And immediately you cut off a great part of it, and there was only a little blood flowing from it.
Donc absolut es le guolayro de aquela femna, e comensec tantost beure aygua, e aprop presec vianda, donc yeu no cessegui inscidir de aquela apostema motas vetz per lonc temps, e succesia apostema en loc de aquel, le qual inscizia entro que es prolonguat aquel.	Therefore the groin of that woman was completely healed, and she began to drink water immediately, and then you prescribed food for her, so that you did not cease to dissect that swelling many times over a long period, and successive swellings occurred in the same place, which were dissected until it was prolonged.
Donc yeu engen agui e cauterizegui le guolayro de lu, donc astec de addicio; e aprop yeu perambulegui e no saubi que fec Dieus de aquela aprop mi.	Therefore I generated this and caused the groin of her to be cauterized, thus adding a new element; and then I walked away and did not know what God had done for that one with me.
Capitol .xxxvii.	Chapter XXXVII.
De inscizio de huvela quan es apostemada.	On the Dissection of an Uterus when it is Swollen.
Quan catarr deysen a la huvula, e es apostemada e es longa, lahoras ela es nompnada perpendicular; e si es en la partida dejos grossa e redonda, e lahoras ela es apelada buba.	When the catarrh settles in the uterus, and it is swollen and long, then it is called perpendicular; and if it is on the left side big and round, then it is called a bubble.
Mays quan es curada am aquo que havem dit en la divisio, e no comfereys la tua curacio, e eyssament ja vezes que apostema caut ja es ostat de lu e es subtil, lahoras cove que tu inscidas aquela que es agreguadas redonda; e si es ad aquela longitut, e es sanguina, de fusca color o de negre, e no es a lu centiment, lahoras cove que tu temtes la inscizio de lu, quar en aquela es temor sobre le malaute.	But when it is cured with what we have said in the division, and your cure does not agree, and if only sometimes that swelling again becomes a lump of it and is subtle, then you must dissect those which are aggregated round; and if it is as long as that, and it is sanguine, of dark color or black, and has no sensation, then you must tremble at the dissection of it, for in that there is fear over the patient.
E quan tu vezes aquela segon la manieyra que yeu he dita de la sua blancor e longuesa, que tu fassas sezer le malaute e premas la lengua de lu am instrument del qual procesic la sua forma e aprop fica le onci en la nuva, e tira aquela en jos e inscideys aquela am un de dos instrumentz les quals e ditz en la inscizio de dos mellas.	And when you take that one according to the manner which I have said of its whiteness and length, so that you make the patient sit down and press the tongue with an instrument whose form is as follows: and immediately place the once in the newness, and pull that down and dissect it with one of two instruments which are said in the dissection of two notches.
E cove que no inscidas aquela sino aquo que es ajustat sobre le terme natural ses addicio, quar si tu inscides de lu mays, lediyras le sieu parlar.	And you must not dissect that one unless it is adjusted to the natural term with an addition, for if you dissect more than that, you will deprive yourself of your own speech.
E aprop la inscizio, usa de aquo le qual havem recomtat en la inscizio de dos mellas, e cura aquela entro que sia sanat.	And then the dissection, use what we have recommended in the dissection of two notches, and cure that one until it is healed.
