Ayssi comensan las paraulas de Albucasim .	Thus begin the paragraphs of Albucazim.
E cove que per empressio de aquel cauteri que·l malaute umpla la sieua boca de bon boder e tengua aquel per una hora e aprop scupa le; e aquesta es la forma del cauteri.	And you should cover the area where that cautery touched the patient's good mouth with a bandage, and hold it for an hour, then remove the dressing; and this is the form of the cautery.
E cauteriza am qual que tu voys extremittat segon que a tu es possible.	You should cauterize at the point where you see extreme pain, according to what is possible for you.
E aquesta es la forma de la cannula:	And this is the form of the pipe or tube.
Capitol .xxii.	Chapter 22.
De cauterizacio de extrophulos.	On the cauterization of crooked toes.
Quan extrophulos so de flecma e de humors fregas e no so hobedientz a digistio per medicinas e tu voys la digistio de aquelas leugerament, lahoras tu igneys le cauteri conquau la forma del qual es aquesta seguen, havent dos extremitatz hubertas per que yesca le fum deves le cauteri per l’autra extremitat, e pausa aquel ignit sobre aquel apostema una veguada, e autre si indigeyses de aquel, entro que pervengua al preon del apostema.	When toes are crooked due to flux and cold humors and do not obey digestion through medicines, and you see the digestion of those lightly, then you ignite the cautery in the form that is thus, having two burned extremities so that the fumigation comes out of the cautery through the other extremity, and pause that ignition over that aposteme for a while, and another if you indicate that of it, until you reach the root of the aposteme.
E si l’apostema es pauca, lahoras pausa le cauteri segon la quantitat del apostema, e aprop leyssa le per tres jorns e pausa sobre lu coto enfus en boder entro que sia remaugut aquo que·l foc ha comburit.	And if the aposteme is small, then pause the cautery according to the quantity of the aposteme, and leave it for three days and pause on the inflamed area in a good way until what the fire has consumed is removed.
E aprop cura aquel am enguent e tentas e draps entro que sia sanat.	And then heal that wound with ointments and dressings until it is healthy.
E la forma de la cannula o deu cauteri a tal es comveyter.	And the shape of the pipe or tube for cautery is thus, conveyed.
Capitol .xxiii.	Chapter 23.
De cauterizacio de rauquiera de votz e de constriccio de ale.	On the cauterization of hernia and constriction of the spleen.
Quan las humiditatz veno sobre le quanal del pulmo, e majorment quan aquo es am fregiditat de compleccio, lahoras cove que·l malaute sia evacuat al comensament am medicinas laxativas, e aprop cauteriza aquel deves la razit del golayro en le loc depremegut.	When humidity comes over the canal of the lung, and especially when that is with cold complexity, then cover that the patient should be evacuated at the beginning with laxative medicines, and then cauterize that which goes to the root of the ulcer in the pre-affected area.
E guarda te que no pervenguas am le cauteri al golayro ni no comburas de la codena de lu sino un pauc.	And beware that you do not penetrate with the cautery to the ulcer nor burn the skin of it, but only a little.
E cauteriza aquel am autra cauteri deves la junctura del col en le derier espondil de lu.	And cauterize that with another cautery which goes to the joint of the spine at the back of it.
E·l cauteri de lu sia clavilh sego la maniera precedent.	And the cautery of it should be clavilated according to the previous manner.
E aprop cura aquel am aquo que es precedit entro que sia sanat.	And then heal that wound which has been previously mentioned until it is healthy.
Capitol .xxiiii.	Chapter 24.
De cauterizacio de malautia del pulmo e de tos.	On the cauterization of diseases of the lung and of coughs.
Quan tos e malautia de pulmo so de humiditatz fregas e le malaute no ha febre ni tisic e es malautia antiqua, lahoras cauterisa aquel am dos cauteris sobre la furcula en les locz depremegutz leontz e buoytz; e am autra cauteri en le mieg loc del pietz entre dos mamillos; e sia le cauteri clavilh segon la forma precedent.	When coughs and diseases of the lung are from cold humors and the patient has no fever nor tisis, and it is an old disease, then cauterize that with two cauteries on the furcula in the pre-affected areas of the loins and hips; and with another cautery in the middle area of the chest between two nipples; and let the cautery be clavilated according to the previous form.
E si vols, sia la tua cauterizacio punctan am le cauteri que es apelat puncta, la forma del qual precedeys en la ponctacio de dolor de aurelhas.	And if you wish, let your cauterization be pointed with the cautery that is called a point, in the form which precedes in the pointing of pain of the ears.
E sian puntz entro cays ad aquels; e aprop cura aquel am aquo meteys que es precedit entro que sia sanat.	And make points until they reach those; and then heal that wound which has been previously mentioned until it is healthy.
E ya sia le cauteri haventz tres ramps quar cauterizacio es am aquel: am una veguada podes far tres cauteris segon aquesta forma:	And thus the cautery has three ramps because cauterization is thus: in one way you can do three cauteries according to this form.
Capitol .xxv.	Chapter 25.
De cauterizacio de titillic que es le cap del ajutori.	On the cauterization of twitching that is at the head of the helper.
Quan le cap del ajutori es dislocat per causa de humiditatz lubricas e no es fermat en la hora del sieu retornament deves la sua dislocacio entro que sia a lu aquo costuma de retornar, e aprop per un petit movement es deslocat ayssi que s’endeve, ayssi cum nos havem testificat, lahoras cove que primieyrament redusiscas la dislocacio, e aprop le malaute sia reversat sobre le sieu dos o sobre le latz sa; e aprop eleva la codena la qual es en la partida dedintz del citillic a las partidas desus am les ditz de la tua ma sinistra, si la junctura es dislocada a las partidas dedintz.	When the head of the helper is dislocated due to lubricating humors and does not stop at the hour of its return, until it returns to its usual custom, and then by a small movement it is displaced thus that it ends, thus as we have testified, then cover that primarily you reduce the dislocation, and then the patient is reversed over the two or on the side; and then elevate the skin which is in the upper part of the citillic to the parts above with your left hand, if the joint is dislocated above.
E aprop igneys le cauteri havent dos caps; e aquesta es la forma de lu:	And then ignite the cautery having two heads; and this is its form.
E aprop cauteriza la codena entro que penetre aquela entro al autre latz; e vindra la figura de cauterizacio lahoras de iv caps cauteris.	And then cauterize the skin until it penetrates to the other side; and you will find the figure of cauterization with four heads of cauteries.
e so aquel subtils segon la quantitat de tenta; e aquesta es la forma de lu:	And thus those subtleties according to the quantity of tension; and this is its form.
E alcunas veguadas es ajustat segon aquest comte i per que son les cauteris .viii.	And some occasions are adjusted according to this count and because they are the eight cauteries.
E aprop pausa sobre le cauteri porys cuytz am sal, e aprop fay adherir le malaute a trenquilitat, e lo membre no sia maugut per alcun temps entro que sia confortat.	And then pause over the cautery, which is good for salt, and then make the patient adhere to tranquility, and the member should not be moved for some time until it is comforted.
E si la dislocacio es a las partidas desus e tart es fayt aquo, lahoras cauteriza sobre le muscle am cauteri clavilh o am motz cauteris puntan, quar la junctura es confermada e la humiditat es romauguda e le malaute es sanat.	And if the dislocation is above and it is thus done, then cauterize over the muscle with a clavilated cautery or with many pointed cauteries, because the joint is confirmed and the humidity is removed and the patient is healthy.
Capitol .xxvi.	Chapter 26.
De cauterizacio del stomac.	On the cauterization of the stomach.
Quan veno en l’estomac freg e motas humiditatz entro que aquel extrazo de la sua compleccio e so multiplicatz raumases a lu, e si tu continuas las manieyras de curacio e no confereyso, lahoras cove que le malaute sia sobre le sieu dos ressupinat, e extenda las suas mas e las suas coysas, e aprop cauteriza aquel am tres cauteris: an un cauteri dejos le pietz per la quantitat d’un dit am cauteri clavilh, e am dos cauteris dejos del dos costatz del cauteri, entro que vengua la figura de cauteri triangulada; e elonga entre els que no sian ajustatz que faran poyredura.	When cold and many humors come into the stomach, extracting its complexity and thus multiplying the raumases within it, and if you continue the manners of cure and do not confuse, then cover that the patient is on their back with their arms extended and their thighs, and then cauterize that with three cauteries: one cautery below the chest for the quantity of a finger in a clavilated cautery, and two cauteries below the sides of the chest; until the figure of the triangular cautery appears; and elongate among those who are not adjusted, so they will not make an error.
E si la profunditat del cauteri la quantitat de les dos terses de la grocesa de la codena.	And if the depth of the cautery reaches the quantity of the two stubborn roots of the greatness of the codena.
E sia la figura del cauteri segon aquesta forma ses addicio, E si vols, cauteriza am gran cauteri en le mieg loc del estomac segon aquesta forma; et aquest sia un cauteri segon la forma de cercle segon aquesta forma:	And the shape of the cautery is added in this way, And if you want, make a great cautery in the middle of the stomach in this way; and let it be a cautery in the form of a circle in this way.
E sia cauterizat l’estomac punctan ad aquel que de aquest cauteri es spaventat: e es que tu senhes sobre l’estomac punt segon la quantitat que voles am tenta, e aprop cauteriza aquel am cauteri en les puntz; e aprop cura aquel am la curacio qu’es precedita entro que sia sanat.	And the stomach should be cautered at the point where it is frightened by this cautery: and it is that you feel on the stomach point according to the quantity that you want to hold, and then cautered in those points; and then cure with the cure that precedes until it is healed.
Capitol .xxvii.	Chapter 27.
De cauterizacio del fietge fret.	On the cautery of the fevered foot.
Quan endeve en le fietge dolor per fregiditat o per humiditat o per grossa ventositat entro que de la sieua normal compleccio sia getat per egressio superflua, e es curat le malaute am aquo que havem dit e no comfereys, lahoras cove que·l malaute sia ressupinat sobre la sua cervitz, e senhes am tenta tres cauteris segon aquesta forma et aquesta quantitat meteyssa sobre le fietge dejos dels ipocondres, la hon perve le decubit de home.	When the foot hurts from coldness or dampness or gross excess of wind that disrupts its normal complete function, and it is cured with water as we have said, and not comforted, then it is necessary that the malady be resupinated above its cervix, and you feel with a tender hand three cauteries according to this form and quantity measured on the foot below the hips, which perceives the decubitus of the same.
E sia l’espazi le qual es entre quascun cauteri segon la grossetut del dit, e sia le cauteri segon la longitut del cors dreyta.	And let the space be that which is between each cautery according to the greatness of the finger, and let the cautery be according to the length of the right body.
E no compremas la tua am le cauteri mot.	And do not comprehend your hand with the moving cautery.
E si la quantitat de aquo que es adhurit la quantitat de la maytat de la specitut de la codena, e no y sia pus ajustat; e si le malaute stant sobre les pes de lu; e si no es estant, lahoras sia jassent, le qual ja ha extendudas las suas coysas, e eleve les sieus brasses.	And if the quantity of water that is absorbed is equal to the quantity of the magnitude of the specificity of the codena, and it is not yet adjusted; and if the malady stands on its feet; and if it does not stand, then let it be seated, which has already extended its thighs, and elevated its shoulders.
E es aquesta la forma del cauteri:	And this is the form of the cautery:
E a tu es possible que cauterizes aquestz cauteris am cauteri cutellar, quan es am tu subtilitat e prudencia en l’art.	And it is possible that you can cauterie these cauteries with a cutting cautery, when you are subtle and prudent in the art.
E guarda te que trop no procesiscas en la cauterizacio, e sia adhurida la specitut de tota la codena per que sia adhurit tot le cors e pervengua entro als budels, quar la codena aqui es subtil; e sapias aquo.	And beware that you do not proceed excessively in the cautery, and let the specificity of the entire codena be absorbed so that it is absorbed throughout the body and penetrates into the intestines, because the codena here is subtle; and know this.
Capitol .xxviii.	Chapter 28.
De perforacio de apostema del fietge am cauteri.	On the perforation of an abscess on the foot with a cautery.
Quan endeve excitura o apostema en le fietge e voles saber si aquel apostema es en le carn del fietge o en la tunica de lu, lahoras si es en la carn del fietge, le malaute atrobo gravitat e dolor ses acuitat.	When an ulcer or abscess occurs on the foot and you want to know if that abscess is in the flesh of the foot or in its tunic, then if it is in the flesh of the foot, the malady becomes more grave and the pain is increased.
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	And if it is in the tunic of the foot, then the pain is greatly increased and sometimes the doctors are tired of curing it.
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	Therefore it is necessary that the malady be turned above its cervix; and then feel the place of the abscess with a tender hand; and then ignite the cautery which is assembled like a rag, in the form of which I have written on the other page.
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	And cauterie with that cautery until the entire codena is consumed, until it reaches the siphac, until it arrives at a healthy sanity.
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	And then cure it by curing other abscesses until it is healed.
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	And it is not suitable that this form of cautery be used unless the one who has studied in the art of medicine is prolonged, and in the hands of which many maladies are recognized; however, I have experimented with some vigorous practices being carried out above this operation, however, I will leave that to you, and it is better.
Capitol .xxix.	Chapter 29.
De cauterizacio de plauresi.	On the cautery of flatulence.
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	The ancient cauteries of the roots of Aristology for flatulence are made according to this manner, being a doer, and it is that which you take from the roots of Aristology, a long dry root that is found, and let it be of the greatness of the finger.
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	And then submerge it in oil and heat it at the fire, and then cauterie with a cautery in that place which is between the continuation of the furcula and the neck; and make two small cauteries below guiding, one declining to the part that is beneath the beard, and make two cauteries on that which declines between the fifth rib and the cistern, declining slightly towards the back parts; and make another cautery in the middle of the foot, and another above the stomach, and three cauteries from the back parts; and make one cautery in that place which is between the two shoulders, and make two cauteries of the two sides of the foot, below the cautery which is between the two shoulders.
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	And it is not suitable that you comprehend your hand with the cautery, but rather it should be in the manifestation of the codena in action.
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	And I have already said to the other ancients that they are similar to those of men who use iron cauteries resembling a ray and ignite them, and place them in that place which is between the ribs, until they reach that abscess and healthy sanity is forgotten, just as we have said about the abscess on the foot.
Mays en aquesta perforacio am cauteri no es ses temor, quar hu mor tantost ho accideys en le loc fistula a la qual no es sanacio.	More in this perforation I do not use cautery, because it often happens that an abscess forms at the site of the fistula, which does not heal.
Capitol .xxx.	Chapter xxx.
De la cauterizacio de la melsa.	On the cautery of the spleen.
Quan tu curas la malautia de la melsa am aquo que havem dit de la curacio en la divisio e no confereys la tua curacio, lahoras cauteri en lu es segon tres manieras, las quals totas son dreyturieras, de las quals la una es que fassas tres cauteris o quatre linhan segon la longitut de la melsa segon la figura dels cauteris del fietge, la figura dels quals ha precedit.	When you treat the disease of the spleen as we have said in the division and do not confuse your treatment, then cautery is done in three ways, all of which are direct, one of which is to make three or four linear incisions according to the length of the spleen, following the shape of the cauteries of the foot, whose shape has preceded.
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	And it is between each cautery the width of a finger or a little more, and the method of the cautery is the same as we have said in the cautery of the foot, equally.
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	And do not comprehend your hand at the cautery; and the disease is evident on both sides of the back.
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	And there is another way of cauterying, so it is that you ignite the cautery having two vertebrae, which causes have been said in the chapter on dislocation of the muscle, and it raises the codeine which is at the end of the spleen where it perceives the sinister influence of the disease.
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And it is your elevation where you raise the codeine according to the length of the body, so that you make several cauteries according to the width of the body.
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	And then introduce the two vertebrae, setting them in motion, in that entrance where they penetrate the codeine of the other part.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	And then extract the cautery; and thus you make four cauteries.
E si voys, cauteriza am cauteri havent tres vernimentz.	And if you wish, cautery with a cautery having three vertebrae.
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	And then you cure the cautery, so that it has laid aside to grasp or to hold for three days, because more often it is comfortable than the other preceding causes in the cure.
Capitol .xxxi.	Chapter XXI.
De cauterizacio de ydropici.	On the cautery of hydropsy.
Cauteri no catz en ydropici sino en alcinte3 propriament.	Cauteries are not made in hydropsy except at a precise point.
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you treat hydropsy, the methods of treatment are those which have been said in the division and do not confuse your treatment, then it is necessary that those cauteries are four cauteries in the circuit of the navel and one on the stomach, and another on the foot, and another on the spleen, and two between the vertebrae of the back, and one on the right side of the foot, and another on the stomach.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	And the quantity of the depth of the cautery is proportionate to the specificity of the codeine.
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	And then leave the cautery open so that it holds for a long time.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	And do not evacuate the disease from treatment then with the cautery as it is necessary that they be added to the two intentions, and it will be fastened to the aid of health.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The shape of the cautery is what is cauterying the belly is club-shaped according to the shape of that which precedes, and it is what is cauterying the back is olive-shaped according to its preceding shape.
Capitol .xxxii.	Chapter XXXII.
De cauterizacio de pes e de las coyssas.	On the cautery of feet and thighs.
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the feet are affected by hydropsy and are full of stagnant water, it is necessary to cautery the feet on the back of the foot at night, in a place that is between the auricular and the anular, and raise your hand over the cautery and do not touch it; and then raise your hand, and do not return it completely, because the stagnant water resists.
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	The cautery is according to this form: And then make on the two thighs two cauteries, and in each thigh a cautery is made at the extremity of the cautery, cuticular.
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	And the cautery is according to the length of the thigh: one below the knee and another at the middle place of the thigh; and on each thigh two cauteries.
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	And leave the open wound for a long time, so that some stagnant water may come out of it.
E aprop cura le am aquelas causas las quals havem ditas.	And then cure them with those causes which have been said.
Capitol .xxxiii.	Chapter XXXIII.
De cauterizacio de cos de ventre.	On the cautery of the belly and intestines.
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	When the belly and intestines are cold and humid, so that they debilitate the vertebrae, it is the digestive and retentive virtue, which is in the stomach and bowels, and it is cured with those methods of treatment and do not confuse, and sometimes the suffering disease suffers from exhibiting cauteries of virtue, then cautery that with a large cautery on the navel according to what has preceded in the cautery of the stomach, with the cautery of the circle and four cauteries in the subtle circuit of the navel, with a club-shaped subtle cautery; and a cautery on the alcatin above great aloes, or two cauteries.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	And if sometimes the humidities exhibit and the disease is tolerating, then cautery that on the peritoneum and on the bowels, and strongly adjust two cauteries on the stomach and near the inguinal region, because it is a perfect cure of juvament from which you do not err.
Capitol .xxxiv.	Chapter 34.
De cauterizacio de emorroydas antiquas.	On the cauterization of old hemorrhoids.
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	When old hemorrhoids in the nature of the body are caused by gross humors or corrupted humidity, and are cured with what has been said in the division and do not confer the usual cure, then cauterize with three cauteries above the pus below the small triangular spine, and cauterize underneath the umbilical region for two digits.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	And if it happens that their stomach is weakened and their food is not digested, and their face is sometimes inflamed, then cauterize above the stomach with a large cautery as previously described; and make one cautery on the thigh, and another on the middle of their back with a clavicular cautery, and leave the cauteries for some time opened, and afterwards cure them from within so that they may be healthy.
Capitol .xxxv.	Chapter 35.
De cauterizacio de atheyl aprop la abscizio de lor.	On the cauterization of athelia, appropriate for their abscesses.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you abscess athelia, then you ignite the cauteries that are assembled in a row.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Then insert the ignited cautery into that abscessed athelia, and finally place your hand so that you reach the orifice of the vein from which the blood comes out.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And make a vein or two, because if they achieve healing, then cauterize each of them according to what has been recounted, and afterwards cure those with what confirms their healing from within so that they may be healthy.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	And if you cauterize with a large cautery on the skin, it is more suitable for youthful treatment.
Capitol .xxxvi.	Chapter 36.
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	On the cauterization of fistulas that are formed in the nature of the body in their divided parts.
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When the nature does not obey the work that has been recommended in its place, and the patient is frightened by it, then heal with cauteries.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	Therefore, when you have a fistula in the nature of the body, and it is old, corroding the sanity of the patient and corrupted humidity, and therefore it is more worthy that the covering is what proceeds with subtlety, and afterwards consider the quantity of the depth of the aforementioned tent.
Aprop igneys le cauteri que es semblant a ray.	Then ignite the cauteries that are assembled in a row.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	And then insert the ignited cautery into this fistula, and according to the quantity in which you introduce the tent.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	And repeat above that cautery within so that they burn those corrupted bodies entirely one, two or three times, according to the quantity of your necessary need.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	And beware of combustion of nerves and veins; or if the fistula goes to the body of the bladder or to the body of the intestine, then beware of all those places; and do not do it unless the fistula is in a fleshy place and you think that it does not penetrate.
E aprop cura le loc entro que sia sanat.	And then cure the place within so that it may be healthy.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	And if the place is sealed, and you have abscessed from it the matters, and remained thus for a long time, then know that it has been entirely cured.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	And if the matters have not been removed from it, then know that it is penetrating or in the prison of the corrupted bone, or something from those causes which will bring remembrance to its place.
Capitol .xxxvii.	Chapter 37.
De cauterizacio dels ronhos.	On the cauterization of the kidneys.
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When in the kidneys there is pain due to cold or gross windiness, and thus the hollow of the patient's thigh is affected, then it is necessary that you cauterize above the kidneys with a cautery on each kidney with a clavicular cautery from which proceeds the remembrance.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And make a strong cauterization on the second small spine, so that three linear cauteries come, and then they will be more suitable for youthful treatment.
Capitol .xxxviii.	Chapter 38.
De cauterizacio de la vesica.	On the cauterization of the bladder.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When there is debility and softening in the bladder due to cold and humidity, so that the patient's urine does not retain, then cauterize above the part below on the bladder, where the skin of the perineum begins, and cauterize with one cautery on the right side, and another on the left side.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	And the length of each cautery is according to the quantity of the notes of the foot; and cauterize above with a cautery on the lower part of the back, or with two cauteries if it is necessary.
E sia cauteri clavilh segon que es procesit.	And a clavicular cautery according to what has been described.
Capitol .xxxix.	Chapter 39.
De cauterizacio de la mayra.	On the cauterization of the matrix (womb).
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	When cold and humidity come to the matrix (womb), and thus conception is prohibited, and their menses are corrupted, and the provocation of them is delayed, and there is pain in the vicinity of them, then it is necessary that the place be cauterized with three cauteries in the circuit of the umbilical region, just as we have said in the cauterization of the bladder; and a cautery above the place below on the back, or two cauteries, and let the cautery be clavicular.
Capitol .xl.	Chapter 40.
De cauterizacio de la dislocacio de l’anqua.	On the cauterization of a dislocated ankle.
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	When moisture accumulates and is stuck in the joint of the ankle, and it is caused by cold humors that settle in the lower part of the leg, and it is shown that the thigh is prolonged over the other when compared between them.
E le loc de la dislocacio es atrobat en lu quays boyt.	And the place of the dislocation is palpated on the boy's thigh.
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	Then you should cauterize the patient's ankle joint with a circular cautery, because you will have felt it in the circuit of the joint thus as it is revolving, and so that the joint falls into its proper place within the circle.
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	And this is the cautery which precedes the form in the cauterization of the stomach.
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	And if this cautery is not present to you, then cauterize that man with three cauteries or olive-shaped grande cauteries.
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	And this is the way to make the cautery according to the quantity of the inspection of the entire spine; and then take care that it is healed within.
Capitol .xli.	Chapter 41.
De cauterizacio de la vena sciatica.	On the cauterization of the sciatic vein.
