Ayssi comensan las paraulas de Albucasim .	The words of Albucazim begin thus.
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	And the manner of the operation and extraction of those is that the patient scratches the skin which is on the temples; and understand that the artery appears in the temple, for it is shown to you by its pulse, and is hidden from few men except by the intensity of heat.
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	And if it is hidden from you, then strengthen the neck of the patient with some cloth; and then freshen the location with a rough cloth or evaporate the location with hot water until it appears to you manifestly.
E lahoras tu pren le spatum del qual aquesta es la forma:	And then take the spatula of which this is the form:
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	And then take the spatula of which this is the form:
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	But if the artery is subtle, then envelop that with the extremity of the onyx, and then incise one part from that according to the quantity by which the extremities of him are lengthened and contracted, and not allow blood flow, for if they are not incised, the blood will not rise at all.
E aprop evacua del sanc de vi unc. entro a tres.	And then evacuate one ounce of blood. within three.
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	And if the artery is large, then it is necessary that you ligate that in two places with double-folded cedema or cords at length, and do not allow putrefaction to occur before the consolidation of the wound and avoid blood flow.
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	And then incise the superfluity which is between two bandages, and do this at that hour or approximately another hour.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	And if you want, cauterize that with a cautery into the bone and a cutlary cautery until the extremities of him are incised, and remain in that location of the said work.
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	And it is better work if the patient has fever or is in a state of scalding complexity; for cauterization is one of those causes that help to finish off humidities, and therefore it is better in judgment.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	And it is necessary that you extract the arteries which fill the location of an old wound, and let them be paused on decently made poultices, and then be cured with dry medicines that make the flesh appear and with some remedies until it is healed.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	And if while you are working another time the blood flow from the artery occurs, then you should catch that blood and restrain it, either with a cauterization or by filling the location of the wound, and strengthen your hand until the blood is restrained.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	And if any cause of those is not present to you, then pause your said hand over the location until the blood is congealed, and then fill the location with hot water of vehement warmth so that the acuteness repose, and be strengthened according as is necessary.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	And this is the easier method in extracting an artery: that you cauterize the vein with this cautery having two handles, because you have marked the two places with a tentative touch, and then place each one, moderately ignited, until they reach the bone and incise the vein in two places, so that what is between the extremities of him may be elongated, for it is not fully consolidated by this cautery.
E aquesta es la forma del cauteri:	And this is the form of the cautery:
E sia la acuitat dels dos cotels esemps.	And the sharpness of the two handles shall be examples.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	But however if the sharpness is less than that of two handles, it is better, for if they are keen like two handles close to each part, and do not incise the flesh with velocity.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Therefore, as in those there is some thickness, it is held that the heat of the fire is in them and the flesh is absorbed somewhat.
E aquesta obra es milhor en tota obra e pus leugiera.	And this work is better in all works and easier.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	And the space which is between two handles is the quantity of the thickness of that.
Capitol quart.	Fourth Chapter.
De la cura de cors de lagremas agudas e aciduas dels huels.	On the Cure of Corrupt Eyes with Sharp and Acid Tears.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When there are acid tears, and the body of those veins which are above the forehead on the top of the head is outside, and does not conform to any cause of the cure of medicine, and sometimes the face of the patient is already reddened and senses a wandering motion in his own forehead as if it were a march of ants, and the eyes of that person are exhausted, moistened so that their eyelids are condensed, and the eyelids are scarred by the acuteness of the tears, the ancient physicians mixed in the cure of those with this operation, and named that cure with a spatula.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And this is that you command the patient to tear off the skin which is on his forehead, and then incise in the forehead three fissures equally distant according to the length of the forehead.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	And if the length of the fissure is two fingers' breadth: one fissure be equally distant from the length of the nose in the middle of the forehead, and the second according to the length of a little movement of the lacertae which are in the lacrimal, and the third on the other side.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	And beware of the incision of the arteries which are in two sides, and extend your hand from the continuity of both jawbones.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	And if the space of each incision is equal to three fingers' breadth adjusted.
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a sponge or cloth, moderately moistened with which you can absorb the blood.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	And then insert the spatula of two sharp extremities, whose form is as follows:
que es de la partida des templas entro a la segonda inscizio.	which is from the part of the temples to the second incision.
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	Scrape with that all the codena which is between two incisions on the skull which is above the bone, and then make this of the incision to migrate into the second incision.
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	And then strengthen yourself with this spatula and enter into the first incision another time with a different instrument called cutellar, sharp on one side and not sharp on the other.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	And pause the edge of that sharp instrument against the skin attached to the codena, and the edge of it will cut into the bone, and push that in until it reaches the fissure, and then incise with that all the vessels that descend from the head to the eyes.
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	But that incision should be continued up to where it appears on the codena, and then make this in the middle fissure into another fissure.
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	And since a quantity of blood flows, express the places where the clots of blood are congealed.
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	And then pause in each fissure, and place on those powders well mixed with wine, oil, and vinegar, and make sure that there is no development of a cauterized apostema.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	And on the third day, remove the bandage and administer great abundance of hot water or tepid water, and then cure with gentle remedies, such as basilicon oil, rosy oil, and others, until the wounds are healed.
Capitol .v.	Fifth Chapter.
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	On the Cure of Tears through Cautery and those which descend from the parties behind the head.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	When someone has very hot and continuous cauterized tears, and the patient's eyes are exhausted and small, and the regard of theirs is debilitated, and the eyelids ulcerated and their skin peeled, and in the forehead of the head there is sharp pain and subsequent exhaustion, then you should know through these accidents that the matters and cauterization do not come from many veins of the parties behind proceeding.
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	And the best cure in those is this: that you command the patient to scratch his forehead, and then incise a fissure at the middle of the forehead, a little bit for the latitude (and begin from the fissure of the left temple into the right temple; and be incised into the bone; and extend your hand over the lacertae of the temples which are attached to the mastigacio), until the bone is uncovered.
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	Dry out all the blood with a sponge or cloth, and then fill between the two lips of the fissure with old cloth or bandages.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	And then strengthen above with powders well mixed in wine and oil, so that there is no development of a cauterized apostema.
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	And when you have removed that and see that the apostema is already diminished, then it is necessary to freshen the bone until it begins to produce flesh, and then cure with a drying regimen which will cause the flesh to appear, just as if you take two parts of barley flour and four parts of colophony and mix them together, and from this make an embalming paste and administer it to these wounds in the natural birthplace of the flesh.
Capitol .vi.	Sixth Chapter.
De la cura de aquo que catz en las aurelhas.	On the Cure of That Which Catches in the Ears.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	All causes that catch in the ears are one of four species, for either it is mineral pyre or a similar cause, such as iron and vermillion, or it is from a plant, such as cheese or fava, or it is a fluidic cause, such as hot water and vinegar and their likenesses, or some beast.
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	And therefore when pyre catches in the ear or another cause similar to those causes that do not agree with the ear, and pause the ear at the sun, and if sometimes the pyre appears, then you should distill into that some cause of violet oil or musk, and then administer the extraction of it, and make the stornutation in suitable conditions, and apply the nose to the event of stornutation.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	And then pause in the cavity of the ear with some pieces of cloth or wool, and extend the ear to the upper parts, for many times it is forgotten due to these causes.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	And if not, then you should administer the extraction of it with the instrument called "gesti" epicicario, subtle of which this is the form:
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	And if it is forgotten with "gesti", then it is so; and otherwise, you should administer the extraction of it with an onyx subtle of little duplication.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	And therefore if it is not forgotten by this, then you should make a tube of iron and insert the end of the tube into the hole of the ear and close around the tube with wax and soft oil so that only the tube may be opened.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	And then extract with the gentle touch and strong attraction, for many times as this which we have recounted.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	But if it is not forgotten in this manner, then you should take from the lighted candle or the prepared wax with which the birds are attracted to take a small quantity, and pause that in the extremity of ray, and then wrap around that spot decently paused.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	And then insert that into the hole of the ear with ease, and then extract the ear from moisture.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	And therefore if it is not forgotten by all the causes which we have recounted, then you should be cautious to cut that before it develops into cauterized apostema or spasm.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	And the manner of cutting that is: first you should anoint the patient with the vein sephasica and extract the blood according to the manner of the virtue of it, and then make that cease between your hands and convert the ear into the upper parts, and then make a small fissure in the root of the ear where the grey matter is located before you.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	And let the fissure be of lunar shape until it reaches the pyre, and when the pyre is blackened, stop that if you can with appropriate instruments; and then close the fissure in that hour with speed, and cure that until it is healed.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	And if the cause catches in the ear is one of the fats that agree and are inflamed, then you should administer the cure and extraction of it; but if it does not obey your eye sight, then you should take a subtle spatula according to this form:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	and administer to that the incision of that fat which is caught in the ear.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	And do not make it when you think that it is already moistened by the vapor of the ear, and pause it in many pieces, and then extract from those with onyx or subtle gesti, or by incision as we have said, because it facilitates the extraction of it.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	But in the water which has entered the ear, it is necessary for the patient to use stornutation with suitable conditions at the beginning, and fill his own ear with a little old cloth, and then place that over the ear in which is the water, and if forgotten by this, well; otherwise, take many small pyre stones and lions according to the length of the finger, and calcine those in the fire for a short time, and then have the patient insert one of those into the hole of his own ear and let it settle on that side of that part and strike with another pyre stone over the pyre which is inside the ear.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	Therefore do not cease this process with pyre until all the water has been forgotten.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc .i., e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And already the water will be forgotten in such a way that you take from paper or from bone. and place one end of it in the ear and extend the other end to the fire until the wax of it is burned.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And then place another bone and make this so many times until all the water is forgotten, and extract that with a tube as we have said above of the pyre extractor.
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	But in the extraction of beast that enters into that ear, if it is small and similar to a pea, then extract it as we have said above; but if it is of great size which appears to the sense of feeling, then you should administer the extraction with gesti and onyx, and the cause of it becomes easier than all the other causes that catch in the ear.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	But in the extraction of worm generated in the ear, when you cure that with what we have said above and in the treatise on distillations, and do not confirm your cure, then it is necessary to observe the ear at the sun.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And therefore if there appears any cause of worms, then you should extract that with gesti or subtle onyx; but if no cause appears, then you should take a tube made from a reed and above it is broadened in the shape of this:
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	And then insert the subtle end into the ear according to the quantity that the patient can bear; and then suck it with strong suction, and make this many times, until all the worms are forgotten.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	But if it does not obey your eye sight, then you should apply and close the circuit of the tube with wax as we have said; then administer distillations which the ancients have already tried in the cure of worms, and you will find this in the treatise on distillations.
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And then your effusion with which you pour the medicinal oils into the ear with this instrument of which this is the form:
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	And make that of silver or of iron, made from a reed, with a small hole and above it.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And therefore as you are about to do that which is in the cavity of the tube of containment, here where it is necessary.
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	And if you want, take the ray and wrap it around the end of it decently and tightly, and then pour oil into the cavity of the ascension, or juice of some herb, or whatever you want from these medicines in the tube — and that is in the ear —, and then insert the ray with a tight grip above and press gently with your hand on that with a temperate compression until the oil is expelled into the cavity of the ascension and the patient feels the oil inside.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And what is inserted in the ear is already burned with fire a little.
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	And beware that the cause which you will distill in the ear is not too hot, because the medicines of the ear cannot bear this.
Capitol .vii.	Seventh Chapter.
De curacio de opilacio de aurelhas.	On the Cure of Impediment of Ears.
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Some times some children are born with the vents of their mothers unperforated, and this already happens to some men, impediment in the meat of the ear due to wound or flesh not being in that; and this impediment sometimes is made in the preone of the tract of the ear which does not follow the sense, and sometimes it is in the outer parts.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	And that which occurs in the preone of it, which does not comprehend the sense, is in the greater difficulties for difficult cure.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And in that which comprehends the sense, it is necessary to pause the ear of the patient at the sun and look into it.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And therefore if you see apparent oppression, open that with a subtle spatula of which this is the form:
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the end of it in which there is a small latitude, one part being sharp and the other not; and the spatula be two lions wide so that it does not cause harm to the ear.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	And therefore if the impediment is due to flesh born in the ear or in the meat of it, then you should extract that with subtle onyx and incise it with great facility until all the flesh is removed.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	And if the impediment is in the preone of the ear, then take a subtle ray of lion and heat that with fire for a short time, and then place that in the meat of the ear.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	And therefore if you have sensed oppression with that which the patient has discovered with facility, through gravity of air, force the oppression of it with facility; and beware that you do not harm the nerves of the ear.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	And then pause in the ear with cloth of linen according to the quantity of the breadth of the hole which you have wrapped around the Egyptian bandage; and make this for some days until you are sure of the consolidation of the wound; or take some oil and pour it into water and pulverize over it, and use it; and if the ear is already blackened, then it is necessary to extract the poultice and substitute it with another poultice which you will wrap in cloth soaked in rose oil, until the cauterized apostema yields; and then cure that until it is healed.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	But if there is a flow of blood, then you should submerge a sponge or cloth in hot water and pause over the ear, and use another cure which restricts the flow of blood, which is described in the treatise on distillation.
Capitol .viii.	Eighth Chapter.
De cura de athezil le qual endeveno a las palpebras.	On the Cure of Athazil Which Afflicts the Eyelids.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	Athazil which afflicts the eyelids of some people sometimes humid, and at other times dry.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	Therefore it is necessary to take those with tenhallas or onyx, and incise them with the spatula of their own roots, and then pause over the places as if sewn together.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	But if pain with bleeding comes, then you should cauterize those with a lanticular subtle cautery.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	And the best cautery is to do it near the incisions and many times return when there remains some cause of their roots; and when they are cauterized with fire, those roots are burned and do not return.
Capitol .ix.	Ninth Chapter.
Cura de grandeyssa que veno a las palpebras dels huels.	Treatment of Grandeyss Which Afflicts the Eyelids of Men.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	Many times it happens that in the eyelids of men some cause arises which is akin to grandeyss in its strength and hardness, and therefore grandeyss is called.
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	And it is an accumulation of great humidity below and above the eyelid.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	Therefore the operation on them is that you should consider whether the grandeyss is proceeding from there in what appears to be from the eyelid and spreading to all parts; and the cause of it is light.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	Therefore pour over that with a fissure by latitude, and then extract all of it from every part with facility until it evaporates, and then suspend that with an onyx and incise it.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	But if you are not prepared to begin the incision of it unless you push through the eyelid with an incising instrument little by little, then this will not be noticed in any cause.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	And if the figure is large, then you should adjust it with a suture; and cure that until it is healed.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	And if it is little, then you will not suffer harm from it because the humor of it restores that and incarnates.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	And if the grandeyss is declining to the outer parts of the eyelid, then you should remove the surface outwardly; and then ease the eyelid and suspend the grandeyss with an onyx, unless you are obliged to incise it, and press that from every part; and if the eyelid by incision becomes lengthened, this will not be noticed in any cause.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	And then the incision, wash the eye with salted water; and cure the place with that which incarnates until it is healed.
Capitol .x.	Tenth Chapter.
De la cura axcirnah en la palpebra desus del huel.	On the Cure of Axirnah in the Eyelid above the Eye.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	Axirnah is a greyish substance which is generated in the tunics of the eyelid above, and most commonly affects children, aggravates their eyes and causes great pain to them; and they cannot look at the brightness of the sun because tears are shed upon them.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	And therefore you should take those to weep over their faces all the time, and sleep on their faces; and so the eyelids of theirs above become humid, which have already been covered with inflammation, and the imminent danger is apparent in the eye; and when you press the place with those said remedies, you will bring forth an abscess within them.
