Ayssi comensan las paraulas de Albucasim .	Thus begin the rules of Albucasim.
E es aquesta la forma del cauteri:	And this is the form of the cautery:
E a tu es possible que cauterizes aquestz cauteris am cauteri cutellar, quan es am tu subtilitat e prudencia en l’art.	And it is possible that you can cauterialize these cauteries with a cuticular cautery, when you are with subtlety and prudence in the art.
E guarda te que trop no procesiscas en la cauterizacio, e sia adhurida la specitut de tota la codena per que sia adhurit tot le cors e pervengua entro als budels, quar la codena aqui es subtil; e sapias aquo.	And beware that you do not proceed too much in the cauterization, and let the specillum of the entire codena be absorbed so that the entire body is absorbed and reaches into the intestines, because the codena here is subtle; and know this.
Capitol .xxviii.	Chapter 28.
De perforacio de apostema del fietge am cauteri.	On the perforation of an abscess of the foot with a cautery.
Quan endeve excitura o apostema en le fietge e voles saber si aquel apostema es en le carn del fietge o en la tunica de lu, lahoras si es en la carn del fietge, le malaute atrobo gravitat e dolor ses acuitat.	When there is an ulcer or abscess in the foot and you want to know if that abscess is in the flesh of the foot or in its tendon, then if it is in the flesh of the foot, the patient will feel grave trouble and sharp pain.
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	And if it is in the tendon of the foot, then the pain is greatly acute and often the doctors are weary of its cure.
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	Therefore it is necessary that the patient be turned over onto their back; and place a sign on the area of the abscess with a probe; and ignite the cauteries which are assembled like a rake, in the form of which I have described on the previous page.
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	And cautelize with that instrument and cautery until the entire codena is burned, until it reaches the deep flesh, until there is no more sanity.
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	And then treat that by curing other abscesses until it is healthy.
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	And it is not fitting that this form of cautery be used unless the one who has studied in the art of medicine is prolonged, and in the most of which many maladies are recognized; however I have experimented with some gentle women who were bold about this operation, but I will leave that to you, and it is better.
Capitol .xxix.	Chapter 29.
De cauterizacio de plauresi.	On the cauterization of ulcers.
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	The ancient cauteries of the roots of aristology for ulcers frequently follow this manner of being made, and it is this that you take from the roots of aristology a long dry root which is found, and let it be of the thickness of the finger.
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	And then submerge it in oil and heat it at the fire, and then cautelize with a cautery at that place which is between the continuation of the furcula and the neck; and make two small cauteries below guiding, one slightly declining to the part that is below the beard, and make two cauteries on what is declining between the fifth rib and the knee, declining slightly to the back parts; and make another cautery in the middle place of the foot; and another on the stomach, and three cauteries on the back parts; and make one cautery at that place which is between the two shoulders, and make two cauteries of the two sides of the foot, below the cautery which is between the two shoulders.
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	And do not comprehend your hand with the cautery, unless it is in the manifest of the codena in operation.
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	And thus I have described the ancient cauteries which are similar to those of men who use iron-like cauteries that resemble a ray and ignite it, and place it at that spot which is between the ribs, until they reach to that abscess and healthy sanity is restored, just as I have said in the case of the foot abscess.
Mays en aquesta perforacio am cauteri no es ses temor, quar hu mor tantost ho accideys en le loc fistula a la qual no es sanacio.	However, in this perforation with cautery there is no fear, because I have often seen it happen that the cautery reaches to the spot of the fistula where there is no health.
Capitol .xxx.	Chapter 30.
De la cauterizacio de la melsa.	On the cauterization of the mole.
Quan tu curas la malautia de la melsa am aquo que havem dit de la curacio en la divisio e no confereys la tua curacio, lahoras cauteri en lu es segon tres manieras, las quals totas son dreyturieras, de las quals la una es que fassas tres cauteris o quatre linhan segon la longitut de la melsa segon la figura dels cauteris del fietge, la figura dels quals ha precedit.	When you cure the malady of the mole with what I have said about the curation in the division and do not confuse your curation, then cautelize on it according to three manners, all of which are straight-forward, one of which is that you make three or four lines according to the length of the mole, according to the figure of the cauteries of the foot, the figure of which has preceded.
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	And it should be between each cautery the thickness of a finger or a little less, and the handle of the cautery should be the handle which we have held in the cautery of the foot in balance.
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	Do not grasp your hand with the cautery; and the patient should be elevated on their back.
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	And it is another way of cauterying, so it is that you should ignite the cautery having two vertices, which causes to have spoken in the chapter on muscle dislocation, and elevate the cord which is at the end of the molar bone where the patient feels the pain on the affected side.
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And it should be your elevation where you elevate the cord according to the length of the body, so that several cauteries are made according to the width of the body.
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	And then insert the two vertices, ignite the motor, in that intro where those penetrate the cord of the other part.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	And then extract the cautery; and thus four cauteries are made.
E si voys, cauteriza am cauteri havent tres vernimentz.	And if you want, cautery with a cautery having three vertices.
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	And then you should cure the cautery better than letting it be carried by three years, because it is more comfortable than the other previous causes in the cure.
Capitol .xxxi.	Chapter 31.
De cauterizacio de ydropici.	On the cautery of hydropic people.
Cauteri no catz en ydropici sino en alcinte3 propriament.	Cauteries are not made on hydropic people, but rather in adjacent places properly.
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you cure the hydropic person with the methods of cure which we have spoken of in the division and do not contradict your cure, then it is necessary that those cauteries are four cauteries in the circuit of the umbilical area and one cautery on the stomach, and one cautery on the foot, and one cautery on the molar bone, and two cauteries between the vertebrae of the back, and one cautery on the right side of the chest, and another cautery on the stomach.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	And the quantity of the depth of the cautery should be proportionate to the thickness of the cord.
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	And then let the cautery remain open so that it can be carried for a long time.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	And do not evacuate the patient from cure then with the cautery because it is necessary that they be added to their two intentions, and will be fastened to their two assistants for health.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The shape of the cautery which is used to cautery the belly should be clave-like according to the shape of that which precedes, and it is that which is used to cautery the back should be olive-shaped according to its preceding form.
Capitol .xxxii.	Chapter 32.
De cauterizacio de pes e de las coyssas.	On the cautery of feet and thighs.
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the feet are apostematous in hydrops and full of stagnant water, it is necessary to cautery the feet on the back of the foot at night, where it is between the auricular and anular, and elevate your hand with the cautery and do not twist it; and then elevate your hand, and do not return it at all, because the stagnant water resolves.
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	It is the cautery according to this form: And then make on both thighs two cauteries, and in each thigh a cautery should be made at the extremity of the cautery cutter.
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	And it should be the cautery according to the length of the thigh: one at the knee and another at the middle place of the thigh; and on each thigh two cauteries.
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	And then let the open plague remain uncured for a long time, so that some water resolves from it.
E aprop cura le am aquelas causas las quals havem ditas.	And then cure them with those causes which we have spoken of.
Capitol .xxxiii.	Chapter 33.
De cauterizacio de cos de ventre.	On the cautery of belly and intestines.
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	When the belly and intestines are cold and humid, so that they debilitate the virtues, it is the digestive and retentive virtue, which are in the stomach and intestines, and it is cured with those methods of cure and do not contradict, and sometimes the patient suffers from exhibiting cauteries of virtue, then cautery that with a great cautery on the entire stomach according to what precedes in the cautery of the stomach, with the circular cautery and four cauteries in the subtle circuit of the umbilical area, with a subtle clave-like cautery; and with a cautery on the alcatin on a large aloesis, or with two cauteries.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	And if sometimes the humidities exhuberate and the patient is tolerant, then cautery that on the pentenilh and on the intestines, and strongly adjust two cauteries on the stomach and near the inguina, because it is a perfect cure of juvament which does not err.
Capitol .xxxiv.	Chapter 34.
De cauterizacio de emorroydas antiquas.	On the cautery of old hemorrhoids.
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	When they are in the nature of old hemorrhoids or one of gross humors cold and humidities corrupted, and they are cured with what we have said in the division and do not contradict their tieua cure, then cautery them with three cauteries on the pus below the small and small triangular vertebrae, and a cautery above the umbilical region for two digits.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	If it is deemed that the patient's stomach is inflamed and their food is not being digested, and their face is sometimes affected, then cauterize that over the stomach with a large cautery; and place one cautery on the thigh, and another on the lower back with a clavicular cautery, and leave the cauteries for some time open, and afterwards take care to heal the inside.
Capitol .xxxv.	Chapter 35.
De cauterizacio de atheyl aprop la abscizio de lor.	On cauterization of the thigh, afterwards prepare for their abscess to burst.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you abscess the thigh, then ignite the cautery that is assembled into a rod.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Afterwards insert that ignited rod into the abscessed thigh, and ultimately guide it inside until it reaches the orifice of the vein from which the blood flows.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And make an incision of one or two fingers, because if the achilles tendon is too thick, then cauterize whichever of them according to what has been recounted, and afterwards take care of those that confer benefit to their joints until they are healed.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	And if you cauterize with a large cautery on the buttocks, it is more effective in healing.
Capitol .xxxvi.	Chapter 36.
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	On the cauterization of fistulas that are formed in the natural dermal layers of the body.
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When nature does not obey the work that we have recommended in its place, and the patient is frightened by it, then heal them with a cautery.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	Therefore when you see a fistula in the natural dermal layer, and it is old, corroding the healthy part of it and humidifying corrupting matter, and therefore that which is more worthy to cover is that which proceeds with a subtle probe, and afterwards consider the quantity of the profundity of it before the aforementioned probe.
Aprop igneys le cauteri que es semblant a ray.	Afterwards ignite the cautery that resembles a rod.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	And afterwards insert that ignited cautery into this fistula, and according to the quantity in which it penetrates the probe.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	And hold the cautery on that until they burn those corrupt bodies entirely, one or two or three times, according to the quantity of your necessary need.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	And beware of combustion of nerves and veins; or if the fistula goes to the body of the bladder or to the body of the intestine, then beware of all those places; and do not do it unless the fistula is in a fleshy location and you think that it does not penetrate.
E aprop cura le loc entro que sia sanat.	And afterwards take care of the place until it is healed.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	And if the place is sealed, and the abscessed matter has been removed from it, and it remains like that for a long time, then you will know that it is entirely cured.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	And if the matter has not been removed from it, then you will know that it is penetrating or in the vicinity of a corrupt bone, or something from those causes which will bring remembrance to its place.
Capitol .xxxvii.	Chapter 37.
De cauterizacio dels ronhos.	On the cauterization of the kidneys.
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When in the kidneys there is pain due to cold or excessive windiness, and therefore the hollow of the patient's thigh is affected, then it is necessary that you cauterize that over the kidneys with a cautery on whichever kidney has a clavicular cautery, from which proceeds the remembrance.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And strongly cauterize them according to the second small indication, so that three linear cauteries will be made, and therefore they will be more effective in healing.
Capitol .xxxviii.	Chapter 38.
De cauterizacio de la vesica.	On the cauterization of the bladder.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When there is debilitation and mollification in the bladder due to cold and humidity, so that the patient's urine does not retain, then cauterize that in the part most above the bladder, where the skin of the perineum begins, and cauterize with one cautery on the right side, and another on the left side.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	And let the length of each cautery be according to the quantity of notes on the skin of the buttock; and cauterize that with a cautery in the lower part of the back, or with two cauteries if it is necessary.
E sia cauteri clavilh segon que es procesit.	And let it be a clavicular cautery according to what has been described.
Capitol .xxxix.	Chapter 39.
De cauterizacio de la mayra.	On the cauterization of the matrix (womb).
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	When there is cold and humidity in the matrix (womb), and therefore conception is prohibited, and its menstruations are corrupted, and it is delayed the provocation of them, and it causes pain from the movement of them, then it is necessary that the place be cauterized with three cauteries in the circuit of the navel, as we have said about the cautery of the bladder; and one cautery on the lower part of the back, or two cauteries, and let it be a clavicular cautery.
Capitol .xl.	Chapter 40.
De cauterizacio de la dislocacio de l’anqua.	On the cauterization of the dislocation of the ankle.
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	When humidity often infiltrates the part of the ankle, and is a caused reason for the displacement of that joint, and it is signified by it that the thigh is prolonged over the other when compared between them.
E le loc de la dislocacio es atrobat en lu quays boyt.	And the location of the dislocation is discovered in the boy's thigh.
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	Then cover the patient with a circular cautery around the affected area of their arm, since you have sensed that you have touched it in the circle of the affected area and thus it is revealed, and so that the affected part returns to its proper place within the circle.
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	And it is the cautery which precedes the form in the cautery of the stomach.
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	And if this cautery is not present to you, then cautery that arm with three olive-shaped cauteries.
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	And make the cautery according to the quantity of the inspection of the entire code; and then take care that it be healed from within.
Capitol .xli.	Chapter 41.
De cauterizacio de la vena sciatica.	On the cautery of the sciatic vein.
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	When pain occurs in the affected area of the arm, and its cause is cold and humidity, the patient is cured by what we have said before, and it does not conflict, and it is ancient, then cover the patient with gross humors using foul pills or artificial semblances; and then cautery that.
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	And the manner of the cautery in that is according to two manners: either cautery with combustible medicines, or cautery with fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	It will be according to two scientific manners, one of which is that it cauteries the arm above the ankle with three triangular-shaped cauteries according to this form; and make them with good depth.
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	And it is the space which is between each cautery, the quantity of the thickness of the finger and if the olive-shaped or large cautery.
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	Some withered places have the cauteries in the proper place on the head of the ankle, because there are four cauteries.
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	And if you wish, cautery with the circle in which the form is precised in the cautery of the dislocation of the arm, and that circle contains and burns the inspection of the entire code.
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	And this is the manner of cautery in every case when pain is adherent to the arm and does not extend within to the thigh.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	But if it is extended within to the thigh, then cautery that arm with two cauteries on the thigh at the place where the patient's pain turns; and with one cautery on the hip for four fingers' width below the affected part.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	And if the cautery is cutting, and it is the depth of the cautery according to the quantity of the inspection of the code.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	And if the patient turns where the pain is extended within to the proper place near the toes, then cautery that here where it turns with a cautery of three points or four or more if it is indicated for that.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	And if the patient turns where the pain is below the knee towards the thigh, then cautery that here with a cutting cautery.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	And beware in all cautery that you do not ultimately use the cautery in such a way that it burns nerves or large arteries, and that for this reason it is not on the patient's bad nourishment or contradiction.
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	And you have already seen one or another of those who cautery on the hip and ultimately in the cautery, and the burned focus inflamed within so that the tumor reached the foot, and it was perforated and corrupted the entire foot.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	And then a strong solution of wine, and then death.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	And if the pain is in two affected areas at the same time, cautery each one according to this manner.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	And they described the wise men in the cautery of the arm, of which this is the manner: make a semblance to a circle of iron, whose circumference is the width of a palm; and it is seven orifices according to the thickness of a finger's bone or less than a little.
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	And then that circle is another inch; and the space which is between them is the quantity of the notch of the thumb; and those circles are used for two affected areas; and their length is one or two inches, and make an iron margin decently attached to the circles; and this is their form.
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	Then it is ignited in the fire until it becomes red-hot and sparks, and then it is placed over the affected area of the arm, the patient gathered over the sheet there.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	And then cautery that arm with three red-hot cauteries in one withering.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	And then leave it for three days; then apply a plaster to the arm with a bandage and leave the ulcerated plague for many days; and then take care of the arm until it is healed.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Albucasis says: Oh, sons, of this species of cauteries few have used for the terror of the regard of it, and for this reason few have found those who regard it above.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	But of the good cauteries to him who suffers, and find them in the place of it.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	But cauteries with adhering medicines are that you make two circles having an armored perforation in which they would put the hinge of the iron door; it is the length of the partition in the nakedness of them, there are two inches or those.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	And if the spaces between which are among the quantity of the thickness of the finger; and thus opened and underneath, and thus that they contain themselves between their following this form:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	And then stop on the affected area of the water that the patient is lying on, and comprehend your hand over the affected area of the water; and then take warm water and put it between two circles, and the quality of that water be at the small fire little by little, and apply it for the quantity of an hour, and suffer the patient the moderate and adjustment of it — because that atrocious moderate heat thus from fire — until the moderation ceases.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	And then lift your hand with the instrument and withdraw the warm water from all the affected area into watery doublings.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	And then leave it like that for three days and stop on that border until the blackness of the adjusted remedy remains, and leave it like that for some days, and correct the patient's poultice; this is the last step in the treatment.
E aprop cura aquel am enguentz entro que sia sanat.	And then heal that one who is wounded until he is healthy.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	And if the pain is extended into the thigh or leg, make a statue of it containing water according to what is done in the affected joint.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	And this is the method of warm water, and I have already written that in the treatise on the rectification of medicines.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Recipe for alkaline and caustic waters not extinguished by two kinds of ana, one part, and triturate them and stop in a new vessel of which the affected part is perforated by a small tube, according to the quantity that enters into the vein.
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	And stop there at the bottom of another vessel, and pour over that alkaline and caustic water of sweet water which takes those for one finger, and since you comprehend those with your good compression, and leave the hole that descends from the sharp water in the affected part to another vessel.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	And then adjust all that water, and pour it over another cause of living and other alkaline renovelatz, because at that time it will be very strong and acute, which is administered in many operations of medicine and in cauterization of the other members, because the operation makes fire.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	And thus among the medicines some are those which are cauterized strongly, thus with teas and honey and good sabur, in this way that they are mixed.
