Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucius.
Quan accideys aquesta consolidacio a motz homes enayssi que sia solidada la palpebra pus desus am le album del huel, e sia prohibida de la facilitat del movement e de las suas obras naturals, donc cove que tu entrometas la extramitat del ray dejos la palpebra, e eleva en sus aquela, o exten aquela am le unci.	When this consolidation occurs in many men whose eyelid is fused above the white part of the eye and is hindered by its movement and natural functions, then it must be removed from the edge of the eyelash below the eyelid, and lift it up or stretch it out with oil.
E aprop tu inscideys la adherencia am spatum subtil, le qual no sia am acuitat de las inscisios, habantz obtus un petit per so que·l malaute no sia inquietat deves la operacio, e remau le spatum que no ledesca le huel am la sua acuitat.	And carefully cut the adhesion with a thin spatula that is not sharp, taking care to be gentle so that the patient is not disturbed by the operation, and remove the spatula without touching the white part of the eye with its sharpness.
E sia la tua inscizio quays excorjan aquela adherencia am facilitat entro que sia retornada la palpebra segon la sua forma natural e que sia sanada tota la adherencia.	And your incision should be such as to easily remove the adhesion and restore the eyelid to its natural form, and heal the entire adhesion.
E aprop tu met en le huel aygua salada am la qual tu laves; o distilla en lu de zunia dissolvut en l’aygua.	And apply warm water or saltwater to the eye, and you can also distill oil of roses in it.
E aprop separa entre la palpebra e l’huel am calgua de li, e pausa sobre le huel lana infuza en album de huou, e aprop le tertz jorn usa de causas consolidativas entro que sia sanat.	Separate the space between the eyelid and the cornea with gauze soaked in wool oil infused with albumen of egg, and apply it to the eye for three days using consolidating treatments until it is healed.
Capitol .xvi.	Chapter XVI.
De inscizio de ungla e de eminencia de carn dels lacrimals.	On the incision of a nail and the removal of skin growths around the eyelids.
Sapias que ungla es segon dos manieyras, quar o es nervosa, e es semblant a ciphac dur subtil; o es no-nervosa, semblant a humiditat blanca congilada, la qual quan ferr la toca, o es forsat aquela prendre am onci, es abscindida e le onci no es ficat en lu.	Know that the nail can be of two types: either it is nerve-like and hard like a small stone; or it is not nerve-like, resembling congealed white moisture, which when touched by a hot iron, or if it is pressed, it breaks off and no oil is inserted into it.
E amdos las specias no comensan sino del lacrimal major entro que va petit a petit que cobre la vista e prohibeys le lum e·l movement de huel.	And both the spices do not start before the tear duct above, which is small and gradually covers the sight and prohibits light and movement of air.
Mays la manieyra del obrar en la inscizio de lu es que·l malaute pause le sieu cap en le tieu se, e aprop obre les huels de lu, e eleva la palpebra am la tua ma, e aprop colligeys la ungla am onci de pauca duplicacio e exten aquela a las partidas desus.	But the method of working in the incision is that the patient holds their head in your lap, and opens their eyes wide, and you lift the eyelid with your hand, and collect the nail with one finger and extend it to the sides above.
E aprop pren una agula e entromet en aquela un pel de cavalh o de buou o de vaqua, o de semblantz, o de fiel fort, o duplica la extremitat de la agulha petit a petit e fica aquela en le mieg de la ungla, e penetra aquela am la agulha, e lia am fiel la ungla; e exten aquela a las partidas desus, e excorja am le pel le latz de la ungla lo qual siec la pupilla.	Then take a needle and insert it into a hair of horse or ox or cow, or something similar, or strong skin, or bend the tip of the needle little by little and place it in the side of the nail, and pierce it with the needle, and hold the nail with tweezers; and extend it to the sides above, and remove the hair from the side of the nail that covers the pupil.
E ayssi tu sieguas aquela am le pel entro al derier de lu.	And so you follow the hair to its root.
E aprop tu inscideys le romanent en la razitz del lacrimal am spatum subtil o am petitas forfexs, e leysa la carn del lacrimal natural per so que per inscizio de aquela no endevengua fluxs de lagremas continuabla.	Then you incise the remnant in the root of the tear duct with a thin spatula or small forceps, and clean the natural tissue around the tear duct so that there is no continuous flow of tears during the incision.
E alscunas vetz la ungla am le sol onci estenduda o am fiel, ayssi co havem dit, e aprop sia excurjat am spatum leon del qual aquesta es la forma de lu:	And sometimes the nail with the sole extended or held with tweezers, as has been said, and it should be cut out with a lion-shaped spatula, which is the shape of this:
E guarda te que am le spatum no toques la tunica cornea e que avengua en lu ruptura, e que la pupilla sia perforada.	Be careful not to touch the corneal tissue with the spatula and avoid causing rupture, and make sure that the pupil is perforated.
Aprop la inscizio geta en le huel un pauc de sal trissa o di cief fayt de siniar, e leyssa aquel entro al autre dia; e aprop cura aquel am aquo que cove entro que sia sanat.	Then make the incision in the eye with a little saltwater or salty solution made of vinegar, and let it stay there for another day; and take care of it with water that covers what is inside until it heals.
E si la ungla no es nervoza e no podes metre la agulha, ni es ficada en aquela le onci, lahoras motas veguadas aquesta specia de ungla es curada am medicinas, e es sanada ayssi cum yeu e recomtat en la divisio.	If the nail is not nerve-wrapped and cannot be penetrated with the needle, then this type of nail should be treated with medications, and it will heal in the same way as other nails and is recommended in the division.
E si tu vols inscindir aquela, lahoras tu obre le huel del malaute e pren spatum subtil leon de freul acuitat segon aquesta forma:	If you want to incise it, then you open the eye of the patient and take a thin lion-shaped spatula with sharp accuracy as follows:
am subtilitat.	With sharp accuracy.
E si vezes que aquela es rarificada e es confugida e empren en aquela razit, lahoras distilla de la tua ora en le huel de cief fayt de siniar o am cief rog o am sal trissat, e opila le huel entro a l’autre dia.	And if it is rarefied and hardened and grows in that root, then distill your oil in the eye made of vinegar or rose water or saltwater, and apply it to the eye for another day.
E aprop itera sobre aquela la operacio entro que sia remaugut tot aquo que es de lu, sino que·l contrari apostema caut sia en le huel, quar lahoras tu leyssa aquela, e cura al comensament la apostema entro que sia sanat.	And be sure to perform the operation until all of that which is from it is removed, unless a counter-abscess forms in the eye, in which case you should remove that, and treat the abscess at the beginning until it heals.
E aprop itera la tua operacio sobre aquela am razo entro que sia sanat.	And be sure to perform your operation on it with reason until it is healed.
La emenencia de la carn lacrimal, si notz en le huel per gran nocument, sia suspendut am onci; e inscideys aquela de aquela una partida, e no ultimes la inscizio per so que no inscidesqua fluxs de lagremas.	The evacuation of the lacrimal flesh, if noticed by a strong odor, should be suspended for an hour; then incise that part of it, and do not deepen the incision to prevent the flow of tears.
E aprop distilla en le lacrimal cief rog e fayt de siniar entro que sia sanat.	Then apply steam to the lacrimal head and make it sweat until it is healed.
Capitol .xvii.	Chapter XVII.
De inscizio de alguazardenic e de aquo que es nascut de carn ajustada en le huel.	The incision of ulcers and that which is born of flesh attached to the odor.
Alcunas veguadas en les huels de alcus es nascuda carn roga, e es sobre-pausada entro que cobre la pupilla, o apropinqua o estrenh sobre las palpebras e fort leu comprem las palpebras a las partidas deforo e es assemblada a roza de balaustra.	Sometimes in the ulcers of alcu, flesh grows red, and it becomes swollen before covering the pupil or pressing against the eyelids and strongly compressing the eyelids at their edges, forming a rosebud-like appearance similar to a balcony railing.
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	But the operation on him is that the patient lies still with their head on your lap; and then you open the ulcers of that area and collect all that flesh with scissors or tweezers, and then incise the flesh from the beginning to the end using the scissors, and be careful not to touch the wound during your operation.
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	And make the incision with which you shall incise that one or with the spatula which we have recommended in the incision of the nail, or with small forcops which are gathered according to the shape of it as this chapter may require.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	Therefore, when your incision is complete and all the flesh has been removed, fill the wound with salt powder or distill into it red powder similar to that of corrosive medicines, and then wait until a cautery pus forms over the wound, covered by albumin of egg white.
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	If there remains any cause of algares and is full of cauterized blood, and you fear a cauterized pus, then you should lance the wound and care for that cauterized pus with what will dissolve that pus, and then apply treatment to it until it is healed, and similarly treat the flesh attached in this manner that occurs in the algares of this kind.
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	But you must be careful to avoid all care of the wound through natural or accidental means, perform with iron, and do not put your hand in any of these operations until you see that the member has suffered enough from this operation.
Capitol .xviii.	Chapter XVIII.
De colleccio de sabel en le huel.	Collect samples from the urine
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	Urine samples are requested which will be tested and the clothing around it should not be disturbed for several days. Uncover the urine container for as many days as needed.
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	At the beginning, it is necessary to first determine if the urine in which the sample is located is strong and there is no other illness present in addition to gout, then you collect that sample.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	You command the patient to bend their head towards your chest and suspend those veins with an ounce or two depending on your judgment; this ounce should be of subtle doubling in this manner:
o so dos oncis gradantment en un cos segon aquesta forma:	or two ounces gradually into one container according to this method:
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	Then collect those veins carefully, using fine and delicate methods, while avoiding blood, until you see the veins becoming swollen from the urine and turning red.
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	Be careful not to damage the urine container or its stopper; if your operation is in the middle of the day, and you are firm in your actions, do not insert anything but those veins.
E quan tu auras complitz, lahoras tu distilla en le huel cief vert o rog per que am sa acuitat corrodesca aquo que es remaugut del sabel.	And when you are done, you then distill the urine in order to make it green or red for that acidity to dissolve what has been collected from the sample.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	But if that is not possible for you to collect everything at that time, then you place everything with what relieves the pain of it and let it rest for several days until the pain is alleviated and an abscess or pus has formed.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	And repeat the process as necessary until it heals.
E aquesta es la forma de las forfexs:	This is the procedure for the forceps:
Capitol .xix.	Chapter XIX.
De reduccio de arizati al nas.	On reduction of arteries to the nose.
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	When you treat arteries with cautery or sharp medicine as per the previous narrative and it does not heal, do not delve into it, but instead make an incision over the abscess when it is mature, and extract all the moisture that is in it and allow the bone to be exposed.
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	Therefore, when the bone is exposed and you see corruption or blackness in it, you scrape it with an instrument that has this shape:
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	It is called a sharp head, and it should be made of iron, and the head should be round like an arrowhead, pierced by drilling or abrasive powder for a subtle piercing (as shown in the following image).
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	Stop it on the corrupted part of the bone, and then rotate it with your fingers until you feel that the corruption is scraped off.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	Let it rest for some time, and then restore the area with drying and binding agents.
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	If the area is consolidated and good flesh has grown back and it separates from the body and remains for 40 days without being renewed or forming an abscess or other complications, then you know that it is healed.
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	If not, do not delve into it but rather reduce the opening to the shape of the nose, and follow this method: you dig around the bones or with sharp medicine until the bone is exposed, then you take a piece as follows:
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	The handle should be extended towards the tip as shown in some cases.
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	And let it rest on the bone, and that piece should be from the lacrimal; extend your hand a little towards the urine, and rotate your hand with the piece until you penetrate the entire bone, and the patient will feel air coming out through their nose when they exhale.
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	Therefore, restore the area with drying agents as you have been instructed.
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	Once the flesh and area is hardened, return the material that flowed out from the wound to the nose, thus it is lighter on the patient.
Capitol .xx.	Chapter XX.
De reduccio de la eminencia del huel.	On reduction of the protrusion of the urine container.
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	When the urine container protrudes completely without any inconvenience or diminution of the clothing, it is necessary to lax the patient, and then to have them follow their normal routine, and to pause for a while in the neck without scarification and with good suction; and then pause over the urine container with a liniment made of aloe, opium, myrrh, and frankincense, and strengthen the plug over the urine container without using too much powder.
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	The method of powders is to take cloths from the lion's wool, and each cloth should be folded into four layers; and make powder from these.
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	Then place them one on top of another according to the quantity required for use.
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	Apply strength to the powders using tough, firm fabric and strong binding; repeat the plasters with juice without cutting; remove the plasters and let the wound rest day and night.
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	But if in the meantime the ligament becomes softened, then it must be tightened firmly.
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	Then remove the ligament and rest day and night as mentioned before.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	If the wound has been reduced (healed), that's good; but if not, then apply the plasters with powders and binding and bandages until it is healed.
Capitol .xxi.	Chapter XXI
De la inscizio de la eminencia de la tunica uvea.	On the incision of the elevation of the uveal tunica.
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	When there is a disruption in the uveal tunica and it becomes elevated, proceed outside the eyelids as with a small knife, and shape the incision like a crescent moon; and if you want to make an incision, perform the operation as follows: you insert the needle into the uvea from below at the limbus (the junction between the cornea and the white part of the eye), and then place another needle through the conjunctiva (the transparent mucous membrane that lines the inside of the eyelid) where the tear duct is located, and let it penetrate; then remove the first needle according to its position; and make an incision in the double fold and lift the uvea around the needle circuit, and tighten that area.
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	Then remove the needle and let the yarn sink into the egg white (albumen) of the eye, allowing the thread to be absorbed.
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	Then take care of the eye with something that supports it until the wound is healed.
E alcunas veguadas aduna de tota partida am cercle de drap entro le huel ajuste eminencia gran, e aprop sia perforat am le spatum subtil que vengua al preon del huel, e corra la humiditat albuginea, e descen le huel e intra tantost.	And some weeks after the entire area around the eye is covered with a circle of fabric, it should be perforated with a thin spatula that reaches the edge of the eye, allowing moisture to penetrate the white part of the eye (sclera), and gently lower the eye and insert it as soon as possible.
E aprop strenh entro que sia sanat.	Then tighten it until it is healed.
Capitol .xxii.	Chapter XXII
De curacio de alconati.	On the treatment of conjunctivitis (inflammation of the membrane covering the white part of the eye and the inside of the eyelid)
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This disease called conjunctivitis is not just mucus discharge that accumulates in the eye, but something else.
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	But the method of working on it (conjunctivitis) is to make the patient lie down with their head straight and supported by your two hands, so that you can see the discharge coming from the eyes towards the lower eyelid, and then dry it without letting it descend, and keep the light out, and the patient should be able to see the causes as they did before.
E si no descendra en jos, sapias que es aygua.	If it does not descend (to the lower parts), know that it is water.
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	If it is not prepared to descend into urine, then make the patient hold between your hands and take a thin spatula and place it on the surrounding panniculus, near the continuation of the conjunctiva with the cornea at the crown (inside the location), until the urine is excreted.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	Once the urine is excreted, you must distill it into water, adding honey or water in which you have boiled fennel and honey.
E aprop sia curat am las autras causas entro que sia sanat.	And apply treatment for other causes until it is cured.
Capitol .xxii.	Chapter XXII.
De la curacio de la aygua descendent del huel.	On the treatment of urine descending from the genitalia.
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	I have already said the kinds of urine in their classification and which should be pierced with the needle, then perform that according to the patient's health.
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	Then you must make the patient lie down between your hands on a chair and let him urinate, holding it in tightly.
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	And place your right hand near the eyelid of the left urine, if it is the left urine that contains water; or with your left hand, if it is the right one.
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	And with your right hand take alum, if it is the left urine; or with your left hand, if it is the right one.
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	And place the tip of the alum near the crown for the thickness of the root in the alum of the urine from the tear duct, and then rub alum with its power and roll your hand on it.
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	And insert the alum into the urine and feel that alum has reached due to the heat.
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	It is necessary that the measure of the path of alum to the puncture be equal to the measurement of the space, which is from the pupil to the end of the black spot (the corona of the urine); because you will see the pupil with the vision of the urine through the clarity of the cornea.
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	And place the alum into the location where the urine is, and then draw it down a little at a time, and if the urine descends quickly, you must have the patient quickly drink what he sees with his eyesight, and place alum in his urine.
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	And rest for a little while; therefore, if the urine has descended, you must wait a little longer until alum is not expelled.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	And when it is dry and does not descend, you must remove the alum easily, rub it a little with your hand, dissolve a small amount of clear salt in gemma and use it to wash the inside of the urine; then wait outside the urine, stop or wool infused in rose oil and album of huou and liguidum with water for the urine.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	However, we and those of our time stop on that one with a compress soaked in albumen of huou (egg white).
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	And if it does not obey your alum in the inside of the urine due to its hardness (since some men have a very hard urine), then you must take the spatula, which is called albid, and this is its form:
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	And therefore pierce that conjuncture with the albid, and do not hurt yourself in the process, and make sure to do it gently towards alum.
E aprop entromet almagda segon que havem dit.	And insert the alum as previously stated.
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	You must complete your work, prepare the patient's bed for sleep with a comfortable bed made in a dark room, and forbid any movements.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	And let nature take its course for the smoothness of the situation, and do not tilt his head to the right or left in any way.
E sia le liament segon la sua disposicio entro al tertz dia.	Let him rest according to his disposition for three days.
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	Approach that person in that darker place and uncover the wound, examine it carefully, show them some causes, then return the limb into the day seven [days later].
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	It is necessary to do this during the time of healing or as soon as possible, apply an infusion.
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	It is necessary that you remove this because water can easily penetrate it due to its great and violent swelling.
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	But if an abscess occurs cauterized, you must remove the pus within seven days and treat it with a remedy that will help the abscess heal.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	Then clean the wound and place a plaster over its oral surface to control the swelling for several days, it exists in the darkest place.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	And gradually lead them out of that darkness and talk about their causes with them.
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	Know that it is not excused for a disciple to miss the vision on any occasions, and then you should be bold in performing the operation.
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	We have now heard of one of those who are from the Artes, and one said that a fire was made in the Magdame's anus and the water is drawn out with it.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	However, we have not seen this in our land who has perfected it, nor is it found in any of the ancient books; and it is possible that it is new.
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	These are the forms of the medicines for the uterus, by means of which one can act on those who do not know them.
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	They are made of earth or iron specifically, and they are the extensions of them with this subtle triangular tip, the sharp end resembling that form.
Capitol .xxiv.	Chapter XXIV.
De la curacio de carn nada en le nas.	On the treatment of dead flesh in the nose.
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When in the nose various dead fleshes are born, some of which have a cause similar to the scorpion of moving legs, or polyps of the feet; and this illness is called polyp because it resembles the foot represented by it.
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	And from there comes cancerous, ulcerated, dark-colored flesh; and from there is the lion's flesh, not of a dark color.
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Therefore, in the one who is not fraudulent or cancerous among these fleshes, it is necessary to cauterize the patient with your hands and expose them to the sun, cut open their nostrils, and pick the wound on those fleshes.
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	And remove that from the sides of the wound, and make a clean cut in it with a sharp, fine spatula on the side where you know that all the flesh is already exposed; if some reason remains for which abscission is possible, then you remove it with one of the subtle instruments until there is no more cause.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	But if it is a lord with blood or an abscess occurs cauterized, you must stop the bleeding; or if it is malignant abscesses, you must tie it and cauterize it inside until it is abscised and all the cavities are left open.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	And apply hot water or vinegar to the nose near the incision.
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	But if the nose is opened and moisture passes into the palate, you must know that it has healed.
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	But if the moisture does not penetrate as it should, you must know that inside it is dead flesh in the puss on the bones of the nostrils, to which no abscission has been achieved.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	Therefore, you must insert a needle of sufficient thickness into the one who is swollen and moisten it in nutmegs, pause between each nutmeg the amount of the finger or thumb, and anoint the patient and introduce the end of the needle into the nostril with the ray or another cause that is possible for him.
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	And after this has been done, draw the patient's smell into it until it reaches the channels of the nostrils, and it will be exuded on his forehead, for many observations resemble this action to children in schools, and it is an easy cause for those who want to do it.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	And pause the two extensions of the needle, one end that protrudes from the nose and the other that remains in the nose, and apply the serrated flesh with the needles that are in the needle, and do it until you know that the flesh is on the needles of the needle.
