Ayssi comensan las paraulas de Albucasim .	Thus, the text begins with the words of Albucasis.
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	They are made of earth or iron specifically, and their extended parts have this subtle triangular shape with the pointed end being its form.
Capitol .xxiv.	Capitolo XXIV.
De la curacio de carn nada en le nas.	On the treatment of dead flesh in the nose.
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When in the nose various dead fleshes grow, one of which is similar to a scorpion sting or polyps (small growths) on the feet; and this disease is called polyps because it resembles that foot represented.
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	And of these [growths], cancerous, crusted, black flesh; and it is not dark-colored lion flesh.
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Therefore, in the case of lion flesh that is not fraudulent or cancerous, you should treat the patient by seizing it between your hands and placing it under the sun, then cut off the nose where it grows, and pick at it with tweezers where the growths are.
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	Then extract it from the front part and make an incision in what you have grasped with a sharp pointed spatula from one parting to where you know all the flesh has been removed; if any reason remains for which abscission is possible, then you pull out what remains with one of the subtle instruments with ease until there is no more cause.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	However, if it is a boil or abscess that has come to the surface, you pause it with pus; or if it is a malignant boil, you cover it and cauterize it until it is abscised and all cavities are left open.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	Then pour vinegar or water into the nose at the incision site.
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	However, if the nose is opened and moistened with moisture to the palate, then you know it has been healed.
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	However, if the moisture does not penetrate as it should, you know that inside there is dead flesh in the pus above the nasal bones, which has not been abscised.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	Therefore, you should introduce a faithful probe with some thickness into the cavity where there is any thickening, and move it in and out, and pause between each nut to the size of a finger or a thumb, and examine the patient and introduce the end of the probe into the nose with the ray or other means possible.
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	And since you have done this, draw the odorant in towards the nasal canals until it reaches its goal, and be careful to place it on your palate because many observed actions like this make children at school laugh, and it is an easy cause for those who wish to do so.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	Then pause the two extremities of the probe, one that extends over the nose and the other that remains in the nose, and bring the instrument for cutting flesh with tweezers from the probe, and do this until you know that the flesh is with the probe's tweezers.
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	Then extract the probe and pause in the nose, near the drainage of pus, and do this for three days or more until the pus has eaten away all that remains of the fleshes.
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	And at the end of the cause, pause a lead tube in the nose for several days until it is healed.
Mays si endigeys de curacio que exsique, usa de aquela.	However, if this treatment proves unsuccessful, use another method.
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	And this is the shape of the instrument for a purge-maker who distills oils and medications in the nose:
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	Make it of silver or earth, similar to a small, open lamp, like a small pitcher, and the metal should be similar.
E si vols, fay una canula clausa ayssi cum cana, e la cancula del estrument a capipurge fazedor e sia plana, descuberta; a la qual sia manubre en lo derier de lu, am le qual tenguas aquela quan escaufas en lu oli o aquo que tu vols dels sucs e de las causas suctiblas.	And if you wish, make a closed tube like a cane, and the tip of the instrument for the purge-maker should be flat, open; to which you will hold when you pour oil or any substance or extracts that you want into it.
E aquestz capipurgi es precios: recipe de enforbi de castor, de balayra blanc, de giengiebre, e piletre de safra, de pebre lonc, de escafragia, de epetum de spic ana unc. vi cumfizeys am suc de bleda e de caul, e sian faytas pillulas, e sia destemprada una pillula am aygua tebeza, e sia gitat en las nars del malaute jasent envers.	The purges are as follows: a recipe for beaver broth, white bale, ginger, piles of saffron, long pepper, asafetida, and epithymium anacardium. Mix with juice of wheat and cabbage, and make them into pills, and dissolve one pill in warm water, and give it to the patient on their side.
Capitol .xxv.	Capitolo XXV.
De theyls natz en las extramitatz del nas.	On teeth that have grown in the external parts of the nose.
Motas veguadas es nat theyl en las extramitatz del nas, e es magnificat e omentat en alscus dias entro en que mot es leg le reguardament de lu.	Teeth that have grown in the external parts of the nose are observed and emphasized for several days until a molar is removed from its place.
E per aquo cove que tu inscidas aquel en le comensament de la apparissio de lu, e erediques tot aquel.	And since it has been determined that you should incise it at the beginning of its appearance, and cut off all of it.
E aprop pausa sobre le loc o cauteri o medicina comburent la qual estia en loc de lu.	Then pause over the site or cauterize or apply a burning medicine where it is located.
Mays si es tardada la sua inscizio entro que sia magnificat, lahoras considera si es lapificat, dur, de fusca color e de pauc sentiment, lahoras no toques aquel am ferr quar es apostema crancos; quar motas veguadas ad aquel que inscideys aquesta apostema endeve per lu granda malicia sobre aquel le qual aquel havia.	However, if its incision is delayed until it is emphasized, consider whether it is hardened, dark-colored, and has little feeling; in such a case, do not cut it with iron because it is an abscess crusted; as many observed actions like this bring great misfortune upon the one who performed them.
E si le apostema es de leon tocament e no es de fosca color, e vezes que inscizio es possibla en tot aquel, lahoras evacua le malaute e inscideys aquel senes temor, e cura le loc am aquo que exsique e costrenh entro que sia sanat.	If the abscess is lion-colored and not dark, and sometimes it can be drained completely, then drain the patient and incise it without fear, heal the area with what drains out and bind it until it heals.
Capitol .xxvi.	It appears that this text is a medical treatise and the numbers refer to chapters or sections within the treatise. So, "Capitol .xxvi." would mean Chapter 26. However, without more context about the document as a whole, it's hard to be certain.
De sutura del nas e de las labias e de la aurelha quan la continuitat es dissolvuda per plagua o per semblantz.	The stitching of the nose, lips and earlobe when continuity is dissolved by ulcers or similar conditions.
Sapias que quan accideys solucio de continuitat en una de aquestas cartillages, pauc confereys en aquela operacio sino en alcus homes.	Know that when the solution of continuity occurs in one of these cartilages, it is not advisable to perform that operation except in certain men.
Donc cove, quan endeve ad alcu alcuna causa de aquelas, que consideres si es plagua fresca am le sieu sanc, e lahoras tu ajusta las doas labias de la plagua am sutura, e aprop cura aquel entro que sia sanat.	Therefore, when you have reached the cause of that [ulcer], consider if it is a fresh ulcer with its own pus, and then you adjust the two lips of the ulcer with stitching, and place it over until it heals.
E si las labias de solucio de continuitat so ja separadas, e quascuna es fayta sana, lahoras cove que tu excorjes quascuna partida de la sua codena apparent entro que n’iesca sanc.	And if the lips of continuity solution are already separated and each is healed, you should carefully remove each part of its edge until there is no pus coming out.
E aprop ajusta las doas labias am sutura e strenh aquelas, e sobre aquelas pulveriza sanc de drago e enses trissat, e pausa sobre la polvera una pessa de emplaustra diafinicon, o de alcu autre dels emplastres consolidatius, e leyssa aquel liat per dos jorns o per tres, e aprop deslia aquel e permuta aquel emplaustre e leyssa aquel entro que·ls fiels per si sian abscinditz, e aprop cura am enguent entro que sia sanat.	Then adjust the two lips with stitching and tighten them, and on top of them sprinkle dragon's blood powder (triturated), and place a patch of diaphyton ointment or another consolidating ointment on top of the powder, let it rest for two or three days, then remove the patch and replace it with another ointment and let it rest until the pus has been absorbed by itself, and heal it with gargle until it heals.
Mays la manieyra de la sutura es que tu agregues la solucio de continuitat o am agulhas ayssi cum havem recomtat en la sutura del ventre, o agregua la solucio de continuitat am fiel ayssi cum a tu e fayt saber.	The method of stitching is that you add the solution of continuity or with needles as we have recommended in abdominal surgery, or add the solution of continuity with pus as I have told you.
Capitol .xxvii.	It appears that this text is a medical treatise and the numbers refer to chapters or sections within the treatise. So, "Capitol .xxvii." would mean Chapter 27. However, without more context about the document as a whole, it's hard to be certain.
De extraccio de aquela causas que veno en las doas labias en las partidas dedintz.	On the extraction of the causes that occur in the two lips on the inside cuts.
Motas veguadas endeve a motz homes en las partidas dedintz de las suas labias alcus apostemas durs semblantz a gras de errs, e alscunas de lors son mendres e alcunas son majors.	Often one finds hard abscesses in the inner cuts of men's lips that resemble fatty masses of pus, and some are less severe and others are more serious.
Donc cove que tu convertas las labias e fendas quascuna de aquelas duricias de tota part, e aprop la abscizio umpliscas le loc de sagi trissat entro que·l sanc sia restrengut, e aprop sia lavat am vi agre e sia curat le loc am aquo que es stipticitat, entro que sia sanat.	Therefore, you should turn the lips and cuts on all sides of those hard masses, and fill the abscess area with clean triturated wax until the pus is restricted, and it should be washed with vinegar and healed with an astringent water until it heals.
Capitol .xxviii.	It appears that this text is a medical treatise and the numbers refer to chapters or sections within the treatise. So, "Capitol .xxviii." would mean Chapter 28. However, without more context about the document as a whole, it's hard to be certain.
De inscizio de la carn ajustada en las gengivas.	On incision of the flesh adjusted in the gums.
Granre de veguadas nays sobre la gengiva carn ajustada la qual les antics apelero albulus, adonc cove que tu suspendas aquela am onci o que tenguas aquela am las forfecs e inscidas aquela deves la sua razit, e leyssas la sania correr o le sanc.	Large abscesses often form on the gum where the flesh is adjusted (which the ancients called albulus). Therefore, you should suspend it with a rope or hold it with forceps and incise it in the correct way, and let the pus flow or blood.
E aprop pausa sobre le loc sagi trissat o autra polveras stipticas o excicativas.	Then place a clean wax or other astringent powder or healing powder on the area.
E si aquela carn retorna, lahoras inscideys aquela segundariament, e cauterisa aquela, quar aprop le cauteri no retornara.	If that flesh returns, then incise it again secondarily and cauterize it, because the cautery will not return.
Capitol .xxix.	It appears that this text is a medical treatise and the numbers refer to chapters or sections within the treatise. So, "Capitol .xxix." would mean Chapter 29. However, without more context about the document as a whole, it's hard to be certain.
De razo de dentz am ferr.	On the reason for tooth loss with iron.
Quan en la superficia de las dentz de las partidas dedintz e de las de foro e entre las gingivas so ajustadas escorsas aspras, legas, e alcunas veguadas son de nigradas e son faytas citrinas o vertz entro que a la gingiva ve per aquo corrupcio e son faytas las dentz legas.	When the surface of the teeth in the inner cuts and those on top and between the gums are adjusted with sharp roughness, scratches, and sometimes they turn black and become yellowish or green before there is corruption of the gum and the teeth turn loose.
E donc cove que tu fassas sezer le malaute entre las tuas mas e pausar le cap de lu en le tieu se, e ratz las dents en las quals apareysso aquelas escorsas e causas semblantz arena entro que de lor no romangua deguna causa, e aquo fay de la negror e de la citrinitat e de las autras entro que sian mondificadas.	Therefore, you should keep the patient close to yourself and hold their head in your lap, extract the teeth where those scratches and causes appear as sand before there is any cause left, and remove the blackness and yellowish and other impurities until they are clean.
Donc si es ostat aquo que es en aquelas del comensament de la razio, bo es; e sino, lahoras tu itera la razio sobre aquelas al autra dia e al segon e al tertz entro que vengua al derier stament en aquo que tu vols.	If that impurity is present at the beginning of the reason, it's good; but if not, you should repeat the reason on those same days until it reaches the final statement in what you want.
E sapias que las dentz han necessitat de motz rezoris de diversas formas e de motas figuras segon que es preparat a la tua operacio.	Know that teeth have many requirements of various shapes and forms depending on how your operation is prepared.
E per so quar le razori am le qual la dent es raza de la partida dedintz es autre del razori am le qual es ras entre las dentz segon autras formas, e aquestas formas de razoris sian deves tu preparadas las quals veyras tantost:	Therefore, because the razor for removing the tooth from the inner cut is different than the rasp for smoothing between the teeth according to other forms, these forms of razors should be prepared as you will see soon.
Capitol .xxx.	It appears that this text is a medical treatise and the numbers refer to chapters or sections within the treatise. So, "Capitol .xxx." would mean Chapter 30. However, without more context about the document as a whole, it's hard to be certain.
D’eradicacio de dentz.	On tooth extraction.
Cove que tu cures la dent de la sua dolor am tot engen e tardes en tota eradicacio de lu, quar no es denguna causa que suplisqua la veguada de lu quan es eradicada, quar es sustancia sublima entro que es excusacio en la eradicacio de lu.	You should take care to cure the tooth of its pain with all diligence and delay in the entire extraction of it because it is not a good reason for the swelling of it when it is extracted, because there is sublime substance before it is excused in the extraction of it.
Mays cove quan le malaute es forsat aquela dent eradicar, que fermament deves tu sia certificat quala es la dent dolent, quar motas veguadas la dolor descep le malaute e cuga que sia en dent sana, e tu eradicas aquela e aprop la dolor no cessa entro que la dent malauta e dolent sia eradicada, quar nos ja havem vist aquo per operacio dels barbies.	However, when the patient is satisfied to extract that tooth, you should be absolutely certain which tooth is causing the pain because swelling often deceives the patient and makes them think it is in a healthy tooth, and you extract that one, and the pain does not stop until the sick and painful tooth has been extracted, as we have already seen in the barber's operations.
Donc cum deves tu es sertificat qual es la dent dolent, e que o sabes be, lahoras cove que tu scarifiques en le circuit de la dent am spatum en le qual sia alcuna vertut, entro que sia dissolvut de la dent de la gingiva de tota partida, e aprop mau aquel am les tieus ditz, o am forfexs subtils al comensament petit a petit entro que aquela concucesquas.	Therefore, in order to identify the painful tooth and what you know about it, you must make an incision around the tooth where there is some virtue, until it is dissolved from the tooth and gum on all sides, and then apply heat using tweezers or fine forceps, starting small, gradually increasing until you achieve this.
E aprop alogua en lu fortz tenalhas grans per bona loquacio o estuptura fort, e pausa le cap del malaute entre les tieus denolhs que be le tengues que no·s maugua, e aprop tratz la dent segon rectitut en manieyra que no trenques aquela, ni al malaute major dolor no dones.	Then apply strong, large tongs for good heat or structure, hold the patient's head between your hands so that he does not move, and carefully extract the tooth in a straight manner without breaking it and causing him additional pain.
E donc si no es foro-getat, lahoras pren un de aquels instrumentz, e met aquel dejos lu de tota part am facilitat e esforsa la remocio de lu ayssi que es feyt al comensament.	If you haven't forgotten, take one of those instruments and place it under the tooth with ease and force the removal in such a way as was done at first.
Mays si la dent es trauquada o corrosa, lahoras cove que tu comples de drap aquel trauc e estrenguas aquel am la extremitat de ray subtil per so que no sia trinquada en la hora de la tua constriccio sobre aquela am tenalas.	But if the tooth is broken or corroded, you must wrap it in cloth and tighten it at the root with a thin wire to prevent it from being crushed during your compression with tongs.
E cove que tu obres exquesitament am scarificacio en le circuit de tota part de la gingiva e guarda mot la tua fortaleza que no trenques aquela e romangua partida de lu, e retorne sobre le malaute per la malicia que sia majo que la primieyra dolor de lu.	It is necessary to be careful with incisions around the entire gum and preserve your strength so as not to break it further and leave it in pieces, and return to the patient for the greater evil that may be worse than the initial pain.
E guarda te que no fassas aquo que fan alscus ignorantz barbiers en lor fistinacio e audacia sobre la eradicacio de lor, ses que no aministran aquo que nos havem recomtat; quar motas veguadas fan venir sobre les homes malautias grans las quals son pus dificils que sian trinquadas, e las razitz de lor remaugudas totas, o alcunas de aquelas, o que extrayguas aquela am alcus osses de la mandigula ayssi cum motas veguadas havem testificat.	Be careful not to do what some ignorant barbers do in their surgery and rashness during the extraction of teeth, as they do not administer what we have recommended; for many times they bring great evil upon sick people, which are difficult to crush, and all or some of its roots remain, or you extract it with bones from the mandible in such a way as many times has been witnessed.
E aprop la eradicacio de lu sia lavada la boca am vi caut o vi agre am sal.	Then clean the mouth with salt water before and after the extraction of the tooth.
E si endeve fluxs de sanc per aysso, ayssi cum motas veguadas endeve, lahoras trissa alcuna quantitat de zegi e aspergeys sobre la plagua, e si no confereys aquel zegi, cauteriza.	If bleeding occurs due to this, such as in many cases, take some sage and sprinkle it on the wound, and if that does not stop the bleeding, cauterize it.
La forma de las forceps e tenalas subtils am las quals es mauguda la dent al comensament sia de longua extramitat, de breu manubre e gros, per so que no sian doblatz quan am aquels deves obrar.	The shape of the fine forceps and tongs used to extract the tooth at first should be long in length, short in handle, and thick, so that they are not bent when using them.
E sian ayssi cum vezes de gros manubre entro que quan estrenhas am aquelas no sian dobladas, sian breus extramitatz.	And they should be of such a length that when you grasp them with narrow handles, they are not bent, but short in length.
E sian faytas de ferr de India descentment faytas de dreytas extramitatz, e en las extramitatz de aquelas sian dentz de las quals las unas intron en las autras e estrenhan per constriccio descent fort, e alscunas veguadas las extramitatz de aquelas sian la forma del bec d’un auzel le qual ha nom ciconia, so es guanta, e son de fort constriccio.	And they should be made of Indian iron and correctly shaped with straight lengths, and on the ends of those, teeth should interlock and tighten by strong constraint, and in some cases the lengths of those should have a form like the beak of a bird called ciconia, which is called a hook, and are very strong.
Capitol .xxxi.	Chapter XXXI.
De erradicacio de dentz e d‘estraccio dels osses de las mandibulas trincadas.	On the extraction of teeth and the removal of broken bones from the jaws.
Quan deves la eradicacio de dent le qual es trinquat roman alcuna causa, lahoras cove que tu pauses sobre le loc coto am boder per un jorn o per dos entro que·l loc sia mollificat; e aprop entromet algesti o tenalhas las extramitatz de las quals so asembladas al bec de un auzel apelat ciconia o guanta, la forma de las forceps:	When you have to extract a tooth that is broken, you must wait at the site until it softens for one or two days; and then insert the ends of pliers or tongs shaped like the beak of a bird called ciconia or hook, the shape of the forceps:
Las extramitatz de lor sian faytas dedintz ayssi cum lima o alfagi.	The external parts of them are made thin like a blade or an onion.
E si no obediys a tu a eyssiment am aquestas forceps o tenalas, lahoras cove que tu caves sobre la razit e descrobas tota la carn e entrometas le instrument le qual ha nom atali, so es palanca petita del qual la forma es aquesta:	If you do not obey this forceps or tongs, then you must be careful about the reason and cut through all the flesh and insert the tool called an osteotome (which is a small lever with the following shape):
E sia de breu extremitat grossa un petit, e no sia enbegut per so que no sia trinquat.	It should have a short, thick handle that is not sharp to avoid being broken.
Donc si per aquo la razit es foro-getada, bo es; e sino, ajuda te am aquestz autres instrument dels quals aquestas son las formas: la forma del primier instrument es de triangulada extramitat en la qual sia alcuna grossesa:	So if the incision is forgotten, that's fine; but if not, help yourself with these other tools whose shapes are as follows: The first tool has a triangular blade with some thickness.
La forma del segon instrument es que sia de triangulada e de pus subtil extremitat.	The second tool has a triangular shape with a thin tip.
E ja so ajudatz am aquest instrument havent dos ramps del qual aquesta es la forma aprop la seguent:	And now you have helped yourself with this tool that has two slopes with the following shape:
e am autres instrumentz les quals precidero en rasura de dentz; quar juvament es fayt am aquest instrument le qual es asemblat a onci gran, e aquesta es la forma:	And other tools that I will mention for dental procedures; because this tool that resembles a large claw is also used, and its shape is as follows:
de la triangulada extremitat torta o curta, la qual sia alcuna grossesa, e no sia enbegut per so que no sia trinquat.	with a curved or short triangular tip that has some thickness and is not sharp to avoid being broken.
E otra sapias que·ls instrumentz de las dentz motz so e semblantment les autres instruments.	And you should know that tools for teeth movement are similar to other instruments.
Mays le artifexs savi e subtil en l’art, atroba per si mateys segon aquo que a lu significa la operacio e las malautias diversas; quar son de las malautias a las quals les antics no diysero ni pausero propri instrument, per las formas de diversas specias.	Wise and skillful artisans, however, find by themselves according to what this operation signifies and the various diseases; for there are diseases about which ancient practitioners did not say or pause over their own instruments, due to the forms of diverse species.
Mays si es trinquat l’os de la mandibula o dels autres osses de la boca, o si poyreys, lahoras sia pes curat sobre aquel en son loc am aquo que es a lu convenient dels instrumentz e de las forceps las quals havem dit en la extraccio de las razitz de las dentz, e ajuda te am gesti del qual aquesta es la forma:	But if the bone of the jaw or other bones in the mouth is broken, or if there are fractures, then weigh a cure over it in its place with what is appropriate for this purpose using instruments and forceps that we have mentioned earlier in the extraction of incisions from teeth, and help yourself with the following procedure:
E sia en lu alcuna grosseza petit a petit, e sia instringida o tenguda am la boca per que no evasesca o fuga entro que l’os de tot sia foro-getat; e aprop restaura le loc am medicinas convenientz ad aquo.	It should be done gradually, with some thickness, and held in the mouth to prevent it from escaping or going deeper until the bone is completely forgotten; then restore the area with appropriate medicines.
Mays si en l’os es petita poyredura, lahoras ratz aquel de aquela poyredura e de la sua negror, e cura aquel entro que sia sanat.	But if there is a small fracture in the bone, then cut that fracture and its blackness, and cure it until it heals.
Capitol .xxxii.	Chapter 32.
De la cura de las dentz eminentz sobre las autras.	On the care of teeth prominences over others.
Quan las dentz so eminentz no segon lor cors natural per aquelas la forma es laga, e majorment quan endeve a las femnas, e majorment a las piuselas venerablas; donc cove que tu consideras: si dent es nada aprop autra dent, e no es possibla sarradura ni linament de lu, lahoras radica aquela; mays que no sia annexa am autra dent, lahoras tu inscideys aquela am aquest instrument del qual aquesta es la forma; e es semblant a morr de porc, e sia feyt de ferr de India de extramitat mot aguda.	When teeth are prominent and do not follow their natural shape, it is a problem, especially in women and the most venerable ones; therefore, you must consider: if a tooth is too close to another tooth, and it cannot be sutured or treated with liniment, then you should root that tooth; but if it is not attached to another tooth, then you should incise it with this instrument whose shape is as follows: like the snout of a pig, made from Indian iron with a sharp edge.
E sia la tua inscizio am la qual inscideyses aquela en trops dias per la duricia de la dent, e que no sia comauguda autra de las dentz.	Your incision should be made in several days according to the hardness of the tooth, and it should not affect other teeth.
E si es dent eminent expausat a limadura, lahoras lima aquel am lima de ferr de India del qual aquesta es la forma:	And if the prominent tooth requires grinding, then grind it with an Indian iron file whose shape is as follows:
E sia tot de ferr de India e·l margua eysament; e sia de motz menutz puntz ayssi cum lima am la qual son faytas agulhas, am la qual la dent sia limada pauc a pauc en motz dias am fecilitat, per so que no sia autra dent comauguda e caga.	It should be entirely made of Indian iron and the margin should be smooth; and it should have many small points like a file with which needles are made, with which the tooth should be ground down gradually in several days with ease, so that no other tooth is affected and damaged.
E aprop lineys aquela en la fi, e ratz aquela am alscus razoris.	Approximate that line there at the end, and cut it with another razor.
E si es dent del qual una partida es trinquada e lideys la lengua, lahoras cove que tu limescas aquel entro que l’aspretat de aquela fraccio sia ostada e engualhada, e sia aplenada per so que la lengua no ledesca ni la paraula no corrumpa.	If part of the tongue is cut off and the edges are rounded, then you must smooth the wound where the sharpness of that piece remains and fill it to prevent the tongue from splitting or the word from being distorted.
Capitol .xxxiii.	Capital. XXXIII.
De restauracio de dentz maugudas am fiel de aur o de argent.	On the restoration of decayed teeth with gold or silver fillings.
Quan accideys a las dentz devant concussio e remossio per percussio o per cazament, e le malaute no pot strenher sobre aquo que manga, e tu has curat aquel am medicinas stipticas, e no ha valgut la tua curacio, lahoras per so que no cagan es engen en aquelas que sian strengudas am fiel de aur e no de argent, quar argent se fa vert e aprop se poyreys aprop alscus dias, mays aur nul temps no es mudat.	If the teeth are broken and removed by impact or extraction, and the patient cannot chew food, and you have treated them with styptic medicines, but your treatment has not worked, then for those that are firmly fixed with gold and not silver, because silver turns green and deteriorates after a few days, while gold does not change over time.
E sia le fiel en tal subtilitat e grocesa segon la quantitat que puesca entrar entre las dentz; e la forma de la reccio es que prenguas le fiel e pren lo doble de lu entre doas dentz sanas, e aprop que cresques am doas tortuositatz del fiel entre doas maugudas, o si’ una o motas, entro que pervengua la tela a la dent sana del autra partida.	And the fillings should be made in such subtlety and thickness according to the amount that can fit between the teeth; the shape of the filling is that you take the filling and place double of it between two healthy teeth, and allow it to grow with two twists (or more) between two damaged teeth, or if there is one or more, until it reaches the healthy tooth on the other side.
E aprop itera le teyssiment entro a la partida de la qual comenciest, e strenh la tua ma am facilitat e savieza entro que no sia mauguda.	Then place the tissue in the divided section where you began, and press gently with your hand until it is not damaged.
E sia la tua striccio am la qual strenhas le fiel deves las razitz de las dentz que no evasesca.	And your thread, with which you press the fillings, should have the sharpness of the teeth so that it does not come out.
E aprop inscindeys las extramitatz del fiel superfluens am las forceps o tosoyras, e agregua aquelas en quascun loc am gesti, e converteys aquelas e las occulta entre la dent sana e la dent mauguda, per so que no fassa lesio a la lengua.	Then cut off the excess filling with forceps or scissors and add it to each area with gestures, and bend them and hide them between the healthy tooth and the damaged tooth, so that they do not harm the tongue.
E aprop leyssa aquela ayssi streyta cum roman.	And sew that area tightly like a Roman.
Mays si es desliada o rumpuda, strenh aquela o aquelas am autra fiel en tal manieyra en tot son temps.	But if it is loosened or broken, press it with another filling at all times.
E aquesta es la forma de las dentz e la figura de la rectacio de doas dentz sanas e de doas maugudas, ayssi cum vezes aquestas liadas:	This is the shape of the teeth and the configuration of two healthy teeth and two damaged teeth, as sometimes they are linked:
E quan se fa que retorno una dent o doas aprop le cazement de quascuna en lors locs, e sian recrescutz ayssi cum havem recomtat, e que remauguan.	And when a tooth or teeth are removed and returned to their original position in their locations, and they grow again as we have recommended, and become strong.
E no fa aquo sino bo artifexs e savi.	And only those who are skilled and wise should do this.
E alcunas veguadas es aptat alcuna causa dels osses de vaca, e es fayt de lor ayssi cum forma de dent, e es pausada en loc en le qual defayl la dent, e es strengit ayssi cum havem dit, e reman e serveys am aquel per lonc temps.	And in some cases, cattle bone is suitable as a cause for teeth, and it is made into the shape of a tooth, and placed in the location where the tooth is missing, and strengthened as we have said, and remains and serves for a long time.
Capitol .xxxiv.	Capital. XXXIV.
De inscizio del liament le qual ve en la lengua e prohibeys loquela.	On the incision of the ligament that is found in the tongue and prevents speech.
Aquest liguament le qual ve dejos la lengua alcunas veguadas o es natural am le qual hom nays, o accidental e accideys per plagua la qual ja es consolidada.	This ligament that is found at the base of the tongue sometimes or naturally occurs in some people, or it may be an accident caused by injury that has already healed.
E la operacio en lu es que huobres la boca del malaute, le sieu cap existent en le tieu se; e eleva la sieua lengua, e aprop inscideys aquel liament nervos segon la latitut entro que sia solvuda la lengua de la sua recencio.	The procedure is to open the mouth of the patient, their head resting on yours; lift their tongue and incise the ligament nerve according to the width to the extent that the tongue is freed from its root.
Mays si en aquela es alcuna duricia o denodacio, e aquo es stat per consolidacio de plagua, lahoras tu gieta unci e scindeys aquel per la latitut entro que aias inscindit le liament e sia dissolvuda la nodacio.	But if there is hardness or callousness, and it is a result of an injury that has healed, then you throw vinegar and cut through it according to the width, until you have incised the ligament and removed the callous tissue.
E guarda te que no sia fayta fissura en le preon de la carn e que scindas aqui arceria e vengua flux de sanc.	And ensure that no gaping fissure is made in the skin and that you cut through the arch and allow blood flow to emerge.
E aprop sia lavat le vestigi de la inscisio am ayguaros o am vi agre o am aygua frega; e aprop pausa dejos la lengua licini; so es meca la qual tengua le malaute dejos la lengua en quascuna nuoyt per so que no sia consolidat autra veguada.	Then wash the traces of incision with vinegar or with warm water, and then hold the tongue clean; this is necessary for the patient to keep his tongue clean every night to prevent it from sticking together again.
Mays si accideys flux de sanc, pausa sobre le loc vetriol trissat; mays si le sanc ventz, lahoras cauteriza le loc am cauteri lantiginos le qual conveneys ad aquo.	If there is blood flow, place a vinegar-soaked cloth over the area; if it continues to bleed, then cauterize the area with a light cautery, which is suitable for this purpose.
E aprop aquel cura am las autras causas entro que sia sanat.	And apply other remedies for the other causes until it heals.
Capitol .xxxv.	Chapter XXXV.
De extraccio de ranula dejos la lengua.	On the extraction of a ranula from the tongue.
Alcunas veguadas accideys dejos la lengua apostema asemblant a nomla petita prohibent la lengua de la sua operacio natural; e fort leu es magnificada entro que huempla la boca.	Sometimes a small boil occurs on the tongue similar to a small blister that prevents the tongue from performing its natural function, and it is usually swollen within the mouth.
E la operacio en lu es que huebras la boca del malaute sesent devant le solel e considera le apostema.	The procedure for this case is to open the patient's mouth in front of the sun and examine the boil.
E si tu le vezes de fusca color o de negra, dur, al qual le malaute no atroba sentiment, lahoras no toques aquel quar es cranc.	And if you see that it is dark or black in color, hard, and the patient does not feel anything about it, do not touch what appears to be a cancer.
