Ayssi comensan las paraulas de Albucasim .	Thus, the sentence begins with the words of Albucasis.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	And place some pieces of cloth or wool around the ear, and stretch the ear open at the top, as many observed cases are forgotten with these causes.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	And if it is not forgotten, administer the extract using the instrument called epicyclic forceps, whose form is as follows:
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	If the procedure is forgotten, that's good; otherwise, administer the extraction of it by using a subtle amount of double pressure.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	Therefore, if the procedure is not forgotten, insert a cannula made of metal and place the tip of the cannula into the ear canal and close the environment around the cannula with wax and softened oil to prevent it from being open except for the cannula.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	Then extract the pus with strong traction, as it is observed that this often relieves it.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	If this method is not forgotten, then take alum or vinegar prepared with which the birds are given a small quantity, and place it on the affected area and wrap it around the area properly placed.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	Then insert it into the ear canal with ease, and remove the wax from the moisture.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	Therefore, if this method is not forgotten regarding all the causes that were mentioned earlier, then you should seek to cut off the part that becomes an abscess or spasm.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	The method of cutting that area is to first bleed the patient from the saphenous vein and extract the blood according to its properties, and then place a cushion between your hands and turn the ear upwards, and make a small incision in the edge of the ear and drain the pus from it in the most pressured location.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	The incision should be in the shape of the moon and reach the bone, and if the bone is swollen, remove it with appropriate instruments if possible; and sew up the incision at that time with speed, and cure it until it heals.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	If the cause in the ear is one of the fats that has grown and become inflamed, administer its cure and extraction; but if you do not immediately take care of it, then you should take sugar candy (or something similar) in this manner:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	and administer the abscess removal of that fat which is located in the ear.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	Do not perform this procedure when you believe that it has already been moistened by the vapor of the ear, and place it on a cushion or some other soft surface, and carefully extract it from there with scissors or by using the method described earlier (abscess removal), as the extraction of it is relieved.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	But in the water that enters the ear, it is necessary for the patient to use sneezing at the beginning and fill their ear with something old, and rub over the affected ear where the water is present, and if this is forgotten, it's fine; otherwise, take many small pebbles or stones according to the length of the finger, heat them in the fire for a little while, and make the patient insert one of those into their ear canal and jump on one foot from that side and strike another stone against the stone that is inside the ear.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	Therefore, do not stop until all the water has been drained out.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc .i., e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	Then take paper or cotton. And place one end of it in the fire-tongue (bellows) and stretch out the other end into the fire until it burns completely.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And repeat the process until all the water is drained out, and then straighten it with a cannula as described in the previous section regarding the trocar.
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	However, during the extraction of an animal, if it is a small object, proceed with caution and be careful, treat it as described in the previous section; but if it is a large object that protrudes from the abdomen, immediately perform an extraction using tweezers and remove it without delay. The reason for this is that it is easier to deal with than all the other causes that may occur in the bellows.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	But when extracting worms generated in the bellows and you follow the procedure and distillation treatment as described in the previous section and do not find relief, then you must observe the bellows at sunset.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And if any cause of worms appears here, extract it with tweezers or thin forceps, but if no cause is apparent, take a cannula that is narrow at the bottom and wide at the top in shape.
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	Insert the narrow end of the cannula into the bellows as much as the patient's condition allows; then suck it out with force, and repeat this process until all the worms are expelled.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	But if the patient's condition worsens, you should plug and seal the end of the cannula with wax as described; then administer distillation treatments that have been proven effective in treating worms, and observe the outcome in the treatment of distillations.
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And your infusion with which you pour medicinal oils into the bellows using this instrument, whose shape is as follows:
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	Make it of silver or brass, narrow at the bottom, with a small hole in it, and flat on top.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And so make it in such a way that it fits into the concavity of the continuous cannula where it is needed.
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	And if you wish, take the reed and wrap it around the appropriate part of it carefully, then pour oil or juice from a herb, or any medicine of your choice into the concavity of the cannula (which is in the bellows), and place your hand around the wrapped reed and apply pressure on it with a moderate compression until the oil is expelled into the concavity of the cannula and the patient feels the oil inside.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And whatever substance is to be infused in the bellows should be heated slightly with fire.
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	And be careful that the cause you are distilling in the bellows is not too hot, because the bellows cannot tolerate such heat.
Capitol .vii.	Chapter VII.
De curacio de opilacio de aurelhas.	On the treatment of obstruction of the bellows.
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Sometimes children suffer from obstructions in their mothers' bellows that have not been perforated, and this also occurs in some men, obstruction in the meat of the bellows due to a wound or rotten flesh in that area; and sometimes this obstruction is made at the junction of the bellows opening that cannot pass gas, and sometimes it is in parts outside.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	The obstruction at the junction of the bellows opening that cannot pass gas is the most difficult to cure.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	When you achieve a gas passage in the bellows, it is necessary to place the patient's bellows at sunset and observe it.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And if you see an obstruction, open it with a thin spatula whose shape is as follows:
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the obstruction is at the narrow part of the bellows where one side is pointed and the other is not, the spatula should be double-edged to avoid damaging the bellows.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	If the obstruction is due to rotten flesh in the bellows or its surrounding meat, immediately use thin forceps and remove all the rotten tissue as quickly as possible.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	If the obstruction is at the junction of the bellows opening, take a thin reed, heat it slightly with fire, and then insert it into the meat of the bellows.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	And if you sense obstruction with what the patient complains about due to difficulty breathing, relieve the compression as quickly as possible; and be careful not to damage the nerves of the bellows.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	Then pause in the bellows with linen cloth according to the size of the hole you wrapped in the Egyptian ointment; and do this for several days until you are certain of the consolidation of the wound; or take any other suitable material and soak it in water and pulverize it, then use it according to the instructions given; and if you see that the bellows has already been sutured, you must carefully remove the old suture and replace it with a new one wrapped in a wax coating that has been made with olive oil, until the abscess is cauterized. Then treat it until it is healed.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	If blood flow occurs, immerse sponge or cloth in warm water and place it on the artery, then use another treatment to stop the blood flow, which is called distillation in the treatise of distillation.
Capitol .viii.	Here comes the next sentence:
De cura de athezil le qual endeveno a las palpebras.	Of the treatment of athlete's foot that affects the eyelids.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	Athlete's foot that affects the eyelids of some people is sometimes moist, while it is dry for others.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	Therefore you must have those with hairs or without hairs, and cut the affected area with a scalpel, then place it on a dry, clean cloth.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	But if pain with blood flow occurs, cauterize the affected area with a thin cautery (cauteril).
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	And the best cauterization is to make incisions and burn any remaining cause of the inflammation with fire; once they are cauterized with fire, the inflammation does not return.
Capitol .ix.	Here comes the next sentence:
Cura de grandeyssa que veno a las palpebras dels huels.	Treatment of swelling that affects the eyelids of some people.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	Sometimes swelling that affects the eyelids of some people is accompanied by a cause similar in strength and durability to true swelling, and for this reason it is called "swelling."
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	And it is an accumulation of thick moisture on the upper and lower eyelids.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	Therefore, the operation is to examine whether the swelling is coming from something that appears on the eyelid and is present everywhere; if this is the case, the cause is likely light.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	Therefore make an incision along the width of it, then remove it from all sides with ease until it drains, and suspend it with a string and cut off the affected area.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	But if you are unable to make the incision, do not force it to enter the eyelid with repeated incisions, as this may cause blindness in some cases.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	And if the swelling is large, adjust it using stitches; care for it until it heals.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	And if it is small, you will not suffer any harm from it, as the heat of the affected area restores and nourishes it.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	If the swelling is gradually decreasing towards the inner parts of the eyelid, you should trim the affected area inside the eyelid, remove the swelling with a string, perform an incision if necessary, and press all around it; but if the eyelid is elongated due to repeated incisions, do not force it in any case.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	After the incision, wash the wound with salt water; care for the affected area with something that nourishes it until it heals.
Capitol .x.	Here comes the next sentence:
De la cura axcirnah en la palpebra desus del huel.	Of the treatment applied to the upper eyelid of the eye.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	Blinking is the action that is generated in the upper eyelid, especially among children, and worsens their eyesight and causes them to develop cataracts more; they cannot tolerate bright light due to tears forming at the eyes.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	Therefore you often find them with tears constantly on their faces, even when they sleep; and the underside of their eyelids is moist, which is covered by inflammation, and the imminence of conjunctivitis is apparent in the eye; and whenever you press on the affected area with your fingers, you feel a swelling inside.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	One method of operation is to have the patient hold their head between your knees, place a cloth and warm water on them, make a circle with it according to the size that contains arteries from all sides, and place it over the affected area and press around it so that swelling is created in the middle of the circle; then make an incision in the middle of the moisture along the width, but the incision should not be larger than the incision made during lithotomy.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	But in the case of severe conjunctivitis, it is necessary that you cut the cordon completely through to the artery, as in more severe cases, conjunctivitis is treated by incision according to the shape of white pus.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	Therefore you extract it with cloths that you have wrapped around your fingers at the front and sides, then turn it between your left and right hands until it is completely removed.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	Keep watch that you do not press in the opening to prevent sputum from reaching the wound and causing contamination there.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	If you do not enter the opening at first, but press into the opening to make a small space for sputum before processing it; and then extract that easily as we have said; submerge cloths in warm water and vinegar, place them on it and apply strong pressure with powders.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	And mix salt and let it rest there in the depression of the incision to remove any remaining moisture.
E aprop cura aquel entro que sia sanat.	Then care for that to ensure it heals.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	If there is an abscess in the cauterized area, then care for it with caustic plasters until it heals.
Capitol .xi.	Chapter 11.
De manieyras de tactimi del huel.	On methods of examining the throat.
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	When the tonsils are formed by pressing of natural hair and become hardened, they are referred to as throat examination, and various methods for diseases such as persistent tearing and softening of the eyelids and swelling inside the mouth until it causes destruction of the throat, which is called "throat touch", and treatment may be in four ways: or by cauterization with fire; or with sharp medicine as mentioned in the Cauterization chapter; or through touch and suturing; or by cannulas as I will say.
E donc cove que tu pauses le cap del malaute en le tieu se; aprop converteys la palpebra del uelh am la tua ma sinistra, e si es convertida, bo es; e sino, entromet agulha en aquela en la qual sia fiel de la partida pus dejos de la palpebra, e fay penetrar la agulha am fiel desus, e aquo sia — prop del marge de la palpebra en le qual naysso les pels — prop dels pels, e tira le fiel a las partidas desus am la palpebra, e converteys aquela am le ray.	Therefore, you must hold the patient's head with one hand; turn the eyelid of the eye towards your left hand, if it is turned, it is good; and if not, insert a needle into that which is swollen beyond the eyelid, and make the needle penetrate through it, and this should be - just below the edge of the eyelid where the hair growth starts - beneath the hairs, and pull the needle thread above the eyelid with your palm, and turn it towards the ray.
E aprop fen en la partida dedintz de la palpebra dejos les pels ajustatz am spatum inscidentz del lacrimal major entro al lacrimal mendre; e aprop extratz le fiel e pausa dejos la palpebra polvilhs petitz de coto o de drap, e aprop senha sobre la palpebra am tenta, e sia ayssi cum figura de fuelha de mirt.	And make an incision in the corner of the eyelid below the hair growth towards the lacrimal duct into the smaller lacrimal sac; and extract the needle thread and place it beneath the eyelid with fine powder or cloth, and then apply pressure on the eyelid as if it were a fig leaf of myrtle.
Mays empero cove que sia la figura segon la quantitat de helevacio de la palpebra, quar aquo ja es diversificat en les homes, quar de aquels es le quals indigeys que sia inscidit de la palpebra gran quantitat segon la quantitat per la qual la palpebra es mollificada.	But it is important to note that the shape should be according to the degree of swelling of the eyelid, because this varies among men, as some require a large incision in the eyelid according to the degree of swelling, depending on how much the eyelid is softened.
E aprop fen am le spatum sobre las doas linhas las quals has senhadas, e comensa del lacrimal major entro al lacrimal menor.	And make an incision with the scalpel along both lines that you have marked, starting from the larger lacrimal sac towards the smaller one.
E si’ la tua fissura prop dels pels naturals ayssi cum es la grossetut del rey.	And if your incision is near natural hairs such as the king's thicket.
E aprop met le onci en un dels dos angles de la codena, e aprop excoria aquela tota, e aprop ajusta am la scitura las doas labias am gula o fiel de lana subtil, e abstergeys le sanc, e fay adherir aquo que superflueys dels fiels sobre dos sobrecils am alcunas causas enviscans, si voles far aquo, e sino, non cures.	And place the hook on one of the angles of the incision, and excise that entire area, and adjust both lips with surgical thread or fine wool yarn and absorb the blood, and make any superfluous hairs adhere to two eyebrows with some sticking agents if you wish to do so, but if not, do not care for it.
E aprop leyssa la sutura dels fiels entro a tres dias o quatre, e aprop cura aquo.	And remove the stitches of the hairs within three or four days and take care of it.
E si vols, layssa la plagua ses sutura, e cura aquela am aquo que exsicca e constrenh, quar la palpebra es alevada deves la sigillacio de la plagua e la agreguacio de lu; mays sutura es milor E donc aysso diysso les antics de taxanir.	If you wish, leave the wound unsutured and care for it with what dries and constricts, as the eyelid is raised due to the sealing of the wound and the addition of it; but suturing is better, and therefore the ancients recommend this method.
Mays empero en lu sia sollicitut sobre le malaute, e es de bona operacio, e no es en lu temor.	But in any case, consult the patient, and it is good practice, and there is no reason for concern.
E es autra manieyra en taxmir, e es que senhes sobre la palpebra figura ayssi cum fuelha de mirt, e aprop eleva la palpebra am tres uncis segreguatz e congreguatz segon aquesta forma:	Another method in examination is to mark the eyelid like a myrtle leaf, and lift the eyelid with three separate and gathered incisions according to this form:
Mays si no es possible aquo, tener les uncis, e aquo no es engualhat, lahoras pren una agula en la qual haia fil e met aquela en le mieg de la figura, e entromet le autre fiel prop le lacrimal major, e·l fiel segon prop le lacrimal mendre, e ajusta entre les tieus ditz les fiels am equalitat, e aprop am aquels eleva la tua ma am elevacio engual, eleva tota la codena sobre la qual es senhat ayssi cum havem recomtat.	If it is not possible to do that, take incisions, and if they are not straight, then take a needle with thread and place it in the middle of the figure, and insert another needle near the larger lacrimal sac, and insert the third needle near the smaller lacrimal sac, and adjust the needles evenly between your fingers, and then lift your hand with the elevation of the thumb, lift the entire eyelid over which the mark is made as we have recommended.
E aprop ajusta las doas labias de la plagua am sutura, e cura aquel entro que sia sanat.	And adjust the two lips of the wound with stitches and care for it until it heals.
Mays si accideys apostema deves la tua inscizio o la tua fissura, seda aquel apostema am cerot e a lu semblantz, e am enguentz.	If an abscess occurs in your incision or wound, it must be drained with a lancet and similar instruments, and with mouthwash.
E alcunas veguadas endeve a la palpebra que·ls sieus pels sian convertitz, adonc cove que tu uses en aquela de aquo que havem dit de inscizio; mays sutura en quascus es mays artificial.	And sometimes it happens that the eyelid converts its hairs into itself, then you should use on it what I said about incision; but stitching in some cases is more artificial.
Ataxinir am cannas es segon aquesta forma:	Bandaging with reeds is done like this:
e es que tu convertas la palpebra e scindas la figura qu’es dedintz segon que he recontat; e aprop per art fay doas cannas o doas astelas subtils de las quals longitut sia segon la longitut de la palpebra e la latitut de lor sia mendra de la latitut del spatum.	And if the eyelid is turned inward and its shape is folded as I have described, then place two thin reeds or two small sticks under it, the length of which should be the same as the length of the eyelid, and their width slightly less than the width of the eyelid opening.
E tu ja has inscidit en las extremitatz de quascunas partidas, la on tenes les fils.	And you have made incisions at each end of each divided part, where you have the threads.
Aprop agregua quascuna am subtilitat subre aquo que superflueys de la palpebra del huel, e constres las cannas de quascunas partidas am fort strictura, e layssa aquela per alcus jorns, quar la codena per la strictura morira e sira denegada e se poyrira entro que per si meteyssa cayra.	Then moisten each one with a gentle solution under the eyelid that is swollen, and tie the reeds of each divided part tightly, and leave it like this for several days, because the swelling will die from the tightening and be rejected, and it will fall off on its own without the need to remove it manually.
Mays si es tardat, lahoras trenca la am las toroyras, e aprop cura la plagua entro que sia sanat.	But if it takes too long, then break the thread and treat the wound until it heals.
Donc cum es solidada, la palpebra es elevada e les pels no pungo.	When the eyelid is swollen, the eyelid is raised and the hairs do not stick out.
E aquesta es la forma de doas cannas las quals faras segon aquesta forma:	And this is the way to make two sticks in this manner:
e haia la quantitat de la longitut e de la latitut ni mays ni mens.	The quantity of length and width should neither exceed nor be less. (In this context, "la" refers to "the," "quantitat" means "quantity," "longitud" means "length," "latitud" means "width.")
Capitol .xii.	This looks like the Roman numeral for XII (twelve), possibly referring to a specific section or chapter of the text. Without more context, it's difficult to determine its exact meaning in this passage.
De elevacio de pels pungentz en le huel am agula quan le pel es dur.	For puncturing thick skins with a needle when the skin is hard. (In this context, "de" means "of," "elevacio" refers to "raising," "pels" means "skins," "pungentz" means "punctured," "huel" means "the," "am" is used as a conjunction here, "agula" means "needle," and "quan" means "when.")
Quan son pels no-naturals, durs e aspres e pungentz les huels, lahoras la operacio en lu es que tu prenguas agula subtil e pauses en aquela fiel de ceda subtil e leon, e aprop que tu ajustes las extremitatz de lu e nozes quascu en manieyra mot subtil.	When the skins are unnatural, hard, rough and prick the heel with a sharp needle, then perform the operation on it by taking a fine needle and inserting it into that tender spot of soft leather, and make sure you adjust the extremities carefully without causing any unnecessary movement. (Here, "Quan" means "when," "son" is the third person plural verb form for "to be," "pels" means "skins," "nonaturals" means "unnatural," "durs e aspres" means "hard and rough," "pungentz les huels" means "prick the heels," "lahoras" is the third person plural verb form for "you perform," "agula subtil" means "fine needle," "aquisitats de lu" means "adjust the extremities," "nozes quascu en manieyra mot subtil" means "make sure you do not cause any unnecessary movement.")
E sia la longitut dels fiels de quantitat de una palma.	The length of the field should be equal to the size of one palm. (Here, "E" means "and," "sia" is used as a conjunction meaning "should be," "la" refers to "the," "longitut" means "length," "de" means "of," "fiels" means "field," and "una palma" means "one palm.")
E aprop tu compon2 autre fiel subtil dejos lu en breu, e nuza las extremitatz de aquel si tu·t vols.	Then make another fine field nearby in brief, and cut the ends of that one if you wish. (Here, "aprop" means "then," "tu" refers to "you," "compon2 autre fiel subtil dejos lu en breu" means "make another fine field nearby in brief," "nuza las extremitatz de aquel" means "cut the ends of that one," and "si tu·t vols" means "if you wish.")
E aprop pause le malaute le sieu cap en le tieu se, e sia prop del solelh per que la tua obra sia declarada, quar es operacio subtil e menuda.	Then place the patient's head on your lap and position it facing the sun so that your work is visible, as this is a delicate and minor operation. (Here, "aprop" means "then," "pause" means "place," "le malaute" refers to "the patient," "le sieu cap" means "his head," "en le tieu se" means "on your lap," "e" means "and," "si prop del solelh" means "facing the sun," "per que la tua obra sia declarada" means "so that your work is visible," "quar" means "as," and "operacio subtil e menuda" means "delicate and minor operation.")
E aprop intromet la agulha en la razit del pel ajustat la qual ha necessitat de engen, e fay aquela penetrar en la palpebra festinantment entro que extraguas aquela desus le pel natural.	Then insert the needle into the incision of the prepared skin that requires skill, and make it penetrate the eyelid hastily but carefully until you extract it above the natural skin. (Here, "aprop" means "then," "intromet" is the third person singular verb form for "to insert," "la agulha" means "the needle," "en la razit del pel" means "in the incision of the prepared skin," "ajustat" means "prepared," "quale ha necessitat de engen" means "that requires skill," "fay" is the third person singular verb form for "you make," "aquela" refers to "it," "penetrar" means "penetrate," "entro" means "into," "que" means "that," "extraguas" is the third person singular verb form for "to extract," and "desus le pel natural" means "above the natural skin.")
E aprop tire le pel entro desus e intromet aquel en alixati, e sian les pels un o dos o tres e no mays.	Then pull the skin over it and insert the needle into it, and make sure there are one, two or three layers of skin at most. (Here, "aprop" means "then," "tire" is the third person singular verb form for "to pull," "le pel" refers to "the skin," "entro desus" means "over it," "intromet aquel en alixati" means "insert that one into the incision," "e" means "and," "sian" means "make sure," "pels" means "skins," "un o dos o tres" means "one, two or three," and "no mays" means "not more.")
