Ayssi comensan las paraulas de Albucasim .	And so begins the vocabulary of Albucasis.
Capitol .xv.	Chapter 15.
De cauteri de mollificacio de palpebras dels huels.	Of the cautery for softening the eyelids of the eyes.
Quan la palpebra del huel es mollificada per malautia o per humiditat, lahoras cauteriza aquela palpebre1 am un cauteri am aquest cauteri lunar; e aquesta es la forma de lu:	When the eyelid of the eye is softened by illness or moisture, then apply that cautery to that eyelid with this crescent-shaped cautery; and this is its shape:
E si vos, cauteriza aquel sobre les dos sobrecils un petit am dos cauteris en tota partida, e sian elonguatz de las timporas.	And if you do, apply it to the two upper corners of the eyelids, in all parts, and lengthen them from the temples.
E sia la longitut de quascun cauteri segon la quantitat del sobrecil.	And let the length of each cautery be according to the size of the eyelid.
E no premas trop la tua ma am le cauteri, mays segon la quantitat que la tersa partida de la palpebre sia adhurida.	And do not press your hand too hard against the cautery, but rather according to the amount that the injured part of the eyelid is stuck.
Capitol .xvi.	Chapter 16.
De cauteri de la palpebre del huel quan les pels so convertitz a las partidas dedintz e punho le huel.	When the eyelids are converted into the parts that are punched and pierce the eye, then use a cautery on the eyelid.
Quan les pels del huel son convertitz a las partidas dedintz ayssi que pungo le huel, cauteri en aquels es segon dos manieyras, quar cauteri o es am fer o es am medicina comburent.	When the eyelids are converted into the parts that are punched and pierce the eye, then use a cautery in those places in two ways: either with fire or with medical caustics that burn.
Si am cauteri de lu am foc, comanda al malaute denant aquo que leyse les sieus pels ayssi cum aquels les quals les mundan, entro que sian prolonguatz e engualhatz; e si punho aquel deves le lor naysement, lahoras tu strenh les huels de lu am una benda per so que no sia maugut entro que·ls pels sian nascutz.	If the cautery is with fire, command the patient to look at those eyelids that are like those which are washed, while they are prolonged and equalized; and if he pushes that devil's work, then strengthen his eyelids with a bandage so that they are not maimed until the eyelids are born.
Donc cum siran nascutz e engualhatz, lahoras pausa le cap del malaute en le tieu se, e aprop senha sobre la palpebre dels huels de lu am tenta, am senhal le qual sia segon la figura de fulha de merta, e sia le comensament del senhal prop dels pels.	Then when they are born and equalized, place the head of the patient on his back, and apply a tent over the eyelid of the patient, with a shield that is according to the figure of a murderer's knife, and the beginning of the shield near the eyelids.
E aprop pausa coto enbegut en album de huou o en mucillatge de ptilli sobre le huel.	And then place a soft cloth or cotton on the wound.
E aprop igneys le cauteri del qual aquesta es la forma de lu.	And then remove the pointed cautery that was used for this purpose.
E aprop cauteriza sobre la figura la qual as senhada, petit a petit, em motas veguadas, entro que sia comburida la superficia de la codena la qual es ayssi cum fuelha de mirta, tota aparent propriament.	And then cauterize the area that was scratched, in small sections, using a pointed instrument, until the surface of the skin is burned and appears like roasted meat, all properly.
E senhal de sanetat de la tieua obra es que tu vegus la palpebre de l’huel ja esser contrayta e·ls pels de lu esser elevatz deves la punctura del huel.	And in order to clean the wound, it is necessary that you raise the eyelid of the wound and elevate the eyebrows from the puncture of the wound.
E donc eleva la tua ma e laysa aquel per tres jorns, e aprop pausa sobre lu coto am boder entro que sia eredicada la scara.	And then raise your hand and place it on that for three days, and then place a soft cloth underneath until the scar is healed.
E aprop cura aquela am enguent entro que sia sanat.	And then care for that by applying medicine until it is healed.
Mays si retorna per les pels alcuna causa aprop lor naysement e la palpebra es mollificada, lahoras fay autra vetz le cauteri sobre aquel tot ayssi cum avias fayt primieyrament.	But if it returns by the hairs for any reason, and the eyelid becomes soft, then make another incision with the pointed cautery as you did before.
Mays si les pels so en la palpebra dejos, lahoras cauterisa aquela entro que sia elevada al sieu loc natural e sia engualhat e que les pels no punhan le huelh.	If the eyelashes are in front of the eyelid, then cauterize them where they are lifted to their natural place and equalized so that the eyelashes do not poke the eye.
Mays le cauteri am medicina comburent aquest es que comandes al malaute que leyse les pels entro que sian prolonguatz e engualhatz, e aprop sia fayta de carta de drap la forma de fuelha de mirtra.	If the cautery is not burning this, then command the patient to lift the eyelashes where they are extended and equalized, and then make a shape of paper or cloth in the form of a fan.
E aprop pren de sabo conogut e de caus viva ana unc. i, o quays aquo, e aprop mescle3 aquelas causas be, e fay aquo am festinacio per so que no sia enfregidat; e aprop expandeys de aquo sobre la carta la qual es fayta ayssi cum forma de fulha de mirtra, e pausa aquel sobre la un huel od amdos; e pausa dejos le huel coto enbegut en album de huou, e el cap del malaute sia en le tieu se.	And then take some cotton and live coal, and mix those causes with water, and make that mixture into a paste; and spread that paste on the paper that is made in the form of a fan, and place it on one eye; and place the other eye on a flat piece of wood; and the head of the patient should be raised.
E pausa le dit sobre le medicina e prem aquela un petit e no la mauguas entro que lo malaute senta la mordicacio de la medicina, quar mordicacio es en lu ayssi cum de foc.	And place it on the patient's eye and press that little and not too much into the patient's eye until the patient feels the burning sensation of the medicine, which is like fire.
E donc cum percevera aquo que el atrobo mordicacio, lahoras leyssa la medicina e mau aquela am le tieu dit; donc cum cessa la mordicacio, lahoras remau la medicina he lava le huel am aygua; e lahoras considera si vezes la palpebra ja es levada ayssi cum es lavada deves la costriccio am foc o am incisio, quar lahoras esta be; e si no torna sobre aquela de la medicina sobre le loc en le qual no ha empremut la medicina e no se denigra entro que sia engualhada la tua operacio e sia contrayt le huel.	And so, when the persistent toothache continues, the medicine and the mouth are in a bad state; therefore, when the toothache ceases, the medicine remains and wash the dirty mouth with water; and then consider if the eyelid has been lifted as it is washed from the constraint of fire or incision, where it is good; and if not, return to the medicine on the place where the medicine has not pressed and does not denigrate before your operation is equalized and contrary to the mouth.
E aprop pausa sobre lu coto am boder entro que sia eradicada la codena de la adhustio, e aprop cura aquel am enguent deafinicon o am autre entro que sia sanat.	And then place your hand over the side where the code of the hysteria is located, and cure that with a definite or other remedy before it is healed.
E es necessari a tu, deves la tua operacio que guardes am pervigil diligencia que en le huel no caia re de la medicina, e si la palpebre aprop alscus dias es mollificada e alcuna causa dels pels punh en le huel, lahoras itera la tua medicina sobre aquel loc le qual de la palpebre es mollificat, e propriamen ayssi quo as fayt al comensament, e aprop enaviro lu entro que sia sanat.	And it is necessary for you to keep your operation that you guard the mouth with constant diligence that the medicine does not fall out of the mouth, and if the eyelid becomes soft and some cause of the teeth in the mouth, then repeat your medicine on that place where the eyelid is softened, and properly as it was done at the beginning, and continue until it is healed.
E aquesta es la forma de fuelha de mirtra.	And this is the form of the mirror.
E sapias que les huels dels homes son diversificatz segon la magnitut e la parvitat, e donc segon aquo es fayta la tua contraccio.	And you know that the veins of men are varied according to their size and location, therefore your incision is made accordingly.
E no sira amaguada la via de rectetut ad aquel al qual es studi en aquesta art.	And do not obstruct the correct path to the place where this art is studied.
Capitol .xvii.	Chapter 17.
De cauterizacio de fistula que es en le lacrimal de l’huel.	Of cautery for a fistula that is in the lacrimal canal of the vein.
Quan tu curas fistula am aquo que havem dit en las divisios de las malautias e no confereys la tua curacio, lahoras cove que tu cauterizas aquela segon aquesta manieyra: comanda al malaute que pause le cap sieu en le tieu se, e tengua le cap de lu alcun ministre entre las tieuas mas en tal manieyra que no sia maugut ni agitat am le sieu cap.	When you treat a fistula with that which we have said in the divisions of diseases, and do not compare your cure, then command the patient to place his head on your shoulder, and hold his head between your hands in such a way that it is neither too high nor too low.
E aprop pausa coto enfus en album de huou o en mucellage de ptilli sobre le huel de lu.	And then place a cotton pad or moss on the vein of the patient.
E aprop igneys le cauteri del qual aquesta es la forma:	And then ignite the cautery of which this is the form:
le qual sia conquau, ayssi cum es forma de cana o de pena de voltor, de la una extremitat am la qual es fayta lo cauteri.	which should be concave, as with the form of a needle or pen knife, from one end of which the cautery is made.
E si voys, sia penetrant entro a la autra extremitat.	And if you see, it is penetrating to the other end.
E si vols sia sort ayssi cum tenta.	And if you want to remove it with a probe.
Mays empero aquel que es concau es milhor a la tieua obra.	But one who is skilled is better at the work of the trade.
E aprop prem la fistula si es uberta, e tra de lu sania et exsicca aquela.	And if the fistula is open, then apply the sinan and dry that area.
E si no es uberta, lahoras obre aquela e extratz la poyredura de lu.	And if it is not open, then open it and remove the pus from there.
E aprop pausa sobre lu le cauteri le qual sia be ignit, e te am aquel la tieua ma un petit deves le cauteri del huel a la partida del nas, per so que no erre la tua ma o le malaute sia enquietat, e lahoras pausa le cauteri en le grays del huel e corrompas aquel.	And then place your hand over the cautery that is burning hot, and teach the apprentice to hold the handle of the cautery from the elbow to the part of the nose, so that your hand or the patient is not burned, and then place the cautery on the gray matter of the brain and corrupt that.
E donc si al comensament del tieu cauteri perve entro al os, bo es; e sino, lahoras itera le cauteri una veguada o dos, si mestiers era; e layssa aquel ayssi per tres jorns, e aprop pausa sobre aquel coto am boder e enviro lu am enguent exsiccatiu entro que sia sanat.	And if at the beginning of the procedure, the cautery penetrates into the bone, it is good; and if not, then repeat the cautery once or twice, if necessary; and leave that area for three days, and then place your hand over that and apply an ointment that is dry until it is healed.
Mays si eran passatz xi dias e no es sanat, lahoras pausa sobre lu medicina aguda corrosiva entro que l’os sia descubert e sia ras segon que conveneys en le sieu capitol.	If the bones have been exposed for several days and have not healed, then pause over the sharp, corrosive medicine until the bone is uncovered and then scrape it according to what is appropriate in its own chapter.
E es autra manieyra de cauteri de fistula la qual alscus primiers diysero: enten al loc de la fistula e fen aquela e aprop pausa en aquela fissura camaen subtil del qual es la forma de lu: E fon en aquela la quantitat de i unc de plom fundut; e te la tua ma am camaem am bona retencio, e no sia maugut le malaute per so que le plom fundut no pervengua al huel de aquel; e cove que pausas sobre le huel del malaute coto enfus en album de huou o en aygua, quar plom adhureys le loc de la fistula e sana aquela per sanacio meravilhora.	And there is another method of using cauteries for fistulas that was first mentioned: insert the point of the cautery into the location of the fistula and then place a covering over it; and apply pressure on the thin, subtle part of the cauterizing instrument, which is the shape of the cauterizing instrument; and pour in the quantity of one drop of lead onto it; and hold your hand over it with good retention so that the lead does not reach the edge of the fistula; and cover the edge of the fistula with honey or water, where the lead adheres to the location of the fistula and heals it for wonderful healing.
E si la fistula es sanada am aquo que havem dit del cauteri e de la curacio, bo es; e sino, lahoras es necessari aministrar trauc del nas e reduzir la fistula al cors del nas segon que vindra en son loc propri.	And if the fistula is healed by what we have said about the cauterizing and the cure, it is good; but if not, then it is necessary to administer a small amount of nasal spray and reduce the fistula to the nose's own location as soon as it arrives there.
Capitol .xviii.	Chapter 18.
De cauterizacio de la fendedura des potz.	Of the cautery for the wound of the thumb.
Motas veguadas accideysso fissuras en las labias, e majorment en las labias dels enfantz.	Mutilations occur in the lips, and more often in the lips of children.
Donc cum tu curas aquelas fissuras am aquo que nos havem dit en las divisios e no aprofieyta la tua cura, lahoras igneys le cauteri petit cutellar segon aquesta forma que s’ensiec:	Therefore, when you treat those wounds with the cautery that we have mentioned in the divisions and do not use it properly, then use the small cautery as follows:
E sia la conquavitat de lu segon la subtilitat de cotella.	And place it according to the sharpness of the spoon.
Aprop pausa aquel init cuytadament en aquelas fissuras entro que·l cauteri pervengua al preon de las fissuras.	Then place your finger carefully in those wounds until the cautery reaches the bottom of the wounds.
E aprop cura aquel am cerotz entro que sia sanat.	And then treat it with the cautery until it is healed.
Capitol .xix.	Chapter 19.
De cauterizacio de fistula en la boca.	Of the cautery for a fistula in the mouth.
Quan en la razit de uvula o en le paladar o en las razitz de las dentz endeve apostema e aprop fa brac, e aprop es rompuda, e aprop es antiquada, e corr brac e es fayta fistula, e aprop tu curas aquela e no aprofieyta a curacio, lahoras cove que tu igniscas cauteri segon la quantitat que sia receubuda en la fistula, e aprop met aquel ignit en le trauc de la fistola, e te la tua ma entro que pervengua le ferr ignit al preon de lu, e al derier de lu fazen aysso una veguada o dos; e aprop cura aquel am aquo que nos havem dit de la curacio entro que sia sanat.	When in the uvula or on the palate or on the teeth, an abscess occurs and a hole is made, and it breaks, and it becomes old, and boil and it is formed as a fistula, and then you treat it and do not use it properly, then use the cautery according to the amount that is received in the fistula, and place that hot in the mouth of the fistula, and then your hand until the hot iron reaches the bottom of it, and on the other side make a cut or two; and then treat it with the cautery that we have mentioned for treatment until it is healed.
E donc si la sania es abscindita e es sanat, bo es; e sino, lahoras es necessari de descubrir le loc e hostar le os corrumput segon que vindra en son capitol.	And if the bone is fractured and healed, it is good; otherwise, it is necessary to discover the location and treat the corrupted bone according to what comes in its chapter.
Capitol .xx.	Chapter 20.
De cauterisacio de las dentz e de mollificacio de las angivas.	On the cautery of teeth and the softening of jaws.
Quan las angivas son mollificadas per humiditat e las dentz son maugudas, e curas aquelas am medicinas e no confereys, lahoras pausa le cap del malaute en le tieu se, e aprop igneys le cauteri la forma del qual vindra aprop aysso, enayssi que tu pauses la quanula sobre la dent e entromet en aquela le cauteri ignit festinantment, e te la tieua ma un petit entro que·l malaute cente la calor del foc a la razit de la dent esser pervenguda.	When the jaws are softened by moisture and the teeth are decayed, and those medicines do not cure them, then place the patient's head on your lap, and hold the cauterizer in the shape that will come according to what you will use, and do not touch the tooth with it until you feel the heat of the fire at the level of the tooth, when the cure is completed.
E aprop leva la tua ma, e aprop itera le cauteri alcunas veguadas segon que vols.	And then raise your hand, and repeat the cauterizer several times according to what you want.
E aprop le malaute huompla la sua boca de aygua de sal e tengua aquela per una hora, e pueys stupa aquela, quar la dent mauguda es fermada e la gengiva mollificada es strenguda e la humiditat corrompuda es exsiccada.	And then the patient closes his mouth with salt water and holds it for an hour, and this can stop the decayed tooth, strengthen the softened jaw, and dry out the corrupted moisture.
Capitol .xxi.	Chapter 21
De cauterisacio de dolor de dent.	Of toothache cautery.
Quan dolor de dent es per fregiditat, o en lu es freg o verm, o no comfereys la curacio am medicina, lahoras cauteri en aquela es segon dos manieyras: o cauteri am boder de vacas, o cauteri am foc.	When toothache is caused by coldness, or if it is frozen or worms are present, and the cure cannot be done with medicine, then cautery is performed in two ways: with a cautery of cow's bile, or with a cautery of fire.
Cauteri am boder es que tu prenguas boder de vacas e bulhas aquel en culhe de ferr , e aprop pren coto e envolopa le sobre la extremitat de la tenta, e aprop enmergeys aquel am boder bulhit, e pausa aquel sobre la dent dolorosa festinantment entro que sia enfregidat.	With the cautery of cow's bile, you take bile from a cow and blow it into the iron cup, then place a cloth over the end of the tent, and quickly apply the bulb, and place it on the painful tooth.
E aprop itera aquela alcunas veguadas entro que la vertut del foc pervengua a la razit de la dentz.	And then repeat this several times until the power of fire reaches the root of the tooth.
E si voys, submergeys lana o coto en le boder desus dit, e pausa aquel sobre la dent dolent, e pausa sobre aquel ferr ignit entro que·l ferr pervengua al preon de la conquavitat de la dent.	And if you wish, immerse wool or cloth in the bile above, and place it on the painful tooth, and place it on the ignited iron until the iron reaches the beginning of the cavity of the tooth.
Mays empero la cauterizacio am foc es que tu atendas a la quannula de eram o de ferr, e sia en le cor de lu alcuna grocesa e la acuitat del foc no pervengua a la boca del malaute.	However, the cautery with fire is that you wait for the horn or iron to become hot, and if there is any resistance in it, and the power of the fire does not reach the mouth of the patient.
E aprop igneys le cauteri la forma del qual vindra, e pausa aquel sobre la dent e te la tua ma entro que·l cauteri sia enfregidat; e fay aquo alcunas veguadas quar la dolor sira remauguda o en aquel dia o en l’autre dia.	Approach the cautery in the shape it will come, and place that on the tooth and your hand inside to ensure the cautery is not broken; and do this several times so the pain remains or on that day or the next day.
E cove que per empressio de aquel cauteri que·l malaute umpla la sieua boca de bon boder e tengua aquel per una hora e aprop scupa le; e aquesta es la forma del cauteri.	And cover that the patient bites the edge of the good border and holds it for an hour and then scrapes it; and this is the shape of the cautery.
E cauteriza am qual que tu voys extremittat segon que a tu es possible.	And cauterize as you wish with the extremity that is possible to you.
E aquesta es la forma de la cannula:	And this is the shape of the cannula:
Capitol .xxii.	Chapter 22
De cauterizacio de extrophulos.	Of cauterization of extraphules.
Quan extrophulos so de flecma e de humors fregas e no so hobedientz a digistio per medicinas e tu voys la digistio de aquelas leugerament, lahoras tu igneys le cauteri conquau la forma del qual es aquesta seguen, havent dos extremitatz hubertas per que yesca le fum deves le cauteri per l’autra extremitat, e pausa aquel ignit sobre aquel apostema una veguada, e autre si indigeyses de aquel, entro que pervengua al preon del apostema.	When extraphules are of a flexible and humor-infiltrated nature and not obedient to digestion by medicines and you wish to make them more digestible, then approach the cautery with the shape it will come, having two extremities ready so that the smoke from the cautery can escape through the other extremity, and place that ignited on that abscess a time, and another if necessary for that, until it reaches the bottom of the abscess.
E si l’apostema es pauca, lahoras pausa le cauteri segon la quantitat del apostema, e aprop leyssa le per tres jorns e pausa sobre lu coto enfus en boder entro que sia remaugut aquo que·l foc ha comburit.	If the abscess is small, then pause the cauterization according to the amount of the abscess, and leave it open for three days and place over it a poultice soaked in boiled bread dough until it is ready to be burned by fire.
E aprop cura aquel am enguent e tentas e draps entro que sia sanat.	And then care for that wound and dress it with cloths until it is healed.
E la forma de la cannula o deu cauteri a tal es comveyter.	The shape of the needle or cautery used in such cases varies.
Capitol .xxiii.	Chapter 23.
De cauterizacio de rauquiera de votz e de constriccio de ale.	Of cauterization of the throat and contraction of the neck.
Quan las humiditatz veno sobre le quanal del pulmo, e majorment quan aquo es am fregiditat de compleccio, lahoras cove que·l malaute sia evacuat al comensament am medicinas laxativas, e aprop cauteriza aquel deves la razit del golayro en le loc depremegut.	When humidity comes over the pharynx of the lung, especially when it is accompanied by coldness and fever, then immediately evacuate the patient to the beginning with laxative medicines, and then cauterize that part of the gullet in the affected area.
E guarda te que no pervenguas am le cauteri al golayro ni no comburas de la codena de lu sino un pauc.	And be careful not to reach the cautery to the gullet or burn the neck of the patient, but a little.
E cauteriza aquel am autra cauteri deves la junctura del col en le derier espondil de lu.	And cauterize that part with another cautery at the joint of the neck in the lower vertebra of the spine.
E·l cauteri de lu sia clavilh sego la maniera precedent.	And the cautery for him should be made in the same way as before.
E aprop cura aquel am aquo que es precedit entro que sia sanat.	And then care for that one who is preceded by that which is necessary until he is healed.
Capitol .xxiiii.	Chapter 24.
De cauterizacio de malautia del pulmo e de tos.	Of the cauterization of the sick lung and cough.
Quan tos e malautia de pulmo so de humiditatz fregas e le malaute no ha febre ni tisic e es malautia antiqua, lahoras cauterisa aquel am dos cauteris sobre la furcula en les locz depremegutz leontz e buoytz; e am autra cauteri en le mieg loc del pietz entre dos mamillos; e sia le cauteri clavilh segon la forma precedent.	When cough and lung disease are caused by moist humors, and the patient does not have fever or tisic, and it is an old illness, then cauterize that one with two cauteries on the sternum in the locations where the leontz and buoytz are depressed; and another cauteri in the middle of the chest between two nipples; and let the cautery be made in the same way as before.
E si vols, sia la tua cauterizacio punctan am le cauteri que es apelat puncta, la forma del qual precedeys en la ponctacio de dolor de aurelhas.	And if you wish, your cauterization should be made with the pointed cautery called puncta, whose form is described in the point procedure for heels.
E sian puntz entro cays ad aquels; e aprop cura aquel am aquo meteys que es precedit entro que sia sanat.	And let your points enter there; and then care for that one who is preceded by that which is necessary until he is healed.
E ya sia le cauteri haventz tres ramps quar cauterizacio es am aquel: am una veguada podes far tres cauteris segon aquesta forma:	And now let the cautery have three points, as the following is customary: you can make three cauteries of this form:
Capitol .xxv.	Chapter 25.
De cauterizacio de titillic que es le cap del ajutori.	Of the cautery of the nipple, which is the helper of the breasts.
Quan le cap del ajutori es dislocat per causa de humiditatz lubricas e no es fermat en la hora del sieu retornament deves la sua dislocacio entro que sia a lu aquo costuma de retornar, e aprop per un petit movement es deslocat ayssi que s’endeve, ayssi cum nos havem testificat, lahoras cove que primieyrament redusiscas la dislocacio, e aprop le malaute sia reversat sobre le sieu dos o sobre le latz sa; e aprop eleva la codena la qual es en la partida dedintz del citillic a las partidas desus am les ditz de la tua ma sinistra, si la junctura es dislocada a las partidas dedintz.	When the helper's nipple is dislocated due to lubricating humors and does not stop in its return time, you must replace its dislocation before it returns to that customary place, and with a small movement, move it as it should be, as we have testified, so first reduce the dislocation, and then turn the patient over on his back or on his side; and raise the codena which is in the part of the nipple to the parts above the mentioned parts of your left hand, if the joint is dislocated at the parts below.
E aprop igneys le cauteri havent dos caps; e aquesta es la forma de lu:	And then use the cautery with two points; and this is the form of it:
E aprop cauteriza la codena entro que penetre aquela entro al autre latz; e vindra la figura de cauterizacio lahoras de iv caps cauteris.	And then cauterize the codena until it penetrates into the other side; and the figure of the cauterization will come out as follows from four cauterizations.
e so aquel subtils segon la quantitat de tenta; e aquesta es la forma de lu:	And if it is necessary to apply pressure according to the amount of swelling, this is the method for it:
E alcunas veguadas es ajustat segon aquest comte i per que son les cauteris .viii.	And some cautery needles are adjusted according to this count and because they are the eight cauteries.
E aprop pausa sobre le cauteri porys cuytz am sal, e aprop fay adherir le malaute a trenquilitat, e lo membre no sia maugut per alcun temps entro que sia confortat.	And then place your hand over the cautery to prevent the patient from being too hot for a while until they are comfortable.
E si la dislocacio es a las partidas desus e tart es fayt aquo, lahoras cauteriza sobre le muscle am cauteri clavilh o am motz cauteris puntan, quar la junctura es confermada e la humiditat es romauguda e le malaute es sanat.	And if the dislocation is at the parts above and below, then do so, and then cautery over the muscle with a claw-shaped or pointed cautery, where the joint is confirmed and the humidity is removed and the patient is healed.
Capitol .xxvi.	Chapter 26
De cauterizacio del stomac.	Of the cautery of the stomach.
Quan veno en l’estomac freg e motas humiditatz entro que aquel extrazo de la sua compleccio e so multiplicatz raumases a lu, e si tu continuas las manieyras de curacio e no confereyso, lahoras cove que le malaute sia sobre le sieu dos ressupinat, e extenda las suas mas e las suas coysas, e aprop cauteriza aquel am tres cauteris: an un cauteri dejos le pietz per la quantitat d’un dit am cauteri clavilh, e am dos cauteris dejos del dos costatz del cauteri, entro que vengua la figura de cauteri triangulada; e elonga entre els que no sian ajustatz que faran poyredura.	When there is cold and moisture in the stomach that multiplies rapidly in it, and if you continue with the methods of treatment and do not confirm, then it is likely that the patient will be overwhelmed, and extend their arms and legs, and then cautery with three cauteries: one cauteri behind the chest for the amount of a claw-shaped cauteri, and two cauteris behind the back of the cauteri, until the figure of cauteri triangulated; and lengthen between those that are not adjusted to make poyredura.
E si la profunditat del cauteri la quantitat de les dos terses de la grocesa de la codena.	And if the depth of the cautery is equal to the thickness of the two thickest ribs of the spine.
E sia la figura del cauteri segon aquesta forma ses addicio, E si vols, cauteriza am gran cauteri en le mieg loc del estomac segon aquesta forma; et aquest sia un cauteri segon la forma de cercle segon aquesta forma:	And if the shape of the cautery is according to this form, then add it. And if you wish, cauterize with a large cautery in the middle of the stomach according to this form; and this should be a cautery in the form of a circle according to this form.
E sia cauterizat l’estomac punctan ad aquel que de aquest cauteri es spaventat: e es que tu senhes sobre l’estomac punt segon la quantitat que voles am tenta, e aprop cauteriza aquel am cauteri en les puntz; e aprop cura aquel am la curacio qu’es precedita entro que sia sanat.	And the stomach should be cauterized at the point where this cautery frightens it: and you should place your hand on the stomach puncture according to the amount that you wish to test, and then cauterize those points with this cautery; and afterwards care for those wounds with the treatment that is prescribed before they are healed.
Capitol .xxvii.	Chapter 27.
De cauterizacio del fietge fret.	Of the cauterization of the foot sole.
Quan endeve en le fietge dolor per fregiditat o per humiditat o per grossa ventositat entro que de la sieua normal compleccio sia getat per egressio superflua, e es curat le malaute am aquo que havem dit e no comfereys, lahoras cove que·l malaute sia ressupinat sobre la sua cervitz, e senhes am tenta tres cauteris segon aquesta forma et aquesta quantitat meteyssa sobre le fietge dejos dels ipocondres, la hon perve le decubit de home.	When pain in the foot is caused by coldness or moisture or excessive heat that has been displaced from its normal composition until it is cured, and the patient is treated with the remedies we have mentioned and does not worsen, then it is recommended that the patient be placed face down on their neck, and a test of three cauteries according to this form and this amount should be applied to the sole of the foot behind the hip joints, which is the position of a man lying down.
E sia l’espazi le qual es entre quascun cauteri segon la grossetut del dit, e sia le cauteri segon la longitut del cors dreyta.	And let there be the space between each cautery according to its largest size, and let the cautery be according to the length of the body straight.
E no compremas la tua am le cauteri mot.	Do not touch the patient with the cautery.
E si la quantitat de aquo que es adhurit la quantitat de la maytat de la specitut de la codena, e no y sia pus ajustat; e si le malaute stant sobre les pes de lu; e si no es estant, lahoras sia jassent, le qual ja ha extendudas las suas coysas, e eleve les sieus brasses.	And if the amount of water that is adhered to the amount of the mayor part of the skin of the coda, and it is not adjusted; and if the patient stands on its feet, then let them be stretched out, which has already extended its limbs, and raised its chest.
E es aquesta la forma del cauteri:	And this is the shape of the cautery:
E a tu es possible que cauterizes aquestz cauteris am cauteri cutellar, quan es am tu subtilitat e prudencia en l’art.	And it is possible for you to cauterize these cautery with a pointed cautery, when you are skilled and prudent in the art.
E guarda te que trop no procesiscas en la cauterizacio, e sia adhurida la specitut de tota la codena per que sia adhurit tot le cors e pervengua entro als budels, quar la codena aqui es subtil; e sapias aquo.	And be careful not to process too much in the cauterization, and let the skin of the entire coda be adhered so that it can cover the whole body and reach inside the intestines, because the coda here is delicate; and you know this.
Capitol .xxviii.	Chapter 28.
De perforacio de apostema del fietge am cauteri.	Of puncturing the abscess of the foot with a pointed cautery.
Quan endeve excitura o apostema en le fietge e voles saber si aquel apostema es en le carn del fietge o en la tunica de lu, lahoras si es en la carn del fietge, le malaute atrobo gravitat e dolor ses acuitat.	When the swelling or abscess in the foot is felt and you want to know whether that abscess is in the flesh of the foot or in its tunic, if it is in the flesh of the foot, the patient experiences increased weight and pain.
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	And if it is in the tunic of the foot, the pain is greatly increased and often tires out the doctors with its treatment.
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	Therefore, turn the patient on their side; and then examine the location of the abscess; and then ignite the cautery that is shaped like a needle, the shape of which has been described in the other page.
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	And cauterize it with that and puncture until the entire cord is crushed, until it reaches the bone, until it escapes from there.
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	And then treat that by treatment of other abscesses until it is healed.
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	And do not use this form of cauterization except for that which is prolonged in the art of medicine, and of which many bad cases are known; rather, this experiment has been tried several times on this operation, but it is still better to leave it to those who know it best.
Capitol .xxix.	Chapter 29.
De cauterizacio de plauresi.	On the cauterization of gout.
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	The ancient cautery of the razor of astrology on gout should be made in this way, and this is what you take from the long dry razor that is found, and it should be of the largest size.
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	And then immerse that in oil and place it on the fire, and then cauterize at that location where the connection of the scapula is to the collar; and with two small cautery needles, one slightly declining to the part where the beard was left, and with two cautery needles in that area where they decline between the fifth rib and the ribs, declining a little to the parts behind; and with another cauteri in the middle of the chest; and with three cautery needles on the back parts; and with one cauteri in that location where the connection of the two scapulae is, and with two cautery needles on the sides of the chest, after the cauteri that is between the two scapulae.
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	And do not let your hand touch the cautery, but keep it in the open air of the workplace.
