Ayssi comensan las paraulas de Albucasim .	And now we begin the words of Albucasis.
E donc si la sania es abscindita e es sanat, bo es; e sino, lahoras es necessari de descubrir le loc e hostar le os corrumput segon que vindra en son capitol.	And if the sinus is removed and healed, then it is good; but if not, then it is necessary to discover the location and treat the rotten bone according to what comes in its chapter.
Capitol .xx.	Chapter 20.
De cauterisacio de las dentz e de mollificacio de las angivas.	Of cautery for the teeth and of softening of the jaws.
Quan las angivas son mollificadas per humiditat e las dentz son maugudas, e curas aquelas am medicinas e no confereys, lahoras pausa le cap del malaute en le tieu se, e aprop igneys le cauteri la forma del qual vindra aprop aysso, enayssi que tu pauses la quanula sobre la dent e entromet en aquela le cauteri ignit festinantment, e te la tieua ma un petit entro que·l malaute cente la calor del foc a la razit de la dent esser pervenguda.	When the joints are softened by moisture and the teeth are rotted, and those remedies do not cure them, then pause the patient's head on your thigh, and approach the heated iron in the form that will come to you, so that you place the quill on the tooth and insert it into that place where the iron is hottest, and hold it there for a short time until the patient feels the heat of the fire at the root of the tooth.
E aprop leva la tua ma, e aprop itera le cauteri alcunas veguadas segon que vols.	And then lift your hand, and repeat the cautery several times as you wish.
E aprop le malaute huompla la sua boca de aygua de sal e tengua aquela per una hora, e pueys stupa aquela, quar la dent mauguda es fermada e la gengiva mollificada es strenguda e la humiditat corrompuda es exsiccada.	And then the patient should close their mouth with salt water and hold it for an hour, as that rotten tooth is sealed, the softened gums are strengthened, and the corrupted moisture is dried out.
Capitol .xxi.	Chapter 21.
De cauterisacio de dolor de dent.	On the cautery for tooth pain.
Quan dolor de dent es per fregiditat, o en lu es freg o verm, o no comfereys la curacio am medicina, lahoras cauteri en aquela es segon dos manieyras: o cauteri am boder de vacas, o cauteri am foc.	When tooth pain is caused by coldness, or if it is frozen or worms, and the remedy does not cure it, then use the cautery in that place in two ways: either with a cow's horn cautery, or with a fire cautery.
Cauteri am boder es que tu prenguas boder de vacas e bulhas aquel en culhe de ferr , e aprop pren coto e envolopa le sobre la extremitat de la tenta, e aprop enmergeys aquel am boder bulhit, e pausa aquel sobre la dent dolorosa festinantment entro que sia enfregidat.	When you take the pointed cautery, grab a piece of iron from the fire, and then wrap it with cloth, and place it over the end of the tent, and then immerse that pointed cautery, and place it over the painful tooth quickly before it is cooled.
E aprop itera aquela alcunas veguadas entro que la vertut del foc pervengua a la razit de la dentz.	And then repeat those movements until the power of the fire reaches the root of the tooth.
E si voys, submergeys lana o coto en le boder desus dit, e pausa aquel sobre la dent dolent, e pausa sobre aquel ferr ignit entro que·l ferr pervengua al preon de la conquavitat de la dent.	And if you see, immerse some wool or cloth in the pointed cautery above, and place that over the painful tooth, and place it over the burning iron until the iron reaches the root of the tooth.
Mays empero la cauterizacio am foc es que tu atendas a la quannula de eram o de ferr, e sia en le cor de lu alcuna grocesa e la acuitat del foc no pervengua a la boca del malaute.	However, the cauterization with fire is that you wait until the sound of iron or iron, and if there is any groaning in his body and the heat of the fire does not reach the mouth of the patient.
E aprop igneys le cauteri la forma del qual vindra, e pausa aquel sobre la dent e te la tua ma entro que·l cauteri sia enfregidat; e fay aquo alcunas veguadas quar la dolor sira remauguda o en aquel dia o en l’autre dia.	And then ignite the cautery in the form that comes, and place that over the tooth and your hand inside when the cautery is cooled; and do that some movements until the pain remains or on that day or on the other day.
E cove que per empressio de aquel cauteri que·l malaute umpla la sieua boca de bon boder e tengua aquel per una hora e aprop scupa le; e aquesta es la forma del cauteri.	And if the patient bites down on the good border of that cautery, hold it for an hour and then scrape it off; this is the shape of the cautery.
E cauteriza am qual que tu voys extremittat segon que a tu es possible.	And burn whatever you can reach with your hand.
E aquesta es la forma de la cannula:	This is the shape of the cannula:
Capitol .xxii.	Chapter 22.
De cauterizacio de extrophulos.	Of burning outgrowths.
Quan extrophulos so de flecma e de humors fregas e no so hobedientz a digistio per medicinas e tu voys la digistio de aquelas leugerament, lahoras tu igneys le cauteri conquau la forma del qual es aquesta seguen, havent dos extremitatz hubertas per que yesca le fum deves le cauteri per l’autra extremitat, e pausa aquel ignit sobre aquel apostema una veguada, e autre si indigeyses de aquel, entro que pervengua al preon del apostema.	When outgrowths are soft and caused by humors that are not obedient to digestion by medicines, and you want to gently remove them, then ignite the cautery with the shape of which is as follows, having two ends easily so that the smoke from the cautery can pass through the other end, and place that ignited end over the abscess, and another if necessary, until it reaches the center of the abscess.
E si l’apostema es pauca, lahoras pausa le cauteri segon la quantitat del apostema, e aprop leyssa le per tres jorns e pausa sobre lu coto enfus en boder entro que sia remaugut aquo que·l foc ha comburit.	And if the abscess is small, then place the cautery according to the size of the abscess, and leave it for three days and place it on the side in boiling water until it has burned out that which the fire has burned.
E aprop cura aquel am enguent e tentas e draps entro que sia sanat.	And then care for that wound and treat it with bandages until it heals.
E la forma de la cannula o deu cauteri a tal es comveyter.	The shape of the needle or pointed cautery is such that it should be used in this way.
Capitol .xxiii.	Chapter 23.
De cauterizacio de rauquiera de votz e de constriccio de ale.	Of the cauterization of a bunion and of its contraction.
Quan las humiditatz veno sobre le quanal del pulmo, e majorment quan aquo es am fregiditat de compleccio, lahoras cove que·l malaute sia evacuat al comensament am medicinas laxativas, e aprop cauteriza aquel deves la razit del golayro en le loc depremegut.	When humidity comes over the thoracic cavity, especially when it is caused by coldness, then it is recommended that the patient be evacuated at the beginning with laxative medicines, and then cauterize that part of the gallbladder in the area where the pain is located.
E guarda te que no pervenguas am le cauteri al golayro ni no comburas de la codena de lu sino un pauc.	And be careful not to reach the cautery to the gallbladder or burn the intestinal canal of it, but a little bit.
E cauteriza aquel am autra cauteri deves la junctura del col en le derier espondil de lu.	And cauterize that part with another cautery at the joint of the neck in the lower spine of it.
E·l cauteri de lu sia clavilh sego la maniera precedent.	The cautery of it should be like the previous one.
E aprop cura aquel am aquo que es precedit entro que sia sanat.	And then care for that wound until it heals.
Capitol .xxiiii.	Chapter 24.
De cauterizacio de malautia del pulmo e de tos.	Of the cautery for lung disease and cough.
Quan tos e malautia de pulmo so de humiditatz fregas e le malaute no ha febre ni tisic e es malautia antiqua, lahoras cauterisa aquel am dos cauteris sobre la furcula en les locz depremegutz leontz e buoytz; e am autra cauteri en le mieg loc del pietz entre dos mamillos; e sia le cauteri clavilh segon la forma precedent.	When a cough and lung disease are caused by moist humors that the patient does not have fever or chills, and it is an old disease, then cauterize with two cauteries on the collarbone in the locations where the ribs meet and curve; and with another cauteri in the middle of the chest between two nipples; and let the cauteri be shaped according to the previous form.
E si vols, sia la tua cauterizacio punctan am le cauteri que es apelat puncta, la forma del qual precedeys en la ponctacio de dolor de aurelhas.	And if you wish, your cauterization should be made with the pointed cautery called puncta, whose form precedes in the punctation of heel pain.
E sian puntz entro cays ad aquels; e aprop cura aquel am aquo meteys que es precedit entro que sia sanat.	And let your points enter into those; and take care of that which is preceded by that metal that should be healed before it is cured.
E ya sia le cauteri haventz tres ramps quar cauterizacio es am aquel: am una veguada podes far tres cauteris segon aquesta forma:	And let the cauteri have three prongs so that cauterization can be made in this way:
Capitol .xxv.	Chapter 25.
De cauterizacio de titillic que es le cap del ajutori.	Of cauterization of the tip of the finger.
Quan le cap del ajutori es dislocat per causa de humiditatz lubricas e no es fermat en la hora del sieu retornament deves la sua dislocacio entro que sia a lu aquo costuma de retornar, e aprop per un petit movement es deslocat ayssi que s’endeve, ayssi cum nos havem testificat, lahoras cove que primieyrament redusiscas la dislocacio, e aprop le malaute sia reversat sobre le sieu dos o sobre le latz sa; e aprop eleva la codena la qual es en la partida dedintz del citillic a las partidas desus am les ditz de la tua ma sinistra, si la junctura es dislocada a las partidas dedintz.	When the tip of the helper is dislocated due to slippery moisture and is not stopped at its return time, it must be returned to where it usually returns, and with a small movement, it can be adjusted as we have confirmed, so first reduce the dislocation, and then place the patient on their back or on their side; and raise the elbow which is in the part of the finger where the joint is dislocated, if the joint is dislocated at the base.
E aprop igneys le cauteri havent dos caps; e aquesta es la forma de lu:	And then ignite the cautery which has two ends; and this is the shape of it:
E aprop cauteriza la codena entro que penetre aquela entro al autre latz; e vindra la figura de cauterizacio lahoras de iv caps cauteris.	And then cauterize the elbow until it penetrates into the other side; and the figure of cauterization will be as follows:
e so aquel subtils segon la quantitat de tenta; e aquesta es la forma de lu:	And according to the amount of trial, it is as follows:
E alcunas veguadas es ajustat segon aquest comte i per que son les cauteris .viii.	And some adjustments are made according to this count and why they are cauterized.
E aprop pausa sobre le cauteri porys cuytz am sal, e aprop fay adherir le malaute a trenquilitat, e lo membre no sia maugut per alcun temps entro que sia confortat.	And then place your hand on the cautery, holding it with a clean cloth, and then apply pressure to make the patient comfortable without causing any harm for a while until they are relieved.
E si la dislocacio es a las partidas desus e tart es fayt aquo, lahoras cauteriza sobre le muscle am cauteri clavilh o am motz cauteris puntan, quar la junctura es confermada e la humiditat es romauguda e le malaute es sanat.	And if the dislocation is above and below, and it has been made like this, then cauterize the muscle with a clavilh cautery or a pointed cautery, because the joint is confirmed and the humidity is removed and the patient is healed.
Capitol .xxvi.	Chapter 26
De cauterizacio del stomac.	On the cauterization of the stomach.
Quan veno en l’estomac freg e motas humiditatz entro que aquel extrazo de la sua compleccio e so multiplicatz raumases a lu, e si tu continuas las manieyras de curacio e no confereyso, lahoras cove que le malaute sia sobre le sieu dos ressupinat, e extenda las suas mas e las suas coysas, e aprop cauteriza aquel am tres cauteris: an un cauteri dejos le pietz per la quantitat d’un dit am cauteri clavilh, e am dos cauteris dejos del dos costatz del cauteri, entro que vengua la figura de cauteri triangulada; e elonga entre els que no sian ajustatz que faran poyredura.	When the stomach is filled with cold humors and their multiplication increases within it, and if you continue with the treatment methods without confirming it, then it is likely that the patient will be in a position lying on their back, and extend their arms and legs, and then cauterize with three cautery: one cauterizing the chest for the length of a pointed clavilh cautery, and two cautery on the back of the cauterizing cautery, forming a triangular figure; and adjust those that are not adjusted to prevent them from touching each other.
E si la profunditat del cauteri la quantitat de les dos terses de la grocesa de la codena.	If the depth of the cautery is equal to the thickness of the two skin folds of the back of the neck.
E sia la figura del cauteri segon aquesta forma ses addicio, E si vols, cauteriza am gran cauteri en le mieg loc del estomac segon aquesta forma; et aquest sia un cauteri segon la forma de cercle segon aquesta forma:	And if the shape of the cautery is in this form, it is added. And if you want, cauterize with a large cautery at the middle location of the stomach according to this form; and this is a cauteri in the form of a circle according to this form:
E sia cauterizat l’estomac punctan ad aquel que de aquest cauteri es spaventat: e es que tu senhes sobre l’estomac punt segon la quantitat que voles am tenta, e aprop cauteriza aquel am cauteri en les puntz; e aprop cura aquel am la curacio qu’es precedita entro que sia sanat.	And if the stomach is to be cauterized at that point where this cautery frightens, and you should put your hand over the stomach puncture according to the quantity that you want to test, and then cauterize that with this cautery at the points; and then cure that with the remedy that is preceded before it is healed.
Capitol .xxvii.	Chapter 27.
De cauterizacio del fietge fret.	Of the cauterization of the foot.
Quan endeve en le fietge dolor per fregiditat o per humiditat o per grossa ventositat entro que de la sieua normal compleccio sia getat per egressio superflua, e es curat le malaute am aquo que havem dit e no comfereys, lahoras cove que·l malaute sia ressupinat sobre la sua cervitz, e senhes am tenta tres cauteris segon aquesta forma et aquesta quantitat meteyssa sobre le fietge dejos dels ipocondres, la hon perve le decubit de home.	When pain occurs in the foot due to cold or moisture or heavy air before it reaches its normal complexity by excessive exit, and the patient is cured with the remedy that we have said and not compared, then you should place the patient lying on their neck, and put your hand over the area to test three cauteries according to this form and this quantity under the ankles, which is the position of a man.
E sia l’espazi le qual es entre quascun cauteri segon la grossetut del dit, e sia le cauteri segon la longitut del cors dreyta.	And let the space between each cautery be according to the greatest length of the said, and let the cautery be according to the length of the body straightened.
E no compremas la tua am le cauteri mot.	And do not understand your own hand movement with the cautery.
E si la quantitat de aquo que es adhurit la quantitat de la maytat de la specitut de la codena, e no y sia pus ajustat; e si le malaute stant sobre les pes de lu; e si no es estant, lahoras sia jassent, le qual ja ha extendudas las suas coysas, e eleve les sieus brasses.	And if the amount of that which is adhered to the quantity of the mouth of the wound, and it is not adjusted; and if the patient is standing on his feet; and if he is not standing, then let him sit, the one who has already extended his limbs, and raised his arms.
E es aquesta la forma del cauteri:	And this is the form of the cautery:
E a tu es possible que cauterizes aquestz cauteris am cauteri cutellar, quan es am tu subtilitat e prudencia en l’art.	And it is possible for you to cauterize these cauteries with a pointed cautery, when you are skilled and prudent in the art.
E guarda te que trop no procesiscas en la cauterizacio, e sia adhurida la specitut de tota la codena per que sia adhurit tot le cors e pervengua entro als budels, quar la codena aqui es subtil; e sapias aquo.	And be careful not to proceed too much in the cauterization, and let the wound be covered with the entire body so that it adheres to the whole body and reaches inside the intestines, because the wound here is delicate; and know this.
Capitol .xxviii.	Chapter 28.
De perforacio de apostema del fietge am cauteri.	Of the puncture of an abscess on the thigh with a pointed cautery.
Quan endeve excitura o apostema en le fietge e voles saber si aquel apostema es en le carn del fietge o en la tunica de lu, lahoras si es en la carn del fietge, le malaute atrobo gravitat e dolor ses acuitat.	When the inflammation or abscess in the thigh has ended and you want to know if that abscess is in the muscle of the thigh or in its membrane, then if it is in the muscle of the thigh, the patient's pain and heaviness are increased.
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	And if it is in the membrane of the thigh, then the pain is greatly increased and often wearies the doctors with its treatment.
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	Therefore, the patient should be placed on their side; and then touch the location of the abscess with your finger; and then ignite the cautery that is shaped like a needle, the form of which has been described in the other page.
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	And then cauterize it with that and ignite the cautery until all the tissue is well cooked, until it reaches the bone, until it escapes into the sinus.
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	And then care for that until the cure of other abscesses until it is healed.
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	And do not use this form of cauterization unless the one that has been studied in the art of medicine is prolonged, and in which the most harmful effects have been known; but this one has experimented with some heating on this operation, nevertheless it leaves the other to us, and it is better.
Capitol .xxix.	Chapter 29.
De cauterizacio de plauresi.	Of the cautery for flatulence.
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	The ancient cautery for the flatulence of the ribs should be made in this way, and this is the one that you take from the long dry rib that is found, and it should be of the largest size.
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	And then immerse that in oil and place it in the fire, and cauterize with a cautery at that location which is between the continuity of the furcula and the collar; and with two small cauteries placed just below the part where the beard was left, and with two small cauteries in that area between the fifth rib and the scapula, declining a little towards the back; and with one cautery at the middle of the chest; and with one on the stomach, and with three cauteries on the back; and with one cautery in that location which is between the two shoulder blades, and with two cauteries on the sides of the chest, just below the cautery that is between the two shoulder blades.
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	And do not confuse your hand with the pointed cautery, it should be in the visible part of the wound.
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	And as was said in ancient texts that those who use pointed cautery like a ray and ignite it, they put it in that place between the ribs, until it reaches that pus and all the bad blood is removed, just as we have said in the abscess of the foot.
Mays en aquesta perforacio am cauteri no es ses temor, quar hu mor tantost ho accideys en le loc fistula a la qual no es sanacio.	In this perforation, do not be afraid that the pointed cautery might cause harm, because it has already happened in the location of the fistula that could not be healed.
Capitol .xxx.	Chapter 30.
De la cauterizacio de la melsa.	Of the cautery for the melon.
Quan tu curas la malautia de la melsa am aquo que havem dit de la curacio en la divisio e no confereys la tua curacio, lahoras cauteri en lu es segon tres manieras, las quals totas son dreyturieras, de las quals la una es que fassas tres cauteris o quatre linhan segon la longitut de la melsa segon la figura dels cauteris del fietge, la figura dels quals ha precedit.	When you cure the disease of the melon, do not follow what we have said about the cure in the division, but rather use three methods for the cautery, all of which are correct, one of which is to make three or four cautery strokes along the length of the melon according to the figure of the cautery of the foot, whose figure has been shown.
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	And each cautery should have the largest diameter of a small finger or a bit more, and the handle of the cautery should be the same handle as the one we mentioned in the cautery of the foot equally.
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	Do not place your hand on the cautery; and the patient should be on their side.
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	Another way to cauterize is that you ignite the cautery having two ends, which we mentioned in the chapter of dislocation of the muscle, and lift the cord that is at the end of the bed where the patient's left side is.
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And your elevation should be the one that lifts the cord according to the length of the body, so that the points can be made at the appropriate latitude of the body.
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	And then insert the two ends, light one, in the moment when those penetrate the cord from the other side.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	And then extract the cautery; and so four points are made.
E si voys, cauteriza am cauteri havent tres vernimentz.	And if you wish, cauterize with a cautery having three ends.
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	And then you should cure the pointed cautery so that it does not stay for too many days, because it is more beneficial than the other previous causes in treatment.
Capitol .xxxi.	Chapter 31.
De cauterizacio de ydropici.	Of cautery for hydropsy.
Cauteri no catz en ydropici sino en alcinte3 propriament.	Cautery is not used in hydropsy but on the spot itself properly.
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you cure the hydropsy, follow the methods of treatment that we have mentioned in the division and do not compare your treatment with it, but rather place four cautery needles around the navel, and one on the stomach, and another on the chest, and another on the back, and two between the ribs on the back, and one on the right side of the chest, and another on the stomach.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	And the depth of the cautery should be appropriate to the size of the needle.
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	And then leave the cautery in place so that it does not pull on the arm for a long time.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	And do not evacuate the patient from treatment near the pointed cautery that heals for which they are attached to him, and serve them with food and assistance for recovery.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The form of the pointed cautery that is cauterized on the belly should be like a claw according to the shape above, and the one that is cauterized on the back should be like an olive according to its previous shape.
Capitol .xxxii.	Chapter 32.
De cauterizacio de pes e de las coyssas.	Of cauterization of the feet and thighs.
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the feet are swollen with hydrops and filled with water sitrina, cautery the feet on the back of the foot in nocrati that is between the ear and the ring, and elevate your hand above the cautery and do not twist it; and then elevate your hand, and do not return to that entirely, because the water sitrina will evaporate.
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	And the cautery should be in this form: And then make two cautery on both thighs, and in each thigh make a cautery at the end of the cautery cuticular.
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	And the cautery should be as long as the cushion: and leave the knee and the other one at the lower part of the cushion; and over each cushion, two cauteries.
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	And leave the wound open for a long time so that some liquid may drain from it.
E aprop cura le am aquelas causas las quals havem ditas.	And take care of those causes which we have said.
Capitol .xxxiii.	Chapter 33.
De cauterizacio de cos de ventre.	Of the cautery of belly wounds.
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	When belly wounds are caused by injury and moisture entering the body, which is the digestive and retentive power in the stomach and intestines, and those are cured with the methods of treatment and not confined, and sometimes the patient suffers from a strong cauterization, then cauterize that one with a large cauterization on their stomach according to what was previously mentioned in the cauterization of the stomach, with the cauterization of the circle and with four cauteries around the delicate belly, with the clavilh cauterization; and with the cauterization on the alcatin over aloes, or with two cauteries.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	If you see the excessive moisture and the patient is tolerating it, then cauterize that area on the perineum and on the intestines, and strongly adjust two cautery devices near the stomach and away from the groin, which will greatly improve the condition.
Capitol .xxxiv.	Chapter thirty-four:
De cauterizacio de emorroydas antiquas.	On the cauterization of old hernias.
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	When there is a natural old hernia or one filled with thick humors or corrupted moisture, and it is cured by the method we have mentioned in the division, do not compare it to the other curative methods. Instead, cauterize three cautery devices on the small of the back, and two on the abdomen.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	And if you find that the stomach of the patient is inflamed, the food is not digested, and the face is swollen, then cauterize that area on the stomach with a large cautery as previously mentioned; and use one cautery device on the back, and another cautery device on the belly, using a claw-like cauteri, and leave the cauteri in place for some time, and then cure the patient so that they are healed.
Capitol .xxxv.	Chapter 35.
De cauterizacio de atheyl aprop la abscizio de lor.	About the cauterization of the urethra near the opening of their abscess.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you cut the urethra, you should use a cautery that resembles a ray.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Then insert that burning cautery into the cut urethra, and ensure that it reaches the opening of the vein from which the pus comes.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And do this once or twice, if the wounds are too large, then cauterize each of them after you have recovered, and cure those affected by applying that which you give them from the ointments before they are healed.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	And if you cauterize with a large cautery on something, it is more dangerous.
Capitol .xxxvi.	Chapter 36.
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	About the cauterization of fistulas that are formed in nature between their parts.
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When nature does not obey the work that we have recommended in its place, and the patient is frightened by that, then heal with cauterization.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	When a person has an abscess in the natural position behind, and it is ancient, pierce it and drain off the corrupted fluids, and then apply a soft cloth that is suitable for that area, and know the amount of its depth and place it in front.
Aprop igneys le cauteri que es semblant a ray.	Then use a cautery that resembles a ray.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	And then put that lit cautery into this abscess, and according to the amount in which it intersects the cloth.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	And repeat with that cautery until those corrupted parts are burned away once or twice or three times, according to your need.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	And be careful not to burn the nerves and veins; or if the abscess goes to the core of the bladder or the core of the intestine, then be careful of all those places; and do not do that unless the abscess is in a fleshy place and you think it is not penetrating.
E aprop cura le loc entro que sia sanat.	And then care for the place until it is healed.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	And if the wound is sealed, and the matter has been removed from it for a long time, then you will know that it has been completely cured.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	And if the matter has not been removed from it for a long time, then you will know that it is penetrating into the bone and corrupting it, or that something similar to those causes from which it will remember the memory in its place.
Capitol .xxxvii.	Chapter 37.
De cauterizacio dels ronhos.	Of the cauterization of the lungs.
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When there is pain in the lungs due to cold or thick inhalation, and when the patient's chest is closed, then you should cauterize that over the lungs with a pointed cautery on each lung, using a needle of which the remembrance is needed.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And if you cauterize it too much, then do it a little later, so that three cautery lines will come, and they will be more effective in healing.
Capitol .xxxviii.	Chapter 38.
De cauterizacio de la vesica.	Of the cauterization of the bladder.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When the bladder is weakened and softened by injury and moisture, so that the patient cannot hold back urine, then cauterize that part of the urethra which is closest to the bladder, with a thorn from a thistle, and cauterize another part directly with a cautery, and another in the opposite side of it.
