Ayssi comensan las paraulas de Albucasim .	Thus begins the language of Albucasis.
E aquesta obra es milhor en tota obra e pus leugiera.	And this work is better in all works and more useful.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	And the space between the two points should be equal to the thickness of the said.
Capitol quart.	Chapter Four
De la cura de cors de lagremas agudas e aciduas dels huels.	On the treatment of bodies affected by sharp and acidic humors from the wounds.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When the acidic humors are in the body, and they affect the head of the patient, and there is no cause for medical cure in that area, and the face of the patient becomes swollen and feels pain in their forehead as if it were the path of worms, and the wounds of those are exhausted, humidified in such a way that their fur is already known, and their feathers are scraped by the acidity of the tears, the ancient methods in the cure of those of this operation, and they call that cure am spassa.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And you command the patient to shave the hairs that are on their forehead, and then make three incisions equally spaced according to the length of the forehead.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	And if the length of the incision is two times: the first incision should be equally distant from the length of the nose in the middle part of the forehead, and the second according to the length of a little movement of the eyelids which are in the lacrimal, and the third on the other side.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	And beware of the beginning of the arches that are in two layers, and extend your hand from the continuation of the jaws.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	And if the space of each beginning is three times the amount of that adjusted.
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a cloth sponge or dry cloths, moisten them with the ones that dry the wound.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	And then place the sponge between two sharp extremities, of which this is the form of the incision of it:
que es de la partida des templas entro a la segonda inscizio.	which is from the part of the temples entering the second incision.
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	Excise all the connective tissue that is between two incisions above the bone, and then do that from the first incision towards the second incision.
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	And then place a sharp instrument called a scalpel on one side and another not sharp on the other.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	And place your hand on the side of that sharp one against the flesh attached to the connective tissue, and on the other side inside the bone, and push it until it reaches the second incision, and excise all those veins that descend from the head to the hips.
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	While continuing to inspect this appearance of the codex, and then perform that action in the middle fissure between the other fissures.
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	And when an equal amount of blood has flowed, express the places of the feet's veins that are compressed.
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	And then place your hand in each of the hollows of old age, and place it on those wounds that are open and oozing and inflamed, and make sure they do not become abscesses.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	And on the third day, remove the bandage and administer a large amount of warm water or tea, and then care for that wound with an ointment made from basilicon and rose oil and other things until the wounds are healed.
Capitol .v.	Chapter V.
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	About the treatment of splinters by cauterization and the wounds that descend from the parts divided from the head.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	When a vein is cauterized and continues, and sometimes the wounds of the patient are small, and their appearance has been weakened, and their eyelids are ulcerated and they pull out their hair, and in the front of the head there is sharp pain and subsequent extremity, then know for these accidents that the materials and cauterization do not come from any other veins than those from the parts divided from the head.
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	The best cure for these is as follows: order the patient to turn their head, and then make a small incision on the right side of their forehead (starting from the left temporal bone and going into the right temporal bone; and the incision should go through the bone), until it is revealed.
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	Dry out the entire wound with a dry cloth or dry gauze, and then fill it between the two lips of the incision on the old man's cheek or with the gauze.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	Then sprinkle some powder that is usually used to prevent abscess formation.
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	And when you see that the abscess has decreased, then make a small incision into the bone where it begins in the flesh, and then apply the drying regimen that is used to dry out the flesh, as if you take two parts of wheat flour and four parts of collofania and mix them, and from this make a paste and administer it to these wounds on the raw flesh.
Capitol .vi.	Chapter VI.
De la cura de aquo que catz en las aurelhas.	About the treatment of that which is in the armpits.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	All the causes that are in the armpits are of four species, one being a mineral stone or a cause similar to a stone, such as iron and rust, another being a plant such as thistle or fava bean, another being a fluid cause such as water and vinegar and their likes, or some animal.
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	And therefore when a stone is in the armpit or another cause similar to those causes that do not adjust or believe in the armpit, and press the armpit to the sunlight, and if you see the stone, then distill some cause of violent oil or vinegar into that place, and administer the extraction of it, and make the nose sniffing in condition, and open the nostrils for the coming of sneezing.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	And then place some cloths or wool around the armpit, and extend the armpit to the parts above, because moisture is forgotten in these causes.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	And if it is not obtained, then administer extraction with the instrument called the epithetic epicaridian subtle of which this is the form:
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	And if the instrument fails, then it is good; otherwise, administer extraction with the subtle needle of double use.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	And if it is not obtained by that, then make a needle of aram and introduce the end of the needle into the auditory canal and close the environment of the needle with wax and softened oil so that it is not pushed in but the needle.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	And then extract the teeth with great force, as many teeth as we have found.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	But if it is not obtained in this way, then take some alum or old-fashioned material and place the amount of alum or old-fashioned material that is used for extracting teeth on the end of a needle, and wrap it decently over that placed area.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	And then introduce that into the auditory canal with ease, and dry the ear from the moisture.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	And if all the causes that we have mentioned are not forgotten, then you should proceed to lance the abscess or treat the spasm.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	The method to lance that is to first disinfect the patient's vein septic and extract the second from the first, and then make that incision between your fingers and convert the wound to the parts above, and perform a small cut on the edge of the wound where the pus is located.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	And if the incision is of lunar shape until it reaches the bone, and the bone found, then lance that if possible with appropriate instruments; and then make the incision in that hour at speed, and cure that before it is healed.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	And if the cause is one of the gases that I believe and it is inflated, then administer the cure and extraction of it; but if it does not obey your assistance, then you take a thin spatula according to this form:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	and apply that remedy to that abscess which has fallen into the ear canal.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	and do not do that when you think that that has already been moistened by the steam from the ear canal, and pause that in small movements, and protrude those with pincers or forceps, or at the beginning there is a hole like this, which is praised for the extraction of it.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	In the water that is introduced into the ear canal, which the patient uses for sneezing conditioned at the beginning, and fills the ear with an old cloth, and place a towel over that ear in which the water is, and if by that it is forced out, good; and if not, take many small stones according to the length of the said, and bake those in the fire for a short time, and the patient inserts one of those into the opening of his ear canal and strikes another stone over the stone that is inside the ear.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	Therefore do not stop this treatment until all the water is drained.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc i, e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And once the water is drained, you take paper or rags, and place one end in the wound and extend the other end over the fire until it is burned completely.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And then put another rag and make so many wounds until all the water is drained, and remove that which was under the cannula as mentioned above of the extraordinary stone.
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	In the extraction of beasts entering that wound, if it is a small one, as mentioned above in the division; but if it is a large one that causes pain to the side of the abdomen, then administer the extraction of it with gentle and circular movements, and the cause of it is the least of all other causes that occur in the wound.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	In the extraction of worms that generate in the wound, when you treat that which we have mentioned above in the division and in the treatment of distillations and do not compare your treatment, then cover the wound with sunlight.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And if here appears any cause of worms, then extract that small or sharp instrument, but if no cause appears, then take a narrow and wide needle of the following form:
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	And insert the thin end of the needle into the earhole according to the amount that the patient can bear; and then pull out strongly with that, and do this movement repeatedly until all the worms are expelled.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	But if they do not obey you, then open and close the circuit of the needle with the following cream that we have mentioned; then administer distillations that have been used in the past for the treatment of worms, and look for this in the treatise on distillations.
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And your emission is the one that you use to apply the medical oils into the earhole with this instrument of which the following is its form:
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	And make it of silver or iron, narrow, in which there is a small hole, and put it on top.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And so it should be done as if they are in the cavity of the catheter for containment here where it is necessary.
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	And if you wish, take the ray and wrap it in the end of the catheter decently, and then pour oil into the cavity of the ear, or some herb, or whatever liquid from these medicines in the catheter — and that is in the earpick —, and then insert the ray above and express your hand on that, applying a warm compression to the area until the oil is expelled into the cavity of the ear and the patient feels the oil penetrating.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And that which is in the earpick should already be heated slightly by the fire.
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	And be careful that the cause of what you will distill in the earpick is not too hot, because the medicines of the earpick cannot bear it.
Capitol .vii.	Chapter VII.
De curacio de opilacio de aurelhas.	Of the cure of opacification of earwax.
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Some people have wax in their ear canals from birth, and this has happened to some men, opacification in the meat of the earpick due to plaque or no wax at all in that area; and this opacification is sometimes made in the prepuce of the tragus of the earpick which does not allow the evacuation, and sometimes in the parts before.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	And in that part of the patient where they do not understand the diagnosis, it is in the major difficulties for healing.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And in that part where you have achieved the diagnosis, place the patient's ear to the sun and look at that.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And if you see an abscess appearing, open it with this thin needle of which the following is its shape:
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the tip of it in which the width is small has one part sharp and the other not; and the needle is two lions wide so that it does not pierce the ear.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	And if the abscess is made of flesh in the ear or in its meat, then open it with those small and pointed needles and pierce it with great force until all the flesh is out.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	And if the abscess is in the front of the ear, then take a thin needle and burn it with fire for a short time, and then put it into the meat of the ear.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	And so if the patient has felt an oppression that facilitates that which they have, due to the weight of the effort, the pressure of it facilitates; and be careful not to press the nerves of the ear.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	And so place a cloth of the second quantity of the width of the trachea that you have wrapped in the groin; and do this for several days until you are sure of the consolidation of the wound; or take any and push it into the abscess and powder it over it according to three, and use it; and if you see that the ear is already infected, then cover it with a cloth and replace it with another that you have wrapped in a cerot that is made of oiled rosin, until the abscess is safely drained; and cure it within that time when it is healed.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	If there is an outflow of pus, then submerge a cloth or cloth in cold water and place it over the ear, and use the other cure that restricts the flow of pus, which is called in the treatise on distillation.
Capitol .viii.	Chapter VIII.
De cura de athezil le qual endeveno a las palpebras.	On the treatment of azoth, which occurs in the eyelids.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	Azoth that sometimes occurs in the eyelids of the eyes, some are wet, and others are dry.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	Therefore, you should hold those eyelashes or eyelids, and cut those eyelashes from their roots, and place your hand over the areas according to the following.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	If pain is caused by blood flow from a vein, then you should cauterize those eyelashes with a thin cautery.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	The best cauterization is to remove the incisions and dry areas when there is any cause of the eyelids; and when the fire is applied, those eyelids are burned and do not return.
Capitol .ix.	Chapter IX.
Cura de grandeyssa que veno a las palpebras dels huels.	On the treatment of granuloma that occurs in the eyelids of the eyes.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	Some dry areas occur in the eyelids of the eyes, which are similar to granuloma in their strength and hardness, and by growing it is called.
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	And there is an accumulation of thick humidity under and above the eyelid.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	Therefore, the operation in them is to consider if the large ones come from that which appears on the eyelid and is moistened to all parts; and the cause of it is unclear.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	Therefore, make an incision through that which is on the eyelid and remove all parts that facilitate its escape, and then suspend it with sutures and cut off that part.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	But if you are not able to make the incision of it because it does not penetrate the eyelid at all, then it is not known in any case.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	And if the figure is large, then you adjust it with sutures and cure that part until it is healed.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	And if it is small, then it will not be a problem for that part which the oil of it restores to that and encases.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	And if the large ones are declining to the parts inside of the eyelid, then remove the eyelid and suspend the large one with sutures, another that you indicate for incision, and press all parts, and if the eyelid is elongated by the incision, then it is not known in any case.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	And at the beginning, wash the wound with salt water; and cure the area with that which is inside that will heal it.
Capitol .x.	Chapter X.
De la cura axcirnah en la palpebra desus del huel.	Of the treatment of the eyelid above the wound.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	Axcirnath is gray, which is generated in the tunics of the eyelid above, and mainly in the children, aggravating the wounds of those and causing their catarrh to the most; and they cannot see the light of the sun because of that which tears are caused to them.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	And so you see them talking all the time on their faces, and on their faces when they sleep; and they have their eyelids closed with humid tears, which have already covered inflammation, and imminent danger appears in the eye; and when you press the area with the fingers, you can feel the inflammation inside them.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	And some operation is performed on that which the patient places on their head and on the cloth that covers them, and they make a circle according to the amount that contains all parts, and they place that over the other and press with the fingers of all in order that inflammation be added in the middle of the circle, and they make an opening in the middle of that humidity which is incident in the incision through the latitude, and the incision is not greater than the incision that is made in flap surgery.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	May you cut the vein completely until you reach the arch, where in the most dispositions, processes, and arch, archernach is used for healing through a white, grayish slit.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	Then extract those bandages that you have wrapped between the thighs, called parts of the foramen, and rotate them between your right and left hand until they are spread out.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	And be careful not to adjust in the slit so that the space does not reach the bone and causes those.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	May you not adjust in the arch at the beginning of the slit, but rather adjust a small bandage in the slit before proceeding with archernach; and then extract those that we have mentioned; and moisten cloths in water and vinegar, place them over the area, and strengthen those bandages.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	And know that they sprinkle salt and place it in the cavity of the slit to prevent that which is left from that moisture.
E aprop cura aquel entro que sia sanat.	And then care for it until it is healed.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	If an abscess occurs in that location, then treat it with a healing ointment until it is healed.
Capitol .xi.	Chapter 11.
De manieyras de tactimi del huel.	About the methods of touching the heart.
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	When the lids of the heart are not adjusted by natural hairs and are antiquated, then those methods are applied to the heart and made to become ways of maladies such as frequent tears and softening of the lids and a cloth until that cause of destruction of the heart which is called tactinir of the heart, and it is cured in four ways: either by cauterization with fire; or by acute medicine according to what is said in the chapter on cauterization; or by incision and suture; or by cannulas as I will say.
E donc cove que tu pauses le cap del malaute en le tieu se; aprop converteys la palpebra del uelh am la tua ma sinistra, e si es convertida, bo es; e sino, entromet agulha en aquela en la qual sia fiel de la partida pus dejos de la palpebra, e fay penetrar la agulha am fiel desus, e aquo sia — prop del marge de la palpebra en le qual naysso les pels — prop dels pels, e tira le fiel a las partidas desus am la palpebra, e converteys aquela am le ray.	And therefore cover that the head of the patient is in your left hand; then convert the lid of the heart to your left hand, and if it is converted, it is good; and if not, insert a needle in the part that is closest to the lid behind the lid, and make the needle penetrate the part above, and that is — near the margin of the lid where the hairs are — near the hairs, and pull the part above to the lid, and convert it to the right.
E aprop fen en la partida dedintz de la palpebra dejos les pels ajustatz am spatum inscidentz del lacrimal major entro al lacrimal mendre; e aprop extratz le fiel e pausa dejos la palpebra polvilhs petitz de coto o de drap, e aprop senha sobre la palpebra am tenta, e sia ayssi cum figura de fuelha de mirt.	And approach the part behind the edge of the eyelid, between the hairs, with a blunt instrument that is inserted into the lacrimal canal; and then remove the hair and place it behind the eyelid, covering it with small pieces of cotton or cloth, and then place your finger over the eyelid to hold it in place.
Mays empero cove que sia la figura segon la quantitat de helevacio de la palpebra, quar aquo ja es diversificat en les homes, quar de aquels es le quals indigeys que sia inscidit de la palpebra gran quantitat segon la quantitat per la qual la palpebra es mollificada.	However, it is important to note that the figure should be adjusted according to the amount of eyelid elevation, as this varies among men, and some may require a greater incision into the eyelid depending on the amount by which the eyelid is softened.
E aprop fen am le spatum sobre las doas linhas las quals has senhadas, e comensa del lacrimal major entro al lacrimal menor.	And then approach the blunt instrument over the two lines that you have placed, and begin at the lacrimal canal and insert it into the lacrimal duct.
E si’ la tua fissura prop dels pels naturals ayssi cum es la grossetut del rey.	And if your incision is close to the natural hairs, it should be as large as possible.
E aprop met le onci en un dels dos angles de la codena, e aprop excoria aquela tota, e aprop ajusta am la scitura las doas labias am gula o fiel de lana subtil, e abstergeys le sanc, e fay adherir aquo que superflueys dels fiels sobre dos sobrecils am alcunas causas enviscans, si voles far aquo, e sino, non cures.	And then place the needle in one of the two angles of the eyelid, and scrape off all of it, and adjust the stitch on both lips with some thin thread or wool, and wipe away any excess, and if you wish to do so, you can also apply some ointment to the eyelids.
E aprop leyssa la sutura dels fiels entro a tres dias o quatre, e aprop cura aquo.	And then loosen the stitches of the wounds in three or four days, and care for that.
E si vols, layssa la plagua ses sutura, e cura aquela am aquo que exsicca e constrenh, quar la palpebra es alevada deves la sigillacio de la plagua e la agreguacio de lu; mays sutura es milor E donc aysso diysso les antics de taxanir.	And if you want, leave the stitches of the wound open, and treat that with a drying and constricting agent, because the eyelid is raised due to the sealing of the wound and its swelling; but open stitches are better, and therefore apply this remedy for two or three days.
Mays empero en lu sia sollicitut sobre le malaute, e es de bona operacio, e no es en lu temor.	But it is also important to be careful with the patient, and this operation is good, and not in fear.
