Ayssi comensan las paraulas de Albucasim .	And now begin the words of Albucasis.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	And if while working on another wound, blood flows from the rib, at that time you should apply pressure to that blood, or with the pointed cautery, or whatever fills the old wound site, and press your hand until the blood is stopped.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	And if any of those causes is not present, then place your hand over the location where the blood is flowing, and apply cold water to the area with great coldness until the heat subsides, and then press it as appropriate.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	And the thing that is more useful in extracting bone is to cauterize the vein with this cautery having two points, because you have sensed the two places where it enters and exits, and pause when they reach the bone and cut the vein into two parts, so that the part between its extremities does not become consolidated by this cautery.
E aquesta es la forma del cauteri:	And this is the shape of the cautery:
E sia la acuitat dels dos cotels esemps.	And the sharpness of the two points is as follows.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	But if the sharpness of two points is not enough, because if they approach each other too quickly, they do not cut the flesh but rather tear it.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Therefore, in those cases where there is some thickness, the heat of the fire should be applied to those places and the flesh should be cut more easily.
E aquesta obra es milhor en tota obra e pus leugiera.	And this work is better in all works and more useful.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	And the space between the two points should be the thickness of the aforementioned.
Capitol quart.	Chapter Four.
De la cura de cors de lagremas agudas e aciduas dels huels.	On the treatment of bodies affected by sharp and acidic wounds of the wounds.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When the acidic wounds are on the body of those who have veins above their forehead, and there is no cause for medical cure in that area, and the face of the patient becomes swollen and feels pain in their forehead as if they were suffering from a migraine, and the wounds of that person are extended, humidified in any way that their hairs are known, and their eyelashes are scratched by the acidity of their tears, the old remedies in the cure of those of this operation, and name that cure as the spread.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And if you command the patient to shave the hairs that are on their forehead, and then incise three equal fissures along the length of the forehead.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	And if the length of the fissure is two as mentioned: the first fissure should be equally distant from the length of the nose in the middle of the forehead, and the second according to the length of a little movement of the eyelids that are in the lacrimal, and the third on the other side.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	And beware of the first ribs that are in two layers, and extend your hand from the continuation of the jawbones.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	And if the space of each incision is equal to three fingers, adjust it.
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a sponge or dry cloths, use them to absorb the blood.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	And then place the flat of two sharp edges, of which this is the shape of the incision of it:
que es de la partida des templas entro a la segonda inscizio.	which is from the part of the temples to the second incision.
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	Scrape all the scar tissue that is between two incisions, and remove it from the incision towards the second incision.
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	And then spread this flat and enter it into the first incision another time with another instrument called a lancet, sharp on one side and not sharp on the other.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	And place the sharp side of the lancet on the flesh attached to the scar tissue, and the flat side on the bone, and push it until it reaches the second incision, and cut all the vessels that descend from the head to the feet.
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	While continuing to apply this remedy to the affected area, and then do so between the two fissures.
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	And when enough quantity has been expressed from the bladder, express the places of the feet of the bladder congealed.
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	And then place your hand in each fissure, and place your hand on those powders that are in vinegar and oil and vinegar, and make sure that it does not become an abscess.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	And on the third day, remove the bandage and administer a large amount of warm water or tea, and then care for it with an ointment made from basilicon and rose oil and other ingredients until the wounds are healed.
Capitol .v.	Chapter V.
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	Of the cure of gravels by cataplasms and the humors descending from the parts affected by the chapter.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	When any pain from gravels continues and the humors descending from the parts affected by the chapter, and sometimes the eyes of the patient become weak and their sight is weakened, and the eyelids are ulcerated and the eyebrows are falling off, and in the beginning of the chapter there is an acute pain and subsequent exhaustion, then you know for these accidents that the materials and cataplasms do not come from any other veins but those descending from the parts affected by the chapter.
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	And the best cure for those is this: order the patient to turn their head, and then insert a small incision on the left side of the forehead (and start the incision from the right temple towards the left; and the incision should go through the bone), until it reveals the bone.
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	Dry all the pus with gauze or dry cloth, and then fill between the two lips of the incision with old cloth or cloths.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	And then clean the wound with warm water and oil to prevent it from becoming infected.
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	And when you see that the abscess has decreased, then scrape the bone until it begins to touch the flesh, and then apply the drying regimen that is made of flour and collofania mixed together, and apply it on the wound as if it were a natural part of the flesh.
Capitol .vi.	Chapter 6.
De la cura de aquo que catz en las aurelhas.	Of the treatment of that which catches in the arches.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	The entire cause that catches in the arches is one of four species: either it is a mineral stone or a similar cause to stone, such as iron and verdigris, or it is a plant such as celery or fava, or it is a fluxible cause such as water and vinegar and its similar substances, or some animal.
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	And therefore when a stone catches in the arch or other similar cause to those causes that do not adjust or believe in the arch, and if the arch is exposed to the sun, and if you see the stone, it is distilled into some cause of violent oil or sage, and then administer the extraction of it, and make the patient sneeze by conditioning, and open the nose against the coming of a sneezing.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	And then place some cloths or wool around the arch, and extend the arch to the parts above, because these remedies are often forgotten in these causes.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	If it is not obtained, then administer extraction with the instrument called the epicaricatory needle of this form:
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	If the needle is obtained, then it is good; otherwise, administer extraction with the thin needle of double puncture.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	If the needle is not obtained, then make a needle from iron and insert the end of the needle into the ear canal and seal the area around the needle with wax and softened beeswax so that it does not fall out except the needle.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	Then extract with the strong attraction of the instrument that we have found.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	If it is not obtained in this way, then take a piece of raw or prepared alum or the amount that is taken for the tongue, place it at the end of the needle, and cover it with a clean cloth placed on the side where it was placed.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	Then insert that into the ear canal and facilitate the ear from moisture.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	If all the causes that we have mentioned are not forgotten, then you should cut away that part which developed into an abscess or spasm.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	The method of cutting away that part is to first bandage the patient's wound with the vein septic and remove the second bandage according to the method of the virtue of the patient, and then make a small incision between your fingers and convert the gold thread to the parts above, and do not put any grease in the location where the patient is most sensitive.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	And if the incision is in the shape of a crescent until it reaches the bone, and the bone is found, then cut away that part which can be removed with appropriate instruments; and then make the incision in that hour at a fast pace, and cure that part before it is healed.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	If the cause is one of the gases that we believe and it is inflated, then administer the cure and extraction of it; but if it does not obey your command, then you should take a thin spatula in this form:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	And administer to that person the abscission of that stone which has fallen into the ear.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	And do not do that when you think that that person is already moistened by the vapor of the ear, and place them in comfortable positions, and protrude those areas where there are nails or subtle gestures, or ab initially have such a thing, which is praised for the extraction of it.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	May one use water that has entered the ear canal as a condition for sneezing, and fill the patient's ear with old wool, and put it over the ear in which the water is, and if it is expelled by that, it is good; and if not, take many thin needles according to the length of the said, and cauterize those in the fire a little, and the patient should insert one of those in the opening of their ear canal and strike it with another needle over the water in the ear.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	So do not stop that until all the water is expelled.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc i, e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And then the water is poured into a container that you take with paper or cotton, and put one end of it in the ear and extend the other end into the fire until it is completely burned.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And then put another cotton and do this many times until all the water is boiled, and remove that which is under the name of the extraordinary stone.
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	In the extraction of beasts entering into that ear, if it is a small thing, it is cured with oil and a similar remedy, as we have said in the division; but if it is a large thing that causes pain to the brain, then administer the extraction of it by gestures and oncis, and the cause of it is more dangerous than all the other causes that are found in the ear.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	But in the extraction of worms that generate in the ear, when you cure that which we have said in the division and in the treatise on distillations and do not compare your remedy, then cover that you regulate the ear to the sunlight.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And if any cause of worms appears here, then extract that small or sharp instrument, but if no cause appears, then take a narrow and wide needle, like this is the shape of it:
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	And insert the thin end of the needle into the earhole according to the amount that the patient can bear; then pull out strongly with that one, and make those movements, until all the worms are removed.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	But if they do not obey you with the instrument, then open and close it in the circle of the candle as we have said; then administer distillations that have been previously prepared for the treatment of worms, and look for that in the treatise on distillations.
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And your effusion is the one that you use to pour the medicinal oils into the earhole with this instrument, like this is the shape of it:
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	And make that of silver or copper, narrow, in which there is a small hole, and put it on top.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And so it should be as if they are in the cavity of the catheter of continence here where it is necessary to insert.
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	And if you wish, take the rag and wrap it around the end of the catheter decently, and then pour oil or some herb or any liquid from these medicines into the catheter — and that is in the syringe — and then insert it above and express the oil onto the patient's abdomen so that the oil is expelled into the cavity of the catheter and the patient feels the oil penetrating.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And that which is in the syringe should have already been heated by fire for a short time.
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	And be careful that the substance you will distill into the syringe is not too cold, because the medicines of the syringe cannot withstand such cold.
Capitol .vii.	Chapter VII.
De curacio de opilacio de aurelhas.	Of the cure of obstruction of catheters.
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Some children and some older people who have not been perforated in the abdomen, and that has happened to some men, obstruction in the flesh of the catheter by plague or by no meat at all in that; and this obstruction is sometimes made in the entrance of the catheter which does not allow the excrement to pass, and sometimes in the parts forward.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	And in the case of a patient who does not understand the language, it is in the most difficult positions for treatment.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And in the case where you succeed in understanding the language, place the patient's ear to your lips and look at him.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And if you see an obvious sign, open that with the thin spatula of this shape:
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the end of it in which the width is small, one part is sharp and the other not; and the spatula is two lion feet long so that it does not touch the ear.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	And if the sign is caused by flesh born in the ear or in the chest, then use that thin and sharp needle to pierce it all before it is fully formed.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	And if the sign is in the front of the ear, then take a thin and sharp needle and hold it over the fire for a short time, and then put it into the flesh of the ear.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	And if the sign is caused by that which the patient finds difficult due to its weight, then press it with difficulty; and be careful not to press the nerves of the ear.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	And then place a cloth of the second quantity, as wide as the opening of the wound that you have covered with the Egyptian poultice; and do this for several days until you are sure of the consolidation of the wound; or take any other and insert it into boiling water and powder over it according to the triple recipe, and use it; and if you see that the cloth is already infected, then remove it and replace it with another one that you have wrapped in a cerate that is made with melted rose oil, until the infection has passed; and then care for it until it heals.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	If there is an outflow of pus, then submerge a cloth or towel in cold water and place it over the wound, and use the other remedy that restricts the flow of pus, which is mentioned in the treatise on distillation.
Capitol .viii.	Chapter VIII.
De cura de athezil le qual endeveno a las palpebras.	Of the care of atezil, which occurs in the eyelids.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	When certain symptoms occur at the pores of the skin, some are wet and others are dry.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	Therefore, you must hold the patient's hands or feet, and remove those spikes from their wounds, and place your hand over the affected areas accordingly.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	If there is pain due to the flow of unclean blood, then you should cauterize those parts with a thin pointed cautery.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	The best cauterization is to remove the wounds and dry symptoms when they return to the cause of their wounds; and when the fire has been cauterized, those wounds are burned and do not return.
Capitol .ix.	Chapter 9
Cura de grandeyssa que veno a las palpebras dels huels.	Treatment of large swellings that come to the eyelids.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	Symptoms that occur in the eyelids are similar to large swellings in their strength and hardness, and because they increase, they are called so.
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	And there is a collection of thick humidity under and over the eyelid.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	Therefore, the operation in them is to consider whether the greatness of it comes from what appears under the eyelid and is magnified to all parts; and the cause of it is unknown.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	Then make an incision in that place through the fissure, and remove all parts that facilitate its escape, and suspend it with a cord and cut it off.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	If you are not equipped with the incision of it if you do not put that it penetrates the eyelid at the incision by little by little, then in any case, it will not be noticed.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	And if the figure is large, then you adjust it with sutures; and heal it within that it is healed.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	And if it is small, then you will not be harmed by that which the oil of it restores it and encases it.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	And if the greatness is declining to the parts under the eyelid, then remove the eyelid and suspend the greatness with a cord, another that you indicate of incision, and press it on all parts, and if the eyelid by the incision is elongated, then it will not be noticed in any case.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	And at the beginning, wash the wound with salted water; and care for the area with that which is inside that will heal it.
Capitol .x.	Chapter X.
De la cura axcirnah en la palpebra desus del huel.	About the treatment of swelling above the wound.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	Swelling is gray, which is generated in the tunics of the eyelid above, and especially in those who are more affected by it, aggravating the wounds of those and causing them to lose their sight; and they cannot look at the light of the sun because of that which tears fall on them.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	And so you see them always speaking to their faces, and always speaking to their sleeping faces; and they have their eyelids closed with humid ones, which have already covered inflammation, and immediate danger of infection is apparent in the eye; and when you press the area with those, you center infection within those.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	And some way of operation is in that which the patient pauses his head on the pillow, and then pauses a cloth from him and from it makes a circle, and makes of it a circle according to the amount that contains all parts, and then pauses that over that and press all those that are in the middle of the circle, and then do in the middle of that humidity is incident on the fissure by latitude, and the fissure is not greater than the fissure that is made in flaubotomia.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	In the previous cavity where you are cutting the cord completely until you reach the arkernach, in the most common procedures, arkernach is done through a fissure according to the form of white glass.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	So extract those wet cloths that you have wrapped between the thighs called parts of the forehead and rotate between your right and left hand until it is dispersed.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	And be careful not to adjust in the fissure so that the space does not reach the wound and those below it.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	But if you do not see it at the beginning of the fissure, then adjust a small wet cloth in the fissure until you reach the arkernach; and then extract those we have mentioned; and then submerge cloths in water and vinegar and place them over the area and strengthen those wet cloths.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	And know that they sprinkle salt and place it in the cavity of the fissure so that that which remains of that wetness is removed.
E aprop cura aquel entro que sia sanat.	And then cure that which is unhealthy.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	But if an abscess occurs in the area, then treat it with healing ointments until it is healed.
Capitol .xi.	Chapter 11.
De manieyras de tactimi del huel.	Of the methods of touching the wound.
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	When the edges of wounds are not adjusted by natural hairs and are antiquated, then those methods of harmfulness are used as persistent tears and softening of the eyelids and bandages until that which is the cause of destruction of the wound, which is called touching the wound, and cure is done in four ways: either by cauterization with fire; or by sharp medicine according to what is said in the chapter on cauterization; or by making an incision and suture; or by cannulas as I will say.
E donc cove que tu pauses le cap del malaute en le tieu se; aprop converteys la palpebra del uelh am la tua ma sinistra, e si es convertida, bo es; e sino, entromet agulha en aquela en la qual sia fiel de la partida pus dejos de la palpebra, e fay penetrar la agulha am fiel desus, e aquo sia — prop del marge de la palpebra en le qual naysso les pels — prop dels pels, e tira le fiel a las partidas desus am la palpebra, e converteys aquela am le ray.	And therefore cover that you place the cap of the wound on your left; then convert the eyelid to your left hand, and if it is converted, it is good; otherwise, insert a needle in the part where the wound is closest to the edge of the eyelid, and let the needle penetrate from above, and that which is - near the margin of the eyelid where there are no hairs - near the hairs, and pull the thread upwards above the eyelid, and convert it to the right.
E aprop fen en la partida dedintz de la palpebra dejos les pels ajustatz am spatum inscidentz del lacrimal major entro al lacrimal mendre; e aprop extratz le fiel e pausa dejos la palpebra polvilhs petitz de coto o de drap, e aprop senha sobre la palpebra am tenta, e sia ayssi cum figura de fuelha de mirt.	Approach the part of the eyelid behind the eyelashes and insert the spatula into the lacrimal canal; then remove the foreign body and place it under the eyelid, wiping it with a small piece of cotton or cloth, and then apply pressure on the eyelid with your finger, as if holding a fan.
