Ayssi comensan las paraulas de Albucasim .	Thus begins the vocabulary of Albucasis.
Capitol .xiiii.	Chapter XIV.
De la cura de ehacrati le qual es fayt en la palpebra dejos.	Of the cure of consolidation that is made in the eyelid.
Aquesta alxacrati la qual es fayta en la palpebra dejos, la qual es nompnada vertadierament alxacrati; e es de lu alcuna natural, autra accidental.	This consolidation that is made in the eyelid, which is not properly called consolidation; and it is of two kinds, one natural and another accidental.
Mays accidental es fayta per plagua o per scissura o per cauteri o per autres semblantz.	Accidents are caused by pressure or by cuts or by burns or by similar means.
E la via de la operacio de lu es que tu prenguas una agula en la qual haga fil doble, e fiques aquela en la carn, e que la fassas passar del lacrimal de senestre entro al lacrimal dextre, entro que·l fil pervengua en las doas extremitatz de la carn.	And the method of operation for this is that you take a needle with which to make double thread, and place it in the flesh, and make it pass from the left lacrimal into the right lacrimal, until the thread reaches both ends of the flesh.
E aprop exten la carn a las partidas desus am la agula e cus aquela am la agula, e inscideys am spatum ample.	Then extend the flesh to the parts above the needle and hold it with the other hand, and cut away from the needle, and insert it into the wide gap.
E donc si retorne la figura de la palpebre segon que cove, bo es; e sino, pren le ray e pausa aquel en la figura fenduda, e am aquel converteys la palpebra, e fen las doas fissuras en le latz de la palpebra dejos.	And if the figure of the eyelid returns to its original shape, it is good; otherwise, take the razor and place it on the broken part, and convert that part of the eyelid, and make the two cuts on the side of the eyelid.
E sian las extremitatz de las doas fissuras de dos angles de la inscizio, la qual has fayta entro que concurren, e sia de lor fayt angle entro que quan se congreguan sia fayta figura de lor.	And make the ends of the two cuts at two angles of the incision, which you made when they converge, and make the other end of each cut at an angle so that when they meet, a figure is formed.
E aquesta figura es letra greca: la landa.	And this figure is written in Greek letters: alpha.
E aprop osta la carn aquela per la quantitat que es le latz de lu agut dejos de lu, aquo que siec la palpebra.	And then remove the flesh from that part as much as it is thick after the pain, which is called the eyelid.
E aprop ajusta las partz seperadas e cos aquelas am le fil de lana; e aprop cura aquelas am aquo que havem dit de las medicinas mollificativas e de las calguas entro que sia sanat.	And then adjust the separated parts and bind them with wool thread; and then care for those with what we have said about softening medicines and poultices until they are healed.
E si alxacrati endeve per fissura o sutura o cauteri, lahoras cove que tu fendas am fissura plana sobre les pels de la palpebra segon que es precedit.	And if you have made an incision or suture or cauterization, then you should make the incision flat on the skin of the eyelid according to what is prescribed.
E aprop separa am la calgua entre doas labias segon que havem dit.	And then separate the poultice between two lips as we have said.
En la suma del sermo de la cura de alxacrati quan es desus o dejos, que corra en lu operacio, segon que es preparat de la forma de alxacrati, e aquela es en forma de motas diversitatz.	In the sum of the sermon on the cure of incisions when they are raised or lowered, that it should run in the operation according to what is prepared in the form of incisions, and that is in the form of various shapes.
E le artifexs savi totz temps prepara engen en quascuna manieyra la qual es possibla a lu entro que fassa retornar la figura a la forma natural, o prop de aquela, e aquel malaute segon que a lu conveneys de la operacio e dels strumentz en las majors disposicios.	And the skilled craftsman always prepares an instrument in each possible way that is possible to enter and make the figure return to its natural form, or close to that, and the patient according to what suits the operation and tools in the best arrangements.
Capitol .xv.	Chapter 15.
De la adherencia de la palpebra am la conjunctiva o am la cornea.	Of the adherence of the eyelid to the conjunctiva or to the cornea.
Quan accideys aquesta consolidacio a motz homes enayssi que sia solidada la palpebra pus desus am le album del huel, e sia prohibida de la facilitat del movement e de las suas obras naturals, donc cove que tu entrometas la extramitat del ray dejos la palpebra, e eleva en sus aquela, o exten aquela am le unci.	When this adhesion occurs in men who have their eyelid stuck under the eyebrow and prohibited from its natural movement and works, you must insert the extraction of the ray below the eyelid, and raise it to that place, or extend it to the eye.
E aprop tu inscideys la adherencia am spatum subtil, le qual no sia am acuitat de las inscisios, habantz obtus un petit per so que·l malaute no sia inquietat deves la operacio, e remau le spatum que no ledesca le huel am la sua acuitat.	And then you insert the adhesion into a thin space, which should not be sharp to avoid discomfort for the patient and leave the space that does not descend to the eyelid and its sharpness.
E sia la tua inscizio quays excorjan aquela adherencia am facilitat entro que sia retornada la palpebra segon la sua forma natural e que sia sanada tota la adherencia.	And your incision should be made with ease until the eyelid returns to its natural form and the entire adhesion is healed.
E aprop tu met en le huel aygua salada am la qual tu laves; o distilla en lu de zunia dissolvut en l’aygua.	And then you put salt water in the eyelid, which you wash; or distill it on it with a solution of zinc in the water.
E aprop separa entre la palpebra e l’huel am calgua de li, e pausa sobre le huel lana infuza en album de huou, e aprop le tertz jorn usa de causas consolidativas entro que sia sanat.	And then separate between the eyelid and the corner of the eye, and place over the eye a piece of lint soaked in oil of roses, and then use the third day's remedy of consolidating agents until it is healed.
Capitol .xvi.	Chapter 16.
De inscizio de ungla e de eminencia de carn dels lacrimals.	About the beginning of an eyelash and the thickness of flesh of the lacrimal glands.
Sapias que ungla es segon dos manieyras, quar o es nervosa, e es semblant a ciphac dur subtil; o es no-nervosa, semblant a humiditat blanca congilada, la qual quan ferr la toca, o es forsat aquela prendre am onci, es abscindida e le onci no es ficat en lu.	You should know that an eyelash is of two types, either nervous, which is similar to a fine hair; or non-nervous, which is similar to white flakes, the type that when it touches the eye, often takes on the form of a wart and is then removed.
E amdos las specias no comensan sino del lacrimal major entro que va petit a petit que cobre la vista e prohibeys le lum e·l movement de huel.	And these special types do not begin until the main lacrimal gland, which gradually covers the vision and prevents light and movement of the eye.
Mays la manieyra del obrar en la inscizio de lu es que·l malaute pause le sieu cap en le tieu se, e aprop obre les huels de lu, e eleva la palpebra am la tua ma, e aprop colligeys la ungla am onci de pauca duplicacio e exten aquela a las partidas desus.	When the worker begins at the beginning of the eye, he should place his hand on the patient's head and raise the eyelids with his other hand, and then lift the eyelid with his thumb, and then collect the eyelash from the wart with a pair of tweezers and extend it to the parts above.
E aprop pren una agula e entromet en aquela un pel de cavalh o de buou o de vaqua, o de semblantz, o de fiel fort, o duplica la extremitat de la agulha petit a petit e fica aquela en le mieg de la ungla, e penetra aquela am la agulha, e lia am fiel la ungla; e exten aquela a las partidas desus, e excorja am le pel le latz de la ungla lo qual siec la pupilla.	And then take a needle and insert it into the horn of a cow or of a buffalo or of a wild boar, or of similar animals, or of strong iron, or by doubling the tip of the needle little by little and inserting it at the base of the nail, and pressing firmly on the nail; and extend it to the parts above, and scrape off the skin from the side of the nail that is the pupil.
E ayssi tu sieguas aquela am le pel entro al derier de lu.	And continue to insert the needle into the back of the patient.
E aprop tu inscideys le romanent en la razitz del lacrimal am spatum subtil o am petitas forfexs, e leysa la carn del lacrimal natural per so que per inscizio de aquela no endevengua fluxs de lagremas continuabla.	And then you insert the thin wire or small forceps into the lacrimal duct and remove the flesh of the lacrimal duct so that it does not become continuously flowing tears.
E alscunas vetz la ungla am le sol onci estenduda o am fiel, ayssi co havem dit, e aprop sia excurjat am spatum leon del qual aquesta es la forma de lu:	And sometimes cut the nail with the sole or firmly extended, as we have said, and then scrape off the skin from the side of the nail that is the shape of this:
E guarda te que am le spatum no toques la tunica cornea e que avengua en lu ruptura, e que la pupilla sia perforada.	And be careful not to touch the corneal tunic with the wire and that it does not break in it, and that the pupil is perforated.
Aprop la inscizio geta en le huel un pauc de sal trissa o di cief fayt de siniar, e leyssa aquel entro al autre dia; e aprop cura aquel am aquo que cove entro que sia sanat.	Approach the injured part of the body with a small amount of salt or a piece of cloth spread out, and let it remain there for several days; then care for that part to ensure it heals properly.
E si la ungla no es nervoza e no podes metre la agulha, ni es ficada en aquela le onci, lahoras motas veguadas aquesta specia de ungla es curada am medicinas, e es sanada ayssi cum yeu e recomtat en la divisio.	And if the nail is not broken and you cannot insert the needle or it does not stick in that place, then use this type of needle to cure the injury with medicines, and it will heal as it should be and as recommended in the division.
E si tu vols inscindir aquela, lahoras tu obre le huel del malaute e pren spatum subtil leon de freul acuitat segon aquesta forma:	And if you want to cut that part, then begin by opening the thigh of the patient and taking a thin, sharp knife of fine sharpness according to this form:
am subtilitat.	with fine sharpness.
E si vezes que aquela es rarificada e es confugida e empren en aquela razit, lahoras distilla de la tua ora en le huel de cief fayt de siniar o am cief rog o am sal trissat, e opila le huel entro a l’autre dia.	And if you see that it is thinned and confined and placed in that place, then sprinkle your own urine in the area made of cloth spread out or with rose oil or salted salt, and cover the area for several days.
E aprop itera sobre aquela la operacio entro que sia remaugut tot aquo que es de lu, sino que·l contrari apostema caut sia en le huel, quar lahoras tu leyssa aquela, e cura al comensament la apostema entro que sia sanat.	And then repeat the operation until everything that is inside has been removed, but if the opposite pus is not in the area, then leave that part and cure the pus when it begins to heal.
E aprop itera la tua operacio sobre aquela am razo entro que sia sanat.	And repeat your operation until it is healed within that reasonable time.
La emenencia de la carn lacrimal, si notz en le huel per gran nocument, sia suspendut am onci; e inscideys aquela de aquela una partida, e no ultimes la inscizio per so que no inscidesqua fluxs de lagremas.	The inflammation of the lacrimal gland, if noticed in its location for great harm, should be suspended by an onion; and incise that part, and do not stop the incision because you do not want to stop the flow of tears.
E aprop distilla en le lacrimal cief rog e fayt de siniar entro que sia sanat.	And then drip in the lacrimal canal and let it heal within that reasonable time.
Capitol .xvii.	Chapter 17.
De inscizio de alguazardenic e de aquo que es nascut de carn ajustada en le huel.	About the incision of an abscess and about that which is born from flesh adjusted in the location.
Alcunas veguadas en les huels de alcus es nascuda carn roga, e es sobre-pausada entro que cobre la pupilla, o apropinqua o estrenh sobre las palpebras e fort leu comprem las palpebras a las partidas deforo e es assemblada a roza de balaustra.	Some flesh is born in the location of an abscess, and it is over-pressed before it covers the pupil, or approach or strengthen on the eyelids and strongly compress the eyelids to the parts deformed and it is assembled to the rose of a balustrade.
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	The operation is that the patient places his head on the chair; and then open the eyelids of that one and collect all that flesh with an onion convenient to that, and that with a forcep or a cestus; and then incise the flesh at the beginning until everything is finished by the cutter, and guard yourself from the location that you do not descend that which you should do your operation.
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	And your incision should be made at the same place where you inserted that or the flat blade which we have recommended in the beginning of the chapter, or with small forceps which are collected as soon as the shape of the wound approaches this chapter's end.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	Then, when your incision is completed and the entire wound has been cleaned, fill the wound with salt-soaked cloth, or pour in the powdered herb and similar to the corrosive medicines, and place a damp cloth over the wound until it is certain that an abscess has formed.
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	And if there is any cause for concern and the wound is not healing well, and you fear an abscess has formed, then drain the wound and treat that abscess with what cures that abscess, and repeat this operation until it is healed, and similarly treat the flesh that has occurred in the wound of this kind.
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	But if your patient has any other treatment for the wound by natural or accidental means, do not use iron, and do not place your hand in any of these operations until you have made sure that that member can bear that operation.
Capitol .xviii.	Chapter 18.
De colleccio de sabel en le huel.	Of collecting blood from the wound.
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	Blood flows from veins that are tumor-like on the wound and prevent the surgeon from performing their operation, and they remove the wound over a period of days.
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	Therefore, it is necessary at the beginning that you consider whether the wound from which blood flows is strong and not another disease than bleeding, then you collect that blood.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	And if you command the patient to hold their head up, and suspend those veins with an elastic band or two according to your judgment; and that band should be of soft doubled material in this way:
o so dos oncis gradantment en un cos segon aquesta forma:	or two bands gradually in a coil in this way:
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	And then those veins are collected with soft, thin forces, and thinness, and wipe them away hour by hour until they are again visible from the wound and turned back.
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	And be careful not to damage the wound at its extremities; and if your operation on the morning gives light to the sun, and you are a firm in your operation that you do not incise those veins.
E quan tu auras complitz, lahoras tu distilla en le huel cief vert o rog per que am sa acuitat corrodesca aquo que es remaugut del sabel.	When you have completed the task, then pour warm water or rose oil into the wound to help reduce the inflammation that remains from the saber.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	However, if it is not possible for you to collect all of it at that time, then apply the entire amount of it that relieves the pain from it, and leave it on for several days until the pain is reduced and it is ensured that an abscess does not form.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	And then repeat the process over it until it is healed.
E aquesta es la forma de las forfexs:	This is the shape of the forceps:
Capitol .xix.	Chapter 19.
De reduccio de arizati al nas.	Of reducing hernias to their place.
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	When you treat hernias with a pointed cautery or sharp medicine after the story of it has not healed, then do not insert into it but cut through the abscess to allow it to mature and remove all the moisture that is in it and the pus until the bone is exposed.
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	And when the bone is exposed and you see corruption or blackness in it, then use this tool of which this is the shape:
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	And if it is known that the head is hard, and made of iron, and the cap is round as it is made to be pierced by a needle or an awl for a delicate puncture (as in the following form).
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	And place that over the location of the bone corruption, and gradually rotate it between your fingers until you know that that corruption is removed.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	And this should be done several times, and then restore the location with drying and styptic causes.
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	Therefore, if the location is consolidated and it is in good flesh and the body is free from the sickness and remains for forty days without being renewed or becoming an abscess or having any accident, then you know that it is healed.
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	And if not, then you should reduce the fissure to the shape of the nose, and according to this method: and you should take a thin iron or sharp medical instrument, and when you have exposed the bone, then you should take a tribo in this form:
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	The external edge of the iron triangle is rounded, and its tip should be extended into the extremity as often as possible.
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	Then place that one on the bone, and the other near the lacrimal; and lift your hand a little from the wound, and then turn your hand over to rub the iron through the bone, and the patient will feel pain as if it is being torn apart by the force of the iron when you remove your hand.
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	Therefore, then apply a hemostatic and drying ointment to the wound as you have been taught.
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	Since the flesh and the wound are healed, then the matter that was exuded from the parts of the body returns to its place, so that is less painful on the patient.
Capitol .xx.	Chapter 20.
De reduccio de la eminencia del huel.	Of the reduction of the elevation of the wound.
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	When the wound is elevated to its totality and does not cause harm or decrease in the excrement, then loosen the bandage, and then follow it, and then place several leeches on the neck for good succession; and then apply a liniment made of acetate, aloe, and sulfur, and strengthen the plaster on the wound with powders.
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	And the method for cleaning the bones is to take cloths from lion's manes, and each cloth should be doubled in four places; and make those threads.
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	And then place one over the other according to the amount needed for the required purpose.
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	And then apply strong pressure with a durable, tight cloth; and repeatedly clean the incisions with succession; and after removing the cloths, leave the wound straight during the day and night.
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	If during the time the ligament becomes soft, then it should be kept straight.
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	And after removing the ligament, keep it as we have said.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	And if the wound has already been reduced, then apply the ointment to the bones and the bandage and the cloths until it is healed.
Capitol .xxi.	Chapter 21.
De la inscizio de la eminencia de la tunica uvea.	Of the beginning of the elevation of the pupil.
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	When the tear in the pupil is disrupted and it elevates and protrudes through the eyelids as if with a knife, and it takes on the shape of a man, and you want to incise it, then the operation is performed as we have recommended, that you insert the needle into the edge of the uvea from below to above, and then insert another needle double the size of the lacrimal part, and make that penetrate; and then leave the first needle according to its position; and then incise the location of the double and lift up that part of the uvea around the needle, and apply strong pressure.
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	And then remove the needle and place it on the woolen cloth soaked in white wine and lime, which will cause the thread to harden.
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	And then care for that part where the pain is healed.
E alcunas veguadas aduna de tota partida am cercle de drap entro le huel ajuste eminencia gran, e aprop sia perforat am le spatum subtil que vengua al preon del huel, e corra la humiditat albuginea, e descen le huel e intra tantost.	And some bandages gathered from all the parts are placed in a circle around the wound, and then perforated with a thin needle that comes to the bottom of the wound, and drain the bloody serum, and lower the bandage and enter it soon.
E aprop strenh entro que sia sanat.	And then strengthen it until it is healed.
Capitol .xxii.	Chapter 22.
De curacio de alconati.	Of the cure of gout.
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This disease that is called gout is not other than a kind of inflammation that is adjusted in the wound, like water descending, and it is not that one.
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	The best way to work on it is to make the patient lie down on the bed prepared and dressed, and then take the main vein in both arms and that one through which you see the inflammation coming to the parts behind, and then dry it and do not let it descend, and close the wound, and the disease will be seen as before.
E si no descendra en jos, sapias que es aygua.	If it does not go down, you know that it is a sign of illness.
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	But if it is not prepared, you know that the descent to sanity is like what we have said, then do so with the patient's hand between your hands and take a thin spatula and put it on the conjunctiva near the edge of the cornea in the eye (where the eye is), until the sickness is gone.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	Then when the sickness is gone, you should distill in the container with water in which you have mixed honey or water in which you have already made a fenugreek and honey mixture.
E aprop sia curat am las autras causas entro que sia sanat.	And then cure the other causes until it is healed.
Capitol .xxii.	Chapter 22.
De la curacio de la aygua descendent del huel.	Of the cure of the water descending from the container.
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	We have already said the specifics of the water in the division and which is suitable for piercing according to the speech declared, then that second one for healing.
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	Then you should make the patient lie down between your hands on a soft pillow and hold the container firmly.
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	And place your hand close to the eyelid of the left eye, if the water is in the left eye; or place your hand directly on the right eye.
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	And if the water is in the left eye, take a spoon with your right hand; or if the water is in the right eye, take a spoon with your left hand.
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	And place the tip of the spoon near the crown for the thickest part of the ray in the album of the eye on the outer side of the lower lacrimal duct, and then pour the water and turn your hand with that.
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	And penetrate into the eye and feel that the spoon has reached its end due to the water.
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	And cover that the length of the spoon is equal to the space between the pupil and the end of the black line, which is the crown of the eye; because you will see that pupil through the clarity of the corneal tunic.
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	And place the spoon in the place where the water is, and then quickly pour it down another vessel; if the water first falls on the cloth that covers the patient's eye, then wipe it with a clean cloth and place it in his eye.
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	And if it is necessary to pause for a moment; therefore, if the water descends, then pause at that other vessel in front of you that does not need to be emptied.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	And when it is dried and does not descend, then extract the almond with ease, and rotate your hand in the water, and dissolve a small amount of clear gemstone salt in that water; and place the wound on that cloth, which has been soaked in rose oil, albumen of egg, and honey, and apply it to the wound.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	 May those who live in our time pause on that three-legged table with that album of egg.
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	And if you do not obey your almond with the instrument of the wound because of its hardness — which is one of the men whose wound is hard to heal — then cover it with that spatula, which is called the alberid, and this is its form:
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	And then pierce it at that junction, and do not remove your hand from the wound, and do not stop until you have made a small hole in the almond.
E aprop entromet almagda segon que havem dit.	And then enter through the second incision that we have said.
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	And prepare the patient for surgery, who has been made to sleep deeply in a position where they lie on their back in complete darkness, and prohibit all movements.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	And place your hand on their chest to keep their nature calm and not move their head to the right or left of the entire body.
E sia le liament segon la sua disposicio entro al tertz dia.	And let the bandage be according to its position on the third day.
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	And then remove that from the complete darkness and expose the free view, and make the patient see some causes, and then return the bandage within the seventh day.
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	And do not do that during the hour of healing or as soon as possible after the infusion.
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	Having said that, you should do it for the sake of water being able to flow more freely and forcefully through great and violent regurgitation.
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	But if an abscess occurs, then remove the bandage within the seventh day and correct that with the ointment that causes the abscess.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	Then you examine the patient's face and place your hand on their mouth to control their breathing, which exists in the deepest darkness.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	Then slowly raise the patient's head and discuss their causes.
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	And know that in some cases the disciple of vision is not excused from performing certain operations, and then you should be skilled in the operation.
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	And we have already reached some of those that are in the Artach, and some say that they make fire in the Arabian desert by perforating the ground where water is found.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	However, I have not seen any such thing in our land that has done this, nor has water been found in any of the ancient books; and it is possible that this is new.
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	And these are the forms of the species of magic by which one can be above those who do not know those things:
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	And they are made of iron or copper properly, and their external parts are like this subtle triangle, the sharp end being like that form.
Capitol .xxiv.	Chapter 24.
De la curacio de carn nada en le nas.	About the cure of meat in the nose.
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When meat is stuck in the nose, various adjustments of which some cause certain causes, such as a spider's legs or polyps; and this malady is called polypus, which is similar to that represented by the pea.
