Ayssi comensan las paraulas de Albucasim .	Ayassí commence les paroles d'Albécacismus (Assuming "Albuccasis" is a misspelling or variant of an
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	Translation into English Line by line of text (assuming that "species" refers to the four humors and "magdaan" likely relates to medically or philosophically beneficial):
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	E are the humors of earth or metal themselves in painful points specifically located on their skin surface which have this subtle angular shape and sharp tip similar to that form called acute by those who understand it, so they can call them gout as well since these joints also experience excruinating pain.
Capitol .xxiv.	Capitol xiv. (The Roman numeral "C" represents ten
De la curacio de carn nada en le nas.	From curing meat, nothing is left in the nose. It seems you're looking for a phrase or an idiom that
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When in the nose are born carnivorous creatures of various sorts that have been adjusted to scorpions' masses or polyps, and this disease is called "polyp" for it seems similar to those bite marks represented by a spider bitten with pebbles. It appears you seek an explanation or description related to nasal symptoms possibly connected with allergies or sinus issues that can manifest as various irritants within the nose, which may be metapstatic in nature - like scorpions (sometimes referred to humoristically due to their venomous stings) or actual polyps caused by chronic inflammation. This condition is often called "rhinitis," commonly associated with all
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	From the meat being cancerous and having diarrhea, a dark-colored excrement comes out; but from this lion's blood it is not of that dark color. The phrasing suggests you might be dealing with an idiom or metaphorical language describing illness symptoms in animals rather than humans, using 'cancerous',
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Thus in those meats there is no deceit or cancer; let the malady be cleansed between your legs and laid upon the sunny face of the earth, where you can nurture with tears from eyes below (from which nasal discharge comes), plant flowers for a cure on that spot within them. This seems to suggest an approach involving natural remedies—imagining oneself as both healer and caretaker by cleansing impurities, encouraging sunlight exposure through laying the sick creature out in nature (perhaps metaphorically indicating a therapeutic bath), using tears or nasal discharge for horticultural purposes to 'plant flowers' as an allegor
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	E procure to make that which is extracted from the parts where it has been removed delicate and refined with water you have comprehended of what was underneath, so as to understand when all the body part already faces removal; if for some reason a cause can lead to separation in one section such that extraction becomes possible through any subtle instruments capable of facilitating intervention once again due from said cause.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	If you wish to sanctify an accidental wound and stop bleeding with water that is at your disposal, or for the cases of malignant abscesses where they have been opened a space within which it has separated completely (and all cavities are exposed), apply hot water inside. Others may be used on other parts as needed.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	Then bring it back to the nose with which you have made an incision, or apply water internally therein so that no fluid exits. This applies not only when one has cut into the nose but also for any other internal process where application of liquid is
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	If your nose has become wet due to the passage of fluid internally in order to maintain moisture within the mouth cavity, understand that this signifies healing. It is no longer necessary for you to keep water at hand. This applies not only when one experiences nasal dryness during internal procedures but also generally indicates recovery from ailments affecting muc
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	If moisture does not seep through subsequently as needed without cover, understand that this indicates there is no longer anything to be found undernes the skin in pus or within diseased nasal cavities where an incision was made and which are no more present due to drainage. This applies both when one observes persistent dryness after water provision for internal procedures and generally signifies that any issues with excessive discharge have been resolved through natural means such as sneezing or blowing the nose, leading to a reduction in symptoms without further invasive intervention
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	Therefore when you find yourself in the midst of your loyal servant to whom there is any great hardship, and they come into motion with their bodies (i.e., standing up or moving), rest them between each use for as much time during which said body was used; also inflame the swelling and place a part of that foot's extremity where it can touch its own skin in some other way causing harm to themselves, this being possible due to their proximity.
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	You continue that which has been done to the patient's odorament inside so as it may return through their nasal passages and sit on their griefy area, where for many times these children appear in schools due to this illness, a light cause of those who wish to do harm.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	Then pause the two extremities of the foot's claw; one on which lies above and touching upon nasal area as well as another that is crushed against nose, hence administer to them a cautery made out of soft tissue similar in flesh-like consistency used for dressings found within feet. This allows you to apply the warmth needed so you know when carne has already been restored inside the claw's belly where it serves as nutrition and sustenance, much like a womb providing nourishment back to itself after injury or loss of flesh in medieval times.
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	Then extract the foot's claw, and pause on its nasal region with respect to sanctification of a holy wound by using an incision made from sacred cloth or material in medieval times for healing purposes; apply warmth over this area continuously either three days straight or until you observe that all blood which has been drawn out is no more coming forth. This reflects the care and holiness with which such injuries were treated, considering them not merely physical wounds but also spiritual ones requiring respectful handling in medieval healing practices.
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	Then upon the foot of cause's instigator, pause on its nose with respect to using copper straw or material for a suction-like process over several days until it is healed; this may be interpreted as a form of restitution imposed by medieval medical practices where even those responsible could undergo treatment similar in metaphorical sense—
Mays si endigeys de curacio que exsique, usa de aquela.	If one is injured in a manner that it cannot be cured with existing remedies, then use this alternative treatment method as per our knowledge and experience derived from past cases dealing similar health issues of the body
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	If you're seeking to extract essential oils and create medical concoctions within this context, it appears that your request for translation may be related to an ancient or historical practice of using these substances. Since the text is not in a standard language but seems reminiscent of medieval European languages like Latin, Italian,
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	If you are in need of water from silver or earth—materials that appear like small oil lamps illuminated and seem to be carried on one's shoulder as a miniature backpack (cum petit quaquand)—take it accordingly, for the essence seems beneficial.
E si vols, fay una canula clausa ayssi cum cana, e la cancula del estrument a capipurge fazedor e sia plana, descuberta; a la qual sia manubre en lo derier de lu, am le qual tenguas aquela quan escaufas en lu oli o aquo que tu vols dels sucs e de las causas suctiblas.	If you wish to make an opening in the skin using a closed needle (ayssi cum cana), and this is done with one of these specialized tools, ensure that it makes a flat, open wound—approximately three fingerbreadths long; which must be cleaned at night or when you want to remove impurities from the body's fluids caused by such internal processes (as depicted in this tool).
E aquestz capipurgi es precios: recipe de enforbi de castor, de balayra blanc, de giengiebre, e piletre de safra, de pebre lonc, de escafragia, de epetum de spic ana unc. vi cumfizeys am suc de bleda e de caul, e sian faytas pillulas, e sia destemprada una pillula am aygua tebeza, e sia gitat en las nars del malaute jasent envers.	These are the prices for various types of purgatives: recipes involving castor oil (enforbi de castor), clean white wool rag (de balayra blanc), mint tea or herbal infusion (giengiebre), saffron pillows, long-lasting bitter candies (pebre lonc), laxative pills (escafragia), epetum of spic and unguent. They are remedies for diseases caused by bile or gallstones—and they should be prepared as described in the following text, placed on cloth pillows resting against a patient's thigh within their bedpost (in maluate jasen). These treatments consist of pills that have been ground into fine powders and moistened with water. They are then covered to form a soft pasty ball which is applied directly where pain occurs, usually on the skin surface or in specific body cavities as directed by a physician (in le loc per so que li budel no yesqua). The medicinal paste must be kept damp and can only remain moistened for two hours before it requires reapplication.
Capitol .xxv.	Capital Letter xxxvii. (The text appears to be number
De theyls natz en las extramitatz del nas.	At the back and on the sides of our nose.
Motas veguadas es nat theyl en las extramitatz del nas, e es magnificat e omentat en alscus dias entro en que mot es leg le reguardament de lu.	Often there are mucous membranes around the sides and back of our nose; they're valuable to protect us for certain days within which we can observe them carefully in order to understand their function better. The original text seems to discuss nasal health, particularly focusing on areas prone to congestion or illness when not properly cared for – suggesting a connection between self-awareness of bodily functions and overall wellbeing from the medieval context provided
E per aquo cove que tu inscidas aquel en le comensament de la apparissio de lu, e erediques tot aquel.	And through this way that you record your experience of how things appear in our eyesight; and inherits all of it as well – emphasizing the importance of documentation for knowledge transmission during medieval times when direct observation was crucial to medical understanding. The original text appears to underscore a practice or belief from medieval medicine regarding personal experiences
E aprop pausa sobre le loc o cauteri o medicina comburent la qual estia en loc de lu.	And pause over the location or use of caustic substances that are present in our area, which should be managed carefully with medicine – highlighting an early understanding of localized treatment for symptoms and possibly referring to ancient practices involving topical medications applied directly at sites experien
Mays si es tardada la sua inscizio entro que sia magnificat, lahoras considera si es lapificat, dur, de fusca color e de pauc sentiment, lahoras no toques aquel am ferr quar es apostema crancos; quar motas veguadas ad aquel que inscideys aquesta apostema endeve per lu granda malicia sobre aquel le qual aquel havia.	May it be that your experience is highlighted and celebrated, the later considered when refined or dry, dark in color with few feelings – avoid touching such a metal spoon as this can cause harm to our skulls; often mucous membranes adhere closely around those who have been subject to these punishments towards their brains due to malicious intent. The original text suggests an awareness of the physical repercussions and emotional impact – likely referring metaphorically to forms of mistreatment or psychological harm as understood in medieval medicine, where such symptoms were seen as manifestations rather than internal illnesses requiring treatment with compassion. The mention of metal spoons causing cranial damage could symbolize the belief that external objects and actions can have a direct negative impact on physical health, particularly when associated with malevolent intent – an idea resonating deeply within historical medical practices
E si le apostema es de leon tocament e no es de fosca color, e vezes que inscizio es possibla en tot aquel, lahoras evacua le malaute e inscideys aquel senes temor, e cura le loc am aquo que exsique e costrenh entro que sia sanat.	If the ulcer is caused by a hot metal touch and not of cold color, sometimes it can happen throughout that part in question, then evacuate malady from there without fear to expose said place as much water/fluid as possible while keeping pressure on affected area for healing.
Capitol .xxvi.	This sentence appears fragmented and lacks coherence with the preceding medical treat
De sutura del nas e de las labias e de la aurelha quan la continuitat es dissolvuda per plagua o per semblantz.	When snail or similar creatures consume it, when the continuity of nose and lips and ear is destroyed by them. (This translation attempts to convey that certain animals may damage these features if they are consumed.)
Sapias que quan accideys solucio de continuitat en una de aquestas cartillages, pauc confereys en aquela operacio sino en alcus homes.	Wisdom that when a doctor cannot restore continuity in one of these sections during an operation is applied to the other parts too if needed but only for certain people. (This translation addresses medical judgment and patient-specific care concerning surgical decisions.)
Donc cove, quan endeve ad alcu alcuna causa de aquelas, que consideres si es plagua fresca am le sieu sanc, e lahoras tu ajusta las doas labias de la plagua am sutura, e aprop cura aquel entro que sia sanat.	Therefore, when encountering such causes in any of these individuals who you consider to be healthy and fresh snacks for the animal, adjust your lips as needed around snail food regarding surgical sewing, and take care that which is healed becomes safe. (This translation integrates elements related to dietary preferences concerning animals while drawing a parallel with medical practices.)
E si las labias de solucio de continuitat so ja separadas, e quascuna es fayta sana, lahoras cove que tu excorjes quascuna partida de la sua codena apparent entro que n’iesca sanc.	If the lips of continuity in surgical sewing have already been separated and some parts are healed naturally, then I advise you to gently remove any remaining fragments from your neck's outer layer that do not cause scarring as much as possible for safety reasons during recovery. (This translation focuses on post-operative care instructions regarding the removal of non-healing remnants.)
E aprop ajusta las doas labias am sutura e strenh aquelas, e sobre aquelas pulveriza sanc de drago e enses trissat, e pausa sobre la polvera una pessa de emplaustra diafinicon, o de alcu autre dels emplastres consolidatius, e leyssa aquel liat per dos jorns o per tres, e aprop deslia aquel e permuta aquel emplaustre e leyssa aquel entro que·ls fiels per si sian abscinditz, e aprop cura am enguent entro que sia sanat.	E apply pressure to the lips with thread and strand of horsehair tightly knitted thereon; over these sprinkle salt scorched from dragon'inspiration or thrice mixed herbs, cover it for a few days using soiled paper napkins (diafinicon) or pessace bedding used in medical care practices. Leave the thread sutures on him/her for two to three days and exchange those with another patient, allowing both of them time until their wounds naturally heal without scabbing over but ensuring proper hygiene throughout this process.
Mays la manieyra de la sutura es que tu agregues la solucio de continuitat o am agulhas ayssi cum havem recomtat en la sutura del ventre, o agregua la solucio de continuitat am fiel ayssi cum a tu e fayt saber.	Mays the mastery of sewing is that you add the solution for continuity or have awls with us attached to the stitches in the abdomen, or simply apply the continuity solution on sutured flesh as if it were your own and know how to use them.
Capitol .xxvii.	Capitol xxvii.
De extraccio de aquela causas que veno en las doas labias en las partidas dedintz.	From the extraction of those causes that come from between a woman's lips during intercourse with her partner.
Motas veguadas endeve a motz homes en las partidas dedintz de las suas labias alcus apostemas durs semblantz a gras de errs, e alscunas de lors son mendres e alcunas son majors.	Frequently experienced during intercourse in the woman's lips themselves are hard-to-bear and resembling fatty errands of leather, sometimes even their flesh is damaged or becomes larger ones.
Donc cove que tu convertas las labias e fendas quascuna de aquelas duricias de tota part, e aprop la abscizio umpliscas le loc de sagi trissat entro que·l sanc sia restrengut, e aprop sia lavat am vi agre e sia curat le loc am aquo que es stipticitat, entro que sia sanat.	Therefore when you convert the labia and frenula (together) any of those hardenings which are throughout that entire part to be converted must be completely removed from said location with a pinprick made at this very place so as not to cause pain, and after washing it off and curing its condition is necessary in water found there such that the skin becomes healed. Only then will it become healthy again.
Capitol .xxviii.	Capitol xxviii.
De inscizio de la carn ajustada en las gengivas.	From the assessment of flesh that is constricted in the gums.
Granre de veguadas nays sobre la gengiva carn ajustada la qual les antics apelero albulus, adonc cove que tu suspendas aquela am onci o que tenguas aquela am las forfecs e inscidas aquela deves la sua razit, e leyssas la sania correr o le sanc.	Greatness of evils about the gums with a hardened flesh which they formerly called bones and upon whom I have hanging their bodies for wounds caused by external aggressions or diseases, allowing them to be healed internally without harmful exits on the surface.
E aprop pausa sobre le loc sagi trissat o autra polveras stipticas o excicativas.	And then place over it salted thistle or other dry absorbent powders, and rubbing them inwardly without causing any harm to the surface of your skin area by means that avoid excoriations (scratches) on your own epidermis.
E si aquela carn retorna, lahoras inscideys aquela segundariament, e cauterisa aquela, quar aprop le cauteri no retornara.	And if that flesh returns (indicating recurrence of the condition), I shall at least attempt to remove it afterwards as well and then perform this procedure again with caution so that those removed humors will not return into your body, avoiding harmful exits on its own epidermis.
Capitol .xxix.	Capitol XXIX.
De razo de dentz am ferr.	Due to the reason of teeth and bones being connected with each other in function, usage-wise they
Quan en la superficia de las dentz de las partidas dedintz e de las de foro e entre las gingivas so ajustadas escorsas aspras, legas, e alcunas veguadas son de nigradas e son faytas citrinas o vertz entro que a la gingiva ve per aquo corrupcio e son faytas las dentz legas.	On the surface of the teeth present in those parts where they are not attached but pierced, and sometimes there are black scars which are painful yellow or greenish white inside that gum seen through it due to corruption coming out from its interior as well being painful colors on these detached teeth.
E donc cove que tu fassas sezer le malaute entre las tuas mas e pausar le cap de lu en le tieu se, e ratz las dents en las quals apareysso aquelas escorsas e causas semblantz arena entro que de lor no romangua deguna causa, e aquo fay de la negror e de la citrinitat e de las autras entro que sian mondificadas.	And thus that you make a hernia between your large and small intestines disappear with the closing of your chest opening while lying down on it, in this way touching those teeth which have these black spots or other painful colors inside them caused by corruption coming out from its interior without causing any damage to their root. And then they heal naturally through salted thistle and similar dry absorbent powders previously mentioned that are prepared within the monastery, as well as those due for humors affected blackness which will disappear after being scraped away by means of a pointed instrument on your hands with gentle pressure inwardly so not to cause any damage. And these healing powers arise from its own color and citrinity (orange), or other colors that have been sanctioned within the monastery's medical practice guidelines, allowing them natural regeneration of their root without being harmed by corruption coming out through external exits as well arising spontaneously on your body.
Donc si es ostat aquo que es en aquelas del comensament de la razio, bo es; e sino, lahoras tu itera la razio sobre aquelas al autra dia e al segon e al tertz entro que vengua al derier stament en aquo que tu vols.	Donc, if you find yourself still sick after the common meal of reason in that moment, then continue to meditate on those reasons throughout the day and night until I return with a statement about what is needed for your health journey next time as per my decision.
E sapias que las dentz han necessitat de motz rezoris de diversas formas e de motas figuras segon que es preparat a la tua operacio.	You must know that the teeth have needed to be moved in different ways and shapes according to how they are prepared for your operation.
E per so quar le razori am le qual la dent es raza de la partida dedintz es autre del razori am le qual es ras entre las dentz segon autras formas, e aquestas formas de razoris sian deves tu preparadas las quals veyras tantost:	And about the reasons for which you need to have your teeth extracted from different positions and shapes according to how they are prepared in advance. These forms of extractions should be ready whenever I say so:
Capitol .xxx.	The capitol information provided at this point is not related or coher
D’eradicacio de dentz.	Removal of teeth in the context of wisdom tooth extraction, where 'dent' can be assumed as
Cove que tu cures la dent de la sua dolor am tot engen e tardes en tota eradicacio de lu, quar no es denguna causa que suplisqua la veguada de lu quan es eradicada, quar es sustancia sublima entro que es excusacio en la eradicacio de lu.	Take care of the patient's tooth in pain using gentle and professional methods throughout the entire extraction process without any cause that would shorten this necessary time when it is completed, as there is no sublimate substance within which justifies shortcutting during its removal. The priority remains comfort and adherence to proper procedures regardless of urgency or pressure for quick resolutions in some cases.
Mays cove quan le malaute es forsat aquela dent eradicar, que fermament deves tu sia certificat quala es la dent dolent, quar motas veguadas la dolor descep le malaute e cuga que sia en dent sana, e tu eradicas aquela e aprop la dolor no cessa entro que la dent malauta e dolent sia eradicada, quar nos ja havem vist aquo per operacio dels barbies.	Moreover, when the hernia is reduced and you are certain which tooth it relates to that needs extraction due to its painful state – firmly ensuring this identification beforehand helps alleviate discomfort caused by the hernia while also making sure other healthy teeth remain unharmed. During such procedure, once a pain-free and healed area is established post-extraction of the problematic dentition, we have seen similar processes applied to beard surgeries for reference on appropriate techniques that prioritize patient recovery without unnecessary interventions or prolonged distress. The essence here remains focused on precise identification, targeted treatment with minimal impact and maximal efficiency in healing time as exemplified by the barbies' procedure experiences where careful planning precedes action to ensure expedited yet thorough resolutions while maintaining natural aesthetics and function.
Donc cum deves tu es sertificat qual es la dent dolent, e que o sabes be, lahoras cove que tu scarifiques en le circuit de la dent am spatum en le qual sia alcuna vertut, entro que sia dissolvut de la dent de la gingiva de tota partida, e aprop mau aquel am les tieus ditz, o am forfexs subtils al comensament petit a petit entro que aquela concucesquas.	Therefore when you want your servant-like yourself who has the toothache and knows where it is that he can scarify on the circuit of said tooth in the spleen where some humors are, until completely removed from all parts of the gums inside the mouth and at those points which most suitably suits or subtly sublimes underneath during digestion.
E aprop alogua en lu fortz tenalhas grans per bona loquacio o estuptura fort, e pausa le cap del malaute entre les tieus denolhs que be le tengues que no·s maugua, e aprop tratz la dent segon rectitut en manieyra que no trenques aquela, ni al malaute major dolor no dones.	Even when holding large objects with good communication and structure to your hands, avoid straining the back of your thigh between those tight muscles that do not please you, and position a pillow accordingly so as not to increase pain in either leg or groin area.
E donc si no es foro-getat, lahoras pren un de aquels instrumentz, e met aquel dejos lu de tota part am facilitat e esforsa la remocio de lu ayssi que es feyt al comensament.	Even if you are not a surgeon (or in this context it could mean someone who is skilled or has been specially trained), then take one of those instruments, and place the end on all parts to facilitate and expedite the removal of that foreign object which needs treatment.
Mays si la dent es trauquada o corrosa, lahoras cove que tu comples de drap aquel trauc e estrenguas aquel am la extremitat de ray subtil per so que no sia trinquada en la hora de la tua constriccio sobre aquela am tenalas.	If the tooth is knocked out or crushed, then take cloth and wrap that traumatized tooth, compressing it at the end of its delicate root under a soft pad so as not to dislodge it during your procedure on those held teeth which you will have.
E cove que tu obres exquesitament am scarificacio en le circuit de tota part de la gingiva e guarda mot la tua fortaleza que no trenques aquela e romangua partida de lu, e retorne sobre le malaute per la malicia que sia majo que la primieyra dolor de lu.	And when you work extremely hard at the surgical procedure in the entire gingiva and make sure to hold your strength not to dislocate that part which needs repair, then return over the hernia due to malice so it may heal larger than before initial pain of their foot.
E guarda te que no fassas aquo que fan alscus ignorantz barbiers en lor fistinacio e audacia sobre la eradicacio de lor, ses que no aministran aquo que nos havem recomtat; quar motas veguadas fan venir sobre les homes malautias grans las quals son pus dificils que sian trinquadas, e las razitz de lor remaugudas totas, o alcunas de aquelas, o que extrayguas aquela am alcus osses de la mandigula ayssi cum motas veguadas havem testificat.	And be careful not to do what barbers ignorant in their practice and audacity for the eradication of them, since they don't administer that which we have recommended; instead, malicious attacks come regularly on healthy individuals with severe illnesses (which are difficult to treat like joints), causing inflammation around those areas or some of these ones, as well as in their bones from the jawbone already extracted by regular accomplices who testify.
E aprop la eradicacio de lu sia lavada la boca am vi caut o vi agre am sal.	And for its purification is it washed with water or brine as well, either of these two methods can be used. The choice between them depends on the condition being treated and personal preference. Brining tends to work better when there's a lot of p
E si endeve fluxs de sanc per aysso, ayssi cum motas veguadas endeve, lahoras trissa alcuna quantitat de zegi e aspergeys sobre la plagua, e si no confereys aquel zegi, cauteriza.	If ever there's a flow of sanct spirit through the air at any time and often accompanied by wandering motions in which some quantity of seeds or asperge are spread over the ground without consent; if one does not give that seed permission, then cauterize.
La forma de las forceps e tenalas subtils am las quals es mauguda la dent al comensament sia de longua extramitat, de breu manubre e gros, per so que no sian doblatz quan am aquels deves obrar.	The form of the forceps and tenants is subtle in such a way that it flattens out any dent at mealtime whether with food left over from cooking or breadfruit, small fish, and meat to ensure they are not doubled when those things need doing.
E sian ayssi cum vezes de gros manubre entro que quan estrenhas am aquelas no sian dobladas, sian breus extramitatz.	And during times of large-scale fishing when they are tried out and not doubled; then shall be thinly leftover outside the meal. This indicates that a portion of the catch should remain after preparation for distribution among those who cannot afford much or to save it for future use, ensuring nothing goes to waste even if cooked fish is less common in this region's di
E sian faytas de ferr de India descentment faytas de dreytas extramitatz, e en las extramitatz de aquelas sian dentz de las quals las unas intron en las autras e estrenhan per constriccio descent fort, e alscunas veguadas las extramitatz de aquelas sian la forma del bec d’un auzel le qual ha nom ciconia, so es guanta, e son de fort constriccio.	And there are iron tools descended from straight steel; in the scraps of those steels some teeth remain which when one digs into another such tooth it has a form like that of an oyster shell and is hard by contraction, thus bearing the name cayman or crocodile due to its toughness. These tools are strong because they undergo intense compression during forging, just as some scraps retain their original teeth-like shape which can be excavated from one another like an oyster shell and have a similar hard structure that has earned them the name of cayman or crocodile due to its toughness. In these contexts, iron tools bear resemblance not only in function but also metaphorically mirror natural forms known for their formidable nature when they are crafted by skilled hands using traditional methods passed down through generations and shaped with intentionality within the cultural milieu of metalworking during medieval times. The use of such language suggests a direct connection between human activity, in this case metallurgy, and natural world references which were common for explaining
Capitol .xxxi.	Capital Chapter XXI.
De erradicacio de dentz e d‘estraccio dels osses de las mandibulas trincadas.	For extraction of teeth and for cure from fractured jaws bones." Translation into English line by line would be as follows: For the removal of teeth, we also seek healing from broken jawbone fragments. This implies a medieval medical practice address
Quan deves la eradicacio de dent le qual es trinquat roman alcuna causa, lahoras cove que tu pauses sobre le loc coto am boder per un jorn o per dos entro que·l loc sia mollificat; e aprop entromet algesti o tenalhas las extramitatz de las quals so asembladas al bec de un auzel apelat ciconia o guanta, la forma de las forceps:	Whenever there is tooth extraction due to any cause in Roman times, if you wish it done by a doctor or healer known for such procedures within the city limits of Rome itself and not beyond (as our modern understanding may differ), then pause over the site where amputation will be performed. Oversee this location continuously through one day or two until sufficient recovery has occurred; furthermore, employ specific instruments – like forceps designed with hooks to grasp avian molars found in crows' bills and guante-like handles for better grip during dental procedures as seen on the forms of contemporary tools.
Las extramitatz de lor sian faytas dedintz ayssi cum lima o alfagi.	La external touches of them are treated with lemon juice or ash.
E si no obediys a tu a eyssiment am aquestas forceps o tenalas, lahoras cove que tu caves sobre la razit e descrobas tota la carn e entrometas le instrument le qual ha nom atali, so es palanca petita del qual la forma es aquesta:	If you do not obey your treatment with these forceps or tweezers, then the consequence is that you will dig into raw flesh and uncover all the meat and insert this instrument which has been called 'talion', serving as a small lever for it, whose shape we describe like this:
E sia de breu extremitat grossa un petit, e no sia enbegut per so que no sia trinquat.	It shall be of short and broad dimensions, but not hollowed such that it does not split apart.
Donc si per aquo la razit es foro-getada, bo es; e sino, ajuda te am aquestz autres instrument dels quals aquestas son las formas: la forma del primier instrument es de triangulada extramitat en la qual sia alcuna grossesa:	So if the raw flesh is broken open for examination or treatment, it shall be; but otherwise, help yourself with these other instruments that have been used to make them. The first such tool has a broad triangular base on which there may be some thickness in its construction. (Note: In medieval texts, terms like 'forceps' and specific surgical tools are not mentioned as they were developed after this time period.)
La forma del segon instrument es que sia de triangulada e de pus subtil extremitat.	The form of the second tool is that it should be narrow with a subtle broad base: perhaps like an inverted triangle or wedge, designed to fit snugly into crevices and apply gentle pressure where needed during treatment without causing unnecessary
E ja so ajudatz am aquest instrument havent dos ramps del qual aquesta es la forma aprop la seguent:	You have already helped with this tool, which has two inclined planes as its form. (Note that medieval texts may not describe tools in modern terms and often give general descriptions of shapes without using specific geometrical terminology.)
e am autres instrumentz les quals precidero en rasura de dentz; quar juvament es fayt am aquest instrument le qual es asemblat a onci gran, e aquesta es la forma:	I have prepared other instruments with which I had previously worked in tooth extraction procedures. This tool has been assembled into large chunks and its form is such that it can effectively extract teeth when applied forcefully as one might do so using a hammer or similar blunt instrument, although this would not align with modern medical practices for removing teeth (which are done surgically under anesthesia to prevent pain). (Note: The medieval context implies rudimentary tools and techniques
de la triangulada extremitat torta o curta, la qual sia alcuna grossesa, e no sia enbegut per so que no sia trinquat.	Of a distorted or short tail end (extremity), which may be heavy in size and should not become bent for that reason alone would result from this condition of the patient's suffering with gout, as depicted here through medical examination and treatment methods employed by physicians during medieval times.
E otra sapias que·ls instrumentz de las dentz motz so e semblantment les autres instruments.	Another tool that doctors use for teeth, similar in appearance to other tools, which can be used as a form of cauterization on the affected area or applied directly onto the wound, helping it heal faster and reduce inflammation from gout
Mays le artifexs savi e subtil en l’art, atroba per si mateys segon aquo que a lu significa la operacio e las malautias diversas; quar son de las malautias a las quals les antics no diysero ni pausero propri instrument, per las formas de diversas specias.	Mays' artistry and subtlety in their craft are appreciated by many who seek knowledge on the various operations and illnesses; they represent diseases for which ancient instruments were not designed or paused due to diverse forms that required specialized methods of treatment, often unique tools created with great skill.
Mays si es trinquat l’os de la mandibula o dels autres osses de la boca, o si poyreys, lahoras sia pes curat sobre aquel en son loc am aquo que es a lu convenient dels instrumentz e de las forceps las quals havem dit en la extraccio de las razitz de las dentz, e ajuda te am gesti del qual aquesta es la forma:	If Mays' patient has fractured the jawbone or other bones in the mouth area—or if there are misalignments that need correction (malocclusion) for a comfortable and functional bite, then it is necessary to perform treatment over these affected areas at times convenient according to their needs; this form requires skillful handling of specific tools used earlier during dental extractions.
E sia en lu alcuna grosseza petit a petit, e sia instringida o tenguda am la boca per que no evasesca o fuga entro que l’os de tot sia foro-getat; e aprop restaura le loc am medicinas convenientz ad aquo.	It can be treated gradually, little by little inside the mouth to ensure that it does not escape or heal improperly before all punctures made in the bone have fully closed off (sealed); and once stabilized with appropriate medical treatments according to their needs; this form requires handling of specific tools used earlier during dental extractions.
Mays si en l’os es petita poyredura, lahoras ratz aquel de aquela poyredura e de la sua negror, e cura aquel entro que sia sanat.	If in the bone there is a fracture, then he who breaks that and its blackness shall be cured when it becomes healthy.
Capitol .xxxii.	Quando il dolore alle articolazioni è dovuto ai vapori
De la cura de las dentz eminentz sobre las autras.	When our teeth are in need of care, we should show the same importance to them as others do. This means taking good oral hygiene seriously and
