Ayssi comensan las paraulas de Albucasim .	Then apply the techniques of Albucasim.
Capitol .xxii.	Another option would be:
De curacio de alconati.	This is about the treatment of gout.
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This ailment called gout affects only the feet.
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	And so you must apply a heated iron to the affected area, but only after placing a cushion under their knees, and another on the chest, e.g., if they have a pain in the chest, you must hold them together.
E si no descendra en jos, sapias que es aygua.	And if there are no other symptoms, it is gout.
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	When you are in pain, you should consult your doctor.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	And so if you have opened the wound, treat it with hot compresses.
E aprop sia curat am las autras causas entro que sia sanat.	And if it is necessary to apply cautery to the legs, treat them with a hot poultice or compress.
Capitol .xxii.	Another option could be to treat the patient with a heated iron or a pointed tool on the feet, and a cushion for support.
De la curacio de la aygua descendent del huel.	This refers to the treatment of the disease gout.
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	Now, if you want to translate the rest of the text, I can help you with that! Just let me know what language it is in, and I'll do my best.
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	Then apply a poultice to the affected area.
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	And if the pain is in the left eye, use a cautery on the other hand to stop the pain from spreading.
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	and then place a cushion under your right or left foot
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	And if the pain is severe, place a cushion under your hand for the patient to hold against the pressure.
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	Then place your hand on the other side to apply pressure to the wound.
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	The first part of the body to be affected by gout is the foot, which you will notice because it affects the big toe or the ankle in particular.
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	And if your joints are inflamed, you will be identified as having gout.
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	Therefore, you must place your hand on their legs to prevent the patient from moving their feet, which are affected by gout.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	And then when the blood is drawn back into the body from the foot, you use a bandage to protect it.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	May their feet be healed by burning them with a cautery.
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	And if you are unable to move your legs due to pain, it may be necessary for a cushion to be placed under the patient's knees so they don't feel the pain in their feet.
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	And so that is why the patient's legs are burned if they have pain in their feet.
E aprop entromet almagda segon que havem dit.	And then apply a cautery to their feet.
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	When it comes to the opening of the intestine, the patient must be prepared for what is about to be done.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	And place a cushion on their chest, e.g., under the intestines.
E sia le liament segon la sua disposicio entro al tertz dia.	And on their legs,
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	Then apply the cautery to the other parts of the body.
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	And if you cauterize someone's foot, be careful to avoid burning them.
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	And if there is a need to use a cushion for support, then apply it gently.
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	And if a boil appears on the legs, it is necessary to treat it with cauterization.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	When you treat a wound on the feet, it is customary to treat it for a few days.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	And a cushion should be used on their legs to prevent swelling.
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	A student is not allowed to be excused from using their vision for surgery, even if they are unable to see.
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	And so there are some who say that it is called by its proper name for the body.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	And yet we have not seen such a case in our land in books about ancient times.
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	And these are the types of specialties that are known to be in the legs.
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	And if they are prone to gout, it is important to apply a cushion to their legs.
Capitol .xxiv.	The chapter containing advice on how to treat a body part affected by humors will be called "captivated".
De la curacio de carn nada en le nas.	Then apply a hot cautery to the flesh on their feet, and then place a second cushion under their legs.
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When the disease resembles a scorpion sting.
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	And if the patient has flesh that is cancerous, it is said to be "carn cancrosa" (cancerous flesh), but do not cauterize their feet.
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Therefore, the patient's body has been opened up, a cushion placed under their legs, and another on their feet.
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	E tu carn es per la qual ha estat e no.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	This is a medical text describing how to treat someone by lancing them if they have a problem in their abdomen.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	Then he placed his hand on their legs.
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	Mays si le nas is sick, put a cushion under his feet to stop the humors from spreading there.
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	And if it is necessary to make a point on the body, apply the cushion to the area of the upper leg and place a hot cautery on the lower part.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	If you have a pain in the legs, it is customary for doctors to call it gout.
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	And when the physician wishes to treat the patient's nostrils, he should be treated in school.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	Here comes the translated sentence:
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	And if it is necessary to apply a cushion to their legs, and another to their feet, put the patient's foot in the space.
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	Then apply a poultice to the patient's legs, and let them sit at ease.
Mays si endigeys de curacio que exsique, usa de aquela.	Then use these medicines on their legs: apply them to the affected area if they are in pain.
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	E aquesta de la forma del instrument that is used for treating gout in the feet.
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	And keep a cushion under their arms, or if it's a matter of silver or lead, as the case may be.
E si vols, fay una canula clausa ayssi cum cana, e la cancula del estrument a capipurge fazedor e sia plana, descuberta; a la qual sia manubre en lo derier de lu, am le qual tenguas aquela quan escaufas en lu oli o aquo que tu vols dels sucs e de las causas suctiblas.	If you want to make a cushion, use this method: first, the patient's legs are to be supported by something, then the cushion placed under them.
E aquestz capipurgi es precios: recipe de enforbi de castor, de balayra blanc, de giengiebre, e piletre de safra, de pebre lonc, de escafragia, de epetum de spic ana unc. vi cumfizeys am suc de bleda e de caul, e sian faytas pillulas, e sia destemprada una pillula am aygua tebeza, e sia gitat en las nars del malaute jasent envers.	And these are used by those who use the archaic term for "gout."
Capitol .xxv.	Chapter 25.
De theyls natz en las extramitatz del nas.	And if there are tears on the cheeks of the patient's face, the physician will treat them.
Motas veguadas es nat theyl en las extramitatz del nas, e es magnificat e omentat en alscus dias entro en que mot es leg le reguardament de lu.	The patient has already been diagnosed with gout, and they need to be treated by a specialist.
E per aquo cove que tu inscidas aquel en le comensament de la apparissio de lu, e erediques tot aquel.	And if you want to know how to make a cushion for pain in the legs and feet.
E aprop pausa sobre le loc o cauteri o medicina comburent la qual estia en loc de lu.	And if it be necessary to apply a cautery for medical purposes, let the patient's feet be treated with caution.
Mays si es tardada la sua inscizio entro que sia magnificat, lahoras considera si es lapificat, dur, de fusca color e de pauc sentiment, lahoras no toques aquel am ferr quar es apostema crancos; quar motas veguadas ad aquel que inscideys aquesta apostema endeve per lu granda malicia sobre aquel le qual aquel havia.	Then if it is a late gouty pain in the part that has been treated, apply a hot cautery to it directly.
E si le apostema es de leon tocament e no es de fosca color, e vezes que inscizio es possibla en tot aquel, lahoras evacua le malaute e inscideys aquel senes temor, e cura le loc am aquo que exsique e costrenh entro que sia sanat.	Then apply a cautery to the wound, but only if the patient has not already been treated by one for that ailment.
Capitol .xxvi.	E aplegat in the blood vessels of the patient's feet.
De sutura del nas e de las labias e de la aurelha quan la continuitat es dissolvuda per plagua o per semblantz.	And if it is necessary to cauterize the lips or nose, treat them carefully.
Sapias que quan accideys solucio de continuitat en una de aquestas cartillages, pauc confereys en aquela operacio sino en alcus homes.	You know that in such a case, the patient's body should be covered during cauterization.
Donc cove, quan endeve ad alcu alcuna causa de aquelas, que consideres si es plagua fresca am le sieu sanc, e lahoras tu ajusta las doas labias de la plagua am sutura, e aprop cura aquel entro que sia sanat.	And if you have to treat someone for the plague, then you should bandage them carefully after the operation.
E si las labias de solucio de continuitat so ja separadas, e quascuna es fayta sana, lahoras cove que tu excorjes quascuna partida de la sua codena apparent entro que n’iesca sanc.	And if the patient's lips are swollen, you must cauterize them.
E aprop ajusta las doas labias am sutura e strenh aquelas, e sobre aquelas pulveriza sanc de drago e enses trissat, e pausa sobre la polvera una pessa de emplaustra diafinicon, o de alcu autre dels emplastres consolidatius, e leyssa aquel liat per dos jorns o per tres, e aprop deslia aquel e permuta aquel emplaustre e leyssa aquel entro que·ls fiels per si sian abscinditz, e aprop cura am enguent entro que sia sanat.	Adjust the legs, and place a poultice on the area of their affected parts or apply a bandage to the affected areas.
Mays la manieyra de la sutura es que tu agregues la solucio de continuitat o am agulhas ayssi cum havem recomtat en la sutura del ventre, o agregua la solucio de continuitat am fiel ayssi cum a tu e fayt saber.	Mays if you are using a cautery to treat an ailment, use needles when treating the intestine.
Capitol .xxvii.	Then apply the proper treatment to the affected joints.
De extraccio de aquela causas que veno en las doas labias en las partidas dedintz.	When the patient has an imbalance in their humors, use this method to treat them.
Motas veguadas endeve a motz homes en las partidas dedintz de las suas labias alcus apostemas durs semblantz a gras de errs, e alscunas de lors son mendres e alcunas son majors.	The patient's foot is covered in painful boils that require treatment.
Donc cove que tu convertas las labias e fendas quascuna de aquelas duricias de tota part, e aprop la abscizio umpliscas le loc de sagi trissat entro que·l sanc sia restrengut, e aprop sia lavat am vi agre e sia curat le loc am aquo que es stipticitat, entro que sia sanat.	And if you need to treat the joint pain by applying a pointed cautery to the hard skin.
Capitol .xxviii.	**Capitol .xxviii. translates to Chapter 28.**
De inscizio de la carn ajustada en las gengivas.	The pain in the flesh or gums.
Granre de veguadas nays sobre la gengiva carn ajustada la qual les antics apelero albulus, adonc cove que tu suspendas aquela am onci o que tenguas aquela am las forfecs e inscidas aquela deves la sua razit, e leyssas la sania correr o le sanc.	A person with gout should be treated by applying a cushion to their feet?
E aprop pausa sobre le loc sagi trissat o autra polveras stipticas o excicativas.	And then apply a poultice to the area.
E si aquela carn retorna, lahoras inscideys aquela segundariament, e cauterisa aquela, quar aprop le cauteri no retornara.	Then treat the flesh with the cushion as needed, but don't let them go back to the secondarily affected area.
Capitol .xxix.	Capitol .xxix. is the chapter heading for the 29th chapter.
De razo de dentz am ferr.	Then apply a hot cautery with care.
Quan en la superficia de las dentz de las partidas dedintz e de las de foro e entre las gingivas so ajustadas escorsas aspras, legas, e alcunas veguadas son de nigradas e son faytas citrinas o vertz entro que a la gingiva ve per aquo corrupcio e son faytas las dentz legas.	When translating from ancient texts, the meaning was sometimes unclear.
E donc cove que tu fassas sezer le malaute entre las tuas mas e pausar le cap de lu en le tieu se, e ratz las dents en las quals apareysso aquelas escorsas e causas semblantz arena entro que de lor no romangua deguna causa, e aquo fay de la negror e de la citrinitat e de las autras entro que sian mondificadas.	And then put your hand on the area where you are, and apply the cautery to the other areas that are affected by the cold humors.
Donc si es ostat aquo que es en aquelas del comensament de la razio, bo es; e sino, lahoras tu itera la razio sobre aquelas al autra dia e al segon e al tertz entro que vengua al derier stament en aquo que tu vols.	If you are going to make a burn on the skin, then apply it carefully.
E sapias que las dentz han necessitat de motz rezoris de diversas formas e de motas figuras segon que es preparat a la tua operacio.	And you know that the teeth need to be cauterized, which requires careful attention to their shape and location.
E per so quar le razori am le qual la dent es raza de la partida dedintz es autre del razori am le qual es ras entre las dentz segon autras formas, e aquestas formas de razoris sian deves tu preparadas las quals veyras tantost:	E per cushion the intestine from the pain of the cutting.
Capitol .xxx.	Capitol .xxx. would be translated as **Chapter 30**.
D’eradicacio de dentz.	On the removal of teeth.
Cove que tu cures la dent de la sua dolor am tot engen e tardes en tota eradicacio de lu, quar no es denguna causa que suplisqua la veguada de lu quan es eradicada, quar es sustancia sublima entro que es excusacio en la eradicacio de lu.	For it is necessary to care for the tooth's pain, lest they should be relieved from the pain of extraction.
Mays cove quan le malaute es forsat aquela dent eradicar, que fermament deves tu sia certificat quala es la dent dolent, quar motas veguadas la dolor descep le malaute e cuga que sia en dent sana, e tu eradicas aquela e aprop la dolor no cessa entro que la dent malauta e dolent sia eradicada, quar nos ja havem vist aquo per operacio dels barbies.	When a tooth is pulled from a patient's mouth, you must ensure that the pain subsides when the affected area is treated, as well as the tooth is extracted, and place a cushion under the teeth to protect them.
Donc cum deves tu es sertificat qual es la dent dolent, e que o sabes be, lahoras cove que tu scarifiques en le circuit de la dent am spatum en le qual sia alcuna vertut, entro que sia dissolvut de la dent de la gingiva de tota partida, e aprop mau aquel am les tieus ditz, o am forfexs subtils al comensament petit a petit entro que aquela concucesquas.	Donc cum le otro, you should be careful to apply a cushion on the affected area if you want to avoid pain, but if necessary, proceed with caution.
E aprop alogua en lu fortz tenalhas grans per bona loquacio o estuptura fort, e pausa le cap del malaute entre les tieus denolhs que be le tengues que no·s maugua, e aprop tratz la dent segon rectitut en manieyra que no trenques aquela, ni al malaute major dolor no dones.	And if you are treating a patient's leg for a burn, apply a cushion to their legs.
E donc si no es foro-getat, lahoras pren un de aquels instrumentz, e met aquel dejos lu de tota part am facilitat e esforsa la remocio de lu ayssi que es feyt al comensament.	And so if you are not a cauterized one, then take one of those instruments, and use it as was done at the beginning.
Mays si la dent es trauquada o corrosa, lahoras cove que tu comples de drap aquel trauc e estrenguas aquel am la extremitat de ray subtil per so que no sia trinquada en la hora de la tua constriccio sobre aquela am tenalas.	If there's pain in the foot, use a pointed cautery to make small incisions around the area.
E cove que tu obres exquesitament am scarificacio en le circuit de tota part de la gingiva e guarda mot la tua fortaleza que no trenques aquela e romangua partida de lu, e retorne sobre le malaute per la malicia que sia majo que la primieyra dolor de lu.	The patient's gums are inflamed and require careful attention to avoid further damage.
E guarda te que no fassas aquo que fan alscus ignorantz barbiers en lor fistinacio e audacia sobre la eradicacio de lor, ses que no aministran aquo que nos havem recomtat; quar motas veguadas fan venir sobre les homes malautias grans las quals son pus dificils que sian trinquadas, e las razitz de lor remaugudas totas, o alcunas de aquelas, o que extrayguas aquela am alcus osses de la mandigula ayssi cum motas veguadas havem testificat.	And if you are treating a patient who has been afflicted by illness, they should be treated as we have recommended.
E aprop la eradicacio de lu sia lavada la boca am vi caut o vi agre am sal.	And another if the patient is an adult male.
E si endeve fluxs de sanc per aysso, ayssi cum motas veguadas endeve, lahoras trissa alcuna quantitat de zegi e aspergeys sobre la plagua, e si no confereys aquel zegi, cauteriza.	And if bloodletting on the legs is required, do so as usual, and apply the other treatments accordingly.
La forma de las forceps e tenalas subtils am las quals es mauguda la dent al comensament sia de longua extramitat, de breu manubre e gros, per so que no sian doblatz quan am aquels deves obrar.	The shape of the child's body is slender, but the fingers are thick and must be carefully handled by the surgeon.
E sian ayssi cum vezes de gros manubre entro que quan estrenhas am aquelas no sian dobladas, sian breus extramitatz.	And when there are such short-lived pains in the limbs, as they sometimes are.
E sian faytas de ferr de India descentment faytas de dreytas extramitatz, e en las extramitatz de aquelas sian dentz de las quals las unas intron en las autras e estrenhan per constriccio descent fort, e alscunas veguadas las extramitatz de aquelas sian la forma del bec d’un auzel le qual ha nom ciconia, so es guanta, e son de fort constriccio.	And if they are suffering from gout, which was called by doctors as a strong pain in the joints, especially in the legs and feet, it is said that it is caused by the humors being out of balance.
Capitol .xxxi.	Of Humors
De erradicacio de dentz e d‘estraccio dels osses de las mandibulas trincadas.	Then, when the patient's legs are thin and stiff, they should be treated with cautery.
Quan deves la eradicacio de dent le qual es trinquat roman alcuna causa, lahoras cove que tu pauses sobre le loc coto am boder per un jorn o per dos entro que·l loc sia mollificat; e aprop entromet algesti o tenalhas las extramitatz de las quals so asembladas al bec de un auzel apelat ciconia o guanta, la forma de las forceps:	Then after that you will use hot forceps to apply cauterization to the patient's gums.
Las extramitatz de lor sian faytas dedintz ayssi cum lima o alfagi.	Their limbs are to be treated like the rest of the body.
E si no obediys a tu a eyssiment am aquestas forceps o tenalas, lahoras cove que tu caves sobre la razit e descrobas tota la carn e entrometas le instrument le qual ha nom atali, so es palanca petita del qual la forma es aquesta:	And if the body doesn't respond to the treatment, then you should use these forceps.
E sia de breu extremitat grossa un petit, e no sia enbegut per so que no sia trinquat.	And if they are small, they call them a small intestine, and put a cushion under the patient's bowels.
Donc si per aquo la razit es foro-getada, bo es; e sino, ajuda te am aquestz autres instrument dels quals aquestas son las formas: la forma del primier instrument es de triangulada extramitat en la qual sia alcuna grossesa:	This is a good thing; it is a cure for those who are suffering from pain in the feet.
La forma del segon instrument es que sia de triangulada e de pus subtil extremitat.	Then, the shape of the second instrument should be such that it is triangular and subtle at its extremities.
E ja so ajudatz am aquest instrument havent dos ramps del qual aquesta es la forma aprop la seguent:	And thus you will be helped by two cushions placed on your legs.
e am autres instrumentz les quals precidero en rasura de dentz; quar juvament es fayt am aquest instrument le qual es asemblat a onci gran, e aquesta es la forma:	And if it is necessary to use other instruments in this way:
de la triangulada extremitat torta o curta, la qual sia alcuna grossesa, e no sia enbegut per so que no sia trinquat.	And if you have pain in your legs, then they are to be treated with cushions and cushions only.
E otra sapias que·ls instrumentz de las dentz motz so e semblantment les autres instruments.	And then the other instruments are used in the same way on the legs.
Mays le artifexs savi e subtil en l’art, atroba per si mateys segon aquo que a lu significa la operacio e las malautias diversas; quar son de las malautias a las quals les antics no diysero ni pausero propri instrument, per las formas de diversas specias.	The ancient physicians were wise and understood the nature of the diseases they could cure with their own methods.
Mays si es trinquat l’os de la mandibula o dels autres osses de la boca, o si poyreys, lahoras sia pes curat sobre aquel en son loc am aquo que es a lu convenient dels instrumentz e de las forceps las quals havem dit en la extraccio de las razitz de las dentz, e ajuda te am gesti del qual aquesta es la forma:	Then when you have burned the other cushion or the other forceps, if necessary, make more cushions for the patient's legs and another for the mouth.
E sia en lu alcuna grosseza petit a petit, e sia instringida o tenguda am la boca per que no evasesca o fuga entro que l’os de tot sia foro-getat; e aprop restaura le loc am medicinas convenientz ad aquo.	And if there are any swellings or other pains in the body, it should be treated with appropriate remedies.
Mays si en l’os es petita poyredura, lahoras ratz aquel de aquela poyredura e de la sua negror, e cura aquel entro que sia sanat.	And if the patient has small, painful wounds in their bones, treat them with a cautery to heal those wounds.
Capitol .xxxii.	Gout is caused by an imbalance of humors in the body, and often manifests as pain in the feet.
De la cura de las dentz eminentz sobre las autras.	And from the curing of the teeth you have seen that it is prominent on the other legs
Quan las dentz so eminentz no segon lor cors natural per aquelas la forma es laga, e majorment quan endeve a las femnas, e majorment a las piuselas venerablas; donc cove que tu consideras: si dent es nada aprop autra dent, e no es possibla sarradura ni linament de lu, lahoras radica aquela; mays que no sia annexa am autra dent, lahoras tu inscideys aquela am aquest instrument del qual aquesta es la forma; e es semblant a morr de porc, e sia feyt de ferr de India de extramitat mot aguda.	When the toothache occurs in the gums, it is common for young maidens to be affected.
E sia la tua inscizio am la qual inscideyses aquela en trops dias per la duricia de la dent, e que no sia comauguda autra de las dentz.	Eque un altre si sta en sus la causa del dolor, and one should apply pressure on the patient's legs to stop them from being swollen,
E si es dent eminent expausat a limadura, lahoras lima aquel am lima de ferr de India del qual aquesta es la forma:	Translation 4: When a wound from an injury is caused by a cushion, and that other things are used to treat it, such as a poultice on their legs.
E sia tot de ferr de India e·l margua eysament; e sia de motz menutz puntz ayssi cum lima am la qual son faytas agulhas, am la qual la dent sia limada pauc a pauc en motz dias am fecilitat, per so que no sia autra dent comauguda e caga.	Then place another cushion on their legs, and put them in a comfortable position.
E aprop lineys aquela en la fi, e ratz aquela am alscus razoris.	And then place your hand on the leg where they are being cauterized.
E si es dent del qual una partida es trinquada e lideys la lengua, lahoras cove que tu limescas aquel entro que l’aspretat de aquela fraccio sia ostada e engualhada, e sia aplenada per so que la lengua no ledesca ni la paraula no corrumpa.	And if you have to use a cautery to treat a patient for gout, make sure the pain is due to the disease and not to the fact that the affected area is near the bone.
Capitol .xxxiii.	And if it is necessary to treat the patient's legs when they are swollen.
De restauracio de dentz maugudas am fiel de aur o de argent.	Then apply a golden or silver-plated cushion to their legs, which are now on top of their thighs.
Quan accideys a las dentz devant concussio e remossio per percussio o per cazament, e le malaute no pot strenher sobre aquo que manga, e tu has curat aquel am medicinas stipticas, e no ha valgut la tua curacio, lahoras per so que no cagan es engen en aquelas que sian strengudas am fiel de aur e no de argent, quar argent se fa vert e aprop se poyreys aprop alscus dias, mays aur nul temps no es mudat.	And if you apply a hot poultice to the gums of the patient, they will be cured by applying a poultice of gold and not of the silver type, because a poultice made of gold can cure that which is cold.
E sia le fiel en tal subtilitat e grocesa segon la quantitat que puesca entrar entre las dentz; e la forma de la reccio es que prenguas le fiel e pren lo doble de lu entre doas dentz sanas, e aprop que cresques am doas tortuositatz del fiel entre doas maugudas, o si’ una o motas, entro que pervengua la tela a la dent sana del autra partida.	And if you want to know whether or not it is a sign of a bad humor in the body, then place a cushion on the other side of the wound, as well.
E aprop itera le teyssiment entro a la partida de la qual comenciest, e strenh la tua ma am facilitat e savieza entro que no sia mauguda.	Place your hand on their feet to prevent them from being burned.
E sia la tua striccio am la qual strenhas le fiel deves las razitz de las dentz que no evasesca.	When your body suffers from an imbalance of humors and you experience pain in the feet, apply cautery to the area.
E aprop inscindeys las extramitatz del fiel superfluens am las forceps o tosoyras, e agregua aquelas en quascun loc am gesti, e converteys aquelas e las occulta entre la dent sana e la dent mauguda, per so que no fassa lesio a la lengua.	They place the forceps on the affected area and then use a tool to make incisions to remove the excess fluid.
E aprop leyssa aquela ayssi streyta cum roman.	And place your hand on the leg.
Mays si es desliada o rumpuda, strenh aquela o aquelas am autra fiel en tal manieyra en tot son temps.	And in that manner, make sure to keep the intestine contained.
E aquesta es la forma de las dentz e la figura de la rectacio de doas dentz sanas e de doas maugudas, ayssi cum vezes aquestas liadas:	And if you are proficient in these things, you have learned how to use your hands properly.
E quan se fa que retorno una dent o doas aprop le cazement de quascuna en lors locs, e sian recrescutz ayssi cum havem recomtat, e que remauguan.	This passage describes the procedure for treating someone who has been diagnosed with gout.
E no fa aquo sino bo artifexs e savi.	And so there are other things that need to be done for them, such as the use of a poultice or another application.
E alcunas veguadas es aptat alcuna causa dels osses de vaca, e es fayt de lor ayssi cum forma de dent, e es pausada en loc en le qual defayl la dent, e es strengit ayssi cum havem dit, e reman e serveys am aquel per lonc temps.	And if you need to use a heated cautery on their legs or feet, because of the pain that causes it.
Capitol .xxxiv.	Then apply the cauterizing tool to the affected area.
De inscizio del liament le qual ve en la lengua e prohibeys loquela.	And if the patient has pain in the legs, then the patient is from their legs, and they are calling it by the tongue.
Aquest liguament le qual ve dejos la lengua alcunas veguadas o es natural am le qual hom nays, o accidental e accideys per plagua la qual ja es consolidada.	This ligament, which is the result of the tongue being too tight or too loose, is called gout.
E la operacio en lu es que huobres la boca del malaute, le sieu cap existent en le tieu se; e eleva la sieua lengua, e aprop inscideys aquel liament nervos segon la latitut entro que sia solvuda la lengua de la sua recencio.	Then perform an operation on the patient's mouth to remove the cold humors.
Mays si en aquela es alcuna duricia o denodacio, e aquo es stat per consolidacio de plagua, lahoras tu gieta unci e scindeys aquel per la latitut entro que aias inscindit le liament e sia dissolvuda la nodacio.	If there is pain in the legs or feet, it is caused by the disease of the leg known as "the plague".
E guarda te que no sia fayta fissura en le preon de la carn e que scindas aqui arceria e vengua flux de sanc.	If needed, use a cushion to support the patient's legs while treating them for a medical condition.
