Ayssi comensan las paraulas de Albucasim .	The patient's body was opened.
Alcunas veguadas en les huels de alcus es nascuda carn roga, e es sobre-pausada entro que cobre la pupilla, o apropinqua o estrenh sobre las palpebras e fort leu comprem las palpebras a las partidas deforo e es assemblada a roza de balaustra.	The patient's eyelids are affected by a cushion in the cavity.
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	The patient should be given a massage if the pain is in the legs or feet.
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	And so you will find the intestine already in its place, or have placed it back in its cavity.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	And then apply the hot cushion to the affected area, which is where you would usually treat an ailment with a hot cautery.
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	And if the condition remains, you should apply the cautery to the affected area.
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	Then you must carefully avoid cauterization or other treatments that might cause further harm.
Capitol .xviii.	Capitol .xviii. translates to Chapter 18.
De colleccio de sabel en le huel.	The practice of medicine in the past involved burning a hot iron on the affected area to relieve pain.
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	And if there are cushions to support them, use another to soothe the pain.
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	Therefore, at first, you must treat the other ailments as well.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	And place a cushion under the patient's head according to your judgment; ...
o so dos oncis gradantment en un cos segon aquesta forma:	And thus they have opened up the body's cavity.
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	Then cauterize their veins to prevent them from being inflamed.
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	And if you have placed a cushion on the legs, take care that you do not harm the veins in your work.
E quan tu auras complitz, lahoras tu distilla en le huel cief vert o rog per que am sa acuitat corrodesca aquo que es remaugut del sabel.	Then apply something to the patient's legs so that they don't have pain.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	And if it is a pain in their legs or feet, it may be treated with poultices and other remedies.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	And then apply a poultice to the affected area for healing.
E aquesta es la forma de las forfexs:	And this is how the form of the scissors is made.
Capitol .xix.	Chapter .xix.
De reduccio de arizati al nas.	A la sua origine, el dolor del nas es una malattia che si trova nel nas.
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	And if you cure by another method than by cauterizing the other's legs with a burning cautery, it will be necessary to apply heat to the affected part.
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	Therefore, if it is found that the ailment is in the legs or feet, you should treat them with a cushion.
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	And if it is necessary to treat the patient's legs, then use a cushion or apply a sharp cautery.
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	And then, place your hand on the affected bone to treat the condition, knowing that it can be painful.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	And if it's necessary to cauterize the affected area, the doctors will apply their knowledge in the use of specific types of heat cautery.
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	And if the sickness is confined to the body, it will last forty days, and if it doesn’t go away, it's a sign that it is in fact true gout.
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	And if you are uncomfortable, a cushion will be placed under your armpit and another on your legs, to prevent it from protruding.
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	The patient's limbs are weakened by gout, which is a disease that causes pain in their feet.
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	Then place your hand on the patient's thigh to hold the swollen part in place.
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	Therefore, when the intestine or hernia needs to be cauterized, it should be done by the physician.
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	When the patient's body has become stiff, one must apply heat to the affected area.
Capitol .xx.	It is customary for physicians to treat the condition of gout in the same way they would treat an ailment of the feet.
De reduccio de la eminencia del huel.	And then apply a cushion for treatment.
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	Then apply to the patient the remedy for the complete illness, which is called the "huel", so that there is no loss of blood, and the pain does not return.
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	The patient's foot should be covered in four folds to prevent further infiltration.
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	Then return the patient's intestine to its cavity.
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	Then apply cupping therapy to the affected area, placing a cup on the bowels for pain relief.
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	Then when the ligament is tight, it must be treated straight away.
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	And then if it is necessary to use a cushion under them, as we already discussed, do so by putting it on their chest.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	If the pain in the feet persists, apply heat to them again.
Capitol .xxi.	Chapter .xxi.
De la inscizio de la eminencia de la tunica uvea.	Then apply a hot cautery to the swelling in the patient's legs.
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	This text describes how to perform a medical procedure, likely an operation on the eyes.
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	Then apply the hot poultice to the affected area.
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	And for the comfort of the patient, place a cushion under their feet to ensure proper drainage.
E alcunas veguadas aduna de tota partida am cercle de drap entro le huel ajuste eminencia gran, e aprop sia perforat am le spatum subtil que vengua al preon del huel, e corra la humiditat albuginea, e descen le huel e intra tantost.	And if the pain in the foot is severe, apply a bandage or cloth to the area.
E aprop strenh entro que sia sanat.	The translator will place a cushion on their legs to prevent further pain.
Capitol .xxii.	Another cushion should be placed under the body's chest, and another on the foot.
De curacio de alconati.	Here is the treatment for a pain in the legs.
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This disease is customarily called gout, but it is not what it seems.
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	And so you see, if a patient suffers from pain in their legs, they are said to have a point, or a small ailment in their feet, which is caused by something other than a larger problem.
E si no descendra en jos, sapias que es aygua.	And if it doesn't descend, you should know that it is called sciatica.
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	The tunic is to be carefully cauterized in the area around the bone where the pain originates.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	So if you are experiencing pain, apply heat to the affected area, and use cautery only if necessary.
E aprop sia curat am las autras causas entro que sia sanat.	And if it is treated, then the patient's pain will be healed.
Capitol .xxii.	Another hand holds the patient's legs, while another one holds the other leg.
De la curacio de la aygua descendent del huel.	Here comes the translation for the first two lines:
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	This refers to a specific type of medical treatment involving placing cushions on the patient's legs to prevent the spreading of pain in the joints.
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	Then make sure to apply the cushion to the area where the patient's legs are placed on the bed so they don't become stiff.
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	And so you should place a cushion on their feet.
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	And if it is necessary to apply cautery, use your right hand for one side and your left hand for the other.
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	And if you open the foot too much, put a cushion under it.
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	Then place your hand on their legs to prevent the first servant from being necessary.
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	When there is an opening in the body for the use of applying a poultice, the physician should apply it directly to the affected area.
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	And if you see a patient's intestine protrude, hold it back to its proper place.
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	Then close the points that are open on their hands.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	And thus you have reached the end of the pain in the foot and the cushion has been placed on the patient's legs to help them.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	Mays it be known that we are dealing with a description of the use of poultices for treating ailments in the legs.
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	Then make sure the patient's legs are not obstructed if they need to be treated for their bowels or a hernia.
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	And when there are swellings or inflammations in the feet, the physician should use cauterization to open them up, but not too severely.
E aprop entromet almagda segon que havem dit.	And the patient's body should be treated as one.
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	When it comes to the treatment of the feet, doctors will often apply a cushion to prevent them from being in pain.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	And place a cushion on their chest so that they may be healed.
E sia le liament segon la sua disposicio entro al tertz dia.	And for the patient, the cushion will be placed on their legs on the third day.
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	Then apply a hot compress to the patient's affected foot, and let them know that it's for their own good.
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	And then apply heat to the legs, as needed, using a cautery.
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	And if there are other causes for their pain, those should be treated differently.
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	And if a pustule forms on the body, apply a cautery to their legs.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	When there is a severe case of gout or pain in the joints, apply it to the feet for several days.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	And apply hot compresses to that area to relieve their pain.
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	The disciple is not exempt from the operation if they have some pain in their legs or feet; they must also be careful about diet.
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	And then some say that they have brought fire to their legs and feet.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	And perhaps it has been seen in our country only as a condition affecting the old.
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	And these are the ways to treat the body's humors, so that it is the one who uses a cautery on the leg, and not the other way around.
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	And if they are to be made, use a cushion for support.
Capitol .xxiv.	Capitol .xxiv. translates to:
De la curacio de carn nada en le nas.	Then comes the treatment of flesh wounds.
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When the ailment resembles gout or a polyp but occurs in the nose, it is called scorpio.
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	And if there is pain in the bones, and they are hot, then apply heat to the area above the knee; but do not use a cautery on the skin below the affected area.
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Therefore, if you are experiencing pain in your legs or feet, it is important to have cushions readily available.
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	When you have to perform surgery on the foot, then you should apply a poultice to the wound.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	When a person has a malignant illness, the pain is often in the lower extremities.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	Then you must use a hot cautery to remove the excess from the nose.
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	Mays si le nas is a cushion or other protection for the body.
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	And if the pain is in the thigh, you can be sure that it is not caused by a wound.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	And if there is swelling in the legs due to an excess of humors, it is customary to treat it with a poultice on the foot.
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	And if it is necessary to make points on the surface of the foot, then do so with a hot cushion, and prepare for the patient's cushion to be placed on his chest, which will cause him to be more comfortable.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	E then the patient's own body heat will be enough to keep them warm.
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	And if it is necessary to make a bloodletting for the patient, they should be put in a position where the cushion is placed on their legs.
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	Then hold your hand on the patient's legs to prevent the spread of the ailment.
Mays si endigeys de curacio que exsique, usa de aquela.	Then use a hot compress if you are already treating someone for illness in general, and apply cold compresses to their legs to reduce pain.
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	E aquesta de la natura del nars (nose) being that the patient's bowels are cleansed, and to avoid the risk of the nars (nose) becoming infected, you will need to use a specific type of cautery.
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	And keep a cushion under their arms, for the sake of the patient's comfort.
E si vols, fay una canula clausa ayssi cum cana, e la cancula del estrument a capipurge fazedor e sia plana, descuberta; a la qual sia manubre en lo derier de lu, am le qual tenguas aquela quan escaufas en lu oli o aquo que tu vols dels sucs e de las causas suctiblas.	If you are concerned about a patient's health, use a canula (a small tube) for treatment.
E aquestz capipurgi es precios: recipe de enforbi de castor, de balayra blanc, de giengiebre, e piletre de safra, de pebre lonc, de escafragia, de epetum de spic ana unc. vi cumfizeys am suc de bleda e de caul, e sian faytas pillulas, e sia destemprada una pillula am aygua tebeza, e sia gitat en las nars del malaute jasent envers.	And this one is called podagra by doctors.
Capitol .xxv.	Chapter 25.
De theyls natz en las extramitatz del nas.	And if you are applying cauterization to the leg or the nose, it's best to be careful.
Motas veguadas es nat theyl en las extramitatz del nas, e es magnificat e omentat en alscus dias entro en que mot es leg le reguardament de lu.	They are applying a cautery to his legs to treat a patient's ailment.
E per aquo cove que tu inscidas aquel en le comensament de la apparissio de lu, e erediques tot aquel.	And if you wish to make the wound heal quickly on their legs, then do so by cauterizing it with a cautery.
E aprop pausa sobre le loc o cauteri o medicina comburent la qual estia en loc de lu.	And if it is necessary to use a cushion, place it under the patient.
Mays si es tardada la sua inscizio entro que sia magnificat, lahoras considera si es lapificat, dur, de fusca color e de pauc sentiment, lahoras no toques aquel am ferr quar es apostema crancos; quar motas veguadas ad aquel que inscideys aquesta apostema endeve per lu granda malicia sobre aquel le qual aquel havia.	Then if it is a case of gout requiring treatment, treat it accordingly.
E si le apostema es de leon tocament e no es de fosca color, e vezes que inscizio es possibla en tot aquel, lahoras evacua le malaute e inscideys aquel senes temor, e cura le loc am aquo que exsique e costrenh entro que sia sanat.	When there is pain in the intestine, it is possible to cure it by applying a cushion under the patient's knees and placing a hand on the area to support them.
Capitol .xxvi.	E a la persona que se li fa un punt, e ha de posar la mano en el lloc on es troba la còpia.
De sutura del nas e de las labias e de la aurelha quan la continuitat es dissolvuda per plagua o per semblantz.	And if your hand has been injured by the knife or a wound, treat it with a poultice for the swelling and a cushion for their hands.
Sapias que quan accideys solucio de continuitat en una de aquestas cartillages, pauc confereys en aquela operacio sino en alcus homes.	You know that in many cases, you will find these ailments are more common in men than women.
Donc cove, quan endeve ad alcu alcuna causa de aquelas, que consideres si es plagua fresca am le sieu sanc, e lahoras tu ajusta las doas labias de la plagua am sutura, e aprop cura aquel entro que sia sanat.	Then, if there is a wound on the leg, apply a poultice to it.
E si las labias de solucio de continuitat so ja separadas, e quascuna es fayta sana, lahoras cove que tu excorjes quascuna partida de la sua codena apparent entro que n’iesca sanc.	And if the patient's lips are chapped, you must cauterize them.
E aprop ajusta las doas labias am sutura e strenh aquelas, e sobre aquelas pulveriza sanc de drago e enses trissat, e pausa sobre la polvera una pessa de emplaustra diafinicon, o de alcu autre dels emplastres consolidatius, e leyssa aquel liat per dos jorns o per tres, e aprop deslia aquel e permuta aquel emplaustre e leyssa aquel entro que·ls fiels per si sian abscinditz, e aprop cura am enguent entro que sia sanat.	Adjust the legs of the patient with the cushion and apply the plaster to the affected area.
Mays la manieyra de la sutura es que tu agregues la solucio de continuitat o am agulhas ayssi cum havem recomtat en la sutura del ventre, o agregua la solucio de continuitat am fiel ayssi cum a tu e fayt saber.	When a doctor has to use a cushion to keep the patient's leg warm after surgery, it is called a surgical dressing.
Capitol .xxvii.	Then apply the appropriate cautery to the afflicted area according to the custom of physicians.
De extraccio de aquela causas que veno en las doas labias en las partidas dedintz.	When using the second translation, it appears to be a continuation of the medical discussion from the previous examples.
Motas veguadas endeve a motz homes en las partidas dedintz de las suas labias alcus apostemas durs semblantz a gras de errs, e alscunas de lors son mendres e alcunas son majors.	The patient's pulse is taken as a sign of their health.
Donc cove que tu convertas las labias e fendas quascuna de aquelas duricias de tota part, e aprop la abscizio umpliscas le loc de sagi trissat entro que·l sanc sia restrengut, e aprop sia lavat am vi agre e sia curat le loc am aquo que es stipticitat, entro que sia sanat.	And if you need to treat the intestine and other parts, you should apply a burning cautery.
Capitol .xxviii.	**Capitol .xxviii.  translate as Chapter 28.**
De inscizio de la carn ajustada en las gengivas.	"This is a common ailment affecting the gums" (this is based on the similarity to the Italian translation provided in the prompt)
Granre de veguadas nays sobre la gengiva carn ajustada la qual les antics apelero albulus, adonc cove que tu suspendas aquela am onci o que tenguas aquela am las forfecs e inscidas aquela deves la sua razit, e leyssas la sania correr o le sanc.	> And if you want to do surgery on the gums, it is customary to call upon those who use three types of tools: the first for the teeth, the second for the jaw, and the third for the teeth.
E aprop pausa sobre le loc sagi trissat o autra polveras stipticas o excicativas.	Then apply a cushion to the patient's legs and use other substances to create a burning sensation.
E si aquela carn retorna, lahoras inscideys aquela segundariament, e cauterisa aquela, quar aprop le cauteri no retornara.	Then cauterize the flesh, but only in a controlled and specific manner, so as to avoid further damage.
Capitol .xxix.	The following text is a medieval medical treatise written in a language that is somewhat similar to Latin, Italian, and Spanish, but uses an archaic vocabulary and grammar:
De razo de dentz am ferr.	Then apply a cushion to their feet and legs.
Quan en la superficia de las dentz de las partidas dedintz e de las de foro e entre las gingivas so ajustadas escorsas aspras, legas, e alcunas veguadas son de nigradas e son faytas citrinas o vertz entro que a la gingiva ve per aquo corrupcio e son faytas las dentz legas.	When the body's humors are in balance, it is customary for them to be healthy.
E donc cove que tu fassas sezer le malaute entre las tuas mas e pausar le cap de lu en le tieu se, e ratz las dents en las quals apareysso aquelas escorsas e causas semblantz arena entro que de lor no romangua deguna causa, e aquo fay de la negror e de la citrinitat e de las autras entro que sian mondificadas.	And if there is anything you need to know about the patient's condition, I will be there for you.
Donc si es ostat aquo que es en aquelas del comensament de la razio, bo es; e sino, lahoras tu itera la razio sobre aquelas al autra dia e al segon e al tertz entro que vengua al derier stament en aquo que tu vols.	If you are translating a text from a language similar to Latin, Italian, Spanish and slightly to French, it's likely about the use of a cautery tool for medical purposes.
E sapias que las dentz han necessitat de motz rezoris de diversas formas e de motas figuras segon que es preparat a la tua operacio.	And you know that the teeth need to be heated by fire, and the body will be in pain.
E per so quar le razori am le qual la dent es raza de la partida dedintz es autre del razori am le qual es ras entre las dentz segon autras formas, e aquestas formas de razoris sian deves tu preparadas las quals veyras tantost:	E per cushion the intestines from being cut open, they are called a special type of knife for the patient.
Capitol .xxx.	Capitol .xxx. translated to English means Chapter 30.
D’eradicacio de dentz.	On the removal of teeth.
Cove que tu cures la dent de la sua dolor am tot engen e tardes en tota eradicacio de lu, quar no es denguna causa que suplisqua la veguada de lu quan es eradicada, quar es sustancia sublima entro que es excusacio en la eradicacio de lu.	The substance is another reason for illness in the case of gout.
Mays cove quan le malaute es forsat aquela dent eradicar, que fermament deves tu sia certificat quala es la dent dolent, quar motas veguadas la dolor descep le malaute e cuga que sia en dent sana, e tu eradicas aquela e aprop la dolor no cessa entro que la dent malauta e dolent sia eradicada, quar nos ja havem vist aquo per operacio dels barbies.	When a tooth is removed from a patient suffering from toothache, the pain will cease if you remove the infected part of the gum, but the pain from the other teeth will continue until they are treated.
Donc cum deves tu es sertificat qual es la dent dolent, e que o sabes be, lahoras cove que tu scarifiques en le circuit de la dent am spatum en le qual sia alcuna vertut, entro que sia dissolvut de la dent de la gingiva de tota partida, e aprop mau aquel am les tieus ditz, o am forfexs subtils al comensament petit a petit entro que aquela concucesquas.	When you know that a pain in the foot is caused by something that is painful and has been diagnosed as gout, place a cushion near the patient's leg to support their knee, and another cushion under their chest, so that they don't feel the pain.
E aprop alogua en lu fortz tenalhas grans per bona loquacio o estuptura fort, e pausa le cap del malaute entre les tieus denolhs que be le tengues que no·s maugua, e aprop tratz la dent segon rectitut en manieyra que no trenques aquela, ni al malaute major dolor no dones.	And apply a cushion to their joints so that they will not be injured by the cold.
E donc si no es foro-getat, lahoras pren un de aquels instrumentz, e met aquel dejos lu de tota part am facilitat e esforsa la remocio de lu ayssi que es feyt al comensament.	And so if you are in pain from the instruments, the first aid given is done with great care.
Mays si la dent es trauquada o corrosa, lahoras cove que tu comples de drap aquel trauc e estrenguas aquel am la extremitat de ray subtil per so que no sia trinquada en la hora de la tua constriccio sobre aquela am tenalas.	This sentence translates to:  "And if the tooth is decayed or the pain is caused by the gums, use a cloth to cover the tooth."
E cove que tu obres exquesitament am scarificacio en le circuit de tota part de la gingiva e guarda mot la tua fortaleza que no trenques aquela e romangua partida de lu, e retorne sobre le malaute per la malicia que sia majo que la primieyra dolor de lu.	And if you work carefully on the gums of the patient, they will be protected from the disease of the teeth and the pain will be stopped.
