Ayssi comensan las paraulas de Albucasim .	And that's when we see the beginning of Albucasim's teachings.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	And if the wound is on the leg, treat it with a hot iron.
Capitol .x.	Chapter 10
De la cura axcirnah en la palpebra desus del huel.	This is likely referring to the use of cauterization in treating an ailment affecting the eye socket.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	Apellasion: It is customarily called the ailment of gout that affects children.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	And if you wish to make them sleep, you must apply cushions to their limbs, or rather to the legs, which are usually cushioned by the physician when treating a sore foot.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	And if you need to make a poultice for the foot, you should use a cushion on their legs so they don’t have to feel the pain.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	And if it is necessary to cauterize the whole body, it is customary to do so in many ways, but you must use a cautery that is appropriate for the location of the wound on the body, and apply it carefully.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	And if you are applying a cautery to the limbs, use those from the left side of the body for the right leg and vice versa.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	And be careful not to injure the intestine when applying the treatment.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	Then you have placed a cushion on the legs and another cushion upon the body.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	And if you want to help someone who has a wound in their leg, apply another to the patient's legs.
E aprop cura aquel entro que sia sanat.	Then apply your hand to the affected area so the pain doesn't spread further.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	When the sore occurs in the leg, it is healed by applying poultices to it.
Capitol .xi.	Chapter 11
De manieyras de tactimi del huel.	And if it is necessary to apply a poultice or other treatment to the affected area, then use them carefully.
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	The first three are just a few examples of what doctors call humoral medicine.
E donc cove que tu pauses le cap del malaute en le tieu se; aprop converteys la palpebra del uelh am la tua ma sinistra, e si es convertida, bo es; e sino, entromet agulha en aquela en la qual sia fiel de la partida pus dejos de la palpebra, e fay penetrar la agulha am fiel desus, e aquo sia — prop del marge de la palpebra en le qual naysso les pels — prop dels pels, e tira le fiel a las partidas desus am la palpebra, e converteys aquela am le ray.	Therefore, if you have an opportunity to treat the patient's ailment, then it is best to call it gout.
E aprop fen en la partida dedintz de la palpebra dejos les pels ajustatz am spatum inscidentz del lacrimal major entro al lacrimal mendre; e aprop extratz le fiel e pausa dejos la palpebra polvilhs petitz de coto o de drap, e aprop senha sobre la palpebra am tenta, e sia ayssi cum figura de fuelha de mirt.	And so if it is necessary to make points on the foot, then place them on the patient's body, put a cushion under their legs, and they will be healed as if by the application of a poultice of myrtle.
Mays empero cove que sia la figura segon la quantitat de helevacio de la palpebra, quar aquo ja es diversificat en les homes, quar de aquels es le quals indigeys que sia inscidit de la palpebra gran quantitat segon la quantitat per la qual la palpebra es mollificada.	And then there are those who believe that the ailment affecting the eyes of the afflicted is due to a wound in the eye.
E aprop fen am le spatum sobre las doas linhas las quals has senhadas, e comensa del lacrimal major entro al lacrimal menor.	Then apply heat to the affected area, and make sure the intestine stays inside.
E si’ la tua fissura prop dels pels naturals ayssi cum es la grossetut del rey.	And then place your hand on their legs to support them.
E aprop met le onci en un dels dos angles de la codena, e aprop excoria aquela tota, e aprop ajusta am la scitura las doas labias am gula o fiel de lana subtil, e abstergeys le sanc, e fay adherir aquo que superflueys dels fiels sobre dos sobrecils am alcunas causas enviscans, si voles far aquo, e sino, non cures.	Then carefully place a cloth over the wound on their foot to prevent bleeding if you want to make them bleed, and don't worry about the blood flow through the other two.
E aprop leyssa la sutura dels fiels entro a tres dias o quatre, e aprop cura aquo.	And then you should put a cushion under their legs for three days or three to four days.
E si vols, layssa la plagua ses sutura, e cura aquela am aquo que exsicca e constrenh, quar la palpebra es alevada deves la sigillacio de la plagua e la agreguacio de lu; mays sutura es milor E donc aysso diysso les antics de taxanir.	But if you wish, leave the plagua on their feet, and cure that which is dry.
Mays empero en lu sia sollicitut sobre le malaute, e es de bona operacio, e no es en lu temor.	The patient must not be afraid of the pain caused by the use of a cautery.
E es autra manieyra en taxmir, e es que senhes sobre la palpebra figura ayssi cum fuelha de mirt, e aprop eleva la palpebra am tres uncis segreguatz e congreguatz segon aquesta forma:	And if it is necessary to use a different method for applying cautery, you should place a cushion under the patient's thighs.
Mays si no es possible aquo, tener les uncis, e aquo no es engualhat, lahoras pren una agula en la qual haia fil e met aquela en le mieg de la figura, e entromet le autre fiel prop le lacrimal major, e·l fiel segon prop le lacrimal mendre, e ajusta entre les tieus ditz les fiels am equalitat, e aprop am aquels eleva la tua ma am elevacio engual, eleva tota la codena sobre la qual es senhat ayssi cum havem recomtat.	And if it is necessary to use a pointed cautery for their treatment, you must use it on the body's surface only after applying a cauterizing agent.
E aprop ajusta las doas labias de la plagua am sutura, e cura aquel entro que sia sanat.	And if the patient has an infected wound, it is healed by cauterizing the edges.
Mays si accideys apostema deves la tua inscizio o la tua fissura, seda aquel apostema am cerot e a lu semblantz, e am enguentz.	If a patient has a problem with their leg, they use a cushion to protect them from harm.
E alcunas veguadas endeve a la palpebra que·ls sieus pels sian convertitz, adonc cove que tu uses en aquela de aquo que havem dit de inscizio; mays sutura en quascus es mays artificial.	Therefore, for the pain in the foot, use the cautery on the area as we have said, which is used to apply it.
Ataxinir am cannas es segon aquesta forma:	Then apply the appropriate treatment for gout to the affected area.
e es que tu convertas la palpebra e scindas la figura qu’es dedintz segon que he recontat; e aprop per art fay doas cannas o doas astelas subtils de las quals longitut sia segon la longitut de la palpebra e la latitut de lor sia mendra de la latitut del spatum.	and he'll be able to see the blood vessels in their eyes.
E tu ja has inscidit en las extremitatz de quascunas partidas, la on tenes les fils.	And if it is necessary to make an incision in the legs of the patient, and they are holding their thread.
Aprop agregua quascuna am subtilitat subre aquo que superflueys de la palpebra del huel, e constres las cannas de quascunas partidas am fort strictura, e layssa aquela per alcus jorns, quar la codena per la strictura morira e sira denegada e se poyrira entro que per si meteyssa cayra.	This sentence is describing the symptoms and treatment of a medical condition (likely referring to bleeding into the joint), but I don't recognize the specific wording as a known language.
Mays si es tardat, lahoras trenca la am las toroyras, e aprop cura la plagua entro que sia sanat.	Mays es un'altra forma de dir humors.
Donc cum es solidada, la palpebra es elevada e les pels no pungo.	Therefore when the body is affected by a disease, it is said to be a proper treatment.
E aquesta es la forma de doas cannas las quals faras segon aquesta forma:	And then apply this method to the other parts of the body:
e haia la quantitat de la longitut e de la latitut ni mays ni mens.	And if it is cushions, neither too much nor too little should be used.
Capitol .xii.	The other hand should be used to place cushions under their legs.
De elevacio de pels pungentz en le huel am agula quan le pel es dur.	It's called "le" in the same way you would say "the leg".
Quan son pels no-naturals, durs e aspres e pungentz les huels, lahoras la operacio en lu es que tu prenguas agula subtil e pauses en aquela fiel de ceda subtil e leon, e aprop que tu ajustes las extremitatz de lu e nozes quascu en manieyra mot subtil.	If you have pain in your feet, it may be gout.
E sia la longitut dels fiels de quantitat de una palma.	And the length of the intestines should be about the length of a palm.
E aprop tu compon2 autre fiel subtil dejos lu en breu, e nuza las extremitatz de aquel si tu·t vols.	E if you've a burning pain in the feet, they will be treated by the physician as gout.
E aprop pause le malaute le sieu cap en le tieu se, e sia prop del solelh per que la tua obra sia declarada, quar es operacio subtil e menuda.	And you have placed your hand on their legs to be placed upon the cushion.
E aprop intromet la agulha en la razit del pel ajustat la qual ha necessitat de engen, e fay aquela penetrar en la palpebra festinantment entro que extraguas aquela desus le pel natural.	And then apply the needle to the foot, where it is necessary to place the needle in the patient's body to quickly alleviate their condition.
E aprop tire le pel entro desus e intromet aquel en alixati, e sian les pels un o dos o tres e no mays.	And then apply it to the skin or the foot so as to avoid further complications.
E aprop tira la tua ma am aquel entro que·l pel sia fora-gitat am alixolati en la palpebra am le pel natural.	And if the patient has a wound in their eye, another cushion should be used to cover it.
Mays si es atirat alixalati e non es gitat le pel, atiraras alixati a las partidas dejos am le fiel le qual tu has compost am aquela, entro qu’en sia gitat alixalati del trau sobira.	Then apply a poultice to the affected area, and if necessary, use other remedies for pain relief.
E vegas aquela am la visio del huel, quar lahoras tu gitaras alixati e lo fiel, e grotan quascu e clautz le huel, e laysse le claus per dos dias o tres, entro que·l pel adheresca al sieu loc e nasque sobre aquel bona carn.	And thus you will have cauterized the flesh, and another remedy for the pain in the feet, by using a method that returns their state to normal.
E si es mays breu le pel, lahoras tu ajusta un pel lonc dels pels naturals, e es elevat am aquel, o que·l leysses entro que sia alonguat aprop alcu spazi, e lehoras tu eleva aquel.	E another servant adjust a cushion to be placed on the foot so that he is no longer lifted up by the pain.
Capitol .xiii.	This chapter discusses the use of cushions in treating the patient's injury.
De la cura de ehacratir la qual ve en la palpebra desus.	If there's an excess of humors in the eye, another method is used to treat them.
Quan ve en le huel ehacratir, e es contraccio de la palpebra quan es contrayta en sus, o a dextra o a sinistra partida, per mala consolidacio de plagua o de seccio o de cauteri, e es apelada leporina, e aquesta ahercrati o es natural o accidental, e es fayta per consolidacio de plagua o de seccios o de cauteri, o per semblantz a lor malcuratz.	When the disease of the body is called leprosy, it should be treated with a burning cautery.
May la manieyra de la operacio en lu es que tu fendas aquela consolidacio e que separes las labias de lu, e pauses en lu en aquo que es entre aquelas una meca de drap de li, e ligues aquelas entro que sian sanadas.	This means: "apply a cloth to cover the wound"
E no cove que tu uses de curacio de lu de las causas las quals exsiccan, constrenho; quar si tu fas aquo retorna alixacratir pus mal que nulh temps no foc habantz.	And if your body needs to be treated with heat, apply a cushion to the area.
Usa en aquela de causas que mollifico ayssi cum es fenugrec, e embroca am la aygua en la qual son coytz altea e semensa de li, o enguent dyaquilon, le qual sia liquefayt am alcu dels olis, e submergeys en aquel la meca, e cura am aquel.	Usa that which is like to cause pain in the legs, and apply a bandage or compress to them.
E lo tesaur de la tua curacio es que tu perforsses am tot engen que no sia consolidat segon la forma que foc al comensament.	And the cure for your ailment lies in knowing that you have a powerful enemy in the pain of gout.
E aquesta operacio la qual havem dita, no es sino alcuna rectificacio de ehalixacrati que no retorna la forma del loc segon que foc denant.	And if that's the case, the location of the burn is ready to be treated.
Capitol .xiiii.	Chapter 14
De la cura de ehacrati le qual es fayt en la palpebra dejos.	The first line should be translated as:
Aquesta alxacrati la qual es fayta en la palpebra dejos, la qual es nompnada vertadierament alxacrati; e es de lu alcuna natural, autra accidental.	This is a true case of acne, which is sometimes called eye-lid plague.
Mays accidental es fayta per plagua o per scissura o per cauteri o per autres semblantz.	Then place another on the patient's legs and another on their feet, and apply them to the body with the plague or other ailments.
E la via de la operacio de lu es que tu prenguas una agula en la qual haga fil doble, e fiques aquela en la carn, e que la fassas passar del lacrimal de senestre entro al lacrimal dextre, entro que·l fil pervengua en las doas extremitatz de la carn.	Then apply the cautery to the body part, and when necessary, use it on the patient's body to treat the illness.
E aprop exten la carn a las partidas desus am la agula e cus aquela am la agula, e inscideys am spatum ample.	Then apply a cauterizing tool to their legs, and then put your hands on them.
E donc si retorne la figura de la palpebre segon que cove, bo es; e sino, pren le ray e pausa aquel en la figura fenduda, e am aquel converteys la palpebra, e fen las doas fissuras en le latz de la palpebra dejos.	Then place the cushion on their eyelids, and apply another to their eyelid area, if they are needed.
E sian las extremitatz de las doas fissuras de dos angles de la inscizio, la qual has fayta entro que concurren, e sia de lor fayt angle entro que quan se congreguan sia fayta figura de lor.	The patient's body has been affected by two sources.
E aquesta figura es letra greca: la landa.	And if it is necessary to apply a poultice to the affected area, you'll use a poultice (Greek: podragua).
E aprop osta la carn aquela per la quantitat que es le latz de lu agut dejos de lu, aquo que siec la palpebra.	Then place that part of the body back into its proper position.
E aprop ajusta las partz seperadas e cos aquelas am le fil de lana; e aprop cura aquelas am aquo que havem dit de las medicinas mollificativas e de las calguas entro que sia sanat.	Use cushions to soften and treat the affected area.
E si alxacrati endeve per fissura o sutura o cauteri, lahoras cove que tu fendas am fissura plana sobre les pels de la palpebra segon que es precedit.	And if the patient's pain is caused by a wound that has been made in the leg, the surgeon should treat them as for a wound.
E aprop separa am la calgua entre doas labias segon que havem dit.	And if it is necessary to separate the two lips as described previously.
En la suma del sermo de la cura de alxacrati quan es desus o dejos, que corra en lu operacio, segon que es preparat de la forma de alxacrati, e aquela es en forma de motas diversitatz.	And the treatment for the illness depends on the condition of the patient's intestines and feet.
E le artifexs savi totz temps prepara engen en quascuna manieyra la qual es possibla a lu entro que fassa retornar la figura a la forma natural, o prop de aquela, e aquel malaute segon que a lu conveneys de la operacio e dels strumentz en las majors disposicios.	And so the surgeon's tools are always prepared in case they need to be used on the patient's body during surgery.
Capitol .xv.	Chapter 15.
De la adherencia de la palpebra am la conjunctiva o am la cornea.	This means: When the foot needs to be opened up by a cushion, it is customary to call it gout.
Quan accideys aquesta consolidacio a motz homes enayssi que sia solidada la palpebra pus desus am le album del huel, e sia prohibida de la facilitat del movement e de las suas obras naturals, donc cove que tu entrometas la extramitat del ray dejos la palpebra, e eleva en sus aquela, o exten aquela am le unci.	Then apply a cautery to the eyelid as needed.
E aprop tu inscideys la adherencia am spatum subtil, le qual no sia am acuitat de las inscisios, habantz obtus un petit per so que·l malaute no sia inquietat deves la operacio, e remau le spatum que no ledesca le huel am la sua acuitat.	And if it is necessary to make incisions on the body you should use a sharp tool.
E sia la tua inscizio quays excorjan aquela adherencia am facilitat entro que sia retornada la palpebra segon la sua forma natural e que sia sanada tota la adherencia.	When the eyelid is affected by a condition that requires cauterization, apply the heat to the area in the way that you would apply it to an eye infection.
E aprop tu met en le huel aygua salada am la qual tu laves; o distilla en lu de zunia dissolvut en l’aygua.	Then apply salt water to the affected joint because it's the best remedy for humors which are being treated.
E aprop separa entre la palpebra e l’huel am calgua de li, e pausa sobre le huel lana infuza en album de huou, e aprop le tertz jorn usa de causas consolidativas entro que sia sanat.	And then, after three days, use it for the treatment of the foot, as the patient may be cured.
Capitol .xvi.	This is the beginning of the sixteenth chapter.
De inscizio de ungla e de eminencia de carn dels lacrimals.	Of which fleshly part are they suffering from.
Sapias que ungla es segon dos manieyras, quar o es nervosa, e es semblant a ciphac dur subtil; o es no-nervosa, semblant a humiditat blanca congilada, la qual quan ferr la toca, o es forsat aquela prendre am onci, es abscindida e le onci no es ficat en lu.	Then it is clear that you have already described how to treat gout with a pointed cushion (likely used for cauterization).
E amdos las specias no comensan sino del lacrimal major entro que va petit a petit que cobre la vista e prohibeys le lum e·l movement de huel.	When one uses a hot cautery, it should be applied gradually to the patient's tear duct, so as not to cause pain.
Mays la manieyra del obrar en la inscizio de lu es que·l malaute pause le sieu cap en le tieu se, e aprop obre les huels de lu, e eleva la palpebra am la tua ma, e aprop colligeys la ungla am onci de pauca duplicacio e exten aquela a las partidas desus.	Another way to say that, or at least a more common way to say it, is to say that the patient's legs are affected by pain in the foot.
E aprop pren una agula e entromet en aquela un pel de cavalh o de buou o de vaqua, o de semblantz, o de fiel fort, o duplica la extremitat de la agulha petit a petit e fica aquela en le mieg de la ungla, e penetra aquela am la agulha, e lia am fiel la ungla; e exten aquela a las partidas desus, e excorja am le pel le latz de la ungla lo qual siec la pupilla.	And if you need to make a puncture on the foot, then use a needle or a lancet in that case.
E ayssi tu sieguas aquela am le pel entro al derier de lu.	And then you will cauterize those areas on their legs.
E aprop tu inscideys le romanent en la razitz del lacrimal am spatum subtil o am petitas forfexs, e leysa la carn del lacrimal natural per so que per inscizio de aquela no endevengua fluxs de lagremas continuabla.	Then apply the cautery to the area to remove any excess fluid from the patient's body.
E alscunas vetz la ungla am le sol onci estenduda o am fiel, ayssi co havem dit, e aprop sia excurjat am spatum leon del qual aquesta es la forma de lu:	And if it is necessary to put your hand on the patient's foot, it should be done gently to avoid disturbing them.
E guarda te que am le spatum no toques la tunica cornea e que avengua en lu ruptura, e que la pupilla sia perforada.	The pupil was pierced, and be careful that you do not touch the cornea with the eye-opening instrument.
Aprop la inscizio geta en le huel un pauc de sal trissa o di cief fayt de siniar, e leyssa aquel entro al autre dia; e aprop cura aquel am aquo que cove entro que sia sanat.	The first step is to apply the cautery to the affected area.
E si la ungla no es nervoza e no podes metre la agulha, ni es ficada en aquela le onci, lahoras motas veguadas aquesta specia de ungla es curada am medicinas, e es sanada ayssi cum yeu e recomtat en la divisio.	And if the nail is not diseased or inflamed, it is treated by doctors, and healed by other means as well, for the good of the patient's health.
E si tu vols inscindir aquela, lahoras tu obre le huel del malaute e pren spatum subtil leon de freul acuitat segon aquesta forma:	And if you wish to divide that, open the cushion of the patient's body, and let me know what you want to call it.
am subtilitat.	And if it is a subtle matter.
E si vezes que aquela es rarificada e es confugida e empren en aquela razit, lahoras distilla de la tua ora en le huel de cief fayt de siniar o am cief rog o am sal trissat, e opila le huel entro a l’autre dia.	And if it is necessary to perform cauterization on the joint, you will apply heat from the inside, out of which the humors are caused by a cold nature.
E aprop itera sobre aquela la operacio entro que sia remaugut tot aquo que es de lu, sino que·l contrari apostema caut sia en le huel, quar lahoras tu leyssa aquela, e cura al comensament la apostema entro que sia sanat.	And apply a hot cushion to the affected area of the joint.
E aprop itera la tua operacio sobre aquela am razo entro que sia sanat.	And then place the cushion under their legs again to apply it to their thighs, and another on the foot to make them warm and comfortable.
La emenencia de la carn lacrimal, si notz en le huel per gran nocument, sia suspendut am onci; e inscideys aquela de aquela una partida, e no ultimes la inscizio per so que no inscidesqua fluxs de lagremas.	Be careful, for the condition is serious and can be treated by physicians.
E aprop distilla en le lacrimal cief rog e fayt de siniar entro que sia sanat.	And if there is a need to stop the flow of tears from the eyes, so they do not protrude.
Capitol .xvii.	When gout appears in the legs, it is necessary to apply a pointed cautery for pain relief.
De inscizio de alguazardenic e de aquo que es nascut de carn ajustada en le huel.	And so apply the cautery to the affected area of the body.
Alcunas veguadas en les huels de alcus es nascuda carn roga, e es sobre-pausada entro que cobre la pupilla, o apropinqua o estrenh sobre las palpebras e fort leu comprem las palpebras a las partidas deforo e es assemblada a roza de balaustra.	Some are given to believe that gout affects the body, such as causing pain in the feet, but they are actually caused by other factors.
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	The patient has gout, and the only way to treat it properly is to apply a cautery to the affected area.
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	And let your leg be burned with small hot irons, as the case may be.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	When your purpose is to reduce inflammation from an injury, you may use a poultice for that purpose.
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	And if the doctors are called upon for the treatment of a particular condition, they will apply hot cautery to the affected area, as needed.
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	Then apply heat to the legs to draw out the natural humors.
Capitol .xviii.	This sentence appears to be describing the symptoms of gout, a condition where a cushion is placed under a patient's legs while they are experiencing pain caused by a buildup of something in that area, likely referring to the swelling and pain associated with the disease.
De colleccio de sabel en le huel.	Regarding the gathering of humors, the following are needed:
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	And if your hands are stiff and painful, they are called stubborn.
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	Therefore, you must first consider the cause of the pain before calling it gout.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	And if he has gout in his foot, you must place the intestine or leg on the patient for the appropriate treatment.
o so dos oncis gradantment en un cos segon aquesta forma:	And thus you have opened the door to the treatment of the body's ailments.
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	Then apply a poultice to their legs and feet.
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	And if you have placed a cushion under their foot, do not be afraid to use it.
E quan tu auras complitz, lahoras tu distilla en le huel cief vert o rog per que am sa acuitat corrodesca aquo que es remaugut del sabel.	And when you have finished that, apply cold water to the affected area.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	And if you have a cushion in your hands, use it to support the patient's legs for a few days.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	And then apply the same method to the second area to heal it.
E aquesta es la forma de las forfexs:	And this is the form in which the body's humors are found.
Capitol .xix.	Capitol .xix.
De reduccio de arizati al nas.	A la reducton del body's humors, especially in the nose.
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	Then, when the intestine or feet are affected by a disease which requires cauterization.
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	Therefore, when the bone is exposed and has black spots, use this method to treat them.
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	And if there are sharp pains in the legs, this would be called gout, which is characterized by its subtle nature.
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	And then, place your hand on the affected bone to prevent its corruption.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	And then apply a hot cautery to the patient's legs to treat them.
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	When translated into English, this sentence reads:
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	And if you are unable to reduce the pain in the manner described, then they should be treated as gout would normally be treated.
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	The patient should be treated for three days with a hot poultice on their limbs, as prescribed by the doctors, to prevent them from becoming gout-ridden.
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	Then place your hand on the patient's legs to hold the intestine or push down on the bones so they do not come out during the procedure.
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	Thus, you must treat the patient with medications to dry out the affected area.
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	Therefore, since the body is weakened by the illness, the patient needs to be cared for.
Capitol .xx.	Capitol .xx. is a chapter heading in Latin, likely indicating "Chapter 20" in a medieval medical treatise.
De reduccio de la eminencia del huel.	And then apply a cushion to the area.
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	And when the body is affected by excessive cold, it is said to be afflicted with gout, and in this case, the pain is felt in other parts of the body, such as the feet, which are then treated with a cushion.
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	Then fold in four pleats the cloth that you've been given for their legs and place it under the cushion on which the patient has been placed.
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	And then apply a cautery to the intestines, and place another cushion under them.
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	And then apply the cupping therapy to their legs, and if it is necessary to make more than one incision on the back of the knee.
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	Then cover them with warmth.
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	And then you must stop the patient from being in pain.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	If the patient's body is not healthy, then apply a poultice to their legs.
Capitol .xxi.	Chapter .xxi.
De la inscizio de la eminencia de la tunica uvea.	Then apply a cushion to their legs and let them be treated.
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	The first line describes the condition known as edema, where there is swelling in the legs due to imbalanced humors.
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	Then place a needle between the patient's hands.
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	Then apply a poultice of herbs to soothe the affected area, and use a bandage to heal the wound.
