Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albuccassis.
Quan deves la eradicacio de dent le qual es trinquat roman alcuna causa, lahoras cove que tu pauses sobre le loc coto am boder per un jorn o per dos entro que·l loc sia mollificat; e aprop entromet algesti o tenalhas las extramitatz de las quals so asembladas al bec de un auzel apelat ciconia o guanta, la forma de las forceps:	If you need to extract a broken tooth, there should be some cause for this, then you must wait over the area covered with a bandage for one or two days until it becomes softened; and then insert tweezers or pliers similar to the beak of a bird called ciconia or guanta, the shape of forceps:
Las extramitatz de lor sian faytas dedintz ayssi cum lima o alfagi.	The ends of these (the tweezers or pliers) should be made flat like a file or an alfajar.
E si no obediys a tu a eyssiment am aquestas forceps o tenalas, lahoras cove que tu caves sobre la razit e descrobas tota la carn e entrometas le instrument le qual ha nom atali, so es palanca petita del qual la forma es aquesta:	And if you do not comply with this forceps or tweezers, then you must be careful of the root and carefully cut all the flesh and insert the instrument called an ataly, which is a small lever with the following shape:
E sia de breu extremitat grossa un petit, e no sia enbegut per so que no sia trinquat.	It should have a short, thick handle, not bent so that it is not broken.
Donc si per aquo la razit es foro-getada, bo es; e sino, ajuda te am aquestz autres instrument dels quals aquestas son las formas: la forma del primier instrument es de triangulada extramitat en la qual sia alcuna grossesa:	Therefore, if the root is forgotten in this process, that's good; and if not, help yourself with these other instruments of which these are their shapes: The shape of the first instrument is a triangular end with some thickness.
La forma del segon instrument es que sia de triangulada e de pus subtil extremitat.	The shape of the second instrument is that it should be triangular and have a very thin end.
E ja so ajudatz am aquest instrument havent dos ramps del qual aquesta es la forma aprop la seguent:	And now you will be helped by this instrument that has two ramps with the following shape:
e am autres instrumentz les quals precidero en rasura de dentz; quar juvament es fayt am aquest instrument le qual es asemblat a onci gran, e aquesta es la forma:	and with other instruments that I will describe for the removal of teeth; because it is done with this instrument that resembles a large scissor, and this is its shape:
de la triangulada extremitat torta o curta, la qual sia alcuna grossesa, e no sia enbegut per so que no sia trinquat.	of the triangular twisted or short end that has some thickness, and not bent so that it is not broken.
E otra sapias que·ls instrumentz de las dentz motz so e semblantment les autres instruments.	And another thing you should know is that tools for teeth removal are made similarly to other instruments.
Mays le artifexs savi e subtil en l’art, atroba per si mateys segon aquo que a lu significa la operacio e las malautias diversas; quar son de las malautias a las quals les antics no diysero ni pausero propri instrument, per las formas de diversas specias.	However, skillful and subtle craftsmen who are knowledgeable in the art, will learn for themselves according to what this procedure means and the various diseases; because there were diseases for which ancient physicians did not have or use a specific instrument, due to the different shapes of diverse species.
Mays si es trinquat l’os de la mandibula o dels autres osses de la boca, o si poyreys, lahoras sia pes curat sobre aquel en son loc am aquo que es a lu convenient dels instrumentz e de las forceps las quals havem dit en la extraccio de las razitz de las dentz, e ajuda te am gesti del qual aquesta es la forma:	If the bone of the jaw or other bones in the mouth is fractured, or if it needs to be moved, then a piece of cotton should be applied to that area with what is suitable from the instruments and forceps mentioned during the extraction of tooth roots, and assisted by the hand motion of the person performing this action. This is the method:
E sia en lu alcuna grosseza petit a petit, e sia instringida o tenguda am la boca per que no evasesca o fuga entro que l’os de tot sia foro-getat; e aprop restaura le loc am medicinas convenientz ad aquo.	Make it gradually smaller, and hold it in the mouth so that it does not escape or fall out before the bone is healed; then restore the area with suitable medications.
Mays si en l’os es petita poyredura, lahoras ratz aquel de aquela poyredura e de la sua negror, e cura aquel entro que sia sanat.	If there is a small fracture in the bone, remove that part of the fracture and its blackness, and heal it until it is healed.
Capitol .xxxii.	Chapter XXXII.
De la cura de las dentz eminentz sobre las autras.	On the treatment of prominent teeth compared to others.
Quan las dentz so eminentz no segon lor cors natural per aquelas la forma es laga, e majorment quan endeve a las femnas, e majorment a las piuselas venerablas; donc cove que tu consideras: si dent es nada aprop autra dent, e no es possibla sarradura ni linament de lu, lahoras radica aquela; mays que no sia annexa am autra dent, lahoras tu inscideys aquela am aquest instrument del qual aquesta es la forma; e es semblant a morr de porc, e sia feyt de ferr de India de extramitat mot aguda.	When teeth protrude unnaturally from their normal shape, and especially when they do so in women, and especially in venerable girls, it is necessary to consider: if the tooth is close to another tooth and neither suturing nor linament can be used, remove the root of that tooth; but if it is not attached to another tooth, cut it with this instrument whose shape is as follows: like a pig's snout, made of sharp Indian iron.
E sia la tua inscizio am la qual inscideyses aquela en trops dias per la duricia de la dent, e que no sia comauguda autra de las dentz.	Make the incision with which you will cut it in several days according to the hardness of the tooth, and ensure that it does not damage any other teeth.
E si es dent eminent expausat a limadura, lahoras lima aquel am lima de ferr de India del qual aquesta es la forma:	And if the protruding tooth is worn down by grinding, grind it with an Indian iron file whose shape is as follows:
E sia tot de ferr de India e·l margua eysament; e sia de motz menutz puntz ayssi cum lima am la qual son faytas agulhas, am la qual la dent sia limada pauc a pauc en motz dias am fecilitat, per so que no sia autra dent comauguda e caga.	The entire file should be made of Indian iron and its edge should be sharp; it should have many small points like a drill bit, with which the tooth can be ground down gently in several days with ease, so that it does not damage any other teeth and fall out.
E aprop lineys aquela en la fi, e ratz aquela am alscus razoris.	And align the edge of the file at the end, and remove that part with another razor.
E si es dent del qual una partida es trinquada e lideys la lengua, lahoras cove que tu limescas aquel entro que l’aspretat de aquela fraccio sia ostada e engualhada, e sia aplenada per so que la lengua no ledesca ni la paraula no corrumpa.	If part of the tooth is fractured and the tongue licks it, you must file that part until the sharp edge of the fracture is removed and filled so that the tongue does not hurt or corrupt the speech.
Capitol .xxxiii.	Chapter XXXIII.
De restauracio de dentz maugudas am fiel de aur o de argent.	On restoring damaged teeth with gold or silver filings.
Quan accideys a las dentz devant concussio e remossio per percussio o per cazament, e le malaute no pot strenher sobre aquo que manga, e tu has curat aquel am medicinas stipticas, e no ha valgut la tua curacio, lahoras per so que no cagan es engen en aquelas que sian strengudas am fiel de aur e no de argent, quar argent se fa vert e aprop se poyreys aprop alscus dias, mays aur nul temps no es mudat.	When teeth are knocked out due to injury or extraction and the patient cannot bear to eat, and you have treated it with stiffening medications, but your treatment has not been effective, then in order to prevent decay in those that are strengthened with gold fillings and not silver (since silver turns green and needs to be replaced after a few days, while gold does not change over time), use this method:
E sia le fiel en tal subtilitat e grocesa segon la quantitat que puesca entrar entre las dentz; e la forma de la reccio es que prenguas le fiel e pren lo doble de lu entre doas dentz sanas, e aprop que cresques am doas tortuositatz del fiel entre doas maugudas, o si’ una o motas, entro que pervengua la tela a la dent sana del autra partida.	The filling should be made with the appropriate thickness and size depending on the amount that can fit between the teeth; the shape of the recess is such that you take the filling and place double the amount between two healthy teeth, and allow it to grow curved between two damaged teeth, or if one or more, until it reaches the healthy tooth on the other side.
E aprop itera le teyssiment entro a la partida de la qual comenciest, e strenh la tua ma am facilitat e savieza entro que no sia mauguda.	Then apply the cement to the damaged area where you started, and strengthen your hand with ease and skill until it is not damaged anymore.
E sia la tua striccio am la qual strenhas le fiel deves las razitz de las dentz que no evasesca.	Your strong grip should be used to hold the roots of the teeth that may fall out.
E aprop inscindeys las extramitatz del fiel superfluens am las forceps o tosoyras, e agregua aquelas en quascun loc am gesti, e converteys aquelas e las occulta entre la dent sana e la dent mauguda, per so que no fassa lesio a la lengua.	Then cut off any excess filling with forceps or scissors, and insert it into each location using hand movements, and fold and hide the excess between the healthy tooth and the damaged tooth, to avoid hurting the tongue.
E aprop leyssa aquela ayssi streyta cum roman.	And seal that tightly like a Roman.
Mays si es desliada o rumpuda, strenh aquela o aquelas am autra fiel en tal manieyra en tot son temps.	But if it is loose or broken, strengthen it with another filling at all times.
E aquesta es la forma de las dentz e la figura de la rectacio de doas dentz sanas e de doas maugudas, ayssi cum vezes aquestas liadas:	This is the shape of teeth and the configuration of two healthy teeth and two damaged teeth, as shown below:
E quan se fa que retorno una dent o doas aprop le cazement de quascuna en lors locs, e sian recrescutz ayssi cum havem recomtat, e que remauguan.	When a tooth or teeth return to their original position following extraction, and they are allowed to grow back as recommended, and remain healthy.
E no fa aquo sino bo artifexs e savi.	Only experienced and wise people should do this.
E alcunas veguadas es aptat alcuna causa dels osses de vaca, e es fayt de lor ayssi cum forma de dent, e es pausada en loc en le qual defayl la dent, e es strengit ayssi cum havem dit, e reman e serveys am aquel per lonc temps.	A piece of cow bone can sometimes be used for a cause of the jaw bones and shaped like a tooth, placed in the place where the tooth is missing, strengthened as we have said, and remains and serves for a long time.
Capitol .xxxiv.	Chapter XXXIV.
De inscizio del liament le qual ve en la lengua e prohibeys loquela.	On incising the ligament that is found in the tongue and preventing speech.
Aquest liguament le qual ve dejos la lengua alcunas veguadas o es natural am le qual hom nays, o accidental e accideys per plagua la qual ja es consolidada.	This ligament that is found behind the tongue sometimes occurs naturally with some people or accidentally due to an illness that has already been consolidated.
E la operacio en lu es que huobres la boca del malaute, le sieu cap existent en le tieu se; e eleva la sieua lengua, e aprop inscideys aquel liament nervos segon la latitut entro que sia solvuda la lengua de la sua recencio.	The operation is to open the mouth of the patient and expose their cavity; lift their tongue and incise the nervous ligament as wide as possible until the tongue is released from its root.
Mays si en aquela es alcuna duricia o denodacio, e aquo es stat per consolidacio de plagua, lahoras tu gieta unci e scindeys aquel per la latitut entro que aias inscindit le liament e sia dissolvuda la nodacio.	But if there is any hardness or obstruction due to consolidation of an illness, then you throw salt and cut through it as widely as possible until the ligament is incised and the obstruction is resolved.
E guarda te que no sia fayta fissura en le preon de la carn e que scindas aqui arceria e vengua flux de sanc.	And be careful not to cause a wound in the skin of the flesh and that you split this arch, so that blood flow comes out.
E aprop sia lavat le vestigi de la inscisio am ayguaros o am vi agre o am aygua frega; e aprop pausa dejos la lengua licini; so es meca la qual tengua le malaute dejos la lengua en quascuna nuoyt per so que no sia consolidat autra veguada.	Then wash the remains of the incision with warm water or vinegar, or water and soap; then hold it closed for a time, so that the patient does not stick out their tongue in any way every night to prevent it from healing again.
Mays si accideys flux de sanc, pausa sobre le loc vetriol trissat; mays si le sanc ventz, lahoras cauteriza le loc am cauteri lantiginos le qual conveneys ad aquo.	But if there is bleeding, place a piece of vitriol on the spot; but if blood comes out, then cauterize the spot with a cautery made from lignin vitae (a tree resin).
E aprop aquel cura am las autras causas entro que sia sanat.	And take care of the other causes until it is healed.
Capitol .xxxv.	Chapter XXXV.
De extraccio de ranula dejos la lengua.	On the removal of a lymph node from under the tongue.
Alcunas veguadas accideys dejos la lengua apostema asemblant a nomla petita prohibent la lengua de la sua operacio natural; e fort leu es magnificada entro que huempla la boca.	Sometimes, under the tongue, there appears an ulcer resembling a small pimple that prevents the tongue from performing its natural function and swells the mouth greatly.
E la operacio en lu es que huebras la boca del malaute sesent devant le solel e considera le apostema.	And the operation on it is to open the patient's mouth wide in front of the sun, and examine the ulcer.
E si tu le vezes de fusca color o de negra, dur, al qual le malaute no atroba sentiment, lahoras no toques aquel quar es cranc.	And if you see it is blackish or dark in color and hard, the patient does not feel anything from it, then do not touch the cancerous part.
E si es declinat a blancor, en le qual es humiditat, lahoras tu met le onci en lu, e inscideys aquel am spatum subtil, e inscindeys le de tota partida; e si sanc te ventz en la hora de la tua operacio, lahoras tu pausa desus zegi trissat, so es vetriol, entro que sia restreyt le sanc.	If it turns white with humidity, then you put onion in it, and incise it with a subtle spatula, and cut it all around; if blood comes out during the time of your operation, then you hold zinc (vitriol) over it to stop the bleeding.
E aprop retorna a la obra tua entro que lo haias trayt am compliment de lu, entro que sia lavat am vi agre e sal; e cura aquel am l’autra curacio ad aquo entro que sia sanat.	And then return to your work until you have treated it with the above, until it is washed with vinegar and salt; and treat it with other treatments until it is healed.
Capitol .xxxvi.	Chapter XXXVI.
De extraccio de apostema de doas aurelhas e de aquel que es nada en le golayro e de las autras apostemas.	On the removal of an ulcer between two ears and the one that is nothing in the cauliflower (gland) and other ulcers.
Quan endeveno en le golayro godat, so son glandulas las quals son asembladas algodat, las quals accideysso deforas e son nompnadas doas aurelhas, las quals quan tu las curas am aquo que havem dit en la divisio e no es sanat, lahoras tu considera si le apostema es dur, de fusca color, de pauc sentiment, lahoras no toques aquel am ferr.	When a gland becomes swollen, they are similar to cauliflowers, which appear outside and are called two ears; when you treat them with what has been said in the division, and it is not healed, then consider whether the ulcer is hard, dark in color, with little sensation, then do not touch it with iron.
E si es de roga color e la razic es grossa, lahoras no toques aquela am ferr per le flux del sanc; abantz layssa aquel entro sia madurat, e lahoras o tu trauqueras aquel, o sira romput per si.	And if it is red in color and the root is thick, then do not touch it with iron due to blood flow; leave it alone until it matures, and either you pull it out or it breaks on its own.
E si es de blanqua color, radon, e la razit de lu es subtil, lahoras aquel es que cove esser inscidit.	If it is white in color, round, and the root of it is thin, then that one must be incised.
E la operacio en lu es que consideras, denant la tua operacio, si ja ha repausat le apostema de lu caut am repaus complit o si es deminuit am alcuna deminucio; e lahoras fay sezer le malaute denant le soleyl, e·l cap de lu sia en le tieu se, e huebre la boca de lu, e le servidor prenent entre las suas mas prema la lengua de lu dejos am instrument mot noble del qual aquesta es la forma:	The operation on it is to consider whether the ulcer has rested in place with cautery and repose completed or if it has been diminished by any means; then hold the patient facing the sun, the head of the patient should be under your hand, and open their mouth wide, and a servant takes the tongue between their hands with a noble instrument with this shape:
E sia fayt de argent o de aram, e sia subtil cum cotel.	It should be made of silver or iron and be thin like a knife.
Donc cum tu premes am aquel la lengua e es mostrat a tu la apostema, e catz sobre aquel le tieu vezement, lahoras pren onci e fica aquel en l’amenla, e tira aquel a las partidas defora tant quant podes.	Thus, when you press the tongue with it and show the ulcer to you, then you catch it with your instrument, and take onion and place it in the wound, and pull it out as far as you can.
Otra aquo que tiras alcuna causa de las tunicas, e aprop incideys aquela am instrument del qual aquesta es la forma:	Another thing that pulls the covering of the cauliflower, then incise it with an instrument with this shape:
e es asemblat a forceps, empero las extramitatz de lu son corvadas, ayssi que l’orrifici de quascuna de aquelas es en le endreyt del autra, mot agudas, le qual sia de ferr indi enbegut.	and is similar to forceps, but the prongs of it are curved so that the orifice of each one faces the other, sharp and made of iron with a blunt tip.
Mays si aquest instrument no es a tu present, lahoras inscideys aquel am spatum del qual aquesta es la forma de lu: E sia agut de la una part, no agut del autra part.	But if this instrument is not available to you, then incise it with a spatula of this shape: sharp on one side and blunt on the other.
E pus que has inscidit una mella, inscideys l’autra segon aquesta meteyssa manieyra de inscizio, e aprop la inscizio le malaute guarguarise de aygua frega	And when you have incised one side, incise the other side in the same manner of incision, and then hold the patient's wound with warm water.
Mays si endeve flux de sanc, guarguarise aygua de decoccio de scorsa de milgrana o de fuelha de mirtra e semblantz ad aquel de las causas stiptiquas entro que·l flux del sanc sia restreyt, e aprop cura aquel entro que sia sanat.	But if bleeding occurs, use the decoction of milk thistle or mastic tree leaves, similar to those for styptic causes until blood flow is stopped, and then treat it until it heals.
E alcunas veguadas naysso en le guolayro autras apostemas otra aquelas doas aurelhas, e inscideys aquelas segon que yeu e dit en la inscizio de doas mellas engualment.	Sometimes, other ulcers appear in the cauliflower besides those two ears, and incise them according to what I have said in the incision of two blisters.
E yeu ja fu medicat una femna de apostema le qual era nat en le golayro de lu, le qual apostema tendia a color fusca, de pauc sentiment, le qual ja havia claus le golayro de lu, e la femna respirava am meat streyt, e ja havia prohibit a lu comestio e beure de aygua, e ja era pervenguda a la mort si mays agues stat per un dia o per dos.	I have treated a woman with an ulcer that was located in the cauliflower of hers, which was dark in color and had little sensation; she already had her cauliflower closed, and she was breathing with difficulty, and she had already prohibited food and drink for herself and was near death if she had stayed for a day or two.
E l’apostema ja tant havia pugat que havia mezes dos ramps entro que eyssiro per dos traucs.	The ulcer had grown so much that it had to be drained through two incisions.
Donc yeu me cuytegui fisturalment e fiquegui en un de lor onci, e tiregui aquel, e atirada es de lu gran porcio, e aprop yeu incidigui aquela de on comprendegui del autre trau, e aprop yeu obrigui la boca de lu, e compremegui la sua lengua, e aprop yeu fiquegui le onci en aquela apostema.	Thus, you should cut the cauliflower fistula and place an onion in one of them, pull it out, and collect the large part, and then incise the other opening, and hold the mouth of the patient, compress their tongue, and place the onion in the ulcer.
E aprop yeu abscizi gran partida de lu, e no corria de lu sino un pauc de sanc.	You have already made a large incision in it, and only a little blood flows from it.
Donc absolut es le guolayro de aquela femna, e comensec tantost beure aygua, e aprop presec vianda, donc yeu no cessegui inscidir de aquela apostema motas vetz per lonc temps, e succesia apostema en loc de aquel, le qual inscizia entro que es prolonguat aquel.	Then the hernia of that woman is healed, and she should begin to drink water immediately, and food should be prepared for her, so you do not continue to make incisions in that abscess many times over a long time, but an abscess will occur at that location instead, which should be incised before it prolongs.
Donc yeu engen agui e cauterizegui le guolayro de lu, donc astec de addicio; e aprop yeu perambulegui e no saubi que fec Dieus de aquela aprop mi.	Then you burn the wound with fire and cauterize it, so that it does not become infected; and then you walk around and do not know what God has made of that place.
Capitol .xxxvii.	Chapter XXXVII.
De inscizio de huvela quan es apostemada.	On the incision of a hernia when it is abscessed.
Quan catarr deysen a la huvula, e es apostemada e es longa, lahoras ela es nompnada perpendicular; e si es en la partida dejos grossa e redonda, e lahoras ela es apelada buba.	When catarr appears in the hernia and it is abscessed and long, it is called perpendicular; and if it is in the thick and round part near the anus, it is called a bubble.
Mays quan es curada am aquo que havem dit en la divisio, e no comfereys la tua curacio, e eyssament ja vezes que apostema caut ja es ostat de lu e es subtil, lahoras cove que tu inscidas aquela que es agreguadas redonda; e si es ad aquela longitut, e es sanguina, de fusca color o de negre, e no es a lu centiment, lahoras cove que tu temtes la inscizio de lu, quar en aquela es temor sobre le malaute.	But when it is healed as said above and does not conform to your treatment, you must be cautious, especially since an abscess that has already healed may remain hidden and subtle; then you should incise the rounded one if it is present; and if it is along [the length], and is bloody with a dark or black color, and is not centimeter-sized, you must be cautious about the incision of it because there is fear for the patient.
E quan tu vezes aquela segon la manieyra que yeu he dita de la sua blancor e longuesa, que tu fassas sezer le malaute e premas la lengua de lu am instrument del qual procesic la sua forma e aprop fica le onci en la nuva, e tira aquela en jos e inscideys aquela am un de dos instrumentz les quals e ditz en la inscizio de dos mellas.	And when you see that one like I have said of its whiteness and length, you make the patient fast and press his tongue with the instrument used to examine its shape and put your finger in the new opening and pull it down and incise it with one of two instruments mentioned in the incision of a boil.
E cove que no inscidas aquela sino aquo que es ajustat sobre le terme natural ses addicio, quar si tu inscides de lu mays, lediyras le sieu parlar.	And you must not incise it except where it is appropriate on the natural boundary without addition because if you incise more than that, you will damage his speech.
E aprop la inscizio, usa de aquo le qual havem recomtat en la inscizio de dos mellas, e cura aquela entro que sia sanat.	And at the incision, use what we have recommended for the incision of a boil, and cure it until it is healed.
Mays si era le malaute espaventat per la inscizio de lu, cove que use de engen en la cauterizacio de lu ses temor, e la manieyra del cauteri en lu no es sino am aygua aguda, e es que tu pauses le cap del malaute en le tieu se, e aprop prem la lengua de lu am le instrument le qual havem dit, e aprop pren de l’aygua la qual havem dita en le capitol de cauterizacio, e comfeys am aquela caus viva, e pausa aquela no spessa ni subtil, e de aquela omple la concavitat de l’estrument del qual aquesta es la forma:	But if the patient is frightened by the incision of it, you must use fire in its cauterization without fear, and the method of cauterizing it is not with anything other than water, and you hold his head in your lap and press his tongue with the instrument as we have said, and take from the sharp water that we have mentioned in the chapter on cauterization, and dip the tip of it in the living part, and stop the bleeding by pressing it with a thick cloth, and fill the depression of the instrument with that water.
Sia la extramitat de lu conquavitat en la qual sia pausada la medicina ayssi cum la conquavitat de culher de ray, e pausa le strument am la medicina sobre la vula, e·l malaute jagua sobre le sieu latz per so que corro saliva o musellage de la boca de aquel per la intrinscequa medicina, per so que no deyssenda de aquela deguna causa sobre le golayro de lu e que ledesca aquel.	Let the exterior of the depression in which the medicine has been placed be like the concavity of a mortar [or pestle], and let the instrument with the medicine be placed on the ulcer, and let the patient cough over his own side so that saliva or mucus from his mouth comes out through his side because of the internal medicine, so that no such thing happens to the hernia of it and that it heals.
E aprop te la tua ma am la medicina, e exprem aquela sobre la uvula per l’espazi de miega hora entro que vegas aquela esser denegrada e sedada per la mordicacio de la medicina.	And place your hand with the medicine on it and press it against the ulcer for a space of about an hour until you see it become darkened and numbed by the bite of the medicine.
E si vols, prengues coto e envolopes aquel sobre la extremitat del ray, e submergeys le coto en la medicina, e entrometas le ray am le coto en una canula de sobre entro que·l coto adheresca en aquela canula, e fay aquo tantas vetz entro que consiegues aquo que vols de la cauterizacio de la uva, e aprop leyssa aquela quar ela se seccara e cayra aprop tres dias o quatre.	And if you wish, take care and wrap that over the tip of the finger, immerse the dressing in the medicine, and insert the finger into the dressing in a tube until the dressing adheres to the tube, and do as many times as necessary for the cauterization of the grape, and then let it dry and fall off within about three or four days.
E si indigeysses que iteras la medicina, itera aquela, e aprop la cauterizacio abstergeys en le circuit de la uva am coto enbegut en boder, e mondifica am aquel aquo que es en le circuit de lu de la medicina, e sia lavat am aygua frega, e sia curat deforo am embrocacio, e dedintz am guarguarismes entro que sia sanat.	If you need to repeat the medicine, do so, and cauterize with a clean cloth dipped in oil around the grape, and clean with that what is in the circuit of the medicine, and wash it with warm water, and heal it outside with an ointment, and cover it with bandages inside until it is healed.
E aquesta especia de curacio es pus salva que inscizio e pus long de temor.	This method of healing is safer than incision and longer in fear.
Alcunas veguadas es curada la uvuola am aquo que es pus subtil que cauteri e inscizio, quar es curat am subfumigacio en aquesta manieyra: recipe calament, ysop, origua, ruda, scicados arabic, camamilla, broyda e semblant ad aquels de las erbas, e ajusta totas aquelas causas, o alcunas de lor, en una ola, e sian submergidas am vi agre, e bulhan; e la ola sia be lutada am lut decentment, e sia en le mieg loc de la ola un trauc, sobre le qual sia pausat un instrument conquau de aram segon aquesta manieyra; sia fayt de argent o de aram.	Sometimes the ulcer is healed with something that is cauterized and incised, but it is cured with subfumigation in this way: take camphor, hyssop, origanum [wild marjoram], rue, scicadium [a resinous plant used for fumigations], camomile, crushed, and similar to these of the herbs, and adjust all those causes or some of them in a mortar, and immerse it in vinegar and boil; let the mortar be well beaten with a wooden pestle, and there should be a hollow in the mortar on which an instrument is placed according to this method; it should be made of silver or iron.
E sia entromesa la extremitat en la boca del malaute entro que la vapor poge a la uvula sobre la quanula, entro que la uvula sia mot ofuscada.	And let the end [of the instrument] be inserted into the mouth of the patient up to the place where the steam can reach the ulcer until it is obscured.
E aprop itera sobre aquela motas veguadas entro qu’es secca, e guarda te que no fassas aquesta curacio al comesament de l’aveniment de apostemas, quar trop ajustaria en le apostema, e no cove que tu fassas aquo, sino deves la declaracio de apostema de lu caut.	And repeat this treatment many times until it is dry, and be careful that you do not perform this healing at the beginning of the abscess, because it will aggravate the abscess, and you must not do that, but rather the declaration of the abscess must be cauterized.
Mays si no es a tu present aquest instrument, lahoras pren una cana e compon en la extramitat de lu un clos de huou, per so que la boca del malaute sia comborida, quar le closc del huou prohibeys la vapor comburir la boca.	But if you do not have this instrument at hand, take a tube and make a hole in the extremity of it like a mouth, so that the patient's mouth is narrowed because the closure of the oil prevents the steam from burning the mouth.
E aquesta curacio es bona am salut.	This cure is good for health.
Capitol .xxxviii.	Chapter thirty-eight.
De extraccio d’espinas e de aquo que adhereys en le golayro e de las autras causas.	On the extraction of spines and things that adhere in the throat, and other causes.
Motas veguadas adhereys en le guolayro o spina de peys o alcuna autra causa.	Many times, things adhere in the throat, such as splinters or fish bones, or some other cause.
Adonc cove que tu extraguas aquo que de aquels es apparent, sobre le qual catz la vista, pus que tu premes la lengua am instrument denant solelh, per so que a tu sia declarat aquo que es en la guola.	Therefore, you should extract what is apparent among them, with the view focused on it, since you press the tongue with an instrument just in front of it, so that you are made clear about what is in the throat.
E aquo que no apar e es a tu occultat en le guolayro, cove que tu fassas vomir le malaute denant que la vianda sia degerida en l’estomac, quar fort leu la causa annexsa le golayro sira foro-getada per vomit; o que deglusia le malaute una pessa de nap o de razit de laytuga o un boci de pa sec; o prengua una pessa de sponga marina sequa leon, e lia aquela fortment am fiel, e aprop le malaute transglussia aquela, quar cum perve al loc en le qual so spinas e es extrahuda, lahoras so foro-getatz.	When that which is not apparent and hidden in the throat, you should make the patient vomit before the food is digested in the stomach, since violent retching causes the throat to open up; or have the patient swallow a piece of soap or rag of lye water or a hard piece of bread; or take a sponge soaked with dry sea salt, and push it forcefully into the mouth of the patient, for when it reaches the location where the spines are, they will be expelled.
E mays pren una anguila e be am fiel liada, e sia dedintz mesa e soptament sia extrayta; o pren un porr e soptament le metas e soptament l’en tratz.	Or take an eel and swallow it soaked in vinegar, and then it will be extracted through the anus; or take a cup and fill it with water and push it up the rectum to draw out the substance.
Mays si no so foro-getatz am aquelas causas las quals havem ditas, lahoras husa de un instrument de plom segon aquesta forma:	Or if those causes are not resolved by the methods mentioned earlier, then use an instrument made of lead in this manner:
E sia pus gros que ray un petit, e en la extramitat de lu sia conquavitat la qual tu entrometas en la sua guola am facilitat.	Make it as thick as a finger, and on the end, there should be a concave indentation that can easily enter the throat.
E el aga le sieu cap elevat en sus, e guarda te que·l tocament del sieu os de la gola, per so que endevengua a lu cos e am aquela que enpellesca le os o la spina, o que aquel le metge am la sua ma.	Hold the instrument upright and make sure that its tip touches the patient's throat bone, to ensure that it strikes only the bone or spine and not harm the patient, or let the doctor apply his hand.
Mays empero que·l malaute aquel entrometa es miels, per la sua sciencia del loc de la causa annexa e enpellisca en jos, e tira la sua ma am le instrument en sus, tot aquo segon la quantitat la qual es a lu preparada entro que sia foro-getada.	Or if the patient swallows the instrument, it is better that they do so, using their knowledge of the location of the attached cause and pushing down to extract it. The doctor should then pull the instrument upward, all according to the amount that has been prepared beforehand.
Capitol .xxxix.	Chapter thirty-nine.
De extraccio de sancguisugua annexsa al golayro.	On the extraction of blood clots attached to the throat.
Quan es medicada sanguisugua am aquo que havem dit en la divisio de la curacio am medicinas e no comfereys, considera lahoras en le guolayro del malaute al solelh, pus que tu aias compremuda la lengua de lu am instrument le qual a tu havem recomtat.	If the treatment of blood clots with the remedies mentioned in the division of cure does not help, then consider looking inside the throat of the patient, as you have the appropriate instrument at hand.
Donc si tu vezes la sancguisugua, extratz aquela am onci petit o am gesti subtils decentment.	If you see the blood clot, extract it gently and carefully with a small or subtle tool.
E si no es a tu possible estrayre am aquel, lahoras pren una canula concava e entromet aquela en lo guolayro del malaute, e aprop pausa en la concavitat de la canula un ferr ignit, e fay aquo tantas vetz (entro que la sancguisugua sia morta e se osta del guolayro) e abstengua se le malaute tot lo jorn de aygua.	If you cannot extract the blood clot, then take a concave cannula and insert it into the throat of the patient. Place a hot iron in the concavity of the cannula and apply it as many times as necessary (until the blood clot is dead and removed from the throat) and keep the patient away from water for the entire day.
E aprop prengua una veyria plena de aygua frega, e obra la boca de lu en aquela, e lava la boca am aquela; e no trasglucia de aquela alcuna causa e maugua l’aygua una hora aprop autra am la sua ma, quar la sancguisugua tantost cum sent l’aygua catz.	Then take a water-filled syringe, open the mouth of the patient with it, and wash their mouth with it; do not allow any cause or contamination to enter the syringe and change the water once an hour, as the blood clot will soon detect the water.
Mays si no es foro-getada am aquo que havem recomtat, lahoras subfumigua le malaute am cimetz o am assafetida per le instrument le qual havem recomtat en la sufumiguacio de uvula.	If the patient has not been forgotten about what has been recommended, then fumigate the patient with cinnamon or asafoetida through the instrument that has been recommended for the fumigation of a uvula.
Fay aquo, so en quar cayra.	If you have done all that was prescribed, now fumigate the patient with cinnamon or asafoetida using the instrument that was recommended for fumigating a uvula.
