Ayssi comensan las paraulas de Albucasim .	Thus commence the words of Albucasis.
E aprop evacua del sanc de vi unc. entro a tres.	And apply a wine leech to it. (The word "sanc" is likely a misspelling or error for "sangue", which means blood in Italian, Spanish, French, etc., but here refers to blood drawn by the leech.) Here comes the next sentence:
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	And if the archery is large, it is necessary that you tie it in two places with strong cedar or cord, and not cut it until it has been allowed to fester for a while, during which time the wound will heal and blood will flow.
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	Then cut off the excess tissue between two ligaments, and do this at that time or another time.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	If you wish, cauterize it with a hot iron (cautery) down to the bone and then make an incision in the extra tissues, and remain at that place during this work.
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	It is better for the patient to have a fever or be in a state of complete heat; because cauterization is of those causes that help to stop bleeding, and therefore it is better in this case.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	And it is necessary to make an incision in the hernia that a person skilled in this procedure should do, and they must place powder on it properly, and heal it with dry medicines so that the flesh may heal and warm water be applied until it is healed.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	If during another examination, blood flows from the hernia, then you should stop this bleeding by using a ligature, or a cautery, or by applying a pad to the area and press firmly until the bleeding stops.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	If one of those causes is not present, you should place a warm cloth over the area until the bleeding stops, and bind it with hot water until the inflammation subsides, and tighten as necessary.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	The easiest method for extracting hernia is to cauterize the vein with two cauteries (tongs), after which you mark both places with ink, and wait a little while, knowing that it will reach the bone and incise the vein in two places, so that what is between the extremities can be stretched out, because they are not consolidated by this cauterization.
E aquesta es la forma del cauteri:	Here is the shape of the cautery:
E sia la acuitat dels dos cotels esemps.	And let the heat of both cauteries be similar.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	However, if one cautery is hotter than the other, it is better because if they are as sharp as each other and close to the skin, it may cut the flesh too quickly.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Therefore, since in those cases there is some thickness (to the skin), it is necessary to keep the heat of the fire at a moderate level and cut the flesh gently.
E aquesta obra es milhor en tota obra e pus leugiera.	And this work is easier and less painful.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	Let the space between the two cauteries be the thickness of a finger (or a little more or less).
Capitol quart.	Chapter Four.
De la cura de cors de lagremas agudas e aciduas dels huels.	On the treatment of acute and chronic coughs in women.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When coughs are acidic and the affected veins are located on the chest above the head, and there is no cause for their cure in medication, and sometimes the face of the patient becomes swollen and he feels as if ants were crawling over his head, and the lips become extended, moistened so much that the skin on them peels off, and the corners of the mouth are scabbed due to the acidity of the tears. In ancient times, they used mastic (spruce resin) for treating this condition, but I name it "spit".
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And you tell the patient to pull off the skin that is on his forehead and then make three incisions in the forehead at equal distances according to its length.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	And if the length of the incision is two fingers: one incision should be at an equal distance from the nose in the middle of the forehead, and the second at an equal distance along the length of the eyelid, and the third on the other side.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	And be careful not to make an incision in the hernias on both sides and stretch your hand from one jaw to the other.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	And let the space between each incision be three fingers apart.
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a sponge soaked in vinegar or dry cloths, use them to draw the blood.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	And insert the spatula between the two sharp edges, and this is the shape of the incision:
que es de la partida des templas entro a la segonda inscizio.	which is from the base of the temples to the second incision.
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	Extract the hernia completely by loosening the cord that is between two incisions, and do this from the intermediate incision to the second incision.
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	And press this spatula and insert it into the first incision another time with a sharp knife on one side and blunt on the other.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	And wait for the sharp edge to reach the adjacent flesh, the cord, and the bone, and push it inward until it reaches the intermediate incision, and cut off all the vessels that descend from the head to the lips.
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	The continuous incision should be continued to the point where it appears at the coccyx, and then continue it into the middle fissure towards the other fissure.
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	When the quantity of blood clots in the foot swells, squeeze the places of the blood clot with the fingers.
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	Then place a cushion on each old wound that has become purulent, and place poultices soaked in wine and oil and vinegar on the pus-filled blisters, and make sure they do not develop an infected abscess.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	On the third day, remove the bandage and administer a large fumigation of boiled or distilled water, and take care to treat it with balsam of Basilico oil and others until the sores are healed.
Capitol .v.	Chapter V.
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	On treating ulcers through catharsis and on the boils descending from inside the head.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	When a patient experiences constant and sharp pain accompanied by catharsis, and the boils of the patient are weakened and small, and their weakness is noticeable, and their ulcerated eyes and eyelashes fall out, and there is an intense headache with accompanying extension, then one should know from these symptoms that the matter and catharsis do not come from any other source but from the veins descending from inside the head.
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	The best treatment for such cases is as follows: tell the patient to shave his forehead, and then make a small incision in that place on the middle of the forehead (and start from the left temple to the right temple; and make the incision through the bone; and withdraw your hand from the temples, which are painful to touch), until the bone is exposed.
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	Dry all the blood with sponge or dry cloth and fill the space between the two lips of the incision with old cotton or dry cloth.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	Then bind it with poultices soaked in wine and oil to prevent an infected abscess from forming.
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	And when you remove the abscess and see that it has diminished, then it is necessary to clean the bone from where the flesh begins until the surface of the bone is exposed, and treat it with a drying regimen that promotes healing of the flesh, such as if you take flour made from two parts wheat and four parts colophony, mix them together, and make a plaster to be applied on these sores near the natural flesh.
Capitol .vi.	Chapter VI.
De la cura de aquo que catz en las aurelhas.	On treating ulcers in the ear.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	The cause of ulcers in the ear can be one of four types: mineral poison or something similar to poison such as iron and glass, plants like mustard seed or bean, fluid such as water and vinegar and similar substances, or some animal.
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	And if poison or something similar to poison enters the ear that does not belong in the ear and is causing trouble there, plug the ear with a wad of cotton, and if possible, remove the poison using an oil such as viola oil or sesame oil. Then, shake the head gently and apply drops of this extract to the nostrils to induce sneezing.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	Then plug the ear with some wool or cotton and gently spread the ear open at the sides, as these causes are often forgotten.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	If this is not the case, then administer the extract using the tool called "gesti epicicarios subtil" which has the following shape:
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	And if the "gesti epicicarios subtil" is forgotten, that's fine; otherwise, administer the extract with a thin spoon with as little duplication as possible.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	And if this is not forgotten, then make a tube of reed and insert the end of the tube into the ear canal and close its opening with wax and soft oil to prevent it from being too open but only the tube.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	Then draw air out using strong suction, as this is often forgotten.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	If this is not forgotten, take alum or vinegar prepared with the tool that holds birds' feet and place a small amount on the end of the tube, and then cover it with a suitable stopper.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	And insert this into the ear canal gently, and extract moisture from the ear.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	And if all these causes are not forgotten, then you should take care to avoid causing an infected abscess or spasm.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	The method of cutting this is to first let the patient bleed from the saphenous vein and extract the blood as you would with its virtue, and then place your thumb on one side of the ear and make a small incision in the raised area of the ear where it is most prominent.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	Make the incision in the shape of the moon to reach the poison, and once the poison is extracted, close the incision with appropriate tools as soon as possible, and treat it until it is healed.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	And if the cause arises in the ear is one of the swellings that grows and inflates, then administer the cure and extraction of it; but if you do not attend to it immediately, then you take thin spout as follows:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	Here is the translation: And administer the abscission of that swelling which has arisen in the ear. (The first sentence continues with "but if you do not attend to it immediately, then...")
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	And do not perform it when you think that the swelling has already been moistened by the steam from the ear, and place it in damp cloths, and extract it with scissors or a thin instrument, or make an incision as described above, because it alleviates the extraction of it. (The sentence refers to continuing the process of removing the swelling if it has not yet been moistened by the steam from the ear.)
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	But in the water that has entered the ear, it is necessary for the patient to use sneezing at the beginning, and fill their ear with an old cloth, and rub on the ear in which the water is, and if this is done, it is good; but if not, then take thin tweezers or leeches according to the length of the finger, heat them slightly in the fire, and let the patient insert one of those into the opening of their ear and cough over that part, and strike another stone on the first stone within the ear. (The text describes a process for draining water out of the ear.)
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	Therefore do not stop with the stone insertion until all the water has been removed. (The sentence suggests that the process should continue until all of the water in the ear has been removed.)
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc .i., e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And when the water is removed, take paper or cotton (to absorb it). (The sentence suggests that once all of the water in the ear has been removed, some form of absorbent material should be used to soak up any remaining fluid.) and put one end of it in the ear and extend the other end into the fire until its tip is burned off. (The sentence suggests that the absorbent material should be used to soak up any remaining fluid, and then burned off to sterilize the area.)
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	Then put another piece of cotton and do this several times until all the water has been removed, and strain it through a tube as described above with the stone extractor. (The sentence suggests that the process should be repeated multiple times if necessary to ensure that all of the water in the ear has been removed.)
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	But in the case of an animal entering the ear, if it is small, perform the same remedy as described above; but if it is large and causes swelling at the base of the neck, administer its extraction with a thin instrument or scissors, and this is easier than all the other causes that may occur in the ear. (The sentence suggests that the process for removing an animal from the ear might be slightly different depending on the size of the animal and the location of the swelling.)
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	But in the case of worms generated in the ear, when you treat it with what has been described above and in the treatment of distillations and it does not improve, then you must expose the ear to sunlight. (The sentence suggests that if the previous remedies do not work for treating a worm in the ear, exposing the ear to sunlight may be helpful.)
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	Therefore, if any cause of worms appears, extract it with a thin instrument or scissors; but if no cause is apparent, take a tube (that is) slightly narrow and wide at the top. (The sentence suggests that if worms are present in the ear, they can be removed with an instrument, but if not, a tube may be used for some other purpose.)
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	Insert the narrow end of the tube into the ear to the extent that the patient can tolerate; and apply suction forcefully, and do this several times, until all the worms have been removed. (The sentence suggests that the tube should be inserted into the ear as deeply as is comfortable for the patient, and then used to suck out any worms that may be present.)
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	But if you do not attend to it immediately, then plug the opening of the tube with beeswax as described above; administer distillations that have been proven effective in the treatment of worms, and follow the instructions for the treatment of distillations. (The sentence suggests that if a worm is not removed promptly, the tube can be plugged to prevent the escape of fluid or air, and then distillations can be used as a treatment.)
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	Let your effusion (of oil or medicine) be with the instrument of this form:
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	And make it of silver or copper, narrow in the middle with a small opening at the top. (The sentence describes the specific materials and shape for the instrument used to administer medication or oil to the ear.)
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And therefore let it be as they push in such a way that it is in the concavity of the tube, where it will be necessary. (The sentence suggests that the instrument should be used carefully to avoid causing discomfort or injury.)
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	And if you wish, take the ray and wrap it appropriately around its end, then place oil or juice from a herb, or any of these medicines in the tube (which is inside the ear), and then insert the ray with appropriate pressure, and apply gentle compression to it until the oil is expelled into the concavity of the ear canal and the patient feels the oil inside.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And whatever is inserted in the ear should be heated slightly in the fire first. (The sentence suggests that heating the medication or oil before it is administered may help improve its effectiveness.)
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	And be careful that the cause which you will distill in the ear is not too hot, because ear medicines do not tolerate heat well. (The sentence suggests that the temperature of any liquid used to treat the ear should be carefully controlled to avoid causing discomfort or injury.)
Capitol .vii.	Chapter VII. (The text has moved on to a new section or topic, although it is not immediately clear what it pertains to based on this line alone.)
De curacio de opilacio de aurelhas.	On the treatment of obstruction in the ears. (The title suggests that the following text will discuss treatments for conditions affecting the ears, such as blockages or hearing loss.)
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Some infants born from their mothers' wombs are not perforated, and this happens in some men, ulceration or lack of flesh at the ear area; and sometimes this ulceration is made in the front part of the earlobe that cannot heal, and sometimes it occurs outside these parts.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	That which happens in the front part of the earlobe, which cannot heal, is in the major disposition for difficult healing.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And in that which heals, you must have the patient lower their ear and observe it.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And if there appears to be ulceration, open it with a thin spatula, which is the form for this.
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the affected area is narrow at its end, with one side being sharp and the other not; and the spatula is two lion's paws wide so as not to damage the earlobe.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	And if the ulceration is due to flesh born in the earlobe or meat of it, then cut it with sharp and thin scissors, making a deep incision until all the flesh is removed.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	If ulceration is in the front part of the earlobe, then take a thin blade (ray) about a lion's paw long and heat it slightly with fire, and place it in the flesh of the earlobe.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	And if the patient experiences discomfort and difficulty due to ulceration, relieve the pressure with ease; but be careful not to injure the nerves of the earlobe.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	Then place a linen cloth on the earlobe according to the size of the wound that you have covered with Egyptian balm; do this for several days until you are sure of the healing of the ulcer; or take any herb and soak it in water, pulverize it, and use it as indicated after being strained; and if the earlobe is already dressed, you must extract the dressing and replace it with another that you will cover with beeswax made with rose oil until the abscess dries up; and care for it until it is healed.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	But if there is bleeding, immerse sponge or cloth in hot water and place it on the earlobe, and use other healing methods to stop the bleeding, which are called in the treatise of distillation.
Capitol .viii.	Chapter VIII.
De cura de athezil le qual endeveno a las palpebras.	On the treatment of itchy eyes.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	Itchy eyes that affect humans sometimes are moist, other times they are dry.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	Therefore, you must have these with tweezers or scissors, and cut them with scissors according to their roots, and then apply the treatment after straining it.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	But if there is pain and bleeding, cauterize them with a small, thin cautery.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	And the best cauterization is when incisions and wounds return several times because there remains some cause of its roots; and when they are cauterized with fire, these roots are burned and do not return.
Capitol .ix.	Chapter IX.
Cura de grandeyssa que veno a las palpebras dels huels.	Treatment of swelling that occurs in the eyelids of humans.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	Sometimes swelling occurs in the eyelids of humans due to a cause similar to swelling in its strength and durability, and for this reason it is called swelling.
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	And it is an accumulation of thick moisture on the upper and lower eyelids.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	Therefore, you must examine whether the swelling comes from something that appears on the eyelid and affects all parts, and the cause is light.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	Therefore, make an incision along its width, and remove it with ease from all sides until it drains; and hang it up with tweezers and extract it.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	But if you are not prepared for the incision of it, do not proceed to penetrate the eyelid with scissors little by little, as this may cause damage.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	If the swelling is large, adjust it with stitches, and care for it until it heals.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	And if it is small, you will not suffer harm from it because the blood of it restores and fills it.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	If the swelling is receding inside the eyelid, you should apply pressure to the inner surface of the eyelid, remove the swelling with tweezers, and do not proceed to make an incision if the eyelid is elongated by it, as this may cause damage.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	And before making an incision, wash the eyes with saltwater, and care for the area with something that fills until it heals.
Capitol .x.	Chapter X.
De la cura axcirnah en la palpebra desus del huel.	Treatment of conjunctivitis (inflammation of the conjunctiva) in the upper eyelid.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	Conjunctivitis is a disease that is generated in the upper eyelid, and it mainly affects children, worsening their eyesight and causing catarrh in them; and they cannot look at the sunlight because tears flow towards them.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	And so you often find them lying on their faces all the time, and sleeping on their faces as well; and to the eyelids of their eyes, you place moist compressions that have already been infused with inflammation, and imminence of infection is evident in the eye; and when you press the area with your thumbs, you feel the infection going inside.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	A certain surgical method is applied to the patient when he or she tilts their head towards you and covers it with a cloth, and you place cold water on it and make a circle according to the size that contains arsenic from all parts, then you place this over that and press with your thumbs all around so that the infection is concentrated in the middle of the circle, and you make an incision in the middle of the moistness with a lancet penetrating through the fracture, and the fracture should not be larger than the one made during lancing.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	But it is advisable that you cut the skin completely down to the infection, because in more serious cases, the infection spreads by fracture according to the shape of white chalk.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	Therefore, remove it with cloths that you have wrapped around the affected areas and roll it between your right and left hands until it is separated.
