Praefatio.	 Praise
Deinde itera iuncum alium, et fac illud multotiens, donec egrediatur tota aqua: et extrahe ipsam cum cannula secundum quod praemissum est in lapide.	 Then repeat the process with another one, and do this many times until all of it is equalized; then remove that which was previously removed from a stone with a scoop or ladle.
In extractione autem animalis intrantis in eam, si est parui corporis, ut pulex, et ei simile, cura ipsum sicut dixi in diuisione.	 However, when removing animals caught within it if their bodies are equal to a fox or similar and they need the same care as mentioned before.
Sed si est corporis magni, quod appareat sensui: tunc administra extractionem eius cum gesti, et uncinis: et res eius est facilior omnibus, quae tenentur in aure.	 But if their bodies are large compared to what is visible, then administer the removal of them with a hand gesture and tools; and they will be more easily removed by everyone holding on to it.
In extractione autem uermis generati in aure, quando curas eum cum eo quod diximus in diuisione, et in tractatu distilationum, et non confert curatio tua: tunc oportet ut aspicias aurem in sole.	 In the removal of the generations below, when you care for him as described before and with a tool to remove them; and do not offer any more care yourself; then it is necessary that you take hold of its top edge on the ground.
Si ergo apparet illic aliquid ex uermibus, tunc extrahe illud cum gesti, aut cum uncinis subtilibus.	 If something appears from above among them, then remove it with a gesture or subtle tools.
Si autem non apparet illic aliquid, tunc accipe cannulam, cuius haec est forma, stricta inferius, ampla superius: et intromitte extremitatem subtilem in aurem secundum quantitatem quod tolerat eam infirmus: deinde suge cum ea suctione forti.	 If nothing appears there among them, then take the ladle (canula) with its form narrow below and wide above; and insert a subtle end into the beam, according to what is permitted by that which is weak; then suck up it along with strong sucking.
Fac illud multotiens, donec egrediantur omnes uermes.	 Do this many times until all generations are equalized.
Si autem non obediunt tibi ad exitum, tunc opila circumitum cannulae cum caera, sicut dixi in lapide.	 If they do not obey you to the end of removal, then collect around them with a ladle and like that which was mentioned before in stone.
Quod si non egrediuntur cum eo quod diximus: tunc administra distillationes quas iam experti sunt antiqui in interfectione uermium: et inuenies illud in tractatu distillationum.	 If they are not equalized with the one mentioned before, then administer the distillates that were already experienced by others in removing the generations; and you will remove it through the tool of distillation.
Et sit effusio tua qua effundis olea et medicinas in aurem cum hoc instrumento, cuius forma depicta est hic.	 And your emission should be as if you had poured oil and medicines into the beam with this instrument whose form is depicted here.
Sicut uides fac ipsum ex argento, aut aere, inferius strictum, in quo sit foramen paruum, amplum superius.	 As you would remove an arrow from bone or flesh, inferiorly, where there is a large opening;
Sit ergo ut impellens quod est in concauitate cannulae, sit ex aere decenter factum.	 Therefore, if the thing to be removed is trapped within a tube (cannula), it should be done from above with less force.
Et si uis, accipe radium, et inuolue in extremitate eius cottum inuolutione decenti: deinde proiice oleum, aut succum, aut quod uis ex istis medicinis in cannulam: et ipsa sit in aure: deinde intromitte radium cum cotto desuper, et exprime ipsum manu tua compressione temperata, donec impellatur oleum in concauitate auditus, et sentiat ipsum infirmus interius: et illud quod infunditur in aurem, sit iam calefactum cum igne parumper: et caue ne sit res quae distillatur in eam frigida ualde: medicinae enim non tolerant illud.	 If you are using a tube (cannula), grasp the forceps and carefully withdraw it with gentle tension at its lower end; then release oil, or allow it to be sucked out by another person, or let it flow from those medical tubes into the cannula itself; after that, introduce the heated iron into the ear canal gently, while feeling for it inside. If it is inserted properly, it will now burn with heat as expected and feel warm within you; if not, do not proceed further with the cold medicine. Medicine should never tolerate this.
¶ De cura opilationis accidentis Auri.	 Treatment of auricular injuries
Caput VII.	 The seventh head
Quandoque egrediuntur quidam infantes ex uentribus matrum suarum non perforati.	 Sometimes infants who have been struck on the head by their mothers' blows were not injured.
Et iam accidit etiam quibusdam hominibus opilatio in meatu Auris a uulnere, aut carne nata in ea.	 And it also happened to some men that their ears were torn off by the blow of an arrow or flesh;
Et haec opilatio quandoque fit in profundo foraminis Auris, quam non consequitur uisus: et quandoque accidit ad exteriora foraminis parum, et consequitur eam uisus.	 And sometimes the injury occurred deep within the ear canal, without causing any further damage; and sometimes it happened just outside of the ear canal where a small tear was made as well.
Illa ergo quae accidit in profundo Auris, et quam non comprehendit aspectus, est in pluribus dispositionibus difficilis sanationis.	 Therefore, when an injury occurs deep within the ear and does not result in any further damage, it is often difficult to treat because of its location in many different places.
Et in illa quam consequitur uisus, oportet ut ponas Aurem infirmi in sole, et aspicias in ea: tunc si uides opilationem apparentem, aperi eam cum spatumili subtili, cuius forma est haec quae sequitur, sit extremitas eius in qua sit quaedam latitudo parua, cuius quaedam pars sit acuta: et reliquum spatumile sit duarum laterum lenium: ut non laedat aurem.	 If that which was torn off the ear results from a slight injury, you must apply it to the sole and inspect it there; then if you see an apparent laceration remove it gently with a small, pointed object in order for its form follows closely, so that part of his extremity is somewhat flat while another part sharp: and what remains should be moistened by both sides.
Si ergo opilatio est a carne nata in meatu auris: tunc tene eam cum uncino subtili, et incide eam cum facilitate uehementi, donec auferatur tota caro.	 If the injury is caused to flesh within the ear canal you must hold it with a small and sharp object and strike off that which was torn from the flesh gently and swiftly until all of it has been removed.
Quod si opilatio est in profundo auris: tunc accipe radium subtilem, lenem, et calefac ipsum cum igne parumper: deinde mitte ipsum in meatum auris.	 "If heat application is done to deep ear canal, then apply a small, fine brush and warm it with fire before applying the heated brush into the ear.
Si ergo senseris opilationem cum eo, quod inuenit infirmus cum grauitate auditus, conare apertionem eius cum facilitate: et caue, ne uulneres neruos auris.	 "If you sense heat from the application of that instrument into your ear which caused a painful sensation accompanied by hearing a ringing sound, then use an opening tool gently to help relieve it and avoid further injury to your ears.
Deinde pone in aurem licinium secundum quantitatem amplitudinis foraminis, quod inuoluisti in unguento aegyptio: fac illud aliquot diebus, donec sis securus de consolidatione uulneris.	 "After applying the heated brush to your ear and feeling relief, put some ointment made from Egyptian unguent (a type of wax) into it according to the quantity of its pores which you applied earlier in the same way for a few days until your discomfort has subsided.
Aut accipe licinium, et infunde ipsum in aqua rosata, et pulueriza super ipsum zegi tritum, et utere ipso.	 "Or apply the ointment directly into the heated water and mix it with honey (a type of sweet syrup) until you form a paste-like consistency, then use that.
Quod si uides aurem iam apostemari: tunc oportet ut extrahas licinium, et permittas ipsum cum licinio alio, quod inuolues in caeroto quod sit factum cum oleo rosato, donec sedetur apostema calidum: deinde cura ipsum usquequo sanetur.	 "If you have already applied the ointment to your ear, it is advisable for you to remove that and allow another one which has been made with a mixture of olive oil (a type of vegetable fat) until it becomes hot enough; then apply that one carefully so as not to damage the ear. After applying this one, keep treating it gently until it subsides.
Si autem accidat fluxus sanguinis: tunc submerge spongiam, aut pannos in aqua frigida, et pone super eam aurem: et utere reliqua curatione, quae abscindit fluxum sanguinis praedicta in tractatu distillationum.	 "If you experience a blood flow (which could mean that your ear has been damaged), then submerge the sponge or wrap it in cold water and apply it to the ear; continue with the remaining treatment, which was used to remove the previous one from the procedure of distillation.
¶ De cura Altheli palpebrarum.	 "For the cure of Alteli (a type of eye disease).
Caput VIII.	 The eighth head, also known as the 'sagittae' because it is shaped like an arrow.
Isti Althelil qui accidunt in Palpebris oculi, quandoque sunt humidi, et sunt sicci.	 "Those Alteli which strike upon the eyelids sometimes are moist and at other times dry.
Oportet ergo ut teneas eos cum tenaliis: aut cum uncino, et incidas eos cum spatumili a radicibus suis.	 "Therefore, it is advisable for you to treat them with lashes (eyelashes), or with some other object and hit the Alteli with whatever tool strikes its roots.
Deinde pone super loca zegi tritum.	 "Afterwards, apply a paste-like consistency of sweet syrup.
Si autem ex eis fluat sanguis, tunc cauteriza eos cum cauterio lenticulari subtili.	 "If blood flows from them (the Alteli), then burn or cauterize those with a small, fine needle to stop the flow of blood.
Et cauterizare eos, est melius post incisionem.	 "To cauterize them [the wounds] is better after incision.
Multotiens enim redeunt quando remanet ex radicibus suis aliquid.	 "For many things return when something has remained from their roots
Et quando cauterizantur cum igne, comburuntur illae radices, et non redeunt.	 "When cauterized with fire, the roots are burned and do not return.
¶ De cura Grandinum palpebrarum oculi.	 "About the treatment of the eyelids
Caput IX.	 "The ninth head
Multotiens accidit in palpebris aliquid quod assimilatur Crandini in fortitudine sua, et sua duricie, et propter illud nominatur Grando: et est aggregatio humiditatis grossae in palpebra superiore, et palpebra inferiore.	 "Many a thing happens to the eyelids that is attributed to Grandino on account of his strength and firmness; and because of this he is called Grando: and there is an addition of moisture from both upper eyelid and lower eyelid.
Operatio ergo in eis est, ut consideres tunc, si est Grando procedens in eo, quod apparet de palpebra, et mouentur ad omnem partem, et res eius est facilis.	 "Therefore an operation is performed on them so that you may see then if Grando proceeds in it what appears from the eyelid and are drawn towards every part; they themselves are easy.
Finde ergo super eam fissura per latitudinem.	 "Find therefore a slit with breadth
Deinde excoria eam ab omni parte cum facilitate, donec euadat.	 "Then remove it from every part with ease until you reach this slit.
Deinde suspende eam cum uncino, et abscinde ipsam.	 "Then suspend and separate it using a hook so that you may hold onto the eyelid
Si autem non praeparatur tibi abscisio eius, nisi postquam tu penetras palpebram cum incisione parumper, tunc nocet infirmo illud in aliquo.	 "If you are not prepared for his detachment unless after penetrating the eyelid with a cut it causes weakness somewhere.
Quod si fissura est magna: tunc aggrega ipsam cum sutura: et cura ipsam, donec sanetur.	 "What if the slit is large then bind and suture them together until they heal
Et si est parua, non superueniet tibi malum ex ea.	 "If it's small you will not experience harm from that.
Vnguentum enim restaurat ipsam, et incarnat eam.	 "The healing agent restores and brings them back together
Et si grando est decliuis ad interiora auris uersus superficiem intrinsecam, tunc inuersa palpebram, et suspende grandinem cum uncino: praeter quod indigeas incisione, et preme eam ab omni parte.	 "If Grando makes incisions on the inner and outer surface of the ear then suspend it with a hook so that you may hold onto both eyelids until you reach this incision.
Quod si elongatur palpebra per incisionem, non nocet illud in aliquo.	 "What if an eyelid is pulled apart by cutting: it does not cause weakness somewhere
Deinde ablue oculum post incisionem grandinis, cum aqua salsa: et cura locum cum eo quod incarnat, donec sanetur infirmus.	 "Then treat the eye after Grando's incision with a mixture of salt and water until it is healed.
¶ De cura Axirnath palpebrarum.	 "About the treatment for Axirna's eyelids
Caput X.	 "The skull of X.
Axirnath est adeps qui generatur in tunicis palpebrae superioris: et plurimum quidem accidit illud pueris: et ipsum grauat oculos eorum, et accidunt eis catarri in matutinis, et non possunt intueri lumen solis, propterea, quod lachrymae properant ad eos, et propter illud uides eos discumbere super facies suas semper, et super eas dormiunt, et sunt palpebrae eorum sub superciliis humidae, quas iam cooperuit inflatio: et eminentia quidem Axirnath apparens est oculo, et quando tu premis locum cum digitis tuis, sentis Axirnath inter eos.	 "The eye of X.
Et modus operationis eius est, ut ponat infirmus caput suum in sinu tuo.	 "And the manner of his treatment is that he puts an injured head into your hand.
Deinde accipe pannum lini, et praepara in eo licinia, et fac ex illo licinio circulum secundum quantitatem quod continet Axirnath ab omni parte.	 "Then take a linen cloth and prepare it to wrap around him tightly as if he is in a circle according to the amount that X had wrapped all around.
Deinde pone eum super eam, et preme cum digitis tuis ab omni parte, ut aggregetur Axirnath in medio circuli.	 "Then put him on it and press down with your fingers from every part so that X will be in the middle of the circle.
Deinde finde in medio illius humiditatis cum spatumili incidente fissuras per latitudinem, et non sit fissura maior illa quae fit in phlebotomia in profundo.	 "Then find in the center where there is moisture from a wound caused by sweat, and do not let the opening be larger than that which occurs during phlebotomy to the bottom.
Aut oportet ut findas cutem totam, donec peruenias ad Axirnath in pluribus enim dispositionibus procedit Axirnath ex fissura secundum formam frusti pinguedinis albae.	 "Or it is necessary that you find a whole wound so that X can be inserted into many openings as X proceeded to make a hole for the white veins of the fist.
Extrahe ergo eam cum panno, quem infiltrasti inter digitos tuos ad exteriora: et tu reuoluis manum tuam ad dextram et sinistram, donec dispergatur: et caue, ne addas in fissura, ut non peruenias cum spatumili ad oculum, et laedas eum.	 "Then remove it with a cloth that you infiltrated between your fingers to the outside and you try again by moving your hand to the right and left until X disperses: so as not to add in the hole, but X can be inserted without moisture in his eye.
Si autem non appareat tibi Axirnath in principio fissurae, tu addas in fissura parum cum facilitate, donec procedat Axirnath.	 "If you do not see X at the beginning of the wound, then you add into the hole as much with ease.
Deinde extrahe eam, sicut diximus.	 "Then remove it like we said.
Deinde submerge pannos in aceto et aqua, et pone eos super locum, et stringe eum cum puluillis.	 "Then immerse the cloth in vinegar and water, and put them over the place and tie him up with cord.
Et ex hominibus sunt qui terunt salem, et ponunt ipsum in concauitate fissurae, ut liquefiat quod remansit ex illa humiditate.	 "And there are those who brought salt, and put it into the wound so that it will become soft from what remained moist.
Deinde cura ipsam, donec sanetur.	 "Then take care of her until she is healed.
Si autem accidat in loco apostema calidum, tune cura ipsum cum emplastris sedatiuis, donec sanetur.	 If a man falls upon hot coals, care for him with wet cloths until he is cured
¶ De modis Ataxmir oculi, id est, cum palpebra mollificatur oculi, unde fit ut rugetur sicut non debet.	 By the way of treating the eyelids, meaning to make the eyelid soft by using something like a soft cloth or anything that is gentle and not rough so as to avoid damage when wiping it
Caput XI.	 Head Eleven
Quando nascuntur in palpebris oculi pili additi praeter cursum sub pilis naturalibus, et antiquantur: tunc ipsi nocent oculo, et faciunt accidere modos aegritudinum, sicut lachrymas assiduas, et mollificationem palpebrarum, et albuginem, donec fit illud caussa destructionis oculi.	 When eyelashes grow beyond the normal course under natural hairs in the eyelids and they irritate: then these cause damage to the eyes, causing the mode of tears (lachrymas) which make the eyelid swell and white, until it is destroyed by the causes mentioned earlier.
Et Ataxmir quidem oculi curatur secundum quatuor modos.	 The eye treatment is done according to four ways.
Aut per cauterium cum igne.	 By burning with fire
Aut cum medicina acuta, secundum quod praemissum est in capitulo cauterii.	 Or by using a sharp remedy as mentioned earlier in the chapter on cautery.
Aut curatur Ataxmir per incisionem et suturam.	 Or the eye treatment can be done through cutting and sewing.
Aut per cannas, secundum quod ego dicam.	 Or by using a spoon as I mentioned earlier.
Oportet ut ponas caput infirmi in sinu tuo.	 You should place your head on your arm.
Deinde conuerte palpebram oculi manu tua sinistra.	 Then, with the left hand wipe off the tears from the eye.
Si ergo conuertitur, bonum est.	 Therefore it is good.
Et si non: intromitte acum in eam, in qua sit filum ab inferiori parte palpebrae, et fac penetrare acum cum filo desuper, et sit illud prope pilos ipsos, id est, prope marginem palpebrae, in quo nascuntur pili: et trahe filum ad superiora cum palpebra, et conuerte eam cum radio.	 If not it is inserted into the eye in which there is a thread from below the part of the lower eyelid and go through to above with a cloth and tie up near the hairs; that is, near the edge of the eyelids where the hairs are born: and stretch the thread towards the top by wiping off with the lid and tying it with your hand.
Deinde finde in interiori parte palpebrae sub pilis additis cum spatumili incidente a lachrymali maiore usque ad lachrymale minus.	 Then, find where under the hairs are added to the inside of the eyelid until they reach more tears than less tears.
Deinde extrahe filum, et pone sub palpebra puluillum paruum ex cotto, aut panno: deinde signa super palpebram cum encaustro, quod sit sicut figura folii myrti.	 Then remove the thread and place a small, thin piece of wax under the eyelid or cloth; then tie it on top with an encrustment as if it were a seal made out of sealing wax.
Verumtamen oportet, ut fit figura secundum quantitatem et eleuationem palpebrae: quoniam iam diuersificatur illud in hominibus.	 However, the form should be according to the amount and thickness of the eyelid; because this has been diversified among men
Ex eis enim est, qui indiget ut incidatur ex palpebra quantitas magna, secundum quantitatem quae mollificatur a palpebra.	 There is one who causes it to be incised when there's much quantity in the eyelid.
Deinde cum spatumili finde super duas lineas quas signasti, et incipe a lachrymali maiore usque ad lachrymale minus, et sit fissura una prope pilos naturales, sicut est grossitudo radii.	 Afterwards you find two lines on the eyelid that you have marked and then start from the tear duct further down to the tear gland itself, creating a fissure around natural hairs, as it is with the thickness of the finger
Deinde intromitte uncinum in uno duorum angulorum cutis.	 Afterwards, there's an incision made into one of two angles on the skin.
Deinde excoria ipsam totam.	 Afterwards you remove everything from it.
Deinde aggrega cum sutura duo labia, cum acu et filo lana subtili: et absterge sanguinem, et fac adhaerere quod superfluit ex filis super duo supercilia, cum quibusdam rebus inuiscantibus, si uis facere illud: et si non, non cures.	 Afterwards, with stitching two lips together and using a fine thread and a needle, you remove blood, cut away anything extra from the hairs above both eyebrows and some other things that may be attached to them, if you want to do it - and if not, don't perform surgery
Deinde dimitte suturam et fila usque ad tres dies, aut quatuor: postea cura illud.	 Afterwards remove the stitching and thread until three or four days later; then you apply a cure for this.
Et si uis, dimitte uulnus absque sutura, et cura ipsum cum eo, quod exsiccat et constringit.	 And if you want to do it without stitches and using only the cure that gets rid of everything and tightens up, go ahead.
Nam palpebra eleuatur apud sigillationem uulneris et aggregationem eius: sed futura est melior.	 The eyelid swells around the incision and its swelling goes away; but there is something better in the future.
Hunc modum curandi Ataxmir docuerunt antiqui.	 They used this way of treating Ataxmir by old doctors before.
Verumtamen in eo est sollicitudo super infirmum, et est ex bona operatione, et non est in eo timor.	 However, there is trouble when it comes to the sick person and it's from a good surgery; but there isn't fear of death involved.
Et modus alius est in Ataxmir etiam: et est, ut signes super palpebram figuram, quae sit sicut figura folii myrti, sicut narrauimus.	 And another way is to treat Ataxmir like this; it's like a figure on the eyelid that looks like a death leaf or bird feather, and we use that as well.
Deinde eleua palpebram cum tribus uncinis separatis, aut aggregatis, secundum formam hanc quae sequitur, deinde incide quod superfluit cum forficibus paruis, secundum hanc formam, cum aequalitate incisionis.	 Afterwards remove the eyelid with three or more separated and combined angles in accordance to that shape; afterwards make an incision of anything extra using thin blades parallel to that shape until you reach equal parts of the incision.
Si autem non est tibi possibile tenere uncinum, et non aequatur illud: tunc accipe acum in qua sit filum, et intromitte ipsum in medio figurae: et intromitte filum aliud prope lachrymale maius, et filum secundum prope lachrymale minus: et aggrega inter digitos tuos fila cum aequalitate.	 If you cannot hold onto the incision and it does not align with that; then take thread in which shape is there and put it into the middle of the figure; afterwards put another one towards tear gland more, and another one towards tear gland less; and apply stitches between your fingers at equal lengths.
Deinde eleua manum tuam eleuatione aequali: et eleua cutem super quam est signatum cotum, sicut narrauimus.	 "Having taken your hand in a similar manner and placing it on top of what is marked as your skin, we proceed like the barber.
Deinde aggrega duo labia uulneris cum sutura: et cura ipsum, donec sanetur.	 "Having bound together with stitches the two lips of the mouth after examining him [the patient], I examine him.
Si uero accidat apostema apud incisionem tuam, aut fissuram tuam: seda illud apostema cum caeroto, et his similibus, ex unguentis sedantibus.	 "If the lancet should slip from your hand or fall into a cut of yours, I remove it with my other hand and touch its head to the wound as if applying unguents.
Et quandoque accidit palpebrae etiam, ut conuertantur pili eius.	 "And when also the eyelashes are struck through and turned back [in a violent way], we remove them with tweezers.
Oportet ergo ut utaris in ea quod diximus in incisione: sed sutura utrisque magis est artificialis.	 Therefore, let it be as if you have spoken about the incision before; but the artificial stitching is more [difficult].
¶ De cura Ataxmir cum cannis.	 "From the cure of Ataxmir with a dog.
ET Est, ut conuertas palpebram, et scindas fissuram quae est deintus, secundum quod narraui.	 "And it is as if you are touching both eyebrows and breaking through [the skin] in the same manner that I described.
Deinde arte fac duas cannas, aut duo ligna subtilia: quarum longitudo sit secundum longitudinem palpebrae, et latitudo earum sit minor latitudine spatumilis: et tu iam incidisti in extremitatibus utriusque ab utrisque partibus ubi tenes fila.	 "Having made two needles or thin rods for a pair of eyebrows (using one in each hand), their length is according to the length of the eyebrows, and their width is less than that of a very fine hair; you have now struck through both ends as if from opposite sides when holding threads.
Deinde aggrega utramque cum subtilitate super illud quod superfluit ex palpebra oculi, et stringe duas cannas ab utrisque partibus strictura forti, et dimitte eam diebus aliquot.	 "Having bound together in a similar manner and placed them on the excess of the eyelid after examining him [the patient], I tie with both needles from opposite sides tightly, and release her by degrees.
Cutis enim stricta morietur, et denigrabitur, et putrefiet, donec cadet per se.	 "The skin becomes tight and emaciated; it is also diminished and putrefies until it falls off on its own.
Si ergo tardatur, tunc incide eam cum forficibus.	 "If the time comes to do this after all, then I strike her with a barber's shears.
Deinde cura eam, donec sanetur.	 "After examining him [the patient], I examine him.
Cum ergo consolidatur, eleuatur palpebra: et non pungunt pili.	 "When the bandage is tightened and the eyelids are in good condition; they do not hurt the eyelashes.
Et haec est forma duarum cannarum, quas facies secundum hanc figuram, et quantitatem in longitudinem et latitudinem.	 "And this is the form of two needles or rods that I mentioned before, their length according to the length and width as described.
¶ De eleuatione pilorum pungentium in oculo cum acu.	 "Having placed a bandage on the nose after examining him [the patient] with the eyes.
Caput XII.	 The twelfth head
Operatio in illo est, ut accipias acum subtilem, et intromittas in eam filum ex serico subtile, lene.	 Operation on this is to cut it with a small knife and insert it into the head through an incision made from soft tissue
Deinde aggreges extremitates eius, et nodes utramque nodo subtili ualde: et sit longitudo filorum palmus unus.	 Next, tie the extremities of his body with two knots made from fine thread; make one end longer than the other.
Deinde compone in Alinxotati filum aliud subtile sub eo in breui, et noda extremitates eius si uis.	 After that, cut off a little bit of the thin thread and tie it to an extremity of his body; make sure to leave some left over.
Deinde ponat infirmus caput suum in sinu tuo, et sit prope solem ut declaretur operatio: quoniam est operatio subtilis, uel minuta.	 Finally place the patient's head on your lap and perform the operation; because it is a delicate or small operation
Deinde intromitte acum cum alinxotati in radicem palpebrae, et fac eam penetrare in palpebram festinanter, donec extrahas eam desuper pilum naturalem.	 After that, insert the little finger on your hand into his eye and gently guide it towards the pupil; when you have inserted it, remove a small piece of the natural eyelashes.
Deinde trahe pilum usque supra alinxotati: et intromitte in alinxotati illum pilum: si est unus, aut duo, aut tres, non plures.	 Lastly, draw out the little finger until it is above the eyelid; then insert a finger into the same eye; if there are one or two or three fingers, do not put more than that many.
Deinde trahe manum tuam cum eo, donec egrediatur pilus cum alinxotati in palpebra cum pilo naturali.	 After that, take your hand with him until you reach the little finger at the top of his eyelid and guide it gently towards the natural eyelash.
Si autem trahatur alinxotati, et non egrediatur pilus cum ea: trahes alinxotati ad inferiora, cum filo quod tu composuisti in ea, donec egrediatur alinxotati ex foramine superiori, et uideas eam uisione oculi: tunc enim trahes alinxotati, et filum: et extrahe utraque, et claude oculum: et dimitte ipsum clausum duobus diebus, aut tribus, donec adhaereat pilus loco suo, et nascatur super ipsum caro.	 If the little finger is pulled out and does not reach it; pull off one end of your thread to the lower eyelid with that you made in her and guide it gently towards the superior eyelid until you reach the top of his eyelid; then tie a knot on both ends, close the eye for two or three days until the eyelash regrows, and put the little finger back up there.
Quod si pilus est breuis, tunc aut associa ei pilum longum ex pilis naturalibus, et eleuatur cum eo: aut dimitte ipsum, donec elongetur post spacium, et tunc eleua ipsum.	 If the little finger is very short; either tie it to a longer one made from eyelashes or remove it completely until it grows out and then put it back in place after some time.
¶ De cura Alxatrati quae accidit in palpebra superiori.	 Care of the eyelid which was injured.
Caput XIII.	 The thirteenth head
Quando accidit oculo haec Alxatrati, nominatur Leporina.	 When an injury occurs to one eye, it is called a livida (blepharitis).
Et haec Alxatrati est aut naturalis, aut accidentalis.	 This is either a natural occurrence or an accident.
Accidentalis ergo fit ex consolidatione uulneris, aut sectionis, aut cauterii, et similium illis.	 Accidental means resulting from the falling of flesh on another object due to carelessness in handling tools used for surgery, such as a fall while holding a scalpel or tweezers, or by cutting oneself with a knife during surgery.
Et modus operationis in ea est, ut tu findas illam consolidationem, et ut separes labia eius, et ponas in eo quod est inter ea licinium ex lino, et liges eam, donec sanetur.	 The method of the operation is as follows: you must find the incision point and separate his lips from them, then place what lies between them on it so that it can be removed from there with a linen strip, after which he should be bandaged up.
Et non oportet, ut utaris in curatione eius rebus quae exiccant et constringunt: nam si tu facis illud, redit Alxatrati deterior quam fuit: imo utere in ea rebus quae mollificant, sicut foenumgraecum: et embroca cum aqua, in qua cocta sit althea, semen lini: et unguento dyaquilon, quod liquefactum sit cum aliquo ex oleis: et inuolue cum eo licinium, et cura cum eo.	 Do not allow what excrete and constrict his things to do so, because if you do this it will be worse than before. Instead, you should take the excreting items gently as though you were using a broom with water, covering it in damp linen: and anoint with oil of lavender, which has been prepared from olives: and unguentum of aloes, which is made from honey.
Et thesaurus curationis tuae est, ut coneris omni ingenio, ut non consolidetur, secundum formam quae fuit in primis.	 The collection for your care must be as comprehensive as possible to not leave any gaps, according to the first shape that was used initially.
Et haec quidem operatio quam diximus, non est nisi quaedam rectificatio Alxatrati, ut non redeat forma loci secundum quod fuit omnino.	 This is only a correction of Albucasis's operation to ensure that the form was not lost throughout the entire process.
¶ De cura Alxatrati quae fit in palpebra inferiori, et est rugatio uel contractio sursum ad dextrum et sinistrum.	 The care for Albucasis on the lower eyelid is either a tearing or closing up of both sides towards right and left.
Caput XIIII.	 The twelfth chapter.
Haec Alxatrati quae fit inferius, est quae uere nominatur Alxatrati.	 This is Albucasis's care on the lower eyelid and it is called Albucasis's eye ointment.
Et est naturalis, et est accidentalis.	 It is either a natural occurrence or an accident.
Et accidentalis fit ex uulnere, aut fissura, aut cauterio, et illis similibus.	 Accidental means resulting from the falling of flesh on another object due to carelessness in handling tools used for surgery, such as a fall while holding a scalpel or tweezers, or by cutting oneself with a knife during surgery.
Et uia operationis in ea est, ut accipias acum, in qua sit filum duplum, et tingas eam in carnem, et facias eam penetrare a lachrymali sinistro usque ad lachrymale dextrum, donec perueniat filum in duabus extremitatibus carnis.	 The method of the operation is as follows: you must grasp it with two fingers and pull gently on it while placing one end into the flesh to reach across it towards the left tear duct and right tear duct simultaneously, until both ends are pulled out from the body.
Deinde extende carnem ad superiora cum acu, et incide eam cum spatumili lato.	 In this direction, extend the arm up towards the shoulder with a sharp blow, and strike it with a blunt one at its side.
Si ergo redit figura palpebrae secundum quod oportet, est bonum.	 If that brings about the second figure of the eyelid as is fitting, this is good news.
Et si non, accipe radium, et pone ipsum in fissuram, et conuerte cum eo palpebram: et finde duas fissuras in latere interiore palpebrae, et sint extremitates duarum fissurarum ex duobus angulis incisionis, donec concurrant et fiat ex eis angulus: donec quando aggregantur fiat figura earum haec figura, et est litera lauda graeca.	 If not, take the radius and place it into a cut, and strike with it the eyelid; and find two cuts in its inner surface of the eyelid, and there are two cuts from both angles of the incision, until they meet and there is an angle made by them: thus when they come together will be the figure of these, and this is Greek writing.
Deinde aufer illam carnem per quantitatem, quod est latus eius acutum inferius, ab eo quod sequitur palpebram.	 Afterwards, remove that arm along its length, which is the lower edge of it; from this follow the eyelid.
Deinde aggrega partes separatas: sue eam cum filo lanae.	 Afterwards separate the two parts; sew her with a thread of wool.
Deinde cura eas cum eo quod diximus, de medicinis mollificantibus, et liciniis, donec sanentur.	 Afterwards care for them as we have mentioned in connection with medicines and ointments until they are healed.
Et si Alxatrati accidat ex fissura, et sutura, aut cauterio: tunc oportet ut findas fissura plana sub pilis palpebrarum, etiam secundum quod praecessit.	 And if Alixatria strikes through the cut and sutures or cauterizes; then you must ensure that there is a flat cut beneath the eyelashes and also as before mentioned.
Deinde separa inter duo labia cum licinio, secundum quod diximus.	 Afterwards separate between the two lips with a thread, according to what we have said.
Et summa sermonis de cura Alxatrati, quando est desuper, aut inferius, est, ut currat in ea operatio, secundum quod praeparatur ex forma Alxatrati.	 And finally the end of our treatment for Alixatria when it is above or below should be such that it goes into this operation according to what was prepared from the shape of Alixatria
Ipsa namque est multarum diuersitatum in forma: et artifex prudens praeparat ingenium cum quocunque modo est possibile ei, donec redire faciat figuram ad formam naturalem, aut prope eam, et ipsemet infirmus, secundum quod conuenit ei ex operatione et instrumentis in plurimis dispositionibus.	 This is the figure of many differences arranged: and a wise workman, when he wants to bring it into its own form, or one close to it, and himself weak according to what has been done for him by means of operations and instruments in several arrangements.
¶ De adhaerentia palpebrae oculi cum coniunctiua, aut cornea.	 The eyelid with conjunctiva, or the cornea.
Caput XV.	 The fifteenth head
Quandoque accidit haec consolidatio multis hominibus, ita ut consolidetur palpebra superior cum albedine oculi, et prohibeat ipsum ab operationibus suis naturalibus.	 Whenever this consolidation happened to many people, in such a way that the upper eyelid is consolidated with its white of the eye and should be prevented from its own natural operations
