Praefatio.	 Praiseworthy introduction
Si autem ascendunt dolores post dies ad cubitos, aut ad humeros, tunc cauteriza utrosque ab omni parte.	 If pain rises up after three days and goes to the shoulders, then cauterize both of them from every part
Et non euacues infirmum ex regimine bono, ex recaeptione medicinarum.	 And do not apply any medicine or remedy if you are in good health or have taken a doctor's prescription
Nam si bonum fiat regimen, et euacuetur phlegma, sanabitur auxilio Dei cum isto cauterio.	 If the body is well and it is appropriate to follow a treatment program, then purge the phlegm with the help of God using the cautery.
¶ De modo cauterizandi in Rupturis.	 In order for cauterization to work on cuts
Caput XLVII.	 Chapter 70.
Quando accidit Ruptura in inguinibus, et descendit intestinum, aut zirbum ad testiculum, et est illud incipiens propinquum: tunc oportet ut praecipias infirmo dimittere comestionem in die suo.	 When a rupture occurs in the genitals and descends into the intestines or towards the scrotum, it is near to completion: then you must stop feeding your patient for one day.
Et utatur ex lenientibus, quo descendat stercus a uentre suo.	 And if by chance the stone has descended within itself (i.e., is in an internal location), it should be loosened with gentle measures.
Deinde sedeat inter manus tuas super dorsum suum: et praecipe ei, ut teneat anhelitum suum, donec egrediatur, uel appareat zirbum, aut intestinum.	 After that, put it on your chest and urge him to hold onto his desire until he has passed or the stone appears in the intestines.
Deinde reduc ipsum digitis tuis, et signa cum encaustro sub Ruptura super os pectinis, cum signo cuius extremitas sit similis medietati circuli ad superiora corporis.	 After that, reduce it with your fingers and apply the cautery over the nostrils using a sign similar to the one used for opening the ears. The sign should be placed so its extremity is towards the top of the body (i.e., towards the head).
Deinde igni cauterium, cuius haec est forma, donec ueniat album, et proiiciat seintillas.	 After that, apply a hot iron cautery which has this shape until it comes out and burns through to the brain (i.e., towards the front of the head).
Deinde reduc intestinum, aut zirbum ad concauitatem suam.	 After that, reduce the intestines or scrotum towards your feet.
Deinde ponat minister manum suam super locum, ut non exeat intestinum: et tu iam aperuisti inter crura infirmi, et posuisti sub eo puluinar, et seruiens alius super crura eius, et alius super pectus eius qui tenet manus.	 After that, put your hand on the place and do not let the intestines go out: you have already opened between the fingers of the patient, and placed a pulse beneath him, while another is above his fingers who holds the other hand.
Deinde depone cauterium super ipsum signum, manu tua cum cauterio stante recta.	 After that, apply the cautery over this sign with your right hand in its proper position (i.e., straight up).
Et tene ipsum, donec cum eo consequaris os: aut itera cum eo uice alia, si non consecutus fueris cum eo in prima usque ad os.	 And hold onto him until he is accompanied by other signs or liquids which do not come from the cautery itself (i.e., they are unrelated).
Et prudenter obserua ab exitu intestini in hora cauterizationis tuae, ne comburas ipsum, et eueniat per illud super infirmum aut mors, aut malicia magna.	 "When you observe the exit of the intestine during a cautery procedure, do not touch it; instead, let someone else perform this task on the weak or dying, so as to avoid great harm.
Et scias, quod quando tu non consequeris cum cauterio os, non confert operatio tua.	 "You should know that when you cannot cooperate with a cautery procedure, do not perform your own operation.
Et oportet ut sit cauterium infantium subtile, secundum mensuram eorum.	 "The cautery for infants should be as delicate as possible, according to the size of their bodies.
Deinde cura cum reliquis unguentis, donec sanetur.	 "Then care with other ointments until it is healed.
Et sit infirmus iacens super dorsum suum quadraginta diebus, donec sigilletur uulnus.	 "The weak or dying person should lie on their back for forty days, so that the ulcer will heal.
Et oportet, ut ponas nutrimentum eius longitudine temporis curationis eius, quod leniat uentrem eius: ut non exeat intestinum apud conamen et egestionem.	 "You should provide food to him in proportion to the duration of his care, so that he will not vomit during meals or after eating.
Deinde quando uult surgere post quadraginta dies, tunc administra ligamentum decenter factum, et teneat ipsum quadraginta diebus aliis.	 "Then wait forty days before administering a ligature to him; and he should be held for another forty days.
Et minoretur a labore, et repletione cibi et potus, et uocibus uehementibus.	 "The time of work will decrease, and the fullness of food and drink, as well as the ease of urination and defecation will increase.
Nam quando utitur hoc regimine, ita sanatur sanatione integra.	 "When this treatment is given, so too healing by complete cleansing occurs.
Et ego dicam curationem Rupturarum cum incisione in capitulo suo.	 "I will discuss the cure for ruptures when I insert it into its chapter.
Quando autem Rupturae accidunt in reliquo uentre, et sunt incipientes, et uis ut non addantur, tunc cauteriza Rupturam eius cauterio rotundo secundum quantitatem eius: et sit illud quod aduritur ex tunc sicut tertia eius.	 "However, when ruptures occur in the rest of the body and are just beginning to be visible, do not add more; then burn the ruptures with a wide ligature as before according to their size; thus that which is burned from now on will be like an additional part for him.
Deinde cura ipsum, cum eo quod diximus: et non addetur.	 "Then care of this type [for ruptures] with what we said earlier: do not add to it.
Et iam dixerunt quidam primi: ut cauterizetur Ruptura cum cauterio triangulato, secundum hanc formam.	 "Some people suggested that the rupture should be cauterized with a triangular ligature, in this shape.
Postquam signatur cum encaustro, et ponitur linea quae est per latitudinem in latere superiori Rupturae, et linea altera ad inferius.	 "After signing it [the rupture] with the wax, a line is placed that stretches from the upper side of the rupture to the lower side.
Et depone manum tuam in medio cum cauterio clauili.	 "Then place your hand between the ligature and the wound.
Sed cauterium primum est facilius et melius.	 The first cautery is easier and better.
¶ De modo cauterizandi in doloribus propter casum, aut percussionem.	 For cauterizing due to a wound or shock.
Caput XLVIII.	 Chapter 80
Quando accidit in quibusdam membris a casu, aut percussione dolor: et perseuerat ille dolor tempore longo, et non confert in eo curatio cum medicinis: tunc oportet ut cauterizetur cum cauterio Puncti.	 When it happens to some members due to injury or shock, and persists for a long time causing pain, then medical treatment must be sought; at that point an incision should be made with a sharp instrument
Et sit cauterium omnis membri cauterium secundum magnitudinem eius, et ipsius paruitatem, et debilitatem eius, et ipsius uirtutem, et locationem torsionis, et doloris ex eo.	 The cautery should be applied to all members in proportion to its power and suitability, and weakness, disability, strength, flexion of the torso, and pain caused by it
Si ergo sanatur ex cauterio primo, est bene.	 If healing occurs through the first cauterization is good.
Si non: tunc itera super ipsum cauterium.	 If not, then try another one on top of it.
Quoniam de consuetudine horum dolorum est, ut permutentur ex membro ad illud quod appropinquat ei.	 Since the custom is to change from member to member according to their pain.
Quare oportet ut consequaris eos cum cauterio, donec sanetur infirmus.	 Therefore, let them be treated with the cautery until they are cured.
¶ De modo cauterizandi in Lepra.	 For cauterizing in Leprosy
Caput XLIX.	 Chapter 89
Leprosi autem quandoque iuuantur cauterio iuuamento maximo.	 Leprosy sometimes requires maximum effort for cautery.
Et praecipue species Leprae, quae fit propter putrefactionem phlegmatis et melancholiae: cum ergo uis cauterizare ipsam considera.	 Especially the type of Leprosy that occurs due to the putrefaction of phlegm and melancholy; take into account when cautering it.
Si ergo Lepra est ineipiciens, et curasti eam cum eo, quod diximus in diuisione, et non descendit, neque stat: et times super infirmum, quod comprehendat corruptio super totam complexionem eius: tunc cauteriza eum super caput quinque cauteriis: uno in medio capitis noto, et secundo inferius eo uersus frontem apud finem capillorum, et duobus super duo cornua, et uno posterius super nucea ceruicis.	 If Leprosy is incurable and you treated it with him without success, as we mentioned before in the division; then do not descend or remain unchanged: but times upon the infirmity that comprehends the corruption of his entire complexion, then cauterize him on top of five cauteries: one to the middle of the head near by noting, and second below over his forehead at the end of hairs, and two above with two horns, and one behind with a horn on the ear.
Et ultima manum tuam cum cauterio parumper, donec imprimat in os impressionem paruam, et dislocentur ex eo cortices: ut alleuietur expiratio uaporum grossorum ex eo, et cauteriza cauterio etiam super ipsum splenem, secundum quod praecessit.	 And with your hand more strongly when using the cautery until it makes a small impression on the ear; and the membranes are torn from it; so that breathing becomes easier for great exhalations from it; and also cauterize it through its nose as well, according to what has preceded.
Sin autem Lepra iam sparsa est super infirmum, et apparet manifeste: tunc oportet ut cauterizes cum istis cauteriis, quae diximus in capite, et cauterio super extremitatem nasi, et duobus cauteriis super duas maxillas, et duobus cauteriis super spondiles colli, et sex super spondiles dorsi, et uno magno super alhahosos apud gran caudae et uno supra ipsum, in ipso almeidati: et duobus super anchas: scilicet super omnem ancham uno, et duobus super genua: uno super omne genu, et duobus super humeros, et duobus super cubitos, et duobus super teneritudines pectoris sui: et cauteriza ipsum super omnem iuncturam, ex iuncturis digitorum manuum suarum, et pedum suorum: et cauteriza super omnem calcaneum pedum suorum, et focilia manuum suarum.	 In that Lepra has already spread over a limb and is now clearly visible; it should be cautorized using these cautories which we mentioned for the head, and to cautorize both ends of the nose as well as two cautories above the collar bone at both sides, six above the dorsal vertebrae, one above the tailbone itself, on each side over the hip joints, two over the elbows, two over the chest area of the person, and to cautorize him over all connections with the help of your hands and feet.
Et caue tibi a neruis qui sunt super postremum calcanei, ut non comburas eos.	 And cautorize those nerves above the heel so that you do not crush them.
Et quandoque cauterizatur cauterio super os pectinis, et alio super os stomachi, et alio super epar.	 When a cautory is to be applied over the mouth of the nose or the stomach, and another one over the ear.
Et scias, quod quanto plus addis cauterium, est magis iuuamentum, et magis conferens.	 You know that if there is a greater amount of cautery applied, then it will be more intense and more effective.
Et scias, quod infirmus non inuenit in cauterio dolorem, sicut inueniunt ipsum sani: propterea, quod corpus eius iam stupefactum est.	 You know that the patient did not feel any pain from the cautery as healthy people do; therefore, his body was already numb due to previous injuries or ailments.
Et oportet ut sint cauteria ex magnitudine, et paruitate secundum membra et iuncturas: secundum quod praecessit ex speciebus ferramentorum.	 It is necessary that the cautery be done in a way that it has power and control over the members and joints according to what came before from the sight of tools.
Deinde cura cauterium ex farina herbi cum melle, et reliqua curatione, donec sanetur.	 After application of the cautery with flour and honey paste until it is healed
¶ De modo cauterizandi in Stupore.	 The way to perform cauterization.
Caput L.	 Lepra
Quando stupet aliquod membrum, et curatur cum medicinis, et oleis, et emplastris, et non sanatur, tunc cauteriza ipsum membrum stupefactum cauteriis, secundum quod meretur magnitudo membri, aut paruitas eius.	 If a limb is stunned and cannot be treated with medicines or oils, then cautorize the member as needed to increase its effectiveness according to how strong it was before.
Et sit cauterium tuum intrans in spissitudinem cutis parumper.	 Your cautery should not penetrate too deeply into the skin.
Deinde cura ipsum cum unguento, donec sanetur.	 After applying the cautery with ointment until it is healed.
Et quandoque cauterizatur ad quiddam stuporis, qui accidit manui, et pedi, in spondilibus dorsi apud exitum neruorum, qui mouent illud membrum: et remouetur stupor.	 "When cautery was applied to a certain paralysis that affected the hand and foot, it resulted in numbness of both members; upon which point the paralysis would cease.
Verum non praesumat super illud, nisi qui est sapiens in anatomia membrorum, et egressione neruorum mouentium corpus.	 "It is not to be considered beyond what one understands from an examination of the members and their exits (nerves).
¶ De modo cauterizandi in Albaras.	 "Concerning the cautery used by Albucasis.
Caput LI.	 The first letter of "Libri" (books).
Quando antiquatur Albaras, et non confert in eo aliquid ex ingeniis medicinae: tunc cauteriza super ipsam cauterio profundo parumper, secundum quantitatem spissitudinis cutis, donec remoueatur albedo, et mutetur color eius.	 "When Albucasis operates and finds nothing of importance in his examination of the cautery: then he makes a deeper incision with a sharp tool as needed, until the numbness is removed and the color returns.
Deinde cura ipsum cum farina herbi, et lentis cum oleo rosa, et foliis arnoglossae, et sanguine columbae, et sanguine hyrundinis: de unoquoque sit pars una: misceantur haec omnia, et liniantur super pannum, et adhaereant loco, donec sanetur.	 "Afterwards he cures him with flour and herbs, and lathers him with oil and rose water; and washes his face with the columbine flower and hyacinth's blood: in one part is a mixture of all these ingredients; they are applied to the cloth, and held down until he is cured.
¶ De modo cauterizandi in Cancro.	 "Concerning the cautery used for cancer.
Caput LII.	 The second letter of "Libri" (books).
Quando Cancer est incipiens, et uis ipsum sistere: tunc cauteriza ipsum cum cauterio circuli in circuitu eius, sicuti reuoluitur.	 "When the cancer is new or first appearing and you have touched it; then he cautorizes him with a circular cautery within his circle as before.
Sapientes autem dixerunt, ut cauterizetur cauterio ultimo in medio.	 "The wise men said that cautery should be applied last of all to the middle part.
Mihi autem non uidetur illud: quoniam timeo quod ulceretur: et ego iam uidi illud aliquotiens.	 "But it is not clear to me; for I fear that it will fester, and I have already seen this sometimes.
Et rectius est, ut cauterizetur in circumitu eius cum circulo, sicut diximus: aut cauteriis multis.	 "It is better then that the cautery be applied within its circle as before; or with many tools (cauteries).
¶ De modo cauterizandi in Adubelati.	 "Concerning the cautery used by Albucasis.
Caput LIII.	 The 33rd letter of "Libri" (books).
Quando aliquis habet Adubelati, et tardatur in maturatione, aut propter superfluitatem facientem eam, aut propter aetatem infirmi, quando est decrepitus pauci sanguinis, aut propter tempus, et uis festinare in maturatione Adubelati, tunc cauteriza in circumitu eius cum cauteriis paruis multis punctando.	 "When someone has adubelates and is delayed by their maturation or over-abundance of semen; or from old age when they are weakened in blood supply; or from time to wait until the maturation process is complete, then cautorizes him within his circle with many points of a cautery.
Deinde dimitte eam.	 And he dismisses her.
Nam ipsa festinabit cum maturatione.	 She will celebrate with maturity.
Si autem uis perforationem eius cum cauterio, tunc igni cauterium, cuius haec est forma.	 If the perforation is made skillfully and carefully, then a cautery iron of this form is applied to close it.
Et depone ipsum in medio Adubelati, donec penetret cutem: et sit cauterium ab eo quod sequitur infirmus, ut alleuietur cursus puris.	 And he places her [the patient] between the hands of Aebulatus; then let him penetrate with a knife until it reaches to the cautery iron which is its form.
Deinde cura ipsum donec sanetur.	 After that, take care of him so as to be cured.
¶ De modo cauterizandi in malo corrodente.	 Cauterize using a corrosive substance instead.
Caput LIIII.	 Caput (head).
Corrodens non est nisi corruptio in membro ambulans, et corrodit ipsum: sicut ignis comedit ligna sicca.	 The corrosion is not only the corruption of a member that moves, but also he was corrupted; just as fire burns wood without fail.
Si ergo uides corrodentem in loco qui toleret cauterium cum igne, tunc igni cauteria multa, clauilia parua et magna, secundum quod conueniet illi loco in quo est corrodens.	 Therefore, if you want to use a corrosive substance on the place that allows the cautery with fire, then apply many irons of different sizes and shapes at once, in proportion to where the corrosion is occurring.
Deinde cauteriza ipsum ab omni parte donec eradices corruptionem totam, et non remaneat ex ea aliquid penitus.	 After that, cauterize him from all sides until you remove the entire corruption without leaving any trace of it.
Deinde dimitte ipsum tribus diebus, et pone super loca cauterizata sulphur tritum cum oleo, donec eradicentur escharae omnes, et omnis corruptio.	 After that, dismiss him three days and place a substance of sulfur mixed with oil on the cautery points so as to remove all ashes entirely without leaving any trace or corruption.
Deinde cura ipsum cum unguentis generantibus carnem.	 And take care of him using various ointments.
Si ergo uides, quod post tres dies caro nascitur natiuitate sana, in qua non est corruptio, est bonum.	 If that is the case after three days he becomes born with a healthy birth and no corruption exists, it's good news.
Et si non: tunc itera cauterium super illud quod remansit ex locis corruptis.	 And if not so; then apply another cautery on the place from which the corruption still remains.
Et corrodens medicatur quandoque cum medicina acuta.	 The corrosion is treated sometimes with a sharp medicine.
Ipsa namque surgit loco cauterii.	 This will result in a spot of cautery.
Verumtamen cauterium cum igne est uelocioris iuuamenti: et ego quidem iam dixi cauterizationem eius cum medicina acuta in diuisione: accipe ergo eam illic quando ea indiges.	 But if the cautery is done with fire; and I myself said that it should be done with a sharp medicine, then you must take her there when she becomes ready for it.
¶ De modo cauterizandi in Clauis, et Verucis.	 Cauterize using Claws and Pricks (scab blisters).
Caput LV.	 "head L
Multotiens accidit in inferioribus partibus pedum haec aegritudo: et est res grossa, filtrata, quae laedit pedem.	 An abscess formed on the foot's lower parts; it is large, and has a thick discharge that wets the foot.
Et cauterium quidem in eis est secundum duos modos: cauterium cum igne, et cauterium cum aqua calida.	 A cautery was applied to them [the abscess], according to two methods: with fire and also with hot water.
Quantum autem cum igne est, ut ignias cauterium concauum simile pennae uulturis: quod fiat ex ferro, secundum quantitatem quod contineat clauum ab omni parte: et sit subtilium marginum.	 When it was done with fire, the cautery was applied to a depth of about as deep as the thumb nail; and then there is an edge that is very thin.
Deinde depone ipsum ignitum super clauum.	 Then let the flame be placed on top of the cloth.
Deinde reuolue manum cum cauterio in circumitu claui, donec perueniat cauterium ad profunditatem claui: et dimitte ipsum tribus diebus, donec incipiat emittere pus.	 Then let the hand be brought around with the cautery towards the depth of the cloth; and after three days it will reach to the bottom of the cloth, until a discharge begins from its top.
Deinde emplastra ipsum cum maluis syluestribus, contritis cum sale: et dimitte emplastrum super ipsum in nocte.	 Then let [the cautery] be wrapped around with many strings and placed upon him at night.
Ipse enim eradicabitur ex radicibus suis.	 That will remove it from its source (or roots).
Deinde cura locum unguento generatiuo carnis, donec sanetur.	 Then let a cure be applied to the affected place with unguent and oil; until [the patient is] cured or healed.
Quod si sunt non conuersi, et multotiens accidunt in superficie corporis, praecipue in manibus et pedibus: tunc administres in eis cauterium cum aqua calida: et est, ut accipias cannulam ex aere, aut ferro, aut ex penna uulturis: et depone eam super clauum, aut althelul.	 If they are not cured and many abscesses occur on the surface of the body, especially in the hands and feet; then apply cautery with hot water to them; or you can use a needle or pen's tip; and let that be placed upon the cloth as well.
Deinde proiice in cannulam ex aqua calida quantitatem paucam: retine manum tuam, et tu reuolue eam cum compressione manus tuae parumper, ut imprimatur margo cannulae in radice claui, et inueniat aqua calida uiam ad profundum, ad radicem claui: et expectet infirmus parumper super mordicationem aquae calidae hora una.	 Then let the small amount of hot water be applied to it; hold your hand firmly tight and bring your arm around with a compression of your hand, so that the edge of the needle will reach deep into the cloth towards its root; and expect it to begin dripping cold water from its top towards the bottom and the roots. And you should watch closely for how long until an hour has passed before any pain or discomfort comes due to the application of hot water.
Deinde dimitte ipsum, nam clauus eradicatur cum radicibus suis.	 Then let it be removed because the cloth is destroyed along with its roots.
Ita fac cum eis uno post unum, donec uenias super omnes qui ex eis sunt in corpore.	 Do this to them all one at a time, until you have applied it on everyone who was affected by them.
Deinde cura eos postquam eradicantur, cum eo quod generat carnem ex unguentis.	 Afterwards, when they have been removed, it generates flesh from the fat.
¶ De modo cauterizandi in Tremore.	 Cauterization in trembling
Caput LVI.	 Sixth cranial nerve (oculomotor).
Quando accidit alicui Tremor ex frigore in neruo, aut ex febre quartana, aut alio: tunc oportet ut cauterizes ipsum quatuor cauteriis, aut quinque super spondiles dorsi, et inter omnem spondilem cauterio, et in pectore eius cauterio, et super stomachum eius cauterio.	 If a tremor occurs due to cold, or fourth fever, or any other cause: then it must be cauterized with four cauteries, or five above the ribs, and across every rib, and on his chest, and above his stomach.
Tremor enim quiescit cum cauterio oliuari, et festinat sanitas aegritudinis frigidae.	 The tremor ceases when cauterized with oil of vitriol, and health is restored due to the cold's chilliness.
¶ De modo cauterizandi Albathir.	 Cauterization by Albtahir.
Caput LVII.	 Seventh cranial nerve (trochlear).
Quandoque expelluntur in corpore Albathir foedae, id est, pustulae, quae fiunt a materiis grossis corruptis.	 When Albtahir's food is expelled from the body, that is, when pus forms on the surfaces of the flesh due to corruption of materials.
Oportet ergo in primis cum apparent, ut cauterizentur super omne caput pustulae cauterio subtili cum ligno myrti, cuius extremitas accensa est cum igne.	 Therefore first, when appearing, they should be cautorized over every head with a subtle cautery using the end of a steel wire, which is heated on fire.
Aut cum radice aristolochiae longae.	 Or with the root of the long-stemmed Aristolochia.
Aut cum cauterio lenticulari.	 Or with a small cautery.
Et quandoque cauterizantur ademenul, in principio expulsionis suae secundum hunc modum: et non augentur: et disrumpitur superfluitas faciens eos, et sanatur ex eis.	 And when they are being cautorized at the beginning of their expulsion, according to this manner; and no more is added; and fat is removed from them, making them healthy; and they heal through that.
Verumtamen oportet ut fiat illud post euacuationem cum phlebotomia.	 Nevertheless it is necessary after the evacuation with phlebotomy.
¶ De modo cauterizandi in fluxu sanguins ex arteria in uulnere.	 Cauterization from flowing blood out of arteries to veins.
Caput LVIII.	 Eighth cranial nerve (oculomotor).
Multotiens accidit fluxus sanguinis ex arteria, quae incisa est apud uulnus, quod accidit extrinsecus, aut apud incisionem apostematis, aut cauterium membri, et similia eis: et fit difficile abscindere eum.	 Many times due to the flow of blood from the artery that was cut on the vein, causing external damage; or by cutting a vein through an incision in the member, and similar things happen to him, making it very difficult for him to be separated from them.
Cum ergo accidit alicui illud, tunc propera cum manu tua ad orificium arteriae, et pone super ipsum digitum tuum indicem: et stringe eum multum, donec obsessus sit sanguis sub digito tuo, et non egrediatur ex eo aliquid.	 Therefore when that occurs to him, immediately with your hand put it over the opening of the artery and put your finger on top; and pull him very hard until his blood is underneath your finger, so that nothing escapes from him.
Deinde pone in ignem cauteria oliuaria parua, et magna numero plura: et suffla super ea, donec fiant ignita ualde.	 In order to cauterize a vein with olive oil and a large number of them at once; after applying it, the vein should be burned through
Deinde accipe ex eis unum, aut paruum, aut magnum, secundum uulnus et locum, in quo disrupta est arteria, et depone cauterium super ipsam uenam, post quam tu remoues digitum tuum festinanter: et tene cauterium, donec abscindatur sanguis.	 After taking one, or a few, or many veins (as required), and placing the ligature over that place where the artery was divided; after you have withdrawn your finger, hold tightly on to the ligature until blood stops flowing.
Quod si expellatur cum eleuas digitum ab orificio arteriae, et extinguis cauterium, tunc accipe cauterium aliud festinanter, ex cauteriis quae in igne sunt praeparata.	 If you expel the ligature along with your finger from the artery's opening; after removing it, take another one and apply it more quickly to those veins that have already been heated up (preheated).
Non ergo cesses facere illud cum uno post aliud, donec abscindatur sanguis.	 Do not cease doing this with one ligature after another until blood stops flowing.
Et caue, ne comburas neruum qui est illic, et accidat super infirmum malicia alia.	 And also ensure that you do not crush the small veins nearby and put it over a damaged artery.
Et scias, quod quando ex arteria fluit sanguis, tunc non est possibile abscindere ipsum: praecipue quaudo arteria est magna, nisi cum uno quatuor modorum.	 And you know that when blood flows from the artery, it is not possible to tear it apart; especially if there is a major artery involved unless with four or more methods.
Aut cum cauterio, sicut diximus.	 Or using a ligature, as we have said before.
Aut cum extractione, quando non est extracta.	 Or by extraction, when it is not extracted (removed).
Nam quando extrahitur, contrahuntur extremitates eius, et abscinditur sanguis.	 When it's extracted, its extremities are crushed and blood stops flowing.
Aut ligetur cum filo ligatione forti.	 Or with a strong ligature (cord).
Aut ponantur super ipsum medicinae de proprietate, quarum est abscindere sanguinem, et stringatur cum puluinari constrictione decenti.	 And if placed on it medicines of property are applied to stop the blood flow; and tied with a gentle constriction of the veins (ligature).
Qui autem administrat abscisionem eius cum ligamento, et strictura cum panno, aut positione rerum comburentium, et similium, non confert ei penitus, nisi raro.	 Who administers excision with a ligature and constriction using a cloth or other method; and the same for them, except rare cases.
Si autem accidat alicui illud, et non sit ei praesens medicus, neque medicina: tunc incipiat cum positione digiti indicis super orificium uenae ipsius, sicut narrauimus, et constrictione eius ualde, donec obsessus sit sanguis a superiori parte uulneris, et super arteriam.	 If you are not present to him at the time; then start with placing your finger over the opening of that vein as we have described before and constriction around it until the blood has stopped flowing above the knee and over the artery.
Et digitus non remoueatur, desuper ipsum cum aqua frigida uehementis frigoris semper, donec congeletur sanguis, et ingrossetur, et abscindatur.	 And your finger should not be removed super it with a cold water application to the cold forever until frozen and swollen and torn apart.
Et interim consideret in eo, quid indiget ex cauterio, aut ex medicina.	 "In the meantime, take note of what is appropriate either from the surgeon's skill or medical science.
¶ Partis Primae Finis.	 The first part has ended.
Liber Chirurgici Albucasis Pars II.	 Book of Surgery by Albucasis, Part 2.
¶ De Incisione, Perforatione, et Phlebotomia in uulneribus, et his similibus.	 On incision, perforation and phlebotomy on veins (of the same kind).
Iam Diximus in Capitulo Primo, omnem aegritudinem in qua conueniens est cum igne cauterium et medicina comburente, et occasiones eius, ipsius caussas, et instrumenta eius, et formas cauteriorum.	 I am the tenth in my chapter of a hundred, every eagerness with both the cautery and medicine, and their occasions, causes of theirs, and their instruments, and forms of the cauteries.
Et posui illic capitula a uertice usque ad pedem.	 And I placed them from the wrist to the foot.
Et ego procedam in hoc capitulo illa eadem uia: ut alleuietur super quaerentem quaesitum eius.	 And I proceeded by this chapter, so that he could be relieved of his search.
Et antequam incipiam illud, oportet ut addiscatis o filii, quod in hoc capitulo est ex terrore illud quod est in capitulo primo de cauterizatione.	 And before I begin that, please note the sons of Adam, what is from terror in this chapter it is from the first chapter on cautery.
Et propter illud oportet, ut sit cautela in eo uehementior, quoniam in operatione quae est in hoc capitulo, multotiens cadit euacuatio cum sanguine, cum quo stat uita apud apertionem uenae, aut incisionem super apostema, aut apertionem exiturae, aut curationem uulneris, aut extractionem sagittae, aut incisionem super lapidem, et illis similia: ex quibus omnibus associatur tremor, et timor, et cadit in pluribus eorum mors.	 And therefore it is necessary to be cautious when performing the operation here, because many times during this chapter the evacuation with blood comes up, and so life perishes from the opening of one vein or incision above the thumb, or the exit wound, or care for veins, or extraction of arrows, or incision over stone, and others: from which all tremble, fear falls into many deaths.
Et ego moneo uos, ne cadat super uos illud in quo est haesitatio, nam quandoque cadunt ad uos in hac arte modi hominum cum modis infirmitatum.	 And I remind you so that it does not fall upon you what is the hatred, because sometimes they come to you by this art of men with the modes of weakness.
Ex eis enim est qui irascitur cum aegritudine sua, et est leuis apud eum mors: propter uehementiam eius quod inuenit ex infirmitate sua et longitudine eius maliciei.	 From these is he who is angry with his own eagerness and the death of him follows: because of his eagerness that which entered from his weakness and its length made him miserable.
Et cum aegritudine est ex timore quod significat mortem.	 And when the fear which means death comes out,
Et ex eis est, qui dat tibicensum suum, et ditat te cum eo, sperans sanitatem, et aegritudo eius est perniciosa.	 and he who gives his own sting to you and said with him hoping for health, the eagerness of his is deadly.
Non ergo oportet ut consentiatis ei qui uenit ad uos ex eis, cuius modus est talis.	 Therefore do not let him who came upon you from those whose mode is like that agree to you.
Et sit cautela uestra uehementior, quam cupiditas et uestra rapacitas.	 "Let your caution be greater than your desire and folly.
Et non praesumatis super aliquid ex illo, nisi post scientiam certam, quae uerificat apud uos illud ad quod peruenit successio laudabilis.	 "Except for something proven by knowledge in that which brought about a praiseworthy result.
Et utimini in curatione omnium infirmorum uestrorum, prognosticatione et indicatione de eo ad quod conuenienter sit salus.	 "In treating all the sick of yours and yours, prognosis and indication are necessary for that which is better for your health.
In illo namque est uobis adiutorium super acquisitionem famae et gloriae, et memoriae et laudis.	 "This thing will be a great help to you in acquiring fame and glory as well as reputation and praise.
Inspiret uobis Deus o filii, intellectum suum, et non auferat uobis directionem et inspirationem: quoniam illud est in manu eius.	 "God or His sons have inspired you with their intelligence and did not give you direction and inspiration because that was already in your hand.
Et ego quidem ordinaui hoc Capitulum distinguendo per capitula, secundum quod praecessit in capitulo Cauterii, a ceruice usque ad pedes: ut alleuietur uobis quaesitum quod uultis ex eo, et quo indigetis.	 "I also ordered this chapter by distinguishing it from the chapters of caution until its end at your feet so that you may be relieved of what you sought and know for which purpose.
¶ De curatione Aquae quae aggregatur in capitibus puerorum.	 "About the treatment of water accumulated in chapters of boys.
Caput I.	 "Chapter 1.
Scias, quod haec infirmitas multotiens accidit pueris apud partum: aut quando stringit obstetrix caput pueri absque leuitate.	 "It is known that this disease often occurs in boys at birth either when the midwife pulls a boy's head free from his mother's womb without proper care.
Et quandeque accidit etiam ex caussa occulta quae non scitur.	 "And it also occurs by an obscure cause that is not known.
Et ego quidem non uidi hanc aegritudinem in aliis quam in pueris: et ad omnem quem ex eis uidi properauit mors: propter illud ergo uisum est mihi dimittere operationem in ea.	 "I also did not see this affliction as severe in others as it was in boys, and death often resulted from that. Therefore I thought it necessary to remove the operation of that part.
Et ego quidem uidi ex eis puerum, cuius caput impletum erat aqua, et caput magnificabatur in omni die, donec non poterat sedere super seipsum, propter magnitudinem capitis sui: et humiditas augmentata fuit, donec mortuus est.	 "I also saw from a boy whose head was bound with water and the head became magnificent every day until it could not lie flat on itself because of the size of its head; and moisture increased until he died.
Et haec quidem humiditas, aut aggregatur inter cutem et os: aut aggregatur sub osse super sifac.	 "This also is moisture either under the chin or on top of the nose.
Et operatio in illo, si est humiditas inter cutem et os, et apostema est paruum, tunc oportet ut findas in medio capitis fissura una in latitudine: et sit longitudo fissurae quasi duo nodi, donec currat humiditas.	 "In that there is moisture between the chin and mouth, the operation must be done to find a wound on the head, so that it makes a split longitudinally across the middle of the head; and its length should be as two knots.
Et haec est forma spatumilis.	 This is a delicate form
Si ergo humiditas est magis augmentata, et apostema est maius, tunc pone eas duas fissuras, secundum formam hanc.	 If the humidity is greater, and therefore the seal becomes larger, then make two incisions in order to reach this shape
