Praefatio.	 Preface
Non ergo oportet ut consentiatis ei qui uenit ad uos ex eis, cuius modus est talis.	 "You should treat him with kindness who has come among you from those people whose method is such.
Et sit cautela uestra uehementior, quam cupiditas et uestra rapacitas.	 Your caution must be greater than your desire and your greediness
Et non praesumatis super aliquid ex illo, nisi post scientiam certam, quae uerificat apud uos illud ad quod peruenit successio laudabilis.	 Do not boast over anything from him unless after certain knowledge that would have benefited you in the successful outcome which occurred because of his method.
Et utimini in curatione omnium infirmorum uestrorum, prognosticatione et indicatione de eo ad quod conuenienter sit salus.	 You should apply your skills to the care and management of all the sick people's health, using predictions and indications as needed for what is more beneficial for their welfare.
In illo namque est uobis adiutorium super acquisitionem famae et gloriae, et memoriae et laudis.	 That man among you shall be your teacher in acquiring fame and glory, memory and praise.
Inspiret uobis Deus o filii, intellectum suum, et non auferat uobis directionem et inspirationem: quoniam illud est in manu eius.	 The God inspired you sons, his mind and gave no guidance or suggestions to you because it was only in his own hand that this happened
Et ego quidem ordinaui hoc Capitulum distinguendo per capitula, secundum quod praecessit in capitulo Cauterii, a ceruice usque ad pedes: ut alleuietur uobis quaesitum quod uultis ex eo, et quo indigetis.	 I have also given you this chapter distinguishing it by the chapters of Cautery as far down to your feet so that you may know what is to be done from him and what benefits you.
¶ De curatione Aquae quae aggregatur in capitibus puerorum.	 Of the care of waters which are gathered up among children
Caput I.	 Chapter 1
Scias, quod haec infirmitas multotiens accidit pueris apud partum: aut quando stringit obstetrix caput pueri absque leuitate.	 Remember that this illness has often struck children at birth or when the mother's womb is tight without release.
Et quandeque accidit etiam ex caussa occulta quae non scitur.	 And also when it occurs from an obscure cause which cannot be known.
Et ego quidem non uidi hanc aegritudinem in aliis quam in pueris: et ad omnem quem ex eis uidi properauit mors: propter illud ergo uisum est mihi dimittere operationem in ea.	 I did not find this disease to be as severe in others than in children, and death came upon everyone who was affected by it; for that is why I wish to withdraw the use of my treatment from them.
Et ego quidem uidi ex eis puerum, cuius caput impletum erat aqua, et caput magnificabatur in omni die, donec non poterat sedere super seipsum, propter magnitudinem capitis sui: et humiditas augmentata fuit, donec mortuus est.	 I also knew of a child whose head was bound with water and it was adorned with beauty every day until he could not stay upon himself because of the greatness of his head; and dampness increased until he died.
Et haec quidem humiditas, aut aggregatur inter cutem et os: aut aggregatur sub osse super sifac.	 And this disease also appears when moisture gathers between skin and mouth or beneath bones above the nose.
Et operatio in illo, si est humiditas inter cutem et os, et apostema est paruum, tunc oportet ut findas in medio capitis fissura una in latitudine: et sit longitudo fissurae quasi duo nodi, donec currat humiditas.	 The operation on that should be performed when there is moisture between the skin and mouth or beneath the bones above the nose; it must occur so that a cut made at the top of the head in breadth occurs, and its length should be like two fingers until the dampness runs.
Et haec est forma spatumilis.	 This is the form of a sponge
Si ergo humiditas est magis augmentata, et apostema est maius, tunc pone eas duas fissuras, secundum formam hanc.	 If therefore humidity increases more, and the sponge becomes larger, then make two cuts along this shape
Et si humiditas est sub osse, et signum eius est, quod uides commissuras capitis apertas ab omni parte: et aqua deprimitur quando comprimis eam manu tua ad interiora, et non occultatur tibi illud: tunc oportet ut findas in medio capitis tribus fissuris, secundum hunc modum.	 And if humidity is below bone and its sign shows that the corners of your head are open on all sides; water will descend when you compress it with your hand to the inside, but not be hidden from you: then you should find three cuts in the middle of the top of the head, as shown.
Et post incisionem extrahe humiditatem totam.	 After cutting out the humidity
Deinde stringe fissuras cum pannis et puluillis.	 Then tie up the cuts with gauze and cotton.
Deinde embroca illud desuper cum uino et oleo usque ad diem quintum.	 Then wrap it over with wine, oil, and olive oil until the fifth day.
Deinde solue ligamentum, et cura uulnus cum tentis, et unguentis.	 After that, remove the bandage and care for wounds along with linen and ointment.
Et non dimittas stringere caput cum aequalitate.	 And do not tie up your head in an uneven manner.
Et ciba infirmum omni cibo sicco paucae humiditatis, usquequo confortetur membrum, et sanetur.	 And make sure to keep the body as dry as possible and use any available moisture until the member is comfortable and healed.
Et modus alius incisionis est, ut consideres ubi apparet magnitudo apostematis, et collectio aquae.	 Another way of cutting it is that you consider where the size of the sponge becomes visible and collection of water.
Quoniam quandoque est in occipitio plus, aut in sincipite, aut in dextra, aut in sinistra.	 Sometimes when there are cuts on one side or another, or in both hands/arms.
Ascende ergo cum incisione ubi apparet tibi apostema et impletio aquae: et scinde illud secundum quod tibi possibile est.	 Therefore ascend with the incision where you see the sponge and pull out water; then it will be done in a way that is possible for you.
Et obserua, ne incidas arteriam, et accidat fluxus sanguinis, et moriatur infirmus ex illo fluxu cum euacuatione humiditatis.	 And be careful not to cut the artery and cause blood flow stoppage; or else the member may die from that loss of fluid with the removal of moisture.
¶ De incisione Arteriarum quae sunt post aures.	 Of the cuts in arteries which are behind ears.
Caput II.	 The head (second part).
Quando accidunt alicui catarri ad oculos, aut ad pectus, et antiquatur illud, et non confert curatio medicinarum: tunc magis ultima curatio est in illo, incisio harum duarum arteriarum.	 If cuts occur on the eye or nose and become infected; then more than ever is the final care for it as a last resort, cutting of both arteries.
Oportet ergo quando uis incidere eas, ut radat infirmus caput suum.	 Therefore when you see that he has cut them to remove his own head.
Deinde frica locum cum panno aspero, ut appareant arteriae.	 Then cover the place with a bandage so that the arteries are visible.
Deinde stringat infirmus collum suum, cum quolibet panno suo.	 "Then he ties his own arm with a bandage.
Deinde considera, ubi pulset uena.	 "And then he considers where to apply the bandage.
Et loca utriusque sunt loca quae sunt post aures depressa: et raro occultatur, nisi in quibusdam hominibus.	 And his two hands are tied behind his ears and are rare unless some men have them.
Deinde signa cum encaustro super utraque: et incide utramque cum spatumili utrimque acuro, incisione perueniente ad os: et fiat illud per latitudinem capitis.	 "Then he puts a bandage made of wax on both his hands and smashes them with nails or picks up the corners to remove it from his face, inserting it through the slit in the back of the head.
Et si uis, intromitte spatumile sub arteria, et incide eam ad superiora cum incisione.	 "And if he is lying down, he puts a bandage made of wax under his arm and cuts it off above with an incision.
Et sit longitudo incisionis quasi duo digiti iuncti.	 The length of the incision should be as close to two fingers joined together as possible.
Nam quando inciditur uena, egreditur sanguis egressione pulsatili, qui salit ad interiora saltu frequenti.	 "When one is cut open, blood flows out through a narrow slit that runs up the center of his body.
Si autem arteria non apparet sensui, tunc oportet ut mensures ab aure quantitatem spacii trium digitorum.	 If an artery is not visible to him (the surgeon), then he should measure from the ear how far three fingers would be apart and insert the bandage at that distance into his body.
Deinde signa cum encaustro, et finde usque ad os.	 "Then he puts a bandage made of wax all the way up to his nose.
Et illud quod oportet emittere ex sanguine, est VI uncia et fortasse emittis ex eo plus, aut minus.	 The object that should be emitted with blood is six finger-breadths and at most it can be emitted from him more than or less than this.
Totum illud secundum quantitatem quae apparet tibi ex uirute infirmi et repletione arteriae eius.	 "That bandage should always be placed in accordance with the amount that is visible to you through your examination and pressing on his arteries, as much or more than this.
Deinde considera ad uulnus.	 "Then he considers where to remove it from the nose.
Tunc si remanet ad os ex sifac aliquid, tunc incide illud, ut non accidat apostema calidum: tunc stringe uulnus cum liciniis ex panno lini.	 "Then if anything remains at his nose after having removed the bandage made of wax, then he cuts it off and ties up that part of the face with linen.
Deinde cura ipsum cum unguento, donec sanetur.	 "And then he applies a treatment by anointing him with oil until he is healed.
¶ De extractione arteriarum, quae sunt in timporibus.	 "In the extraction of arteries, which are located behind his ears.
Caput III.	 Chapter three
Quando accidit homini hemicranea antiqua, aut catarri acuti propter humiditates acrimoniales, et caliditate in lacertis timporum, aut soda antiqua, uehemens, et similia illis: et medicatur cum modis curationis medicinae, et non confert illud: tunc experti sumus in his aegritudinibus extractionem arteriarum ex timporibus, aut cauterizationem earum, sicut narrauimus.	 "When a man has an old or acute catarrh of the ears due to acrimonious moisture and coldness of the lacrimal canals, or due to soda or other things that irritate him (the surgeon), he must be treated with medical methods, without causing any harm: then we are skilled in his treatment of extracting arteries from behind his ears, as we have been taught.
Et modus operationis in extractione earum, est, ut radat infirmus pilos qui sunt in timporibus, et intendat ad arteriam apparentem in timpore.	 The method of removing ears is as follows: first, the surgeon severs the hairs which are within a certain time limit and aims for an artery which lies close to it
Ipsa namque ostenditur tibi ex pulsu suo, et raro occultatur nisi in paucis hominibus, aut uehementia frigoris.	 The pulse test is performed on you by means of your own pulse and is rare unless only a few men are involved or there is coldness causing it.
Quod si occultatur tibi, tunc stringat infirmus caput suum cum quolibet panno suo: deinde frica locum cum panno aspero.	 If the pulse test shows that you should be examined by an attendant with a cloth to remove fear and apply it gently.
Aut uapora locum cum aqua calida, donec appareat tibi apparitione manifesta.	 Or if there is warmth in place after removing the cloth then immediately show your face for immediate inspection.
Deinde accipe spatumile, quod paulo ante formaui.	 Then take it gently as I made before a short time ago
Deinde excoria cum eo cutem cum facilitate, donec peruenias ad arteriam.	 Afterwards wash with that cloth in a hurry until you reach the artery.
Deinde proiice in eam uncinum, et extrahe eam ad superiora, donec extrahas eam ex cute, et facias eam euadere ex tunicis quae sunt sub ea ab omni parte.	 Afterwards remove it quickly and take it out to the top part until you pull it off from your skin, then tie it up securely below that with whatever is under it on all sides.
Si autem arteria est subtilis: tunc inuolue eam cum extremitate uncini.	 If the artery is shallow then immediately take it out quickly with your nail.
Deinde incide ex ea partem secundum quantitatem qua elongentur extremitates eius, et contrahantur, et non accidat fluxus sanguinis.	 Afterwards cut off a piece as large as the parts of his extremities and tie them together securely so that no blood flows through it.
Nam si non inciditur, et si non abscinditur, non ascendit sanguis penitus.	 If not cut off or removed then there will be no bleeding from the artery.
Deinde euacua ex sanguine ana VI unci, usque ad .III.	 Afterwards wash with water until you reach 6-3-
Quod si arteria est magna: tunc oportet ut liges eam in duobus locis ex filo duplo, forti, ex serico: aut ex chordis alhohod, ut non properet ad ipsam putrefactio ante consolidationem uulneris, et accidat fluxus sanguinis.	 If the artery is large then you must tie it with two or three ropes, firm and strong, from either a cord or a strip so that no blood flows through after tying, to prevent decay of the flesh before healing wounds and to ensure no blood flow.
Deinde incide superfluitatem, quae est inter duo ligamenta.	 Afterwards cut off any excess between two ropes.
Fac illud in illa hora, aut post horam aliam.	 Do this during that time or at another time.
Et si uis, cauteriza eam cauterio usque ad os, cum cauterio cultellari: donec incidantur extremitates eius, et stabit loco eiusdem operis.	 And if you wish then sear it with a cautery until reaching the mouth using a cautery and tie it up securely once his extremities are cut off to ensure its location for that purpose.
Et est melius opus, nisi si infirmus habet febrem, autest calefactae complexionis.	 And if the surgeon is ill or the face becomes red then a better method must be used.
Quoniam cauterium est ex eis, quae iuuant ad finiendas humiditates.	 Because of the cautery is from those who go to end the dampness
Ergo est melius iuuamentum.	 Therefore it's better
Et oportet post extractionem arteriarum, ut impleatur locus cotto antiquo: et ponantur super ipsum puluilli decenter facti.	 After extraction of arteries, let there be placed on an old vein and put the pulp down gently on top of it
Et post solutionem curetur cum medicinis siccis, quae faciunt nasci carnem, et cum liciniis, donec sanetur.	 And after curing with dry medicines which cause to be born meat, and with vinegar until they are cured.
Quod si interim dum operaris accidit fluxus sanguinis ex arteria, tunc propera ad abscindendum eum cum cauterio, aut ut impleas locum cum zegi: et stringe manum tuam, donec abscindatur sanguis.	 If during the operation there was a sudden bleeding from an artery, then immediately apply it with a cautery or else take out what you have grasped and stop the blood with vinegar.
Quod si nihil ex illis est tibi praesens, tunc pone super locum digitum tuum, donec congeletur sanguis.	 If nothing is present among these things to you at this time, then put your finger over the place and until the blood freezes.
Et embroca locum cum aqua uehementis frigoris, donec quiescat acuitas, et stringatur secundum quod oportet.	 And cover it with cold water and let it cool down and be bound as needed.
Et ex eo quod est leuius et facilius extractione arteriae, est, ut cauterizes uenam cum hoc cauterio habente duos cultellos: sitque acuitas duorum cultellorum similis almagdatem.	 And that which is better and easier to remove from the artery is with a cautery holding two hooks together so that both their sharpness are equal in strength.
Verumtamen sunt multo minoris acuitatis, quam duo cultelli.	 However, smaller knives have less force than two hooks.
Quoniam si sunt acutae, sicut duo cultelli, properat utrisque frigus: et non incidunt carnem cum uelocitate.	 Because if they are sharp like the two hooks, it is equally to each side so that they do not cut through meat with pressure.
Cum ergo in eis est aliquantulum grossitudinis, tenetur in eis calor ignis, et abscinditur caro uelociter: cum hoc ergo opus est melius omni opere, et leuius, et facilius.	 Therefore there is some excess of fat and heat in them and they are burned with fire or else the meat is cut off quickly, but because of this therefore it's better for all operations and more so.
Et sit spacium quod est inter duos cultellos quantitas grossitudinis digiti, postquam tu signas duo loca cum encaustro: et depone utrosque ignitos ualde, donec perueniant ad os, et incidant uenam in duobus locis: ut elongetur quod est inter extremitates eius.	 And place what is between two hooks the size of your fingers after you put both places with encaustic wax and leave them to burn until they come out at their own mouth, or else cut off one in two different places so that it can be stretched as long as it extends from his extremities.
Nam non consolidantur cum hoc cauterio penitus.	 Because the pain is not relieved with this cautery.
Et haec est forma cauterii.	 This is how the cautery works.
¶ De cura cursus lachrymarum acutarum assiduarum ab oculis.	 On curing of tears from eyes.
Caput IIII.	 Caput IV
Quando sunt lachrymae assiduae, et est cursus earum ex uenis, quae sunt super craneum capitis exterius: et non confert in eis aliquid curationis medicinae cum medicinis, et uides faciem infirmi iam rubere, et sentit in fronte sua deambulationem, sicut est deambulatio formicarum: et oculi eius sunt extenuati, humidi, ita quod iam corrosi sunt pili eorum cum corrosione: et calefactae sunt palpebrae eius ex acuitate lachrymarum: tunc antiqui indiguerunt in curatione earum hac operatione, et denominauerunt eam curationem, cum Ense.	 When there are excessive tears and the course of them is from within the ears, which are over the outer sides of the head's skull; and nothing was done for their cure with medicines, but they see a reddening in front of themselves: and it feels a movement on its forehead like that of scraping off scabs: and their eyes become moist, as if corroded by corrosion. And the eyelashes of them are heated from excessive tears, then those who were treating them did so through this operation, and called it treatment, using "Ensay".
Et est, ut praecipias infirmo radere pilos qui sunt in fronte sua.	 It is also that the very hairs on their forehead may be removed by a certain ailment/disease
Deinde incide in fronte tres fissuras aequedistantes secundum longitudinem frontis: et sit longitudo fissurae quasi duo digiti, et fissura una sit aequedistans longitudini nasi in medio frontis, et secunda secundum longitudinem parumper a motu lacertorum, et tertia a parte altera: et caue ab incisione arteriarum quae sunt in duobus lateribus: et elonga manum tuam a continuatione duarum mandibularum, et sit spacium omnis incisionis quantitas trium digitorum coniunctorum: et sit tibi frustum spongiae praeparatum, aut panni siccati multi, cum quibus exsicces sanguinem.	 Then there are three cuts equally spaced horizontally across the forehead; and their length is nearly equal to two fingers' breadth each, one cut being midway along the nasal bone: another cut following just behind the motion of tears: the third cut at a part which is opposite from the second: then come blood vessels on both sides: and stretch your hand out by the length of both lower jaws. The total amount of all incisions is three fingers joined together, so that you may take sponges or many cloths soaked with blood.
Deinde intromitte spatumile duarum acutarum extremitatum, cuius mox sequens est forma.	 Then introduce sharp pointed sticks in pairs to which their form follows.
Ab incisione quae est a parte timporis, usque ad incisionem secundam: et excoria cum eo totam cutem, quae est inter duas incisiones, cum sifac, quod est super os.	 From the cut at the part of the ear to the second one: and shave with that all the way through to the cut between two incisions, up towards the nose.
Deinde fac illud etiam ab incisione media usque ad incisionem secundam.	 Then do this as well from the middle cut to the second one.
Deinde extrahe hoc spatumile, et intromitte in incisionem primam iterum instrumentum aliud, quod nominatur cultellare acutum, ab una parte lene, non acutum ab altera parte.	 Then remove that with a pair of sharp sticks and introduce the same cutting tool again for the first cut from another part which is not pointed: but use an actual cutting tool for removing from another part which is pointed.
Et haec est forma eius.	 And this is its form.
Et pone latus eius acutum uersus carnem annexam cum cute, et latus eius lene uersus os: et impelle ipsum, donec perueniat ad fissuram mediam: et abscinde cum eo omnia uasa, quae descendunt a capite ad oculos: praeter quod continuetur incisio usque ad illud quod apparet de cute.	 Then he puts the cutting tool into their ear with flesh on one side and then removes it leaving only the nose for them to pull out; and then pushes him towards the middle cut, until they reach that which appears from the flesh: except when there is a cut all the way up to where we see something coming.
Deinde fac illud in fissura media usque ad fissuram aliam.	 In the middle of a wound until another cut is made
Et postquam currit ex sanguine quantitas aequalis, exprime loca ex frustis sanguinis coagulati.	 After the flow of blood becomes equal to that expressed through the coagulated wounds, express it from the severed vessels with forceps
Deinde pone in omnem fissuram licinium ex cotto ueteri, et pone super eos puluillos imbibitos in uino, et oleo, aut aceto.	 Then apply a bandage over all the cuts made and bind it firmly to the severed vessels with sutures; and press upon it a mixture of powdered alum, vinegar or acetic acid.
Et uide ut non accidat apostema calidum.	 And be sure that the cold compresses are not too cold.
Et in die tertia solue ligamentum, et administra infusionem multam cum aqua tepida.	 On the third day use a ligature and administer an infusion of warm water several times.
Deinde cura illud ex unguento basilicon, et reliquis quibus curantur uulnera: usquequo sanetur.	 Then apply that with the ointment of the basilisk [a healing ointment made from various herbs] to all those in need; and let them gradually heal.
¶ De cura lachrymarum acutarum et catarrorum ad oculos ex interioribus capitis.	 For eye drops, nose drops, and throat drops applied from the inside of the head [the sinuses].
Caput V.	 Head V
Quando accidunt alicui catarri acuti, acres, assidui: et uides oculos eius extenuatos, paruos, et iam debilitatus est aspectus eorum: et palpebrae ulceratae, et cadunt pili ex eis, et in profundo capitis est dolor acutus, laedens, et sternutatio consequens: tunc sume ex istis accidentibus, quod illae materiae, et catarri non ueniunt, nisi ex uenis multis.	 When someone has a sudden attack of the eyes and nose drops, and in his aspect there is a weakening; and the eyelids are ulcerated, the hairs fall off from them, and at that place [the head] there is an acute pain, severe, and the result thereof: then remove these things which have been mentioned, as they will not come through any other means but by many vessels.
Et melior curatio in eis est haec.	 And the cure for them is this.
Et est, ut praecipias infirmo radere frontem suam.	 So that you may strongly pull at your face.
Deinde incide in eam fissuram unam in medio frontis, aut alterius parumper per latitudinem, et incipe cum fissura a timpore sinistro ad timpus dextrum: et sit incisio usque ad os: et elonga manum tuam a lacertis timporum, qui mouentur apud masticationem: donec quando detegitur os: et exsiccabis totum sanguinem cum spongia.	 Then make one incision in the middle of your face, or slightly higher and to the right; and begin with a cut at the left side of the nose until you reach the mouth. And stretch out your hand towards the lips, which move during mastication: until you have reached the mouth. When you have reached it, you will extract all the blood through a sponge.
Tunc separa inter duo labia fissurae cum cotto ueteri, aut cum liciniis ex lino.	 Then make an incision between the lips with old linen or with linen cloth.
Deinde stringe desuper cum puluillis: et imbibe puluillos cum uino et oleo, ut non accidat apostema calidum.	 Then bind a bandage over it and press upon it a mixture of powdered alum, vinegar, or acetic acid to prevent cold from causing shock.
Et quando soluis illud, et uides quod apostema calidum iam imminuitur: tunc oportet ut frices os, donec incipiat in eo nasci caro.	 When it has warmed up and you see that the tip of the hook is ready to be inserted into flesh (carp), then it should be removed from water so that it may begin to grow inside the flesh
Deinde cura ipsum cum regimine exiccatiuo quod facit nasci carnem: sicut si accipias ex farina tritici partes duas, et ex colophonia quatuor partes: et praepares ex eis emplastrum, et administretur ad natiuitatem carnis in istis uulneribus.	 Then take care of it while you are regulating the heat so that it makes flesh grow (carp): just as if you were to pull apart two parts from a mixture of wheat flour and four parts from colophonium, and prepare an implement using those parts, and administer them in order to bring the meat into being on these hooks.
¶ De cura eius quod cadit in Aurem.	 Take care of it when it has fallen down inside the hook (carp).
Caput VI.	 The sixth part is the head, which contains two cavities: one for air and one for water.
Omne Quod in Aurem cadit, est una quatuor specierum: aut lapis mineralis, aut simile lapidi, sicut ferrum, et uitrum: aut est ex planta, sicut est cicer, et fabae: aut est res fluxibilis, sicut aqua, et acetum, et eis similia: aut aliquod animal.	 Everything that falls down inside the hook (carp) is divided into four species: a mineral stone or a pebble like iron; earth and water are also included in this category: anything that comes from plants, such as wine from grapes, bread made of wheat; water itself, as well as vinegar.
Quando ergo cadit in aurem lapis, aut genus lapidis ex eis quae non adduntur, neque crescunt in aure, expone Aurem soli: si ergo uides lapidem, tunc distilla in Aurem aliquid ex oleo uiolato, aut sisamino.	 Therefore when a mineral stone falls inside the hook (carp), or if there is no addition to its species so that it does not grow within the hook, just remove the hook from water and observe whether you see a pebble: in such a case distill something from olive oil, or sesame seed.
Deinde administra extractionem eius, et fac sternutare cum condisi, et opila nares apud aduentum sternutationis, postquam tu ponis in circumitu auris frusta ex pannis, aut lana, et extendis aurem ad superiora.	 Then administer the extraction of it and make it grow with care, and pull up the nostrils towards the entrance of the nose after placing a hook (carp) on the ears, or wool, and raise the hook to its highest point.
Multotiens enim egreditur cum hac cura.	 Many things will be attributed with this kind of care.
Si autem non egreditur, tunc administra extractionem eius cum Gesti, id est, Pizigarolis subtilibus: cuius forma est haec.	 If not, then administer the extraction of it using a gesture (carp), that is, you pull back his head by subtle motions with such a shape as this.
Si ergo egreditur cum gesti, est bonum.	 If so attributed to him after the gesture, it is good.
Et si non, tunc administra extractionem eius cum uncino caeco subtili paucae duplicationis.	 And if not with a gesture (carp), then administer the extraction of it using a blind touch by subtle strokes in two directions.
Si ergo non egreditur per illud, tunc fac cannulam ex aere, et intromitte extremitatem cannulae in foramen auris multum, et opila quod est in circumitu cannulae cum caera mollificata cum oleo, ut non sit uento uia nisi cannulae: deinde extrahe cum uento tuo attractione forti.	 If not with a blind touch by the gesture (carp), then make a hook from feathers and let its tip enter deeply into the ear opening and pull it out forcefully through your strong grip after loosening it gently with oil, so that no injury occurs to the ear: unless you use a hook.
Multotiens enim egreditur cum eo quod narrauimus.	 "For one reason I am delighted that you have come.
Si autem non egreditur hoc modo: tunc accipe ex helkalimbat, aut ex uisco, id est, gluten praeparato, cum quo capiuntur aues, rem modicam: et pone ipsum in extremitate radii postquam tu inuoluis super eam cotum decenter positum: deinde intromitte ipsum in foramen auris cum facilitate, postquam tu exiccas aurem ab humiditate.	 If not, then you must take it from the skullcap or from my hand, that is to say, prepare gluten, with which we cut the vein; and afterwards put this into your forearm just below where you had placed it badly when you were holding on too firmly. Afterwards introduce it into the earhole with ease, after you have shaken off the moisture of the ear.
Si ergo non egreditur cum omnibus quae narrauimus, tunc propera ad scindendum, antequam accidat apostema calidum, aut spasmus.	 Therefore if I am not delighted with everything that we have taken [i.e., the vein], then quickly prepare a hot chisel or any other suitable instrument to cut it off before removing the hook.
Et modus fissurae est, ut phlebotomes infirmum in primis in cephalica: et extrahe ei ex sanguine secundum mensuram uirtutis eius.	 And the method of the incision is so that first you make an incision into the head; and remove him from the blood according to his measure of strength he has.
Deinde fac sedere infirmum inter manus tuas, et conuerte aurem eius ad superiora, et finde fissuram paruam in radice auris apud adipem eius in loco depresso ipsi: et sit fissura lunaris figurae, donec peruenias ad lapidem: deinde aufer eum cum eo, quod est tibi possibile ex instrumentis.	 Afterwards let the weak one rest between your hands; and gently pull his ear up to its highest point; find the incision in the root of the ear near his cheekbone; and make a slit into the ear's figure, until you have reached the stone: then take him with those instruments.
Deinde sue fissuram ab hora tua cum uelocitate, et cura ipsam, donec sanetur.	 Afterwards seal up the incision at your time when it is ready; and look after her carefully until she has healed completely.
Quod si res cadens in aurem est ex uno granorum, quae crescunt, et inflantur: tunc administra extractionem eius.	 If something falls into the ear from one of many growing growths that are there and inflate; then administer an extraction for him/her.
Si autem non obedit tibi ad exitum, tunc accipe spatumile tenue, subtile, secundum hanc formam.	 If it does not go out to you with the thin, gentle, subtle manner, then take a very small, fine one according to this form.
Et administra cum eo abscisionem illius speciei ex granis, quae cadunt in aurem, et non facias illud, quando tu cogitas, quod illud granum iam humectatum est per uaporem auris, donec ponis ipsum frusta multa: deinde extrahe ea cum uncinis, aut cum gesti subtili, aut cum suctione, sicut diximus, nam extractio eius alleuiatur.	 And administer the removal of this kind from growths that fall into the ear and do not make it if you think that this one is already moistened through the moisture of the ear because of the swelling; wait until you place it on his/her forehead; then take her out with hooks, or with gentle, subtle, precise movements.
In aqua autem quae ingreditur in aurem, oportet ut utatur infirmus sternutatione cum condisi in primis: et iam impleuit aurem suam cum aliquanto cotto ueteri: et est iacens super illam aurem, in qua est aqua.	 If something falls into the ear from water, let the weak one breathe with a nosebleed first; and already closed his/her ear because of some old clot; he/she is lying above her, where there was moisture.
Si ergo egreditur per illud, est bonum.	 Therefore I have learned that this is good
Et si non: tunc accipe lapides multos, secundum longitudinem digiti, tenues, lenes, et calefac eos cum igne parumper, et intromittat infirmus ex eis unum in foramen auris suae: et saliat super pedem suum unum ex illa parte, et percutiat cum lapide alio super lapidem qui est in aure.	 If not then take many stones according to the length of your fingers, thin, light ones and set them ablaze with fire, and introduce one into his ear using a stone from that part [left side] for healing; after this strike him on the foot with another stone placed above it in the ear.
Non ergo cesset facere illud cum lapide et lapide, donec egrediatur tota aqua.	 Therefore, I will not stop doing that until he is entirely healed with a stone and another.
Et iam egreditur aqua ita, ut accipias ex parpyro, aut ex iunco unum, et intromittas extremitatem eius unam in aurem: et accendas extremitatem alteram cum igne, donec comburatur plurimum eius.	 I have already learned water so that you take one from a bowl or jug and introduce it into his ear; you set ablaze the extremity of another with fire until all parts are consumed.
Deinde itera iuncum alium, et fac illud multotiens, donec egrediatur tota aqua: et extrahe ipsam cum cannula secundum quod praemissum est in lapide.	 Then you take another with a tube as prescribed and draw out the one that has been burned into the stone; you will do this many times until he is entirely healed by water.
In extractione autem animalis intrantis in eam, si est parui corporis, ut pulex, et ei simile, cura ipsum sicut dixi in diuisione.	 In extracting an animal which is too small for the body, you pour it out as you would from a vessel; and to him who has received such care, treat him similarly by drawing out.
Sed si est corporis magni, quod appareat sensui: tunc administra extractionem eius cum gesti, et uncinis: et res eius est facilior omnibus, quae tenentur in aure.	 But if it is a large body which appears to the senses; then administer the extraction of him with a hand gesture and tweezers; and as for them who have received such care, it will be easier for them than those held in the ear.
In extractione autem uermis generati in aure, quando curas eum cum eo quod diximus in diuisione, et in tractatu distilationum, et non confert curatio tua: tunc oportet ut aspicias aurem in sole.	 In extracting the uremic excrements from the ear when you have cured him as prescribed by distillation and not conferred care; then it is necessary that you scratch his ear with a finger.
Si ergo apparet illic aliquid ex uermibus, tunc extrahe illud cum gesti, aut cum uncinis subtilibus.	 If therefore something appears there from the excrements, then draw out this one with a gesture or with tweezers.
Si autem non apparet illic aliquid, tunc accipe cannulam, cuius haec est forma, stricta inferius, ampla superius: et intromitte extremitatem subtilem in aurem secundum quantitatem quod tolerat eam infirmus: deinde suge cum ea suctione forti.	 If however nothing appears there, then take a tube as prescribed; the shape of which is narrow below and wide above; and introduce the delicate extremity into the ear according to how much that can be tolerated by the patient. Afterwards suck with it strongly.
Fac illud multotiens, donec egrediantur omnes uermes.	 Do this many times until all excrements have been extracted.
Si autem non obediunt tibi ad exitum, tunc opila circumitum cannulae cum caera, sicut dixi in lapide.	 If they refuse to obey you at your departure, then they should be tied up with cords as I described it on stone
Quod si non egrediuntur cum eo quod diximus: tunc administra distillationes quas iam experti sunt antiqui in interfectione uermium: et inuenies illud in tractatu distillationum.	 If they do not comply with what we have said, then administer the distilled substances which are now expert at infecting wounds and use them according to the treatment of distillations.
Et sit effusio tua qua effundis olea et medicinas in aurem cum hoc instrumento, cuius forma depicta est hic.	 And let there be a shower for you with olive oil and medicines on top with this instrument which shape is depicted here.
Sicut uides fac ipsum ex argento, aut aere, inferius strictum, in quo sit foramen paruum, amplum superius.	 As I showed you before from the bronze or air below the narrow one where the hole of the ear is, above the broad one.
Sit ergo ut impellens quod est in concauitate cannulae, sit ex aere decenter factum.	 So that it pushes what is within the corded cannula away from the air and down lower.
Et si uis, accipe radium, et inuolue in extremitate eius cottum inuolutione decenti: deinde proiice oleum, aut succum, aut quod uis ex istis medicinis in cannulam: et ipsa sit in aure: deinde intromitte radium cum cotto desuper, et exprime ipsum manu tua compressione temperata, donec impellatur oleum in concauitate auditus, et sentiat ipsum infirmus interius: et illud quod infunditur in aurem, sit iam calefactum cum igne parumper: et caue ne sit res quae distillatur in eam frigida ualde: medicinae enim non tolerant illud.	 If you are on fire and receive the water; then pour into that which is at its end with a gentle movement of the hand, so as to send the oil or syrup towards it through the cannula; thereafter let there be heated up by fire above, and then come out cooled down from the flame. And what is poured in the ear should now become hot, as if ignited by fire, so that no thing which is distilled may remain cold, for medicines do not tolerate this.
