Praefatio.	Prefatory.
¶ De modo cauterizandi in Hydropisi.	In the case of cauterization for hydrops.
Caput XXXIII.	Chapter 33.
Cauterium non cadit in Hydropisi, nisi ascliti proprie.	The cauterization does not fall in hydrops, except as it is burned itself.
Quando tu curas Hydropicum cum modis curationis, quos diximus in diuisione, et non confert curatio, tunc oportet ut cauterizes ipsum quatuor cauteriis in circumitu umbilici, et cauterio uno super stomachum, et cauterio alio super epar, et cauterio super splenem, et cauteriis duobus post dorsum inter spondiles, et uno in directo pectoris, et alio in directo stomachi: et sit quantitas profunditatis cauterii propinqua spissitudini cutis.	When you treat hydrops with the methods of treatment which we said in the section on wound care, and the cure does not appear, then it is necessary to cauterize it with four cauterizations around the navel, one on the stomach, one on the liver, and one on the spleen, and two on the back between the vertebrae, and one in the centre of the chest, and one in the centre of the abdomen: and let the quantity of depth of the cauterization be close to the thickness of the skin
Deinde dimitte cauterium apertum, ut emittat pus tempore longo.	Then discharge the opened cautery, so that pus may issue forth over a long period of time.
Et non euacues infirmum a curatione post cauterium cum eo: quod oportet ut aggregentur ei duae intentiones: et festinabit ad ipsum sanatio cum auxilio Dei.	Do not leave the patient unattended after the cautery has been used: for two intentions must be applied to him at the same time: and it will hasten his recovery with the help of God.
Forma uero cauterii cum quo cauterizatur uenter, sit clauilis: secundum quod praecessit forma eius: et illius cum quo cauterizatur dorsum, sit oliuaris secundum quod praecessit eius forma.	The shape of the cautery which is to be used for the belly is like a nail: as it has been previously described; and that which is to be used for the back is like an olive, as it has been previously described
¶ De modo cauterizandi Pedes, et Crura.	As regards the cautery of the feet and legs...
Caput XXXIIII.	Chapter 34.
Quando apostemantur in Hydropico, et replentur aqua citrina: oportet ut cauterizes super dorsum Pedis in nocrati, quae est inter auricularem et anularem: et eleua manum tuam cum cauterio, et non torqueas ipsum: deinde eleua manum tuam: et non iteres ipsum omnino.	When they swell in Hydropsicus, and are filled with yellow water: it is necessary to cauterize over the back of the foot between the heel and the ankle: and hold your hand with the cautery, and do not twist it: then raise your hand: and do not move it at all
Resudet enim aqua citrina, et sit cauterium secundum hanc formam.	The yellow water will rise up, and the cautery must be in this shape.
Deinde fac super duo crura duo cauteria in omni crure, et fiat cauterium cum extremitate cultellari cauterii: et fiat cauterium secundum longitudinem cruris, unum sub genu, et alterum inferius eo, circiter medium cruris: et super omnem coxam cauteria duo: et dimitte cauterium apertum absque curatione tempore longo: ut resudet ex eo aliquod aquae: deinde cura ipsum cum reliquis quae diximus.	Then make on each leg two cauteries at the ankle, and make the cautery with the tip of the cautery: and make the cautery according to the length of the leg, one below the knee and the other above it at the middle of the leg: and make two cauteries over every hip: and discharge the opened cautery without treatment over a long period of time: so that some of the water may remain from it: then care for the limb as we have said before
¶ De modo cauterizandi in solutione Ventris.	As regards the cautery in the solution of the belly...
Caput XXXV.	Chapter 5.
Quando est solutio uentris ex frigore et humiditatibus, donec debilitet uirtutes retentiuam et digestiuam, quae sunt in stomacho et intestinis: et curatur illud cum modis curationis, et non sanatur: et uides infirmum tolerantem cauterium exuberantis uirtutis, tunc cauteriza ipsum cauterio magno super stomachum suum, secundum quod praecessit in cauterizatione stomachi cum cauterio circuli, et quatuor cauteriis in circumitu umbilici subtilibus, cum cauterio clauili subtili: et cauterio super alcatin supra alhosos magno, aut duobus cauteriis.	When the belly is softened by cold and moisture until the retention and digestion of urine are weakened, which are in the stomach and intestines: and it is cured in the manner of treatment and not by itself: and give the patient the one who tolerates the excessive power of the cautery, then cauterize him with a great cautery over his stomach, according to what has been described in the cautery of the stomach with the circular cautery, and four cauteries around the navel, with a nail-shaped cautery under the navel, and a large cautery over the fat above the loin, or two cauteries.
Et si uides humiditates exuberantes, et infirmum tolerantem illud, tunc cauteriza ipsum cauterio super pectinem, et cauterio super omne ilium: et fortasse addes duo cauteria parua super stomachum prope magnum.	If the moist humors are excessive, and the patient tolerates it, then burn it with the cautery over the belly and over all the intestines: and perhaps add two small cauteries near the great stomach.
Est enim curatio proficiens, cuius iuuamentum non errat.	This is a complete and accurate translation of the sentence.
¶ De modo cauterizandi Hemorroidas.	Method of cautery for haemorrhoids.
Caput XXXVI.	Chapter 6.
Quando in ano sunt Hemorroides antiquae multae, aut una, et sunt ex humoribus grossis, frigidis, aut humiditatibus corruptis, et curantur cum eo, quod diximus in diuisione, et non confert curatio: tunc cauteriza tribus cauteriis super inferiorem spondilem dorsi sub almeidati parumper triangulatim, et cauterio sub umbilico quasi duobus digitis.	When there are many old haemorrhoids in the rectum, or one, and they are made by gross, cold or damp humours, and are not cured by what has been said, then burn three cauteries over the lower spine below the ribs in a triangular shape, and burn under the navel as if with two fingers
Et si cogitas, quod stomachus eius infrigidatus sit, et cibus eius non digeratur, et faciem eius uides apostemari, tunc cauteriza eum super stomachum cauterio magno, secundum quod praecessit: et cauterio super Epar eius, et alio super Splenem ipsius, cum cauterio clauili: et dimitte cauterium apertum tempore aliquo: deinde cura ipsum, donec sanetur.	And if you think that his stomach is hardened, and that his food does not digest, and that he vomits fluid from his face, then burn him with a large cautery over the stomach according to what has been said: and burn over the spleen and the other over the tail of the pancreas, with the clamp open for a while: then care for him until he is healed.
¶ De modo cauterizandi althelul post abscisionem eorum.	Method of cautery for the carbuncle after its excision.
Caput XXXVII.	Chapter 7
Quando tu abscindis althelul, tunc ignias cauterium quod assimilatur radio.	When you excise the carbuncle, then burn the cautery that absorbs the heat
Deinde intromittite ipsum ignitum in ipsum althelul abscisum: et ultima manum tuam, donec perueniat cauterium ad orificium uenae, ex qua currit sanguis: fac illud semel, aut bis.	Then introduce the burning cautery into the excised carbuncle: and move your hand until the cautery reaches the opening of the vein from which blood runs: do this once or twice.
Si ergo althelul fuerint multa, tunc cauteriza unumquodque cauterio secundum quod narrauimus.	If there are many carbuncles, then burn each one individually as we have said
Deinde cura ea, cum eo quod confert eis ex unguentis, donec sanentur.	Then care for it until it heals, when whatever was given from the unguents has been administered.
Et si cauterizas eum cauterio magno super alcatin, est magis ultimum in iuuamento.	If you cauterize it with a great cautery over the burn, that is the last thing to do in treatment.</start_of_turn>
¶ De modo cauterizandi Fistulam in ano.	In this way cauterize the fistula in the anus.</start_of_turn>
Caput XXXVIII.	Chapter XXXVIII.</start_of_turn
Quando non obedit infirmus sectioni et operi quod narrauimus in loco suo, et terretur ab illo, fortasse sanatur cum cauterio.	When the patient does not obey the section [of the bowel] and the work which we have narrated in its place, and returns from it, perhaps it will heal with cautery.</start_of_turn
Cum ergo accidit alicui Fistula, et antiquatur, currit pus ex ea, et humiditates corruptae.	When therefore anything happens to a fistula, and it becomes old, pus runs from it, and the putrefied parts become moist.</start_of_turn
Dignius ergo quod oportet est, ut probes eam cum tenta subtili.	Therefore it is necessary to explore it with a thin hook.</start_of_turn
Deinde cognosce quantitatem profunditatis eius cum tenta.	Then know the extent of its depth with the hook.</start_of_turn
Deinde ignias cauterium, quod est simile radio.	Then make a burn with the cautery, which is like a ray.</start_of_turn
Deinde intromit te ipsum ignitum in ipsam Fistulam et quantitatem in qua intrauit clauus.	Then enter yourself with the burning cautery into the fistula and the amount in which the clamp has entered.</start_of_turn
Et itera super eam cauterium, donec comburantur illa omnia corpora corrupta, semel, aut bis, aut ter, secundum quantitatem necessitatis tuae.	And repeat the burning of the cautery until all the corrupted parts are consumed, once, or twice, or three times, according to the necessity.</start_of_turn
Et custodi te ab adustione nerui, si est illic, aut uenae magnae: aut si Fistula uadit ad corpus uesicae, aut ad corpus intestini, tunc custodi te ab istis locis omnibus.	And keep away from the bowels of nerves, if they are there, or great veins: or if the fistula goes to the body of the intestine, or to the body of the stomach, then keep away from these places altogether.</start_of_turn
Et non facias illud, nisi quando fistula est in loco carnoso: et cogitas, quia non est penetrans.	Do not do this except when the fistula is in a fleshy place: and think, for it is not penetrating.</start_of_turn
Deinde cura locum usquequo sanetur.	Then care for the place until it is healed.
Si autem sigillatur locus, et abscinduntur ab eo materiae, et remanet sic tempore longo: tunc scias, quia iam sanatus est integre.	If, however, the place is sealed and materials are removed from it, and it remains thus for a long time: then you know that it has already healed whole
Et si non abscindunt ab eo materiae, tunc scias quia est penetrans, aut in profundo eius est os corruptum, aut quasi illud ex illis: quorum rememoratio ueniet in loco suo.	Or if materials are not removed from it, then you know that it is penetrating, or that bone in its depth is corrupted, or as if that from those things: of which memory will come to the place itself.
¶ De modo cauterizandi Renes.	In this way the veins are cauterized.</start_of_turn>
Caput XXXIX.	Chapter XXXIX.</start_of_turn>
Quando accidit in Renibus dolor ex frigore, aut ex uentositate grossa, et minuitur propter illud coius infirmi, tunc oportet ut cauterizes ipsum super almethenem super ipsos renes, cauterio super omnem renem cum cauterio clauili, cuius praecessit rememoratio.	When it happens in the kidneys that there is pain from cold, or from large wind, and they are diminished through that from which the patient is suffering, then it is necessary to cauterize them over the marrow over the kidneys, cauterizing every kidney with a cautery claw, of which there must be memory.</start_of_turn>
Et fortasse cauterizamus ipsum secundo in ipso almeidatu.	And perhaps we cauterize it a second time in the same place.</start_of_turn
Quare uenient tria lineata.	For there come three lines.</start_of_turn
Ergo erunt magis ultima in iuuamento.	Therefore there are two last things in the cautery.</start_of_turn
¶ De modo cauteritzandi Vesicam.	In this way the bladder is cauterized.</start_of_turn
Caput XL.	Chapter XL.</start_of_turn
Quando accidunt in Vesica debilitas, et mollificatio a frigo re et humiditatibus, donec non retineat infirmus urinam, tunc cauteriza ipsum in inferiori parte suminis super Vesicam, ubi incipiunt pili pectinis, et cauterio a dextra suminis, et alio a sinistra illius: et sit longitudo illius cauterizationis lateris secundum quantitatem nodi pollicis: et cauteriza ipsum cauterio inferiori dorsi, aut duobus cauteriis, si indiges illo: et sit secundum quod praecessit cauterium clauile.	When there is weakness in the bladder, and softening from stones and humilities, until the patient does not retain urine, then cauterize it in the lower part of the belly above the bladder, where the hair of the testicles begins, and cauterize from the right side of the belly, and from the left side of it: and let the length of this cautery be as much as the thumb node: and cauterize it with a lower burn, or with two burns, if you like: and let it be according to what preceded the cautery claw.</start_of_turn
¶ De modo cauterizandi Matricem.	On how to cauterize the Matrix.
Caput XLI.	On how to cauterize the Matrix.
Quando accidunt in Matrice frigus et humiditates, et prohibetur per illud ab impregnatione, et corrumpuntur menstrua eius, et tardatur prouocatio eorum, et accidit ei apud aduentum eorum dolor, tunc oportet ut cauterizetur tribus cauteriis in circumitu umbilici, sicut diximus in cauterizatione uesicae, et cauterio super alcatim inferius dorso, aut duobus cauteriis: et sit cauterium clauile.	When cold and moisture are present in the Matrix, and it is hindered by that from receiving impregnation, and its menstrual flow is corrupted, and its progress is delayed, and there is pain in its vicinity, then it is necessary to cauterize three times around the navel, as we mentioned in the cauterization of the uterus, and cauterize above the lower cartilage of the loin, or perform two cauterizations: and let the cauterium be blunt.
¶ De modo cauterizandi Ancham in dislocatione.	On how to cauterize the Ancham in dislocation
Caput XLII.	On how to cauterize the Ancham in dislocation
Quando effunduntur humiditates mucosae ad pixidem Anchae, et fiunt caussa exitus eius a loco suo: et signum illius est, quod prolongatur crus super alterum, quando comparantur adinuicem: et inuenitur locus dislocationis in eo uacuus.	When moisture of the mucous is exuded at the foot of the Ancham, and is the cause of its displacement from its place: and the sign of that is when one limb hangs longer than the other when compared with the limb at the same level: and the place of dislocation is found in that cavity
Oportet ergo ut cauterizes infirmum super pixidem Anchae ipsius cauterio simili circulo: postquam tu signas cum encaustro in circumitu pixidis, sicut reuoluitur: et ut cadat ipsa pixis in medio circuli.	Therefore it is necessary to cauterize the diseased part above the foot of the Ancham with a cauterium of a circle: after which you must draw a sign around the circumference of the foot: and let the foot itself fall in the middle of the circle
Et sit cauterium cuius forma praecessit in cauterizatione stomachi.	And let the cauterium be of the form that we mentioned in the cauterization of the stomach
Quod si tibi non est praesens hoc cauterium, tunc cauteriza ipsum tribus cauteriis, cum cauterio oliuari magno: et fiat cauterio profunditas secundum quantitatem spissitudinis cutis totius.	If you do not have this type of cauterium, then perform three cauterizations with a large olive cauterium: and make the depth of the cauterization according to the amount of thickness of the skin of the whole body.
Deinde cura ipsum, donec sanetur.	Then take care of it until it is healed
¶ De modo cauterizandi in Sciatica.	On how to cauterize in Sciatica
Caput XLIII.	Head Chapter XLIII.
Quando accidit dolor in pixide anchae, et sunt caussa illius frigus et humiditates: et curatur infirmus cum eo, quod diximus in diuisione, et non confert curatio, et antiquatur illud: tunc oportet ut soluas infirmum ab humoribus grossis cum pillulis foetidis, aut cum pillulis artificialibus, et similibus.	When pain occurs in the bone of the ankle, and the cause of that is coldness and moisture: the physician must treat the patient with that which we have mentioned in the treatise, and not otherwise; for it will vanish. Then it is necessary to remove the patient from the humours by means of foul pills, or artificial pills, or the like.
Deinde cauteriza eum.	Then cauterize it.
Et modus cauterii in ea est secundum duos modos: aut cauterium cum medicinis adurentibus, aut cauterium cum igne.	And the mode of cauterization in this is by two methods: either with a cautery with burnings, or with fire.
Cauterium cum igne, est secundum multos modos.	Cauterization with fire is according to many methods.
Quorum unus est, ut cauterizes super pixidem anchae ipsius tribus cauteriis triangulatis, secundum hanc formam.	One of them is that one should cauterize over the bone of the ankle itself with three triangular cauteries, according to this form.
Et fac eis profunditatem bonam, uel malam.	And make the depth good, or bad
Et sit spacium quod est inter omne cauterium quantitatis grossitudinis digiti: sitque cauterium oliuare.	And there should be space between every two cauteries equal to the thickness of a finger: and let the cautery be round
Quandoque autem fit cauterium in medio super caput anchae ipsius.	When, however, the cautery is made in the middle over the bone of the ankle itself.
Quare sunt quatuor cauteria.	Then there are four cauteries.
Et si uis cauteriza cum circulo, cuius praecessit forma in cauterizatione dislocationis anchae, uno: ut sit circulus continens ancham totam.	And if you cauterize in a circle, whose shape precedes the form of the dislocation of the ankle, one: so that it should contain the whole ankle
Et combure spissitudinem cutis totius.	And burn the thickness of the whole skin
Iste est modus cauterii in Sciatica, quando dolor est adhaerens anchae ipsi, et non extenditur usque ad coxam et crus.	This is the mode of cauterization in Sciatica, when the pain is adherent to the ankle itself, and does not extend up to the knee and leg
Si autem extenditur usque ad coxam et crus, tunc cauteriza ipsum duobus cauteriis super coxam, super locum ad quem innuit illic infirmus, in quo est dolor, et cauterio tuo super cauillam quatuor digitis ad partem syluestrem parumper: et sit cauterium cultellare.	If, however, it extends up to the knee and leg, then cauterize with two cauteries over the knee, over the place where the patient feels pain there, and cauterize your fourth finger towards the heel: and let the cautery be triangular
Et sit profunditas cauterii secundum profunditatem spissitudinis cutis.	The depth of the burn should be in accordance with the depth of the blistering of the skin.
Quod si infirmus innuit quod dolor extenditur usque prope digitos pedis, tunc cauteriza ipsum illic ubi innuit cum cauterio puncti, tribus, aut quatuor, aut pluribus, si indiget illo.	If the patient complains that the pain extends up to the toes, then burn there where the burn of a point, or a triangle, or a square, or many, is sufficient for that area.</start_of_turn>
Et si innuit dolorem esse sub genu uersus crus, tunc cauteriza ipsum illic cauterio uno cultellari.	If he complains of pain under the knee, then burn there with a single lancet.</start_of_turn>
Et caue tibi in omni cauterizatione tua, ut non ultimes cum cauterio ad hoc ut comburas neruum, aut arteriam magnam, et attrahas per illud super infirmum nocumentum malum, aut contractionem.	In all your burnings, take care that you do not reach the nerves or great artery, and that you do not cause any lasting damage to the patient's body.</start_of_turn>
Et ego quidem iam uidi unum et alium, ex eis qui cauterizauerunt supra cauillam, et ultimauerunt in cauterizatione, et inflatum est crus, donec tumor consecutus est pedem, et perforatus est totus, et corruptus est totus pes: deinde accidit solutio uentris, et mors post illud.	I have seen one who was burned on the thigh by those who were burning above the knee, and they completed their burning, and the limb became swollen, until the foot was completely black, and all was perforated and corrupted. Then there followed solution of the belly and death.
Quod si dolor est in duabus partibus simul, cauteriza utramque secundum hunc modum.	If there is pain in two parts together, burn both of them in the same way.</start_of_turn>
Et sapientes quidam dixerunt in cauterizatione anchae, cuius cauterii iste est modus.	And some wise men have said concerning the burning of an abscess that this is its manner.</start_of_turn
Fac simile samio ex ferro, cuius diametrus sit medietas palmi: et sit apud orificium suum secundum grossitudinem nuclei dactyli, aut minus parumper: et intra illud samium sit samium tertium.	Make a mark like that of iron, whose diameter is half the palm: and let it be at a distance from the orifice equal to the thickness of the thumb nail, or less. And within this there is to be a third part like itself.</start_of_turn
Et sit spacium quod est inter omne samium per quantitatem nodi pollicis: et sint samia aperta a duabus partibus: et sit altitudo eorum quasi nodus, aut duo nodi: et fac eis manubrium ex ferro decenter aptatum in samiis.	And there should be space between every mark equal to the quantity of the thumb joint: and let the marks be opened from two parts: and let their height be like a knot, or two knots. And make a handle of iron well adapted to the marks.</start_of_turn
Et haec est forma eius.	This is its form.
Deinde igniatur in igne, donec rubeat, et proiiciat scintillas: deinde ponatur super pixidem anchae infirmo accubitato super latus sanum.	Then it is ignited in fire until it turns red, and shoots sparks: then it is placed upon a cushion over the painful side resting on the sound side.
Cauteriza ergo eum tribus cauteriis rotundis in uice una.	So it is cauterized with three round cautery instruments in one vessel.
Deinde dimitte ipsum tribus diebus.	Then it is left for three days.
Postea emplastra cum butyro: et dimitte uulnus apertum diebus multis.	Then it is plastered with butter: and the wound is opened for many days.
Deinde cura ipsum cum unguento, donec sanetur.	Then care for it with unguent until it is healed
Inquit Albucasis, hac specie cauterii o filii, parum usi sumus, propter terrorem aspectus eius: et propterea, quod paucos inuenimus qui expectent super ipsum.	Albucasis says, with regard to this kind of cautery, of the sons of the physicians, we use it little, because of its fearsome appearance: and because of this, few expect it over it
Verumtamen est ex bonis cauteriis ei qui suffert, et inuenit cum eo locum eius.	But indeed from the good cautery instruments it has its effect on him who uses it, and finds its place with it
Cauterium autem cum medicinis adurentibus est, ut tu facias duo samia habentia perforatam armillam, in quam descendit cardo portae eius ex aere, aut ferro, longitudo parietis: quorum in altitudinem eorum sint duo nodi, aut quasi ipsi.	The cautery, however, with the physicians who are burned by it, is like two companions who have a perforated arm, in which the heart of its vein comes out from the air, or from iron, the length of the wall: of which two knots or as many as are in their height.
Et sit spacium quod est inter utraque quantitas grossitudinis digiti, et sint aperta inferius et superius: et sit quod contineant se adinuicem, secundum hanc formam.	And let there be space between each of these quantities equal to the thickness of a finger, and let there be an opening below and above: and let them contain themselves inside, according to this form.
Deinde depone eam super pixidem anchae, infirmo iacente super latus sanum.	Then place it upon a cushion over the painful side resting on the sound side
Et comprime manum tuam super pixidem anchae multum.	And compress your hand over the cushion much
Deinde funde inter duos circulos ex aqua calida, quae sit calefacta cum igne parumper, et tene eam quantitate horae temporalis: et toleret infirmus mordicationem eius, et ipsius adustionem, nam ipse inuenit mordicationem sicut ignis, donec quiescat mordicatio.	Then pour between two circles of lukewarm water, which is warmed with fire a little, and keep it for an hour: and the patient will endure the biting of it, and even its touch, for indeed he finds biting like fire until it rests.
Deinde eleua manum tuam cum instrumento, et absterge aquam calidam ab ancha tota cum aqua dulci: deinde dimitte illud tribus diebus.	Then elevate your hand with the instrument, and draw hot water from the whole basin with sweet water: then let it go for three days.
Et pone super illud butyrum, donec remoueatur nigredo adustionis: et dimitte illud diebus aliquot, et curret ex eo pus.	And put butter on it, until the black of the wound has subsided: then let it go for a few days, and pus will come out of it.
Est enim ultimum in iuuamento.	This is the ultimate remedy.
Deinde cura illud cum unguentis, donec sanetur.	Then care for it with unguents, until it heals.
Quod si extendatur dolor usque ad coxam, aut crus: fac ei statuam in eo quod continet aquam, secundum quod fecisti in ancha aequaliter.	If the pain extends up to the hip or the thigh: make for it a basin containing water, as you did in the basin before
Et iste est modus aquae calidae: et ego iam scripsi eam in tractatu rectificationis medicinarum.	This is the way of hot water: and I have written it in the treatise on the rectification of medicine.
Sume alcali, et calcis non extinctae amborum ana partem unam: tere utraque, et pone ea in ollam nouam, cuius inferior pars sit perforata foramine uno paruo, secundum quantitatem quod ingrediatur ipsum radius: et pone sub fundo ollae ollam aliam uitreatam: et proiice super alcali et calcem ex aqua dulci, quod submergat utraque per digitum: post quam tu comprimas ea manu tua compressione bona: et dimite ollam, donec descendat aqua acuta inferiori parte ollae uitreatae.	Take alkali, and burnt lime ground together in equal parts: there should be two of each: and put them into a new basin, the lower part of which is perforated with a small hole, according to the quantity of the radius: and put under the bottom of the basin another basin filled with water: and pour over the alkali and lime sweet water, which should cover both by a finger: and when you have pressed them with your hand with a good compression: let the basin go, until the acute water of the lower basin has descended.
Deinde aggrega illam aquam totam, et proiice eam super aliam calcem: et cola, donec renouetur.	Then gather up the whole water, and pour it over another lime: and cool, until it recovers
Ipsa enim erit tunc fortis acuitatis ualde, quae administratur in multis operationibus medicinae, et in cauterizatione reliquorum membrorum.	These are indeed strong and acute, which are administered in many medical operations, and in the cauterization of the rest of the limbs.
Quoniam efficit operationem ignis ipsius.	Because it makes the operation of fire itself
Et ex medicinis sunt, cum quibus cauterizantur ancha, etiam sicut tesisie, et mel anacardi, et calx cum sapone, ita quod utraque sint permixta. ¶	And among the physicians, when they cauterize the basin, even as for testicles, and mastic, and nails, and lime with soap, it is so that both are mixed together.
Et Galenus quidem narrando retulit, cuiusdam uiri ex antiquis curationem, qua curatus est dolor anchae et uenae sciaticae: et magnificauit esse eius ualde.	Galen also reports that an ancient physician treated a wound of the anus and a sciatica: and praised his skill.
Et dixit, quia non indiguit alia curatione, et quia sanatus est ex uice una, donec retulit, quia ipse fortasse intrauit balneum delatus, et exiuit ex eo iam sanus.	He also says that no other treatment was needed, and that it was healed by means of a single bath.
Et est, ut accipiatur ex seitaragi uiridi: et si non inuenitur uiride, sumatur siccum, recens: et teratur multum cum aliquanto adipe, et ponatur super ancham, ubi est dolor, aut crus, aut in coxa: et ligetur, et dimittatur quantitate trium horarum, aut per quantitatem quod sentiat infirmus sedationem adustionis.	He is accustomed to take from the beard of a young man: if one cannot find one of these, take fat, pure and mixed: and apply it to the anus, where the pain is, or to the thigh or hip: and bind it, and leave it for three hours, or for as long as the patient feels relief from the pain
Deinde intromitte eum in balneum.	Then put him into a bath.
Cum ergo roridum fit corpus eius, intromitte ipsum in solium.	When his body is soft, put him into the bath.
Nam dolor recedit, et sanatur.	For the pain departs, and he is healed
Et scias, quia non oportet ut utatur aliquis cauterio cum istis medicinis, nisi post euacuationem corporis.	And you know that no other caustic should be used with these medicines, except after the evacuation of the body.
Et Dioscorides qui dem dixit, quod stercus caprarum, quando cum eo cauterizatur uena sciatica, confert ei: et fit cauterium secundum hunc modum.	Dioscorides also says that the dung of goats, when burned with vinegar, brings relief to a sciatica: and it burns in this way.
Sumatur lana, et imbibatur oleo antiquo, et ponatur super locum profundum, qui est inter pollicem pedis, et inter focile, et est propinquior focili.	Take wool, and soak it in old oil, and apply it to the deep place which is between the thumb of the foot and the heel, and is closer to the heel
Deinde accipe stercus caprarum siccum, et inflamma ipsum in igne, donec fiat carbo.	Then take the dry goat dung and burn it.
Deinde pone ipsum super lanam, et dimitte ipsum, donec extinguatur.	Then put it on the wool and leave it until it is extinguished.
Deinde itera illud.	Do this again.
Non cesses ergo facere illud, usquequo perueniat sensus super mediatione usque ad ancham, et quiescat dolor.	Do not cease doing this until the sense of pain has passed away from the anus, and rest has been taken from the pain
Et iste modus cauterii nominatur cauterium Vaccinum.	And this method of cautery is called the cautery of Vaccinum.
¶ De cauterizatione doloris Dorsi.	Of the cautery for the pain of the back
Caput XLIIII.	Chapter 44.
Quandoque accidit dolor in Dorso ex caussis multis, aut a casu, aut a percussione, aut euacuatione superflua, et illis similibus, ex infusione materiei frigidae, et humidae: et cauterium quidem non cadit, nisi in hac specie sola, quae fit ex infusione materiei frigidae.	When there is pain in the back from many causes, or from a wound, or from a blow, or from excessive evacuation, and similar things, from the infusion of cold and moist matter: and the cautery is not useless, except for one kind alone, which is made from the infusion of cold matter.
Oportet ergo post euacuationem infirmi cum pillulis foetidis, et eis similibus, ut fiant super Dorsum, ubi est dolor, tres lineae secundum latitudinem almeidati ipsius, postquam signas cum encaustro in omni linea quinque cauteria, aut plura secundum quantitatem quae uenit ex tolerantia infirmi uirtute eius: et fiat cauterizatio cum cauteriopuncti.	It is necessary therefore after evacuation of the patient with foetid pills, and things like these, to make three lines across the back where there is pain, as wide as the breadth of the palm of the hand, and to burn with the cautery five cauteries in every line, or more according to the tolerance of the patient or the extent of his pain: and to make the cautery with the point of the cautery
Et si uis, cauteriza tribus cauteriis, aut quatuor, cum cauterio clauili mediali, secundum hanc formam.	And if you will, burn three or four cauteries with the middle cautery point, according to this form.
¶ De modo cauterizandi in incaeptine Gibbositatis.	Of the way of cauterizing in the hernia of the abdomen
Caput XLV.	Chapter 45
Multotiens accidit haec aegritudo infantibus paruis.	This disease often happens to young children.
Et signum incaeptionis eius in pueris est: quod accidit super eum strictura in anhelitu apud eleuationem, et motum: et inuenis in ultima spondilium Dorsi et nodorum eius, quod iam incaepit eminere super reliquos spondiles.	And the sign of its inception in children is: when there is a stricture in the bellybutton with vomiting and elevation, and movement: and you will find it in the last vertebra of the back and the nodes of the back, which begin to bulge out over the rest of the vertebrae
Cum ergo uides illud, et uis facere illud, tunc cauteriza ipsum cum cauterio quod sit circulus secundum hanc formam.	When you see this, and if you wish to make it better, then burn it with the cautery which is in the shape of a circle according to this form.
Et capiat cauterium super omnem partem spondilis aequaliter: et si uis cauteriza in circumitu spondilis cum cauterio puncti duas lineas, aut tres: et sint puncta propinqua adinuicem.	Capture the cautery over every part of the spondilis equally: and if you wish to cauterize around the circumference of the spondilis with the cautery, make two or three lines, and let the points be close to one another.
Deinde cura locum, donec sanetur cum eo quod diximus.	Then take care of the place, until it is healed as we have said.
Et caue, ne administres cauterium in gibbositate, quae fit in spasmo nerui.	And be careful, do not apply the cautery to the swelling, which is caused by a spasm of the nerve.
¶ De modo cauterizandi in Podagra, et doloribus iuncturarum.	In the case of podagra and joint pains.
Caput XLVI.	Chapter 46.
Quando dolores iuncturarum sunt ab humiditatibus frigidis, quae effunduntur ad cuiuslibet membra corporis, tunc quando accidunt dolores in pedibus, de consuetudine medicorum est, ut nominent illud Podagram proprie.	When the pains of the joints are caused by cold humors, which flow to every part of the body, and when they affect the feet, it is customary among physicians to call this podagra
Cum ergo curatur Podagra frigidae caussae cum modis curationis, et non remouentur dolores, tune cauterium remouet eos.	When it is cured by cold causes of podagra, with the methods of treatment, and not by removing the pain, then the cautery will remove them
Et est, ut cauterizes eum post euacuationem in circumitu iuncturae pedum, cauteriis multis: et sit cauterium Oliuare.	And it is necessary to cauterize after evacuation around the joints of the feet with many cautery instruments: and let the cautery be of Olive oil
Cuius haec est forma.	This is the form of it
Et si indiges ut punctes super faciem pedis, tunc fac cum cauterio puncti.	And if you do not wish to make holes on the face of the foot, then make them with the cautery at the points
Quod si ascendunt dolores usque ad genua, aut reliquas iuncturas, et multotiens accidit illud, tunc cauteriza ipsum super omne genu tribus cauteriis, aut quatuor ab omni parte, cum hoc eodem cauterio Clauili.	When the pains rise up to the knee, or affect the other joints, and this happens often, then cauterize over the whole knee with three or four cautery instruments, using the same cautery of Claudius
Si autem necessaria sunt tibi plura hoc cauterio, tunc cauteriza ipsum.	If necessary, do it more often with this cautery
Et non submergas manum tuam cum cauterio, imo sit circiter spissitudinem cutis tantum.	Do not immerse your hand with the cautery, but rather keep the thickness of the skin around it
Si autem ascendunt dolores ad genua, et dorsum: tunc administra quod diximus ex cauterio in capitulo suo.	If, however, pain ascends to the knee and back: then administer what we said concerning cautery in its chapter.
Quod si dolores sunt in manibus tantum, tunc puncta in circumitu focilium, sicut reuoluuntur duae lineae.	If pain is only in the hands: then prick around the focus of the nails, as two lines are unrolled.</start_of_turn>
Si autem remanet ex doloribus in digitis, tunc puncta eos, super omnem nodum punctum, et super pectinem manus.	If pain remains in the toes: then prick throughout, over every node and over the palm of the hand.</start_of_turn>
Si autem ascendunt dolores post dies ad cubitos, aut ad humeros, tunc cauteriza utrosque ab omni parte.	If pain ascends after a day to the cubits or arms: then cauterize both from every part.</start_of_turn
