Praefatio.	Prefatory Note.
¶ De cura Ataxmir cum cannis.	Concerning the care of Ataxmir with dogs.
ET Est, ut conuertas palpebram, et scindas fissuram quae est deintus, secundum quod narraui.	And it is, that you cover the eyelid, and split the wound which is inside, according to what I have said.
Deinde arte fac duas cannas, aut duo ligna subtilia: quarum longitudo sit secundum longitudinem palpebrae, et latitudo earum sit minor latitudine spatumilis: et tu iam incidisti in extremitatibus utriusque ab utrisque partibus ubi tenes fila.	Then make two incisions, or two small sticks underneath: whose length is according to the length of the eyelid, and the width of them is less than the width of the pupil: and I put in the stitches at the extremities from both parts where you have the thread
Deinde aggrega utramque cum subtilitate super illud quod superfluit ex palpebra oculi, et stringe duas cannas ab utrisque partibus strictura forti, et dimitte eam diebus aliquot.	Then gather together both things with slightness over that which is superfluous from the eyeball, and string two threads from both parts tightly, and let go of them every few days
Cutis enim stricta morietur, et denigrabitur, et putrefiet, donec cadet per se.	The skin, when tightly closed, will die, darken, and putrefy until it falls away by itself.
Si ergo tardatur, tunc incide eam cum forficibus.	If delayed, then cut it open with scissors.</start_of_turn>
Deinde cura eam, donec sanetur.	Then care for it until it heals.</start_of_turn>
Cum ergo consolidatur, eleuatur palpebra: et non pungunt pili.	When it has consolidated, elevate the eyelid: and do not pierce the hair.</start_of_turn
Et haec est forma duarum cannarum, quas facies secundum hanc figuram, et quantitatem in longitudinem et latitudinem.	And this is the form of two incisions which you make according to this figure and their quantity in length and breadth.</start_of_turn
¶ De eleuatione pilorum pungentium in oculo cum acu.	Regarding the elevation of hairy punctures in the eye with a needle.</start_of_turn
Caput XII.	Chapter XII.</start_of_turn>
Operatio in illo est, ut accipias acum subtilem, et intromittas in eam filum ex serico subtile, lene.	The operation in this case is to take a fine needle and introduce it under the silk thread, which is soft.</start_of_turn
Deinde aggreges extremitates eius, et nodes utramque nodo subtili ualde: et sit longitudo filorum palmus unus.	Then join the ends together, and make knots at each end with a fine loop: and let the length of the thread be equal to one palm.</start_of_turn
Deinde compone in Alinxotati filum aliud subtile sub eo in breui, et noda extremitates eius si uis.	Then make another fine loop of thread under this one in a short space, and knot the ends if you wish.</start_of_turn
Deinde ponat infirmus caput suum in sinu tuo, et sit prope solem ut declaretur operatio: quoniam est operatio subtilis, uel minuta.	Then put the patient's head on your lap, and let it be near the heel so that the operation is visible: because it is a slight operation, or even a minute.</start_of_turn
Deinde intromitte acum cum alinxotati in radicem palpebrae, et fac eam penetrare in palpebram festinanter, donec extrahas eam desuper pilum naturalem.	Then insert the needle with the loop at the root of the eyelid, and make it penetrate the eyelid quickly, until you have pulled out the natural hair.</start_of_turn
Deinde trahe pilum usque supra alinxotati: et intromitte in alinxotati illum pilum: si est unus, aut duo, aut tres, non plures.	Then pull out the hair until above the loop: and insert into the loop the tip of the hair: if there is one, or two, or three, not more.</start_of_turn
Deinde trahe manum tuam cum eo, donec egrediatur pilus cum alinxotati in palpebra cum pilo naturali.	Then draw your hand with that which is towards the elbow, until the hair escapes with its root adhering to the eyelashes with the natural hair.
Si autem trahatur alinxotati, et non egrediatur pilus cum ea: trahes alinxotati ad inferiora, cum filo quod tu composuisti in ea, donec egrediatur alinxotati ex foramine superiori, et uideas eam uisione oculi: tunc enim trahes alinxotati, et filum: et extrahe utraque, et claude oculum: et dimitte ipsum clausum duobus diebus, aut tribus, donec adhaereat pilus loco suo, et nascatur super ipsum caro.	Then draw your hand with that which is towards the elbow, until the hair escapes with its root adhering to the eyelashes with the natural hair.
Quod si pilus est breuis, tunc aut associa ei pilum longum ex pilis naturalibus, et eleuatur cum eo: aut dimitte ipsum, donec elongetur post spacium, et tunc eleua ipsum.	If the hair is short, then either associate it with a long hair from the natural hair and elevate it with that: or dismiss it and let it grow out again, and then elevate it.
¶ De cura Alxatrati quae accidit in palpebra superiori.	Concerning the care of the eyelash which occurs in the upper eyelid.
Caput XIII.	Chapter XIII.
Quando accidit oculo haec Alxatrati, nominatur Leporina.	When this happens to the eye, it is called a Leporina.
Et haec Alxatrati est aut naturalis, aut accidentalis.	This eyelash is either natural or accidental
Accidentalis ergo fit ex consolidatione uulneris, aut sectionis, aut cauterii, et similium illis.	Accidental, therefore, is from the consolidation of a wound, or section, or cautery, and things like these
Et modus operationis in ea est, ut tu findas illam consolidationem, et ut separes labia eius, et ponas in eo quod est inter ea licinium ex lino, et liges eam, donec sanetur.	And the method of operation in this is that you find the consolidation and separate its lips, and put between them a bit of lint from linen, and bind it, until it is healed
Et non oportet, ut utaris in curatione eius rebus quae exiccant et constringunt: nam si tu facis illud, redit Alxatrati deterior quam fuit: imo utere in ea rebus quae mollificant, sicut foenumgraecum: et embroca cum aqua, in qua cocta sit althea, semen lini: et unguento dyaquilon, quod liquefactum sit cum aliquo ex oleis: et inuolue cum eo licinium, et cura cum eo.	And do not use in the treatment anything which excites and contracts: for if you do, the eyelash will deteriorate more than before: rather use those things which soften, such as barley flour: and embroil with water, in which be dissolved aloes, poppy seeds: and oil of almond, which is liquefied with some oil: and mix with this lint, and care with this.
Et thesaurus curationis tuae est, ut coneris omni ingenio, ut non consolidetur, secundum formam quae fuit in primis.	Your store of remedies is, that you may be prepared with every ingenuity, that it may not be shaken, following the form which was in the first place.
Et haec quidem operatio quam diximus, non est nisi quaedam rectificatio Alxatrati, ut non redeat forma loci secundum quod fuit omnino.	This operation, as we have said, is not without some rectification of the Alxatrati, that it may not return to its former shape altogether
¶ De cura Alxatrati quae fit in palpebra inferiori, et est rugatio uel contractio sursum ad dextrum et sinistrum.	Regarding the care of the Alxatrati which is in the lower eyelid, and is a swelling or contraction above to the right and left.
Caput XIIII.	Chapter 123.
Haec Alxatrati quae fit inferius, est quae uere nominatur Alxatrati.	This swelling of the Alxatrati which is in the lower eyelid, is what is truly called the Alxatrati.
Et est naturalis, et est accidentalis.	And it is natural, and is accidental.
Et accidentalis fit ex uulnere, aut fissura, aut cauterio, et illis similibus.	And it is accidental from a wound, or a tear, or a burn, and such like things.
Et uia operationis in ea est, ut accipias acum, in qua sit filum duplum, et tingas eam in carnem, et facias eam penetrare a lachrymali sinistro usque ad lachrymale dextrum, donec perueniat filum in duabus extremitatibus carnis.	And the way of operating in this is that you take a needle, in which there is a doubled thread, and you pass it under the meat, and make it penetrate from the left lacrimal gland up to the right lacrimal gland, until the thread reaches the two extremities of the meat.
Deinde extende carnem ad superiora cum acu, et incide eam cum spatumili lato.	Then stretch the meat upwards with the needle, and cut the vein with a wide blade
Si ergo redit figura palpebrae secundum quod oportet, est bonum.	If, therefore, the figure of the eyelid returns to its former state as it should be, that is good
Et si non, accipe radium, et pone ipsum in fissuram, et conuerte cum eo palpebram: et finde duas fissuras in latere interiore palpebrae, et sint extremitates duarum fissurarum ex duobus angulis incisionis, donec concurrant et fiat ex eis angulus: donec quando aggregantur fiat figura earum haec figura, et est litera lauda graeca.	And if not, grasp the edge, and put it into the wound, and close it with it: and find two incisions on the inner side of the eyelid, and let the extremities of the two incisions go from two angles of the incision, until they meet and form an angle: until when they meet they form the figure of the two letters together, which is the Greek letter lambda
Deinde aufer illam carnem per quantitatem, quod est latus eius acutum inferius, ab eo quod sequitur palpebram.	And then remove that piece of meat by as much as the width of its acute lower end, from that which follows the eyelid
Deinde aggrega partes separatas: sue eam cum filo lanae.	Then gather the separated parts: such as with a thread of wool.
Deinde cura eas cum eo quod diximus, de medicinis mollificantibus, et liciniis, donec sanentur.	Then care for them as we have said, with soothing medications, and ointments, until they are healed.</start_of_turn>
Et si Alxatrati accidat ex fissura, et sutura, aut cauterio: tunc oportet ut findas fissura plana sub pilis palpebrarum, etiam secundum quod praecessit.	And if the Alexatrati occurs from a wound, and the suture, or cautery: then it is necessary that you find the wound flat under the eyelashes, even as before.</start_of_turn
Deinde separa inter duo labia cum licinio, secundum quod diximus.	Then separate between two lips with ointment, as we have said.</start_of_turn
Et summa sermonis de cura Alxatrati, quando est desuper, aut inferius, est, ut currat in ea operatio, secundum quod praeparatur ex forma Alxatrati.	And the sum of the sermon about the care of the Alexatrati, when it is above, or below, is that you should care for it in that operation, according to the form of the Alexatrati.</start_of_turn>
Ipsa namque est multarum diuersitatum in forma: et artifex prudens praeparat ingenium cum quocunque modo est possibile ei, donec redire faciat figuram ad formam naturalem, aut prope eam, et ipsemet infirmus, secundum quod conuenit ei ex operatione et instrumentis in plurimis dispositionibus.	For itself, there are many variations in form: and the prudent artist prepares the ingenuity in any way that is possible for it, until it returns to its natural form, or almost so, and the patient himself, according to what suits him from the operation and the instruments in many arrangements.</start_of_turn>
¶ De adhaerentia palpebrae oculi cum coniunctiua, aut cornea.	About the adhesion of the eyelashes to the conjunctiva, or the cornea.</start_of_turn
Caput XV.	Chapter XV.</start_of_turn
Quandoque accidit haec consolidatio multis hominibus, ita ut consolidetur palpebra superior cum albedine oculi, et prohibeat ipsum ab operationibus suis naturalibus.	When this consolidation happens to many people, it is like the upper eyelid to stick to the white of the eye, and to prevent it from doing its natural operations.</start_of_turn
Oportet ergo quod intromittas extremitatem radii sub palpebra, et eleues eam sursum: aut extendas eam cum uncino: deinde incide adhaerentiam cum spatumili subtili, quod non sit cum acuitate incisionis spatumilium, imo sit obtusum parumper: ut non inquietetur infirmus apud operationem, et remoueatur spatumile, et laedat oculum cum acuitate sua: et sit incisio tua quasi tu excories illam adhaerentiam cum facilitate, donec quando redit palpebra secundum formam suam naturalem, et sanetur adhaerentia tota.	Therefore you must introduce the edge of the radius under the eyelid, and raise it upwards: or extend it with a needle: then cut the adhesion with a fine sponge, which is not with the sharpness of the knife, but rather blunt, so that it does not irritate the patient during the operation, and that it does not move the eye from its natural position: and that the incision be like that which you would make to scratch that adhesion with ease, until when the eyelid returns to its natural form, and the adhesion is completely healed.</start_of_turn
Funde tunc in oculum aquam salsam, cum aqua ablue ipsum: aut distilla in ipsum ex sief facto, ex ziniar dissoluto cum aqua.	Pour water into the eye, while the water washes it out: or distill it into it from a vessel made of lead, from vinegar dissolved in water.
Deinde separa inter palpebram et oculum cum licinio lini: et pone super oculum lanam infusam cum albugine oui: et post diem tertium utere sief, et cum solidatiuis, donec sanetur.	Then separate between the eyelid and the eye with a strip of linen: and place above the eye wool infused with alum or gypsum: and after three days use the vessel, and with the solidarities, until the eye is healed.
¶ De incisione ungulae et eminentiae carnis lachrymarum.	Regarding the incision of the nail and the prominence of the carnis lachrymarum.
Caput XVI.	Chapter XVI.
Scias, quod ungula est secundum duos modos.	You know that the nail exists in two ways.
Aut est neruosa: et est similis sifac duro, subtili.	It is nervous: and is similar to hard sand, thin.
Aut est non neruosa, similis humiditati congelatae albae: quae quando tangit cam ferrum, aut conaris capere eam cum uncino, abscinditur, et non figitur in ea uncinus.	Or it is not nervous, similar to frozen white moisture: which when it touches iron, or you try to grasp it with a hook, it breaks, and does not remain in the nail
Et utraeque species non incipiunt, nisi a lachrymali maiore, usquequo uadit paulatim, donec cooperit uisum, et prohibet lumen, et motum oculi.	Both of these species do not begin, except for the greater lacrimal gland, until it has gone slowly, until it covers the whole area, and hinders the light, and the movement of the eye
Et modus operandi in incisione eius est: ut ponat infirmus caput suum in sinu tuo.	And the way to operate on its incision is: as you place your thumb on your cheek.
Deinde aperi oculos eius, et eleua palpebram manu tua.	Then open its eyes, and lift its eyelid with your hand
Deinde collige ungulam cum uncino paucae duplationis, et extende eam ad superiora.	Then gather the nail with a hook of few doublings, and extend it upwards
Deinde accipe acum, et intromitte in eam pilum ex pilis equi, et bouis, aut uaccae: et sit filum forte, et duplica extremitatem acus parumper, et fige eam in medio ungulae: et penetra eam cum acu, et liga cum filo ungulam, et extende eam ad superiora: et excoria cum pilo latus ungulae quod sequitur pupillam, ac si tu serres eam cum pilo usque ad postreimnum eius.	Then take the needle, and introduce it through the hair of the horse, and blood, or urine: and make the thread strong, and double the end of the needle slightly, and fix it in the middle of the nail: and pierce the nail with the needle, and ligate the nail with the thread, and extend it upwards: and remove the hair surrounding the pupil, as if you were trimming the nail until its end
Deinde incide residuum in radice lachrymalis cum spatumili subtili, aut cum forficibus paruis: et dimitte carnem lachrymalis naturalem, ut non accidat ex incisione eius cursus lachrymarum assiduus.	Then strike the remainder to the root of the lacrimal bone with a fine spatula, or with small forceps: and discharge the natural flesh of the lacrimal bone, so that it does not obstruct the course of the tears.
Et quandoque extenditur ungula cum uncino solo: aut cum filo, sicut diximus.	And when the nail extends with a single claw: or with a thread, as we have said.
Deinde excoriatur cum spatumili leni, cuius haec est forma.	Then it is to be scraped away with a gentle spatula, of which this is the form
Et caue, ne tangat spatumile tunicam corneam, et accidat in ea ruptura, et perforetur pupilla.	Beware, lest you touch the tough membrane of the corneal tunicle, and cause a break therein, and perforate the pupil
Deinde post incisionem, proice in oculum aliquid salis contriti, aut ex sief facto ex ziniar, et dimitte ipsum usque ad diem alium.	Then after the incision, pour upon the eye some salt dissolved in water, or take some from a sieve made of lead, and discharge it until tomorrow.
Deinde cura ipsum cum eo quod oportet, usquequo sanetur.	Then care for it with what is necessary, until it is healed
Quod si ungula est non neruosa, et non potes intromittere in eam acum, neque figitur in ea uncinus, tunc multotiens curatur haec species ungulae cum medicinis, et sanatur sicut narraui in diuisione.	If the nail is not sensitive and does not have soft tissue to impede its insertion, nor does it protrude in it, then it is to be treated with many medicines, and will be healed as I have said in the discourse
Quod si uis incidere eam, tunc aperi oculum infirmi, et accipe spatumile subtile, lene, debilis acuitatis, secundum hanc formam.	If you wish to make an incision, then open the eye of the patient, and take a fine spatula, gentle and delicate in its sharpness, of this form
Et rade ungulam desuper rasione cum subtilitate.	And remove the nail from above with care and precision
Quod si uides quod ipsa rarificatur et confringitur, et imprimit in eam rasio, tunc distilla ex hora tua in oculum ex sief facto ex ziniar, aut ex sief rubeo, aut sale trito: et opila oculum usque ad diem alium.	If you see that it is becoming rarefied and crumbling, and that it has been crushed in the ratio, then pour out from your hour glass into the eye from a sieve made of lead, or from a sieve of red lead, or from salt: and bathe the eye until tomorrow
Deinde itera super ipsam operationem, donec remoueatur totum eius.	Then repeat the operation above until the whole of it is healed
Nisi contrarium sit tibi in oculo apostema calidum: tunc enim dimitte ipsam, et cura apostema, donec sanetur.	Unless the contrary be the case, if there be a callous swelling in the eye, let it be discharged and the eye be cared for until it is healed.
Deinde itera operationem super ipsam cum rasione, donec sanetur.	And then repeat the operation until the reason has ceased, until it is healed.</start_of_turn>
Eminentia autem carnis lachrymalis, si nocet in oculo nocumento magno, suspendatur cum uncino, et incide ex ea partem eius: et non ultimes incisionem, ut non accidat cursus lachrymarum.	But the prominence of the caruncle of the lacrimal gland, if it causes great pain in the eye, is to be severed with a single incision, and not to make the last incision, lest the tear duct be injured.</start_of_turn>
Deinde stilla in lachrymale sief rubeum, aut factum ex ziniari, donec sanetur.	And then let there be a sticking in the tear duct of a red stuff, or made from alum, until it is healed.</start_of_turn
¶ De incisione Alguardenic, et carne nata in oculo.	As for the incision of the Algardene, and the native tissue in the eye.</start_of_turn
Caput XVII.	Chapter XVII.</start_of_turn>
Nascitur quandoque in quibusdam oculis hominum caro rubea composita, uel superposita, donec cooperit pupillam, aut appropinquat, aut stringit super palpebras, et fortasse conuertit palpebras ad exteriora: et assimilatur rosae balaustinae.	It sometimes happens in the eyes of men that a red mass of flesh is formed, either superposed or underlying, which covers the pupil, approaches or tightens over the eyelids, and perhaps turns the eyelids outwards: and it consumes the pink of the pupil.</start_of_turn
Et operatio in ea etiam est, ut ponat infirmus caput suum in sinu tuo.	And the operation for this is also to put the diseased head in your hand.</start_of_turn
Deinde aperi oculos eius, et collige illam carnem totam cum uncinis conuenientibus ad illud: et tene illud cum forcipe uno, aut gesti.	Then open his eyes and collect all the flesh with hooks which are suitable for this: and hold it with one hand.
Deinde incide carnem in primis, donec finiatur totum eius cum incisorio.	And then cut the flesh at first, until all of it is finished with a knife.</start_of_turn
Et caue ab oculo, ut non laedas ipsum apud operationem: et sit incisio tua qua ipsam incidis, aut cum spatumili, quod narrauimus in incisione ungulae: aut cum forficibus paruis, cum quibus colligitur asebel, secundum quod ueniet forma eius post hoc capitulum.	And burn away from the eye, so that you do not harm it during the operation: and let your incision be like that of the nail, which we have mentioned in the incision of the nail: or with small forceps, with which the hair is collected, as it will be after this head.</start_of_turn
Cum ergo completur incisio tua, et remouetur tota alguardenici, tunc imple oculum ex sale contrito: aut distilla in eum puluerem rubeum, et similia illi ex medicinis corrosiuis: et pone super oculum deforis cottum cum albugine oui: ut securetur ab apostemate calido.	When the incision is complete and the entire garden of nerves is restored, then put the eye out from the salt that is crumbled: or distill it into the form of red powder, and similar things are done by physicians with corrosive medicines: and put over the eye a compress of alum with vinegar or urine: that it may be protected from the heat of the afterburn.
Quod si remanet ex alguardenici aliquid, et dominatur tibi sanguis calidus, et times apostema calidum: tunc dimitte oculum, et cura ipsum cum eo quod sedat apostema.	When anything remains of the nerves and the blood is warm, and the afterburn is imminent: then withdraw the eye and care for it with that which will soothe the afterburn.
Deinde itera super ipsum cum operatione, donec sanetur.	Then repeat over it with the operation until it is healed.
Et similiter fac cum carne addita quae accidit in oculo ex hac specie.	And do the like with meat added which has happened in the eye of this kind.
Verumtamen oportet, ut alienes curationem omnis oculi debilis ex uia naturali, aut ex uia accidentali, operando cum ferro: et non intromittas manum tuam in aliqua harum operationum, donec uideas, quod illud membrum est tolerans illam operationem.	It is true that one must be wary of the natural disposition or any accidental misfortune, working with iron: and do not insert your hand into any such operation until you are certain that the limb can tolerate it.
¶ De collectione Sebel ex oculo.	Of the collection of the eye-fat.
Caput XVIII.	Chapter XVIII.
Sebel sunt uenae rubeae quae texuntur super oculum, et prohibent uisui operationem suam: et debilitant oculum cum longitudine dierum.	The fat surrounding the eye is of a red color and covers the eye: it hinders the operation of the water and weakens the eye with the length of the days.
Necesse est ergo tibi in primis, ut consideres, si oculus in quo est Sebel, est fortis, et non est in eo aegritudo aliqua, praeter Sebel: tunc collige Sebel eius.	It is necessary therefore that you should first consider whether the eye in which the fat is, is strong and has no other ailment besides the fat: then collect the fat from it
Et est, ut praecipias infirmo, ut ponat caput suum in sinu tuo.	And it is necessary to take great care that you do not put your head in danger.
Deinde suspende illas uenas cum uncino uno, aut duobus secundum prudentiam tuam: et sit uncinus subtilis duplationis, secundum hanc formam, aut sint duo uncini gradat in corpore uno, secundum hanc formam.	Then suspend those veins with one or two sutures according to your prudence: and let the suture be of fine thread, two together in one body, or two separate threads of equal size.
Deinde collige cum forficibus subtilibus illas uenas cum subtilitate, et absterge sanguinem hora post horam, donec uideas illas uenas remoueri ex oculo, et resoluuntur: et caue ne laedas oculum cum extremitatibus spatumilis.	Then collect with fine forceps those one or two which are under the skin, and remove the blood hour after hour, until the matter has receded: and take heed lest you damage the eye with the extremities of the forceps.
Et sit operatio tua in meridie coram sole, et sis firmus in operatione tua ualde: ut non incidas nisi illas uenas.	Let your operation be in the middle of the day before the sun, and be firm in your operation lest you cause harm to them
Et cum tu expleueris, tunc distilla in oculum sief uiride, aut rubeum: ut sua acuitate corrodat quod remansit ex sebel.	And when you have completed your work, then pour into the eye a cold or red sponge: that its sharpness may consume what remains of the clot.
Si autem non est tibi possibile colligere illud totum in illa hora, tunc emplastra oculum cum eo, quod sedat dolorem oculi: et dimitte ipsum diebus aliquot, donec sedetur dolor eius: et securetur ab apostemate calido: deinde itera super ipsum secundum modum eundem, donec sanetur.	If it is not possible for you to collect all of it in that hour, then close the eye with wax, which will quieten the pain of the eye: and leave it for a few days, until the pain has subsided: and keep it from the cold: and repeat the procedure above until it is healed.
Et haec est forma forficis.	This is the form of the forceps.
¶ De reductione Arissati ad nasum.	(The provided text does not include the next sentence, so I cannot translate it.)
Caput XIX.	Chapter XIX.
Nominant medici Arissati Fistulam, quam curas cum cauterio, aut cum medicina acuta comburente, secundum quod praecessit eius narratio.	Doctors call the swelling of the eye Arissa Fistula, which they cure with cautery or with acute medicine that burns, according to what is necessary in each case.
Et si non sanatur, tunc non est ingenium in ea: nisi ut findas super apostema apud natiuitatem eius, et extrahas totam humiditatem quae est in eo et pus, donec detegatur os.	And if it does not heal, then there is no wisdom in it: except that you find pus on the edge of its swelling, and extract all the moisture which is in it and pus, until the bone is exposed
Cum ergo detegitur os, et uides in eo corruptionem, aut nigredinem, tunc rade ipsum cum instrumento, cuius forma est haec.	When the bone is thus exposed, and you see corruption or blackness, then close it with an instrument of this shape
Et nominatur Asperi capitis.	And this is called the closing of the head
Fiat ex ferro indo, et sit caput eius rotundum sicut azir, quod sit punctatum punctatione limae, aut punctatione aliskilferi punctatione subtili: et pone ipsum super locum corruptum ossis.	Make it of iron wire, and let its head be round like a nut, which is pierced with the point of a needle, or with the point of a needle and a fine awl: and put it on the place of the corrupted bone
Deinde reuolue ipsum inter digitos tuos, et tu preme manum tuam parumper, donec scias quod illa corruptio iam rasa est: et fac illud aliquotiens.	Then withdraw it between your fingers, and touch your hand lightly, until you know that no damage has been done: and do it often.
Deinde restaura locum cum medicinis exiccatiuis stipticis.	Then restore the limb with the help of astringents and haemostatic agents.</start_of_turn>
Si ergo consolidatur locus, et nascitur in eo caro, et abscinditur cursus saniei: et remanet quadraginta diebus, et non renouatur, et non apostematur, et non accidit in eo accidens: tunc scias quia iam sanatus est.	If, however, consolidation has taken place in the part, and swelling has occurred therein, and the flow of blood has been interrupted: and it remains for forty days, and does not recover, and does not soften, and does not become red, then you know that it is healed.</start_of_turn>
Et si non, tunc non est in eo ingenium, nisi reducere fistulam ad foramen nasi, secundum hanc formam.	And if not, then it is not in that limb, except by reducing the swelling to the size of a bean, according to this form.</start_of_turn
Et est, ut detegas ab osse secundo cum ferro, aut cum medicina acuta: et cum detectum est os, tunc accipe terebrum secundum hanc formam, sit extremitas ferrea, triangulata: et lignum eius sit pyramis extenuata usque ad extremitatem, sicut uides.	And it is necessary to grasp the bone with a second hand, with a pointed instrument or with acute medicine: and when it is grasped, then take hold of the limb according to this form, whether the handle be of iron, triangular: and the wood of it be a protracted pyramid until the extremity, like water.</start_of_turn
Deinde pone illud super os ipsum: et sit illud prope lachrymale: et elonga manum tuam ab oculo parum.	Then place it over the bone itself: and let it be near the tear-duct: and pull your hand away from the eye a little.</start_of_turn
Deinde reuolue manum tuam cum terebro, donec penetret os, et sentiat illud infirmus: per hoc quod inuenit uentum exire ex eo, quando tenet manum suam super nasum suum.	Then withdraw your hand with the limb, until it penetrates the bone, and you feel it to be weak: by this you will know that something has escaped from there, when you keep your hand on your nose.</start_of_turn
Ergo tunc restaura locum cum medicinis stipticis exiccantibus, sicut docui te.	Therefore restore the limb with astringents and haemostatic agents, as I have taught you.</start_of_turn
Cum ergo nascitur caro, et induratur locus: tunc materia quae effundebatur ad exteriora, redit ad nasum: est ergo leuius illud super infirmum.	When swelling has occurred in the part, and the limb has become hardened: then the matter which had flowed outwards returns to the nose: thus it is more gentle over the wound.</start_of_turn
¶ De reductione eminentiae Oculi.	¶ On the reduction of the swelling of the Eye.</start_of_turn>
Caput XX.	Chapter XX.
Quando eminet Oculus cum totalitate sua, et non accidit in uisu nocumentum, neque diminutio: tunc oportet ut soluas infirmum: deinde phlebotomes eum: postea ponas uentosas in ceruice absque scarificatione, sed cum suctione.	When the eye emits with its entirety, and does not subside in any liquid remedy, neither diminished: then it is necessary to lance the diseased part: then perform phlebotomy: afterwards place poultices upon the wound without incision, but with suction.
Deinde pone super Oculum linimentum quod fit ex acacia, et aloe, et olibano, et sarcocolla.	Then put upon the eye an ointment which is made from acacia, and aloe, and oil, and beeswax.
Deinde stringe Oculum desuper super emplastrum cum puluillis multis.	Then bind the eye above upon a pad with many feathers.
Et modus puluillorum est: ut accipias pannos lenes, multos, et duplicetur omnis pannus ex eis super quatuor: fac ex eis multos: deinde pone eos unum super alium, secundum quantitatem qua indiget Oculus: deinde stringe super ipsos cum panno duro strictura forti.	And the manner of feathers is: that you take down feathers, many, and fold every feather from four sides: make from these many: then put one upon another, according to the quantity that the eye needs: then bind over them with a hard cloth of strong structure
Et itera uentosas cum suctione sine scarificatione.	And repeat the poultices with suction without incision.
Deinde aufer uentosas, et dimitte oculum strictum die et nocte.	Then remove the poultices, and keep the eye closed day and night.
Si autem ligamentum iterum mollificatur, tunc oportet ut stringatur multum: deinde aufer ligamentum post diem et noctem, sicut diximus.	If however the ligament is again softened, then it is necessary to bind it much: then remove the ligament after a day and a night, as we have said
Si ergo uides oculum iam redisse uuae tunicae, est bonum: et si non, tunc itera emplastrum, et puluillos, et stricturam, et uentosas, donec sanetur.	If therefore you see the eye again become swollen with swelling, it is good: and if not, then repeat the pad, and the feathers, and the binding, and the poultices, until it is healed.
¶ De incisionie Vuae tunicae.	¶ On the incision of the fifth part of the tunica.
Caput XXI.	Chapter XXI.
Quando accidit disruptio in tunica Vuea, deinde eminet et procedit extra palpebras sicut granum Vuae, et foedatur forma hominis propter illud, et uis incidere illud: tunc operatio in eo est, secundum quod narro: et est, ut intromittas acum in radice Vuae ab inferiori ad superiorem partem.	When there occurs a rupture in the tunica of the pupil, then it emits and proceeds outside the eyelids like a grain of the pupil, and becomes swollen in the shape of a man because of this, and the eye is incisored for this: then the operation in this is as we have narrated: and it is that you introduce the needle into the root of the pupil from the lower part to the upper part.
Deinde intromitte acum aliam in qua sit filum duplum a parte lachrymalis, et fac eam penetrare: et dimitte acum primam secundum dispositionem suam.	Then introduce another needle there where the double thread is at the tear duct, and make it penetrate: and withdraw the first needle according to its own arrangement.
Deinde incide locum fili dupli, et liga cum eo partem Vuae in circumitu acus: et stringe eam multum.	Then pierce the place of the double thread and ligate with it a part of the vein around the needle: and tighten it much
Deinde extrahe acum, et pone super oculum lanam infusam in albugine oui: et dimitte eum, donec cadat filum cum Vua.	Then withdraw the needle and place above the eye a wool plug in the abscess: and withdraw it, until the thread comes out with the vein.
Deinde cura oculum cum eo, quod confortat ipsum, donec sanetur uulnus.	Then care for the eye with it, which soothes it, until the wound is healed.
Et quandoque stringitur Vua ab omni parte cum circulo ex panno, donec addat oculus eminentiam magnam.	And when the vein is tied from every part with a circle of cloth, until the eye regains great prominence.
Deinde perforetur cum spatumili subtili, quod perueniat ad profundum oculi, et currat humiditas albuginea, et descendat oculus, et ingrediatur statim: deinde stringe eum, donec sanetur.	Then pierce with a fine sponge, which reaches the depth of the eye, and let out the moisture of the abscess, and let the eye descend, and mix: then tighten it, until it is healed
¶ De curatione Alcomnati.	(End of translation
Caput XXII.	(End of translation
Haec Aegritudo quae nominatur Alcomnati, non, est nisi sanies, quae aggregatur in oculo, similis aquae descendenti, et non est ipsa.	This ailment which is called Alcomnati, is not, in fact, except for health, which arises in the eye, similar to descending water, and is not itself.
Et modus operandi in ea est, ut facias sedere infirmum super sedem praeparatum, uel directum.	And the method of treatment for this is to make the patient sit on a prepared seat, or directly
Deinde accipe caput eius manibus tuis a partibus duabus, et moue ipsum, donec uideas saniem peruenire ad inferiora oculis tuis.	Then take hold of his head with your hands from two parts, and move it, until you see health rise up to the lower part of his eye
Deinde figatur, et non descendat, et absoluatur lumen: et uideat infirmus res sicut uidebat: et si non descendit inferius, scias quia est aqua.	Then keep it still, and do not let it descend, and open the light: and he will see the infirm as he saw before: and if it does not descend downwards, you know that it is water.
Si autem non praeparatur descensus saniei cum eo quod diximus, tunc fac sedere infirmum inter manus tuas.	If the descent of the bowels is not prepared as we have said, then sit the patient between your hands.
Deinde accipe spatumile subtile, et finde cum eo supra panniculum corneum parumper apud continuationem coniunctiuae cum tunica cornea in corona, donec egrediatur sanies.	Then grasp the sponge gently and find where it is above the fatty tissue around the junction of the joint with the cornea in the crown, until the bowels issue forth
Cum ergo egreditur, tunc distilla in oculum aquam calidam in qua miscuisti mel: aut aquam in qua iam bullisti foenumgraecum et mel: deinde curetur cum reliqua curatione, donec sanetur.	When they have issued, then pour into the eye lukewarm water in which you have mixed honey: or water in which you have pounded barley and honey; then care for it with the rest of the treatment until the patient is healed
