Praefatio.	Praefatio.
Et sit spacium quod est inter utraque quantitas grossitudinis digiti, et sint aperta inferius et superius: et sit quod contineant se adinuicem, secundum hanc formam.	And there should be a space that is between the two equal amounts of thickness of the finger, and they are open upper and lower: and there should be one that holds itself in the opposite direction, according to this form.
Deinde depone eam super pixidem anchae, infirmo iacente super latus sanum.	Then place it on ash-paste, the sick man lying on the healthy side.
Et comprime manum tuam super pixidem anchae multum.	And press your hand hard on the ash-paste.
Deinde funde inter duos circulos ex aqua calida, quae sit calefacta cum igne parumper, et tene eam quantitate horae temporalis: et toleret infirmus mordicationem eius, et ipsius adustionem, nam ipse inuenit mordicationem sicut ignis, donec quiescat mordicatio.	Then pour between the two circles of hot water, which is warmed with fire slightly, and hold it for a quantity of time: and let the sick man feel the tingling of it, and his own burning, for he finds the tingling like fire, until he sleeps from it.
Deinde eleua manum tuam cum instrumento, et absterge aquam calidam ab ancha tota cum aqua dulci: deinde dimitte illud tribus diebus.	Then wash your hand with an instrument, and rinse all the ash completely with sweet water: then let it stand for three days.
Et pone super illud butyrum, donec remoueatur nigredo adustionis: et dimitte illud diebus aliquot, et curret ex eo pus.	And put butter on it, until it removes the blackness of burning: and let it stand for a few days, and let the pus run out from it.
Est enim ultimum in iuuamento.	For it is the latest in healing.
Deinde cura illud cum unguentis, donec sanetur.	Then take care of that with ointment, until it is healed.
Quod si extendatur dolor usque ad coxam, aut crus: fac ei statuam in eo quod continet aquam, secundum quod fecisti in ancha aequaliter.	If the pain extends to the hip, or the foot: let him have a standing position in it that holds water, according to what you did in the ash equally.
Et iste est modus aquae calidae: et ego iam scripsi eam in tractatu rectificationis medicinarum.	And this is the method for hot and cold water: I have already written about it in my treatise on rectifying medicines.
Sume alcali, et calcis non extinctae amborum ana partem unam: tere utraque, et pone ea in ollam nouam, cuius inferior pars sit perforata foramine uno paruo, secundum quantitatem quod ingrediatur ipsum radius: et pone sub fundo ollae ollam aliam uitreatam: et proiice super alcali et calcem ex aqua dulci, quod submergat utraque per digitum: post quam tu comprimas ea manu tua compressione bona: et dimite ollam, donec descendat aqua acuta inferiori parte ollae uitreatae.	Take the two medicines, one part alkaline and one part non-extinct calcis; mix them together, and put them into a new jug with a small hole at the bottom of one part only, according to the quantity that is to be added: and put under the bottom of the jug another jug empty: and pour on the water from the sweet well which immerses both of them with the finger: then squeeze them together firmly with your hand; and let the jugs go until the sharp water comes out at the bottom of the jug.
Deinde aggrega illam aquam totam, et proiice eam super aliam calcem: et cola, donec renouetur.	Then collect the whole water, and pour it on the other calcis; and drink it up, until it returns again.
Ipsa enim erit tunc fortis acuitatis ualde, quae administratur in multis operationibus medicinae, et in cauterizatione reliquorum membrorum.	This will then be very strong in acidity, which is administered in many medicinal operations, and in the cauterization of the remaining members.
Quoniam efficit operationem ignis ipsius.	For it efficacious in operation of fire itself.
Et ex medicinis sunt, cum quibus cauterizantur ancha, etiam sicut tesisie, et mel anacardi, et calx cum sapone, ita quod utraque sint permixta. ¶	And from medicines are, with which they cauterize the broad, also as theriacakis, and honey of anacardium, and calcic soap, so that both are mixed together.
Et Galenus quidem narrando retulit, cuiusdam uiri ex antiquis curationem, qua curatus est dolor anchae et uenae sciaticae: et magnificauit esse eius ualde.	And Galenus himself reported, relating of a man of the ancient cure, who was cured of pain in the ankle and sciatic pain: and he praised it very much.
Et dixit, quia non indiguit alia curatione, et quia sanatus est ex uice una, donec retulit, quia ipse fortasse intrauit balneum delatus, et exiuit ex eo iam sanus.	And he said, "He did not like any other cure, and was cured from one foot only, until he reported, that perhaps he entered into a hot bath, and came out already well.
Et est, ut accipiatur ex seitaragi uiridi: et si non inuenitur uiride, sumatur siccum, recens: et teratur multum cum aliquanto adipe, et ponatur super ancham, ubi est dolor, aut crus, aut in coxa: et ligetur, et dimittatur quantitate trium horarum, aut per quantitatem quod sentiat infirmus sedationem adustionis.	And this is to be taken from the seitaragi man: and if a viride is not found, it is taken just as it is, fresh: and it is massaged much with some fat, and placed on the ankle, where the pain is, or on the hip: and it is bound up, and left for three hours, or for such a quantity that the patient feels the sensation of painful tedium.
Deinde intromitte eum in balneum.	Then introduce him into the bath.
Cum ergo roridum fit corpus eius, intromitte ipsum in solium.	When therefore the body becomes hot, introduce it into the heat.
Nam dolor recedit, et sanatur.	For the pain has subsided, and he is recovering.
Et scias, quia non oportet ut utatur aliquis cauterio cum istis medicinis, nisi post euacuationem corporis.	And you should know that it is not appropriate to use any medicine with these medicines unless after the body has been evacuated.
Et Dioscorides qui dem dixit, quod stercus caprarum, quando cum eo cauterizatur uena sciatica, confert ei: et fit cauterium secundum hunc modum.	And Dioscorides, who said that when the dung of goats is applied with fire to a sciatic pain, it will be cured; and it becomes a fire in this way.
Sumatur lana, et imbibatur oleo antiquo, et ponatur super locum profundum, qui est inter pollicem pedis, et inter focile, et est propinquior focili.	The wool is dried, and imbibes the old oil, and is placed on a deep place, which is between the thumb of the foot, and between the fire, and is closer to the fire.
Deinde accipe stercus caprarum siccum, et inflamma ipsum in igne, donec fiat carbo.	Then take the goat dung as it is, and set it on fire in the fire, until it becomes a coal.
Deinde pone ipsum super lanam, et dimitte ipsum, donec extinguatur.	Then place the coal on the wool, and leave it until it goes out.
Deinde itera illud.	Then repeat this.
Non cesses ergo facere illud, usquequo perueniat sensus super mediatione usque ad ancham, et quiescat dolor.	So do not stop doing that, until the sense has become accustomed to the mediation up to the ankle, and the pain has rested.
Et iste modus cauterii nominatur cauterium Vaccinum.	And this method of cautery is called Vaccinium cautery.
¶ De cauterizatione doloris Dorsi.	§ On the cauterization of the pain of the back.
Caput XLIIII.	Head 44.
Quandoque accidit dolor in Dorso ex caussis multis, aut a casu, aut a percussione, aut euacuatione superflua, et illis similibus, ex infusione materiei frigidae, et humidae: et cauterium quidem non cadit, nisi in hac specie sola, quae fit ex infusione materiei frigidae.	When pain occurs in the back from various causes, or from injury, or from excessive discharge, and such like, by means of cold and wet material: and cauterization does not take place unless in this one form alone, which is made by applying cold material.
Oportet ergo post euacuationem infirmi cum pillulis foetidis, et eis similibus, ut fiant super Dorsum, ubi est dolor, tres lineae secundum latitudinem almeidati ipsius, postquam signas cum encaustro in omni linea quinque cauteria, aut plura secundum quantitatem quae uenit ex tolerantia infirmi uirtute eius: et fiat cauterizatio cum cauteriopuncti.	It is necessary therefore after the discharge of the wounds with pungent pills, and similar ones, that they may be placed on the back where there is pain, three lines according to the length of the spine itself, after having marked them with fire in every line; five cauterizations, or more according to the quantity which comes from the tolerance of the wound's virtue: and let cauterization be made with cautery punctures.
Et si uis, cauteriza tribus cauteriis, aut quatuor, cum cauterio clauili mediali, secundum hanc formam.	And if you wish, cauterize three cauterizations, or four, with the middle clavus, according to this form.
¶ De modo cauterizandi in incaeptine Gibbositatis.	To cauterize in the cauldron of gibbosity.
Caput XLV.	Ch. De modo cauterizandi in incaept
Multotiens accidit haec aegritudo infantibus paruis.	This illness often occurs in small children.
Et signum incaeptionis eius in pueris est: quod accidit super eum strictura in anhelitu apud eleuationem, et motum: et inuenis in ultima spondilium Dorsi et nodorum eius, quod iam incaepit eminere super reliquos spondiles.	And the sign of this illness in children is: that which happens to him a rigor in hunger when they are lifted up, and movement: and an swelling in the last spine of the back and knots of him, which already began to emerge over the other spines.
Cum ergo uides illud, et uis facere illud, tunc cauteriza ipsum cum cauterio quod sit circulus secundum hanc formam.	When you see this, and want to make it, then cauterize him with the cauldron that sits in this form a circle.
Et capiat cauterium super omnem partem spondilis aequaliter: et si uis cauteriza in circumitu spondilis cum cauterio puncti duas lineas, aut tres: et sint puncta propinqua adinuicem.	And he takes the cautery over all parts of the spine equally: and if you want to cauterize around the spine with the cauldron of a dot two lines, or three: and let be dots nearby side by side.
Deinde cura locum, donec sanetur cum eo quod diximus.	Then care for the place, until it is healed with him that I said.
Et caue, ne administres cauterium in gibbositate, quae fit in spasmo nerui.	And be careful, do not administer the cauldron to gibbosity, which is done in a spasm of a nerve.
¶ De modo cauterizandi in Podagra, et doloribus iuncturarum.	Ch. On the mode cauterizing in podagra, and pains of joints.
Caput XLVI.	Chapter XLVVI.
Quando dolores iuncturarum sunt ab humiditatibus frigidis, quae effunduntur ad cuiuslibet membra corporis, tunc quando accidunt dolores in pedibus, de consuetudine medicorum est, ut nominent illud Podagram proprie.	When the pains of joints are from cold humidities that are poured out to any member of the body, then when these pains occur in the feet, it is the custom of the doctors to name it podagra by right.
Cum ergo curatur Podagra frigidae caussae cum modis curationis, et non remouentur dolores, tune cauterium remouet eos.	When this podagra of cold cause is cured with modes of curing, and the pains do not move away, then remove the cautery to move them.
Et est, ut cauterizes eum post euacuationem in circumitu iuncturae pedum, cauteriis multis: et sit cauterium Oliuare.	And is, as cauterizes him after his evacuation in the circumférence of the joint of the feet, caulteries many: and let be the cauldron Olive oil.
Cuius haec est forma.	Whose this form.
Et si indiges ut punctes super faciem pedis, tunc fac cum cauterio puncti.	And if you can stand as dots on the face of the foot, then do it with a dot of cauldron.
Quod si ascendunt dolores usque ad genua, aut reliquas iuncturas, et multotiens accidit illud, tunc cauteriza ipsum super omne genu tribus cauteriis, aut quatuor ab omni parte, cum hoc eodem cauterio Clauili.	That if they ascend pains up to the knees, or other joints, and often this happens: then cauterize him over all knee with four cauldron, or six from every part, with this same cauldron of Olive oil.
Si autem necessaria sunt tibi plura hoc cauterio, tunc cauteriza ipsum.	If, however, you need more of this remedy, then cauterize him then.
Et non submergas manum tuam cum cauterio, imo sit circiter spissitudinem cutis tantum.	And do not submerge your hand with the caustic, but rather sit around it with only the spiciness of the skin.
Si autem ascendunt dolores ad genua, et dorsum: tunc administra quod diximus ex cauterio in capitulo suo.	If, however, the pains rise up to the knees, and the back: then administer what we said above from the caustic in our chapter.
Quod si dolores sunt in manibus tantum, tunc puncta in circumitu focilium, sicut reuoluuntur duae lineae.	That if the pains are only in the hands, then poke around with fire, as they return like two lines.
Si autem remanet ex doloribus in digitis, tunc puncta eos, super omnem nodum punctum, et super pectinem manus.	If, however, there remains any pain in the fingers, then poke them, over every lump a point, and over the palm of the hand.
Si autem ascendunt dolores post dies ad cubitos, aut ad humeros, tunc cauteriza utrosque ab omni parte.	If, however, the pains rise up after days to the elbows, or to the shoulders, then cauterize both of them from all parts.
Et non euacues infirmum ex regimine bono, ex recaeptione medicinarum.	And do not let the sick person recover from a good regimen, from the reception of medicines.
Nam si bonum fiat regimen, et euacuetur phlegma, sanabitur auxilio Dei cum isto cauterio.	For if the regimen is made good, and the phlegm is excreted, it will be healed by the help of God with this caustic.
¶ De modo cauterizandi in Rupturis.	On the Manner of Causing a Burn to Heale Broken Bones.
Caput XLVII.	Head XLVII.
Quando accidit Ruptura in inguinibus, et descendit intestinum, aut zirbum ad testiculum, et est illud incipiens propinquum: tunc oportet ut praecipias infirmo dimittere comestionem in die suo.	When a Rupture has occurred in the groin, and has descended into the bowels, or to the testicle, and it is beginning to be near to the scrotum: then you shall order the sick person to cease from food in his own day.
Et utatur ex lenientibus, quo descendat stercus a uentre suo.	And let him use laxatives, so that the dung may descend from his own gut.
Deinde sedeat inter manus tuas super dorsum suum: et praecipe ei, ut teneat anhelitum suum, donec egrediatur, uel appareat zirbum, aut intestinum.	Then let him sit between your hands on his back: and order him that he hold his breath until he has gone forth, or show his buttocks, or his intestine.
Deinde reduc ipsum digitis tuis, et signa cum encaustro sub Ruptura super os pectinis, cum signo cuius extremitas sit similis medietati circuli ad superiora corporis.	Then let him reduce the man with your fingers, and mark with the caustic under a Rupture on the top of the pelvis, with the sign whose end is similar to half a circle towards the upper part of the body.
Deinde igni cauterium, cuius haec est forma, donec ueniat album, et proiiciat seintillas.	Then let the caustic fire be held, with this form, until it has become white, and throw off sparks.
Deinde reduc intestinum, aut zirbum ad concauitatem suam.	Then let the intestine be reduced, or the buttocks to its cavity.
Deinde ponat minister manum suam super locum, ut non exeat intestinum: et tu iam aperuisti inter crura infirmi, et posuisti sub eo puluinar, et seruiens alius super crura eius, et alius super pectus eius qui tenet manus.	Then let the attendant place his hand upon the place so that he does not exit the intestines: and you have already opened between the ribs of the sick person, and placed under it the penis, and one servant stands on his ribs, and another on his chest who holds the hands.
Deinde depone cauterium super ipsum signum, manu tua cum cauterio stante recta.	Then let him deposit the caustic on the spot, with your hand holding the caustic upright.
Et tene ipsum, donec cum eo consequaris os: aut itera cum eo uice alia, si non consecutus fueris cum eo in prima usque ad os.	And hold him, until you are satisfied with him: or else go again with him by another route, if you are not satisfied with him in the first place up to the mouth.
Et prudenter obserua ab exitu intestini in hora cauterizationis tuae, ne comburas ipsum, et eueniat per illud super infirmum aut mors, aut malicia magna.	And carefully observe that there is no exit from the intestines at the time of your cauterization, so that he does not burn himself, and let him go through it to the sick or to death, or great mischief.
Et scias, quod quando tu non consequeris cum cauterio os, non confert operatio tua.	And know that when you do not achieve the mouth with the caustic, your operation is fruitless.
Et oportet ut sit cauterium infantium subtile, secundum mensuram eorum.	And it should be that the caustic of infants is subtle, according to their measure.
Deinde cura cum reliquis unguentis, donec sanetur.	Then care for him with the rest of the ointment, until he recovers.
Et sit infirmus iacens super dorsum suum quadraginta diebus, donec sigilletur uulnus.	And let the sick person lie on his back for forty days, until the wound is closed.
Et oportet, ut ponas nutrimentum eius longitudine temporis curationis eius, quod leniat uentrem eius: ut non exeat intestinum apud conamen et egestionem.	And let him take food by length of time of his cure, which softens his gut: so that he does not exit the intestines through desire and defecation.
Deinde quando uult surgere post quadraginta dies, tunc administra ligamentum decenter factum, et teneat ipsum quadraginta diebus aliis.	Then when he should rise after forty days, then give him a looser ligature, and let him hold for forty more days.
Et minoretur a labore, et repletione cibi et potus, et uocibus uehementibus.	And let him abstain from work, and be filled with food and drink, and loud speeches.
Nam quando utitur hoc regimine, ita sanatur sanatione integra.	For when he uses this regimen, he is healed by a whole cure.
Et ego dicam curationem Rupturarum cum incisione in capitulo suo.	And I will tell the cure of ruptures with an incision in its chapter.
Quando autem Rupturae accidunt in reliquo uentre, et sunt incipientes, et uis ut non addantur, tunc cauteriza Rupturam eius cauterio rotundo secundum quantitatem eius: et sit illud quod aduritur ex tunc sicut tertia eius.	When, however, ruptures occur in the remaining gut, and are incipient, and do not enter, then cauterize his rupture with your round caustic according to its quantity: and let it be what is burned from then on as the third one.
Deinde cura ipsum, cum eo quod diximus: et non addetur.	Then take care of yourself, as we have said: and do not be led astray.
Et iam dixerunt quidam primi: ut cauterizetur Ruptura cum cauterio triangulato, secundum hanc formam.	And some have said first: that it should be cauterized with a triangular cautery, according to this form.
Postquam signatur cum encaustro, et ponitur linea quae est per latitudinem in latere superiori Rupturae, et linea altera ad inferius.	Afterwards sign it with encaustic, and place the line which is across from the lateral upper part of the rupture, and another line towards the bottom.
Et depone manum tuam in medio cum cauterio clauili.	And put your hand in the middle with the cautery closed.
Sed cauterium primum est facilius et melius.	But it is easier and better to use the cautery first.
¶ De modo cauterizandi in doloribus propter casum, aut percussionem.	The mode of cauterizing in pains by accident, or by percussion.
Caput XLVIII.	Chapter LXVIII.
Quando accidit in quibusdam membris a casu, aut percussione dolor: et perseuerat ille dolor tempore longo, et non confert in eo curatio cum medicinis: tunc oportet ut cauterizetur cum cauterio Puncti.	When it happens in some member by accident, or by percussion: and that pain persists a long time, and does not respond to treatment with medicines: then it should be cauterized with the Pointed cautery.
Et sit cauterium omnis membri cauterium secundum magnitudinem eius, et ipsius paruitatem, et debilitatem eius, et ipsius uirtutem, et locationem torsionis, et doloris ex eo.	And let the cautery be to all members according to its size, and its health, and its weakness, and its virtue, and its location of twist, and the pain from it.
Si ergo sanatur ex cauterio primo, est bene.	But if it is healed by the first cauterization, it is good.
Si non: tunc itera super ipsum cauterium.	If not: then repeat on top of it the cauterization.
Quoniam de consuetudine horum dolorum est, ut permutentur ex membro ad illud quod appropinquat ei.	For these pains are used to pass from one member to another as it approaches that which is affected.
Quare oportet ut consequaris eos cum cauterio, donec sanetur infirmus.	Why should the consequences be caused by the cautery, until the sick is healed.
¶ De modo cauterizandi in Lepra.	The mode of cauterizing in Leprosy.
Caput XLIX.	Chapter LIX.
Leprosi autem quandoque iuuantur cauterio iuuamento maximo.	But the lepers should be cauterized by a sharp instrument.
Et praecipue species Leprae, quae fit propter putrefactionem phlegmatis et melancholiae: cum ergo uis cauterizare ipsam considera.	And especially the characteristic of Leprosy, which is caused by putrefaction of phlegm and melancholy: so that you consider carefully how to cauterize it.
Si ergo Lepra est ineipiciens, et curasti eam cum eo, quod diximus in diuisione, et non descendit, neque stat: et times super infirmum, quod comprehendat corruptio super totam complexionem eius: tunc cauteriza eum super caput quinque cauteriis: uno in medio capitis noto, et secundo inferius eo uersus frontem apud finem capillorum, et duobus super duo cornua, et uno posterius super nucea ceruicis.	If this Leprosy is not open, and you have treated it with the one we have mentioned in the division, and it has not come down, nor stayed: and you wait for the disease to encompass the whole complexion: then cauterize him on top of the head with five cauteries: one in the middle of the hairline, and a second lower down towards the forehead at the end of the hair, and two above the two ears, and one behind the nape of the neck.
Et ultima manum tuam cum cauterio parumper, donec imprimat in os impressionem paruam, et dislocentur ex eo cortices: ut alleuietur expiratio uaporum grossorum ex eo, et cauteriza cauterio etiam super ipsum splenem, secundum quod praecessit.	And last, you shall hold your hand with the cautery just a little while, until it prints upon the mouth an impression of pallor, and the membranes are displaced from it; that the expiration of the vapors of great heat may be relieved, and the cautery also over the splenetic organ, according to what went before.
Sin autem Lepra iam sparsa est super infirmum, et apparet manifeste: tunc oportet ut cauterizes cum istis cauteriis, quae diximus in capite, et cauterio super extremitatem nasi, et duobus cauteriis super duas maxillas, et duobus cauteriis super spondiles colli, et sex super spondiles dorsi, et uno magno super alhahosos apud gran caudae et uno supra ipsum, in ipso almeidati: et duobus super anchas: scilicet super omnem ancham uno, et duobus super genua: uno super omne genu, et duobus super humeros, et duobus super cubitos, et duobus super teneritudines pectoris sui: et cauteriza ipsum super omnem iuncturam, ex iuncturis digitorum manuum suarum, et pedum suorum: et cauteriza super omnem calcaneum pedum suorum, et focilia manuum suarum.	But if the leper has already spread on the sick person and appears clearly: then you shall cauterize with these cauteries which we said in the beginning, and with a cautery on the tip of the nose, and two cauteries on the two cheeks, and two cauteries on the two sides of the neck, and six on the sides of the back, and one great one on the hahosas near the tail end and one above it: and two on the shoulders and two on the elbows, and two on the breasts, and one on the entire chest, from the connection of the fingers of his hands and feet: and cauterize him on all joints, from the connection of the fingers of his hands and the feet of his feet: and cauterize him on all heels of his feet, and on the knuckles of his hands.
Et caue tibi a neruis qui sunt super postremum calcanei, ut non comburas eos.	And so that you do not burn them, take care from the nerves that are at the very end of the heel.
Et quandoque cauterizatur cauterio super os pectinis, et alio super os stomachi, et alio super epar.	And when one is cauterized with a cautery on the bone of the chest, and another on the bone of the stomach, and another on the liver.
Et scias, quod quanto plus addis cauterium, est magis iuuamentum, et magis conferens.	And you should know that the more you add cautery, the greater is the benefit, and the more it confers.
Et scias, quod infirmus non inuenit in cauterio dolorem, sicut inueniunt ipsum sani: propterea, quod corpus eius iam stupefactum est.	And you should know that a sick person does not feel pain in the cautery, unlike a healthy person: therefore because his body is already stunned.
Et oportet ut sint cauteria ex magnitudine, et paruitate secundum membra et iuncturas: secundum quod praecessit ex speciebus ferramentorum.	And it is fitting that the cauteries should be of a size and proportion appropriate to the limbs and joints: according to what went before from the appearance of the tools of the trade.
Deinde cura cauterium ex farina herbi cum melle, et reliqua curatione, donec sanetur.	Then care for the cauteries with flour of herb and honey, and with the rest of the cure, until it is healed.
¶ De modo cauterizandi in Stupore.	To cauterize in a stupor.
Caput L.	Head.
Quando stupet aliquod membrum, et curatur cum medicinis, et oleis, et emplastris, et non sanatur, tunc cauteriza ipsum membrum stupefactum cauteriis, secundum quod meretur magnitudo membri, aut paruitas eius.	When a limb is stuporous and does not heal with medicines, oils, plasters, and so on, then cauterize the limb that is stuporous with cautery, according as the magnitude of the limb is increased, or its diminutio
Et sit cauterium tuum intrans in spissitudinem cutis parumper.	And place your cautery instrument within the thickness of the skin a little.
Deinde cura ipsum cum unguento, donec sanetur.	Then care for the limb with ointment until it is healed.
Et quandoque cauterizatur ad quiddam stuporis, qui accidit manui, et pedi, in spondilibus dorsi apud exitum neruorum, qui mouent illud membrum: et remouetur stupor.	And sometimes when cauterization occurs for some stupefaction which befalls the hand, or foot, in the spine of the back near the exit of nerves which stir that limb: and the stupefaction is removed.
Verum non praesumat super illud, nisi qui est sapiens in anatomia membrorum, et egressione neruorum mouentium corpus.	But he does not do this [cauterization] unless he is wise in the anatomy of limbs, and knows the exit of nerves which stir the body.
¶ De modo cauterizandi in Albaras.	The way to cauterize in Albucasis.
Caput LI.	Head.
Quando antiquatur Albaras, et non confert in eo aliquid ex ingeniis medicinae: tunc cauteriza super ipsam cauterio profundo parumper, secundum quantitatem spissitudinis cutis, donec remoueatur albedo, et mutetur color eius.	When Albucasis is burned and does not bear any of the artifice of medicine: then cauterize on top of it a little with deep cautery, according as the thickness of the skin, until the hue is removed, and its color is changed.
Deinde cura ipsum cum farina herbi, et lentis cum oleo rosa, et foliis arnoglossae, et sanguine columbae, et sanguine hyrundinis: de unoquoque sit pars una: misceantur haec omnia, et liniantur super pannum, et adhaereant loco, donec sanetur.	Then care for the limb with herb flour, with rose oil and leaves of arglochea, and pigeon blood, and duck blood: let one part be mixed, let them spread on a cloth, and let them adhere to the place until it is healed.
¶ De modo cauterizandi in Cancro.	The way to cauterize in cancer.Caput LII.
Caput LII.	Head.De modo etiam, si est male olidus, aut
Quando Cancer est incipiens, et uis ipsum sistere: tunc cauteriza ipsum cum cauterio circuli in circuitu eius, sicuti reuoluitur.	When cancer is beginning, and the eye is affected: then cauterize the eye with a circular cautery according as it turns.
Sapientes autem dixerunt, ut cauterizetur cauterio ultimo in medio.	But the wise have said, that the last cautery in the middle should be used.Et quandoque cauterizatur, non facit utrique oculo, sed mediocoelo, et postea
Mihi autem non uidetur illud: quoniam timeo quod ulceretur: et ego iam uidi illud aliquotiens.	But to me that does not seem right: for I fear that it will ulcerate: and I have seen it sometimes.
Et rectius est, ut cauterizetur in circumitu eius cum circulo, sicut diximus: aut cauteriis multis.	And it is better that he be cauterized around his wound with a circle, as we have said: or with many caustics.
¶ De modo cauterizandi in Adubelati.	Regarding the method of cauterizing in ablation.
Caput LIII.	Chapter III. On Ablation.
Quando aliquis habet Adubelati, et tardatur in maturatione, aut propter superfluitatem facientem eam, aut propter aetatem infirmi, quando est decrepitus pauci sanguinis, aut propter tempus, et uis festinare in maturatione Adubelati, tunc cauteriza in circumitu eius cum cauteriis paruis multis punctando.	When someone has ablation and it is delayed in maturing, or because of superfluous reasons that cause it, or because of old age, when the blood is little, or because of time, and the pulse rushes to mature ablation, then cauterize around his wound with a few caustics by pricking.
Deinde dimitte eam.	Then let go of him.
Nam ipsa festinabit cum maturatione.	For it will hurry with the maturation.
Si autem uis perforationem eius cum cauterio, tunc igni cauterium, cuius haec est forma.	But if you pierce his wound with a caustic, then take this kind of caustic, which is in the form of:
Et depone ipsum in medio Adubelati, donec penetret cutem: et sit cauterium ab eo quod sequitur infirmus, ut alleuietur cursus puris.	And place him in the middle of the ablation until it enters the skin; and let the caustic remain with him because it will weaken, so that the flow of blood may be eased.
Deinde cura ipsum donec sanetur.	Then take care of him until he is healed.
¶ De modo cauterizandi in malo corrodente.	Regarding the method of cauterizing with a caustic that corrupts.
Caput LIIII.	Chapter III. On Corrupted Wounds.
Corrodens non est nisi corruptio in membro ambulans, et corrodit ipsum: sicut ignis comedit ligna sicca.	Corrosion is not but corruption in a walking member, and it corrupts the member itself; just as fire consumes dry wood.
Si ergo uides corrodentem in loco qui toleret cauterium cum igne, tunc igni cauteria multa, clauilia parua et magna, secundum quod conueniet illi loco in quo est corrodens.	But if you see corrosion in a place that tolerates caustic with fire, then take many caustics, small and large, as is suitable for the place where corrosion is.
Deinde cauteriza ipsum ab omni parte donec eradices corruptionem totam, et non remaneat ex ea aliquid penitus.	Then cauterize him from all parts until you eradicate the entire corruption, and do not leave any trace of it.
Deinde dimitte ipsum tribus diebus, et pone super loca cauterizata sulphur tritum cum oleo, donec eradicentur escharae omnes, et omnis corruptio.	Then let him go for three days, and place sulfur, reduced with oil, on the cauterized places until all the eschar and corruption are eradicated.
Deinde cura ipsum cum unguentis generantibus carnem.	Then take care of him with ointments that generate flesh.
Si ergo uides, quod post tres dies caro nascitur natiuitate sana, in qua non est corruptio, est bonum.	But if you see that after three days healthy flesh is born by a kind of rebirth, and there is no corruption, it is good.
Et si non: tunc itera cauterium super illud quod remansit ex locis corruptis.	And if not: then apply cautery to that which remains in the corrupted locations.
Et corrodens medicatur quandoque cum medicina acuta.	And sometimes when it is infected it is cured with acute medicine.
Ipsa namque surgit loco cauterii.	For it itself rises up at the place of cauterization.
Verumtamen cauterium cum igne est uelocioris iuuamenti: et ego quidem iam dixi cauterizationem eius cum medicina acuta in diuisione: accipe ergo eam illic quando ea indiges.	However, cauterization with fire is faster in effect: and I have indeed already said that cauterization with acute medicine is applied in division: so take it there when it tolerates it.
¶ De modo cauterizandi in Clauis, et Verucis.	On the method of cauterizing in slits and warts.
Caput LV.	Chapter 50.
Multotiens accidit in inferioribus partibus pedum haec aegritudo: et est res grossa, filtrata, quae laedit pedem.	This disease often occurs in the lower parts of the feet: and it is a gross, filter-like growth that hurts the foot.
Et cauterium quidem in eis est secundum duos modos: cauterium cum igne, et cauterium cum aqua calida.	And there are two ways of applying cauterization to them: cauterization with fire and cauterization with hot water.
Quantum autem cum igne est, ut ignias cauterium concauum simile pennae uulturis: quod fiat ex ferro, secundum quantitatem quod contineat clauum ab omni parte: et sit subtilium marginum.	As for the cauterization with fire, like the feathers of a penning torch it is prepared from iron, according to the quantity that contains the clap when all parts are covered: and its edge should be sharp.
Deinde depone ipsum ignitum super clauum.	Then place the burned thing on the clap.
Deinde reuolue manum cum cauterio in circumitu claui, donec perueniat cauterium ad profunditatem claui: et dimitte ipsum tribus diebus, donec incipiat emittere pus.	Then turn the hand with the cautery around the clap, until the cauterization reaches the depth of the clap: and leave it for three days, until pus begins to be discharged.
Deinde emplastra ipsum cum maluis syluestribus, contritis cum sale: et dimitte emplastrum super ipsum in nocte.	Then bind the thing with wet silkworm threads, crushed with salt: and leave the plaster on the thing at night.
Ipse enim eradicabitur ex radicibus suis.	For it itself will be eradicated from its roots.
Deinde cura locum unguento generatiuo carnis, donec sanetur.	Then care for the place with a soft salve of meat, until it heals.
Quod si sunt non conuersi, et multotiens accidunt in superficie corporis, praecipue in manibus et pedibus: tunc administres in eis cauterium cum aqua calida: et est, ut accipias cannulam ex aere, aut ferro, aut ex penna uulturis: et depone eam super clauum, aut althelul.	If they are not turned inside out and often occur on the surface of the body, especially on the hands and feet: then apply to them cauterization with hot water: and it is like receiving a tube made of brass, iron, or a feather of a penning torch: and place it on the clap, or on an atharel.
Deinde proiice in cannulam ex aqua calida quantitatem paucam: retine manum tuam, et tu reuolue eam cum compressione manus tuae parumper, ut imprimatur margo cannulae in radice claui, et inueniat aqua calida uiam ad profundum, ad radicem claui: et expectet infirmus parumper super mordicationem aquae calidae hora una.	Then pour into the tube a little amount of hot water: hold your hand so that it is turned around with your finger to such an extent that the edge of the tube is pressed into the root of the clap, and the hot water is found at the bottom: and let stand for a while on the prickling of the hot water.
Deinde dimitte ipsum, nam clauus eradicatur cum radicibus suis.	Then release him, for the wound to be cured with its roots.
Ita fac cum eis uno post unum, donec uenias super omnes qui ex eis sunt in corpore.	So do with them one after another until you have done all that are in the body.
Deinde cura eos postquam eradicantur, cum eo quod generat carnem ex unguentis.	Then take care of them after they have been eradicated, with the same unguent that generates flesh from the wax.
¶ De modo cauterizandi in Tremore.	The method for cauterizing in a tremor.
Caput LVI.	Chapter LVI.
