Praefatio.	Premise.
Caput XXXVI.	Chapter 36.
Quando in ano sunt Hemorroides antiquae multae, aut una, et sunt ex humoribus grossis, frigidis, aut humiditatibus corruptis, et curantur cum eo, quod diximus in diuisione, et non confert curatio: tunc cauteriza tribus cauteriis super inferiorem spondilem dorsi sub almeidati parumper triangulatim, et cauterio sub umbilico quasi duobus digitis.	When there are many old hemorrhoids, or one, and they are of gross humor, cold, or corrupt humors, and they are treated with that which we have said in the division, and the cure is not effective: then cauterize three cauteries on the lower part of the back spine under an egg-shaped triangle, and a cautery under the navel almost like two fingers.
Et si cogitas, quod stomachus eius infrigidatus sit, et cibus eius non digeratur, et faciem eius uides apostemari, tunc cauteriza eum super stomachum cauterio magno, secundum quod praecessit: et cauterio super Epar eius, et alio super Splenem ipsius, cum cauterio clauili: et dimitte cauterium apertum tempore aliquo: deinde cura ipsum, donec sanetur.	And if you think that his stomach is cold, and his food is not digested, and you see that his face is pale, then cauterize him on the back of the stomach with a large cautery, according to what has preceded: and a cautery on his spleen, and another on his liver, with a clove: and leave the cautery open for some time: and then take care of himself, until he is healed.
¶ De modo cauterizandi althelul post abscisionem eorum.	The mode of cauterizing athel (a small blood vessel) after its amputation.
Caput XXXVII.	Chapter 37.
Quando tu abscindis althelul, tunc ignias cauterium quod assimilatur radio.	When you cut off the athel, then set fire to the cautery which is absorbed by radiation.
Deinde intromittite ipsum ignitum in ipsum althelul abscisum: et ultima manum tuam, donec perueniat cauterium ad orificium uenae, ex qua currit sanguis: fac illud semel, aut bis.	Then introduce the fire into the athel that has been cut off: and with your hand, until the cautery reaches the opening of the anus, from which runs blood: do this once, or twice.
Si ergo althelul fuerint multa, tunc cauteriza unumquodque cauterio secundum quod narrauimus.	If there are many athels, then cauterize each one with a separate cautery, as we have said.
Deinde cura ea, cum eo quod confert eis ex unguentis, donec sanentur.	Then take care of them, with the oil that is effective for them, until they are healed.
Et si cauterizas eum cauterio magno super alcatin, est magis ultimum in iuuamento.	And if you cauterize him with a large cautery on his back, it is more painful in the cure.
¶ De modo cauterizandi Fistulam in ano.	The mode of cauterizing a fistula in the anus.
Caput XXXVIII.	Chapter 38.
Quando non obedit infirmus sectioni et operi quod narrauimus in loco suo, et terretur ab illo, fortasse sanatur cum cauterio.	When the patient does not submit to the section and the operation that we have described in its place, and trembles at it, perhaps he will be healed with a cautery.
Cum ergo accidit alicui Fistula, et antiquatur, currit pus ex ea, et humiditates corruptae.	And so, when a fistula occurs in someone and it is old, pus runs out of it, and corrupted humors flow out.
Dignius ergo quod oportet est, ut probes eam cum tenta subtili.	It is therefore worthwhile that one should probe it gently with the hand.
Deinde cognosce quantitatem profunditatis eius cum tenta.	Then recognize the depth of its extent by probing.
Deinde ignias cauterium, quod est simile radio.	Then apply a hot cautery, which is like a ray of light.
Deinde intromit te ipsum ignitum in ipsam Fistulam et quantitatem in qua intrauit clauus.	Then insert yourself into the fistula with fire and recognize how much it enters by observing the closure.
Et itera super eam cauterium, donec comburantur illa omnia corpora corrupta, semel, aut bis, aut ter, secundum quantitatem necessitatis tuae.	And repeat this cautery on it until all the corrupted bodies are burned, once, twice, or three times, according to your need.
Et custodi te ab adustione nerui, si est illic, aut uenae magnae: aut si Fistula uadit ad corpus uesicae, aut ad corpus intestini, tunc custodi te ab istis locis omnibus.	And guard yourself from the heat of fire if there is any nerve there or large veins: or if the fistula leads to the body of the womb, or the body of the intestine, then guard yourself from all these places.
Et non facias illud, nisi quando fistula est in loco carnoso: et cogitas, quia non est penetrans.	And do not perform this unless the fistula is in a fleshy place: and be aware, for it does not pierce through.
Deinde cura locum usquequo sanetur.	Then take care of the place until it heals.
Si autem sigillatur locus, et abscinduntur ab eo materiae, et remanet sic tempore longo: tunc scias, quia iam sanatus est integre.	But if the place is sealed and material has been cut off from it and remains for a long time in this condition: then know that it has already healed completely.
Et si non abscindunt ab eo materiae, tunc scias quia est penetrans, aut in profundo eius est os corruptum, aut quasi illud ex illis: quorum rememoratio ueniet in loco suo.	And if material is not cut off from it, then know that it is penetrating or has a corrupted opening within its depth, or nearly so: whose memory will remain in its own place.
¶ De modo cauterizandi Renes.	The method of cauterizing the Renes.
Caput XXXIX.	Chapter 39.
Quando accidit in Renibus dolor ex frigore, aut ex uentositate grossa, et minuitur propter illud coius infirmi, tunc oportet ut cauterizes ipsum super almethenem super ipsos renes, cauterio super omnem renem cum cauterio clauili, cuius praecessit rememoratio.	When pain in the kidneys occurs from cold, or from gross wind, and is assuaged by urination, then one should cauterize the kidneys above the mesh on the kidneys, cauterizing each kidney with a cautery knife, whose precursor was memory.
Et fortasse cauterizamus ipsum secundo in ipso almeidatu.	And perhaps we can cauterize it again in the same place.
Quare uenient tria lineata.	Why are there three lines drawn?
Ergo erunt magis ultima in iuuamento.	So that they will be longer in the cutting.
¶ De modo cauteritzandi Vesicam.	The method of cauterizing the Vesica (Bladder).
Caput XL.	Chapter Ten.
Quando accidunt in Vesica debilitas, et mollificatio a frigo re et humiditatibus, donec non retineat infirmus urinam, tunc cauteriza ipsum in inferiori parte suminis super Vesicam, ubi incipiunt pili pectinis, et cauterio a dextra suminis, et alio a sinistra illius: et sit longitudo illius cauterizationis lateris secundum quantitatem nodi pollicis: et cauteriza ipsum cauterio inferiori dorsi, aut duobus cauteriis, si indiges illo: et sit secundum quod praecessit cauterium clauile.	When weakness and softening occur in the bladder because of cold and moisture, until the sick person does not retain his urine, then cauterize him on the lower part of the penis above the bladder, where the hairs begin to grow, and cauterize with one cautery from the right side, and another with a cautery from the left: and let the length of that cautery be according to the length of the thumb knuckle: and cauterize him with two cauteries if you wish so. And let it be according to what preceded the cautery with a claw.
¶ De modo cauterizandi Matricem.	The way to cauterize the womb:
Caput XLI.	Chapter Eleven.
Quando accidunt in Matrice frigus et humiditates, et prohibetur per illud ab impregnatione, et corrumpuntur menstrua eius, et tardatur prouocatio eorum, et accidit ei apud aduentum eorum dolor, tunc oportet ut cauterizetur tribus cauteriis in circumitu umbilici, sicut diximus in cauterizatione uesicae, et cauterio super alcatim inferius dorso, aut duobus cauteriis: et sit cauterium clauile.	When cold and moisture occur in the womb, and it is prevented from being impregnated by that, and her menstrual flow corrupts and delays their time, and pain occurs for her during intercourse, then three cauteries should be used around the navel as we have said in cauterizing the bladder, and one cautery above the lower back with a knuckle, or two cauteries: and let it be according to what preceded the cautery with a claw.
¶ De modo cauterizandi Ancham in dislocatione.	The way to cauterize the anus in a dislocation:
Caput XLII.	Chapter Twelve.
Quando effunduntur humiditates mucosae ad pixidem Anchae, et fiunt caussa exitus eius a loco suo: et signum illius est, quod prolongatur crus super alterum, quando comparantur adinuicem: et inuenitur locus dislocationis in eo uacuus.	When the mucous membrane of the anus flows with moisture towards the rectum, and there is a cause for its exit from its place: its sign is that the crust prolongs itself over the other when they face each other: and the location of the dislocation is found in it.
Oportet ergo ut cauterizes infirmum super pixidem Anchae ipsius cauterio simili circulo: postquam tu signas cum encaustro in circumitu pixidis, sicut reuoluitur: et ut cadat ipsa pixis in medio circuli.	Therefore it should be that the sick person is cauterized over the anus with a similar circle of cautery: after you have found the signs with the fire in the circumcision of the anus, as it turns: and so that it falls on the middle of the circle.
Et sit cauterium cuius forma praecessit in cauterizatione stomachi.	And let the shape of that which preceded the cautery in the cauterization of the stomach be.
Quod si tibi non est praesens hoc cauterium, tunc cauteriza ipsum tribus cauteriis, cum cauterio oliuari magno: et fiat cauterio profunditas secundum quantitatem spissitudinis cutis totius.	If this cautery is not present with you, then cauterize him with three cauteries, with a large olive cautery: and let the depth of the cautery be according to the thickness of the skin of all.
Deinde cura ipsum, donec sanetur.	Then the care for him, until he is healed.
¶ De modo cauterizandi in Sciatica.	The way of cauterizing in sciatica.
Caput XLIII.	Head XLIII.
Quando accidit dolor in pixide anchae, et sunt caussa illius frigus et humiditates: et curatur infirmus cum eo, quod diximus in diuisione, et non confert curatio, et antiquatur illud: tunc oportet ut soluas infirmum ab humoribus grossis cum pillulis foetidis, aut cum pillulis artificialibus, et similibus.	When pain occurs in the shank of the leg, and there is cause for his coldness and moisture: and the care for the sick one is joined with it, which we have said in the division, and there is no cure, and it becomes old: then it is necessary that you separate the sick one from gross humors with foul pills, or with artificial pills, and similar things.
Deinde cauteriza eum.	Then cauterize him.
Et modus cauterii in ea est secundum duos modos: aut cauterium cum medicinis adurentibus, aut cauterium cum igne.	And the way of the cautery is according to two ways: either with the cautery with burning medicines, or with the fire.
Cauterium cum igne, est secundum multos modos.	The cautery with fire is according to many ways.
Quorum unus est, ut cauterizes super pixidem anchae ipsius tribus cauteriis triangulatis, secundum hanc formam.	Of which one is that, that he cauterizes above the shank of his leg three triangular cauteries, according to this form.
Et fac eis profunditatem bonam, uel malam.	And make their depth good, or bad.
Et sit spacium quod est inter omne cauterium quantitatis grossitudinis digiti: sitque cauterium oliuare.	And there is space that is between every cautery of the quantity of the thickness of a finger: and there is an olive-oil cautery.
Quandoque autem fit cauterium in medio super caput anchae ipsius.	When, however, the cautery is made in the middle on the top of his leg.
Quare sunt quatuor cauteria.	Why are there four cauteries?
Et si uis cauteriza cum circulo, cuius praecessit forma in cauterizatione dislocationis anchae, uno: ut sit circulus continens ancham totam.	And if you wish to cauterize with a circle, whose predecessor is the form in the cauterization of the dislocation of the shank, one: that there is a circle containing the whole shank.
Et combure spissitudinem cutis totius.	And burn the thickness of the skin of all.
Iste est modus cauterii in Sciatica, quando dolor est adhaerens anchae ipsi, et non extenditur usque ad coxam et crus.	This is the way of cautery in sciatica, when pain adheres to the shank itself, and does not extend up to the hip and the leg.
Si autem extenditur usque ad coxam et crus, tunc cauteriza ipsum duobus cauteriis super coxam, super locum ad quem innuit illic infirmus, in quo est dolor, et cauterio tuo super cauillam quatuor digitis ad partem syluestrem parumper: et sit cauterium cultellare.	But if it extends up to the hip and the leg, then cauterize him with two cauteries on the hip, on the place to which the pain extends, and on your own cautery over the back of four fingers slightly: and there is a cautery-knife.
Et sit profunditas cauterii secundum profunditatem spissitudinis cutis.	And make the depth of the cautery according to the depth of the thickness of the skin.
Quod si infirmus innuit quod dolor extenditur usque prope digitos pedis, tunc cauteriza ipsum illic ubi innuit cum cauterio puncti, tribus, aut quatuor, aut pluribus, si indiget illo.	If the patient complains that the pain extends up to the fingers of the foot, then cauterize him at that place with a point, line, triangle, or square, as needed.
Et si innuit dolorem esse sub genu uersus crus, tunc cauteriza ipsum illic cauterio uno cultellari.	And if he complains of pain under the knee towards the thigh, then cauterize him at that place with a single knife cut.
Et caue tibi in omni cauterizatione tua, ut non ultimes cum cauterio ad hoc ut comburas neruum, aut arteriam magnam, et attrahas per illud super infirmum nocumentum malum, aut contractionem.	And let your cauterization be such that you do not hurt with the cauldron as it burns nerves, or a large artery, and do not attract it to the bad injury of the sick person, or contraction.
Et ego quidem iam uidi unum et alium, ex eis qui cauterizauerunt supra cauillam, et ultimauerunt in cauterizatione, et inflatum est crus, donec tumor consecutus est pedem, et perforatus est totus, et corruptus est totus pes: deinde accidit solutio uentris, et mors post illud.	And I have already seen one and the other, those who cauterized above the knee and ended with cauterization, and the leg was swollen, until the tumor became attached to the foot, and it was corroded all over; and then the blood of the wound was dissolved, and death after that.
Quod si dolor est in duabus partibus simul, cauteriza utramque secundum hunc modum.	If the pain is in two parts at the same time, cauterize each one according to this mode.
Et sapientes quidam dixerunt in cauterizatione anchae, cuius cauterii iste est modus.	And some wise ones have said in the cauterization ofanchae, whose cauterization is this mode.
Fac simile samio ex ferro, cuius diametrus sit medietas palmi: et sit apud orificium suum secundum grossitudinem nuclei dactyli, aut minus parumper: et intra illud samium sit samium tertium.	Make a similar model from iron, the diameter of which is half of the palm: and be at the opening of it according to the size of the nail, or less than more: and within that model there is another model.
Et sit spacium quod est inter omne samium per quantitatem nodi pollicis: et sint samia aperta a duabus partibus: et sit altitudo eorum quasi nodus, aut duo nodi: et fac eis manubrium ex ferro decenter aptatum in samiis.	And be a space that is between each model by the quantity of the thumb's nail: and let the openings be on two sides: and make their height almost like a knuckle, or two knuckles: and let them make handles out of iron that are crookedly adapted in the models.
Et haec est forma eius.	And this is its form.
Deinde igniatur in igne, donec rubeat, et proiiciat scintillas: deinde ponatur super pixidem anchae infirmo accubitato super latus sanum.	Then let it be heated in fire, until it turns red, and let sparks fall out: then let it be placed on a flat stone of theanchae lying down on the sound side.
Cauteriza ergo eum tribus cauteriis rotundis in uice una.	Then cauterize him with three round cauterizations in one direction.
Deinde dimitte ipsum tribus diebus.	Then let him go for three days.
Postea emplastra cum butyro: et dimitte uulnus apertum diebus multis.	Then bind it with butter: and let the hole be left open for many days.
Deinde cura ipsum cum unguento, donec sanetur.	Then the care of the wound with ointment, until it heals.
Inquit Albucasis, hac specie cauterii o filii, parum usi sumus, propter terrorem aspectus eius: et propterea, quod paucos inuenimus qui expectent super ipsum.	Albucasius replied, With this type of burn, we are not very skilled, because of its frightening appearance: and therefore, because there are few who wait on it.
Verumtamen est ex bonis cauteriis ei qui suffert, et inuenit cum eo locum eius.	However, a good scarification is what the patient needs, and his place remains with him.
Cauterium autem cum medicinis adurentibus est, ut tu facias duo samia habentia perforatam armillam, in quam descendit cardo portae eius ex aere, aut ferro, longitudo parietis: quorum in altitudinem eorum sint duo nodi, aut quasi ipsi.	But the cauterization when you apply medicines is, so that you make two threads with a piercing ring, in which descends the pin of his door from brass or iron, whose length is equal to the depth of his walls: of which there are two knots, or almost the same as himself.
Et sit spacium quod est inter utraque quantitas grossitudinis digiti, et sint aperta inferius et superius: et sit quod contineant se adinuicem, secundum hanc formam.	And there should be space between each one, equal to the thickness of a finger, and both open downward and upward: and that they should contain themselves against the side opposite, in this form.
Deinde depone eam super pixidem anchae, infirmo iacente super latus sanum.	Then put it on the patient's back, lying on his sound side.
Et comprime manum tuam super pixidem anchae multum.	And press your hand firmly on the patient's back.
Deinde funde inter duos circulos ex aqua calida, quae sit calefacta cum igne parumper, et tene eam quantitate horae temporalis: et toleret infirmus mordicationem eius, et ipsius adustionem, nam ipse inuenit mordicationem sicut ignis, donec quiescat mordicatio.	Then fill between the two circles with warm water, slightly heated with fire, and hold it for a time: and let the patient bear his pricking, and his burning, because he feels the pricking like fire, until it is calm.
Deinde eleua manum tuam cum instrumento, et absterge aquam calidam ab ancha tota cum aqua dulci: deinde dimitte illud tribus diebus.	Then wash your hand with an instrument, and rinse all of it thoroughly with sweet water: then let it go for three days.
Et pone super illud butyrum, donec remoueatur nigredo adustionis: et dimitte illud diebus aliquot, et curret ex eo pus.	And put butter on it, until it comes off due to the burning; and let it go for a few days, and wash away the pus.
Est enim ultimum in iuuamento.	This is the latest in healing.
Deinde cura illud cum unguentis, donec sanetur.	Then care for that wound with ointment, until it heals.
Quod si extendatur dolor usque ad coxam, aut crus: fac ei statuam in eo quod continet aquam, secundum quod fecisti in ancha aequaliter.	If the pain extends to the hip or leg: let him have a position in it that contains water, according to what you did in the width, evenly.
Et iste est modus aquae calidae: et ego iam scripsi eam in tractatu rectificationis medicinarum.	And this is the way of warm water: and I have already written about it in my book on the rectifying of medicines.
Sume alcali, et calcis non extinctae amborum ana partem unam: tere utraque, et pone ea in ollam nouam, cuius inferior pars sit perforata foramine uno paruo, secundum quantitatem quod ingrediatur ipsum radius: et pone sub fundo ollae ollam aliam uitreatam: et proiice super alcali et calcem ex aqua dulci, quod submergat utraque per digitum: post quam tu comprimas ea manu tua compressione bona: et dimite ollam, donec descendat aqua acuta inferiori parte ollae uitreatae.	Take alkaline and un-extinct lime on both sides, turn them over, and put them in a new bowl, the lower part of which is pierced with a small hole, according to the quantity that goes in: and put under the base of the bowl another bowl upside down: and pour water from the two, so that it immerses each one with a finger: then grasp them with your good hand: and set them aside, until the sharp water comes out on the lower side of the bowl.
Deinde aggrega illam aquam totam, et proiice eam super aliam calcem: et cola, donec renouetur.	Then put together all the water, and pour it over another stone: and tie it up, until it has healed.
Ipsa enim erit tunc fortis acuitatis ualde, quae administratur in multis operationibus medicinae, et in cauterizatione reliquorum membrorum.	For herself will then be strong and keenness of her own, which is used in many surgical operations, and in the cauterization of the remaining members.
Quoniam efficit operationem ignis ipsius.	Since it will effect the operation by its own fire.
Et ex medicinis sunt, cum quibus cauterizantur ancha, etiam sicut tesisie, et mel anacardi, et calx cum sapone, ita quod utraque sint permixta. ¶	And from medicines are used, with which they cauterize the broad, also as therapeutics, and honey of anacardium, and lime mixed with soap, so that both are mixed.
Et Galenus quidem narrando retulit, cuiusdam uiri ex antiquis curationem, qua curatus est dolor anchae et uenae sciaticae: et magnificauit esse eius ualde.	And Galen himself reported, of a certain man from ancient healing, who was cured of pain in the anus and sciatica: and he praised that it was great.
Et dixit, quia non indiguit alia curatione, et quia sanatus est ex uice una, donec retulit, quia ipse fortasse intrauit balneum delatus, et exiuit ex eo iam sanus.	And he said, "He did not like any other treatment," and that he was cured from one ass because he reported: "Perhaps he entered a hot bath, and came out already well.
Et est, ut accipiatur ex seitaragi uiridi: et si non inuenitur uiride, sumatur siccum, recens: et teratur multum cum aliquanto adipe, et ponatur super ancham, ubi est dolor, aut crus, aut in coxa: et ligetur, et dimittatur quantitate trium horarum, aut per quantitatem quod sentiat infirmus sedationem adustionis.	And it is, to be taken from the seat of a man: and if it is not found a woman, it is taken like this, recently: and it is heated much with some fat, and placed on the anus, where there is pain, or in the crotch: and it is tied up, and is left for the quantity of three hours, or per quantity that he feels weak sedation from heat.
Deinde intromitte eum in balneum.	Then introduce it into a bath.
Cum ergo roridum fit corpus eius, intromitte ipsum in solium.	When the body then becomes red-hot, introduce him into the soil.
Nam dolor recedit, et sanatur.	For the pain has passed away, and he is healed.
Et scias, quia non oportet ut utatur aliquis cauterio cum istis medicinis, nisi post euacuationem corporis.	And you should know that it is not necessary to use any cauterization with these medicines, unless after evacuation of the body.
Et Dioscorides qui dem dixit, quod stercus caprarum, quando cum eo cauterizatur uena sciatica, confert ei: et fit cauterium secundum hunc modum.	And Dioscorides who said that when sheep manure is burned with it, it is good for the sciatica, and it makes a second-type cautery.
Sumatur lana, et imbibatur oleo antiquo, et ponatur super locum profundum, qui est inter pollicem pedis, et inter focile, et est propinquior focili.	Take the wool, and let it soak in old oil, and place it on a deep place, which is between the thumb of the foot, and between the heel, and is closer to the fire.
Deinde accipe stercus caprarum siccum, et inflamma ipsum in igne, donec fiat carbo.	Then take the dung of goats and mix it with fire, until it becomes charcoal.
Deinde pone ipsum super lanam, et dimitte ipsum, donec extinguatur.	Then place the mixture on a woolen cloth and leave it there until it is extinguished.
Deinde itera illud.	Then repeat this process.
Non cesses ergo facere illud, usquequo perueniat sensus super mediatione usque ad ancham, et quiescat dolor.	So do not cease to perform this, until the sense has become accustomed through the medium up to the tip of the nose, and the pain rests.
Et iste modus cauterii nominatur cauterium Vaccinum.	This mode of treatment is called the Vacca's cautery.
¶ De cauterizatione doloris Dorsi.	[¶] On the cauterization of dolor dorsi.
Caput XLIIII.	Chapter 42.
Quandoque accidit dolor in Dorso ex caussis multis, aut a casu, aut a percussione, aut euacuatione superflua, et illis similibus, ex infusione materiei frigidae, et humidae: et cauterium quidem non cadit, nisi in hac specie sola, quae fit ex infusione materiei frigidae.	When pain occurs on the back from various causes, either from accident, or from impact, or from excessive drainage and similar things, then the cauterization should not be done unless in this single case alone, which is done with cold and wet material infusions.
Oportet ergo post euacuationem infirmi cum pillulis foetidis, et eis similibus, ut fiant super Dorsum, ubi est dolor, tres lineae secundum latitudinem almeidati ipsius, postquam signas cum encaustro in omni linea quinque cauteria, aut plura secundum quantitatem quae uenit ex tolerantia infirmi uirtute eius: et fiat cauterizatio cum cauteriopuncti.	Therefore after the drainage of the nurse with foetid pills and similar things, let them be placed on the back where there is pain, three lines according to the length of the midline affected, having first marked with encaustum in each line five cauterization, or more according to the quantity which has come from the tolerance of the nurse's virtue: and let the cauterization be done with a cauterizing needle.
Et si uis, cauteriza tribus cauteriis, aut quatuor, cum cauterio clauili mediali, secundum hanc formam.	And if there is need, cauterize three cauterizations, or four, with the middle clauwile, in this form:
¶ De modo cauterizandi in incaeptine Gibbositatis.	[¶] On the mode of cauterizing in the gibbosity.
Caput XLV.	Chapter 50.
Multotiens accidit haec aegritudo infantibus paruis.	This disease frequently occurs in small children.
Et signum incaeptionis eius in pueris est: quod accidit super eum strictura in anhelitu apud eleuationem, et motum: et inuenis in ultima spondilium Dorsi et nodorum eius, quod iam incaepit eminere super reliquos spondiles.	And the sign of the incipient stage of this disease in children is that which occurs on him a stricture in the anus during defecation and movement: and an inflammation in the last joint of the back and the nodules of it, which has already begun to emerge over the other joints.
Cum ergo uides illud, et uis facere illud, tunc cauteriza ipsum cum cauterio quod sit circulus secundum hanc formam.	Therefore when you see this, and wish to treat it, then let the cauterization be made with a needle which is a circle according to this form:
Et capiat cauterium super omnem partem spondilis aequaliter: et si uis cauteriza in circumitu spondilis cum cauterio puncti duas lineas, aut tres: et sint puncta propinqua adinuicem.	And he took the cautery and applied it equally to all parts of the spine; and if the cautery was used around the spine with two or three points of the needle, and the needles were close together.
Deinde cura locum, donec sanetur cum eo quod diximus.	Then he cared for the place until it healed with that which I have said.
Et caue, ne administres cauterium in gibbositate, quae fit in spasmo nerui.	And do not apply the cautery to the hunchback, which is made in a spasm of a nerve.
¶ De modo cauterizandi in Podagra, et doloribus iuncturarum.	The way to cauterize in podagra and pain of joints.
Caput XLVI.	Chapter 46.
Quando dolores iuncturarum sunt ab humiditatibus frigidis, quae effunduntur ad cuiuslibet membra corporis, tunc quando accidunt dolores in pedibus, de consuetudine medicorum est, ut nominent illud Podagram proprie.	When the pains of the joints are from cold humidities that flow into any member of the body, then when pains occur in the feet, it is the custom of the doctors to name this podagra properly.
Cum ergo curatur Podagra frigidae caussae cum modis curationis, et non remouentur dolores, tune cauterium remouet eos.	So then how to cure podagra caused by cold with the methods of treatment, and do not remove the pains, then remove them with the cautery.
Et est, ut cauterizes eum post euacuationem in circumitu iuncturae pedum, cauteriis multis: et sit cauterium Oliuare.	And it is so, that he cauterized him after evacuation around the joint of the feet with many needles; and let the cautery be Oileus.
Cuius haec est forma.	This is its form.
Et si indiges ut punctes super faciem pedis, tunc fac cum cauterio puncti.	And if you can endure that the needles are on the face of the foot, then do it with a single needle.
Quod si ascendunt dolores usque ad genua, aut reliquas iuncturas, et multotiens accidit illud, tunc cauteriza ipsum super omne genu tribus cauteriis, aut quatuor ab omni parte, cum hoc eodem cauterio Clauili.	That if the pains ascend to the knees or other joints, and often happens that, then cauterize him over all the knee with three needles, or four from all parts, with this same cautery of Chlorius.
Si autem necessaria sunt tibi plura hoc cauterio, tunc cauteriza ipsum.	But if you need more of this cautery, then cauterize him.
Et non submergas manum tuam cum cauterio, imo sit circiter spissitudinem cutis tantum.	And do not submerge your hand with the cautery, but let there be a little bit of thick skin only on the skin around it.
Si autem ascendunt dolores ad genua, et dorsum: tunc administra quod diximus ex cauterio in capitulo suo.	But if the pains ascend to the knees and back: then administer that which I have said in my book from the cautery.
Quod si dolores sunt in manibus tantum, tunc puncta in circumitu focilium, sicut reuoluuntur duae lineae.	That if the pains are only in the hands, then the points around a small flame, as two lines rotate.
Si autem remanet ex doloribus in digitis, tunc puncta eos, super omnem nodum punctum, et super pectinem manus.	But if the pain remains in the fingers, then point them out, over every knot a point, and over the palm of the hand.
Si autem ascendunt dolores post dies ad cubitos, aut ad humeros, tunc cauteriza utrosque ab omni parte.	If however the pains rise after a few days at the shoulders, or at the arms, then cauterize both sides at all parts.
Et non euacues infirmum ex regimine bono, ex recaeptione medicinarum.	And do not make the sick person sweat from good regimen, from reception of medicines.
Nam si bonum fiat regimen, et euacuetur phlegma, sanabitur auxilio Dei cum isto cauterio.	For if the regimen is made good, and the phlegm is made to sweat, it will be healed with this cautery and the help of God.
¶ De modo cauterizandi in Rupturis.	The mode of cauterizing in ruptures.
Caput XLVII.	Chapter LVII. Head.
Quando accidit Ruptura in inguinibus, et descendit intestinum, aut zirbum ad testiculum, et est illud incipiens propinquum: tunc oportet ut praecipias infirmo dimittere comestionem in die suo.	When a rupture occurs in the groin, and the intestine has descended, or has touched the testicle, and it is beginning to become close: then you should order the sick person to abstain from food on his own day.
Et utatur ex lenientibus, quo descendat stercus a uentre suo.	And let him use laxatives, so that the stool may come out of its own volition from his belly.
Deinde sedeat inter manus tuas super dorsum suum: et praecipe ei, ut teneat anhelitum suum, donec egrediatur, uel appareat zirbum, aut intestinum.	Then make him sit between your hands on his back; and order him to hold his breath, until he has gone out, or appears the buttock, or the intestine.
Deinde reduc ipsum digitis tuis, et signa cum encaustro sub Ruptura super os pectinis, cum signo cuius extremitas sit similis medietati circuli ad superiora corporis.	Then reduce him with your fingers, and mark with the caustic under the rupture on the crest of the pelvis, with a mark whose extreme is similar to half a circle to the upper part of the body.
Deinde igni cauterium, cuius haec est forma, donec ueniat album, et proiiciat seintillas.	Then hold the caustic fire, which has this form, until it is white, and let it fall off little by little.
Deinde reduc intestinum, aut zirbum ad concauitatem suam.	Then reduce the intestine, or the buttock to its concavity.
Deinde ponat minister manum suam super locum, ut non exeat intestinum: et tu iam aperuisti inter crura infirmi, et posuisti sub eo puluinar, et seruiens alius super crura eius, et alius super pectus eius qui tenet manus.	Then let the minister put his hand on the place so that he does not exit the intestine: and you have now opened between the ribs, and placed under it the pole of the bed, and one serves as a lever by holding the foot of the patient, and another leans over the pelvis, and holds the hands.
Deinde depone cauterium super ipsum signum, manu tua cum cauterio stante recta.	Then let the caustic fall on the patient with the right hand, while holding the caustic fire upright.
Et tene ipsum, donec cum eo consequaris os: aut itera cum eo uice alia, si non consecutus fueris cum eo in prima usque ad os.	And hold him, until you have joined his jaws: or repeat with another lever, if you do not succeed with him on the first attempt up to the mouth.
Et prudenter obserua ab exitu intestini in hora cauterizationis tuae, ne comburas ipsum, et eueniat per illud super infirmum aut mors, aut malicia magna.	And carefully observe from the exit of the intestine at the time of your cauterization, lest you burn him, and let it go through that into the body, or death, or great malice.
Et scias, quod quando tu non consequeris cum cauterio os, non confert operatio tua.	And you shall know that when you do not achieve a closed wound with the cautery, your operation will not succeed.
Et oportet ut sit cauterium infantium subtile, secundum mensuram eorum.	It is necessary that the cautery for infants be subtle, according to their measure.
Deinde cura cum reliquis unguentis, donec sanetur.	Then take care with the remaining unguent until it heals.
Et sit infirmus iacens super dorsum suum quadraginta diebus, donec sigilletur uulnus.	And let him lie on his back for forty days, until the scar is closed.
Et oportet, ut ponas nutrimentum eius longitudine temporis curationis eius, quod leniat uentrem eius: ut non exeat intestinum apud conamen et egestionem.	And it is necessary that you put food for him according to the length of his curing time, which softens his belly: so that he does not vomit up what he has eaten and has no bowel movement.
Deinde quando uult surgere post quadraginta dies, tunc administra ligamentum decenter factum, et teneat ipsum quadraginta diebus aliis.	Then when he wants to get up after forty days, then administer a loose ligature and let him hold it for another forty days.
Et minoretur a labore, et repletione cibi et potus, et uocibus uehementibus.	And let him not work, nor fill himself with food or drink, nor take strong drinks.
Nam quando utitur hoc regimine, ita sanatur sanatione integra.	For when he uses this regimen, he heals with whole health.
Et ego dicam curationem Rupturarum cum incisione in capitulo suo.	And I will tell you the cure for Torns, with an incision in their own chapter.
Quando autem Rupturae accidunt in reliquo uentre, et sunt incipientes, et uis ut non addantur, tunc cauteriza Rupturam eius cauterio rotundo secundum quantitatem eius: et sit illud quod aduritur ex tunc sicut tertia eius.	When, however, Torns happen in the rest of the body, and are beginning, and do not add to one another, then cauterize his Torn with round cautery according to its quantity: and let it be what is healed from then on as the third one.
Deinde cura ipsum, cum eo quod diximus: et non addetur.	Then take care for him, with him who we have said: and do not add to him.
Et iam dixerunt quidam primi: ut cauterizetur Ruptura cum cauterio triangulato, secundum hanc formam.	And some have said first: that the Torn should be cauterized with triangular cautery, according to this form.
